00000002272ee348 (__TEXT,__text) non-external +[CBOR cborFalse]
0000000271bff0e0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
0000000271bff0e8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
0000000271bff090 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
0000000271bff100 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
0000000271bff0f0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
0000000271bff0d8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
0000000271bff0d0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_errno (from libswift_errno)
0000000271bff098 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_errno_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_math (from libswift_math)
0000000271bff0c8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_math_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_signal (from libswift_signal)
0000000271bff0a8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_signal_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_stdio (from libswift_stdio)
0000000271bff0b0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_stdio_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_time (from libswift_time)
0000000271bff0b8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
0000000271bff108 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftsys_time (from libswiftsys_time)
0000000271bff0a0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftsys_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftunistd (from libswiftunistd)
0000000271bff0c0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftunistd_$_CBORLibrary
00000002272dbe44 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
00000002272f5f16 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
00000002272f5f26 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
00000002272f5f1e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
00000002272f5f84 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
00000002272f5f7c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
00000002272f5f5a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
00000002272f5f6a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
00000002272f5f62 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
00000002272f60ae (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
00000002272f5e24 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
00000002272f5eb0 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000002272fb200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000002272fb220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
00000002272fb240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
00000002272fb260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
00000002272fb280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
00000002272fb2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000002272fb2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000002272fb2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000002272fb300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000002272fb320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
00000002272fb340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
00000002272fb360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000002272fb380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
00000002272fb3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
00000002272fb3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
00000002272fb3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
00000002272fb400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
00000002272fb420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
00000002272fb440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
00000002272fb460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
00000002272fb480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
00000002272fb4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000002272fb4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
00000002272fb4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
00000002272fb500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000002272fb520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000002272fb540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000002272fb560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
00000002272fb580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000002272fb5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
00000002272fb5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
00000002272fb5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
00000002272fb600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
00000002272fb620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
00000002272fb640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
00000002272fb660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
00000002272fb680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
00000002272fb6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
00000002272fb6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002272fb6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
00000002272fb700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
00000002272fb720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
00000002272fb740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
00000002272fb760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
00000002272fb780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000002272fb7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
00000002272fb7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
00000002272fb7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
00000002272fb800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000002272fb820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
00000002272fb840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
00000002272fb860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
00000002272fb880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
00000002272fb8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
00000002272fb8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
00000002272fb8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
00000002272fb900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
00000002272fb920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
00000002272fb940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
00000002272fb960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
00000002272fb980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
00000002272fb9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000002272fb9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
00000002272fb9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
00000002272fba00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
00000002272fba20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
00000002272fba40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
00000002272fba60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
00000002272fba80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
00000002272fbaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
00000002272fbac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
00000002272fbae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
00000002272fbb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000002272fbb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000002272fbb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000002272fbb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
00000002272fbb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000002272fbba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
00000002272fbbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
00000002272fbbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
00000002272fbc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
00000002272fbc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
00000002272fbc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000002272fbc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
00000002272fbc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
00000002272fbca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
00000002272fbcc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000002272fbce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000002272fbd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
00000002272fbd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
00000002272fbd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
00000002272fbd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
00000002272fbd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
00000002272fbda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000002272fbdc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
00000002272fbde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
00000002272fbe00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
00000002272fbe20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
00000002272fbe40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
00000002272fbe60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
00000002272fbe80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
00000002272fbea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
00000002272fbec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
00000002272fbee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000002272fbf00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
00000002272fbf20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
00000002272fbf40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
00000002272fbf60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
00000002272fbf80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
00000002272fbfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
00000002272fbfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000002272fbfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_allocateGenericValueMetadata (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_initStructMetadata (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
00000002272f5fd8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
00000002272f5cf8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
00000002272f5cda (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
00000002272f5f92 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
00000002272f5e1e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
00000002272f5e2c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
00000002272f60b6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
00000002272f5db4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySSypG
00000002272f5dfa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
00000002272f5fc4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
00000002272f5d4e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
00000002272f6076 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
00000002272f5cc4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
00000002272f5dca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS_ypt
00000002272f5d6c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
00000002272f5d60 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
00000002272f6046 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
00000002272f5fd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
00000002272f5e16 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
00000002272f5f54 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
00000002272f5ece (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
00000002272f6094 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
00000002272f604e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
00000002272f5ebe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
00000002272f5efe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
00000002272f5fb0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
00000002272f5eea (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
00000002272f5e1a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
00000002272f5cce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
00000002272f5ec8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
00000002272f5ede (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
00000002272f5f10 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00000002272f5cd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
00000002272f5f8c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
00000002272f600c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
00000002272f6006 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00000002272f5d5a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
00000002272f6024 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002272f5e52 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
00000002272f5fbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002272f5eb8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
00000002272f602a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002272f603a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002272f6040 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
00000002272f60a8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
00000002272f5df4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002272f5d8e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
00000002272f608e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
