00007ffb0559d372 (__TEXT,__text) non-external _DiToMD5
00007ffb055ab28e (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb055aafb2 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb05587562 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb055aafbc (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb05590792 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb055908f2 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb05590900 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb05590788 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb0559066c (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb0559081a (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb0559067c (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0559073a (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb05590854 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0559080a (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb055908e0 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb0558b006 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb0558b334 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb0558b2e0 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0559164e (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb05591408 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb055915a6 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb055915de (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb055914a4 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0559148c (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb05591508 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb0558b5a0 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb0558b478 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb0558b682 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb0558b752 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb055aea99 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb0558b800 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb055aeabc (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb0558b4e4 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb0558b468 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb0558b546 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb0559cf4c (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb0559cef4 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb0559ce02 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb0559cda0 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb0559cc14 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb0559cdf4 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb055acbee (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb055a0082 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb05585b46 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb055a0274 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb0558797e (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb05587b0e (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb055a0202 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb05585a64 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb05587eb2 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb05587c42 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb055ae63d (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb05587f26 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb055ae6c9 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb055ae6ec (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb05587a78 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb05587aa2 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb055ae61a (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb05587940 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb055876e0 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb055875b6 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb05587f1c (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb0558760a (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb055871b0 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb055ae430 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb055ae453 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb055ae476 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb055ae499 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb055ae4bc (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb055ae4df (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb055ae502 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb055ae525 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb05587fbe (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb0558599e (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb055859b0 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb0559ff7e (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb0559ff18 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb05587fca (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb0559ff3a (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0559c6fe (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb0559c37c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb0559c3e8 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0559c7e8 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb0559c830 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb0559c3f2 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb055afa13 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb0559c9e0 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb0559cac0 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb0559c522 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb055afa25 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb0559cad4 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb0559cae8 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb0559bc90 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb0559bd02 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb0559c666 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb0559c6f4 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb055ac530 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb055843c8 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb05584b8e (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb05584d9e (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb055ad9f5 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb055ada18 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb05584cf2 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb055ad9b6 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb0558545e (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb055adbed (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb055adc10 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb055adc33 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb055adc56 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb055adc79 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb055adc9c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb05584f08 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb055adad5 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb055adaf8 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb055adb1b (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb055adb3e (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb055843be (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb055843f8 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0558df00 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb05591d6c (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb055af3a6 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb05591d2c (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb055af383 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb05591d18 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb05591d22 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb05591d90 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb055a0740 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb055a0a58 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb055880fc (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb055a0436 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb055a0b44 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb055a0602 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb055a0acc (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb055880e4 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb055880d4 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb055a04cc (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb055a0384 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb055a091e (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb055a038e (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb0559ae02 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb055af74b (__TEXT,__text) non-external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey.cold.1
00007ffb0559a664 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb0559ad32 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb0559a682 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb0559b146 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0559b08e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb055af77c (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb0559b01e (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb055af763 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb0559b0c4 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb055af795 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0559b184 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb0559aa0a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb055af68b (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb055af6a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb055af6cb (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb055af6eb (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb055af712 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0559a6f8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb055af587 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb055af5a0 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb055af5b2 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb0559acce (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb0559ab7a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb0559a646 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0559b0bc (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb0559ac34 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb055af732 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb0559b108 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb0559a884 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb055af5cb (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb055af5e4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb055af5fd (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb055af624 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb055af644 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb055af66b (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb0559a694 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb0559aabc (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb0559a3c0 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb0559a2be (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb0559a4d6 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0559a4cc (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb0559a42a (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb055af4e1 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb055af508 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb055af528 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb055af54f (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb0559b39c (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb0559b21c (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb0559b42a (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0559b28e (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb0559b30e (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb055ac444 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb055ad52e (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb055abe6c (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb055abf38 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb055ac4b2 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb055ac5ce (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb055ac5fe (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb055ac660 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb055acc2c (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb0559e548 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb055a2b6c (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb055a2cca (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb055a30ca (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb055a313e (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb055a2e4c (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb055a2f5e (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb055a31d6 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb055a329c (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb05588c52 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb055ae823 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb05589f80 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb05589f2c (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb055a2b06 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb05589fe2 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb055ae95e (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb055a2b28 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb055a3726 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb055a42fe (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb055ac482 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb0559bc84 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb0559bbaa (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb0559bb24 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb0559b4d0 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0559b580 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb055a3636 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb055a0bfe (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb055a0d3e (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb055a17ce (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb055a168a (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb055a1a80 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb0558c7b8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb055a1558 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb0558c888 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffb055a1bba (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffb055a1caa (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb055a1e38 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb055a1d82 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb055a1f6c (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb055a1d16 (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb055a1912 (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb055a1eee (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
00007ffb0558c760 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
00007ffb0558c704 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
00007ffb055a12c8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
00007ffb055a1262 (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
00007ffb055a1426 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
00007ffb055a1284 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
00007ffb055a33be (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00007ffb055a3420 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00007ffb055ab830 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00007ffb055ab970 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00007ffb055ac500 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00007ffb0559e5b6 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00007ffb0559e618 (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00007ffb0559c9f0 (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00007ffb0559c2e2 (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00007ffb055af9fa (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00007ffb0559c74c (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
