00007ff8118a1bc4 (__TEXT,__text) non-external +[CalAlarm alarm]
                 (undefined) external _CFURLCreateStringByAddingPercentEscapes (from CoreFoundation)
                 (undefined) external _CalAgentLinkNS_StoreMachServiceName (from CalendarAgentLink)
00007ff840c70070 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff840c70078 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff840c70080 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff840c70088 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff840c6fe78 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff840c6fe80 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff840c6fe70 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff840c6fe88 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff840c6ff98 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff840c70040 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff840c70048 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff840c70068 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff840c70050 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff840c70058 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff840c70060 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff840c6ff58 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff840c6ff40 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff8118af2e8 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff840c6ff80 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff840c6ff60 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff840c6ff48 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff840c6fee0 (__DATA_CONST,__const) external _CalGroupACAccountIDKey
00007ff840c6fed8 (__DATA_CONST,__const) external _CalGroupExchangeAutodiscoverURLKey
00007ff840c6fed0 (__DATA_CONST,__const) external _CalGroupExchangeRootFolderIDKey
00007ff840c6fec8 (__DATA_CONST,__const) external _CalGroupIsDelegateKey
00007ff840c6feb8 (__DATA_CONST,__const) external _CalGroupIsEnabledForCalendarKey
00007ff840c6fec0 (__DATA_CONST,__const) external _CalGroupIsEnabledForRemindersKey
00007ff840c6fef0 (__DATA_CONST,__const) external _CalGroupIsManuallyConfigured
00007ff840c6ff00 (__DATA_CONST,__const) external _CalGroupIsMarkedForDeletionKey
00007ff840c6ff08 (__DATA_CONST,__const) external _CalGroupPasswordKey
00007ff840c6fef8 (__DATA_CONST,__const) external _CalGroupPrincipalURLKey
00007ff840c6fe90 (__DATA_CONST,__const) external _CalGroupTypeCalDAV
00007ff840c6feb0 (__DATA_CONST,__const) external _CalGroupTypeExchange
00007ff840c6fe98 (__DATA_CONST,__const) external _CalGroupTypeIMAP
00007ff840c6fea0 (__DATA_CONST,__const) external _CalGroupTypeLocal
00007ff840c6fea8 (__DATA_CONST,__const) external _CalGroupTypeSubscription
00007ff840c6fee8 (__DATA_CONST,__const) external _CalGroupUseKerberosKey
00007ff840c6ff70 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff840c6ff88 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff840c700f0 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
                 (undefined) external _CalStoreLogActual (from CalendarAgentLink)
                 (undefined) external _CalStoreLogCurrentLevel (from CalendarAgentLink)
00007ff840c6ff68 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff840c6ff50 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff840c6ff78 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff840c6ff90 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _OBJC_CLASS_$_CalAgentLink (from CalendarAgentLink)
00007ff84292a150 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff842929fc0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff84292a100 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff84292a330 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff84292a2e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItemPredicate
00007ff84292a0d8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff84292a1a0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff842929f70 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEventPredicate
00007ff84292a010 (__DATA,__objc_data) external _OBJC_CLASS_$_CalGroup
00007ff84292a240 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff842929f20 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff84292a290 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff84292a1f0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALDailyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALMonthlyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALWeeklyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALYearlyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCoreRecurrenceRule (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAlarm (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAttachment (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAttendee (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVAccount (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVCalendar (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVPrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalendar (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedEvent (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedExchangeAccount (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedExchangePrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedGroup (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedPrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedTask (from CalendarAgentLink)
00007ff84292a380 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
00007ff84292a088 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTaskPredicate
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSColor (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSColorSpace (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
00007ff842929e00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._absoluteTrigger
00007ff842929dd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._action
00007ff842929de8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._emailAddress
00007ff842929dc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._objectID
00007ff842929df8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relativeTrigger
00007ff842929dd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._reserved
00007ff842929de0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._sound
00007ff842929df0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._url
00007ff842929d18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._address
00007ff842929d20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._commonName
00007ff842929d08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._objectID
00007ff842929d10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._reserved
00007ff842929d28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._status
00007ff842929d98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._color
00007ff842929d88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._group
00007ff842929dc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._isEditable
00007ff842929da0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._notes
00007ff842929d80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._objectID
00007ff842929d90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._reserved
00007ff842929da8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._title
00007ff842929db0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._type
00007ff842929db8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._uid
00007ff842929f00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._alarms
00007ff842929ed0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._calendar
00007ff842929ef8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._dateStamp
00007ff842929ed8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._notes
00007ff842929ec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._objectID
00007ff842929ec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._reserved
00007ff842929ee8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._title
00007ff842929ef0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._uid
00007ff842929ee0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._url
00007ff842929eb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItemPredicate._calendars
00007ff842929d78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._reserved
00007ff842929e18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._attendees
00007ff842929e28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._endDate
00007ff842929e38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._isAllDay
00007ff842929e40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._isDetached
00007ff842929e20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._location
00007ff842929e08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._occurrence
00007ff842929e30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._recurrenceRule
00007ff842929e10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._startDate
00007ff842929cf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._endDate
00007ff842929cf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._startDate
00007ff842929d00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._uid
00007ff842929d68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._emailAddress
00007ff842929d60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._externalServerURL
00007ff842929d70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._fullName
00007ff842929d30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._managedObjectIDString
00007ff842929d38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._reserved
00007ff842929d58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._serverURL
00007ff842929d40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._title
00007ff842929d48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._type
00007ff842929d50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._uid
00007ff842929e98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._dayOfTheWeek
00007ff842929ea0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._weekNumber
00007ff842929ce8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff842929ea8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._endDate
00007ff842929eb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._occurrenceCount
00007ff842929e68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._daysOfTheMonth
00007ff842929e70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._daysOfTheWeek
00007ff842929e78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._firstDayOfTheWeek
00007ff842929e58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._monthsOfTheYear
00007ff842929e60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._nthWeekDaysOfTheMonth
00007ff842929e48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._objectID
00007ff842929e90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceEnd
00007ff842929e80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceInterval
00007ff842929e88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceType
00007ff842929e50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._reserved
00007ff842929f08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._completedDate
00007ff842929f10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._dueDate
00007ff842929f18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._priority
00007ff84292a178 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff842929fe8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff84292a128 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff84292a358 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00007ff84292a308 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItemPredicate
00007ff84292a0b0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff84292a1c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
00007ff842929f98 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEventPredicate
00007ff84292a038 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalGroup
00007ff84292a268 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00007ff842929f48 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00007ff84292a2b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00007ff84292a218 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00007ff84292a3a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalTask
00007ff84292a060 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalTaskPredicate
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _TCCAccessPreflight (from TCC)
                 (undefined) external _TCCAccessRequest (from TCC)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00007ff840c725d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALDailyRecurrence_$_LegacyTranslation
00007ff840c72650 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALMonthlyRecurrence_$_LegacyTranslation
00007ff840c72610 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALWeeklyRecurrence_$_LegacyTranslation
00007ff840c72690 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALYearlyRecurrence_$_LegacyTranslation
00007ff840c72a58 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteManagedEvent_$_CalStoreUtils
00007ff840c72810 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSDate_$_CalStoreUtils
00007ff8118ad798 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00007ff8118ad640 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00007ff8118ad468 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00007ff8118ad8e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00007ff8118ad0a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEventPredicate
00007ff8118ad1b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalGroup
00007ff8118adc60 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00007ff8118add18 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00007ff8118adaa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00007ff8118adf70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00007ff8118ad450 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTaskPredicate
00007ff8118adce0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSDate(CalStoreUtils)
00007ff8118ad7b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00007ff8118ad138 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00007ff8118ad678 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00007ff8118ade08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00007ff8118addb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItemPredicate
00007ff8118ad530 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00007ff8118ad918 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00007ff8118ad0c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEventPredicate
00007ff8118ad1f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalGroup
00007ff8118adc78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00007ff8118ad058 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00007ff8118add38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00007ff8118adad8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00007ff8118adc00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALDailyRecurrence(LegacyTranslation)
00007ff8118adc18 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALMonthlyRecurrence(LegacyTranslation)
00007ff8118adc30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALWeeklyRecurrence(LegacyTranslation)
00007ff8118adc48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALYearlyRecurrence(LegacyTranslation)
00007ff8118addf0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteManagedEvent(CalStoreUtils)
00007ff8118adf90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00007ff8118adcf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSDate(CalStoreUtils)
00007ff840c71f58 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00007ff840c716b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00007ff840c71cc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00007ff840c72b20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00007ff840c729e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItemPredicate
00007ff840c71bd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00007ff840c72158 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00007ff840c71578 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEventPredicate
00007ff840c71860 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalGroup
00007ff840c72758 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00007ff840c714c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00007ff840c728d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00007ff840c723b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00007ff840c72d60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00007ff840c72060 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00007ff840c71758 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00007ff840c71df0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00007ff840c72c48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00007ff840c72260 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00007ff840c71988 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalGroup
00007ff840c727a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00007ff840c72920 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00007ff840c72500 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00007ff840c72dc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00007ff840c71b08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_CalendarAgentClient
00007ff840c71628 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c717d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c71c40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c71ed0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c72330 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c726d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c72850 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c72a98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840c71b58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_CalendarAgentClient
00007ff840c71648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840c717f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
