000000018e1f2e84 (__TEXT,__text) non-external _Annihilate
000000018e205d68 (__TEXT,__text) non-external _header_fetch_from_payload
000000018e230b74 (__TEXT,__text) non-external _init_block
000000018e205a10 (__TEXT,__text) non-external (was a private external) _is_format_invalid
000000018e2058ec (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000018e2063c4 (__TEXT,__text) non-external _is_image_valid
000000018e1f9bac (__TEXT,__text) non-external (was a private external) _join_thread
000000018e256230 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018e237988 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018e2379e8 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e4381838 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018e238241 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018e2378c8 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018e237928 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018e295998 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018e257f50 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e4381a20 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018e237fc8 (__TEXT,__const) non-external _kCmdHistoSeed
000000018e256362 (__TEXT,__const) non-external _kCmdLut
000000018e289874 (__TEXT,__const) non-external _kCodeLengthBits
000000018e256330 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018e289860 (__TEXT,__const) non-external _kCodeLengthDepth
000000018e256342 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018e256352 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018e257e08 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018e257dc8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018e25844c (__TEXT,__const) non-external _kDistanceCacheIndex
000000018e25848c (__TEXT,__const) non-external _kDistanceCacheOffset
000000018e257d14 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018e257d00 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018e257d78 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018e257d64 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018e28a3c0 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018e2898bc (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018e2874a0 (__TEXT,__const) non-external _kPrefixSuffix
000000018e28757a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018e28bc80 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018e28b9c0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018e25853c (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018e2a61a6 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018e2961a6 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018e26853c (__TEXT,__const) non-external _kStaticDictionaryWords
000000018e28c240 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018e28c200 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018e2875de (__TEXT,__const) non-external _kTransformsData
000000018e288260 (__TEXT,__const) non-external _kZeroRepsBits
000000018e287760 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018e1e13bc (__TEXT,__text) non-external _longest_match
000000018e29105c (__TEXT,__const) non-external (was a private external) _lut_rle
000000018e1f9868 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018e2032f4 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018e2032e8 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018e1e6350 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018e1e5f40 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018e1e5d68 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018e1f44b0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018e1e7064 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018e1e2c98 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018e216b48 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018e216b48 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018e216b48 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018e216b14 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018e2163c8 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018e216480 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018e203aa4 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018e2039a0 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018e1ff388 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018e2131e8 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018e211edc (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018e213258 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018e21055c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018e21321c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018e211dc8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018e213260 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018e210420 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018e20b320 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018e21315c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018e201944 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018e213190 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018e2131cc (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018e201924 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018e2920a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018e210474 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018e2918a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018e2106b0 (__TEXT,__text) non-external _lzbitmap_process_block
000000018e21327c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018e2930a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018e2910a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018e234638 (__TEXT,__text) non-external _lzfseBackendMatch
000000018e1e3220 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018e1e6510 (__TEXT,__text) non-external _lzfseDecodeV1
000000018e234344 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018e234698 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018e2341a4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018e2341fc (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018e234a38 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018e2341cc (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018e2342c4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018e234748 (__TEXT,__text) non-external _lzfsePushMatch
000000018e1e2f5c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018e1e2e84 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018e20b314 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018e227bbc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018e227b24 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018e227b04 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018e1e45cc (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018e204960 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018e204728 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018e204958 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018e2027e0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018e1ff0e0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018e205514 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ebd66f00 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018e1e4254 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018e21a790 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018e21a750 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018e257f08 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018e257f28 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018e1e2c98 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018e202d90 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018e202d8c (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018e202d60 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018e202cfc (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018e1e2e58 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018e1e2f38 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
000000018e20bb44 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
000000018e20bafc (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000018e2373ac (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018e211d1c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018e1e4670 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018e211d78 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018e1e4670 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
000000018e2582f0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018e1e2e20 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018e236d7c (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018e2961a0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018e1e2cc8 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018e1e2d6c (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018e236978 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000018e236cb4 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
000000018e1e3d40 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ebd66700 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018e212430 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018e2123d4 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018e1f5054 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018e1f4fb8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018e1f4fac (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018e1f91d8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018e1f9104 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018e1f90e4 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018e1e4680 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018e1e4670 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018e212e4c (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018e212e94 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018e212e38 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018e1e2c98 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018e211d18 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018e211d14 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018e211ce8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018e211cac (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018e211c5c (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018e211c88 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018e219e5c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018e219e50 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018e22f0e0 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018e1ed860 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018e1ed298 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018e1ed464 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018e1ed574 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018e20b9c8 (__TEXT,__text) non-external (was a private external) _parse_size
000000018e28c4fc (__TEXT,__const) non-external _position_slot_base_position
000000018e28c484 (__TEXT,__const) non-external _position_slot_extra_bits
000000018e1e1fbc (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018e230b10 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018e1e5818 (__TEXT,__text) non-external _readHuffmanTable
000000018e20b8f8 (__TEXT,__text) non-external (was a private external) _read_expected
000000018e1df770 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018e1e20c4 (__TEXT,__text) non-external _scan_tree
000000018e1e21b8 (__TEXT,__text) non-external _send_tree
000000018e21312c (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000018e2130b8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000018e2130c8 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000018e21308c (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000018e216b54 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000018e216d30 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
000000018e206a80 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
000000018e206f9c (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
000000018e2001e4 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
000000018e2003e8 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
000000018e219878 (__TEXT,__text) non-external _staticHuffmanTable
00000001e7c59530 (__DATA,__data) non-external _static_bl_desc
00000001e7c59510 (__DATA,__data) non-external _static_d_desc
000000018e294828 (__TEXT,__const) non-external _static_dtree
00000001e7c594f0 (__DATA,__data) non-external _static_l_desc
000000018e2943a8 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001e7c594d0 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018e1f4cbc (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018e1f4ee8 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018e1f4dec (__TEXT,__text) non-external _thread_pool_entry
000000018e1f4b0c (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018e1f4c14 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
000000018e22ef3c (__TEXT,__text) external _touchpadCodecCreate
000000018e1f52a4 (__TEXT,__text) external _touchpadCodecDecodeImage
000000018e22f06c (__TEXT,__text) external _touchpadCodecDestroy
000000018e236d94 (__TEXT,__text) external _touchpadCodecEncodeImage
000000018e22e6dc (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
000000018e20b960 (__TEXT,__text) non-external (was a private external) _write_expected
000000018e295952 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000018e29594c (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000018e236d0c (__TEXT,__text) non-external _xz_read_multi_byte
000000018e236cbc (__TEXT,__text) non-external _xz_simple_crc32
000000018e228024 (__TEXT,__text) external _yzip_codec_create
000000018e228060 (__TEXT,__text) external _yzip_codec_destroy
000000018e2280a4 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018e205bb4 (__TEXT,__text) external _yzip_image_create
000000018e205d20 (__TEXT,__text) external _yzip_image_create_with_payload
000000018e206578 (__TEXT,__text) external _yzip_image_decode
000000018e205ebc (__TEXT,__text) external _yzip_image_destroy
000000018e205ec0 (__TEXT,__text) external _yzip_image_encode
000000018e206790 (__TEXT,__text) external _yzip_image_get_descriptor
000000018e206854 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018e206808 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018e2068dc (__TEXT,__text) external _yzip_image_set_data
000000018e206a74 (__TEXT,__text) external _yzip_image_set_identifier
000000018e206998 (__TEXT,__text) external _yzip_image_set_plane_data
000000018e200e14 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018e200d04 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018e200a88 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018e2018a0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018e20130c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018e2017c8 (__TEXT,__text) non-external _yzip_jobs_process
000000018e200a18 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018e230434 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018e22f4b0 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
000000018e22f3c4 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
000000018e22f51c (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018e22fd14 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018e1e704c (__TEXT,__text) non-external (was a private external) _zError
00000001e43817e8 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018e1dfa88 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018e1e2c14 (__TEXT,__text) non-external (was a private external) _zcfree
000000018e1e66c8 (__TEXT,__text) external _zero_coder_decode
000000018e1e67cc (__TEXT,__text) external _zero_coder_encode
000000018e1e6910 (__TEXT,__text) non-external _zero_coder_init_luts
00000001e7c59554 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001e7c59658 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001e7c59e58 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001e7c59550 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018e1e7044 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018e1e4c20 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018e1e51a8 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018e28c334 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018e28c2f8 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018e1e7038 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018e2196ac (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018e2196a0 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018e1f5850 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018e1f5844 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018e213088 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018e21305c (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018e1e2c98 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018e219e28 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018e1e4670 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018e219e34 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018e219e20 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018e1df6c0 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018e1dfeb8 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018e236950 (__TEXT,__text) non-external vec_table
