00000001e343faa8 (__DATA,__data) non-external _C
0000000180354448 (__TEXT,__text) non-external (was a private external) ___setutxent
00000001802f32ac (__TEXT,__text) external ___sflags
00000001802f2c48 (__TEXT,__text) external ___sflush
00000001802f3374 (__TEXT,__text) external ___sfp
00000001802f3568 (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001802e78a4 (__TEXT,__text) external ___sfvwrite
0000000180324a98 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001e343fe18 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001802ee69c (__TEXT,__text) external ___sinit
0000000180316bbc (__TEXT,__text) external ___slbexpand
00000001802f6fe8 (__TEXT,__text) external ___smakebuf
00000001802e7c34 (__TEXT,__text) external ___snprintf_chk
0000000180359df4 (__TEXT,__text) external ___snprintf_object_size_chk
000000018032bd98 (__TEXT,__text) external ___split_page
00000001803475c8 (__TEXT,__text) non-external ___sprint
00000001802ef014 (__TEXT,__text) external ___sprintf_chk
0000000180359f18 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180324b9c (__TEXT,__text) non-external (was a private external) ___sputrune
0000000180311ca4 (__TEXT,__text) external ___sread
00000001802ee504 (__TEXT,__text) external ___srefill
00000001802ee550 (__TEXT,__text) non-external (was a private external) ___srefill0
00000001802eeacc (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180307c1c (__TEXT,__text) external ___srget
0000000180311e38 (__TEXT,__text) external ___sseek
000000018034ce14 (__TEXT,__text) external ___stack_chk_fail
00000001e556cb58 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001e3441868 (__DATA,__bss) non-external ___stderr_evp
00000001e343fdf8 (__DATA,__data) external ___stderrp
00000001e3441848 (__DATA,__bss) non-external ___stdin_evp
00000001e343fde8 (__DATA,__data) external ___stdinp
0000000180359ff8 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001e3441858 (__DATA,__bss) non-external ___stdout_evp
00000001e343fdf0 (__DATA,__data) external ___stdoutp
0000000180359ea8 (__TEXT,__text) external ___stpcpy_chk
0000000180359f84 (__TEXT,__text) external ___stpncpy_chk
00000001802e8d98 (__TEXT,__text) external ___strcat_chk
00000001803304cc (__TEXT,__text) external ___strcp_D2A
00000001802f0804 (__TEXT,__text) external ___strcpy_chk
00000001e3441a50 (__DATA,__bss) non-external ___strerror_ebuf
00000001802ec504 (__TEXT,__text) external ___strlcat_chk
00000001802e857c (__TEXT,__text) external ___strlcpy_chk
00000001802e9854 (__TEXT,__text) external ___strncat_chk
00000001802ef568 (__TEXT,__text) external ___strncpy_chk
00000001803101c0 (__TEXT,__text) external ___sum_D2A
0000000180344584 (__TEXT,__text) external ___svfscanf
00000001802ec7ac (__TEXT,__text) non-external (was a private external) ___svfscanf_l
000000018035e950 (__TEXT,__const) non-external ___svfscanf_l.basefix
00000001803148dc (__TEXT,__text) external ___swbuf
00000001802f72b4 (__TEXT,__text) external ___swhatbuf
0000000180313db4 (__TEXT,__text) external ___swrite
0000000180303710 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001e343fef0 (__DATA,__data) non-external ___systemfn_mutex
00000001e343ff60 (__DATA,__data) non-external ___systemfn_mutex
000000018035e110 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
000000018031d4bc (__TEXT,__text) non-external ___thread_stack_async_pcs
000000018031d2bc (__TEXT,__text) non-external ___thread_stack_pcs
0000000180305cc8 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001e3441a48 (__DATA,__bss) non-external ___time_load_locale.cache
000000018035e0e8 (__TEXT,__const) external ___tinytens_D2A
00000001802e9980 (__TEXT,__text) external ___tolower
000000018033a770 (__TEXT,__text) external ___tolower_l
00000001802e99c0 (__TEXT,__text) external ___toupper
000000018033a750 (__TEXT,__text) external ___toupper_l
0000000180310308 (__TEXT,__text) external ___trailz_D2A
0000000180308a68 (__TEXT,__text) external ___ulp_D2A
00000001802e7cac (__TEXT,__text) non-external ___ultoa
00000001802e7dd4 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
0000000180307ce4 (__TEXT,__text) external ___ungetc
0000000180343948 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802e897c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
000000018035ede9 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180355118 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001e3441b18 (__DATA,__bss) non-external ___utx__
000000018035ddc8 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001802e45cc (__TEXT,__text) non-external (was a private external) ___v2printf
00000001802e4974 (__TEXT,__text) non-external (was a private external) ___vfprintf
000000018035b5f0 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018035e910 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018035e920 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00000001803447d8 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018035e974 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018035e984 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00000001803477b8 (__TEXT,__text) non-external (was a private external) ___vfwscanf
000000018035ea70 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802f4e58 (__TEXT,__text) external ___vsnprintf_chk
0000000180359e38 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
000000018033b280 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
000000018033affc (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
000000018033a660 (__TEXT,__text) external ___wcwidth
000000018033a790 (__TEXT,__text) external ___wcwidth_l
00000001803042c8 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001e343fbc0 (__DATA,__data) external ___xlocale_C_collate
0000000180301abc (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180321150 (__TEXT,__text) non-external ___xlocale_release
0000000180311ea0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
000000018035a4e4 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001e343fab0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180353e08 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802f4a44 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018034ed38 (__TEXT,__text) external __allocenvstate
0000000180330534 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
000000018033743c (__TEXT,__text) non-external (was a private external) __ascii_init
00000001803374a0 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180337500 (__TEXT,__text) non-external __ascii_mbsinit
0000000180337508 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00000001803375cc (__TEXT,__text) non-external __ascii_wcrtomb
0000000180337614 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018031ca0c (__TEXT,__text) external __atexit_receipt
00000001e3440e50 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802f6050 (__TEXT,__text) non-external __backtrace_snprintf
0000000180317154 (__TEXT,__text) non-external __boottime_fallback_usec
00000001df928f10 (__DATA_CONST,__const) external __c_locale
000000018030aaac (__TEXT,__text) external __cleanup
000000018031e9dc (__TEXT,__text) external __closeutx
000000018034ed3c (__TEXT,__text) external __copyenv
00000001e5a00098 (__AUTH,__data) external __cthread_init_routine
000000018034edd4 (__TEXT,__text) external __deallocenvstate
0000000180311b24 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001e3441b68 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001e3441b60 (__DATA,__common) non-external (was a private external) __e_err_file
00000001803307a4 (__TEXT,__text) non-external (was a private external) __e_visprintf
00000001803545c8 (__TEXT,__text) external __endutxent
000000018035be90 (__TEXT,__text) non-external __endutxent.cold.1
000000018035bec8 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00000001803173dc (__TEXT,__text) non-external __ffpp_strtoencf32_l
000000018035a044 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
000000018035a070 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
000000018035d430 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00000001803176a8 (__TEXT,__text) non-external __ffpp_strtoencf64_l
000000018035a09c (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
000000018035a0c8 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
000000018035a0f4 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
000000018035d7d0 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180333c78 (__TEXT,__text) non-external (was a private external) __filldir
000000018033608c (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018033f964 (__TEXT,__text) external __flockfile_debug_stub
0000000180313a38 (__TEXT,__text) external __fseeko
0000000180311cc4 (__TEXT,__text) external __ftello
000000018030aac0 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
000000018034cfbc (__TEXT,__text) external __getenvp
00000001803548e8 (__TEXT,__text) external __getutxent
000000018035bf00 (__TEXT,__text) non-external __getutxent.cold.1
000000018035bf38 (__TEXT,__text) non-external __getutxent.cold.2
0000000180354998 (__TEXT,__text) external __getutxid
000000018035bf70 (__TEXT,__text) non-external __getutxid.cold.1
000000018035bfa8 (__TEXT,__text) non-external __getutxid.cold.2
0000000180354b9c (__TEXT,__text) external __getutxline
000000018035bfe0 (__TEXT,__text) non-external __getutxline.cold.1
000000018035c018 (__TEXT,__text) non-external __getutxline.cold.2
00000001802f4138 (__TEXT,__text) external __inet_aton_check
0000000180301a44 (__TEXT,__text) external __init_clock_port
000000018034a28c (__TEXT,__text) external __int_to_time
00000001802ef6a4 (__TEXT,__text) non-external __isort
00000001802ef858 (__TEXT,__text) non-external __isort
000000018034ec8c (__TEXT,__text) non-external __legacy_crt1_environ
00000001e556b2c8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001e3441458 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001e556b2c0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001e3441450 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001e556b2b8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001e3441448 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180324210 (__TEXT,__text) external __libc_fork_child
0000000180301990 (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018032420c (__TEXT,__text) external __libc_fork_parent
0000000180324208 (__TEXT,__text) external __libc_fork_prepare
00000001803018ec (__TEXT,__text) external __libc_initializer
0000000180339e00 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180339dd8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180339db0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
000000018034a284 (__TEXT,__text) external __long_to_time
0000000180316f88 (__TEXT,__text) non-external __mach_boottime_usec
000000018031ca60 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001e3440e54 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001e556b2b0 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
000000018030ffc8 (__TEXT,__text) non-external __mkdtemp_action
000000018031619c (__TEXT,__text) non-external __mkfilex_np
0000000180301284 (__TEXT,__text) non-external __mkostemps_action
00000001802f1098 (__TEXT,__text) non-external __mkpath
00000001803117d4 (__TEXT,__text) external __mkpath_np
0000000180341424 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
000000018035b4ac (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180341344 (__TEXT,__text) external __mktemp
00000001802f7c1c (__TEXT,__text) non-external __mktemp_action
000000018033a7d4 (__TEXT,__text) non-external (was a private external) __none_init
000000018030d540 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018033a838 (__TEXT,__text) non-external (was a private external) __none_mbsinit
000000018033a840 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
000000018030aa64 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
000000018033a8d4 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001e3441600 (__DATA,__bss) non-external __onlyClocaleconv
000000018031e930 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018035a5e8 (__TEXT,__text) external __os_assert_log
000000018035a888 (__TEXT,__text) external __os_assert_log_ctx
00000001803077a4 (__TEXT,__text) external __os_assumes_log
000000018035a728 (__TEXT,__text) external __os_assumes_log_ctx
00000001802ef1b0 (__TEXT,__text) external __os_avoid_tail_call
000000018035a5cc (__TEXT,__text) external __os_crash
00000001e3441b50 (__DATA,__common) external __os_crash_callback
0000000180325344 (__TEXT,__text) external __os_crash_fmt
000000018035a9a8 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00000001803252f8 (__TEXT,__text) external __os_crash_msg
000000018035a3a4 (__TEXT,__text) external __os_debug_log
000000018031ec14 (__TEXT,__text) external __os_debug_log_error_offset
0000000180307984 (__TEXT,__text) external __os_debug_log_error_str
0000000180307998 (__TEXT,__text) non-external __os_debug_log_init
000000018031ecb8 (__TEXT,__text) non-external __os_debug_log_open_file
000000018031ea64 (__TEXT,__text) weak external __os_debug_log_redirect_func
000000018031ea6c (__TEXT,__text) non-external __os_debug_log_write
000000018031ec24 (__TEXT,__text) non-external __os_debug_log_write_error
0000000180325450 (__TEXT,__text) non-external __os_get_build
00000001803253a4 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
0000000180307918 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00000001802e8490 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802e7fbc (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802e83f8 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001e64204a0 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180360dfd (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180301958 (__TEXT,__text) non-external (was a private external) __program_vars_init
00000001803501c8 (__TEXT,__text) non-external __psort
0000000180350c40 (__TEXT,__text) non-external __psort
00000001803516e8 (__TEXT,__text) non-external __psort
000000018035baa4 (__TEXT,__text) non-external __psort.cold.1
000000018035baf4 (__TEXT,__text) non-external __psort.cold.1
000000018035bb44 (__TEXT,__text) non-external __psort.cold.1
000000018035015c (__TEXT,__text) non-external __psort_parallel
0000000180350bd4 (__TEXT,__text) non-external __psort_parallel
0000000180351678 (__TEXT,__text) non-external __psort_parallel
000000018034d644 (__TEXT,__text) external __putenvp
0000000180354ca4 (__TEXT,__text) external __pututxline
000000018035c050 (__TEXT,__text) non-external __pututxline.cold.1
000000018035c088 (__TEXT,__text) non-external __pututxline.cold.2
000000018031d59c (__TEXT,__text) non-external __pwuid_r
0000000180310624 (__TEXT,__text) non-external __qsort
0000000180310ea0 (__TEXT,__text) non-external __qsort
00000001e343fae0 (__DATA,__data) external __rand48_add
00000001e343fad8 (__DATA,__data) external __rand48_mult
00000001e343fad0 (__DATA,__data) external __rand48_seed
0000000180334520 (__TEXT,__text) external __readdir_unlocked
00000001802e957c (__TEXT,__text) external __reclaim_telldir
000000018035ed20 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001e556cba0 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
0000000180335fd0 (__TEXT,__text) external __seekdir
000000018034ee30 (__TEXT,__text) external __setenvp
00000001803544a0 (__TEXT,__text) external __setutxent
000000018035be20 (__TEXT,__text) non-external __setutxent.cold.1
000000018035be58 (__TEXT,__text) non-external __setutxent.cold.2
0000000180324394 (__TEXT,__text) external __sigaction_nobind
00000001e3441b88 (__DATA,__common) external __sigintr
00000001803359cc (__TEXT,__text) external __signal_nobind
0000000180316e28 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180335844 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001802eeb3c (__TEXT,__text) external __sread
00000001802f7504 (__TEXT,__text) external __sseek
0000000180302248 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180323158 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001802eba28 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802eba1c (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802f9d20 (__TEXT,__text) non-external (was a private external) __st_time1
00000001802e9b4c (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803553a4 (__TEXT,__text) non-external __strfmon
0000000180308e8c (__TEXT,__text) non-external __strptime0
000000018035eb64 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180322990 (__TEXT,__text) external __subsystem_init
00000001802f4c24 (__TEXT,__text) external __swrite
000000018031d478 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802f0fc4 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018034a26c (__TEXT,__text) external __time32_to_time
000000018034a278 (__TEXT,__text) external __time64_to_time
000000018034a288 (__TEXT,__text) external __time_to_int
000000018034a280 (__TEXT,__text) external __time_to_long
000000018034a274 (__TEXT,__text) external __time_to_time32
000000018034a27c (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
000000018034eec0 (__TEXT,__text) external __unsetenvp
000000018031e858 (__TEXT,__text) non-external (was a private external) __utmpx32_64
000000018031e8c4 (__TEXT,__text) non-external (was a private external) __utmpx64_32
000000018031d818 (__TEXT,__text) non-external (was a private external) __utmpx_asl
000000018035edfa (__TEXT,__const) non-external (was a private external) __utmpx_vers
000000018031dc40 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001e3440e58 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00000001803551dc (__TEXT,__text) external __utmpxname
000000018035c0c0 (__TEXT,__text) non-external __utmpxname.cold.1
000000018035c0f8 (__TEXT,__text) non-external __utmpxname.cold.2
0000000180310494 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180315544 (__TEXT,__text) non-external (was a private external) __vdprintf
000000018031037c (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180303008 (__TEXT,__text) non-external __yconv
000000018034ce74 (__TEXT,__text) external _a64l
000000018035d9c0 (__TEXT,__const) non-external _a64toi
000000018035b888 (__TEXT,__text) external _abort
000000018035b9c0 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
000000018034cf40 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180321910 (__TEXT,__text) external _acl_add_flag_np
00000001803219c0 (__TEXT,__text) external _acl_add_perm
00000001803212c4 (__TEXT,__text) external _acl_calc_mask
0000000180321924 (__TEXT,__text) external _acl_clear_flags_np
0000000180321a0c (__TEXT,__text) external _acl_clear_perms
00000001803212e8 (__TEXT,__text) external _acl_copy_entry
0000000180321c38 (__TEXT,__text) external _acl_copy_ext
00000001802f0ddc (__TEXT,__text) external _acl_copy_ext_native
0000000180321d20 (__TEXT,__text) external _acl_copy_int
0000000180315c1c (__TEXT,__text) external _acl_copy_int_native
000000018032144c (__TEXT,__text) external _acl_create_entry
0000000180321368 (__TEXT,__text) external _acl_create_entry_np
00000001803218ec (__TEXT,__text) external _acl_delete_def_file
0000000180321454 (__TEXT,__text) external _acl_delete_entry
00000001803216fc (__TEXT,__text) external _acl_delete_fd_np
0000000180321720 (__TEXT,__text) external _acl_delete_file_np
0000000180321930 (__TEXT,__text) external _acl_delete_flag_np
0000000180321744 (__TEXT,__text) external _acl_delete_link_np
0000000180321a18 (__TEXT,__text) external _acl_delete_perm
00000001802f0ce0 (__TEXT,__text) external _acl_dup
00000001df928f18 (__DATA_CONST,__const) non-external _acl_flags
00000001802f0eb4 (__TEXT,__text) external _acl_free
0000000180321de4 (__TEXT,__text) external _acl_from_text
0000000180316c3c (__TEXT,__text) external _acl_get_entry
0000000180321768 (__TEXT,__text) external _acl_get_fd
000000018030fffc (__TEXT,__text) external _acl_get_fd_np
000000018030eabc (__TEXT,__text) external _acl_get_file
000000018030eac4 (__TEXT,__text) non-external _acl_get_file1
0000000180316d68 (__TEXT,__text) external _acl_get_flag_np
0000000180316cf8 (__TEXT,__text) external _acl_get_flagset_np
0000000180321770 (__TEXT,__text) external _acl_get_link_np
0000000180321a64 (__TEXT,__text) external _acl_get_perm_np
0000000180321aa8 (__TEXT,__text) external _acl_get_permset
0000000180321b74 (__TEXT,__text) external _acl_get_permset_mask_np
0000000180321540 (__TEXT,__text) external _acl_get_qualifier
00000001803215d0 (__TEXT,__text) external _acl_get_tag_type
0000000180315ccc (__TEXT,__text) external _acl_init
0000000180321b60 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001df928fd8 (__DATA_CONST,__const) non-external _acl_perms
00000001803217f0 (__TEXT,__text) external _acl_set_fd
0000000180321778 (__TEXT,__text) external _acl_set_fd_np
00000001803217f4 (__TEXT,__text) external _acl_set_file
0000000180321944 (__TEXT,__text) external _acl_set_flagset_np
000000018032186c (__TEXT,__text) external _acl_set_link_np
0000000180321b04 (__TEXT,__text) external _acl_set_permset
0000000180321bd0 (__TEXT,__text) external _acl_set_permset_mask_np
000000018032162c (__TEXT,__text) external _acl_set_qualifier
0000000180321698 (__TEXT,__text) external _acl_set_tag_type
00000001802f0d6c (__TEXT,__text) external _acl_size
0000000180322434 (__TEXT,__text) external _acl_to_text
0000000180321208 (__TEXT,__text) external _acl_valid
0000000180321258 (__TEXT,__text) external _acl_valid_fd_np
000000018032127c (__TEXT,__text) external _acl_valid_file_np
00000001803212a0 (__TEXT,__text) external _acl_valid_link
000000018031913c (__TEXT,__text) non-external _addToMP
0000000180341fd0 (__TEXT,__text) non-external _addaster
000000018033574c (__TEXT,__text) non-external _addcmd
000000018033cd88 (__TEXT,__text) external _addr2ascii
00000001e34417e8 (__DATA,__bss) non-external _addr2ascii.staticbuf
00000001803421fc (__TEXT,__text) non-external _addtype
0000000180342e08 (__TEXT,__text) non-external _addwaster
00000001802f8920 (__TEXT,__text) non-external _advance_directory
000000018035a388 (__TEXT,__text) non-external _advance_directory.cold.1
000000018030ebb8 (__TEXT,__text) external _alarm
0000000180329cac (__TEXT,__text) non-external _alloc_segs
0000000180334fa4 (__TEXT,__text) external _alphasort
000000018035ec70 (__TEXT,__const) non-external _ambig
00000001802e40f4 (__TEXT,__text) non-external _arc4_init
000000018035aa4c (__TEXT,__text) non-external _arc4_init.cold.1
00000001802ef664 (__TEXT,__text) external _arc4random
0000000180330530 (__TEXT,__text) external _arc4random_addrandom
00000001802e40a8 (__TEXT,__text) external _arc4random_buf
000000018030fb98 (__TEXT,__text) external _arc4random_stir
00000001802f5004 (__TEXT,__text) external _arc4random_uniform
00000001e3441ae0 (__DATA,__bss) non-external _arg_type_queue
0000000180353c00 (__TEXT,__text) non-external (was a private external) _arrayfree
00000001803128a0 (__TEXT,__text) non-external _arrayget
000000018033ce58 (__TEXT,__text) external _ascii2addr
000000018030d7b8 (__TEXT,__text) external _asctime
0000000180301f60 (__TEXT,__text) external _asctime_r
000000018035eaa7 (__TEXT,__const) non-external _asctime_r.mon_name
000000018035ea92 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001802f057c (__TEXT,__text) external _asprintf
000000018033f9b0 (__TEXT,__text) external _asprintf_l
0000000180323164 (__TEXT,__text) external _asxprintf
0000000180323870 (__TEXT,__text) external _asxprintf_exec
00000001803542d8 (__TEXT,__text) external _at_quick_exit
0000000180308be0 (__TEXT,__text) external _atexit
000000018030ab44 (__TEXT,__text) external _atexit_b
00000001e556b1b8 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802e8e5c (__TEXT,__text) non-external _atexit_register
000000018035ba14 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180315b1c (__TEXT,__text) external _atof
0000000180303828 (__TEXT,__text) external _atof_l
00000001802efaf8 (__TEXT,__text) external _atoi
000000018034cf50 (__TEXT,__text) external _atoi_l
00000001802f7dac (__TEXT,__text) external _atol
000000018034cf74 (__TEXT,__text) external _atol_l
00000001802f14c0 (__TEXT,__text) external _atoll
000000018034cf84 (__TEXT,__text) external _atoll_l
00000001802f0f3c (__TEXT,__text) external _backtrace
00000001803198e0 (__TEXT,__text) external _backtrace_async
000000018031994c (__TEXT,__text) external _backtrace_from_fp
00000001e5a00070 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001802f7870 (__TEXT,__text) external _backtrace_image_offsets
00000001803198c0 (__TEXT,__text) external _backtrace_set_pcs_func
00000001802f5e94 (__TEXT,__text) external _backtrace_symbols
00000001803199b4 (__TEXT,__text) external _backtrace_symbols_fd
00000001802f7808 (__TEXT,__text) external _basename
00000001e556b2e8 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802f6dfc (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
