0000000182bb24f8 (__DATA,__data) non-external _C
0000000180a679f4 (__TEXT,__text) external ___swbuf
0000000180a58c30 (__TEXT,__text) external ___swhatbuf
0000000180a5be44 (__TEXT,__text) external ___swrite
0000000180a67c24 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182bb3320 (__DATA,__data) non-external ___systemfn_mutex
0000000182bb3380 (__DATA,__data) non-external ___systemfn_mutex
0000000180a90888 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180a2e0a4 (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180a2dc54 (__TEXT,__text) non-external ___thread_stack_pcs
0000000180a6df20 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182bbee48 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180a90860 (__TEXT,__const) external ___tinytens_D2A
0000000180a4fcbc (__TEXT,__text) external ___tolower
0000000180a4fe10 (__TEXT,__text) external ___tolower_l
0000000180a4fc7c (__TEXT,__text) external ___toupper
0000000180a4fdf0 (__TEXT,__text) external ___toupper_l
0000000180a401c8 (__TEXT,__text) external ___trailz_D2A
0000000180a41180 (__TEXT,__text) external ___ulp_D2A
0000000180a5fff4 (__TEXT,__text) non-external ___ultoa
0000000180a65138 (__TEXT,__text) non-external ___ultoa
0000000180a5c73c (__TEXT,__text) external ___ungetc
0000000180a5c8f4 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180a78090 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180a91551 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180a7f490 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180a5d038 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180a8eb70 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180a9106f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180a9107f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180a62564 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180a910d4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180a910e4 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180a656e0 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180a911d0 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180a8d7d8 (__TEXT,__text) external ___vsnprintf_chk
0000000180a8d5c0 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180a51d88 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180a51af0 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180a4fcfc (__TEXT,__text) external ___wcwidth
0000000180a4fe30 (__TEXT,__text) external ___wcwidth_l
0000000180a50fa4 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
0000000182bb2bc0 (__DATA,__data) external ___xlocale_C_collate
0000000180a310b0 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180a310e8 (__TEXT,__text) non-external ___xlocale_release
0000000180a31d20 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180a8db68 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000182bb2ac0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180a7f9c8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180a7f814 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180a7817c (__TEXT,__text) external __allocenvstate
0000000180a41378 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180a4a9f0 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180a4aa68 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180a4aac4 (__TEXT,__text) non-external __ascii_mbsinit
0000000180a4aacc (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180a4ab8c (__TEXT,__text) non-external __ascii_wcrtomb
0000000180a4abcc (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180a2693c (__TEXT,__text) non-external __boottime_fallback_usec
0000000180b92808 (__DATA_CONST,__const) external __c_locale
0000000180a561bc (__TEXT,__text) external __cleanup
0000000180a4ba78 (__TEXT,__text) external __collate_lookup
0000000180a4cc90 (__TEXT,__text) non-external (was a private external) __collate_sxfrm
0000000180a8e90c (__TEXT,__text) non-external __collate_sxfrm.cold.1
0000000180a4ca1c (__TEXT,__text) non-external (was a private external) __collate_wxfrm
0000000180a8e8e0 (__TEXT,__text) non-external __collate_wxfrm.cold.1
0000000180a78180 (__TEXT,__text) external __copyenv
0000000182bd94b0 (__AUTH,__data) external __cthread_init_routine
0000000180a78218 (__TEXT,__text) external __deallocenvstate
0000000180a77a74 (__TEXT,__text) non-external __do_nothing
0000000180a3060c (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
0000000182bbef58 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182bbef50 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180a4187c (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
0000000180a26bf0 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180a8d808 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180a8d834 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180a901c0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180a26f48 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180a8d860 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180a8d88c (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180a8d8b8 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180a90560 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180a45d6c (__TEXT,__text) non-external (was a private external) __filldir
0000000180a48528 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180a54b1c (__TEXT,__text) external __flockfile_debug_stub
0000000180a5762c (__TEXT,__text) external __fseeko
0000000180a57ab0 (__TEXT,__text) external __ftello
0000000180a58064 (__TEXT,__text) external __fwalk
0000000180a72244 (__TEXT,__text) external __getenvp
0000000180a2d24c (__TEXT,__text) external __init_clock_port
0000000180a6def8 (__TEXT,__text) external __int_to_time
0000000180a74b08 (__TEXT,__text) non-external __isort
0000000180a756a0 (__TEXT,__text) non-external __isort
0000000182bb4220 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182bb4208 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182bb4218 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182bb4200 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182bb4210 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182bb41f8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180a3337c (__TEXT,__text) external __libc_fork_child
0000000180a33430 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180a33378 (__TEXT,__text) external __libc_fork_parent
0000000180a33374 (__TEXT,__text) external __libc_fork_prepare
0000000180a332c4 (__TEXT,__text) external __libc_initializer
0000000180a4ea70 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180a4ea48 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180a4ea20 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180a6def0 (__TEXT,__text) external __long_to_time
0000000180a26604 (__TEXT,__text) non-external __mach_boottime_usec
0000000182bb41f0 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180a59408 (__TEXT,__text) non-external __mkdtemp_action
0000000180a59138 (__TEXT,__text) non-external __mkostemps_action
0000000180a325e4 (__TEXT,__text) non-external __mkpath
0000000180a325d0 (__TEXT,__text) external __mkpath_np
0000000180a5962c (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180a8ea2c (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180a5948c (__TEXT,__text) external __mktemp
0000000180a594e4 (__TEXT,__text) non-external __mktemp_action
0000000180a4fe74 (__TEXT,__text) non-external (was a private external) __none_init
0000000180a4feec (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180a4ff1c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180a4ff24 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180a4ffb8 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180a4fff8 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180a8dd68 (__TEXT,__text) external __os_assert_log
0000000180a8df74 (__TEXT,__text) external __os_assert_log_ctx
0000000180a8dc5c (__TEXT,__text) external __os_assumes_log
0000000180a8de38 (__TEXT,__text) external __os_assumes_log_ctx
0000000180a33eb0 (__TEXT,__text) external __os_avoid_tail_call
0000000180a8dc50 (__TEXT,__text) external __os_crash
0000000182bbef40 (__DATA,__common) external __os_crash_callback
0000000180a33eb4 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180a77a7c (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180a77bd4 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180a77b40 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182c4ec08 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180a930e8 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180a333f8 (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180a740d0 (__TEXT,__text) external __putenvp
0000000180a74250 (__TEXT,__text) non-external __qsort
0000000180a74d2c (__TEXT,__text) non-external __qsort
0000000182bb2b20 (__DATA,__data) external __rand48_add
0000000182bb2b18 (__DATA,__data) external __rand48_mult
0000000182bb2b10 (__DATA,__data) external __rand48_seed
0000000180a46648 (__TEXT,__text) external __readdir_unlocked
0000000180a4855c (__TEXT,__text) external __reclaim_telldir
0000000180a914b8 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180a4846c (__TEXT,__text) external __seekdir
0000000180a78274 (__TEXT,__text) external __setenvp
0000000180a33a58 (__TEXT,__text) external __sigaction_nobind
0000000182bbef70 (__DATA,__common) external __sigintr
0000000180a476a8 (__TEXT,__text) external __signal_nobind
0000000180a260a8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180a473cc (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180a5be74 (__TEXT,__text) external __sread
0000000180a5bfa8 (__TEXT,__text) external __sseek
0000000180a6b654 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180a31940 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180a69688 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180a3194c (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180a6a150 (__TEXT,__text) non-external (was a private external) __st_time1
0000000180a684c0 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180a7ffac (__TEXT,__text) non-external __strfmon
0000000180a6c73c (__TEXT,__text) non-external __strptime0
0000000180a912a8 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180a311ac (__TEXT,__text) external __subsystem_init
0000000180a5bee4 (__TEXT,__text) external __swrite
0000000180a2e03c (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180a2dc34 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180a6ded8 (__TEXT,__text) external __time32_to_time
0000000180a6dee4 (__TEXT,__text) external __time64_to_time
0000000180a6def4 (__TEXT,__text) external __time_to_int
0000000180a6deec (__TEXT,__text) external __time_to_long
0000000180a6dee0 (__TEXT,__text) external __time_to_time32
0000000180a6dee8 (__TEXT,__text) external __time_to_time64
0000000180a78304 (__TEXT,__text) external __unsetenvp
0000000180a5cab0 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180a5cc98 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180a670ac (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180a6c494 (__TEXT,__text) non-external __yconv
0000000180a718ac (__TEXT,__text) external _a64l
0000000180a8ed74 (__TEXT,__text) external _abort
0000000180a8eea4 (__TEXT,__text) external _abort_report_np
0000000180a71994 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180a28b08 (__TEXT,__text) non-external _addToMP
0000000180a5a138 (__TEXT,__text) non-external _addaster
0000000180a472d4 (__TEXT,__text) non-external _addcmd
0000000180a5a34c (__TEXT,__text) non-external _addtype
0000000180a5aec0 (__TEXT,__text) non-external _addwaster
0000000180a2c168 (__TEXT,__text) non-external _advance_directory
0000000180a8db4c (__TEXT,__text) non-external _advance_directory.cold.1
0000000180a411ec (__TEXT,__text) external _alarm
0000000180a38710 (__TEXT,__text) non-external _alloc_segs
0000000180a46b60 (__TEXT,__text) external _alphasort
0000000180a9139e (__TEXT,__const) non-external _ambig
0000000180a412e4 (__TEXT,__text) non-external _arc4_init
0000000180a8e0d4 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180a41250 (__TEXT,__text) external _arc4random
0000000180a4124c (__TEXT,__text) external _arc4random_addrandom
0000000180a41294 (__TEXT,__text) external _arc4random_buf
0000000180a4132c (__TEXT,__text) external _arc4random_stir
0000000180a41330 (__TEXT,__text) external _arc4random_uniform
0000000180a7ef5c (__TEXT,__text) non-external _arrayget
0000000180a682b8 (__TEXT,__text) external _asctime
0000000180a6816c (__TEXT,__text) external _asctime_r
0000000180a91207 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180a911f2 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180a54ba4 (__TEXT,__text) external _asprintf
0000000180a54bf4 (__TEXT,__text) external _asprintf_l
0000000180a31958 (__TEXT,__text) external _asxprintf
0000000180a32368 (__TEXT,__text) external _asxprintf_exec
0000000180a7fe98 (__TEXT,__text) external _at_quick_exit
0000000180a719ec (__TEXT,__text) external _atexit
0000000180a71b40 (__TEXT,__text) external _atexit_b
0000000182bb31e8 (__DATA,__data) non-external _atexit_mutex
0000000180a71a20 (__TEXT,__text) non-external _atexit_register
0000000180a8eef8 (__TEXT,__text) non-external _atexit_register.cold.1
0000000180a71ed0 (__TEXT,__text) external _atof
0000000180a71ef8 (__TEXT,__text) external _atof_l
0000000180a71f04 (__TEXT,__text) external _atoi
0000000180a71f44 (__TEXT,__text) external _atoi_l
0000000180a71f68 (__TEXT,__text) external _atol
0000000180a71f94 (__TEXT,__text) external _atol_l
0000000180a71fa4 (__TEXT,__text) external _atoll
0000000180a71fd0 (__TEXT,__text) external _atoll_l
0000000180a294d0 (__TEXT,__text) external _backtrace
0000000180a29538 (__TEXT,__text) external _backtrace_async
0000000180a295b4 (__TEXT,__text) external _backtrace_from_fp
0000000182bd92d8 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180a2961c (__TEXT,__text) external _backtrace_image_offsets
0000000180a294ac (__TEXT,__text) external _backtrace_set_pcs_func
0000000180a41458 (__TEXT,__text) external _basename
0000000182bb4250 (__DATA,__bss) non-external _basename.bname
0000000180a4137c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180a2f41c (__TEXT,__text) external _bcopy
0000000180a28e30 (__TEXT,__text) non-external _bitCountMP
0000000180a8db20 (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180a9108f (__TEXT,__const) non-external _blanks
0000000180a91150 (__TEXT,__const) non-external _blanks
0000000182bb3370 (__DATA,__data) non-external _blanks
0000000180a2d490 (__TEXT,__text) non-external _both_ftw
0000000182bb40e8 (__DATA,__bss) non-external _brapreg
0000000180a26a50 (__TEXT,__text) external _brk
0000000180a26a74 (__TEXT,__text) external _bsd_signal
0000000180a71fe0 (__TEXT,__text) external _bsearch
0000000180a72068 (__TEXT,__text) external _bsearch_b
0000000180a3772c (__TEXT,__text) non-external _bt_broot
0000000180a37478 (__TEXT,__text) non-external _bt_page
0000000180a37894 (__TEXT,__text) non-external _bt_preserve
0000000180a378ec (__TEXT,__text) non-external _bt_psplit
0000000180a37394 (__TEXT,__text) non-external _bt_root
0000000180a3762c (__TEXT,__text) non-external _bt_rroot
0000000180a4aee0 (__TEXT,__text) external _btowc
0000000180a4ae24 (__TEXT,__text) external _btowc_l
0000000182bb5dc8 (__DATA,__bss) non-external _buf_asctime
0000000180a5a444 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180a8ff58 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180a8ff30 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180a54a04 (__TEXT,__text) external _catclose
0000000180b92b48 (__DATA_CONST,__const) non-external _categories
0000000180a5472c (__TEXT,__text) external _catgets
0000000180a54054 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180a48774 (__TEXT,__text) external _cfgetispeed
0000000180a4876c (__TEXT,__text) external _cfgetospeed
0000000180a487a0 (__TEXT,__text) external _cfmakeraw
0000000180a48788 (__TEXT,__text) external _cfsetispeed
0000000180a4877c (__TEXT,__text) external _cfsetospeed
0000000180a48794 (__TEXT,__text) external _cfsetspeed
0000000180a43b58 (__TEXT,__text) external _cgetcap
0000000180a44368 (__TEXT,__text) external _cgetclose
0000000180a43be4 (__TEXT,__text) external _cgetent
0000000180a442f8 (__TEXT,__text) external _cgetfirst
0000000180a44280 (__TEXT,__text) external _cgetmatch
0000000180a443b4 (__TEXT,__text) external _cgetnext
0000000180a44b1c (__TEXT,__text) external _cgetnum
0000000180a43ac0 (__TEXT,__text) external _cgetset
0000000180a44778 (__TEXT,__text) external _cgetstr
0000000180a44a1c (__TEXT,__text) external _cgetustr
0000000180a4bbd8 (__TEXT,__text) non-external _chainsearch
0000000180a90e68 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180a2c40c (__TEXT,__text) non-external _check_env_var
0000000180a54c20 (__TEXT,__text) external _clearerr
0000000180a54c64 (__TEXT,__text) external _clearerr_unlocked
0000000180a414c8 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180a2682c (__TEXT,__text) external _clock_getres
0000000180a2667c (__TEXT,__text) external _clock_gettime
0000000180a26458 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182bbef04 (__DATA,__common) external _clock_port
0000000182bbef00 (__DATA,__common) external _clock_sem
0000000180a268d0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180a2becc (__TEXT,__text) non-external _close_directory
0000000180a41538 (__TEXT,__text) external _closedir
0000000180b93110 (__DATA_CONST,__const) non-external _cnames
0000000180a39b74 (__TEXT,__text) non-external _collect_data
0000000180a39d3c (__TEXT,__text) non-external _collect_key
0000000180a9131e (__TEXT,__const) non-external _command_substitution_str
0000000180a2c208 (__TEXT,__text) external _compat_mode
0000000180a296d8 (__TEXT,__text) external _confstr
0000000180a31e8c (__TEXT,__text) external _copy_printf_domain
0000000180a8bac4 (__TEXT,__text) external _creat
0000000180a33f6c (__TEXT,__text) external _creat$NOCANCEL
0000000180a415ac (__TEXT,__text) external _ctermid
0000000182bb2b28 (__DATA,__data) non-external _ctermid.def
0000000180a415d8 (__TEXT,__text) external _ctermid_r
0000000180a6a0cc (__TEXT,__text) external _ctime
0000000180a6a100 (__TEXT,__text) external _ctime_r
0000000182bb2c94 (__DATA,__data) non-external _current_categories
0000000180a50574 (__TEXT,__text) non-external _currentlocale
0000000182bb4510 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182bb4148 (__DATA,__bss) non-external _curshell
0000000182bb3250 (__DATA,__data) non-external _dash_prefix
0000000182bbef90 (__DATA,__common) external _daylight
0000000180a3bdd4 (__TEXT,__text) external _dbm_clearerr
0000000180a3bc04 (__TEXT,__text) external _dbm_close
0000000180a3bd48 (__TEXT,__text) external _dbm_delete
0000000180a3bde4 (__TEXT,__text) external _dbm_dirfno
0000000180a3bdc8 (__TEXT,__text) external _dbm_error
0000000180a3bc10 (__TEXT,__text) external _dbm_fetch
0000000180a3bc5c (__TEXT,__text) external _dbm_firstkey
0000000180a3bccc (__TEXT,__text) external _dbm_nextkey
0000000180a3bb18 (__TEXT,__text) external _dbm_open
0000000180a3bd84 (__TEXT,__text) external _dbm_store
0000000180a3805c (__TEXT,__text) external _dbopen
0000000182bb42c0 (__DATA,__bss) non-external _dbp
0000000182bb4108 (__DATA,__bss) non-external _decpreg
0000000180a91490 (__TEXT,__const) non-external _degrees
0000000180a4b964 (__TEXT,__text) non-external _destruct_collate
0000000180a7b7b8 (__TEXT,__text) non-external _destruct_ctype
0000000180a4e090 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180a31110 (__TEXT,__text) non-external _destruct_locale
0000000180a29bb4 (__TEXT,__text) external _devname
0000000182bb4068 (__DATA,__bss) non-external _devname.buf
0000000180a29a64 (__TEXT,__text) external _devname_r
0000000180a682c4 (__TEXT,__text) external _difftime
0000000180a2e834 (__TEXT,__text) external _digittoint
0000000180a2eb34 (__TEXT,__text) external _digittoint_l
0000000180a33e78 (__TEXT,__text) external _dirfd
0000000180a416f4 (__TEXT,__text) external _dirname
0000000182bb4258 (__DATA,__bss) non-external _dirname.dname
0000000180a415f8 (__TEXT,__text) external _dirname_r
0000000180a72100 (__TEXT,__text) external _div
0000000182bb1e38 (__DATA,__data) non-external _dktypenames
0000000180a4a0b8 (__TEXT,__text) non-external _do_hvis
0000000180a4a1f0 (__TEXT,__text) non-external _do_mvis
0000000180a4a398 (__TEXT,__text) non-external _do_svis
0000000180a54c74 (__TEXT,__text) external _dprintf
0000000180a54cc4 (__TEXT,__text) external _dprintf_l
0000000180a41764 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180a305b0 (__TEXT,__text) external _duplocale
0000000180a31994 (__TEXT,__text) external _dxprintf
0000000180a323a8 (__TEXT,__text) external _dxprintf_exec
0000000180a7a268 (__TEXT,__text) external _ecvt
0000000182bb4328 (__DATA,__bss) non-external _empty
0000000182bb4338 (__DATA,__bss) non-external _empty
0000000182bb3298 (__DATA,__data) non-external _end_ptr
0000000180a2cd50 (__TEXT,__text) external _endttyent
0000000180a2d0bc (__TEXT,__text) external _endusershell
0000000180a7221c (__TEXT,__text) external _environ_lock_np
0000000182bb41e0 (__DATA,__bss) non-external _environ_pointer
0000000180a7222c (__TEXT,__text) external _environ_unlock_np
0000000180a674e8 (__TEXT,__text) non-external _eofread
0000000180a67918 (__TEXT,__text) non-external _eofread
0000000180a417e8 (__TEXT,__text) external _erand48
0000000180a8e20c (__TEXT,__text) external _err
0000000180a419c8 (__TEXT,__text) external _err_set_exit
0000000180a41a20 (__TEXT,__text) external _err_set_exit_b
0000000180a419a8 (__TEXT,__text) external _err_set_file
0000000180a8e378 (__TEXT,__text) external _errc
0000000180a8e398 (__TEXT,__text) external _errx
0000000180a90940 (__TEXT,__const) non-external _escape
0000000180a41a7c (__TEXT,__text) external _execl
0000000180a41b5c (__TEXT,__text) external _execle
0000000180a41c44 (__TEXT,__text) external _execlp
0000000180a41d84 (__TEXT,__text) external _execv
0000000180a41dc0 (__TEXT,__text) external _execvP
0000000180a41e0c (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
0000000180a41d20 (__TEXT,__text) external _execvp
0000000180a72130 (__TEXT,__text) external _exit
0000000180a312dc (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180a56130 (__TEXT,__text) external _f_prealloc
0000000180a27494 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180a54cf0 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180a7a454 (__TEXT,__text) external _fcvt
0000000180a54e68 (__TEXT,__text) external _fdopen
0000000180a8c684 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180a45a50 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180a54ff0 (__TEXT,__text) external _feof
0000000180a55028 (__TEXT,__text) external _feof_unlocked
0000000180a55034 (__TEXT,__text) external _ferror
0000000180a5506c (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180a3ba78 (__TEXT,__text) non-external _fetch_bitmap
0000000180a2da4c (__TEXT,__text) external _fflagstostr
0000000180a55078 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180a55318 (__TEXT,__text) external _fgetc
0000000180a55400 (__TEXT,__text) external _fgetln
0000000180a555ac (__TEXT,__text) external _fgetpos
0000000180a555dc (__TEXT,__text) external _fgets
0000000180a557b8 (__TEXT,__text) external _fgetwc
0000000180a55944 (__TEXT,__text) external _fgetwc_l
0000000180a55aa0 (__TEXT,__text) external _fgetwln
0000000180a559c8 (__TEXT,__text) external _fgetwln_l
0000000180a55c94 (__TEXT,__text) external _fgetws
0000000180a55ac4 (__TEXT,__text) external _fgetws_l
0000000182bb3038 (__DATA,__data) non-external _filelist_lock
0000000180a55cb8 (__TEXT,__text) external _fileno
0000000180a55cec (__TEXT,__text) external _fileno_unlocked
0000000180a58e9c (__TEXT,__text) non-external _find_temp_path
0000000180a6de24 (__TEXT,__text) non-external _first_wday_of
0000000180a54ae0 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180a38f60 (__TEXT,__text) non-external _flush_meta
0000000180a7096c (__TEXT,__text) external _fmemopen
0000000180a70cd8 (__TEXT,__text) non-external _fmemopen_close
