0000000182afa7a8 (__DATA,__data) external _NDR_record
0000000180ad2560 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180ad28c8 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180ad25a0 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180ad26a0 (__DATA_CONST,__const) non-external _err_codes_io
0000000180ad2148 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180ad2898 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180ad2c80 (__DATA_CONST,__const) non-external _err_codes_mach_mig
0000000180ad2bf8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180ad2b40 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180ad2868 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180ad2b00 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180ad25c0 (__DATA_CONST,__const) non-external _err_codes_netmemory
0000000180ad2540 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180ad2610 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180ad2ab8 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180ad2a58 (__DATA_CONST,__const) non-external _err_codes_send
0000000180ad27d8 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180ad25e0 (__DATA_CONST,__const) non-external _err_codes_task_master
0000000180ad25d8 (__DATA_CONST,__const) non-external _err_codes_ufs
0000000180ad2310 (__DATA_CONST,__const) non-external _err_codes_unix
0000000180ad2718 (__DATA_CONST,__const) non-external _err_codes_us
0000000180ad2900 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000180ad29f0 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000180ad2058 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000180ad20d0 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
0000000180ad1d38 (__DATA_CONST,__const) non-external _err_os_sub
0000000180ad1dd8 (__DATA_CONST,__const) non-external _err_server_sub
0000000180a16af0 (__TEXT,__const) non-external _err_us_sub
0000000182afa830 (__DATA,__common) external _errno
0000000180a11ecc (__TEXT,__text) external _etap_trace_thread
00000001809fca14 (__TEXT,__text) external _exc_server
00000001809fc9e0 (__TEXT,__text) external _exc_server_routine
00000001809fc02c (__TEXT,__text) external _exception_raise
00000001809fc1a8 (__TEXT,__text) external _exception_raise_state
00000001809fc41c (__TEXT,__text) external _exception_raise_state_identity
00000001809e7620 (__TEXT,__text) external _exchangedata
00000001809ec474 (__TEXT,__text) external _exclaves_audio_buffer_copyout
00000001809ec448 (__TEXT,__text) external _exclaves_audio_buffer_create
00000001809ec418 (__TEXT,__text) external _exclaves_boot
00000001809ec078 (__TEXT,__text) external _exclaves_endpoint_call
00000001809ec17c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
00000001809ec150 (__TEXT,__text) external _exclaves_inbound_buffer_create
00000001809ec33c (__TEXT,__text) external _exclaves_launch_conclave
00000001809ec380 (__TEXT,__text) external _exclaves_lookup_service
00000001809ec2d4 (__TEXT,__text) external _exclaves_named_buffer_copyin
00000001809ec308 (__TEXT,__text) external _exclaves_named_buffer_copyout
00000001809ec1b0 (__TEXT,__text) external _exclaves_named_buffer_create
00000001809ec568 (__TEXT,__text) external _exclaves_notification_create
00000001809ec11c (__TEXT,__text) external _exclaves_outbound_buffer_copyout
00000001809ec0f0 (__TEXT,__text) external _exclaves_outbound_buffer_create
00000001809ec4a8 (__TEXT,__text) external _exclaves_sensor_create
00000001809ec4d8 (__TEXT,__text) external _exclaves_sensor_start
00000001809ec538 (__TEXT,__text) external _exclaves_sensor_status
00000001809ec508 (__TEXT,__text) external _exclaves_sensor_stop
00000001809f2694 (__TEXT,__text) external _execve
00000001809e764c (__TEXT,__text) external _faccessat
00000001809e7678 (__TEXT,__text) external _fchdir
00000001809e76a4 (__TEXT,__text) external _fchflags
00000001809f0680 (__TEXT,__text) external _fchmod
00000001809e76d0 (__TEXT,__text) external _fchmodat
00000001809e76fc (__TEXT,__text) external _fchown
00000001809e7728 (__TEXT,__text) external _fchownat
00000001809e7754 (__TEXT,__text) external _fclonefileat
00000001809f2d28 (__TEXT,__text) external _fcntl
00000001809f29ac (__TEXT,__text) external _fcntl$NOCANCEL
00000001809e7780 (__TEXT,__text) external _fdatasync
00000001809e77ac (__TEXT,__text) external _ffsctl
00000001809e77d8 (__TEXT,__text) external _fgetattrlist
00000001809e7804 (__TEXT,__text) external _fgetxattr
00000001809e7830 (__TEXT,__text) external _fhopen
00000001809e785c (__TEXT,__text) external _fileport_makefd
00000001809e7888 (__TEXT,__text) external _fileport_makeport
00000001809e78b4 (__TEXT,__text) external _flistxattr
00000001809e78e0 (__TEXT,__text) external _flock
00000001809e790c (__TEXT,__text) external _fmount
00000001809e7938 (__TEXT,__text) external _fpathconf
00000001809eba68 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001809e7964 (__TEXT,__text) external _freadlink
00000001809e7990 (__TEXT,__text) external _fremovexattr
00000001809f6c60 (__TEXT,__text) external _fs_snapshot_create
00000001809f6cb0 (__TEXT,__text) external _fs_snapshot_delete
00000001809f6c7c (__TEXT,__text) external _fs_snapshot_list
00000001809f6d20 (__TEXT,__text) external _fs_snapshot_mount
00000001809f6ccc (__TEXT,__text) external _fs_snapshot_rename
00000001809f6ce8 (__TEXT,__text) external _fs_snapshot_revert
00000001809f6d04 (__TEXT,__text) external _fs_snapshot_root
00000001809e79bc (__TEXT,__text) external _fsctl
00000001809e79e8 (__TEXT,__text) external _fsetattrlist
00000001809e7a14 (__TEXT,__text) external _fsetxattr
00000001809e7a40 (__TEXT,__text) external _fsgetpath
00000001809e7a6c (__TEXT,__text) external _fsgetpath_ext
00000001809e7a98 (__TEXT,__text) external _fstat
00000001809e7a98 (__TEXT,__text) external _fstat64
00000001809e7ac4 (__TEXT,__text) external _fstatat
00000001809e7ac4 (__TEXT,__text) external _fstatat64
00000001809e7af0 (__TEXT,__text) external _fstatfs
00000001809e7af0 (__TEXT,__text) external _fstatfs64
00000001809e7b1c (__TEXT,__text) external _fsync
00000001809e5098 (__TEXT,__text) external _fsync$NOCANCEL
00000001809e7b48 (__TEXT,__text) external _ftruncate
00000001809efeb0 (__TEXT,__text) external _futimens
00000001809e7b74 (__TEXT,__text) external _futimes
0000000182afa7b0 (__DATA,__crash_info) non-external _gCRAnnotations
00000001809e50c4 (__TEXT,__text) external _getattrlist
00000001809e7ba0 (__TEXT,__text) external _getattrlistat
00000001809e7bcc (__TEXT,__text) external _getattrlistbulk
00000001809fb3e0 (__TEXT,__text) external _getaudit
00000001809e7bf8 (__TEXT,__text) external _getaudit_addr
00000001809e7c24 (__TEXT,__text) external _getauid
00000001809e7c50 (__TEXT,__text) external _getdirentries
00000001809e7c7c (__TEXT,__text) external _getdirentriesattr
00000001809e7ca8 (__TEXT,__text) external _getdtablesize
00000001809e7cd4 (__TEXT,__text) external _getegid
00000001809e7d00 (__TEXT,__text) external _getentropy
00000001809e7d2c (__TEXT,__text) external _geteuid
00000001809e7d58 (__TEXT,__text) external _getfh
00000001809e7d84 (__TEXT,__text) external _getfsstat
00000001809e7d84 (__TEXT,__text) external _getfsstat64
00000001809e7db0 (__TEXT,__text) external _getgid
00000001809e7ddc (__TEXT,__text) external _getgroups
00000001809efac0 (__TEXT,__text) external _gethostuuid
00000001809ed9cc (__TEXT,__text) external _getiopolicy_np
00000001809e7e08 (__TEXT,__text) external _getitimer
00000001809e5174 (__TEXT,__text) external _getpeername
00000001809e7e34 (__TEXT,__text) external _getpgid
00000001809e7e60 (__TEXT,__text) external _getpgrp
00000001809e51a0 (__TEXT,__text) external _getpid
00000001809e7e8c (__TEXT,__text) external _getppid
00000001809e7eb8 (__TEXT,__text) external _getpriority
00000001809f2ec4 (__TEXT,__text) external _getrlimit
00000001809e7ee4 (__TEXT,__text) external _getrusage
00000001809e521c (__TEXT,__text) external _getsgroups_np
00000001809e7f10 (__TEXT,__text) external _getsid
00000001809e5248 (__TEXT,__text) external _getsockname
00000001809e7f3c (__TEXT,__text) external _getsockopt
00000001809e7f68 (__TEXT,__text) external _getuid
00000001809e52fc (__TEXT,__text) external _getwgroups_np
00000001809e7f94 (__TEXT,__text) external _getxattr
00000001809e7fc0 (__TEXT,__text) external _grab_pgo_data
00000001809e7fec (__TEXT,__text) external _graftdmg
00000001809e8018 (__TEXT,__text) external _guarded_close_np
00000001809e8044 (__TEXT,__text) external _guarded_kqueue_np
00000001809ebae4 (__TEXT,__text) external _guarded_open_dprotected_np
00000001809fb838 (__TEXT,__text) external _guarded_open_np
00000001809e8070 (__TEXT,__text) external _guarded_pwrite_np
00000001809e809c (__TEXT,__text) external _guarded_write_np
00000001809e80c8 (__TEXT,__text) external _guarded_writev_np
0000000180a1a10c (__TEXT,__cstring) non-external _hex
00000001809ebb34 (__TEXT,__text) external _host_check_multiuser_mode
00000001809ebb3c (__TEXT,__text) external _host_create_mach_voucher
00000001809e45a4 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001809fcffc (__TEXT,__text) external _host_default_memory_manager
00000001809febb8 (__TEXT,__text) external _host_get_UNDServer
00000001809ebb14 (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001809fcaa0 (__TEXT,__text) external _host_get_boot_info
00000001809fd6f0 (__TEXT,__text) external _host_get_clock_control
00000001809ffbfc (__TEXT,__text) external _host_get_clock_service
00000001809fe050 (__TEXT,__text) external _host_get_exception_ports
00000001809ffa9c (__TEXT,__text) external _host_get_io_main
00000001809ebbb4 (__TEXT,__text) external _host_get_io_master
00000001809ebb2c (__TEXT,__text) external _host_get_multiuser_config_flags
00000001809fdc78 (__TEXT,__text) external _host_get_special_port
00000001809ff1f4 (__TEXT,__text) external _host_info
00000001809ff418 (__TEXT,__text) external _host_kernel_version
0000000180a0084c (__TEXT,__text) external _host_lockgroup_info
00000001809ebf6c (__TEXT,__text) external _host_page_size
00000001809fcdd8 (__TEXT,__text) external _host_priv_statistics
00000001809ff8fc (__TEXT,__text) external _host_processor_info
00000001809fe91c (__TEXT,__text) external _host_processor_set_priv
00000001809fe798 (__TEXT,__text) external _host_processor_sets
00000001809fd56c (__TEXT,__text) external _host_processors
00000001809fccb8 (__TEXT,__text) external _host_reboot
0000000180a0110c (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180a012a0 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180a00718 (__TEXT,__text) external _host_request_notification
00000001809fef08 (__TEXT,__text) external _host_security_create_task_token
00000001809ff0ac (__TEXT,__text) external _host_security_set_task_token
00000001809ed828 (__TEXT,__text) external _host_self
00000001809e4454 (__TEXT,__text) external _host_self_trap
00000001809fea94 (__TEXT,__text) external _host_set_UNDServer
0000000180a01428 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001809fdf18 (__TEXT,__text) external _host_set_exception_ports
0000000180a01760 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001809fdde4 (__TEXT,__text) external _host_set_special_port
0000000180a004f4 (__TEXT,__text) external _host_statistics
0000000180a009e0 (__TEXT,__text) external _host_statistics64
00000001809fe324 (__TEXT,__text) external _host_swap_exception_ports
00000001809ffef0 (__TEXT,__text) external _host_virtual_physical_table_info
0000000182afa788 (__DATA,__data) external _important_boost_assertion_token
0000000182b72cf0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001809eb95c (__TEXT,__text) non-external _internal_catch_exception_raise
0000000182afa778 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001809eb830 (__TEXT,__text) non-external _internal_catch_exception_raise_state
0000000182afa770 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001809eb6f0 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
0000000182afa768 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001809f2f44 (__TEXT,__text) external _ioctl
00000001809e80f4 (__TEXT,__text) external _issetugid
0000000182afaeb8 (__DATA,__bss) non-external _kAccountingThreshold
00000001809e8120 (__TEXT,__text) external _kas_info
00000001809f6f2c (__TEXT,__text) external _kdebug_is_enabled
00000001809f7118 (__TEXT,__text) external _kdebug_signpost
00000001809f71e4 (__TEXT,__text) external _kdebug_signpost_end
00000001809f7120 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001809f71d4 (__TEXT,__text) external _kdebug_signpost_start
00000001809f6fa0 (__TEXT,__text) external _kdebug_timestamp
00000001809f6fb8 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001809f6fd4 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001809f6ff0 (__TEXT,__text) external _kdebug_trace
00000001809f7070 (__TEXT,__text) external _kdebug_trace_string
00000001809f6ea8 (__TEXT,__text) external _kdebug_typefilter
0000000182afaee0 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
00000001809f6f8c (__TEXT,__text) external _kdebug_using_continuous_time
00000001809e814c (__TEXT,__text) external _kevent
00000001809e8178 (__TEXT,__text) external _kevent64
00000001809e81a4 (__TEXT,__text) external _kevent_id
00000001809e81d0 (__TEXT,__text) external _kevent_qos
00000001809fed18 (__TEXT,__text) external _kext_request
00000001809f69dc (__TEXT,__text) external _kill
00000001809fdad0 (__TEXT,__text) external _kmod_control
00000001809fd860 (__TEXT,__text) external _kmod_create
00000001809fd9b0 (__TEXT,__text) external _kmod_destroy
00000001809ffd6c (__TEXT,__text) external _kmod_get_info
00000001809fb4cc (__TEXT,__text) external _kpersona_alloc
00000001809fb54c (__TEXT,__text) external _kpersona_dealloc
00000001809fb69c (__TEXT,__text) external _kpersona_find
00000001809fb780 (__TEXT,__text) external _kpersona_find_by_type
00000001809fb590 (__TEXT,__text) external _kpersona_get
00000001809fb5d0 (__TEXT,__text) external _kpersona_getpath
00000001809fb614 (__TEXT,__text) external _kpersona_info
00000001809fb50c (__TEXT,__text) external _kpersona_palloc
00000001809fb658 (__TEXT,__text) external _kpersona_pidinfo
00000001809e81fc (__TEXT,__text) external _kqueue
00000001809e5538 (__TEXT,__text) external _lchown
00000001809e8228 (__TEXT,__text) external _ledger
00000001809e8254 (__TEXT,__text) external _link
00000001809e8280 (__TEXT,__text) external _linkat
00000001809e82ac (__TEXT,__text) external _lio_listio
00000001809e5564 (__TEXT,__text) external _listen
00000001809e82d8 (__TEXT,__text) external _listxattr
0000000180a0baec (__TEXT,__text) external _lock_set_create
0000000180a0bc58 (__TEXT,__text) external _lock_set_destroy
00000001809f067c (__TEXT,__text) external _log_data_as_kernel
00000001809e55bc (__TEXT,__text) external _lseek
00000001809e8304 (__TEXT,__text) external _lstat
00000001809e8304 (__TEXT,__text) external _lstat64
00000001809e42e0 (__TEXT,__text) external _mach_absolute_time
00000001809e4364 (__TEXT,__text) external _mach_absolute_time_kernel
00000001809efaa4 (__TEXT,__text) external _mach_approximate_time
00000001809efb9c (__TEXT,__text) external _mach_boottime_usec
00000001809eb638 (__TEXT,__text) external _mach_continuous_approximate_time
00000001809eb5c0 (__TEXT,__text) external _mach_continuous_time
00000001809e4370 (__TEXT,__text) external _mach_continuous_time_kernel
00000001809ebee4 (__TEXT,__text) external _mach_error
0000000182afa7f8 (__DATA,__common) external _mach_error_full_diag
00000001809ebec0 (__TEXT,__text) external _mach_error_string
00000001809ebd34 (__TEXT,__text) non-external _mach_error_string_int
00000001809ebbb8 (__TEXT,__text) external _mach_error_type
0000000180a15138 (__TEXT,__text) external _mach_eventlink_associate
0000000180a14e78 (__TEXT,__text) external _mach_eventlink_create
0000000180a15018 (__TEXT,__text) external _mach_eventlink_destroy
0000000180a15280 (__TEXT,__text) external _mach_eventlink_disassociate
00000001809efe14 (__TEXT,__text) external _mach_eventlink_signal
00000001809efe70 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001809efe30 (__TEXT,__text) external _mach_eventlink_wait_until
00000001809e44f0 (__TEXT,__text) external _mach_generate_activity_id
00000001809f2b48 (__TEXT,__text) external _mach_get_times
00000001809edc20 (__TEXT,__text) external _mach_host_self
00000001809e9eb8 (__TEXT,__text) external _mach_host_special_port_description
0000000180ad1ba0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001809e9f18 (__TEXT,__text) external _mach_host_special_port_for_id
0000000182afa5f0 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001809ebf80 (__TEXT,__text) external _mach_init
0000000182afaea8 (__DATA,__bss) non-external _mach_init.mach_init_inited
00000001809ebfb8 (__TEXT,__text) non-external _mach_init_doit
0000000180a07204 (__TEXT,__text) external _mach_make_memory_entry
0000000180a142f8 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180a14bc0 (__TEXT,__text) external _mach_memory_entry_access_tracking
0000000180a14d40 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180a14a64 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180a01548 (__TEXT,__text) external _mach_memory_info
00000001809ff76c (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180a00364 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001809ec710 (__TEXT,__text) external _mach_msg
00000001809ec604 (__TEXT,__text) external _mach_msg2_internal
00000001809e4520 (__TEXT,__text) external _mach_msg2_trap
00000001809ec9cc (__TEXT,__text) external _mach_msg_destroy
00000001809ecb1c (__TEXT,__text) non-external _mach_msg_destroy_port
00000001809ec734 (__TEXT,__text) external _mach_msg_overwrite
00000001809e446c (__TEXT,__text) external _mach_msg_overwrite_trap
00000001809ed31c (__TEXT,__text) external _mach_msg_priority_encode
00000001809ed30c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001809ed350 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001809ed360 (__TEXT,__text) external _mach_msg_priority_qos
00000001809ed370 (__TEXT,__text) external _mach_msg_priority_relpri
00000001809ec990 (__TEXT,__text) external _mach_msg_receive
00000001809ec954 (__TEXT,__text) external _mach_msg_send
00000001809ecf80 (__TEXT,__text) external _mach_msg_server
00000001809ecf18 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001809ed2f8 (__TEXT,__text) external _mach_msg_server_importance
00000001809ecc40 (__TEXT,__text) external _mach_msg_server_once
00000001809e4460 (__TEXT,__text) external _mach_msg_trap
0000000180a080a4 (__TEXT,__text) external _mach_notify_dead_name
0000000180a07fe0 (__TEXT,__text) external _mach_notify_no_senders
0000000180a07f04 (__TEXT,__text) external _mach_notify_port_deleted
0000000180a07f6c (__TEXT,__text) external _mach_notify_port_destroyed
0000000180a08048 (__TEXT,__text) external _mach_notify_send_once
00000001809fa288 (__TEXT,__text) external _mach_port_allocate
00000001809fa60c (__TEXT,__text) external _mach_port_allocate_full
00000001809fa284 (__TEXT,__text) external _mach_port_allocate_name
00000001809fa608 (__TEXT,__text) external _mach_port_allocate_qos
00000001809fac18 (__TEXT,__text) external _mach_port_assert_attributes
00000001809faa30 (__TEXT,__text) external _mach_port_construct
00000001809fa2fc (__TEXT,__text) external _mach_port_deallocate
00000001809fa2f8 (__TEXT,__text) external _mach_port_destroy
00000001809fa6c8 (__TEXT,__text) external _mach_port_destruct
00000001809fa8bc (__TEXT,__text) external _mach_port_dnrequest_info
00000001809fa974 (__TEXT,__text) external _mach_port_extract_member
00000001809fa570 (__TEXT,__text) external _mach_port_extract_right
00000001809fa578 (__TEXT,__text) external _mach_port_get_attributes
00000001809fa9e4 (__TEXT,__text) external _mach_port_get_context
00000001809fa358 (__TEXT,__text) external _mach_port_get_refs
00000001809fac14 (__TEXT,__text) external _mach_port_get_service_port_info
00000001809fa3dc (__TEXT,__text) external _mach_port_get_set_status
00000001809fa614 (__TEXT,__text) external _mach_port_get_srights
00000001809faaa8 (__TEXT,__text) external _mach_port_guard
00000001809fac08 (__TEXT,__text) external _mach_port_guard_with_flags
00000001809fa904 (__TEXT,__text) external _mach_port_insert_member
00000001809fa4f8 (__TEXT,__text) external _mach_port_insert_right
00000001809fac10 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001809fa8c0 (__TEXT,__text) external _mach_port_kernel_object
00000001809faa28 (__TEXT,__text) external _mach_port_kobject
00000001809faa2c (__TEXT,__text) external _mach_port_kobject_description
00000001809fa35c (__TEXT,__text) external _mach_port_mod_refs
00000001809fa3e0 (__TEXT,__text) external _mach_port_move_member
00000001809fa20c (__TEXT,__text) external _mach_port_names
00000001809fa3d4 (__TEXT,__text) external _mach_port_peek
00000001809fa280 (__TEXT,__text) external _mach_port_rename
00000001809fa450 (__TEXT,__text) external _mach_port_request_notification
00000001809fa604 (__TEXT,__text) external _mach_port_set_attributes
00000001809faa24 (__TEXT,__text) external _mach_port_set_context
00000001809fa3d8 (__TEXT,__text) external _mach_port_set_mscount
00000001809fa574 (__TEXT,__text) external _mach_port_set_seqno
00000001809fa61c (__TEXT,__text) external _mach_port_space_basic_info
00000001809fa618 (__TEXT,__text) external _mach_port_space_info
00000001809fac0c (__TEXT,__text) external _mach_port_swap_guard
00000001809fa210 (__TEXT,__text) external _mach_port_type
00000001809fab20 (__TEXT,__text) external _mach_port_unguard
00000001809efc80 (__TEXT,__text) external _mach_ports_lookup
00000001809efbfc (__TEXT,__text) external _mach_ports_register
00000001809e4430 (__TEXT,__text) external _mach_reply_port
00000001809edcb4 (__TEXT,__text) external _mach_right_recv_construct
00000001809edd78 (__TEXT,__text) external _mach_right_recv_destruct
00000001809ede10 (__TEXT,__text) external _mach_right_send_create
00000001809ee004 (__TEXT,__text) external _mach_right_send_once_consume
00000001809edf98 (__TEXT,__text) external _mach_right_send_once_create
00000001809edeec (__TEXT,__text) external _mach_right_send_release
00000001809ede78 (__TEXT,__text) external _mach_right_send_retain
00000001809fa79c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001809fa848 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001809efbac (__TEXT,__text) external _mach_task_is_self
00000001809edc24 (__TEXT,__text) external _mach_task_self
0000000182afae90 (__DATA,__common) external _mach_task_self_
00000001809e9ed8 (__TEXT,__text) external _mach_task_special_port_description
0000000180ad1cb8 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001809e9fe0 (__TEXT,__text) external _mach_task_special_port_for_id
0000000182afa6e8 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001809edc28 (__TEXT,__text) external _mach_thread_self
00000001809e9ef8 (__TEXT,__text) external _mach_thread_special_port_description
0000000180ad1d18 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001809e9ff0 (__TEXT,__text) external _mach_thread_special_port_for_id
0000000182afa748 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001809f6e50 (__TEXT,__text) external _mach_timebase_info
0000000182afaed4 (__DATA,__bss) non-external _mach_timebase_info.cached_info
00000001809e45e0 (__TEXT,__text) external _mach_timebase_info_trap
00000001809fac1c (__TEXT,__text) external _mach_vm_allocate
0000000180a066a4 (__TEXT,__text) external _mach_vm_behavior_set
0000000180a0630c (__TEXT,__text) external _mach_vm_copy
00000001809facd0 (__TEXT,__text) external _mach_vm_deallocate
0000000180a079f0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
0000000180a07b10 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
0000000180a07c30 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180a05d98 (__TEXT,__text) external _mach_vm_inherit
0000000180a0695c (__TEXT,__text) external _mach_vm_machine_attribute
00000001809fae4c (__TEXT,__text) external _mach_vm_map
0000000180a06580 (__TEXT,__text) external _mach_vm_msync
0000000180a074fc (__TEXT,__text) external _mach_vm_page_info
0000000180a06c50 (__TEXT,__text) external _mach_vm_page_query
0000000180a076e8 (__TEXT,__text) external _mach_vm_page_range_query
00000001809fad78 (__TEXT,__text) external _mach_vm_protect
00000001809fb364 (__TEXT,__text) external _mach_vm_purgable_control
0000000180a07d50 (__TEXT,__text) external _mach_vm_range_create
00000001809fb0c0 (__TEXT,__text) external _mach_vm_read
0000000180a06048 (__TEXT,__text) external _mach_vm_read_list
0000000180a0642c (__TEXT,__text) external _mach_vm_read_overwrite
00000001809ee418 (__TEXT,__text) external _mach_vm_reclaim_is_available
00000001809ee43c (__TEXT,__text) external _mach_vm_reclaim_is_reclaimed
00000001809ee17c (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001809ee2f4 (__TEXT,__text) external _mach_vm_reclaim_mark_used
00000001809ee0b4 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001809ee460 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001809ee404 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180a06fd4 (__TEXT,__text) external _mach_vm_region
0000000180a06db8 (__TEXT,__text) external _mach_vm_region_recurse
00000001809faf88 (__TEXT,__text) external _mach_vm_remap
00000001809fb024 (__TEXT,__text) external _mach_vm_remap_new
00000001809fe660 (__TEXT,__text) external _mach_vm_wire
0000000180a061d0 (__TEXT,__text) external _mach_vm_write
0000000180a15aa4 (__TEXT,__text) external _mach_voucher_attr_command
00000001809ed2fc (__TEXT,__text) external _mach_voucher_deallocate
0000000180a15d08 (__TEXT,__text) external _mach_voucher_debug_info
0000000180a1584c (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180a153ac (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001809fab90 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001809e45b0 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001809e45ec (__TEXT,__text) external _mach_wait_until
0000000180a00dec (__TEXT,__text) external _mach_zone_force_gc
0000000180a01d38 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180a01ba4 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180a00c1c (__TEXT,__text) external _mach_zone_info
0000000180a019f4 (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180a01880 (__TEXT,__text) external _mach_zone_info_for_zone
00000001809e4568 (__TEXT,__text) external _macx_backing_store_recovery
00000001809e455c (__TEXT,__text) external _macx_backing_store_suspend
00000001809e4538 (__TEXT,__text) external _macx_swapoff
00000001809e452c (__TEXT,__text) external _macx_swapon
00000001809e4550 (__TEXT,__text) external _macx_triggers
00000001809e8330 (__TEXT,__text) external _madvise
00000001809e96d8 (__TEXT,__text) non-external (was a private external) _malloc
00000001809e980c (__TEXT,__text) non-external _malloc_type_malloc
00000001809e98b4 (__TEXT,__text) non-external _malloc_type_realloc
0000000182afaeb0 (__DATA,__bss) non-external _master_host_port
00000001809e9980 (__TEXT,__text) non-external _memcpy
00000001809e835c (__TEXT,__text) external _memorystatus_control
00000001809e8388 (__TEXT,__text) external _memorystatus_get_level
00000001809ed388 (__TEXT,__text) external _mig_allocate
00000001809ed5dc (__TEXT,__text) external _mig_dealloc_reply_port
00000001809fa65c (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001809ed3e4 (__TEXT,__text) external _mig_deallocate
00000001809ed548 (__TEXT,__text) external _mig_get_reply_port
00000001809fa620 (__TEXT,__text) external _mig_get_special_reply_port
00000001809ed654 (__TEXT,__text) external _mig_put_reply_port
00000001809ed514 (__TEXT,__text) external _mig_reply_setup
00000001809ed658 (__TEXT,__text) external _mig_strncpy
00000001809ed6a0 (__TEXT,__text) external _mig_strncpy_zerofill
00000001809e83b4 (__TEXT,__text) external _mincore
00000001809e83e0 (__TEXT,__text) external _minherit
00000001809e4610 (__TEXT,__text) external _mk_timer_arm
00000001809e4628 (__TEXT,__text) external _mk_timer_arm_leeway
00000001809e461c (__TEXT,__text) external _mk_timer_cancel
00000001809e45f8 (__TEXT,__text) external _mk_timer_create
