00000001d64afc38 (__DATA,__data) external _NDR_record
00000001802f02d0 (__TEXT,__text) external _close$NOCANCEL
0000000180302fe0 (__TEXT,__text) external _coalition_create
0000000180303050 (__TEXT,__text) external _coalition_info_resource_usage
00000001803030c0 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180303088 (__TEXT,__text) external _coalition_info_set_name
00000001803030fc (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180303020 (__TEXT,__text) external _coalition_reap
0000000180302ff0 (__TEXT,__text) external _coalition_terminate
00000001802f30f8 (__TEXT,__text) external _connect
00000001802f2f58 (__TEXT,__text) external _connect$NOCANCEL
00000001802f317c (__TEXT,__text) external _connectx
00000001802f062c (__TEXT,__text) external _csops
00000001802ef404 (__TEXT,__text) external _csops_audittoken
00000001802ef4f4 (__TEXT,__text) external _csr_check
00000001802f70c0 (__TEXT,__text) external _csr_get_active_config
00000001802eea64 (__TEXT,__text) external _debug_control_port_for_pid
00000001803031dc (__TEXT,__text) external _debug_syscall_reject
00000001d64afc60 (__DATA,__data) external _denap_boost_assertion_token
000000018031c8a8 (__TEXT,__text) external _disconnectx
00000001802f53d0 (__TEXT,__text) non-external _do_compat
00000001802f322c (__TEXT,__text) external _dup
00000001802f6f6c (__TEXT,__text) external _dup2
00000001d1935500 (__DATA_CONST,__const) non-external _err_codes_auth
00000001d1935390 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d19356f8 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d19353d0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d19354d0 (__DATA_CONST,__const) non-external _err_codes_io
00000001d1936038 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d1935c70 (__DATA_CONST,__const) non-external _err_codes_iokit_common
000000018031e998 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d1935f00 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
000000018031e9d8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d1935e20 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
000000018031e9a8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d1934f98 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d1935b00 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d1935b70 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d1935b10 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d19356c8 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d1935ab0 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d1935a28 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d1935970 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d1935698 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d1935930 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d19353f0 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d1935370 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d1935440 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d19358e8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d1935888 (__DATA_CONST,__const) non-external _err_codes_send
00000001d1935608 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d1935410 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d1935408 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d1935140 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d1935548 (__DATA_CONST,__const) non-external _err_codes_us
00000001d1935730 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d1935820 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d19343b8 (__DATA_CONST,__const) non-external _err_iokit_sub
000000018031e988 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d1934250 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d1934340 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d19342c8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d1933f30 (__DATA_CONST,__const) non-external _err_os_sub
00000001d1933fd0 (__DATA_CONST,__const) non-external _err_server_sub
000000018031e960 (__TEXT,__const) non-external _err_us_sub
00000001d91f5b60 (__DATA_DIRTY,__common) external _errno
0000000180318600 (__TEXT,__text) external _etap_trace_thread
0000000180306fc0 (__TEXT,__text) external _exc_server
0000000180306c30 (__TEXT,__text) external _exc_server_routine
00000001803064c4 (__TEXT,__text) external _exception_raise
0000000180306654 (__TEXT,__text) external _exception_raise_state
0000000180306940 (__TEXT,__text) external _exception_raise_state_identity
00000001802faa80 (__TEXT,__text) external _exchangedata
00000001802f6f2c (__TEXT,__text) external _execve
00000001d64afca8 (__DATA,__common) non-external (was a private external) _execve_with_filter
000000018031c8d4 (__TEXT,__text) external _faccessat
000000018031c900 (__TEXT,__text) external _fchdir
00000001802f41e0 (__TEXT,__text) external _fchflags
00000001802f32c0 (__TEXT,__text) external _fchmod
000000018031c92c (__TEXT,__text) external _fchmodat
00000001802f45c8 (__TEXT,__text) external _fchown
000000018031c958 (__TEXT,__text) external _fchownat
000000018031c984 (__TEXT,__text) external _fclonefileat
00000001802ef550 (__TEXT,__text) external _fcntl
00000001802f2e7c (__TEXT,__text) external _fcntl$NOCANCEL
000000018031c9b0 (__TEXT,__text) external _fdatasync
00000001802f61f4 (__TEXT,__text) external _ffsctl
00000001802f23f0 (__TEXT,__text) external _fgetattrlist
00000001802f3200 (__TEXT,__text) external _fgetxattr
000000018031c9dc (__TEXT,__text) external _fhopen
00000001802f4dd0 (__TEXT,__text) external _fileport_makefd
00000001802f501c (__TEXT,__text) external _fileport_makeport
00000001802fa9b4 (__TEXT,__text) external _flistxattr
00000001802f2b80 (__TEXT,__text) external _flock
000000018031ca08 (__TEXT,__text) external _fmount
000000018031ca34 (__TEXT,__text) external _fpathconf
00000001802fd5a0 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018031ca60 (__TEXT,__text) external _freadlink
00000001802f5c40 (__TEXT,__text) non-external (was a private external) _free
000000018031ca8c (__TEXT,__text) external _fremovexattr
0000000180303138 (__TEXT,__text) external _fs_snapshot_create
0000000180303154 (__TEXT,__text) external _fs_snapshot_delete
00000001802f6e14 (__TEXT,__text) external _fs_snapshot_list
00000001803031c4 (__TEXT,__text) external _fs_snapshot_mount
0000000180303170 (__TEXT,__text) external _fs_snapshot_rename
000000018030318c (__TEXT,__text) external _fs_snapshot_revert
00000001803031a8 (__TEXT,__text) external _fs_snapshot_root
00000001802f23c4 (__TEXT,__text) external _fsctl
00000001802f459c (__TEXT,__text) external _fsetattrlist
00000001802f4030 (__TEXT,__text) external _fsetxattr
00000001802f24b8 (__TEXT,__text) external _fsgetpath
000000018031cab8 (__TEXT,__text) external _fsgetpath_ext
000000018031cb10 (__TEXT,__text) external _fstat
000000018031cb10 (__TEXT,__text) external _fstat64
000000018031cb68 (__TEXT,__text) external _fstatat
000000018031cb68 (__TEXT,__text) external _fstatat64
00000001802fa090 (__TEXT,__text) external _fstatfs
00000001802fa090 (__TEXT,__text) external _fstatfs64
00000001802f2568 (__TEXT,__text) external _fsync
000000018031b7b8 (__TEXT,__text) external _fsync$NOCANCEL
00000001802f21b8 (__TEXT,__text) external _ftruncate
00000001802feed0 (__TEXT,__text) external _futimens
00000001802f420c (__TEXT,__text) external _futimes
00000001d64afa68 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001802ef470 (__TEXT,__text) external _getattrlist
000000018031cbc0 (__TEXT,__text) external _getattrlistat
00000001802f2210 (__TEXT,__text) external _getattrlistbulk
0000000180305b14 (__TEXT,__text) external _getaudit
00000001802f0e50 (__TEXT,__text) external _getaudit_addr
000000018031cbec (__TEXT,__text) external _getauid
000000018031cc18 (__TEXT,__text) external _getdirentries
000000018031cc44 (__TEXT,__text) external _getdirentriesattr
00000001802f7174 (__TEXT,__text) external _getdtablesize
00000001802f0600 (__TEXT,__text) external _getegid
00000001802eef3c (__TEXT,__text) external _getentropy
00000001802efda0 (__TEXT,__text) external _geteuid
000000018031cc70 (__TEXT,__text) external _getfh
000000018031ccc8 (__TEXT,__text) external _getfsstat
000000018031ccc8 (__TEXT,__text) external _getfsstat64
00000001802f2df8 (__TEXT,__text) external _getgid
00000001802f45f4 (__TEXT,__text) external _getgroups
00000001802f43c8 (__TEXT,__text) external _gethostuuid
00000001802f33c8 (__TEXT,__text) external _getiopolicy_np
000000018031ccf4 (__TEXT,__text) external _getitimer
00000001802f3294 (__TEXT,__text) external _getpeername
00000001802f8974 (__TEXT,__text) external _getpgid
00000001802f6f00 (__TEXT,__text) external _getpgrp
00000001802eef78 (__TEXT,__text) external _getpid
00000001802f50a0 (__TEXT,__text) external _getppid
00000001802f6d38 (__TEXT,__text) external _getpriority
00000001802f0e1c (__TEXT,__text) external _getrlimit
00000001802f6004 (__TEXT,__text) external _getrusage
000000018031b7e4 (__TEXT,__text) external _getsgroups_np
000000018031cd20 (__TEXT,__text) external _getsid
00000001802f6220 (__TEXT,__text) external _getsockname
00000001802f31a8 (__TEXT,__text) external _getsockopt
00000001802f05a8 (__TEXT,__text) external _getuid
000000018031b810 (__TEXT,__text) external _getwgroups_np
00000001802f1c4c (__TEXT,__text) external _getxattr
000000018031cd4c (__TEXT,__text) external _grab_pgo_data
00000001802f253c (__TEXT,__text) external _guarded_close_np
00000001802f9138 (__TEXT,__text) external _guarded_kqueue_np
00000001802fd618 (__TEXT,__text) external _guarded_open_dprotected_np
00000001802f22c0 (__TEXT,__text) external _guarded_open_np
00000001802f231c (__TEXT,__text) external _guarded_pwrite_np
00000001802f6384 (__TEXT,__text) external _guarded_write_np
000000018031cd78 (__TEXT,__text) external _guarded_writev_np
0000000180323f4b (__TEXT,__cstring) non-external _hex
00000001802fd668 (__TEXT,__text) external _host_check_multiuser_mode
00000001802efb60 (__TEXT,__text) external _host_create_mach_voucher
00000001802ee9e0 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001803075cc (__TEXT,__text) external _host_default_memory_manager
0000000180309058 (__TEXT,__text) external _host_get_UNDServer
00000001802fd648 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180307048 (__TEXT,__text) external _host_get_boot_info
0000000180307ca4 (__TEXT,__text) external _host_get_clock_control
00000001802f49ac (__TEXT,__text) external _host_get_clock_service
0000000180308498 (__TEXT,__text) external _host_get_exception_ports
00000001802f2594 (__TEXT,__text) external _host_get_io_master
00000001802fd660 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001802ef774 (__TEXT,__text) external _host_get_special_port
00000001802f3ae0 (__TEXT,__text) external _host_info
0000000180309de8 (__TEXT,__text) external _host_kernel_version
000000018030abdc (__TEXT,__text) external _host_lockgroup_info
00000001802fd7d8 (__TEXT,__text) external _host_page_size
00000001803073a8 (__TEXT,__text) external _host_priv_statistics
000000018030a2d0 (__TEXT,__text) external _host_processor_info
0000000180308dbc (__TEXT,__text) external _host_processor_set_priv
0000000180308c40 (__TEXT,__text) external _host_processor_sets
0000000180307b28 (__TEXT,__text) external _host_processors
000000018030727c (__TEXT,__text) external _host_reboot
000000018030b2bc (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018030b450 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001802f0b14 (__TEXT,__text) external _host_request_notification
00000001803093a4 (__TEXT,__text) external _host_security_create_task_token
0000000180309548 (__TEXT,__text) external _host_security_set_task_token
00000001802fda48 (__TEXT,__text) external _host_self
00000001802ee89c (__TEXT,__text) external _host_self_trap
0000000180308f30 (__TEXT,__text) external _host_set_UNDServer
000000018030b5d4 (__TEXT,__text) external _host_set_atm_diagnostic_flag
000000018030835c (__TEXT,__text) external _host_set_exception_ports
000000018030b91c (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180308224 (__TEXT,__text) external _host_set_special_port
00000001802f8a60 (__TEXT,__text) external _host_statistics
00000001802f82cc (__TEXT,__text) external _host_statistics64
00000001803087c8 (__TEXT,__text) external _host_swap_exception_ports
000000018030a5f0 (__TEXT,__text) external _host_virtual_physical_table_info
00000001d64afc48 (__DATA,__data) external _important_boost_assertion_token
00000001da3b7540 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001802fd4ec (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise
00000001d64afc30 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001802fd418 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state
00000001d64afc28 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001802fd330 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state_identity
00000001d64afc20 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001802f309c (__TEXT,__text) external _ioctl
00000001802ee664 (__TEXT,__text) external _issetugid
000000018031cda4 (__TEXT,__text) external _kas_info
00000001802ee500 (__TEXT,__text) external _kdebug_is_enabled
00000001803032f0 (__TEXT,__text) external _kdebug_signpost
00000001802f8a50 (__TEXT,__text) external _kdebug_signpost_end
00000001802f89b0 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001802f89a0 (__TEXT,__text) external _kdebug_signpost_start
00000001803032a0 (__TEXT,__text) external _kdebug_timestamp
00000001803032b8 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001803032d4 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001802ee5e4 (__TEXT,__text) external _kdebug_trace
00000001802f15dc (__TEXT,__text) external _kdebug_trace_string
00000001802ee560 (__TEXT,__text) external _kdebug_typefilter
00000001d91f61b8 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
000000018030328c (__TEXT,__text) external _kdebug_using_continuous_time
00000001802f4c18 (__TEXT,__text) external _kevent
00000001802fa350 (__TEXT,__text) external _kevent64
00000001802f07a8 (__TEXT,__text) external _kevent_id
00000001802f077c (__TEXT,__text) external _kevent_qos
00000001803091b4 (__TEXT,__text) external _kext_request
00000001802f67f4 (__TEXT,__text) external _kill
0000000180308084 (__TEXT,__text) external _kmod_control
0000000180307e18 (__TEXT,__text) external _kmod_create
0000000180307f58 (__TEXT,__text) external _kmod_destroy
000000018030a474 (__TEXT,__text) external _kmod_get_info
0000000180305c00 (__TEXT,__text) external _kpersona_alloc
0000000180305c80 (__TEXT,__text) external _kpersona_dealloc
0000000180305d4c (__TEXT,__text) external _kpersona_find
0000000180305e14 (__TEXT,__text) external _kpersona_find_by_type
00000001802f2db8 (__TEXT,__text) external _kpersona_get
0000000180305cc4 (__TEXT,__text) external _kpersona_getpath
00000001802f2ab4 (__TEXT,__text) external _kpersona_info
0000000180305c40 (__TEXT,__text) external _kpersona_palloc
0000000180305d08 (__TEXT,__text) external _kpersona_pidinfo
00000001802f4bec (__TEXT,__text) external _kqueue
00000001802f4620 (__TEXT,__text) external _lchown
000000018031cdd0 (__TEXT,__text) external _ledger
00000001802f3464 (__TEXT,__text) external _link
000000018031cdfc (__TEXT,__text) external _linkat
000000018031ce28 (__TEXT,__text) external _lio_listio
00000001802f6e50 (__TEXT,__text) external _listen
00000001802f223c (__TEXT,__text) external _listxattr
0000000180309698 (__TEXT,__text) external _lock_acquire
0000000180309b78 (__TEXT,__text) external _lock_handoff
0000000180309cb0 (__TEXT,__text) external _lock_handoff_accept
0000000180309a40 (__TEXT,__text) external _lock_make_stable
00000001803097d0 (__TEXT,__text) external _lock_release
0000000180313290 (__TEXT,__text) external _lock_set_create
0000000180313404 (__TEXT,__text) external _lock_set_destroy
0000000180309908 (__TEXT,__text) external _lock_try
00000001802ff400 (__TEXT,__text) external _log_data_as_kernel
00000001802f0370 (__TEXT,__text) external _lseek
00000001802f9f60 (__TEXT,__text) external _lstat
00000001802f9f60 (__TEXT,__text) external _lstat64
00000001802eeea0 (__TEXT,__text) external _mach_absolute_time
00000001802eef24 (__TEXT,__text) external _mach_absolute_time_kernel
00000001802f01d0 (__TEXT,__text) external _mach_approximate_time
00000001802fec08 (__TEXT,__text) external _mach_boottime_usec
00000001802f5cc0 (__TEXT,__text) external _mach_continuous_approximate_time
00000001802eee28 (__TEXT,__text) external _mach_continuous_time
00000001802eef30 (__TEXT,__text) external _mach_continuous_time_kernel
00000001802fd750 (__TEXT,__text) external _mach_error
00000001d64afc78 (__DATA,__common) external _mach_error_full_diag
00000001802f5208 (__TEXT,__text) external _mach_error_string
00000001802f5230 (__TEXT,__text) non-external (was a private external) _mach_error_string_int
00000001802fd670 (__TEXT,__text) external _mach_error_type
000000018031aa40 (__TEXT,__text) external _mach_eventlink_associate
000000018031a778 (__TEXT,__text) external _mach_eventlink_create
000000018031a91c (__TEXT,__text) external _mach_eventlink_destroy
000000018031ab8c (__TEXT,__text) external _mach_eventlink_disassociate
00000001802fee34 (__TEXT,__text) external _mach_eventlink_signal
00000001802fee90 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001802fee50 (__TEXT,__text) external _mach_eventlink_wait_until
00000001802ee938 (__TEXT,__text) external _mach_generate_activity_id
00000001802f0a10 (__TEXT,__text) external _mach_get_times
00000001802ef770 (__TEXT,__text) external _mach_host_self
00000001802fbc58 (__TEXT,__text) external _mach_host_special_port_description
00000001d1933da8 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001802fbcb8 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d64afaa8 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001802f4820 (__TEXT,__text) external _mach_init
00000001d91f61a8 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001802f4858 (__TEXT,__text) non-external _mach_init_doit
000000018030fdf0 (__TEXT,__text) external _mach_make_memory_entry
00000001802f0008 (__TEXT,__text) external _mach_make_memory_entry_64
000000018031a4d0 (__TEXT,__text) external _mach_memory_entry_access_tracking
000000018031a63c (__TEXT,__text) external _mach_memory_entry_ownership
000000018031a384 (__TEXT,__text) external _mach_memory_entry_purgable_control
000000018030b700 (__TEXT,__text) external _mach_memory_info
000000018030a144 (__TEXT,__text) external _mach_memory_object_memory_entry
000000018030aa50 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001802eecd4 (__TEXT,__text) external _mach_msg
00000001802ef8e8 (__TEXT,__text) external _mach_msg_destroy
00000001802efa44 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001802f6f98 (__TEXT,__text) external _mach_msg_overwrite
00000001802ee8b4 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001802fd848 (__TEXT,__text) external _mach_msg_priority_encode
00000001802fd838 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001802fd87c (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001802fd88c (__TEXT,__text) external _mach_msg_priority_qos
00000001802fd89c (__TEXT,__text) external _mach_msg_priority_relpri
00000001802fa9e0 (__TEXT,__text) external _mach_msg_receive
00000001802f3448 (__TEXT,__text) external _mach_msg_send
00000001802f64d8 (__TEXT,__text) external _mach_msg_server
00000001802f7108 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001802fd834 (__TEXT,__text) external _mach_msg_server_importance
00000001802f9700 (__TEXT,__text) external _mach_msg_server_once
00000001802ee8a8 (__TEXT,__text) external _mach_msg_trap
0000000180310734 (__TEXT,__text) external _mach_notify_dead_name
0000000180310678 (__TEXT,__text) external _mach_notify_no_senders
00000001803105a0 (__TEXT,__text) external _mach_notify_port_deleted
0000000180310608 (__TEXT,__text) external _mach_notify_port_destroyed
00000001803106e0 (__TEXT,__text) external _mach_notify_send_once
00000001802f0c4c (__TEXT,__text) external _mach_port_allocate
00000001803056a0 (__TEXT,__text) external _mach_port_allocate_full
000000018030568c (__TEXT,__text) external _mach_port_allocate_name
000000018030569c (__TEXT,__text) external _mach_port_allocate_qos
00000001803058e0 (__TEXT,__text) external _mach_port_assert_attributes
00000001802efbf0 (__TEXT,__text) external _mach_port_construct
00000001802efdcc (__TEXT,__text) external _mach_port_deallocate
00000001802f43c4 (__TEXT,__text) external _mach_port_destroy
00000001802f0408 (__TEXT,__text) external _mach_port_destruct
0000000180305850 (__TEXT,__text) external _mach_port_dnrequest_info
00000001802f20c4 (__TEXT,__text) external _mach_port_extract_member
00000001802f86b8 (__TEXT,__text) external _mach_port_extract_right
00000001802f13cc (__TEXT,__text) external _mach_port_get_attributes
00000001802f405c (__TEXT,__text) external _mach_port_get_context
00000001802f1f1c (__TEXT,__text) external _mach_port_get_refs
00000001803058dc (__TEXT,__text) external _mach_port_get_service_port_info
00000001802fa5cc (__TEXT,__text) external _mach_port_get_set_status
00000001803056a8 (__TEXT,__text) external _mach_port_get_srights
00000001802f1930 (__TEXT,__text) external _mach_port_guard
00000001803058d0 (__TEXT,__text) external _mach_port_guard_with_flags
00000001802f0cbc (__TEXT,__text) external _mach_port_insert_member
00000001802f0ee4 (__TEXT,__text) external _mach_port_insert_right
00000001803058d8 (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180305854 (__TEXT,__text) external _mach_port_kernel_object
0000000180305858 (__TEXT,__text) external _mach_port_kobject
000000018030585c (__TEXT,__text) external _mach_port_kobject_description
00000001802ef13c (__TEXT,__text) external _mach_port_mod_refs
00000001802f3d04 (__TEXT,__text) external _mach_port_move_member
0000000180305684 (__TEXT,__text) external _mach_port_names
0000000180305690 (__TEXT,__text) external _mach_port_peek
0000000180305688 (__TEXT,__text) external _mach_port_rename
00000001802f0858 (__TEXT,__text) external _mach_port_request_notification
00000001802f1458 (__TEXT,__text) external _mach_port_set_attributes
00000001802fa4a0 (__TEXT,__text) external _mach_port_set_context
0000000180305694 (__TEXT,__text) external _mach_port_set_mscount
0000000180305698 (__TEXT,__text) external _mach_port_set_seqno
00000001803056b0 (__TEXT,__text) external _mach_port_space_basic_info
00000001803056ac (__TEXT,__text) external _mach_port_space_info
00000001803058d4 (__TEXT,__text) external _mach_port_swap_guard
00000001802f1694 (__TEXT,__text) external _mach_port_type
0000000180305860 (__TEXT,__text) external _mach_port_unguard
00000001802fa0bc (__TEXT,__text) external _mach_ports_lookup
00000001802f6030 (__TEXT,__text) external _mach_ports_register
00000001802ee878 (__TEXT,__text) external _mach_reply_port
00000001802fdd40 (__TEXT,__text) external _mach_right_recv_construct
000000018031dcb4 (__TEXT,__text) non-external _mach_right_recv_construct.cold.1
00000001802fddec (__TEXT,__text) external _mach_right_recv_destruct
000000018031dcdc (__TEXT,__text) non-external _mach_right_recv_destruct.cold.1
000000018031dd04 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.2
00000001802fde44 (__TEXT,__text) external _mach_right_send_create
000000018031dd2c (__TEXT,__text) non-external _mach_right_send_create.cold.1
00000001802fdf30 (__TEXT,__text) external _mach_right_send_once_consume
000000018031ddf4 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.1
000000018031de1c (__TEXT,__text) non-external _mach_right_send_once_consume.cold.2
00000001802fdee0 (__TEXT,__text) external _mach_right_send_once_create
000000018031ddcc (__TEXT,__text) non-external _mach_right_send_once_create.cold.1
00000001802f3490 (__TEXT,__text) external _mach_right_send_release
000000018031dd7c (__TEXT,__text) non-external _mach_right_send_release.cold.1
000000018031dda4 (__TEXT,__text) non-external _mach_right_send_release.cold.2
00000001802fde8c (__TEXT,__text) external _mach_right_send_retain
000000018031dd54 (__TEXT,__text) non-external _mach_right_send_retain.cold.1
0000000180305724 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001803057d8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001802fec18 (__TEXT,__text) external _mach_task_is_self
00000001802fdd3c (__TEXT,__text) external _mach_task_self
00000001d91f5b2c (__DATA_DIRTY,__common) external _mach_task_self_
00000001802fbc78 (__TEXT,__text) external _mach_task_special_port_description
00000001d1933eb0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001802fbd48 (__TEXT,__text) external _mach_task_special_port_for_id
00000001d64afba0 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001802f497c (__TEXT,__text) external _mach_thread_self
00000001802fbc98 (__TEXT,__text) external _mach_thread_special_port_description
00000001d1933f10 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001802fbd58 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d64afc00 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001802eedd0 (__TEXT,__text) external _mach_timebase_info
00000001d91f61ac (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001802eea10 (__TEXT,__text) external _mach_timebase_info_trap
00000001802f0d6c (__TEXT,__text) external _mach_vm_allocate
000000018030f8a4 (__TEXT,__text) external _mach_vm_behavior_set
00000001802f63b0 (__TEXT,__text) external _mach_vm_copy
00000001802f0504 (__TEXT,__text) external _mach_vm_deallocate
000000018030f204 (__TEXT,__text) external _mach_vm_inherit
000000018030f9d0 (__TEXT,__text) external _mach_vm_machine_attribute
00000001802ee690 (__TEXT,__text) external _mach_vm_map
000000018030f778 (__TEXT,__text) external _mach_vm_msync
00000001803100d0 (__TEXT,__text) external _mach_vm_page_info
000000018030fc9c (__TEXT,__text) external _mach_vm_page_query
00000001803102c0 (__TEXT,__text) external _mach_vm_page_range_query
00000001802f28f0 (__TEXT,__text) external _mach_vm_protect
00000001802f234c (__TEXT,__text) external _mach_vm_purgable_control
0000000180305a14 (__TEXT,__text) external _mach_vm_read
000000018030f4c4 (__TEXT,__text) external _mach_vm_read_list
00000001802f95bc (__TEXT,__text) external _mach_vm_read_overwrite
00000001802f3560 (__TEXT,__text) external _mach_vm_region
00000001802f9348 (__TEXT,__text) external _mach_vm_region_recurse
00000001803058e4 (__TEXT,__text) external _mach_vm_remap
000000018030597c (__TEXT,__text) external _mach_vm_remap_new
0000000180308b04 (__TEXT,__text) external _mach_vm_wire
000000018030f63c (__TEXT,__text) external _mach_vm_write
00000001802f37c4 (__TEXT,__text) external _mach_voucher_attr_command
00000001802f03c8 (__TEXT,__text) external _mach_voucher_deallocate
000000018031b1e0 (__TEXT,__text) external _mach_voucher_debug_info
000000018031af4c (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001802f8eb0 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001802f1354 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001802ee9ec (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001802eea1c (__TEXT,__text) external _mach_wait_until
000000018030af34 (__TEXT,__text) external _mach_zone_force_gc
000000018030bec4 (__TEXT,__text) external _mach_zone_get_btlog_records
000000018030bd38 (__TEXT,__text) external _mach_zone_get_zlog_zones
000000018030ad68 (__TEXT,__text) external _mach_zone_info
000000018030bba4 (__TEXT,__text) external _mach_zone_info_for_largest_zone
000000018030ba48 (__TEXT,__text) external _mach_zone_info_for_zone
00000001802ee9a4 (__TEXT,__text) external _macx_backing_store_recovery
00000001802ee998 (__TEXT,__text) external _macx_backing_store_suspend
00000001802ee974 (__TEXT,__text) external _macx_swapoff
00000001802ee968 (__TEXT,__text) external _macx_swapon
00000001802ee98c (__TEXT,__text) external _macx_triggers
00000001802f1704 (__TEXT,__text) external _madvise
00000001802f54c4 (__TEXT,__text) non-external (was a private external) _malloc
00000001d64afcc0 (__DATA,__bss) non-external _master_host_port
00000001802fad24 (__TEXT,__text) non-external (was a private external) _memchr
00000001802fad34 (__TEXT,__text) non-external (was a private external) _memcmp
00000001802eec90 (__TEXT,__text) non-external (was a private external) _memcpy
00000001802fad44 (__TEXT,__text) non-external (was a private external) _memmove
00000001802f72c0 (__TEXT,__text) external _memorystatus_control
000000018031ce80 (__TEXT,__text) external _memorystatus_get_level
00000001802fd8b4 (__TEXT,__text) external _mig_allocate
