00000001dc21220c (__TEXT,__text) non-external +[Cube initialize]
00000001dc0219ec (__TEXT,__text) non-external -[MPAnimationKeyframeFunction setInnerEaseOutControl:]
00000001dc021d30 (__TEXT,__text) non-external -[MPAnimationKeyframeFunction(Internal) keyframe]
00000001dc020e20 (__TEXT,__text) non-external -[MPAnimationKeyframeVector copyWithZone:]
00000001dc020e94 (__TEXT,__text) non-external -[MPAnimationKeyframeVector dealloc]
00000001dc020fbc (__TEXT,__text) non-external -[MPAnimationKeyframeVector description]
00000001dc020ee8 (__TEXT,__text) non-external -[MPAnimationKeyframeVector encodeWithCoder:]
00000001dc020d9c (__TEXT,__text) non-external -[MPAnimationKeyframeVector initKeyframeVectorWithVector:atTime:offsetType:]
00000001dc020f50 (__TEXT,__text) non-external -[MPAnimationKeyframeVector initWithCoder:]
00000001dc02108c (__TEXT,__text) non-external -[MPAnimationKeyframeVector setVector:]
00000001dc02119c (__TEXT,__text) non-external -[MPAnimationKeyframeVector vector]
00000001dc021d28 (__TEXT,__text) non-external -[MPAnimationKeyframeVector(Private) keyframe]
00000001dc022060 (__TEXT,__text) non-external -[MPAnimationManager animationDescriptionForAnimationID:]
00000001dc022058 (__TEXT,__text) non-external -[MPAnimationManager animationDescriptionForAnimationSetID:]
00000001dc021ffc (__TEXT,__text) non-external -[MPAnimationManager dealloc]
00000001dc0220b4 (__TEXT,__text) non-external -[MPAnimationManager(Internal) initWithPaths:]
00000001dc02253c (__TEXT,__text) non-external -[MPAnimationPath copyWithZone:]
00000001dc0224e8 (__TEXT,__text) non-external -[MPAnimationPath dealloc]
00000001dc02258c (__TEXT,__text) non-external -[MPAnimationPath description]
00000001dc02246c (__TEXT,__text) non-external -[MPAnimationPath encodeWithCoder:]
00000001dc022490 (__TEXT,__text) non-external -[MPAnimationPath initWithCoder:]
00000001dc02242c (__TEXT,__text) non-external -[MPAnimationPath init]
00000001dc022634 (__TEXT,__text) non-external -[MPAnimationPath isTriggered]
00000001dc0225f4 (__TEXT,__text) non-external -[MPAnimationPath key]
00000001dc022650 (__TEXT,__text) non-external -[MPAnimationPath parent]
00000001dc02263c (__TEXT,__text) non-external -[MPAnimationPath setIsTriggered:]
00000001dc024650 (__TEXT,__text) non-external -[MPAnimationPath(Internal) animatedKey]
00000001dc024604 (__TEXT,__text) non-external -[MPAnimationPath(Internal) animatedParent]
00000001dc024878 (__TEXT,__text) non-external -[MPAnimationPath(Internal) cleanup]
00000001dc0246c4 (__TEXT,__text) non-external -[MPAnimationPath(Internal) parentDocument]
00000001dc024814 (__TEXT,__text) non-external -[MPAnimationPath(Internal) setAnimationPath:]
00000001dc0245c0 (__TEXT,__text) non-external -[MPAnimationPath(Internal) setParent:]
00000001dc024070 (__TEXT,__text) non-external -[MPAnimationPath(Private) animationPath]
00000001dc022b00 (__TEXT,__text) non-external -[MPAnimationPathCombo animationPathForKey:]
00000001dc022af0 (__TEXT,__text) non-external -[MPAnimationPathCombo animationPaths]
00000001dc0229dc (__TEXT,__text) non-external -[MPAnimationPathCombo copyWithZone:]
00000001dc022a78 (__TEXT,__text) non-external -[MPAnimationPathCombo dealloc]
00000001dc02270c (__TEXT,__text) non-external -[MPAnimationPathCombo encodeWithCoder:]
00000001dc0227ac (__TEXT,__text) non-external -[MPAnimationPathCombo initWithCoder:]
00000001dc022690 (__TEXT,__text) non-external -[MPAnimationPathCombo init]
00000001dc022d80 (__TEXT,__text) non-external -[MPAnimationPathCombo key]
00000001dc022e8c (__TEXT,__text) non-external -[MPAnimationPathCombo operation]
00000001dc022c64 (__TEXT,__text) non-external -[MPAnimationPathCombo removeAnimationPathForKey:]
00000001dc022b10 (__TEXT,__text) non-external -[MPAnimationPathCombo setAnimationPath:forKey:]
00000001dc022dfc (__TEXT,__text) non-external -[MPAnimationPathCombo setKey:]
00000001dc022d04 (__TEXT,__text) non-external -[MPAnimationPathCombo setOperation:]
00000001dc02487c (__TEXT,__text) non-external -[MPAnimationPathCombo(Internal) cleanup]
00000001dc024be8 (__TEXT,__text) non-external -[MPAnimationPathCombo(Internal) copyAnimationPaths:]
00000001dc024974 (__TEXT,__text) non-external -[MPAnimationPathCombo(Internal) setAnimationPath:]
00000001dc02328c (__TEXT,__text) non-external -[MPAnimationPathKeyframed addKeyframe:]
00000001dc0232d0 (__TEXT,__text) non-external -[MPAnimationPathKeyframed addKeyframes:]
00000001dc02315c (__TEXT,__text) non-external -[MPAnimationPathKeyframed copyWithZone:]
00000001dc023ec0 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithFunction:atTime:forDuration:]
00000001dc023f00 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithFunction:atTime:offsetType:forDuration:]
00000001dc023dbc (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithPoint:atTime:]
00000001dc023e00 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithPoint:atTime:offsetType:]
00000001dc023d38 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithScalar:atTime:]
00000001dc023d7c (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithScalar:atTime:offsetType:]
00000001dc023e40 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithVector:atTime:]
00000001dc023e80 (__TEXT,__text) non-external -[MPAnimationPathKeyframed createKeyframeWithVector:atTime:offsetType:]
00000001dc023104 (__TEXT,__text) non-external -[MPAnimationPathKeyframed dealloc]
00000001dc0231b8 (__TEXT,__text) non-external -[MPAnimationPathKeyframed description]
00000001dc022f30 (__TEXT,__text) non-external -[MPAnimationPathKeyframed encodeWithCoder:]
00000001dc022f94 (__TEXT,__text) non-external -[MPAnimationPathKeyframed initWithCoder:]
00000001dc022ecc (__TEXT,__text) non-external -[MPAnimationPathKeyframed init]
00000001dc023248 (__TEXT,__text) non-external -[MPAnimationPathKeyframed keyframes]
00000001dc023dfc (__TEXT,__text) non-external -[MPAnimationPathKeyframed newKeyframeWithPoint:atTime:]
00000001dc023d78 (__TEXT,__text) non-external -[MPAnimationPathKeyframed newKeyframeWithScalar:atTime:]
00000001dc023258 (__TEXT,__text) non-external -[MPAnimationPathKeyframed orderedKeyframes]
00000001dc023f40 (__TEXT,__text) non-external -[MPAnimationPathKeyframed parent]
00000001dc023f48 (__TEXT,__text) non-external -[MPAnimationPathKeyframed relativeTimeForKeyframe:]
00000001dc023c38 (__TEXT,__text) non-external -[MPAnimationPathKeyframed removeAllKeyframes]
00000001dc023a3c (__TEXT,__text) non-external -[MPAnimationPathKeyframed removeKeyframe:]
00000001dc023b4c (__TEXT,__text) non-external -[MPAnimationPathKeyframed removeKeyframes:]
00000001dc024e24 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Internal) cleanup]
00000001dc024d00 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Internal) copyKeyframes:]
00000001dc024e28 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Internal) setAnimationPath:]
00000001dc024448 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Private) dump]
00000001dc024478 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Private) fullDebugLog]
00000001dc0242d0 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Private) parentMainDuration]
00000001dc024078 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Private) parentPhaseInDuration]
00000001dc0241a4 (__TEXT,__text) non-external -[MPAnimationPathKeyframed(Private) parentPhaseOutDuration]
00000001dc01a93c (__TEXT,__text) non-external -[MPAnimationTrigger animationAttributeForKey:]
00000001dc01aac4 (__TEXT,__text) non-external -[MPAnimationTrigger animationAttributes]
00000001dc01aab4 (__TEXT,__text) non-external -[MPAnimationTrigger animationKey]
00000001dc01a8cc (__TEXT,__text) non-external -[MPAnimationTrigger copyWithZone:]
00000001dc01a7e0 (__TEXT,__text) non-external -[MPAnimationTrigger dealloc]
00000001dc01a844 (__TEXT,__text) non-external -[MPAnimationTrigger encodeWithCoder:]
00000001dc01a640 (__TEXT,__text) non-external -[MPAnimationTrigger initWithCoder:]
00000001dc01a5ec (__TEXT,__text) non-external -[MPAnimationTrigger init]
00000001dc01aa44 (__TEXT,__text) non-external -[MPAnimationTrigger setAction:]
00000001dc01a9c8 (__TEXT,__text) non-external -[MPAnimationTrigger setAnimationAttributes:]
00000001dc01a94c (__TEXT,__text) non-external -[MPAnimationTrigger setAnimationKey:]
00000001dc026030 (__TEXT,__text) non-external -[MPAssetManager absolutePathFromPath:]
00000001dc025a4c (__TEXT,__text) non-external -[MPAssetManager altitudeForAssetAtPath:]
00000001dc025a2c (__TEXT,__text) non-external -[MPAssetManager creationDateForAssetAtPath:]
00000001dc025714 (__TEXT,__text) non-external -[MPAssetManager durationForAssetAtPath:]
00000001dc025a34 (__TEXT,__text) non-external -[MPAssetManager keywordsForAssetAtPath:]
00000001dc025a3c (__TEXT,__text) non-external -[MPAssetManager latitudeForAssetAtPath:]
00000001dc025a54 (__TEXT,__text) non-external -[MPAssetManager locationHierarchyForAssetAtPath:]
00000001dc025a44 (__TEXT,__text) non-external -[MPAssetManager longitudeForAssetAtPath:]
00000001dc025a5c (__TEXT,__text) non-external -[MPAssetManager mediaTypeForAssetAtPath:]
00000001dc026038 (__TEXT,__text) non-external -[MPAssetManager posterTimeForAssetAtPath:]
00000001dc025ac8 (__TEXT,__text) non-external -[MPAssetManager regionsOfInterestForAsset:]
00000001dc025d80 (__TEXT,__text) non-external -[MPAssetManager regionsOfInterestForAssetAtPath:]
00000001dc02572c (__TEXT,__text) non-external -[MPAssetManager resolutionForAssetAtPath:]
00000001dc02571c (__TEXT,__text) non-external -[MPAssetManager startTimeForAssetAtPath:]
00000001dc025724 (__TEXT,__text) non-external -[MPAssetManager stopTimeForAssetAtPath:]
00000001dc026060 (__TEXT,__text) non-external -[MPAssetManager(Internal) cacheAttributes:forPath:]
00000001dc026c50 (__TEXT,__text) non-external -[MPAudioPlaylist addSong:]
00000001dc026ca4 (__TEXT,__text) non-external -[MPAudioPlaylist addSongs:]
00000001dc026b50 (__TEXT,__text) non-external -[MPAudioPlaylist copyWithZone:]
00000001dc026620 (__TEXT,__text) non-external -[MPAudioPlaylist dealloc]
00000001dc026ba0 (__TEXT,__text) non-external -[MPAudioPlaylist description]
00000001dc027390 (__TEXT,__text) non-external -[MPAudioPlaylist duckInDuration]
00000001dc027460 (__TEXT,__text) non-external -[MPAudioPlaylist duckLevel]
00000001dc0273f8 (__TEXT,__text) non-external -[MPAudioPlaylist duckOutDuration]
00000001dc02728c (__TEXT,__text) non-external -[MPAudioPlaylist duration]
00000001dc0266a4 (__TEXT,__text) non-external -[MPAudioPlaylist encodeWithCoder:]
00000001dc027294 (__TEXT,__text) non-external -[MPAudioPlaylist fadeInDuration]
00000001dc0272fc (__TEXT,__text) non-external -[MPAudioPlaylist fadeOutDuration]
00000001dc026804 (__TEXT,__text) non-external -[MPAudioPlaylist initWithCoder:]
00000001dc026554 (__TEXT,__text) non-external -[MPAudioPlaylist init]
00000001dc026cec (__TEXT,__text) non-external -[MPAudioPlaylist insertSongs:atIndex:]
00000001dc0271c0 (__TEXT,__text) non-external -[MPAudioPlaylist moveSongsFromIndices:toIndex:]
00000001dc027284 (__TEXT,__text) non-external -[MPAudioPlaylist parentObject]
00000001dc027168 (__TEXT,__text) non-external -[MPAudioPlaylist removeAllSongs]
00000001dc026fdc (__TEXT,__text) non-external -[MPAudioPlaylist removeSongsAtIndices:]
00000001dc027398 (__TEXT,__text) non-external -[MPAudioPlaylist setDuckInDuration:]
00000001dc027468 (__TEXT,__text) non-external -[MPAudioPlaylist setDuckLevel:]
00000001dc027400 (__TEXT,__text) non-external -[MPAudioPlaylist setDuckOutDuration:]
00000001dc02729c (__TEXT,__text) non-external -[MPAudioPlaylist setFadeInDuration:]
00000001dc027304 (__TEXT,__text) non-external -[MPAudioPlaylist setFadeOutDuration:]
00000001dc026c48 (__TEXT,__text) non-external -[MPAudioPlaylist songs]
00000001dc027cec (__TEXT,__text) non-external -[MPAudioPlaylist(AppleScript) countOfSongs]
00000001dc027cfc (__TEXT,__text) non-external -[MPAudioPlaylist(AppleScript) insertObject:inSongsAtIndex:]
00000001dc027cf4 (__TEXT,__text) non-external -[MPAudioPlaylist(AppleScript) objectInSongsAtIndex:]
00000001dc027d48 (__TEXT,__text) non-external -[MPAudioPlaylist(AppleScript) removeObjectFromSongsAtIndex:]
00000001dc027d8c (__TEXT,__text) non-external -[MPAudioPlaylist(AppleScript) replaceObjectInSongsAtIndex:withObject:]
00000001dc027684 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) cleanup]
00000001dc027560 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) copySongs:]
00000001dc0274d0 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) copyStruct:]
00000001dc027688 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) montage]
00000001dc027bf0 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) parentDocument]
00000001dc027698 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) setAudioPlaylist:]
00000001dc027ac0 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) setDuration:]
00000001dc027690 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) setMontage:]
00000001dc027a7c (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) setParentObject:]
00000001dc027978 (__TEXT,__text) non-external -[MPAudioPlaylist(Internal) setPlug:]
00000001dc0274c8 (__TEXT,__text) non-external -[MPAudioPlaylist(Private) audioPlaylist]
00000001dc028174 (__TEXT,__text) non-external -[MPAuthoringController authorDocument:withOptions:]
00000001dc0281cc (__TEXT,__text) non-external -[MPAuthoringController authorLayerGroup:inDocument:withOptions:]
00000001dc02c31c (__TEXT,__text) non-external -[MPAuthoringController beatAlignLayers:toAudioPlaylist:forDocument:withOptions:]
00000001dc02d5cc (__TEXT,__text) non-external -[MPAuthoringController canDocumentFitToAudio:withOptions:requiredAudioDuration:]
00000001dc02d62c (__TEXT,__text) non-external -[MPAuthoringController canLayerGroupFitToAudio:inDocument:withOptions:requiredAudioDuration:]
00000001dc02d804 (__TEXT,__text) non-external -[MPAuthoringController canScaleToAudioInDocument:withOptions:]
00000001dc0280e8 (__TEXT,__text) non-external -[MPAuthoringController dealloc]
00000001dc028164 (__TEXT,__text) non-external -[MPAuthoringController delegate]
00000001dc02c238 (__TEXT,__text) non-external -[MPAuthoringController effectContainersWithPaths:forDocument:withOptions:]
00000001dc027f8c (__TEXT,__text) non-external -[MPAuthoringController init]
00000001dc02cda4 (__TEXT,__text) non-external -[MPAuthoringController prepareDocumentForExport:withOptions:]
00000001dc02d114 (__TEXT,__text) non-external -[MPAuthoringController prepareDocumentForPlayback:withOptions:]
00000001dc02cbec (__TEXT,__text) non-external -[MPAuthoringController reconfigureColorSchemeForLayerGroup:inDocument:withOptions:]
00000001dc02cb94 (__TEXT,__text) non-external -[MPAuthoringController reconfigureColorSchemeInDocument:withOptions:]
00000001dc02c938 (__TEXT,__text) non-external -[MPAuthoringController reconfigureImagesInDocument:withOptions:]
00000001dc02ca24 (__TEXT,__text) non-external -[MPAuthoringController reconfigureTitleEffectForLayerGroup:inDocument:withOptions:]
00000001dc02c9cc (__TEXT,__text) non-external -[MPAuthoringController reconfigureTitleEffectInDocument:withOptions:]
00000001dc02c4cc (__TEXT,__text) non-external -[MPAuthoringController scaleDurationsForLayerGroup:inDocument:withOptions:]
00000001dc02c474 (__TEXT,__text) non-external -[MPAuthoringController scaleDurationsInDocument:withOptions:]
00000001dc02816c (__TEXT,__text) non-external -[MPAuthoringController setDelegate:]
00000001dc02c310 (__TEXT,__text) non-external -[MPAuthoringController transitionFromOptions:]
00000001dc029c4c (__TEXT,__text) non-external -[MPAuthoringController upgradeDocument:withOptions:]
00000001dc029ca4 (__TEXT,__text) non-external -[MPAuthoringController upgradeLayerGroup:inDocument:withOptions:]
00000001dc03c6ec (__TEXT,__text) non-external -[MPAuthoringController(Beats) beatsForAudioPlaylist:withOptions:]
00000001dc03cbc0 (__TEXT,__text) non-external -[MPAuthoringController(Beats) createBeatsThreaded:]
00000001dc03c96c (__TEXT,__text) non-external -[MPAuthoringController(Beats) findClosestBeatForTime:inBeats:atIndex:]
00000001dc03cacc (__TEXT,__text) non-external -[MPAuthoringController(Beats) indexOfBeatWithTimestamp:inBeats:inRange:]
00000001dc03ce84 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) cleanupClusters]
00000001dc03ce90 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) findUsableClustersForUserDefinedSlideOrderPresentation:inClusters:]
00000001dc03cd58 (__TEXT,__text) non-external -[MPAuthoringController(Clustering) setupClustersWithPaths:withOptions:]
00000001dc02df3c (__TEXT,__text) non-external -[MPAuthoringController(Internal) _collectVersionInformationFromStyle:]
00000001dc03c580 (__TEXT,__text) non-external -[MPAuthoringController(Internal) _upgradedStringWithString:andOriginalDefaultAttributes:andCurrentEffectID:andCurrentPresetID:]
00000001dc02e8fc (__TEXT,__text) non-external -[MPAuthoringController(Internal) authorPlacesWithImages:forLayerGroup:inDocument:withOptions:]
00000001dc02def0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) authoredDocument]
00000001dc034e8c (__TEXT,__text) non-external -[MPAuthoringController(Internal) beatAlignEffectContainers:toBeats:withOptions:]
00000001dc03365c (__TEXT,__text) non-external -[MPAuthoringController(Internal) beatAlignLayer:toBeats:withOptions:]
00000001dc0309d8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) bestCountFromClusterForEffectWithImages:atStartIndex:withWeighter:usedIndex:]
00000001dc02ea84 (__TEXT,__text) non-external -[MPAuthoringController(Internal) cacheROIInformationForImages:withOptions:]
00000001dc0335b4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) checkForOffsetsForLayers:withOptions:]
00000001dc02d814 (__TEXT,__text) non-external -[MPAuthoringController(Internal) cleanup:]
00000001dc02d80c (__TEXT,__text) non-external -[MPAuthoringController(Internal) cleanup]
00000001dc02d890 (__TEXT,__text) non-external -[MPAuthoringController(Internal) clearROICache]
00000001dc035c5c (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureFiltersInDocument:withOptions:]
00000001dc02d8c0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureIntroInDocument:withOptions:]
00000001dc02db2c (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureOutroInDocument:withOptions:]
00000001dc03be04 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configurePanoramaInformationToEffect:inDocument:startingIndex:count:removeOldIndex:]
00000001dc0360b4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) configureTransitionsInDocument:withOptions:]
00000001dc03a75c (__TEXT,__text) non-external -[MPAuthoringController(Internal) createAudioPlayListFromAudioPaths:andOptions:]
00000001dc038eb8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) createEffectToTransitionMapWithOptions:]
00000001dc0364f4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) createLayerWithImages:effects:andOptions:]
00000001dc032030 (__TEXT,__text) non-external -[MPAuthoringController(Internal) determineIfSlideDisplayesForTheWholeDurationForEffect:presetID:atIndex:inStyleID:]
00000001dc036950 (__TEXT,__text) non-external -[MPAuthoringController(Internal) dynamicLayerWithImages:withOptions:]
00000001dc036f1c (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectAuthoredLayerWithImages:withOptions:]
00000001dc037870 (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectContainersWithImages:effects:andOptions:]
00000001dc02f240 (__TEXT,__text) non-external -[MPAuthoringController(Internal) effectsForImages:withOptions:]
00000001dc039120 (__TEXT,__text) non-external -[MPAuthoringController(Internal) exportTransitionFromOptions:]
00000001dc0333ec (__TEXT,__text) non-external -[MPAuthoringController(Internal) fillDurationsForLayers:withOptions:]
00000001dc03a424 (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForEffectFromOptions:]
00000001dc03a2a4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForLayerFromOptions:]
00000001dc03a5ac (__TEXT,__text) non-external -[MPAuthoringController(Internal) filtersForSlideFromOptions:]
00000001dc030b54 (__TEXT,__text) non-external -[MPAuthoringController(Internal) findEffectIDInPresetArray:forImages:withOptions:]
00000001dc031cbc (__TEXT,__text) non-external -[MPAuthoringController(Internal) findEffectIDInWeighter:images:startingIndex:count:triesToFind:constraints:previousTags:]
00000001dc03a698 (__TEXT,__text) non-external -[MPAuthoringController(Internal) frameFromOptions:]
00000001dc030934 (__TEXT,__text) non-external -[MPAuthoringController(Internal) imagesHaveMovie:start:count:]
00000001dc02dee8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) isAuthoring]
00000001dc039068 (__TEXT,__text) non-external -[MPAuthoringController(Internal) loopTransitionFromOptions:]
00000001dc03315c (__TEXT,__text) non-external -[MPAuthoringController(Internal) matchDurationsForLayers:withOptions:]
00000001dc035808 (__TEXT,__text) non-external -[MPAuthoringController(Internal) maximumDurationForLayer:inDocument:withOptions:]
00000001dc03549c (__TEXT,__text) non-external -[MPAuthoringController(Internal) minimumDurationForLayer:inDocument:withOptions:]
00000001dc02e4bc (__TEXT,__text) non-external -[MPAuthoringController(Internal) orderImages:withOptions:]
00000001dc03b9c0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) performInitialFaceDetectionInGroup:withOptions:]
00000001dc03a8c0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) pickRandomPathsInArray:excludingPaths:count:]
00000001dc030de4 (__TEXT,__text) non-external -[MPAuthoringController(Internal) populateWeighter:withEffects:andOptions:]
00000001dc0319f8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) populateWeighter:withTransitions:andOptions:]
00000001dc032664 (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInEffectContainers:withOptions:]
00000001dc03247c (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInLayer:withMutableOptions:]
00000001dc032314 (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleDurationsInLayer:withOptions:]
00000001dc034550 (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleLayerToMatchAudio:withBeats:withOptions:]
00000001dc033894 (__TEXT,__text) non-external -[MPAuthoringController(Internal) scaleLayerToMatchAudio:withOptions:]
00000001dc02def8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) setAuthoredDocument:]
00000001dc02dc30 (__TEXT,__text) non-external -[MPAuthoringController(Internal) setTitleTextToColor:forLayerGroup:inDocument:withOptions:]
00000001dc02dbd0 (__TEXT,__text) non-external -[MPAuthoringController(Internal) setTitleTextToColor:inDocument:withOptions:]
00000001dc02e2b8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) shuffleImagesByRating:withOptions:]
00000001dc03664c (__TEXT,__text) non-external -[MPAuthoringController(Internal) slidesWithImages:andOptions:]
00000001dc039194 (__TEXT,__text) non-external -[MPAuthoringController(Internal) sortImagePaths:toAspectRatiosInEffectPresetID:withOptions:]
00000001dc036c48 (__TEXT,__text) non-external -[MPAuthoringController(Internal) titleEffectsForImages:withOptions:]
00000001dc03a9d8 (__TEXT,__text) non-external -[MPAuthoringController(Internal) transitionFromOptions:firstEffectContainer:nextEffectContainer:]
00000001dc03d2a0 (__TEXT,__text) non-external -[MPAuthoringController(Logging) finishLogging]
00000001dc03d100 (__TEXT,__text) non-external -[MPAuthoringController(Logging) startLogging]
00000001dc041128 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) addStyledCaptionToSlide:inDocument:withOptions:]
00000001dc042384 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) combineSlides:inDocument:withOptions:]
00000001dc03eb48 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) insertVideoPaths:atIndex:inDocument:withOptions:]
00000001dc03e544 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) moveSlidesFromIndicies:toIndex:inDocument:withOptions:]
00000001dc03f924 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) removeSlidesAtIndicies:inDocument:withOptions:]
00000001dc041b48 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation) removeStyledCaptionFromSlide:inDocument:withOptions:]
00000001dc043748 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _addVideoPaths:toEndOfLayer:inDocument:withOptions:]
00000001dc043e00 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _checkForEmptyLayersInDocument:]
00000001dc043fd8 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _countOfEmptyContainersInIntroOfLayer:withOptions:]
00000001dc043b54 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _grabAndRemoveTitleEffectFromDocument:withOptions:]
00000001dc043eb0 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _numberOfSlidesForOutroInLayer:withOptions:]
00000001dc043d58 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _readdTitleEffect:toDocument:withOptions:]
00000001dc042c30 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) _reorderImagesInDocument:withOptions:]
00000001dc0425b0 (__TEXT,__text) non-external -[MPAuthoringController(Manipulation_Internal) combineEffectsNearSlide:inDocument:withOptions:]
00000001dc04da84 (__TEXT,__text) non-external -[MPAuthoringController(Places) recreateMapsInDocument:]
00000001dc04d8bc (__TEXT,__text) non-external -[MPAuthoringController(Places) removeAllMapsInDocument:]
00000001dc044138 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _createMapsWithImages:withOptions:]
00000001dc045870 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _gatherLocationInfoForMaps:]
00000001dc045fb4 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _mapsSortedByCity:hasCities:]
00000001dc046954 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _mapsSortedByState:]
00000001dc04d2b0 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _placeEffectContainersForPhotos:options:]
00000001dc047144 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _renameMapsAndPins:withOptions:]
00000001dc045cb4 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) _tryAndCollapseMaps:]
00000001dc048e70 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) createLayersForPlacesForImages:forDocument:withOptions:]
00000001dc04c87c (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) mapTypeForPoint0:point1:point2:map:flight:]
00000001dc04c738 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) rect:intersectsRects:index:]
00000001dc04cbd0 (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) scaleDurationsInPlacesForDocument:withOptions:]
00000001dc04cb5c (__TEXT,__text) non-external -[MPAuthoringController(PlacesInternal) tileSetForMap1:map2:needsWater:]
00000001dc051bac (__TEXT,__text) non-external -[MPCluster addSlide:]
00000001dc051bcc (__TEXT,__text) non-external -[MPCluster allSlidesSortedByUser]
00000001dc051bf0 (__TEXT,__text) non-external -[MPCluster allSlidesSortedChronologically]
00000001dc051bc4 (__TEXT,__text) non-external -[MPCluster allSlides]
00000001dc051be8 (__TEXT,__text) non-external -[MPCluster clusterContainsSlideAtPath:]
00000001dc051b44 (__TEXT,__text) non-external -[MPCluster dealloc]
00000001dc0522dc (__TEXT,__text) non-external -[MPCluster description]
00000001dc052154 (__TEXT,__text) non-external -[MPCluster detailedDescription]
00000001dc051ae4 (__TEXT,__text) non-external -[MPCluster init]
00000001dc052350 (__TEXT,__text) non-external -[MPCluster items]
00000001dc052364 (__TEXT,__text) non-external -[MPCluster name]
00000001dc052378 (__TEXT,__text) non-external -[MPCluster rating]
