00007ffa1fd4f5fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa1fbf2d54 (__TEXT,__text) non-external -[MREffectReflectionsBackground(MRLoadable) _unload]
00007ffa1fbf2e1a (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _cleanup]
00007ffa1fbf33e6 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _loadForTime:inContext:withArguments:]
00007ffa1fbf2eb1 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _maxLinesForTextElement:]
00007ffa1fbf2e96 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _maxSizeForTextElement:]
00007ffa1fbf2ebc (__TEXT,__text) non-external -[MREffectReflectionsSubtitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fbf2eec (__TEXT,__text) non-external -[MREffectReflectionsSubtitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fbf2dc3 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle initWithEffectID:]
00007ffa1fbf2f4f (__TEXT,__text) non-external -[MREffectReflectionsSubtitle isLoadedForTime:]
00007ffa1fbf2fd1 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle renderAtTime:inContext:withArguments:]
00007ffa1fbf3cb0 (__TEXT,__text) non-external -[MREffectReflectionsTitle _applySizeScripts:]
00007ffa1fbf398a (__TEXT,__text) non-external -[MREffectReflectionsTitle _cleanup]
00007ffa1fbf62ac (__TEXT,__text) non-external -[MREffectReflectionsTitle _loadForTime:inContext:withArguments:]
00007ffa1fbf3fb6 (__TEXT,__text) non-external -[MREffectReflectionsTitle _maxLinesForTextElement:]
00007ffa1fbf3f9b (__TEXT,__text) non-external -[MREffectReflectionsTitle _maxSizeForTextElement:]
00007ffa1fbf6917 (__TEXT,__text) non-external -[MREffectReflectionsTitle _unload]
00007ffa1fbf66f9 (__TEXT,__text) non-external -[MREffectReflectionsTitle cacheRenderedWords]
00007ffa1fbf600d (__TEXT,__text) non-external -[MREffectReflectionsTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fbf625e (__TEXT,__text) non-external -[MREffectReflectionsTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fbf36c4 (__TEXT,__text) non-external -[MREffectReflectionsTitle initWithEffectID:]
00007ffa1fbf3fc1 (__TEXT,__text) non-external -[MREffectReflectionsTitle isLoadedForTime:]
00007ffa1fbf3e8d (__TEXT,__text) non-external -[MREffectReflectionsTitle prerenderForTime:inContext:withArguments:]
00007ffa1fbf4fc8 (__TEXT,__text) non-external -[MREffectReflectionsTitle render1SlideAtTime:inContext:withArguments:scale:tilt:phaseOutType:direction:]
00007ffa1fbf40aa (__TEXT,__text) non-external -[MREffectReflectionsTitle renderAtTime:inContext:withArguments:]
00007ffa1fbf560d (__TEXT,__text) non-external -[MREffectReflectionsTitle renderKey:size:position:yRot:tX:time:inContext:withArguments:light:shadow:]
00007ffa1fbf4742 (__TEXT,__text) non-external -[MREffectReflectionsTitle renderTextAtTime:inContext:withArguments:scale:]
00007ffa1fbf3df8 (__TEXT,__text) non-external -[MREffectReflectionsTitle setAttributes:]
00007ffa1fbf3bf3 (__TEXT,__text) non-external -[MREffectReflectionsTitle setPixelSize:]
00007ffa1fd41e96 (__TEXT,__text) non-external -[MREffectScrapbook _cleanup]
00007ffa1fd47278 (__TEXT,__text) non-external -[MREffectScrapbook _drawBlendedFrame:info:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa1fd4848f (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakFrame:index:rect:rotation:forcedAspectRatio:layout:offset:time:inContext:withArguments:]
00007ffa1fd4a5bd (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakFrameInRect:frameWidth:time:inContext:withArguments:]
00007ffa1fd47c3c (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakTwoPartFrame:index:rect:rotation:forcedAspectRatio:time:inContext:withArguments:]
00007ffa1fd46819 (__TEXT,__text) non-external -[MREffectScrapbook _drawFrame:info:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa1fd457ea (__TEXT,__text) non-external -[MREffectScrapbook _drawFrame:info:rect:stretch:zIndex:zRotation:subtract:key:time:inContext:withArguments:]
00007ffa1fd48cd8 (__TEXT,__text) non-external -[MREffectScrapbook _drawLandscapePanoBackgroundInRect:paperType:subtract:inTime:inContext:withArguments:]
00007ffa1fd46109 (__TEXT,__text) non-external -[MREffectScrapbook _drawMask:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa1fd498ed (__TEXT,__text) non-external -[MREffectScrapbook _drawPortraitPanoBackgroundInRect:flippedRect:paperType:subtract:inTime:inContext:withArguments:]
00007ffa1fd4552e (__TEXT,__text) non-external -[MREffectScrapbook _drawTextWithInfo:rect:zIndex:zRotation:time:inContext:withArguments:]
00007ffa1fd45102 (__TEXT,__text) non-external -[MREffectScrapbook elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fd4547b (__TEXT,__text) non-external -[MREffectScrapbook getCurrentCenter:scale:rotation:isMain:forElement:]
00007ffa1fd4b1f5 (__TEXT,__text) non-external -[MREffectScrapbook getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa1fd453e3 (__TEXT,__text) non-external -[MREffectScrapbook getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fd4ab6f (__TEXT,__text) non-external -[MREffectScrapbook hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa1fd41e0a (__TEXT,__text) non-external -[MREffectScrapbook initWithEffectID:]
00007ffa1fd4b063 (__TEXT,__text) non-external -[MREffectScrapbook interestingTimeForElement:]
00007ffa1fd4ae56 (__TEXT,__text) non-external -[MREffectScrapbook interestingTimeForTime:]
00007ffa1fd4237b (__TEXT,__text) non-external -[MREffectScrapbook isAlphaFriendly]
00007ffa1fd42071 (__TEXT,__text) non-external -[MREffectScrapbook isLoadedForTime:]
00007ffa1fd42383 (__TEXT,__text) non-external -[MREffectScrapbook isOpaque]
00007ffa1fd4252d (__TEXT,__text) non-external -[MREffectScrapbook prerenderForTime:inContext:withArguments:]
00007ffa1fd43d0c (__TEXT,__text) non-external -[MREffectScrapbook renderAtTime:inContext:withArguments:]
00007ffa1fd421bb (__TEXT,__text) non-external -[MREffectScrapbook setPixelSize:]
00007ffa1fd4b484 (__TEXT,__text) non-external -[MREffectScrapbook(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fd4b914 (__TEXT,__text) non-external -[MREffectScrapbook(MRLoadable) _maxLinesForTextElement:]
00007ffa1fd4b8e9 (__TEXT,__text) non-external -[MREffectScrapbook(MRLoadable) _maxSizeForTextElement:]
00007ffa1fd4b91f (__TEXT,__text) non-external -[MREffectScrapbook(MRLoadable) _unload]
00007ffa1fc019cc (__TEXT,__text) non-external -[MREffectScrapbookTitle _cleanup]
00007ffa1fc01ae5 (__TEXT,__text) non-external -[MREffectScrapbookTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc01e34 (__TEXT,__text) non-external -[MREffectScrapbookTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc00f16 (__TEXT,__text) non-external -[MREffectScrapbookTitle initWithEffectID:]
00007ffa1fc01fe6 (__TEXT,__text) non-external -[MREffectScrapbookTitle isAlphaFriendly]
00007ffa1fc01f5c (__TEXT,__text) non-external -[MREffectScrapbookTitle isLoadedForTime:]
00007ffa1fc01fde (__TEXT,__text) non-external -[MREffectScrapbookTitle isOpaque]
00007ffa1fc01fee (__TEXT,__text) non-external -[MREffectScrapbookTitle prerenderForTime:inContext:withArguments:]
00007ffa1fc02077 (__TEXT,__text) non-external -[MREffectScrapbookTitle renderAtTime:inContext:withArguments:]
00007ffa1fc01a38 (__TEXT,__text) non-external -[MREffectScrapbookTitle setPixelSize:]
00007ffa1fc036e6 (__TEXT,__text) non-external -[MREffectScrapbookTitle(Effects) renderEffectTitle2AtTime:inContext:withArguments:]
00007ffa1fc0255e (__TEXT,__text) non-external -[MREffectScrapbookTitle(Effects) renderEffectTitleAtTime:inContext:withArguments:]
00007ffa1fc02162 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fc02495 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa1fc02433 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa1fc024a0 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _unload]
00007ffa1fbf88b7 (__TEXT,__text) non-external -[MREffectScrapbook_Old _cleanup]
00007ffa1fbf8d94 (__TEXT,__text) non-external -[MREffectScrapbook_Old elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fbf905d (__TEXT,__text) non-external -[MREffectScrapbook_Old getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fbf6be3 (__TEXT,__text) non-external -[MREffectScrapbook_Old initWithEffectID:]
00007ffa1fbf89f2 (__TEXT,__text) non-external -[MREffectScrapbook_Old isAlphaFriendly]
00007ffa1fbf89ea (__TEXT,__text) non-external -[MREffectScrapbook_Old isOpaque]
00007ffa1fbf89fa (__TEXT,__text) non-external -[MREffectScrapbook_Old prerenderForTime:inContext:withArguments:]
00007ffa1fbf8a83 (__TEXT,__text) non-external -[MREffectScrapbook_Old renderAtTime:inContext:withArguments:]
00007ffa1fbf893d (__TEXT,__text) non-external -[MREffectScrapbook_Old setPixelSize:]
00007ffa1fc000ae (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect10AtTime:inContext:withArguments:]
00007ffa1fbf913a (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect1AtTime:inContext:withArguments:]
00007ffa1fbf9e27 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect2AtTime:movieVersion:inContext:withArguments:]
00007ffa1fbfab78 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect3AtTime:movieVersion:inContext:withArguments:]
00007ffa1fbfbc54 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect4AtTime:movieVersion:inContext:withArguments:]
00007ffa1fbfcd77 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect5AtTime:movieVersion:inContext:withArguments:]
00007ffa1fbfdbf3 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect6AtTime:movieVersion:inContext:withArguments:]
00007ffa1fbfe6f9 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect7AtTime:inContext:withArguments:]
00007ffa1fbff277 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect8AtTime:inContext:withArguments:]
00007ffa1fbff6d7 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect9AtTime:inContext:withArguments:]
00007ffa1fc0075f (__TEXT,__text) non-external -[MREffectScrapbook_Old(MRLoadable) _unload]
00007ffa1fd5438a (__TEXT,__text) non-external -[MREffectShadedColors _unload]
00007ffa1fd54362 (__TEXT,__text) non-external -[MREffectShadedColors beginMorphingToAspectRatio:withDuration:]
00007ffa1fd542cf (__TEXT,__text) non-external -[MREffectShadedColors elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fd542ff (__TEXT,__text) non-external -[MREffectShadedColors getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fd5402e (__TEXT,__text) non-external -[MREffectShadedColors prerenderForTime:inContext:withArguments:]
00007ffa1fd54036 (__TEXT,__text) non-external -[MREffectShadedColors renderAtTime:inContext:withArguments:]
00007ffa1fd53c84 (__TEXT,__text) non-external -[MREffectShadedColors setAttributes:]
00007ffa1fd73a55 (__TEXT,__text) non-external -[MREffectShatter _cleanup]
00007ffa1fd750fe (__TEXT,__text) non-external -[MREffectShatter elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fd7534f (__TEXT,__text) non-external -[MREffectShatter getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fd739a4 (__TEXT,__text) non-external -[MREffectShatter initWithEffectID:]
00007ffa1fd73b78 (__TEXT,__text) non-external -[MREffectShatter isLoadedForTime:]
00007ffa1fd750c4 (__TEXT,__text) non-external -[MREffectShatter patchworkAtTime:inContext:withArguments:]
00007ffa1fd73b83 (__TEXT,__text) non-external -[MREffectShatter prerenderForTime:inContext:withArguments:]
00007ffa1fd74458 (__TEXT,__text) non-external -[MREffectShatter renderAtTime:inContext:withArguments:]
00007ffa1fd73b49 (__TEXT,__text) non-external -[MREffectShatter setPixelSize:]
00007ffa1fd7539d (__TEXT,__text) non-external -[MREffectShatter(MRLoadable) _unload]
00007ffa1fd77882 (__TEXT,__text) non-external -[MREffectShatterText _cleanup]
00007ffa1fd785fc (__TEXT,__text) non-external -[MREffectShatterText _maxLinesForTextElement:]
00007ffa1fd785d7 (__TEXT,__text) non-external -[MREffectShatterText _maxSizeForTextElement:]
00007ffa1fd78641 (__TEXT,__text) non-external -[MREffectShatterText _renderSublayer:layerCount:atTime:inContext:withArguments:]
00007ffa1fd77c12 (__TEXT,__text) non-external -[MREffectShatterText elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fd77c42 (__TEXT,__text) non-external -[MREffectShatterText getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fd77820 (__TEXT,__text) non-external -[MREffectShatterText initWithEffectID:]
00007ffa1fd77ca5 (__TEXT,__text) non-external -[MREffectShatterText isLoadedForTime:]
00007ffa1fd78607 (__TEXT,__text) non-external -[MREffectShatterText patchworkAtTime:inContext:withArguments:]
00007ffa1fd77e6f (__TEXT,__text) non-external -[MREffectShatterText prerenderForTime:inContext:withArguments:]
00007ffa1fd780b2 (__TEXT,__text) non-external -[MREffectShatterText renderAtTime:inContext:withArguments:]
00007ffa1fd77a91 (__TEXT,__text) non-external -[MREffectShatterText setPixelSize:]
00007ffa1fd79728 (__TEXT,__text) non-external -[MREffectShatterText(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fd799cf (__TEXT,__text) non-external -[MREffectShatterText(MRLoadable) _unload]
00007ffa1fc04762 (__TEXT,__text) non-external -[MREffectShatterTitle _cleanup]
00007ffa1fc04859 (__TEXT,__text) non-external -[MREffectShatterTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc04889 (__TEXT,__text) non-external -[MREffectShatterTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc045bd (__TEXT,__text) non-external -[MREffectShatterTitle initWithEffectID:]
00007ffa1fc048ec (__TEXT,__text) non-external -[MREffectShatterTitle isLoadedForTime:]
00007ffa1fc049c5 (__TEXT,__text) non-external -[MREffectShatterTitle prerenderForTime:inContext:withArguments:]
00007ffa1fc04a49 (__TEXT,__text) non-external -[MREffectShatterTitle renderAtTime:inContext:withArguments:]
00007ffa1fc047dd (__TEXT,__text) non-external -[MREffectShatterTitle setPixelSize:]
00007ffa1fc05387 (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fc05650 (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa1fc0562d (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa1fc055c6 (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _unload]
00007ffa1fcf434c (__TEXT,__text) non-external -[MREffectShiftingTiles _addSlideAspectRatios:]
00007ffa1fcf451f (__TEXT,__text) non-external -[MREffectShiftingTiles _applyTimingToSlideProviders]
00007ffa1fcf6a12 (__TEXT,__text) non-external -[MREffectShiftingTiles _aspectRatioForSlideIndex:]
00007ffa1fcf619b (__TEXT,__text) non-external -[MREffectShiftingTiles _calculateMainDuration]
00007ffa1fcf396e (__TEXT,__text) non-external -[MREffectShiftingTiles _cleanup]
00007ffa1fcf6b6a (__TEXT,__text) non-external -[MREffectShiftingTiles _displaySlideCountForLayout:]
00007ffa1fcf6b8e (__TEXT,__text) non-external -[MREffectShiftingTiles _displayWidthForLayout:]
00007ffa1fcf9af0 (__TEXT,__text) non-external -[MREffectShiftingTiles _durationForAspectRatio:inLayout:withScreenRatio:]
00007ffa1fcfd802 (__TEXT,__text) non-external -[MREffectShiftingTiles _infoForTime:]
00007ffa1fcf9b8c (__TEXT,__text) non-external -[MREffectShiftingTiles _iterationForTime:startTime:duration:]
00007ffa1fcfd912 (__TEXT,__text) non-external -[MREffectShiftingTiles _layoutForIteration:]
00007ffa1fcfd8dd (__TEXT,__text) non-external -[MREffectShiftingTiles _layoutForTime:]
00007ffa1fcf3d02 (__TEXT,__text) non-external -[MREffectShiftingTiles _lowestDisplayIteration]
00007ffa1fcf62eb (__TEXT,__text) non-external -[MREffectShiftingTiles _setupFirstLayout]
00007ffa1fcf6bc1 (__TEXT,__text) non-external -[MREffectShiftingTiles _setupLayoutsWithSlideInfo:append:aspectRatio:]
00007ffa1fcf6b7c (__TEXT,__text) non-external -[MREffectShiftingTiles _slideCountForLayout:]
00007ffa1fcfd758 (__TEXT,__text) non-external -[MREffectShiftingTiles _slideProviderWithAspectRatio:nearest:actual:]
00007ffa1fcf681b (__TEXT,__text) non-external -[MREffectShiftingTiles _timeForIteration:]
00007ffa1fcf54a4 (__TEXT,__text) non-external -[MREffectShiftingTiles _updateSizeScripts]
00007ffa1fcf6ba0 (__TEXT,__text) non-external -[MREffectShiftingTiles _widthForLayout:]
00007ffa1fcf42db (__TEXT,__text) non-external -[MREffectShiftingTiles appendSlideInformation:andTextInformation:]
00007ffa1fcf69ee (__TEXT,__text) non-external -[MREffectShiftingTiles displayTimeForSlideAtIndex:]
00007ffa1fcf6a09 (__TEXT,__text) non-external -[MREffectShiftingTiles displayTimeForTextAtIndex:]
00007ffa1fcfdd96 (__TEXT,__text) non-external -[MREffectShiftingTiles elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fcf3af8 (__TEXT,__text) non-external -[MREffectShiftingTiles firstSlideIndexStillNeededAtTime:]
00007ffa1fcfdfe7 (__TEXT,__text) non-external -[MREffectShiftingTiles getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fcf38cc (__TEXT,__text) non-external -[MREffectShiftingTiles initWithEffectID:]
00007ffa1fcf69c0 (__TEXT,__text) non-external -[MREffectShiftingTiles lowestDisplayTime]
00007ffa1fcf9dbd (__TEXT,__text) non-external -[MREffectShiftingTiles prerenderForTime:inContext:withArguments:]
00007ffa1fcfa2bd (__TEXT,__text) non-external -[MREffectShiftingTiles renderAtTime:inContext:withArguments:]
00007ffa1fcf40a9 (__TEXT,__text) non-external -[MREffectShiftingTiles setMultiImageSlideRange:]
00007ffa1fcf44de (__TEXT,__text) non-external -[MREffectShiftingTiles setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa1fcf6310 (__TEXT,__text) non-external -[MREffectShiftingTiles showDurationForSlideAtIndex:]
00007ffa1fcf5e40 (__TEXT,__text) non-external -[MREffectShiftingTiles showTimeForSlideAtIndex:]
00007ffa1fcf3abb (__TEXT,__text) non-external -[MREffectShiftingTiles supportsDynamicExpansion]
00007ffa1fcf3ac6 (__TEXT,__text) non-external -[MREffectShiftingTiles typicalSlideBatchSize]
00007ffa1fcfe035 (__TEXT,__text) non-external -[MREffectShiftingTiles(MRLoadable) _unload]
00007ffa1fd0afc0 (__TEXT,__text) non-external -[MREffectShowroom _cleanup]
00007ffa1fd0c384 (__TEXT,__text) non-external -[MREffectShowroom elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fd0c5d5 (__TEXT,__text) non-external -[MREffectShowroom getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fd0ad93 (__TEXT,__text) non-external -[MREffectShowroom initWithEffectID:]
00007ffa1fd0b628 (__TEXT,__text) non-external -[MREffectShowroom isLoadedForTime:]
00007ffa1fd0b3a4 (__TEXT,__text) non-external -[MREffectShowroom prerenderForTime:inContext:withArguments:]
00007ffa1fd0b6a6 (__TEXT,__text) non-external -[MREffectShowroom renderAtTime:inContext:withArguments:]
00007ffa1fd0b139 (__TEXT,__text) non-external -[MREffectShowroom setAttributes:]
00007ffa1fd0b07c (__TEXT,__text) non-external -[MREffectShowroom setPixelSize:]
00007ffa1fd0c623 (__TEXT,__text) non-external -[MREffectShowroom(MRLoadable) _unload]
00007ffa1fd0c6e6 (__TEXT,__text) non-external -[MREffectShowroomBackground _cleanup]
00007ffa1fd0c6a3 (__TEXT,__text) non-external -[MREffectShowroomBackground initWithEffectID:]
00007ffa1fd0c77c (__TEXT,__text) non-external -[MREffectShowroomBackground isLoadedForTime:]
00007ffa1fd0c799 (__TEXT,__text) non-external -[MREffectShowroomBackground prerenderForTime:inContext:withArguments:]
00007ffa1fd0cc22 (__TEXT,__text) non-external -[MREffectShowroomBackground renderAtTime:inContext:withArguments:]
00007ffa1fd0c9b7 (__TEXT,__text) non-external -[MREffectShowroomBackground setAttributes:]
00007ffa1fd0c71f (__TEXT,__text) non-external -[MREffectShowroomBackground setPixelSize:]
00007ffa1fd0ccf0 (__TEXT,__text) non-external -[MREffectShowroomBackground(MRLoadable) _unload]
00007ffa1fc0725a (__TEXT,__text) non-external -[MREffectSlidingPanels _applySizeScripts:]
00007ffa1fc057b0 (__TEXT,__text) non-external -[MREffectSlidingPanels _cleanup]
00007ffa1fc0590d (__TEXT,__text) non-external -[MREffectSlidingPanels _loadForTime:inContext:withArguments:]
00007ffa1fc06331 (__TEXT,__text) non-external -[MREffectSlidingPanels _maxLinesForTextElement:]
00007ffa1fc06319 (__TEXT,__text) non-external -[MREffectSlidingPanels _maxSizeForTextElement:]
00007ffa1fc078e7 (__TEXT,__text) non-external -[MREffectSlidingPanels _sizeForBreakAspectRatio:size:inContext:]
00007ffa1fc06371 (__TEXT,__text) non-external -[MREffectSlidingPanels _unload]
00007ffa1fc0af62 (__TEXT,__text) non-external -[MREffectSlidingPanels beginMorphingToAspectRatio:withDuration:]
00007ffa1fc0af73 (__TEXT,__text) non-external -[MREffectSlidingPanels computeAnimationForTime:direction:rect:justification:]
00007ffa1fc0a1f3 (__TEXT,__text) non-external -[MREffectSlidingPanels elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc0a7a7 (__TEXT,__text) non-external -[MREffectSlidingPanels enterInteractiveModeAtTime:]
00007ffa1fc0aaa0 (__TEXT,__text) non-external -[MREffectSlidingPanels exitInteractiveMode]
00007ffa1fc0ac65 (__TEXT,__text) non-external -[MREffectSlidingPanels getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa1fc0a4f4 (__TEXT,__text) non-external -[MREffectSlidingPanels getStartTime:andDuration:forMovingToElementID:backwards:]
00007ffa1fc0a46e (__TEXT,__text) non-external -[MREffectSlidingPanels getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc0a64a (__TEXT,__text) non-external -[MREffectSlidingPanels hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa1fc0565b (__TEXT,__text) non-external -[MREffectSlidingPanels init]
00007ffa1fc0abba (__TEXT,__text) non-external -[MREffectSlidingPanels interestingTimeForElement:]
00007ffa1fc0aae6 (__TEXT,__text) non-external -[MREffectSlidingPanels interestingTimeForTime:]
00007ffa1fc0587d (__TEXT,__text) non-external -[MREffectSlidingPanels isLoadedForTime:]
00007ffa1fc06503 (__TEXT,__text) non-external -[MREffectSlidingPanels prerenderForTime:inContext:withArguments:]
00007ffa1fc078f3 (__TEXT,__text) non-external -[MREffectSlidingPanels renderAtTime:inContext:withArguments:]
00007ffa1fc0646e (__TEXT,__text) non-external -[MREffectSlidingPanels setAttributes:]
00007ffa1fc05841 (__TEXT,__text) non-external -[MREffectSlidingPanels setPixelSize:]
00007ffa1fc0b3f5 (__TEXT,__text) non-external -[MREffectSnapshot _cleanup]
00007ffa1fc0d253 (__TEXT,__text) non-external -[MREffectSnapshot _maxLinesForTextElement:]
00007ffa1fc0d1df (__TEXT,__text) non-external -[MREffectSnapshot _maxSizeForTextElement:]
00007ffa1fc0d091 (__TEXT,__text) non-external -[MREffectSnapshot elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc0d17b (__TEXT,__text) non-external -[MREffectSnapshot getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc0b388 (__TEXT,__text) non-external -[MREffectSnapshot initWithEffectID:]
00007ffa1fc0b483 (__TEXT,__text) non-external -[MREffectSnapshot isLoadedForTime:]
00007ffa1fc0b505 (__TEXT,__text) non-external -[MREffectSnapshot renderAtTime:inContext:withArguments:]
00007ffa1fc0d2ae (__TEXT,__text) non-external -[MREffectSnapshot(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fc0d65c (__TEXT,__text) non-external -[MREffectSnapshotTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc0d68c (__TEXT,__text) non-external -[MREffectSnapshotTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc0d605 (__TEXT,__text) non-external -[MREffectSnapshotTitle init]
00007ffa1fc0d6ef (__TEXT,__text) non-external -[MREffectSnapshotTitle isLoadedForTime:]
00007ffa1fc0d771 (__TEXT,__text) non-external -[MREffectSnapshotTitle renderAtTime:inContext:withArguments:]
00007ffa1fc0da31 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fc0dcfd (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa1fc0dcd8 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa1fc0dd08 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _unload]
00007ffa1fd66f35 (__TEXT,__text) non-external -[MREffectStretchableSlide isNative3D]
00007ffa1fd66f40 (__TEXT,__text) non-external -[MREffectStretchableSlide isOpaque]
00007ffa1fd66f48 (__TEXT,__text) non-external -[MREffectStretchableSlide renderAtTime:inContext:withArguments:]
00007ffa1fd66b85 (__TEXT,__text) non-external -[MREffectStretchableSlide setAttributes:]
00007ffa1fc0e008 (__TEXT,__text) non-external -[MREffectTableTop _cleanup]
00007ffa1fc12e2f (__TEXT,__text) non-external -[MREffectTableTop _maxLinesForTextElement:]
00007ffa1fc12e17 (__TEXT,__text) non-external -[MREffectTableTop _maxSizeForTextElement:]
00007ffa1fc12945 (__TEXT,__text) non-external -[MREffectTableTop elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa1fc12ce9 (__TEXT,__text) non-external -[MREffectTableTop getCurrentCenter:scale:rotation:isMain:forElement:]
00007ffa1fc12c29 (__TEXT,__text) non-external -[MREffectTableTop getVerticesCoordinates:withMatrix:forElement:]
00007ffa1fc0ded8 (__TEXT,__text) non-external -[MREffectTableTop initWithEffectID:]
00007ffa1fc0e1df (__TEXT,__text) non-external -[MREffectTableTop isLoadedForTime:]
00007ffa1fc0e292 (__TEXT,__text) non-external -[MREffectTableTop prerenderForTime:inContext:withArguments:]
00007ffa1fc0ea5c (__TEXT,__text) non-external -[MREffectTableTop renderAtTime:inContext:withArguments:]
00007ffa1fc0e130 (__TEXT,__text) non-external -[MREffectTableTop setPixelSize:]
00007ffa1fc12e3a (__TEXT,__text) non-external -[MREffectTableTop(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa1fc131eb (__TEXT,__text) non-external -[MREffectTableTop(MRLoadable) _unload]
00007ffa1fc1331c (__TEXT,__text) non-external -[MREffectTableTopTitle _cleanup]
00007ffa1fc13495 (__TEXT,__text) non-external -[MREffectTableTopTitle _loadForTime:inContext:withArguments:]
00007ffa1fc13899 (__TEXT,__text) non-external -[MREffectTableTopTitle _maxLinesForTextElement:]
