                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018c1e0854 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018c1c6ba8 (__TEXT,__text) external _vDSP_vswmax
000000018c11c9c8 (__TEXT,__text) external _vDSP_vswmaxD
000000018c1be1c4 (__TEXT,__text) external _vDSP_vswsum
000000018c1c6860 (__TEXT,__text) external _vDSP_vswsumD
000000018c12cb54 (__TEXT,__text) external _vDSP_vtabi
000000018c126008 (__TEXT,__text) external _vDSP_vtabiD
000000018c1b0340 (__TEXT,__text) external _vDSP_vthr
000000018c1a6ff0 (__TEXT,__text) external _vDSP_vthrD
000000018c156140 (__TEXT,__text) external _vDSP_vthres
000000018c14d790 (__TEXT,__text) external _vDSP_vthresD
000000018c1b0558 (__TEXT,__text) external _vDSP_vthrsc
000000018c1236ec (__TEXT,__text) external _vDSP_vthrscD
000000018c14361c (__TEXT,__text) external _vDSP_vtmerg
000000018c14d468 (__TEXT,__text) external _vDSP_vtmergD
000000018c1e25bc (__TEXT,__text) external _vDSP_vtrapz
000000018c1b89dc (__TEXT,__text) external _vDSP_vtrapzD
000000018c1b9c60 (__TEXT,__text) external _vDSP_wiener
000000018c175714 (__TEXT,__text) external _vDSP_wienerD
000000018c1bf20c (__TEXT,__text) external _vDSP_zaspec
000000018c1bed14 (__TEXT,__text) external _vDSP_zaspecD
000000018c1b6638 (__TEXT,__text) external _vDSP_zcoher
000000018c14d890 (__TEXT,__text) external _vDSP_zcoherD
000000018c1227e8 (__TEXT,__text) external _vDSP_zconv
000000018c1711f8 (__TEXT,__text) external _vDSP_zconvD
000000018c1b694c (__TEXT,__text) external _vDSP_zcspec
000000018c127d3c (__TEXT,__text) external _vDSP_zcspecD
000000018c1beef8 (__TEXT,__text) external _vDSP_zdotpr
000000018c1e70a8 (__TEXT,__text) external _vDSP_zdotprD
000000018c16b114 (__TEXT,__text) external _vDSP_zidotpr
000000018c1ac934 (__TEXT,__text) external _vDSP_zidotprD
000000018c1c3828 (__TEXT,__text) external _vDSP_zmma
000000018c1c3cc8 (__TEXT,__text) external _vDSP_zmmaD
000000018c1c4168 (__TEXT,__text) external _vDSP_zmms
000000018c1c4898 (__TEXT,__text) external _vDSP_zmmsD
000000018c1c4d68 (__TEXT,__text) external _vDSP_zmmul
000000018c1c5100 (__TEXT,__text) external _vDSP_zmmulD
000000018c1c5e40 (__TEXT,__text) external _vDSP_zmsm
000000018c1c62e0 (__TEXT,__text) external _vDSP_zmsmD
000000018c1b3e34 (__TEXT,__text) external _vDSP_zrdesamp
000000018c1f1144 (__TEXT,__text) external _vDSP_zrdesampD
000000018c1bf64c (__TEXT,__text) external _vDSP_zrdotpr
000000018c1520ec (__TEXT,__text) external _vDSP_zrdotprD
000000018c1233e8 (__TEXT,__text) external _vDSP_zrvadd
000000018c153fc0 (__TEXT,__text) external _vDSP_zrvaddD
000000018c1e6b28 (__TEXT,__text) external _vDSP_zrvdiv
000000018c1f53d8 (__TEXT,__text) external _vDSP_zrvdivD
000000018c1af9a4 (__TEXT,__text) external _vDSP_zrvmul
000000018c15e32c (__TEXT,__text) external _vDSP_zrvmulD
000000018c16d04c (__TEXT,__text) external _vDSP_zrvsub
000000018c1ca854 (__TEXT,__text) external _vDSP_zrvsubD
000000018c16f150 (__TEXT,__text) external _vDSP_ztoc
000000018c16b3a4 (__TEXT,__text) external _vDSP_ztocD
000000018c1b1438 (__TEXT,__text) external _vDSP_ztrans
000000018c12b8fc (__TEXT,__text) external _vDSP_ztransD
000000018c1742ac (__TEXT,__text) external _vDSP_zvabs
000000018c1cd318 (__TEXT,__text) external _vDSP_zvabsD
000000018c163f40 (__TEXT,__text) external _vDSP_zvadd
000000018c12b728 (__TEXT,__text) external _vDSP_zvaddD
000000018c200d70 (__TEXT,__text) external _vDSP_zvcma
000000018c1b6420 (__TEXT,__text) external _vDSP_zvcmaD
000000018c1bf784 (__TEXT,__text) external _vDSP_zvcmul
000000018c127d34 (__TEXT,__text) external _vDSP_zvcmulD
000000018c151978 (__TEXT,__text) external _vDSP_zvconj
000000018c200aa0 (__TEXT,__text) external _vDSP_zvconjD
000000018c1e7918 (__TEXT,__text) external _vDSP_zvdiv
000000018c1797a8 (__TEXT,__text) external _vDSP_zvdivD
000000018c16b7cc (__TEXT,__text) external _vDSP_zvfill
000000018c16e680 (__TEXT,__text) external _vDSP_zvfillD
000000018c1fb5e0 (__TEXT,__text) external _vDSP_zvma
000000018c16fa68 (__TEXT,__text) external _vDSP_zvmaD
000000018c14fecc (__TEXT,__text) external _vDSP_zvmags
000000018c1b4bc8 (__TEXT,__text) external _vDSP_zvmagsD
000000018c1b12ec (__TEXT,__text) external _vDSP_zvmgsa
000000018c1ae294 (__TEXT,__text) external _vDSP_zvmgsaD
000000018c1fbf1c (__TEXT,__text) external _vDSP_zvmmaa
000000018c13c2bc (__TEXT,__text) external _vDSP_zvmmaaD
000000018c1bfdc4 (__TEXT,__text) external _vDSP_zvmov
000000018c161afc (__TEXT,__text) external _vDSP_zvmovD
000000018c16ba50 (__TEXT,__text) external _vDSP_zvmul
000000018c16bb94 (__TEXT,__text) external _vDSP_zvmulD
000000018c1e7fa0 (__TEXT,__text) external _vDSP_zvneg
000000018c1af184 (__TEXT,__text) external _vDSP_zvnegD
000000018c15087c (__TEXT,__text) external _vDSP_zvphas
000000018c151a04 (__TEXT,__text) external _vDSP_zvphasD
000000018c1b855c (__TEXT,__text) external _vDSP_zvsma
000000018c1c22b4 (__TEXT,__text) external _vDSP_zvsmaD
000000018c15bbec (__TEXT,__text) external _vDSP_zvsub
000000018c1ac648 (__TEXT,__text) external _vDSP_zvsubD
000000018c157a4c (__TEXT,__text) external _vDSP_zvzsml
000000018c1adac8 (__TEXT,__text) external _vDSP_zvzsmlD
                 (undefined) external _vImageConvolve_PlanarF (from vImage)
                 (undefined) external _vvcospi (from libvMisc)
                 (undefined) external _vvcospif (from libvMisc)
                 (undefined) external _vvlog10 (from libvMisc)
                 (undefined) external _vvlog10f (from libvMisc)
