000000018c0236e4 (__TEXT,__text) non-external _Annihilate
000000018c02e168 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018c03d204 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018c03bf78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018c03d274 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018c03a620 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018c03d238 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018c03be68 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018c03d27c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018c03a4c8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018c0370cc (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018c03d178 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018c030060 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018c03d1ac (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018c03d1e8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018c030040 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018c0be310 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018c03a534 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018c0bdb10 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018c03a774 (__TEXT,__text) non-external _lzbitmap_process_block
000000018c03d298 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018c0bf310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018c0bd310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018c0616cc (__TEXT,__text) non-external _lzfseBackendMatch
000000018c013418 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018c01694c (__TEXT,__text) non-external _lzfseDecodeV1
000000018c0613d0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018c06172c (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018c061230 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018c061288 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018c061ae0 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018c061258 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018c061350 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018c0617dc (__TEXT,__text) non-external _lzfsePushMatch
000000018c013144 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018c01306c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018c0370c0 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018c051f84 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018c051eec (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018c051ecc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018c014788 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018c03347c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018c033244 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018c033474 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018c030ff0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018c02dec0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018c034078 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ddca02d8 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018c014470 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018c0442e4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018c0442a4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018c084388 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018c0843a8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018c01438c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018c0315a0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018c03159c (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018c031570 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018c03150c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018c013040 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018c013120 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018c03bdb4 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018c03bdac (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018c03be18 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018c03be10 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018c013008 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018c063af8 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018c0c23c8 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018c012eb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018c012f54 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018c013f4c (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ddc9fad8 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018c03c4f4 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018c03c494 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018c024364 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018c0242c8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018c0242bc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018c028084 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018c027fb0 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018c027f90 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018c014840 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018c01482c (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018c03cf18 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018c03cf60 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018c03cf04 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018c03bd0c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018c03bda8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018c03bda4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018c03bd78 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018c03bd3c (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018c03bcbc (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018c03bce8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018c04399c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018c043990 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018c05c0fc (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018c01df30 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018c01d950 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018c01db28 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018c01dc3c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018c037788 (__TEXT,__text) non-external (was a private external) _parse_size
000000018c0b8774 (__TEXT,__const) non-external _position_slot_base_position
000000018c0b86fc (__TEXT,__const) non-external _position_slot_extra_bits
000000018c01218c (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c05d818 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018c0159f0 (__TEXT,__text) non-external _readHuffmanTable
000000018c0376b8 (__TEXT,__text) non-external (was a private external) _read_expected
000000018c00f8b0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018c0122a0 (__TEXT,__text) non-external _scan_tree
000000018c012398 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat (from libSystem)
000000018c04359c (__TEXT,__text) non-external _staticHuffmanTable
00000001d91ea060 (__DATA,__data) non-external _static_bl_desc
00000001d91ea040 (__DATA,__data) non-external _static_d_desc
000000018c0c0a98 (__TEXT,__const) non-external _static_dtree
00000001d91ea020 (__DATA,__data) non-external _static_l_desc
000000018c0c0618 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d91ea000 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018c023fcc (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018c0241f8 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018c0240fc (__TEXT,__text) non-external _thread_pool_entry
000000018c023e1c (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018c023f24 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
000000018c037720 (__TEXT,__text) non-external (was a private external) _write_expected
000000018c0523e4 (__TEXT,__text) external _yzip_codec_create
000000018c052420 (__TEXT,__text) external _yzip_codec_destroy
000000018c052464 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018c034450 (__TEXT,__text) external _yzip_image_create
000000018c0345d0 (__TEXT,__text) external _yzip_image_create_with_payload
000000018c034948 (__TEXT,__text) external _yzip_image_decode
000000018c03471c (__TEXT,__text) external _yzip_image_destroy
000000018c034720 (__TEXT,__text) external _yzip_image_encode
000000018c034a68 (__TEXT,__text) external _yzip_image_get_descriptor
000000018c034b20 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018c034ad4 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018c034ba0 (__TEXT,__text) external _yzip_image_set_data
000000018c034ce4 (__TEXT,__text) external _yzip_image_set_identifier
000000018c034c5c (__TEXT,__text) external _yzip_image_set_plane_data
000000018c02f4c8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018c02f3b4 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018c02f1ac (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018c02ffbc (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018c02f9a4 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018c02fee0 (__TEXT,__text) non-external _yzip_jobs_process
000000018c02f13c (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018c05d2fc (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018c05c3f8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018c05caec (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018c0175b8 (__TEXT,__text) non-external (was a private external) _zError
00000001d46d6bf8 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018c00fbc8 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018c012dfc (__TEXT,__text) non-external (was a private external) _zcfree
000000018c016b20 (__TEXT,__text) external _zero_coder_decode
000000018c016c28 (__TEXT,__text) external _zero_coder_encode
000000018c016d64 (__TEXT,__text) non-external _zero_coder_init_luts
00000001d91ea500 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001d91ea600 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001d91eae00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001d91ea400 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018c0175b0 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018c014de0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018c015378 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018c0b85ac (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018c0b8570 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018c0175a4 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018c0433c4 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018c0433b8 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018c0245b8 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018c0245ac (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018c03d174 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018c03d148 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018c012e80 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018c043968 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018c043960 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018c043974 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018c043958 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018c00f800 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018c00ffe8 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018c063ad0 (__TEXT,__text) non-external vec_table
