000000020d282b4c (__TEXT,__text) non-external _Done_iODBC
00000002186b2a98 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000002186b1fb0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000002186b1bb8 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000002186b1fd0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000002186b1c80 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000002186b1ca0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002186b1d50 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002186b2050 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002186b2000 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000002186b19b8 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020d29a4b0 (__TEXT,__text) non-external __trace_bufferlen
000000020d299b70 (__TEXT,__text) non-external __trace_c_type
000000020d2967cc (__TEXT,__text) non-external __trace_colattr2_type
000000020d296b84 (__TEXT,__text) non-external __trace_colattr3_data
000000020d29682c (__TEXT,__text) non-external __trace_colattr3_type
000000020d292854 (__TEXT,__text) non-external __trace_connattr_type
000000020d29a80c (__TEXT,__text) non-external __trace_connopt_type
000000020d29ca84 (__TEXT,__text) non-external __trace_connstr
000000020d29cdac (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020d29cce4 (__TEXT,__text) non-external __trace_connstr_w
000000020d29bc84 (__TEXT,__text) non-external __trace_data
000000020d292b50 (__TEXT,__text) non-external __trace_desc_null
000000020d296090 (__TEXT,__text) non-external __trace_descfield_type
000000020d29b8fc (__TEXT,__text) non-external __trace_diag_type
000000020d298470 (__TEXT,__text) non-external __trace_direction
000000020d29cb84 (__TEXT,__text) non-external __trace_drvcn_completion
000000020d29356c (__TEXT,__text) non-external __trace_envattr_type
000000020d293e20 (__TEXT,__text) non-external __trace_fetchtype
000000020d29d380 (__TEXT,__text) non-external __trace_freestmt_option
000000020d297aa4 (__TEXT,__text) non-external __trace_func_name
000000020d2979d8 (__TEXT,__text) non-external __trace_func_result
000000020d2940b4 (__TEXT,__text) non-external __trace_getinfo
000000020d299488 (__TEXT,__text) non-external __trace_handle
000000020d299414 (__TEXT,__text) non-external __trace_handle_p
000000020d2993b4 (__TEXT,__text) non-external __trace_handletype
000000020d299ee8 (__TEXT,__text) non-external __trace_inouttype
000000020d29954c (__TEXT,__text) non-external __trace_integer
000000020d2996ec (__TEXT,__text) non-external __trace_integer_p
000000020d299820 (__TEXT,__text) non-external __trace_len
000000020d299888 (__TEXT,__text) non-external __trace_len_p
000000020d2995bc (__TEXT,__text) non-external __trace_pointer
000000020d2991c0 (__TEXT,__text) non-external __trace_print_function
000000020d293f2c (__TEXT,__text) non-external __trace_scrollopt_type
000000020d293c40 (__TEXT,__text) non-external __trace_setpos_irow
000000020d293cd8 (__TEXT,__text) non-external __trace_setpos_lock
000000020d293c78 (__TEXT,__text) non-external __trace_setpos_oper
000000020d2994dc (__TEXT,__text) non-external __trace_smallint
000000020d299604 (__TEXT,__text) non-external __trace_smallint_p
000000020d29386c (__TEXT,__text) non-external __trace_spcols_null
000000020d29380c (__TEXT,__text) non-external __trace_spcols_scope
000000020d2937a8 (__TEXT,__text) non-external __trace_spcols_type
000000020d29a3cc (__TEXT,__text) non-external __trace_sql_subtype
000000020d299f48 (__TEXT,__text) non-external __trace_sql_type
000000020d29a16c (__TEXT,__text) non-external __trace_sql_type_p
000000020d29d03c (__TEXT,__text) non-external __trace_stats_accuracy
000000020d29cfd8 (__TEXT,__text) non-external __trace_stats_unique
000000020d29abd8 (__TEXT,__text) non-external __trace_stmtattr_type
000000020d29b53c (__TEXT,__text) non-external __trace_stmtopt_type
000000020d299970 (__TEXT,__text) non-external __trace_string
000000020d299a54 (__TEXT,__text) non-external __trace_string_w
000000020d2997d4 (__TEXT,__text) non-external __trace_stringlen
00000002186b2b98 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020d29c374 (__TEXT,__text) non-external __trace_tran_completion
000000020d29c6b8 (__TEXT,__text) non-external __trace_typeinfo
000000020d299584 (__TEXT,__text) non-external __trace_uinteger
000000020d299760 (__TEXT,__text) non-external __trace_uinteger_p
000000020d299854 (__TEXT,__text) non-external __trace_ulen
000000020d2998fc (__TEXT,__text) non-external __trace_ulen_p
000000020d299514 (__TEXT,__text) non-external __trace_usmallint
000000020d299678 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000021bbdbb92 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020d29e334 (__TEXT,__text) non-external _dm_SQL_A2W
000000020d29e870 (__TEXT,__text) non-external _dm_SQL_U8toW
000000020d29e2b8 (__TEXT,__text) non-external _dm_SQL_W2A
000000020d29e5c8 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000020d29e3b0 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000020d29ea8c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000020d29e460 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000020d29e510 (__TEXT,__text) non-external _dm_strcpy_A2W
000000020d29e56c (__TEXT,__text) non-external _dm_strcpy_W2A
000000020d29fff0 (__TEXT,__text) non-external _do_create_dsns
000000021bbdbb50 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000021bbdbb30 (__DATA,__common) non-external _ierror
000000020d2a0144 (__TEXT,__text) non-external _install_from_ini
000000020d2a0610 (__TEXT,__text) non-external _install_from_string
000000021bbdb598 (__DATA,__data) external _iodbc_version
000000021bbdba70 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021bbdbab8 (__DATA,__data) non-external _numerrors
000000021bbdb5a0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000021bbdbac0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020d2a07bc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002186b0e28 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000021bbdbb00 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020d295940 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020d29a740 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000020d2965fc (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020d29836c (__TEXT,__text) non-external _trace_SQLAllocStmt
000000020d29654c (__TEXT,__text) non-external _trace_SQLBindCol
000000020d297230 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020d29a590 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020d29a668 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000020d29370c (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020d29bbd4 (__TEXT,__text) non-external _trace_SQLCancel
000000020d298428 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000020d296ac4 (__TEXT,__text) non-external _trace_SQLColAttribute
000000020d296f84 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020d297044 (__TEXT,__text) non-external _trace_SQLColAttributes
000000020d297110 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020d29b6c4 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020d29b7e0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000020d295a38 (__TEXT,__text) non-external _trace_SQLColumns
000000020d295b54 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020d29afac (__TEXT,__text) non-external _trace_SQLConnect
000000020d29b098 (__TEXT,__text) non-external _trace_SQLConnectW
000000020d293dc8 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020d2984fc (__TEXT,__text) non-external _trace_SQLDataSources
000000020d2985fc (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000020d292be4 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000020d292cf0 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020d29b604 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020d2983e0 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020d29c984 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020d29cbe4 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020d297500 (__TEXT,__text) non-external _trace_SQLDrivers
000000020d297600 (__TEXT,__text) non-external _trace_SQLDriversW
000000020d2958d8 (__TEXT,__text) non-external _trace_SQLEndTran
000000020d29306c (__TEXT,__text) non-external _trace_SQLError
000000020d29316c (__TEXT,__text) non-external _trace_SQLErrorW
000000020d298108 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020d29818c (__TEXT,__text) non-external _trace_SQLExecDirectW
000000020d293760 (__TEXT,__text) non-external _trace_SQLExecute
000000020d293e84 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020d298804 (__TEXT,__text) non-external _trace_SQLFetch
000000020d29a7a4 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020d29b184 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020d29b304 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020d29b4f4 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000020d293bf8 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000020d295884 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000020d29d3d8 (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020d292a08 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000020d292aac (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020d29aa38 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020d29aaa0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000020d296684 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000020d296728 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020d29c268 (__TEXT,__text) non-external _trace_SQLGetData
000000020d2963ec (__TEXT,__text) non-external _trace_SQLGetDescField
000000020d29649c (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000020d292dfc (__TEXT,__text) non-external _trace_SQLGetDescRec
000000020d292f34 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020d29ba60 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020d29bb24 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000020d29337c (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000020d293474 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000020d2935f8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020d298090 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000020d294004 (__TEXT,__text) non-external _trace_SQLGetInfo
000000020d295534 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020d29ae78 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020d29af1c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020d29b59c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020d29c8dc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020d29c930 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020d29c32c (__TEXT,__text) non-external _trace_SQLMoreResults
000000020d295eb8 (__TEXT,__text) non-external _trace_SQLNativeSql
000000020d295fa4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000020d295c70 (__TEXT,__text) non-external _trace_SQLNumParams
000000020d29b484 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020d2971dc (__TEXT,__text) non-external _trace_SQLParamData
000000020d2959b4 (__TEXT,__text) non-external _trace_SQLParamOptions
000000020d29d42c (__TEXT,__text) non-external _trace_SQLPrepare
000000020d29d4b0 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020d297700 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020d2977ec (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000020d2955e4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000020d295700 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020d297328 (__TEXT,__text) non-external _trace_SQLProcedures
000000020d297414 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020d29bc1c (__TEXT,__text) non-external _trace_SQLPutData
000000020d29369c (__TEXT,__text) non-external _trace_SQLRowCount
000000020d29cef0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000020d29cf64 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020d29ab08 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020d29ab70 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020d2986fc (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020d298780 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000020d29326c (__TEXT,__text) non-external _trace_SQLSetDescField
000000020d2932f4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020d2978d8 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020d298210 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000020d293d38 (__TEXT,__text) non-external _trace_SQLSetPos
000000020d293f90 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020d298284 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020d2982f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000020d29581c (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000020d2938d0 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000020d293a64 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000020d29d0a0 (__TEXT,__text) non-external _trace_SQLStatistics
000000020d29d210 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000020d295ce0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000020d295dcc (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020d29c480 (__TEXT,__text) non-external _trace_SQLTables
000000020d29c59c (__TEXT,__text) non-external _trace_SQLTablesW
000000020d29c3d8 (__TEXT,__text) non-external _trace_SQLTransact
000000021bbdbaf0 (__DATA,__bss) non-external _trace_appname
000000020d298dac (__TEXT,__text) non-external _trace_emit
000000020d29902c (__TEXT,__text) non-external _trace_emit_binary
000000020d298e14 (__TEXT,__text) non-external _trace_emit_string
000000020d298df8 (__TEXT,__text) non-external _trace_emitc
000000021bbdbaf8 (__DATA,__bss) non-external _trace_fname
000000021bbdbb10 (__DATA,__bss) non-external _trace_fp
000000021bbdbb18 (__DATA,__bss) non-external _trace_fp_close
000000020d298888 (__TEXT,__text) non-external _trace_get_filename
000000020d29884c (__TEXT,__text) non-external _trace_set_appname
000000020d298894 (__TEXT,__text) non-external _trace_set_filename
000000020d298b54 (__TEXT,__text) non-external _trace_start
000000020d298cf8 (__TEXT,__text) non-external _trace_stop
000000020d298adc (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000020d29ea10 (__TEXT,__text) non-external _utf8_len
000000020d29eb30 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000021bbdbb90 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
