00000001d6597fd0 (__DATA,__data) external _NDR_record
00000001d440c3a0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d440c708 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d440c3e0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d440c4e0 (__DATA_CONST,__const) non-external _err_codes_io
00000001d440d048 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d440cc80 (__DATA_CONST,__const) non-external _err_codes_iokit_common
0000000180429a28 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d440cf10 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
0000000180429a68 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d440ce30 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
0000000180429a38 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d440bf88 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d440cb10 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d440cb80 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d440cb20 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d440c6d8 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d440cac0 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d440ca38 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d440c980 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d440c6a8 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d440c940 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d440c400 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d440c380 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d440c450 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d440c8f8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d440c898 (__DATA_CONST,__const) non-external _err_codes_send
00000001d440c618 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d440c420 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d440c418 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d440c150 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d440c558 (__DATA_CONST,__const) non-external _err_codes_us
00000001d440c740 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d440c830 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d440bda8 (__DATA_CONST,__const) non-external _err_iokit_sub
0000000180429a18 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d440bc40 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d440bd30 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d440bcb8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d440b920 (__DATA_CONST,__const) non-external _err_os_sub
00000001d440b9c0 (__DATA_CONST,__const) non-external _err_server_sub
00000001804299f0 (__TEXT,__const) non-external _err_us_sub
00000001d77079d0 (__DATA_DIRTY,__common) external _errno
0000000180426110 (__TEXT,__text) external _etap_trace_thread
0000000180414c54 (__TEXT,__text) external _exc_server
0000000180414c20 (__TEXT,__text) external _exc_server_routine
000000018041426c (__TEXT,__text) external _exception_raise
00000001804143e8 (__TEXT,__text) external _exception_raise_state
000000018041465c (__TEXT,__text) external _exception_raise_state_identity
0000000180402f60 (__TEXT,__text) external _exchangedata
0000000180408cb8 (__TEXT,__text) external _exclaves_boot
0000000180408bcc (__TEXT,__text) external _exclaves_endpoint_call
0000000180408c60 (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180408c8c (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180408c3c (__TEXT,__text) external _exclaves_named_buffer_create
00000001803ff2a8 (__TEXT,__text) external _execve
00000001d6598070 (__DATA,__bss) non-external _execve_with_filter
0000000180404bf0 (__TEXT,__text) external _faccessat
0000000180404c1c (__TEXT,__text) external _fchdir
00000001803fbf14 (__TEXT,__text) external _fchflags
00000001803fafa0 (__TEXT,__text) external _fchmod
0000000180404c48 (__TEXT,__text) external _fchmodat
00000001803fc358 (__TEXT,__text) external _fchown
0000000180404c74 (__TEXT,__text) external _fchownat
0000000180404ca0 (__TEXT,__text) external _fclonefileat
00000001803f7390 (__TEXT,__text) external _fcntl
00000001803fab6c (__TEXT,__text) external _fcntl$NOCANCEL
0000000180404ccc (__TEXT,__text) external _fdatasync
00000001803fe4e4 (__TEXT,__text) external _ffsctl
00000001803fa22c (__TEXT,__text) external _fgetattrlist
00000001803faee8 (__TEXT,__text) external _fgetxattr
0000000180404cf8 (__TEXT,__text) external _fhopen
00000001803fcbdc (__TEXT,__text) external _fileport_makefd
00000001803fce5c (__TEXT,__text) external _fileport_makeport
0000000180402e74 (__TEXT,__text) external _flistxattr
00000001803fa870 (__TEXT,__text) external _flock
0000000180404d24 (__TEXT,__text) external _fmount
0000000180404d50 (__TEXT,__text) external _fpathconf
0000000180408974 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000180404d7c (__TEXT,__text) external _freadlink
0000000180404da8 (__TEXT,__text) external _fremovexattr
0000000180410518 (__TEXT,__text) external _fs_snapshot_create
0000000180410534 (__TEXT,__text) external _fs_snapshot_delete
00000001803ff198 (__TEXT,__text) external _fs_snapshot_list
00000001804105a4 (__TEXT,__text) external _fs_snapshot_mount
0000000180410550 (__TEXT,__text) external _fs_snapshot_rename
000000018041056c (__TEXT,__text) external _fs_snapshot_revert
0000000180410588 (__TEXT,__text) external _fs_snapshot_root
00000001803fa200 (__TEXT,__text) external _fsctl
00000001803fc32c (__TEXT,__text) external _fsetattrlist
00000001803fbd50 (__TEXT,__text) external _fsetxattr
00000001803fa2ec (__TEXT,__text) external _fsgetpath
0000000180404dd4 (__TEXT,__text) external _fsgetpath_ext
0000000180404e2c (__TEXT,__text) external _fstat
0000000180404e2c (__TEXT,__text) external _fstat64
0000000180404e84 (__TEXT,__text) external _fstatat
0000000180404e84 (__TEXT,__text) external _fstatat64
000000018040252c (__TEXT,__text) external _fstatfs
000000018040252c (__TEXT,__text) external _fstatfs64
00000001803fa39c (__TEXT,__text) external _fsync
0000000180403aa8 (__TEXT,__text) external _fsync$NOCANCEL
00000001803f9ff4 (__TEXT,__text) external _ftruncate
000000018040abec (__TEXT,__text) external _futimens
00000001803fbf40 (__TEXT,__text) external _futimes
00000001d6597fd8 (__DATA,__crash_info) non-external _gCRAnnotations
00000001803f72b0 (__TEXT,__text) external _getattrlist
0000000180404edc (__TEXT,__text) external _getattrlistat
00000001803fa04c (__TEXT,__text) external _getattrlistbulk
00000001804138bc (__TEXT,__text) external _getaudit
00000001803f8c68 (__TEXT,__text) external _getaudit_addr
0000000180404f08 (__TEXT,__text) external _getauid
0000000180404f34 (__TEXT,__text) external _getdirentries
0000000180404f60 (__TEXT,__text) external _getdirentriesattr
00000001803ff638 (__TEXT,__text) external _getdtablesize
00000001803f841c (__TEXT,__text) external _getegid
00000001803f6db0 (__TEXT,__text) external _getentropy
00000001803f7ba4 (__TEXT,__text) external _geteuid
0000000180404f8c (__TEXT,__text) external _getfh
0000000180404fe4 (__TEXT,__text) external _getfsstat
0000000180404fe4 (__TEXT,__text) external _getfsstat64
00000001803faae8 (__TEXT,__text) external _getgid
00000001803fc384 (__TEXT,__text) external _getgroups
00000001803fc118 (__TEXT,__text) external _gethostuuid
00000001803fb0c8 (__TEXT,__text) external _getiopolicy_np
0000000180405010 (__TEXT,__text) external _getitimer
00000001803faf74 (__TEXT,__text) external _getpeername
0000000180400e50 (__TEXT,__text) external _getpgid
00000001803ff27c (__TEXT,__text) external _getpgrp
00000001803f6dec (__TEXT,__text) external _getpid
00000001803fcee0 (__TEXT,__text) external _getppid
00000001803ff0bc (__TEXT,__text) external _getpriority
00000001803f8c34 (__TEXT,__text) external _getrlimit
00000001803fe2a4 (__TEXT,__text) external _getrusage
0000000180403ad4 (__TEXT,__text) external _getsgroups_np
000000018040503c (__TEXT,__text) external _getsid
00000001803fe510 (__TEXT,__text) external _getsockname
00000001803fae90 (__TEXT,__text) external _getsockopt
00000001803f83c4 (__TEXT,__text) external _getuid
0000000180403b00 (__TEXT,__text) external _getwgroups_np
00000001803f9a64 (__TEXT,__text) external _getxattr
0000000180405068 (__TEXT,__text) external _grab_pgo_data
0000000180405094 (__TEXT,__text) external _graftdmg
00000001803fa370 (__TEXT,__text) external _guarded_close_np
00000001804015a8 (__TEXT,__text) external _guarded_kqueue_np
00000001804089ec (__TEXT,__text) external _guarded_open_dprotected_np
00000001803fa0fc (__TEXT,__text) external _guarded_open_np
00000001803fa158 (__TEXT,__text) external _guarded_pwrite_np
00000001803fe674 (__TEXT,__text) external _guarded_write_np
00000001804050c0 (__TEXT,__text) external _guarded_writev_np
000000018042ee94 (__TEXT,__cstring) non-external _hex
0000000180408a3c (__TEXT,__text) external _host_check_multiuser_mode
00000001803f7968 (__TEXT,__text) external _host_create_mach_voucher
00000001803f6930 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180415238 (__TEXT,__text) external _host_default_memory_manager
0000000180416c88 (__TEXT,__text) external _host_get_UNDServer
0000000180408a1c (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180414cdc (__TEXT,__text) external _host_get_boot_info
000000018041592c (__TEXT,__text) external _host_get_clock_control
00000001803fc784 (__TEXT,__text) external _host_get_clock_service
0000000180416120 (__TEXT,__text) external _host_get_exception_ports
0000000180417948 (__TEXT,__text) external _host_get_io_main
00000001803fa3c8 (__TEXT,__text) external _host_get_io_master
0000000180408a34 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001803f75b4 (__TEXT,__text) external _host_get_special_port
00000001803fb7e8 (__TEXT,__text) external _host_info
00000001804172c4 (__TEXT,__text) external _host_kernel_version
0000000180418230 (__TEXT,__text) external _host_lockgroup_info
0000000180408b9c (__TEXT,__text) external _host_page_size
0000000180415014 (__TEXT,__text) external _host_priv_statistics
00000001804177a8 (__TEXT,__text) external _host_processor_info
00000001804169ec (__TEXT,__text) external _host_processor_set_priv
0000000180416868 (__TEXT,__text) external _host_processor_sets
00000001804157a8 (__TEXT,__text) external _host_processors
0000000180414ef4 (__TEXT,__text) external _host_reboot
00000001804188b4 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180418a48 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001803f892c (__TEXT,__text) external _host_request_notification
0000000180416fd8 (__TEXT,__text) external _host_security_create_task_token
000000018041717c (__TEXT,__text) external _host_security_set_task_token
000000018040904c (__TEXT,__text) external _host_self
00000001803f67e0 (__TEXT,__text) external _host_self_trap
0000000180416b64 (__TEXT,__text) external _host_set_UNDServer
0000000180418bd0 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180415fe8 (__TEXT,__text) external _host_set_exception_ports
0000000180418f08 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180415eb4 (__TEXT,__text) external _host_set_special_port
0000000180400f50 (__TEXT,__text) external _host_statistics
00000001804007d4 (__TEXT,__text) external _host_statistics64
00000001804163f4 (__TEXT,__text) external _host_swap_exception_ports
0000000180417c2c (__TEXT,__text) external _host_virtual_physical_table_info
00000001d6597fb0 (__DATA,__data) external _important_boost_assertion_token
00000001db5a7f68 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001804088c4 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001d6597fa0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001804087f4 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001d6597f98 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180408710 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001d6597f90 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001803fad84 (__TEXT,__text) external _ioctl
00000001803f65a4 (__TEXT,__text) external _issetugid
00000001d6598058 (__DATA,__bss) non-external _kAccountingThreshold
00000001804050ec (__TEXT,__text) external _kas_info
00000001803f6440 (__TEXT,__text) external _kdebug_is_enabled
0000000180410738 (__TEXT,__text) external _kdebug_signpost
0000000180400f40 (__TEXT,__text) external _kdebug_signpost_end
0000000180400e8c (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180400e7c (__TEXT,__text) external _kdebug_signpost_start
00000001804106e8 (__TEXT,__text) external _kdebug_timestamp
0000000180410700 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018041071c (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001803f6524 (__TEXT,__text) external _kdebug_trace
00000001803f93ec (__TEXT,__text) external _kdebug_trace_string
00000001803f64a0 (__TEXT,__text) external _kdebug_typefilter
00000001d7708050 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804106d4 (__TEXT,__text) external _kdebug_using_continuous_time
00000001803fc9f8 (__TEXT,__text) external _kevent
0000000180402800 (__TEXT,__text) external _kevent64
00000001803f85e0 (__TEXT,__text) external _kevent_id
00000001803f85b4 (__TEXT,__text) external _kevent_qos
0000000180416de8 (__TEXT,__text) external _kext_request
00000001803feb28 (__TEXT,__text) external _kill
0000000180415d0c (__TEXT,__text) external _kmod_control
0000000180415a9c (__TEXT,__text) external _kmod_create
0000000180415bec (__TEXT,__text) external _kmod_destroy
0000000180417aa8 (__TEXT,__text) external _kmod_get_info
00000001804139a8 (__TEXT,__text) external _kpersona_alloc
0000000180413a28 (__TEXT,__text) external _kpersona_dealloc
0000000180413af4 (__TEXT,__text) external _kpersona_find
0000000180413bd4 (__TEXT,__text) external _kpersona_find_by_type
00000001803faaa8 (__TEXT,__text) external _kpersona_get
0000000180413a6c (__TEXT,__text) external _kpersona_getpath
00000001803fa7a8 (__TEXT,__text) external _kpersona_info
00000001804139e8 (__TEXT,__text) external _kpersona_palloc
0000000180413ab0 (__TEXT,__text) external _kpersona_pidinfo
00000001803fc9cc (__TEXT,__text) external _kqueue
00000001803fc3b0 (__TEXT,__text) external _lchown
0000000180405118 (__TEXT,__text) external _ledger
00000001803fb18c (__TEXT,__text) external _link
0000000180405144 (__TEXT,__text) external _linkat
0000000180405170 (__TEXT,__text) external _lio_listio
00000001803ff1cc (__TEXT,__text) external _listen
00000001803fa078 (__TEXT,__text) external _listxattr
0000000180420e54 (__TEXT,__text) external _lock_set_create
0000000180420fc0 (__TEXT,__text) external _lock_set_destroy
000000018040b190 (__TEXT,__text) external _log_data_as_kernel
00000001803f8190 (__TEXT,__text) external _lseek
000000018040240c (__TEXT,__text) external _lstat
000000018040240c (__TEXT,__text) external _lstat64
00000001803f6d14 (__TEXT,__text) external _mach_absolute_time
00000001803f6d98 (__TEXT,__text) external _mach_absolute_time_kernel
00000001803f7ff0 (__TEXT,__text) external _mach_approximate_time
000000018040a8c8 (__TEXT,__text) external _mach_boottime_usec
00000001803fdf40 (__TEXT,__text) external _mach_continuous_approximate_time
00000001803f6c9c (__TEXT,__text) external _mach_continuous_time
00000001803f6da4 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180408b14 (__TEXT,__text) external _mach_error
00000001d6598028 (__DATA,__common) external _mach_error_full_diag
00000001803fd044 (__TEXT,__text) external _mach_error_string
00000001803fd068 (__TEXT,__text) non-external _mach_error_string_int
0000000180408a44 (__TEXT,__text) external _mach_error_type
00000001804284f0 (__TEXT,__text) external _mach_eventlink_associate
0000000180428230 (__TEXT,__text) external _mach_eventlink_create
00000001804283d0 (__TEXT,__text) external _mach_eventlink_destroy
0000000180428638 (__TEXT,__text) external _mach_eventlink_disassociate
000000018040ab50 (__TEXT,__text) external _mach_eventlink_signal
000000018040abac (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000018040ab6c (__TEXT,__text) external _mach_eventlink_wait_until
00000001803f687c (__TEXT,__text) external _mach_generate_activity_id
00000001803f8844 (__TEXT,__text) external _mach_get_times
00000001803f75b0 (__TEXT,__text) external _mach_host_self
0000000180406ff8 (__TEXT,__text) external _mach_host_special_port_description
00000001d440b790 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180407058 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d6597e18 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001803fc628 (__TEXT,__text) external _mach_init
00000001d7708038 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001803fc660 (__TEXT,__text) non-external _mach_init_doit
000000018041d43c (__TEXT,__text) external _mach_make_memory_entry
00000001803f7e24 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180427f78 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804280f8 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180427e1c (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180418cf0 (__TEXT,__text) external _mach_memory_info
0000000180417618 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001804180a0 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001803f6c20 (__TEXT,__text) external _mach_msg
0000000180408ce0 (__TEXT,__text) external _mach_msg2_internal
00000001803f68ac (__TEXT,__text) external _mach_msg2_trap
00000001803f7720 (__TEXT,__text) external _mach_msg_destroy
00000001803f785c (__TEXT,__text) non-external _mach_msg_destroy_port
00000001803ff314 (__TEXT,__text) external _mach_msg_overwrite
00000001803f67f8 (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180408e2c (__TEXT,__text) external _mach_msg_priority_encode
0000000180408e1c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180408e60 (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180408e70 (__TEXT,__text) external _mach_msg_priority_qos
0000000180408e80 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180402ea0 (__TEXT,__text) external _mach_msg_receive
00000001803fb150 (__TEXT,__text) external _mach_msg_send
00000001803fe7c0 (__TEXT,__text) external _mach_msg_server
00000001803ff5d0 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180408e18 (__TEXT,__text) external _mach_msg_server_importance
0000000180401b8c (__TEXT,__text) external _mach_msg_server_once
00000001803f67ec (__TEXT,__text) external _mach_msg_trap
000000018041e2dc (__TEXT,__text) external _mach_notify_dead_name
000000018041e218 (__TEXT,__text) external _mach_notify_no_senders
000000018041e13c (__TEXT,__text) external _mach_notify_port_deleted
000000018041e1a4 (__TEXT,__text) external _mach_notify_port_destroyed
000000018041e280 (__TEXT,__text) external _mach_notify_send_once
00000001803f8a60 (__TEXT,__text) external _mach_port_allocate
000000018041341c (__TEXT,__text) external _mach_port_allocate_full
0000000180413408 (__TEXT,__text) external _mach_port_allocate_name
0000000180413418 (__TEXT,__text) external _mach_port_allocate_qos
000000018041368c (__TEXT,__text) external _mach_port_assert_attributes
00000001803f79f8 (__TEXT,__text) external _mach_port_construct
00000001803f7bd0 (__TEXT,__text) external _mach_port_deallocate
00000001803fc114 (__TEXT,__text) external _mach_port_destroy
00000001803f8224 (__TEXT,__text) external _mach_port_destruct
00000001804135bc (__TEXT,__text) external _mach_port_dnrequest_info
00000001803f9f00 (__TEXT,__text) external _mach_port_extract_member
0000000180400b98 (__TEXT,__text) external _mach_port_extract_right
00000001803f91f0 (__TEXT,__text) external _mach_port_get_attributes
00000001803fbd7c (__TEXT,__text) external _mach_port_get_context
00000001803f9d48 (__TEXT,__text) external _mach_port_get_refs
0000000180413688 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180402a74 (__TEXT,__text) external _mach_port_get_set_status
0000000180413424 (__TEXT,__text) external _mach_port_get_srights
00000001803f9758 (__TEXT,__text) external _mach_port_guard
000000018041367c (__TEXT,__text) external _mach_port_guard_with_flags
00000001803f8ad0 (__TEXT,__text) external _mach_port_insert_member
00000001803f8cfc (__TEXT,__text) external _mach_port_insert_right
0000000180413684 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804135c0 (__TEXT,__text) external _mach_port_kernel_object
0000000180413604 (__TEXT,__text) external _mach_port_kobject
0000000180413608 (__TEXT,__text) external _mach_port_kobject_description
00000001803f6fac (__TEXT,__text) external _mach_port_mod_refs
00000001803fba0c (__TEXT,__text) external _mach_port_move_member
0000000180413400 (__TEXT,__text) external _mach_port_names
000000018041340c (__TEXT,__text) external _mach_port_peek
0000000180413404 (__TEXT,__text) external _mach_port_rename
00000001803f8690 (__TEXT,__text) external _mach_port_request_notification
00000001803f927c (__TEXT,__text) external _mach_port_set_attributes
0000000180402950 (__TEXT,__text) external _mach_port_set_context
0000000180413410 (__TEXT,__text) external _mach_port_set_mscount
0000000180413414 (__TEXT,__text) external _mach_port_set_seqno
000000018041342c (__TEXT,__text) external _mach_port_space_basic_info
0000000180413428 (__TEXT,__text) external _mach_port_space_info
0000000180413680 (__TEXT,__text) external _mach_port_swap_guard
00000001803f94c0 (__TEXT,__text) external _mach_port_type
000000018041360c (__TEXT,__text) external _mach_port_unguard
0000000180402558 (__TEXT,__text) external _mach_ports_lookup
00000001803fe2d0 (__TEXT,__text) external _mach_ports_register
00000001803f67bc (__TEXT,__text) external _mach_reply_port
0000000180409354 (__TEXT,__text) external _mach_right_recv_construct
0000000180409418 (__TEXT,__text) external _mach_right_recv_destruct
00000001804094b0 (__TEXT,__text) external _mach_right_send_create
00000001804095f8 (__TEXT,__text) external _mach_right_send_once_consume
000000018040958c (__TEXT,__text) external _mach_right_send_once_create
00000001803fb1b8 (__TEXT,__text) external _mach_right_send_release
0000000180409518 (__TEXT,__text) external _mach_right_send_retain
000000018041349c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000180413548 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018040a8d8 (__TEXT,__text) external _mach_task_is_self
0000000180409350 (__TEXT,__text) external _mach_task_self
00000001d7708020 (__DATA_DIRTY,__common) external _mach_task_self_
0000000180407018 (__TEXT,__text) external _mach_task_special_port_description
00000001d440b8a0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018040711c (__TEXT,__text) external _mach_task_special_port_for_id
00000001d6597f10 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001803fc754 (__TEXT,__text) external _mach_thread_self
0000000180407038 (__TEXT,__text) external _mach_thread_special_port_description
00000001d440b900 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018040712c (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d6597f70 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001803f6c44 (__TEXT,__text) external _mach_timebase_info
00000001d7708044 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001803f696c (__TEXT,__text) external _mach_timebase_info_trap
00000001803f8b80 (__TEXT,__text) external _mach_vm_allocate
000000018041cebc (__TEXT,__text) external _mach_vm_behavior_set
00000001803fe6a0 (__TEXT,__text) external _mach_vm_copy
00000001803f8320 (__TEXT,__text) external _mach_vm_deallocate
000000018041dc28 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
000000018041dd48 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
000000018041de68 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
000000018041c824 (__TEXT,__text) external _mach_vm_inherit
000000018041cfe0 (__TEXT,__text) external _mach_vm_machine_attribute
00000001803f65d0 (__TEXT,__text) external _mach_vm_map
000000018041cd98 (__TEXT,__text) external _mach_vm_msync
000000018041d734 (__TEXT,__text) external _mach_vm_page_info
000000018041d2d4 (__TEXT,__text) external _mach_vm_page_query
000000018041d920 (__TEXT,__text) external _mach_vm_page_range_query
00000001803fa5e4 (__TEXT,__text) external _mach_vm_protect
00000001803fa188 (__TEXT,__text) external _mach_vm_purgable_control
000000018041df88 (__TEXT,__text) external _mach_vm_range_create
00000001804137c0 (__TEXT,__text) external _mach_vm_read
000000018041cad4 (__TEXT,__text) external _mach_vm_read_list
0000000180401a38 (__TEXT,__text) external _mach_vm_read_overwrite
00000001804099dc (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180409774 (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001804098b8 (__TEXT,__text) external _mach_vm_reclaim_mark_used
00000001804096a8 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001804099fc (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001804099c8 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001803fb2c8 (__TEXT,__text) external _mach_vm_region
00000001804017c4 (__TEXT,__text) external _mach_vm_region_recurse
0000000180413690 (__TEXT,__text) external _mach_vm_remap
0000000180413728 (__TEXT,__text) external _mach_vm_remap_new
0000000180416730 (__TEXT,__text) external _mach_vm_wire
000000018041cc5c (__TEXT,__text) external _mach_vm_write
00000001803fb52c (__TEXT,__text) external _mach_voucher_attr_command
00000001803f81e8 (__TEXT,__text) external _mach_voucher_deallocate
0000000180428c0c (__TEXT,__text) external _mach_voucher_debug_info
00000001804289b4 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180401358 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001803f9178 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001803f693c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001803f6978 (__TEXT,__text) external _mach_wait_until
0000000180418594 (__TEXT,__text) external _mach_zone_force_gc
00000001804194e0 (__TEXT,__text) external _mach_zone_get_btlog_records
000000018041934c (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001804183c4 (__TEXT,__text) external _mach_zone_info
000000018041919c (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180419028 (__TEXT,__text) external _mach_zone_info_for_zone
00000001803f68f4 (__TEXT,__text) external _macx_backing_store_recovery
00000001803f68e8 (__TEXT,__text) external _macx_backing_store_suspend
00000001803f68c4 (__TEXT,__text) external _macx_swapoff
00000001803f68b8 (__TEXT,__text) external _macx_swapon
00000001803f68dc (__TEXT,__text) external _macx_triggers
00000001803f9530 (__TEXT,__text) external _madvise
00000001803fd32c (__TEXT,__text) non-external (was a private external) _malloc
00000001d6598050 (__DATA,__bss) non-external _master_host_port
00000001803f6b7c (__TEXT,__text) non-external _memcpy
0000000180405ffc (__TEXT,__text) non-external _memmove
00000001803ff84c (__TEXT,__text) external _memorystatus_control
00000001804051c8 (__TEXT,__text) external _memorystatus_get_level
0000000180408e98 (__TEXT,__text) external _mig_allocate
00000001803f9aec (__TEXT,__text) external _mig_dealloc_reply_port
0000000180413430 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001803fc460 (__TEXT,__text) external _mig_deallocate
00000001803f6b8c (__TEXT,__text) external _mig_get_reply_port
00000001803f800c (__TEXT,__text) external _mig_get_special_reply_port
00000001803fbc80 (__TEXT,__text) external _mig_put_reply_port
00000001803fb294 (__TEXT,__text) external _mig_reply_setup
00000001803fbc84 (__TEXT,__text) external _mig_strncpy
00000001803f8048 (__TEXT,__text) external _mig_strncpy_zerofill
00000001804051f4 (__TEXT,__text) external _mincore
0000000180405220 (__TEXT,__text) external _minherit
00000001803f699c (__TEXT,__text) external _mk_timer_arm
00000001803f69b4 (__TEXT,__text) external _mk_timer_arm_leeway
00000001803f69a8 (__TEXT,__text) external _mk_timer_cancel
00000001803f6984 (__TEXT,__text) external _mk_timer_create
00000001803f6990 (__TEXT,__text) external _mk_timer_destroy
00000001803f82f4 (__TEXT,__text) external _mkdir
00000001803fa344 (__TEXT,__text) external _mkdirat
000000018040524c (__TEXT,__text) external _mkfifo
0000000180405278 (__TEXT,__text) external _mkfifoat
00000001804052a4 (__TEXT,__text) external _mknod
00000001804052d0 (__TEXT,__text) external _mknodat
0000000180400748 (__TEXT,__text) external _mlock
00000001804052fc (__TEXT,__text) external _mlockall
00000001803f74c4 (__TEXT,__text) external _mmap
0000000180402edc (__TEXT,__text) external _mount
