00000001e9c429a0 (__DATA,__data) external _NDR_record
00000001804c8510 (__TEXT,__text) external _coalition_info_debug_info
00000001804c85bc (__TEXT,__text) external _coalition_info_pid_list
00000001804c84d8 (__TEXT,__text) external _coalition_info_resource_usage
00000001804c8580 (__TEXT,__text) external _coalition_info_set_efficiency
00000001804c8548 (__TEXT,__text) external _coalition_info_set_name
00000001804c85f0 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001804bbfc0 (__TEXT,__text) external _coalition_policy_get
00000001804bbfec (__TEXT,__text) external _coalition_policy_set
00000001804c84a8 (__TEXT,__text) external _coalition_reap
00000001804c8478 (__TEXT,__text) external _coalition_terminate
00000001e9c429b8 (__DATA,__bss) non-external _commpage_pfz_base
00000001804b235c (__TEXT,__text) external _connect
00000001804b21c4 (__TEXT,__text) external _connect$NOCANCEL
00000001804b23e0 (__TEXT,__text) external _connectx
00000001804af8d4 (__TEXT,__text) external _csops
00000001804ae5c8 (__TEXT,__text) external _csops_audittoken
00000001804ae6b8 (__TEXT,__text) external _csr_check
00000001804b6a54 (__TEXT,__text) external _csr_get_active_config
00000001804add4c (__TEXT,__text) external _debug_control_port_for_pid
00000001804c87e4 (__TEXT,__text) external _debug_syscall_reject
00000001804c86d0 (__TEXT,__text) external _debug_syscall_reject_config
00000001e9c42998 (__DATA,__data) external _denap_boost_assertion_token
00000001804bc018 (__TEXT,__text) external _disconnectx
00000001804b4774 (__TEXT,__text) non-external _do_compat
00000001804b2490 (__TEXT,__text) external _dup
00000001804b67b4 (__TEXT,__text) external _dup2
00000001e599b3b0 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e599b240 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e599b5a8 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e599b280 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e599b380 (__DATA_CONST,__const) non-external _err_codes_io
00000001e599c360 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e599bf98 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001804e2bf0 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e599c228 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001804e2c30 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e599c148 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001804e2c00 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e599ad80 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e599bdb0 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e599be20 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e599bdc0 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e599b578 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e599bc58 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e599bbd0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e599bb18 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e599b548 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e599ba60 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e599b2a0 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e599b220 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e599b2f0 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e599ba18 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e599b9b8 (__DATA_CONST,__const) non-external _err_codes_send
00000001e599b4b8 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e599b2c0 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e599b2b8 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e599af50 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e599b3f8 (__DATA_CONST,__const) non-external _err_codes_us
00000001e599b5e0 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e599bd20 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e599b6d0 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e599c388 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001804e2be0 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e599baa0 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e599bf20 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e599bca8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e599b180 (__DATA_CONST,__const) non-external _err_os_sub
00000001e599b738 (__DATA_CONST,__const) non-external _err_server_sub
00000001804e2bb8 (__TEXT,__const) non-external _err_us_sub
00000001e599bd60 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ec706420 (__DATA_DIRTY,__common) external _errno
00000001804decd4 (__TEXT,__text) external _etap_trace_thread
00000001804c9a5c (__TEXT,__text) non-external _eth_rule_iterate
00000001804ccfe4 (__TEXT,__text) external _exc_server
00000001804ccfb0 (__TEXT,__text) external _exc_server_routine
00000001804cc60c (__TEXT,__text) external _exception_raise
00000001804cc788 (__TEXT,__text) external _exception_raise_state
00000001804cc9f8 (__TEXT,__text) external _exception_raise_state_identity
00000001804ba2f8 (__TEXT,__text) external _exchangedata
00000001804c03f0 (__TEXT,__text) external _exclaves_aoe_enumerate_and_setup_services
00000001804c0424 (__TEXT,__text) external _exclaves_aoe_get_all_service_infos
00000001804c048c (__TEXT,__text) external _exclaves_aoe_message_loop
00000001804c04f4 (__TEXT,__text) external _exclaves_aoe_message_loop_with_service_id
00000001804c03bc (__TEXT,__text) external _exclaves_aoe_setup
00000001804c0458 (__TEXT,__text) external _exclaves_aoe_work_loop
00000001804c04c0 (__TEXT,__text) external _exclaves_aoe_work_loop_with_service_id
00000001804bff28 (__TEXT,__text) external _exclaves_arbitrated_buffer_copyout
00000001804bfef8 (__TEXT,__text) external _exclaves_arbitrated_buffer_create
00000001804bfe88 (__TEXT,__text) external _exclaves_audio_buffer_copyout
00000001804bfec0 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
00000001804bfe58 (__TEXT,__text) external _exclaves_audio_buffer_create
00000001804bfe24 (__TEXT,__text) external _exclaves_boot
00000001804c0290 (__TEXT,__text) external _exclaves_daemon_notification_deregister
00000001804c0164 (__TEXT,__text) external _exclaves_daemon_notification_register
00000001804bfbe0 (__TEXT,__text) external _exclaves_endpoint_call
00000001804bfcf4 (__TEXT,__text) external _exclaves_inbound_buffer_copyin
00000001804bfcc4 (__TEXT,__text) external _exclaves_inbound_buffer_create
00000001804c0030 (__TEXT,__text) external _exclaves_indicator_min_on_time
00000001804bfd44 (__TEXT,__text) external _exclaves_launch_conclave
00000001804bfd8c (__TEXT,__text) external _exclaves_lookup_service
00000001804bfd34 (__TEXT,__text) external _exclaves_named_buffer_copyin
00000001804bfd3c (__TEXT,__text) external _exclaves_named_buffer_copyout
00000001804bfd2c (__TEXT,__text) external _exclaves_named_buffer_create
00000001804c00c8 (__TEXT,__text) external _exclaves_notification_create
00000001804bfc8c (__TEXT,__text) external _exclaves_outbound_buffer_copyout
00000001804bfc5c (__TEXT,__text) external _exclaves_outbound_buffer_create
00000001804bff60 (__TEXT,__text) external _exclaves_sensor_create
00000001804bff94 (__TEXT,__text) external _exclaves_sensor_start
00000001804bfffc (__TEXT,__text) external _exclaves_sensor_status
00000001804bffc8 (__TEXT,__text) external _exclaves_sensor_stop
00000001804b6774 (__TEXT,__text) external _execve
00000001e9c429d0 (__DATA,__bss) non-external _execve_with_filter
00000001804bc044 (__TEXT,__text) external _faccessat
00000001804bc070 (__TEXT,__text) external _fchdir
00000001804b3458 (__TEXT,__text) external _fchflags
00000001804b251c (__TEXT,__text) external _fchmod
00000001804bc09c (__TEXT,__text) external _fchmodat
00000001804b389c (__TEXT,__text) external _fchown
00000001804bc0c8 (__TEXT,__text) external _fchownat
00000001804bc0f4 (__TEXT,__text) external _fclonefileat
00000001804ae714 (__TEXT,__text) external _fcntl
00000001804b1fc4 (__TEXT,__text) external _fcntl$NOCANCEL
00000001804bc120 (__TEXT,__text) external _fdatasync
00000001804b59c8 (__TEXT,__text) external _ffsctl
00000001804b168c (__TEXT,__text) external _fgetattrlist
00000001804b2464 (__TEXT,__text) external _fgetxattr
00000001804bc14c (__TEXT,__text) external _fhopen
00000001804b41a0 (__TEXT,__text) external _fileport_makefd
00000001804b4418 (__TEXT,__text) external _fileport_makeport
00000001804ba20c (__TEXT,__text) external _flistxattr
00000001804b1cd0 (__TEXT,__text) external _flock
00000001804bc178 (__TEXT,__text) external _fmount
00000001804bc1a4 (__TEXT,__text) external _fpathconf
00000001804bf994 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001804bc1d0 (__TEXT,__text) external _freadlink
00000001804bc1fc (__TEXT,__text) external _fremovexattr
00000001804c862c (__TEXT,__text) external _fs_snapshot_create
00000001804c8648 (__TEXT,__text) external _fs_snapshot_delete
00000001804b6664 (__TEXT,__text) external _fs_snapshot_list
00000001804c86b8 (__TEXT,__text) external _fs_snapshot_mount
00000001804c8664 (__TEXT,__text) external _fs_snapshot_rename
00000001804c8680 (__TEXT,__text) external _fs_snapshot_revert
00000001804c869c (__TEXT,__text) external _fs_snapshot_root
00000001804b1660 (__TEXT,__text) external _fsctl
00000001804b3870 (__TEXT,__text) external _fsetattrlist
00000001804b3298 (__TEXT,__text) external _fsetxattr
00000001804b174c (__TEXT,__text) external _fsgetpath
00000001804bc228 (__TEXT,__text) external _fsgetpath_ext
00000001804bc280 (__TEXT,__text) external _fstat
00000001804bc280 (__TEXT,__text) external _fstat64
00000001804bc2d8 (__TEXT,__text) external _fstatat
00000001804bc2d8 (__TEXT,__text) external _fstatat64
00000001804b9978 (__TEXT,__text) external _fstatfs
00000001804b9978 (__TEXT,__text) external _fstatfs64
00000001804c33fc (__TEXT,__text) external _fstatfs_ext
00000001804b17fc (__TEXT,__text) external _fsync
00000001804bae4c (__TEXT,__text) external _fsync$NOCANCEL
00000001804b1454 (__TEXT,__text) external _ftruncate
00000001804bc330 (__TEXT,__text) external _funmount
00000001804c2e30 (__TEXT,__text) external _futimens
00000001804b3484 (__TEXT,__text) external _futimes
00000001e9c426a0 (__DATA,__crash_info) non-external _gCRAnnotations
00000001804ae634 (__TEXT,__text) external _getattrlist
00000001804bc35c (__TEXT,__text) external _getattrlistat
00000001804b14ac (__TEXT,__text) external _getattrlistbulk
00000001804cbc6c (__TEXT,__text) external _getaudit
00000001804b00ec (__TEXT,__text) external _getaudit_addr
00000001804bc388 (__TEXT,__text) external _getauid
00000001804bc3b4 (__TEXT,__text) external _getdirentries
00000001804bc3e0 (__TEXT,__text) external _getdirentriesattr
00000001804b6b04 (__TEXT,__text) external _getdtablesize
00000001804af8a8 (__TEXT,__text) external _getegid
00000001804ae13c (__TEXT,__text) external _getentropy
00000001804af048 (__TEXT,__text) external _geteuid
00000001804bc40c (__TEXT,__text) external _getfh
00000001804bc464 (__TEXT,__text) external _getfsstat
00000001804bc464 (__TEXT,__text) external _getfsstat64
00000001804b1f40 (__TEXT,__text) external _getgid
00000001804b38c8 (__TEXT,__text) external _getgroups
00000001804b3658 (__TEXT,__text) external _gethostuuid
00000001804b2644 (__TEXT,__text) external _getiopolicy_np
00000001804bc490 (__TEXT,__text) external _getitimer
00000001804b24f0 (__TEXT,__text) external _getpeername
00000001804b82cc (__TEXT,__text) external _getpgid
00000001804b6748 (__TEXT,__text) external _getpgrp
00000001804ae178 (__TEXT,__text) external _getpid
00000001804b449c (__TEXT,__text) external _getppid
00000001804b6588 (__TEXT,__text) external _getpriority
00000001804b00b8 (__TEXT,__text) external _getrlimit
00000001804b57fc (__TEXT,__text) external _getrusage
00000001804bae78 (__TEXT,__text) external _getsgroups_np
00000001804bc4bc (__TEXT,__text) external _getsid
00000001804b59f4 (__TEXT,__text) external _getsockname
00000001804b240c (__TEXT,__text) external _getsockopt
00000001804af850 (__TEXT,__text) external _getuid
00000001804baea4 (__TEXT,__text) external _getwgroups_np
00000001804b0ed0 (__TEXT,__text) external _getxattr
00000001804bc4e8 (__TEXT,__text) external _grab_pgo_data
00000001804bc514 (__TEXT,__text) external _graftdmg
00000001804b17d0 (__TEXT,__text) external _guarded_close_np
00000001804b8a14 (__TEXT,__text) external _guarded_kqueue_np
00000001804bfa0c (__TEXT,__text) external _guarded_open_dprotected_np
00000001804b155c (__TEXT,__text) external _guarded_open_np
00000001804b15b8 (__TEXT,__text) external _guarded_pwrite_np
00000001804b5b58 (__TEXT,__text) external _guarded_write_np
00000001804bc540 (__TEXT,__text) external _guarded_writev_np
00000001804e8260 (__TEXT,__cstring) non-external _hex
00000001804bfa5c (__TEXT,__text) external _host_check_multiuser_mode
00000001804aee14 (__TEXT,__text) external _host_create_mach_voucher
00000001804adcbc (__TEXT,__text) external _host_create_mach_voucher_trap
00000001804cd5bc (__TEXT,__text) external _host_default_memory_manager
00000001804cef84 (__TEXT,__text) external _host_get_UNDServer
00000001804bfa3c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001804cd070 (__TEXT,__text) external _host_get_boot_info
00000001804cdc8c (__TEXT,__text) external _host_get_clock_control
00000001804b3d50 (__TEXT,__text) external _host_get_clock_service
00000001804ce45c (__TEXT,__text) external _host_get_exception_ports
00000001804cfc10 (__TEXT,__text) external _host_get_io_main
00000001804b1828 (__TEXT,__text) external _host_get_io_master
00000001804bfa54 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001804aea5c (__TEXT,__text) external _host_get_special_port
00000001804b2d40 (__TEXT,__text) external _host_info
00000001804cf5a4 (__TEXT,__text) external _host_kernel_version
00000001804d04dc (__TEXT,__text) external _host_lockgroup_info
00000001804bfbb0 (__TEXT,__text) external _host_page_size
00000001804cd39c (__TEXT,__text) external _host_priv_statistics
00000001804cfa74 (__TEXT,__text) external _host_processor_info
00000001804cecf8 (__TEXT,__text) external _host_processor_set_priv
00000001804ceb78 (__TEXT,__text) external _host_processor_sets
00000001804cdb0c (__TEXT,__text) external _host_processors
00000001804cd280 (__TEXT,__text) external _host_reboot
00000001804d0b44 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001804d0cd0 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001804afdb8 (__TEXT,__text) external _host_request_notification
00000001804cf2c8 (__TEXT,__text) external _host_security_create_task_token
00000001804cf464 (__TEXT,__text) external _host_security_set_task_token
00000001804c080c (__TEXT,__text) external _host_self
00000001804adb60 (__TEXT,__text) external _host_self_trap
00000001804cee68 (__TEXT,__text) external _host_set_UNDServer
00000001804d0e50 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001804ce32c (__TEXT,__text) external _host_set_exception_ports
00000001804d1180 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001804ce200 (__TEXT,__text) external _host_set_special_port
00000001804b83c4 (__TEXT,__text) external _host_statistics
00000001804b7c58 (__TEXT,__text) external _host_statistics64
00000001804ce720 (__TEXT,__text) external _host_swap_exception_ports
00000001804cfeec (__TEXT,__text) external _host_virtual_physical_table_info
00000001e9c42980 (__DATA,__data) external _important_boost_assertion_token
00000001804c9b0c (__TEXT,__text) non-external _inet_rule_iterate
00000001edd85028 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001804bf8e4 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001e9c42970 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001804bf814 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001e9c42968 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001804bf730 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001e9c42960 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001804b2300 (__TEXT,__text) external _ioctl
00000001804ad924 (__TEXT,__text) external _issetugid
00000001804bc56c (__TEXT,__text) external _kas_info
00000001804ad7c0 (__TEXT,__text) external _kdebug_is_enabled
00000001804c8850 (__TEXT,__text) external _kdebug_signpost
00000001804b83b8 (__TEXT,__text) external _kdebug_signpost_end
00000001804b8304 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001804b82f8 (__TEXT,__text) external _kdebug_signpost_start
00000001804c8800 (__TEXT,__text) external _kdebug_timestamp
00000001804c8818 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804c8834 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804ad8a4 (__TEXT,__text) external _kdebug_trace
00000001804b0864 (__TEXT,__text) external _kdebug_trace_string
00000001804ad820 (__TEXT,__text) external _kdebug_typefilter
00000001ec705d98 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804c87ec (__TEXT,__text) external _kdebug_using_continuous_time
00000001804b3fbc (__TEXT,__text) external _kevent
00000001804b9ba0 (__TEXT,__text) external _kevent64
00000001804afa6c (__TEXT,__text) external _kevent_id
00000001804afa40 (__TEXT,__text) external _kevent_qos
00000001804cf0e0 (__TEXT,__text) external _kext_request
00000001804b5ff8 (__TEXT,__text) external _kill
00000001804ce060 (__TEXT,__text) external _kmod_control
00000001804cddf8 (__TEXT,__text) external _kmod_create
00000001804cdf44 (__TEXT,__text) external _kmod_destroy
00000001804cfd6c (__TEXT,__text) external _kmod_get_info
00000001804cbd58 (__TEXT,__text) external _kpersona_alloc
00000001804cbdd8 (__TEXT,__text) external _kpersona_dealloc
00000001804cbea4 (__TEXT,__text) external _kpersona_find
00000001804cbf88 (__TEXT,__text) external _kpersona_find_by_type
00000001804b1f00 (__TEXT,__text) external _kpersona_get
00000001804cbe1c (__TEXT,__text) external _kpersona_getpath
00000001804b1c08 (__TEXT,__text) external _kpersona_info
00000001804cbd98 (__TEXT,__text) external _kpersona_palloc
00000001804cbe60 (__TEXT,__text) external _kpersona_pidinfo
00000001804b3f90 (__TEXT,__text) external _kqueue
00000001804b38f4 (__TEXT,__text) external _lchown
00000001804bc598 (__TEXT,__text) external _ledger
00000001804b26e8 (__TEXT,__text) external _link
00000001804bc5c4 (__TEXT,__text) external _linkat
00000001804bc5f0 (__TEXT,__text) external _lio_listio
00000001804b6698 (__TEXT,__text) external _listen
00000001804b14d8 (__TEXT,__text) external _listxattr
00000001804d9a1c (__TEXT,__text) external _lock_set_create
00000001804d9b84 (__TEXT,__text) external _lock_set_destroy
00000001804c37c4 (__TEXT,__text) external _log_data_as_kernel
00000001804af61c (__TEXT,__text) external _lseek
00000001804b9858 (__TEXT,__text) external _lstat
00000001804b9858 (__TEXT,__text) external _lstat64
00000001804ae0a0 (__TEXT,__text) external _mach_absolute_time
00000001804ae124 (__TEXT,__text) external _mach_absolute_time_kernel
00000001804af484 (__TEXT,__text) external _mach_approximate_time
00000001804c28c4 (__TEXT,__text) external _mach_boottime_usec
00000001804b549c (__TEXT,__text) external _mach_continuous_approximate_time
00000001804ae024 (__TEXT,__text) external _mach_continuous_time
00000001804ae130 (__TEXT,__text) external _mach_continuous_time_kernel
00000001804bfb2c (__TEXT,__text) external _mach_error
00000001e9c42a00 (__DATA,__common) external _mach_error_full_diag
00000001804b45f8 (__TEXT,__text) external _mach_error_string
00000001804b461c (__TEXT,__text) non-external _mach_error_string_int
00000001804bfa64 (__TEXT,__text) external _mach_error_type
00000001804e1694 (__TEXT,__text) external _mach_eventlink_associate
00000001804e13dc (__TEXT,__text) external _mach_eventlink_create
00000001804e1578 (__TEXT,__text) external _mach_eventlink_destroy
00000001804e17d4 (__TEXT,__text) external _mach_eventlink_disassociate
00000001804c2d94 (__TEXT,__text) external _mach_eventlink_signal
00000001804c2df0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001804c2db0 (__TEXT,__text) external _mach_eventlink_wait_until
00000001804adbfc (__TEXT,__text) external _mach_generate_activity_id
00000001804afcd0 (__TEXT,__text) external _mach_get_times
00000001804aea58 (__TEXT,__text) external _mach_host_self
00000001804be7a0 (__TEXT,__text) external _mach_host_special_port_description
00000001e599abe0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001804be800 (__TEXT,__text) external _mach_host_special_port_for_id
00000001e9c427e8 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001804b3bfc (__TEXT,__text) external _mach_init
00000001ec705d80 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001804b3c34 (__TEXT,__text) non-external _mach_init_doit
00000001804d57e4 (__TEXT,__text) external _mach_make_memory_entry
00000001804af2c0 (__TEXT,__text) external _mach_make_memory_entry_64
00000001804e0fc4 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804e1270 (__TEXT,__text) external _mach_memory_entry_get_page_counts
00000001804e1140 (__TEXT,__text) external _mach_memory_entry_ownership
00000001804e0e6c (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001804d0f6c (__TEXT,__text) external _mach_memory_info
00000001804d18e0 (__TEXT,__text) external _mach_memory_info_redacted
00000001804cf8ec (__TEXT,__text) external _mach_memory_object_memory_entry
00000001804d0354 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001804adfa8 (__TEXT,__text) external _mach_msg
00000001804c0528 (__TEXT,__text) external _mach_msg2_internal
00000001804adc2c (__TEXT,__text) external _mach_msg2_trap
00000001804aebc4 (__TEXT,__text) external _mach_msg_destroy
00000001804aed08 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804b67e0 (__TEXT,__text) external _mach_msg_overwrite
00000001804adb78 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001804c063c (__TEXT,__text) external _mach_msg_priority_encode
00000001804c062c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001804c0670 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001804c0680 (__TEXT,__text) external _mach_msg_priority_qos
00000001804c0690 (__TEXT,__text) external _mach_msg_priority_relpri
00000001804ba238 (__TEXT,__text) external _mach_msg_receive
00000001804b26ac (__TEXT,__text) external _mach_msg_send
00000001804b5ca0 (__TEXT,__text) external _mach_msg_server
00000001804b6a9c (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001804c0628 (__TEXT,__text) external _mach_msg_server_importance
00000001804b8ff4 (__TEXT,__text) external _mach_msg_server_once
00000001804adb6c (__TEXT,__text) external _mach_msg_trap
00000001804d6c74 (__TEXT,__text) external _mach_notify_dead_name
00000001804d6bb0 (__TEXT,__text) external _mach_notify_no_senders
00000001804d6ad4 (__TEXT,__text) external _mach_notify_port_deleted
00000001804d6b3c (__TEXT,__text) external _mach_notify_port_destroyed
00000001804d6c18 (__TEXT,__text) external _mach_notify_send_once
00000001804afee4 (__TEXT,__text) external _mach_port_allocate
00000001804cb6bc (__TEXT,__text) external _mach_port_allocate_full
00000001804cb6a8 (__TEXT,__text) external _mach_port_allocate_name
00000001804cb6b8 (__TEXT,__text) external _mach_port_allocate_qos
00000001804cb92c (__TEXT,__text) external _mach_port_assert_attributes
00000001804aeea4 (__TEXT,__text) external _mach_port_construct
00000001804af074 (__TEXT,__text) external _mach_port_deallocate
00000001804b3654 (__TEXT,__text) external _mach_port_destroy
00000001804af6b0 (__TEXT,__text) external _mach_port_destruct
00000001804cb85c (__TEXT,__text) external _mach_port_dnrequest_info
00000001804b1360 (__TEXT,__text) external _mach_port_extract_member
00000001804b8020 (__TEXT,__text) external _mach_port_extract_right
00000001804b066c (__TEXT,__text) external _mach_port_get_attributes
00000001804b32c4 (__TEXT,__text) external _mach_port_get_context
00000001804b11ac (__TEXT,__text) external _mach_port_get_refs
00000001804cb928 (__TEXT,__text) external _mach_port_get_service_port_info
00000001804b9e18 (__TEXT,__text) external _mach_port_get_set_status
00000001804cb6c4 (__TEXT,__text) external _mach_port_get_srights
00000001804b0bcc (__TEXT,__text) external _mach_port_guard
00000001804cb91c (__TEXT,__text) external _mach_port_guard_with_flags
00000001804aff54 (__TEXT,__text) external _mach_port_insert_member
00000001804b0180 (__TEXT,__text) external _mach_port_insert_right
00000001804cb924 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001804cb860 (__TEXT,__text) external _mach_port_kernel_object
00000001804cb8a4 (__TEXT,__text) external _mach_port_kobject
00000001804cb8a8 (__TEXT,__text) external _mach_port_kobject_description
00000001804ae334 (__TEXT,__text) external _mach_port_mod_refs
00000001804b2f60 (__TEXT,__text) external _mach_port_move_member
00000001804cb6a0 (__TEXT,__text) external _mach_port_names
00000001804cb6ac (__TEXT,__text) external _mach_port_peek
00000001804cb6a4 (__TEXT,__text) external _mach_port_rename
00000001804afb1c (__TEXT,__text) external _mach_port_request_notification
00000001804b06f8 (__TEXT,__text) external _mach_port_set_attributes
00000001804b9cf8 (__TEXT,__text) external _mach_port_set_context
00000001804cb6b0 (__TEXT,__text) external _mach_port_set_mscount
00000001804cb6b4 (__TEXT,__text) external _mach_port_set_seqno
00000001804cb6cc (__TEXT,__text) external _mach_port_space_basic_info
00000001804cb6c8 (__TEXT,__text) external _mach_port_space_info
00000001804cb920 (__TEXT,__text) external _mach_port_swap_guard
00000001804b0938 (__TEXT,__text) external _mach_port_type
00000001804cb8ac (__TEXT,__text) external _mach_port_unguard
00000001804b99a4 (__TEXT,__text) external _mach_ports_lookup
00000001804c2a14 (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804b5828 (__TEXT,__text) external _mach_ports_register
00000001804c2928 (__TEXT,__text) non-external _mach_ports_register_legacy
00000001804adb3c (__TEXT,__text) external _mach_reply_port
00000001804c0b24 (__TEXT,__text) external _mach_right_recv_construct
00000001804c0bfc (__TEXT,__text) external _mach_right_recv_destruct
00000001804c0c94 (__TEXT,__text) external _mach_right_send_create
00000001804c0ddc (__TEXT,__text) external _mach_right_send_once_consume
00000001804c0d70 (__TEXT,__text) external _mach_right_send_once_create
00000001804b2714 (__TEXT,__text) external _mach_right_send_release
00000001804c0cfc (__TEXT,__text) external _mach_right_send_retain
00000001804cb73c (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804cb7e8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001804c28d4 (__TEXT,__text) external _mach_task_is_self
00000001804c0b20 (__TEXT,__text) external _mach_task_self
00000001ec705dd8 (__DATA_DIRTY,__common) external _mach_task_self_
00000001804be7c0 (__TEXT,__text) external _mach_task_special_port_description
00000001e599ad00 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001804be8c4 (__TEXT,__text) external _mach_task_special_port_for_id
00000001e9c428e0 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001804b3d20 (__TEXT,__text) external _mach_thread_self
00000001804be7e0 (__TEXT,__text) external _mach_thread_special_port_description
00000001e599ad60 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001804be8d4 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001e9c42940 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001804adfcc (__TEXT,__text) external _mach_timebase_info
00000001ec705d78 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001804adcf8 (__TEXT,__text) external _mach_timebase_info_trap
00000001804b0004 (__TEXT,__text) external _mach_vm_allocate
00000001804d5278 (__TEXT,__text) external _mach_vm_behavior_set
00000001804b5b84 (__TEXT,__text) external _mach_vm_copy
00000001804af7ac (__TEXT,__text) external _mach_vm_deallocate
00000001804d5fb8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
00000001804d6124 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
00000001804d6814 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_query
00000001804d6444 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
00000001804d4bf8 (__TEXT,__text) external _mach_vm_inherit
00000001804d5398 (__TEXT,__text) external _mach_vm_machine_attribute
