00007ffc0cea8fa5 (__TEXT,__text) non-external +[ODCAction action]
00007ffc42c6f6d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._localizeProgressStatus
00007ffc42c6f688 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._needsRecovery
00007ffc42c6f6e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odConfigNode
00007ffc42c6f6b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffc42c6f698 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc42c6f668 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc42c6f670 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc42c6f680 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc42c6f648 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc42c6f6c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc42c6f6d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc42c6f6c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc42c6f608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc42c6f6f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc42c6f650 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc42c6f690 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc42c6f6a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc42c6f6a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc42c6f600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc42c6f5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc42c6f5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc42c6f5b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc42c6f5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc42c6f588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc42c6f5d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc42c6f5a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc42c6f5a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc42c6f5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc42c6f598 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc42c6f5c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc42c6f580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc42c6f5d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc42c6f5b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc42c6f590 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc42c6f740 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc42c6f728 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc42c6f748 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc42c6f720 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc42c6f750 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc42c6f760 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc42c6f738 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc42c6f758 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc42c6f730 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc42c6f7b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc42c6f710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc42c6f708 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc42c6f718 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc42c6f6f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc42c6f700 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc42c6f7a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc42c6f7a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc42c6f7b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc42c6f788 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc42c6f798 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc42c6f790 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc42c6f778 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc42c6f770 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc42c6f780 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc42c6f768 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc42c6f838 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc42c6f7e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc42c6f8d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc42c6f9c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc42c6f888 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc42c6f978 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc42c6f928 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc40ca4a38 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc40ca4a30 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc40ca4a48 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc40ca4a40 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc40ca4928 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc40ca4930 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc40ca4938 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc40ca4940 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc40ca4948 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc40ca4950 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc40ca4a18 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc40ca49e0 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc40ca49e8 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc40ca4970 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc40ca4978 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc40ca4980 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc40ca4988 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc40ca4990 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc40ca4998 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc40ca49a0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc40ca49a8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc40ca4a08 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc40ca4920 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc40ca49c8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc40ca49d0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc40ca49d8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc40ca4a00 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc40ca4958 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc40ca4960 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc40ca4968 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc40ca49f8 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc40ca49f0 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc40ca4a28 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc40ca4a20 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc40ca4a10 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc40ca49b0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc40ca49b8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc40ca49c0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc0ceb55f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc0ceb5668 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc0ceb5680 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc0ceb5698 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc0ceb56b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc0ceb5d08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc0ceb5eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc0ceb5fd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc0ceb6050 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc0ceb6110 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc0ceb6188 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc40ca6ff0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc40ca6c80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc40ca7880 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc40ca7df0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc40ca76f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc40ca7c30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc40ca7ad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc40ca73f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc40ca6e68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc40ca79a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc40ca7e18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc40ca7798 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc40ca7cf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc40ca7b58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc40ca7660 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc40ca6f60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc40ca7a40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc40ca7e30 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc40ca77f0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc40ca7d60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc40ca7ba0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc40ca6fa8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc40ca6c38 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc40ca7838 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc40ca7da8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc40ca76a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc40ca7be8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc40ca7a88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc0cea8ff3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc0ceb0f22 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc0cea69ed (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc0cea6be0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc0cea9e52 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc0cea69c3 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc0cea69da (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc0ceb6260 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc0ceb6220 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc0ceb512c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc0ceb50ea (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc40ca4a50 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc40ca4a90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc40ca48f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc40ca48c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc40ca4cb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40ca4cf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc40ca4a70 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc40ca4cd8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc40ca4d18 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc0cea6bee (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc0cea6b3d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc0cea6c05 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc0cea6b99 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc0ceb520b (__TEXT,__text) non-external ___fixup_schema2
00007ffc0ceb5221 (__TEXT,__text) non-external ___fixup_schema3
00007ffc0ceb524f (__TEXT,__text) non-external ___fixup_schema4
00007ffc0ceb5308 (__TEXT,__text) non-external ___fixup_schema5
00007ffc0ceb4fc1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc42c6fa30 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc0ceb491d (__TEXT,__text) non-external __schema_construct
00007ffc0ceb53c9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc0ceb4b0f (__TEXT,__text) non-external __schema_deconstruct
00007ffc0ceb53c9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc0ceb501c (__TEXT,__text) non-external __schema_validate_type
00007ffc42c6fa10 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc0ceb53e1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc0ceb53f9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc42c6fa28 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc42c6fa18 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc42c6fa20 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc42c6fa00 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc42c6fa08 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc42c6f9f0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc40ca4c48 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc40ca4c50 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc40ca4c58 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc40ca4c60 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc40ca4c68 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc40ca4b00 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc40ca4b08 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc40ca4b10 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc40ca4b18 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc40ca4b40 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc40ca4b20 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc40ca4b28 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc40ca4b38 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc40ca4b30 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc40ca4b48 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc40ca4b50 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc40ca4b58 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc40ca4b60 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc40ca4b68 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc40ca4b78 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc40ca4b70 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc40ca4b80 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc40ca4b88 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc40ca4b90 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc40ca4bf0 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc40ca4be8 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc40ca4c08 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc40ca4c10 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc40ca4c00 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc40ca4bf8 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc40ca4be0 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc40ca4b98 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc40ca4ba0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc40ca4bb0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc40ca4bb8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc40ca4bc0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc40ca4bc8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc40ca4ba8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc40ca4bd0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc40ca4bd8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc40ca4c70 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc40ca4c80 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc40ca4c88 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc40ca4c90 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc40ca4c98 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc40ca4ca0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc40ca4ca8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc40ca4c78 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc40ca4cb0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc0ceb62d0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc40ca4c30 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc40ca4c40 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc40ca4c38 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc40ca4c28 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc40ca4c20 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc40ca4c18 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
