00000001a76e72a0 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a76e0d50 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a76e0d48 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a76e0d58 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a76e0d68 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a76e0d28 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a76e0d38 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a76dd104 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a76dca88 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a76dc4d4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a76dc5ac (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a76dc484 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a76dc47c (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a76dca50 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a76dd0fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a76dc430 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a76dcef4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a76dc0fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a76dc75c (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a76dcd28 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a76dce1c (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a76dca6c (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a76dcb74 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a76dd0e0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a76dd0c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a76dd0a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a76dd08c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a76dc684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a76dcc4c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a76dd074 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a76dd05c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a76dcf84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a76dc974 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a76dc868 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a76e072c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a76e02c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a76e04e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a76e01f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a76e0120 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a76e0608 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a76d3ee0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a76d3e98 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a76d3ea0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a76d3eb8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a76d3e94 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a76d3ea8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a76d3d48 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a76d38bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a76d3b40 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a76d3a14 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a76d38a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a76d3ec0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a76d3b2c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a76d3ed8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a76d3ed0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a76d3e44 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a76d3ec8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a76d3eb0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a76d3514 (__TEXT,__text) non-external -[SPMalwareSampling .cxx_destruct]
00000001a76d3254 (__TEXT,__text) non-external -[SPMalwareSampling dealloc]
00000001a76d3140 (__TEXT,__text) non-external -[SPMalwareSampling init]
00000001a76d32a0 (__TEXT,__text) non-external -[SPMalwareSampling lookupSampling:]
00000001a76d339c (__TEXT,__text) non-external -[SPMalwareSampling stageSampleAt:forTasking:]
00000001a76e6128 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a76e6120 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a76e6118 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a76e5de8 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a76e5e7c (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a76e6110 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a76e5d68 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a76e5d18 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a76e5d54 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a76e5c8c (__TEXT,__text) non-external -[SPProvenanceMetadata description]
00000001a76e5b70 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a76e598c (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a76e5c44 (__TEXT,__text) non-external -[SPProvenanceMetadata redactedDescription]
00000001a76e5cf0 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a76e5d20 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a76e5d5c (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a76e5cf8 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a76e5d48 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a76e5d34 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a76e5ce4 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a76e5d0c (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a76e5d40 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a76e5d2c (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a76e5cdc (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a76e5d04 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a76d5edc (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a76d5ae8 (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a76d5dd4 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a76d5ce8 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a76d5b34 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a76d5ec0 (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a76d5c20 (__TEXT,__text) non-external -[SPProvenanceTracking getProvenanceIDForURL:]
00000001a76d5968 (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a76d3838 (__TEXT,__text) non-external -[SPSamplingTasking .cxx_destruct]
00000001a76d378c (__TEXT,__text) non-external -[SPSamplingTasking description]
00000001a76d36dc (__TEXT,__text) non-external -[SPSamplingTasking encodeWithCoder:]
00000001a76d37fc (__TEXT,__text) non-external -[SPSamplingTasking expiration]
00000001a76d3560 (__TEXT,__text) non-external -[SPSamplingTasking initWithCoder:]
00000001a76d37e8 (__TEXT,__text) non-external -[SPSamplingTasking name]
00000001a76d3824 (__TEXT,__text) non-external -[SPSamplingTasking publicKey]
00000001a76d3788 (__TEXT,__text) non-external -[SPSamplingTasking redactedDescription]
00000001a76d3810 (__TEXT,__text) non-external -[SPSamplingTasking samplingRate]
00000001a76d3804 (__TEXT,__text) non-external -[SPSamplingTasking setExpiration:]
00000001a76d37f0 (__TEXT,__text) non-external -[SPSamplingTasking setName:]
00000001a76d382c (__TEXT,__text) non-external -[SPSamplingTasking setPublicKey:]
00000001a76d3818 (__TEXT,__text) non-external -[SPSamplingTasking setSamplingRate:]
00000001a76d37dc (__TEXT,__text) non-external -[SPSamplingTasking setUuid:]
00000001a76d37d4 (__TEXT,__text) non-external -[SPSamplingTasking uuid]
00000001a76d46d4 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a76d46b8 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a76d46cc (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a76d41cc (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a76d3f48 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a76d46c4 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a76d2be4 (__TEXT,__text) non-external -[TrackingAttributes description]
00000001a76d2c58 (__TEXT,__text) non-external -[TrackingAttributes flags]
00000001a76d2c48 (__TEXT,__text) non-external -[TrackingAttributes identifier]
00000001a76d2ab4 (__TEXT,__text) non-external -[TrackingAttributes initWithData:]
00000001a76d2be8 (__TEXT,__text) non-external -[TrackingAttributes redactedDescription]
00000001a76d2b74 (__TEXT,__text) non-external -[TrackingAttributes serialize]
00000001a76d2c60 (__TEXT,__text) non-external -[TrackingAttributes setFlags:]
00000001a76d2c50 (__TEXT,__text) non-external -[TrackingAttributes setIdentifier:]
00000001a76ed96c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a76eda44 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a76edb18 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a76ed9f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a76ed9e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001a76eda74 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001a76eda1c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a76ed98c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a76edb28 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a76edb04 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001a76e7080 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a76e6ea8 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001e816e6c8 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a76e19c8 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001e48d5ae8 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLIsSystemImmutableKey (from CoreFoundation)
                 (undefined) external _NSURLIsUserImmutableKey (from CoreFoundation)
00000001ea3f7e30 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001ea3f8448 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001ea3f7fe8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001ea3f8538 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001ea3f84c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001ea3f7f70 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001ea3f83d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001ea3f81f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001ea3f7ef8 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001ea3f82e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001ea3f7d18 (__AUTH,__objc_data) external _OBJC_CLASS_$_ProvenanceEntry
00000001ea3f8470 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPBundleProtection
00000001ea3f8560 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001ea3f80b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001ea3f8150 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001ea3f8010 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001ea3f7e80 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001ea3f8290 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001ea3f8100 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001ea3f81a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001ea3f7c00 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001ea3f7c28 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001ea3f8060 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001ea3f7d40 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMalwareSampling
00000001ea3f8240 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001ea3f8380 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001ea3f8330 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001ea3f7f20 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001ea3f7d90 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPSamplingTasking
00000001ea3f7de0 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001ea3f7ca0 (__AUTH,__objc_data) external _OBJC_CLASS_$_TrackingAttributes
00000001e816e1f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001e816e1fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001e816e200 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001e816e3cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001e816e3c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001e816e3d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001e816e228 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001e816e22c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001e816e230 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001e816e23c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001e816e224 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001e816e234 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001e816e238 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001e816e3b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001e816e3bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001e816e210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001e816e20c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001e816e204 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001e816e208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001e816e214 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001e816e218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001e816e388 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._backingStore
00000001e816e368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._backingStoreChecked
00000001e816e2ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001e816e320 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001e816e30c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001e816e310 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001e816e32c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001e816e330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001e816e334 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001e816e2fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001e816e2f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001e816e378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._csflags
00000001e816e340 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001e816e2e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001e816e31c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._hasBadAppWrapperSymlink
00000001e816e380 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._hasPowerfulEntitlements
00000001e816e37c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._hasResourceDirectorySlot
00000001e816e318 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001e816e358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001e816e314 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001e816e384 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._isMovedToTrash
00000001e816e34c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001e816e348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001e816e354 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001e816e350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001e816e308 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001e816e2f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001e816e2f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001e816e2e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001e816e304 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001e816e2dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001e816e374 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001e816e364 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._powerfulEntitlementsChecked
00000001e816e344 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001e816e360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._resourceDirectorySlotChecked
00000001e816e33c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001e816e328 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001e816e324 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001e816e338 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001e816e36c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._trashedMainExe
00000001e816e38c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._trashedURL
00000001e816e35c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001e816e300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001e816e370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._validationCategory
00000001e816e2e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001e816e2d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001e816e194 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.bundleID
