                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
000000028e3a1c28 (__DATA_CONST,__const) external _MTRArrayValueType
00000002981f3800 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterParameter
00000002981f3788 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterParameterStruct
00000002981f3698 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterPlaybackPreferencesStruct
00000002981f3940 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterStyleInformation
00000002981f38c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterStyleInformationStruct
00000002981f3648 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRContentLauncherClusterTrackPreferenceStruct
00000002981e2a28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRControllerFactory
00000002981e2aa0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRControllerFactoryParams
00000002981ed798 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeAtomicAttributeStatusStruct
00000002981ed658 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeCurrencyStruct
00000002981ed7e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeICECandidateStruct
00000002981ed838 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeICEServerStruct
00000002981ed888 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeLocationDescriptorStruct
00000002981ed6f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeMeasurementAccuracyRangeStruct
00000002981ed748 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeMeasurementAccuracyStruct
00000002981ed8d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypePowerThresholdStruct
00000002981ed6a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypePriceStruct
00000002981ed928 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeTestGlobalStruct
00000002981ed978 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeViewportStruct
00000002981ed9c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDataTypeWebRTCSessionStruct
00000002981eda90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDescriptorClusterDeviceType
00000002981eda18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDescriptorClusterDeviceTypeStruct
00000002981edab8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDescriptorClusterSemanticTagStruct
00000002981fce28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDevice
00000002981ed518 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceAttestationDeviceInfo
00000002981f9ae8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceAttestationInfo
00000002981f5a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceController
00000002981f8f30 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerAbstractParameters
00000002981f8ee0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerExternalCertificateParameters
00000002981e2988 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerFactory
00000002981e2730 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerFactoryParams
00000002981ed4c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerLocalTestStorage
00000002981f8f80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerParameters
00000002981f8eb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceControllerStartupParams
00000002981e6538 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterCancelPowerAdjustRequestParams
00000002981e6718 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterCancelRequestParams
00000002981f14d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterConstraintsStruct
00000002981f1348 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterCostStruct
00000002981f1488 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterForecastStruct
00000002981e6678 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterModifyForecastRequestParams
00000002981e65d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPauseRequestParams
00000002981f1618 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPausedEvent
00000002981f13e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPowerAdjustCapabilityStruct
00000002981f15c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPowerAdjustEndEvent
00000002981e64e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPowerAdjustRequestParams
00000002981f1578 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPowerAdjustStartEvent
00000002981f1398 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterPowerAdjustStruct
00000002981e66c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterRequestConstraintBasedForecastParams
00000002981e6628 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterResumeRequestParams
00000002981f1668 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterResumedEvent
00000002981f1528 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterSlotAdjustmentStruct
00000002981f1438 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterSlotStruct
00000002981e6588 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementClusterStartTimeAdjustRequestParams
00000002981e6b28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementModeClusterChangeToModeParams
00000002981e6b78 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementModeClusterChangeToModeResponseParams
00000002981f1b18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementModeClusterModeOptionStruct
00000002981f1ac8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceEnergyManagementModeClusterModeTagStruct
00000002981f9b88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceStorageBehaviorConfiguration
00000002981f9908 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceType
00000002981f5c18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDeviceTypeRevision
00000002981e41e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDiagnosticLogsClusterRetrieveLogsRequestParams
00000002981e4238 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDiagnosticLogsClusterRetrieveLogsResponseParams
00000002981e5818 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherAlarmClusterModifyEnabledAlarmsParams
00000002981f0628 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherAlarmClusterNotifyEvent
00000002981e57c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherAlarmClusterResetParams
00000002981e56d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherModeClusterChangeToModeParams
00000002981e5728 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherModeClusterChangeToModeResponseParams
00000002981f0268 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherModeClusterModeOptionStruct
00000002981f0218 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDishwasherModeClusterModeTagStruct
00000002981f9980 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDistinguishedNameInfo
00000002981f1c08 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleAliroCredentialStruct
00000002981f1ed8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleAliroLockOperationErrorEvent
00000002981f1e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleAliroLockOperationEvent
00000002981f1f28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleAliroLockUserChangeEvent
00000002981e74d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleClearAliroCredentialParams
00000002981e7578 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleClearAliroReaderConfigParams
00000002981e7488 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleGetAliroCredentialStatusParams
00000002981e7438 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleSetAliroCredentialParams
00000002981e7528 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterAppleSetAliroReaderConfigParams
00000002981e73e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearAliroReaderConfigParams
00000002981e72f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearCredentialParams
00000002981e7028 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearHolidayScheduleParams
00000002981e7168 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearUserParams
00000002981e6da8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearWeekDayScheduleParams
00000002981e6ee8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterClearYearDayScheduleParams
00000002981f1c58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterCredentialStruct
00000002981f1cd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterDlCredential
00000002981f1cf8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterDoorLockAlarmEvent
00000002981f1d48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterDoorStateChangeEvent
00000002981e7258 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetCredentialStatusParams
00000002981e72a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetCredentialStatusResponseParams
00000002981e6f88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetHolidayScheduleParams
00000002981e6fd8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetHolidayScheduleResponseParams
00000002981e70c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetUserParams
00000002981e7118 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetUserResponseParams
00000002981e6d08 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetWeekDayScheduleParams
00000002981e6d58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetWeekDayScheduleResponseParams
00000002981e6e48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetYearDayScheduleParams
00000002981e6e98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterGetYearDayScheduleResponseParams
00000002981e6bc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterLockDoorParams
00000002981f1de8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterLockOperationErrorEvent
00000002981f1d98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterLockOperationEvent
00000002981f1e38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterLockUserChangeEvent
00000002981e7398 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetAliroReaderConfigParams
00000002981e71b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetCredentialParams
00000002981e7208 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetCredentialResponseParams
00000002981e6f38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetHolidayScheduleParams
00000002981e7078 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetUserParams
00000002981e6cb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetWeekDayScheduleParams
00000002981e6df8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterSetYearDayScheduleParams
00000002981e7348 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterUnboltDoorParams
00000002981e6c18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterUnlockDoorParams
00000002981e6c68 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRDoorLockClusterUnlockWithTimeoutParams
00000002981f49a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREcosystemInformationClusterDeviceTypeStruct
00000002981f49f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREcosystemInformationClusterEcosystemDeviceStruct
00000002981f4a48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREcosystemInformationClusterEcosystemLocationStruct
00000002981f0f38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterCumulativeEnergyMeasuredEvent
00000002981f0e98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterCumulativeEnergyResetStruct
00000002981f0ee8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterEnergyMeasurementStruct
00000002981f0df8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterMeasurementAccuracyRangeStruct
00000002981f0e48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterMeasurementAccuracyStruct
00000002981f0f88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalEnergyMeasurementClusterPeriodicEnergyMeasuredEvent
00000002981f1bb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalGridConditionsClusterCurrentConditionsChangedEvent
00000002981f1b68 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalGridConditionsClusterElectricalGridConditionsStruct
00000002981f9638 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalMeasurementClusterGetMeasurementProfileCommandParams
00000002981f95e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalMeasurementClusterGetMeasurementProfileResponseCommandParams
00000002981f9598 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalMeasurementClusterGetProfileInfoCommandParams
00000002981f9548 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalMeasurementClusterGetProfileInfoResponseCommandParams
00000002981f0d08 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalPowerMeasurementClusterHarmonicMeasurementStruct
00000002981f0c68 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalPowerMeasurementClusterMeasurementAccuracyRangeStruct
00000002981f0cb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalPowerMeasurementClusterMeasurementAccuracyStruct
00000002981f0da8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalPowerMeasurementClusterMeasurementPeriodRangesEvent
00000002981f0d58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRElectricalPowerMeasurementClusterMeasurementRangeStruct
00000002981f9868 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREndpointInfo
00000002981f1708 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterChargingTargetScheduleStruct
00000002981f16b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterChargingTargetStruct
00000002981e6998 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterClearTargetsParams
00000002981e67b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterDisableParams
00000002981f1758 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEVConnectedEvent
00000002981f17a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEVNotDetectedEvent
00000002981e6808 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEnableChargingParams
00000002981e6858 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEnableDischargingParams
00000002981f17f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEnergyTransferStartedEvent
00000002981f1848 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterEnergyTransferStoppedEvent
00000002981f1898 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterFaultEvent
00000002981e6948 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterGetTargetsParams
00000002981e6768 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterGetTargetsResponseParams
00000002981f18e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterRFIDEvent
00000002981e68f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterSetTargetsParams
00000002981e68a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEClusterStartDiagnosticsParams
00000002981e69e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEModeClusterChangeToModeParams
00000002981e6a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEModeClusterChangeToModeResponseParams
00000002981f19d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEModeClusterModeOptionStruct
00000002981f1988 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyEVSEModeClusterModeTagStruct
00000002981f1938 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREnergyPreferenceClusterBalanceStruct
00000002981e4508 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREthernetNetworkDiagnosticsClusterResetCountsParams
00000002981f5790 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREventPath
00000002981f5948 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREventReport
00000002981f5768 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTREventRequestPath
00000002981f9688 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRFabricInfo
00000002981e7e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRFanControlClusterStepParams
00000002981efb38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRFixedLabelClusterLabelStruct
00000002981e3bf8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterArmFailSafeParams
00000002981e3c48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterArmFailSafeResponseParams
00000002981ee828 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterBasicCommissioningInfo
00000002981e3d38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterCommissioningCompleteParams
00000002981e3d88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterCommissioningCompleteResponseParams
00000002981e3c98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterSetRegulatoryConfigParams
00000002981e3ce8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterSetRegulatoryConfigResponseParams
00000002981e3dd8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterSetTCAcknowledgementsParams
00000002981e3e28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralCommissioningClusterSetTCAcknowledgementsResponseParams
00000002981eebe8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterBootReasonEvent
00000002981eeaf8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterHardwareFaultChangeEvent
00000002981eeb98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterNetworkFaultChangeEvent
00000002981eea58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterNetworkInterface
00000002981eead0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterNetworkInterfaceType
00000002981e4378 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterPayloadTestRequestParams
00000002981e43c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterPayloadTestResponseParams
00000002981eeb48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterRadioFaultChangeEvent
00000002981e4288 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterTestEventTriggerParams
00000002981e42d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterTimeSnapshotParams
00000002981e4328 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGeneralDiagnosticsClusterTimeSnapshotResponseParams
00000002981f8b98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGenericBaseCluster
00000002981f8be8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGenericCluster
00000002981efa48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterGroupInfoMapStruct
00000002981efa98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterGroupKeyMapStruct
00000002981efae8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterGroupKeySetStruct
00000002981e4eb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetReadAllIndicesParams
00000002981e4f08 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetReadAllIndicesResponseParams
00000002981e4dc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetReadParams
00000002981e4e18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetReadResponseParams
00000002981e4e68 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetRemoveParams
00000002981e4d78 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupKeyManagementClusterKeySetWriteParams
00000002981e2e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterAddGroupIfIdentifyingParams
00000002981e2bb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterAddGroupParams
00000002981e2c08 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterAddGroupResponseParams
00000002981e2cf8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterGetGroupMembershipParams
00000002981e2d48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterGetGroupMembershipResponseParams
00000002981e2e38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterRemoveAllGroupsParams
00000002981e2d98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterRemoveGroupParams
00000002981e2de8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterRemoveGroupResponseParams
00000002981e2c58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterViewGroupParams
00000002981e2ca8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRGroupsClusterViewGroupResponseParams
00000002981f0a88 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRHEPAFilterMonitoringClusterReplacementProductStruct
00000002981e6088 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRHEPAFilterMonitoringClusterResetConditionParams
00000002981efc28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterMonitoringRegistrationStruct
00000002981e4f58 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterRegisterClientParams
00000002981e4fa8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterRegisterClientResponseParams
00000002981e5048 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterStayActiveRequestParams
00000002981e5098 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterStayActiveResponseParams
00000002981e4ff8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRICDManagementClusterUnregisterClientParams
00000002981e2b18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRIdentifyClusterIdentifyParams
00000002981e2b68 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRIdentifyClusterTriggerEffectParams
00000002981eb2b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRJointFabricAdministratorClusterAddICACParams
00000002981eb498 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRJointFabricAdministratorClusterAnnounceJointFabricAdministratorParams
00000002981eb218 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRJointFabricAdministratorClusterICACCSRRequestParams
00000002981eb268 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRJointFabricAdministratorClusterICACCSRResponseParams
00000002981eb308 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRJointFabricAdministratorClusterICACResponseParams
