00007ffb4306e940 (__DATA,__bss) non-external _SVC_REQ_KEY
                 (undefined) external _mkstemps (from libSystem)
00007ffb400fa580 (__DATA_CONST,__const) non-external _nc_tab
00007ffb400fa490 (__DATA_CONST,__const) non-external _netids
00007ffb01558188 (__TEXT,__const) external _oncrpcVersionNumber
00007ffb01558160 (__TEXT,__const) external _oncrpcVersionString
00007ffb4306e738 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffb0154fc9c (__TEXT,__text) non-external (was a private external) _open_socket
00007ffb4306e380 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffb4306e4a0 (__DATA,__data) non-external _pmap_addrs
00007ffb015487f4 (__TEXT,__text) non-external _pmap_bcastrecv
00007ffb01547a77 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffb0154852b (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffb4306e688 (__DATA,__data) non-external _poll_timeout
00007ffb4306e8a0 (__DATA,__data) non-external (was a private external) _portmap_netid
00007ffb4306e930 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffb015464a2 (__TEXT,__text) non-external _readstrm
00007ffb0154b124 (__TEXT,__text) non-external _readstrm
00007ffb01555d94 (__TEXT,__text) non-external _readstrm.cold.1
00007ffb01555e2f (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffb0154eae3 (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffb0154fd33 (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffb01557cdc (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffb0154b08d (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffb0154b07d (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffb0154b085 (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffb0154b095 (__TEXT,__text) non-external _rendezvous_destroy
00007ffb0154aee4 (__TEXT,__text) non-external _rendezvous_request
00007ffb01555c38 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffb0154b072 (__TEXT,__text) non-external _rendezvous_stat
00007ffb015444ca (__TEXT,__text) external _reply_addr_cache_create
00007ffb01544522 (__TEXT,__text) external _reply_addr_cache_destroy
00007ffb4306e4e0 (__DATA,__data) non-external _reply_dscrm
00007ffb01550b5a (__TEXT,__text) non-external _reset_if_addr_cache
00007ffb015457be (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffb4306e900 (__DATA,__bss) non-external _rpc_createerr_key
00007ffb4306e3d8 (__DATA,__data) non-external _rpc_createerr_once
00007ffb400fa1b0 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffb4306e4b8 (__DATA,__data) non-external _rpc_multicast
00007ffb4306e490 (__DATA,__data) non-external _rpcb_addrs
00007ffb015482ba (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffb015527f6 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffb0154ff9e (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffb4306e510 (__DATA,__data) non-external _server_ops
00007ffb0154e7f9 (__TEXT,__text) non-external _set_input_fragment
00007ffb01550a1c (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffb4306e840 (__DATA,__data) non-external _set_retry_timeout
00007ffb4306e8a8 (__DATA,__data) non-external _set_retry_timeout
00007ffb4306e850 (__DATA,__data) non-external _set_total_timeout
00007ffb4306e8b8 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffb0154e7a2 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffb015456c6 (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffb4306e428 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffb4306e918 (__DATA,__bss) non-external _svc_active_threads
00007ffb0154c745 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffb01556e20 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffb01556ec1 (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffb01556f4a (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffb0154c8e3 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffb0154a197 (__TEXT,__text) non-external _svc_complete
00007ffb4306ea64 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffb4306e598 (__DATA,__data) non-external _svc_exit_cond
00007ffb4306e91c (__DATA,__bss) non-external _svc_exit_flag
00007ffb0154cca5 (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffb4306e938 (__DATA,__bss) non-external _svc_head
00007ffb0154c8d7 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffb4306e698 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffb4306e540 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffb4306e544 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffb4306e548 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffb0154c61b (__TEXT,__text) non-external _svc_oncrpc_start
00007ffb01556c16 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffb01556cc4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffb01556d72 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffb4306e658 (__DATA,__data) non-external _svc_poll_cond
00007ffb4306e618 (__DATA,__data) non-external _svc_poll_lock
00007ffb4306e920 (__DATA,__bss) non-external _svc_polling
00007ffb0154c969 (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffb01557154 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffb015571f5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffb015572a3 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffb4306e750 (__DATA,__data) non-external _svc_register_lock
00007ffb0154ccdc (__TEXT,__text) external _svc_req_clone
00007ffb0154ce2b (__TEXT,__text) external _svc_req_destroy
00007ffb0154c844 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffb01556ff8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffb4306e550 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffb01549a1c (__TEXT,__text) non-external _svc_start_threads
00007ffb015499c9 (__TEXT,__text) non-external _svc_thread
00007ffb4306e558 (__DATA,__data) non-external _svc_thread_lock
00007ffb4306ea58 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffb4306ea5c (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffb0154caa8 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffb01557344 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffb015573e5 (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffb4306e5c8 (__DATA,__data) non-external _svc_workq_lock
00007ffb0154c25c (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffb01556aba (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffb01556b68 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffb0154c4ae (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffb400fa350 (__DATA_CONST,__const) non-external _svcauthsw
00007ffb01549908 (__TEXT,__text) non-external _svcraw_destroy
00007ffb01549900 (__TEXT,__text) non-external _svcraw_freeargs
00007ffb015498f0 (__TEXT,__text) non-external _svcraw_getargs
00007ffb015498dd (__TEXT,__text) non-external _svcraw_recv
00007ffb015498f8 (__TEXT,__text) non-external _svcraw_reply
00007ffb015498e5 (__TEXT,__text) non-external _svcraw_stat
00007ffb0154b0ce (__TEXT,__text) non-external _svcstrm_destroy
00007ffb01555ce6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffb0154a776 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffb015550f9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffb015551a7 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffb01555255 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffb0154b76a (__TEXT,__text) non-external _svcstrm_freeargs
00007ffb0154b612 (__TEXT,__text) non-external _svcstrm_getargs
00007ffb4306e6d0 (__DATA,__data) non-external _svcstrm_op
00007ffb0154b447 (__TEXT,__text) non-external _svcstrm_recv
00007ffb01555f8b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffb01556026 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffb015560d4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffb4306e6a0 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffb0154b6b4 (__TEXT,__text) non-external _svcstrm_reply
00007ffb0155616f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffb0154b5b6 (__TEXT,__text) non-external _svcstrm_stat
00007ffb0154a932 (__TEXT,__text) external _svcticots_create
00007ffb0154a93c (__TEXT,__text) external _svcticotsord_create
00007ffb01555303 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffb015553b1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffb0155545f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffb0155550d (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffb015555bb (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffb01555656 (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffb015556f5 (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffb01555789 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffb01555837 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffb0154c1fe (__TEXT,__text) non-external _svcudp_destroy
00007ffb01556a0c (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffb0154c1d0 (__TEXT,__text) non-external _svcudp_freeargs
00007ffb0154be05 (__TEXT,__text) non-external _svcudp_getargs
00007ffb4306e700 (__DATA,__data) non-external _svcudp_op
00007ffb0154baf1 (__TEXT,__text) non-external _svcudp_recv
00007ffb01556631 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffb015566df (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffb0154be86 (__TEXT,__text) non-external _svcudp_reply
00007ffb0155678d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffb0155683b (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffb015568d6 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffb01556971 (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffb0154bdfa (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffb015457cf (__TEXT,__text) non-external _tsd_init_buf
00007ffb01553a8b (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffb015450f5 (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffb01553896 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffb4306e458 (__DATA,__data) non-external _udp_ops
00007ffb0155070a (__TEXT,__text) non-external _ugetport
00007ffb0154a35f (__TEXT,__text) non-external _universal
00007ffb01554a9e (__TEXT,__text) non-external _universal.cold.1
00007ffb01554b34 (__TEXT,__text) non-external _universal.cold.2
00007ffb01554bc8 (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffb4306e860 (__DATA,__data) non-external _unset_retry_timeout
00007ffb4306e8c8 (__DATA,__data) non-external _unset_retry_timeout
00007ffb4306e870 (__DATA,__data) non-external _unset_total_timeout
00007ffb4306e8d8 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffb0154c911 (__TEXT,__text) non-external _wakeup_kq
00007ffb015570a6 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffb4306e608 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffb015465a0 (__TEXT,__text) non-external _writestrm
00007ffb0154b2eb (__TEXT,__text) non-external _writestrm
00007ffb01555edd (__TEXT,__text) non-external _writestrm.cold.1
00007ffb0154ee20 (__TEXT,__text) non-external _x_destroy
00007ffb0154ee0f (__TEXT,__text) non-external _x_getpostn
00007ffb0154ed9c (__TEXT,__text) non-external _x_inline
00007ffb0154ed8e (__TEXT,__text) non-external _x_putbytes
00007ffb0154ed7f (__TEXT,__text) non-external _x_putlong
00007ffb0154ee18 (__TEXT,__text) non-external _x_setpostn
00007ffb0154945c (__TEXT,__text) non-external _xdr_accepted_reply
00007ffb015489e2 (__TEXT,__text) non-external _xdr_callit_args
00007ffb0154df5c (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffb0154eacd (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffb01548b7b (__TEXT,__text) non-external _xdr_pmapcallres
00007ffb015494e7 (__TEXT,__text) non-external _xdr_rejected_reply
00007ffb01548a5d (__TEXT,__text) non-external _xdr_rmt3callres
00007ffb0154f5c5 (__TEXT,__text) external _xdr_vmbytes
00007ffb01557b80 (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffb015581f8 (__TEXT,__const) non-external _xdr_zero
00007ffb0154e09d (__TEXT,__text) non-external _xdrmem_destroy
00007ffb0154dfdc (__TEXT,__text) non-external _xdrmem_getbytes
00007ffb0154e0a3 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffb0154df85 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffb0154e048 (__TEXT,__text) non-external _xdrmem_getpos
00007ffb0154def3 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffb0154e0fd (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffb0154e095 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffb400fa3b0 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffb400fa368 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffb0154e015 (__TEXT,__text) non-external _xdrmem_putbytes
00007ffb0154e0d0 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffb0154dfb2 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffb0154e062 (__TEXT,__text) non-external _xdrmem_setpos
00007ffb0154e408 (__TEXT,__text) non-external _xdrrec_destroy
00007ffb0154e1ec (__TEXT,__text) non-external _xdrrec_getbytes
00007ffb0154e11e (__TEXT,__text) non-external _xdrrec_getlong
00007ffb0154e2e8 (__TEXT,__text) non-external _xdrrec_getpos
00007ffb0154e96d (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffb0154e3bd (__TEXT,__text) non-external _xdrrec_inline
00007ffb0154e5d1 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffb01557902 (__TEXT,__text) non-external _xdrrec_isrecordstart.cold.1
00007ffb400fa3f8 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffb0154e264 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffb0154e186 (__TEXT,__text) non-external _xdrrec_putlong
00007ffb0154e33b (__TEXT,__text) non-external _xdrrec_setpos
00007ffb0154ef9e (__TEXT,__text) non-external _xdrstdio_destroy
00007ffb0154ef03 (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffb0154ee83 (__TEXT,__text) non-external _xdrstdio_getlong
00007ffb0154ef63 (__TEXT,__text) non-external _xdrstdio_getpos
00007ffb0154ef96 (__TEXT,__text) non-external _xdrstdio_inline
00007ffb400fa440 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffb0154ef33 (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffb0154eeca (__TEXT,__text) non-external _xdrstdio_putlong
00007ffb0154ef7e (__TEXT,__text) non-external _xdrstdio_setpos
00007ffb0154c534 (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffb0154c57a (__TEXT,__text) non-external (was a private external) _xprt_unref
