00007ff813025ca6 (__TEXT,__text) non-external _Annihilate
00007ff813038438 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff8130386d5 (__TEXT,__text) non-external _get_format_plane_count
00007ff813038456 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff813032f20 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff813032f5b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff81303f282 (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff813032f85 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff813032f6f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff81303871b (__TEXT,__text) non-external _header_fetch_from_payload
00007ff813038467 (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff813038380 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff813038db9 (__TEXT,__text) non-external _is_image_valid
00007ff81302c253 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff813091b80 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff813073270 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff8130732d0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8416d2300 (__DATA_CONST,__const) non-external _kBrotliDictionary
00007ff813073b70 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff8130731b0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff813073210 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff8130d14f0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff813093740 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8416d2bd0 (__DATA_CONST,__const) non-external _kBrotliTransforms
00007ff813073950 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff813091cc0 (__TEXT,__const) non-external _kCmdLut
00007ff8130c52a0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff813091c80 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff8130c5280 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff813091ca0 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff813091cb0 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff8130935f0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff8130935b0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff813093df0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff813093e30 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff8130934f0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff8130934d0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff813093560 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff813093540 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff8130c5df0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff8130c52f0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff8130c2e70 (__TEXT,__const) non-external _kPrefixSuffix
00007ff8130c2f50 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff8130730b0 (__TEXT,__const) non-external _kReverseBits
00007ff8130c76b0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff8130c73f0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff813093f00 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff8130e1d00 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff8130d1d00 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff8130a3f00 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff8130c7c70 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff8130c7c30 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff8130c2fc0 (__TEXT,__const) non-external _kTransformsData
00007ff8130c3c80 (__TEXT,__const) non-external _kZeroRepsBits
00007ff8130c3180 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff81300e835 (__TEXT,__text) non-external _longest_match
00007ff8130ccb60 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff81302be89 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff813035cad (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff813035ca2 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff813016250 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff813015dc0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff813015bd5 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff8130177ff (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff813017656 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff8130105b8 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff81304a79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff81304a79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff81304a79a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff81304a773 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff81304a06c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff81304a114 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff8130364ce (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff8130363da (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff813031a55 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff8130466ba (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff813045277 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
00007ff8130466fd (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff81304291e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff8130466d6 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff8130451ae (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
00007ff813046708 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff8130427e4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff81303e9a0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff81304666a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff813033ea8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff813046686 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff8130466ad (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff813033e8f (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff8130cdba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff813042829 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff8130cd3a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff813042a44 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff813046715 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff8130ceba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff8130ccba0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff81306bc14 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff813010acf (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff81301642b (__TEXT,__text) non-external _lzfseDecodeV1
00007ff81306b84d (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff81306bc53 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff81306b67e (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff81306b6e9 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff81306bfda (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff81306b6a7 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff81306b7b5 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff81306bcf8 (__TEXT,__text) non-external _lzfsePushMatch
00007ff81301084b (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff813010779 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff81303e993 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff81305ddf7 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff81305dd61 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff81305dd50 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff813012534 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff81303729a (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff813037129 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff81303728f (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff813037f9d (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff8416d23d0 (__DATA_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff813012179 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff81304e3d5 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff81304e3a1 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff8130936f0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff813093710 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff8130105b8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff81303563e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff813035634 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff81303560b (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff8130355ca (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff813010751 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff813010825 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff8130708d3 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff81303f2f8 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff81306eaed (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff813045114 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff8130125d4 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff81304516c (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff8130125d4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff813093c80 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff813010729 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff81306e4c0 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff8130d1cf0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff8130105db (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff813010699 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff81306e074 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff81306e3f6 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff813011c49 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8416d1b00 (__DATA_CONST,__const) non-external _lzvnDecode.opc_tbl
00007ff8130457b1 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff813045735 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff81302657d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff8130264ec (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff8130264e1 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff81302b69e (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff81302b5c8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff81302b5b7 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff843c96000 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff813012600 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff8130125d4 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff813046315 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff813046353 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff8130462fb (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff8130105b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff81304510a (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff813045100 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff8130450d7 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff8130450b5 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff813045067 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff81304508f (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff81304da1e (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff81304da13 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff8130656a0 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff81301f698 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff81301ee35 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff81301f2c1 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff81301f3a5 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff81303f208 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff8130c7f70 (__TEXT,__const) non-external _position_slot_base_position
00007ff8130c7ef0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff81300f87c (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff8130673a8 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff813014b54 (__TEXT,__text) non-external _readHuffmanTable
00007ff81303f15c (__TEXT,__text) non-external (was a private external) _read_expected
00007ff81300c80b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff81300f961 (__TEXT,__text) non-external _scan_tree
00007ff81300fa4c (__TEXT,__text) non-external _send_tree
00007ff813046631 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff8130465bb (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff8130465d2 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff813046586 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff81304a7a5 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff81304a9b1 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff81303949d (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff813039ef6 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff813032935 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff813032b56 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff843c95fe0 (__DATA,__data) non-external _static_bl_desc
00007ff843c95fc0 (__DATA,__data) non-external _static_d_desc
00007ff8130d0360 (__TEXT,__const) non-external _static_dtree
00007ff843c95fa0 (__DATA,__data) non-external _static_l_desc
00007ff8130cfee0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff843c95f00 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff8130261f8 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff813026424 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff813026323 (__TEXT,__text) non-external _thread_pool_entry
00007ff81302604a (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff81302616b (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff813065511 (__TEXT,__text) external _touchpadCodecCreate
00007ff813026792 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff813065653 (__TEXT,__text) external _touchpadCodecDestroy
00007ff81306e4d1 (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff813064c52 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff81303f1b4 (__TEXT,__text) non-external (was a private external) _write_expected
00007ff8130d14a6 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff8130d14a0 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff81306e454 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff81306e401 (__TEXT,__text) non-external _xz_simple_crc32
00007ff81305e22f (__TEXT,__text) external _yzip_codec_create
00007ff81305e25d (__TEXT,__text) external _yzip_codec_destroy
00007ff8130385b0 (__TEXT,__text) external _yzip_image_create
00007ff8130386f3 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff813038f62 (__TEXT,__text) external _yzip_image_decode
00007ff813038852 (__TEXT,__text) external _yzip_image_destroy
00007ff81303885c (__TEXT,__text) external _yzip_image_encode
00007ff81303917d (__TEXT,__text) external _yzip_image_get_descriptor
00007ff813039233 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff8130391e2 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff8130392b6 (__TEXT,__text) external _yzip_image_set_data
00007ff813039490 (__TEXT,__text) external _yzip_image_set_identifier
00007ff8130393c4 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff81303336d (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff813033284 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff813032ff8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff813033e0d (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff81303388f (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff813033d71 (__TEXT,__text) non-external _yzip_jobs_process
00007ff813032f9c (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff813066c7d (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff813065a0d (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff81306591e (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff813065a74 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff81306648b (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff81301763c (__TEXT,__text) non-external (was a private external) _zError
00007ff8416d1ab0 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00007ff81300cb91 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff81301052a (__TEXT,__text) non-external (was a private external) _zcfree
00007ff813016b2f (__TEXT,__text) external _zero_coder_decode
00007ff813016c2d (__TEXT,__text) external _zero_coder_encode
00007ff813016d47 (__TEXT,__text) non-external _zero_coder_init_luts
00007ff843c96820 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff843c96920 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff843c97120 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff843c96810 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff813017631 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff81301293c (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff813013988 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff8130c7d90 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff8130c7d50 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff813017624 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff81304d857 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff81304d84c (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff813026dbb (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff813026db0 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff813046580 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff813046558 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff8130105b8 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff81304d9f0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff8130125d4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff81304d9fb (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff8130125d4 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff81300c745 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff81300d458 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff8130167fb (__TEXT,__text) non-external n_loop
00007ff813016aea (__TEXT,__text) non-external scalar_loop
00007ff8130167e0 (__TEXT,__text) non-external skip_loading_tables
00007ff843c95f50 (__DATA,__data) non-external sum2_coefficients
00007ff843c95f20 (__DATA,__data) non-external sum2_coefficients_nossse3
