00007ffc0e8ae3d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc40215730 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc402155c0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc40215750 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc40215250 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc40215320 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc40215fa0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc40215340 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc40215350 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc40215770 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffc40215fc0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc40215fe0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc402157e0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc402157b0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffc40216000 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffc40215370 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc402153a0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffc40216060 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc40216080 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc402160b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc402160e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc40216150 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc40216190 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc40216210 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc40216270 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc402162f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc40216320 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc40216370 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc40216030 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc402163a0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc40215800 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc402153d0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc40215820 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc402154a0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc402154c0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc40215570 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc402158a0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc40215850 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc402151a0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc0e8c5649 (__TEXT,__text) non-external __trace_bufferlen
00007ffc0e8c4e65 (__TEXT,__text) non-external __trace_c_type
00007ffc0e8c2338 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc0e8c2638 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc0e8c2376 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc0e8beb20 (__TEXT,__text) non-external __trace_connattr_type
00007ffc0e8c592c (__TEXT,__text) non-external __trace_connopt_type
00007ffc0e8c762c (__TEXT,__text) non-external __trace_connstr
00007ffc0e8c78bc (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc0e8c781b (__TEXT,__text) non-external __trace_connstr_w
00007ffc0e8c6988 (__TEXT,__text) non-external __trace_data
00007ffc0e8bedae (__TEXT,__text) non-external __trace_desc_null
00007ffc0e8c1cfc (__TEXT,__text) non-external __trace_descfield_type
00007ffc0e8c66cc (__TEXT,__text) non-external __trace_diag_type
00007ffc0e8c3b0d (__TEXT,__text) non-external __trace_direction
00007ffc0e8c76f9 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc0e8bf68e (__TEXT,__text) non-external __trace_envattr_type
00007ffc0e8bfd11 (__TEXT,__text) non-external __trace_fetchtype
00007ffc0e8c7d62 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc0e8c32e1 (__TEXT,__text) non-external __trace_func_name
00007ffc0e8c3240 (__TEXT,__text) non-external __trace_func_result
00007ffc0e8bff01 (__TEXT,__text) non-external __trace_getinfo
00007ffc0e8c49a7 (__TEXT,__text) non-external __trace_handle
00007ffc0e8c4942 (__TEXT,__text) non-external __trace_handle_p
00007ffc0e8c4904 (__TEXT,__text) non-external __trace_handletype
00007ffc0e8c5170 (__TEXT,__text) non-external __trace_inouttype
00007ffc0e8c4a19 (__TEXT,__text) non-external __trace_integer
00007ffc0e8c4b31 (__TEXT,__text) non-external __trace_integer_p
00007ffc0e8c4c0a (__TEXT,__text) non-external __trace_len
00007ffc0e8c4c44 (__TEXT,__text) non-external __trace_len_p
00007ffc0e8c4a52 (__TEXT,__text) non-external __trace_pointer
00007ffc0e8c4775 (__TEXT,__text) non-external __trace_print_function
00007ffc0e8bfdde (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc0e8bfbdf (__TEXT,__text) non-external __trace_setpos_irow
00007ffc0e8bfc39 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc0e8bfbfb (__TEXT,__text) non-external __trace_setpos_oper
00007ffc0e8c49e0 (__TEXT,__text) non-external __trace_smallint
00007ffc0e8c4a8a (__TEXT,__text) non-external __trace_smallint_p
00007ffc0e8bf8b8 (__TEXT,__text) non-external __trace_spcols_null
00007ffc0e8bf87a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc0e8bf839 (__TEXT,__text) non-external __trace_spcols_type
00007ffc0e8c5590 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc0e8c51ae (__TEXT,__text) non-external __trace_sql_type
00007ffc0e8c5384 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc0e8c7aa9 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc0e8c7a6a (__TEXT,__text) non-external __trace_stats_unique
00007ffc0e8c5c0c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc0e8c63c3 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc0e8c4cea (__TEXT,__text) non-external __trace_string
00007ffc0e8c4d93 (__TEXT,__text) non-external __trace_string_w
00007ffc0e8c4bd6 (__TEXT,__text) non-external __trace_stringlen
00007ffc402163c0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc0e8c7070 (__TEXT,__text) non-external __trace_tran_completion
00007ffc0e8c7310 (__TEXT,__text) non-external __trace_typeinfo
00007ffc0e8c4a36 (__TEXT,__text) non-external __trace_uinteger
00007ffc0e8c4b84 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc0e8c4c27 (__TEXT,__text) non-external __trace_ulen
00007ffc0e8c4c97 (__TEXT,__text) non-external __trace_ulen_p
00007ffc0e8c49fd (__TEXT,__text) non-external __trace_usmallint
00007ffc0e8c4ade (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc41285502 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc0e8c8ba7 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc0e8c90d2 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc0e8c8b41 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc0e8c8df3 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc0e8c8c11 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc0e8c92dc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc0e8c8cb7 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc0e8c8d5a (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc0e8c8da8 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc0e8ca888 (__TEXT,__text) non-external _do_create_dsns
00007ffc412854c0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc412854a0 (__DATA,__common) non-external _ierror
00007ffc0e8ca9b1 (__TEXT,__text) non-external _install_from_ini
00007ffc0e8caea4 (__TEXT,__text) non-external _install_from_string
00007ffc41284f00 (__DATA,__data) external _iodbc_version
00007ffc412853e0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc41285428 (__DATA,__data) non-external _numerrors
00007ffc41284f10 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc41285430 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc0e8cb049 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc402146e0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc41285470 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc0e8c16d5 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc0e8c5894 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc0e8c21bb (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc0e8c3a5d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc0e8c2120 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc0e8c2bb1 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc0e8c571c (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc0e8c57d8 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc0e8bf7dd (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc0e8c6915 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc0e8c3ae3 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc0e8c25a4 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc0e8c2988 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc0e8c2a1f (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc0e8c2ace (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc0e8c64ee (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc0e8c65dd (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc0e8c179c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc0e8c188b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc0e8c5f3a (__TEXT,__text) non-external _trace_SQLConnect
00007ffc0e8c5ffa (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc0e8bfcd8 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc0e8c3b6c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc0e8c3c51 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc0e8bee1f (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc0e8bef0b (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc0e8c6449 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc0e8c3ab9 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc0e8c7548 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc0e8c7737 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc0e8c2e12 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc0e8c2ef7 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc0e8c1690 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc0e8bf223 (__TEXT,__text) non-external _trace_SQLError
00007ffc0e8bf312 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc0e8c38ae (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc0e8c390c (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc0e8bf80f (__TEXT,__text) non-external _trace_SQLExecute
00007ffc0e8bfd53 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc0e8c3de9 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc0e8c58e1 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc0e8c60ba (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc0e8c61fe (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc0e8c6399 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc0e8bfbb5 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc0e8c165e (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc0e8c7d9d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc0e8bec98 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc0e8bed23 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc0e8c5aec (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc0e8c5b34 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc0e8c2225 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc0e8c22ad (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc0e8c6fa0 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc0e8c1ff0 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc0e8c2088 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc0e8beff7 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc0e8bf10d (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc0e8c67e0 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc0e8c6888 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc0e8bf4cf (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc0e8bf5ae (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc0e8bf6fb (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc0e8c3858 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc0e8bfe74 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc0e8c13ac (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc0e8c5e40 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc0e8c5ecb (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc0e8c6401 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc0e8c74e4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc0e8c7516 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc0e8c7046 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc0e8c1b59 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc0e8c1c2a (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc0e8c197a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc0e8c6342 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc0e8c2b7d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc0e8c1731 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc0e8c7dcf (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc0e8c7e2d (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc0e8c2fdc (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc0e8c30a0 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc0e8c1439 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc0e8c1528 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc0e8c2c8a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc0e8c2d4e (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc0e8c693f (__TEXT,__text) non-external _trace_SQLPutData
00007ffc0e8bf786 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc0e8c79c8 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc0e8c7a19 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc0e8c5b7c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc0e8c5bc4 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc0e8c3d2f (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc0e8c3d8c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc0e8bf401 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc0e8bf468 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc0e8c3164 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc0e8c396a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc0e8bfc77 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc0e8bfe20 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc0e8c39bb (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc0e8c3a0c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc0e8c1617 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc0e8bf8f7 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc0e8bfa56 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc0e8c7ae8 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc0e8c7c25 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc0e8c19d1 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc0e8c1a95 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc0e8c7130 (__TEXT,__text) non-external _trace_SQLTables
00007ffc0e8c721f (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc0e8c70b0 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc41285460 (__DATA,__bss) non-external _trace_appname
00007ffc0e8c4307 (__TEXT,__text) non-external _trace_emit
00007ffc0e8c45f8 (__TEXT,__text) non-external _trace_emit_binary
00007ffc0e8c43f8 (__TEXT,__text) non-external _trace_emit_string
00007ffc0e8c43d2 (__TEXT,__text) non-external _trace_emitc
00007ffc41285468 (__DATA,__bss) non-external _trace_fname
00007ffc41285480 (__DATA,__bss) non-external _trace_fp
00007ffc41285488 (__DATA,__bss) non-external _trace_fp_close
00007ffc0e8c3e44 (__TEXT,__text) non-external _trace_get_filename
00007ffc0e8c3e14 (__TEXT,__text) non-external _trace_set_appname
00007ffc0e8c3e55 (__TEXT,__text) non-external _trace_set_filename
00007ffc0e8c40d1 (__TEXT,__text) non-external _trace_start
00007ffc0e8c4267 (__TEXT,__text) non-external _trace_stop
00007ffc0e8c407e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc0e8c927c (__TEXT,__text) non-external _utf8_len
00007ffc0e8c935b (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc41285500 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
