00007ffd1b3df048 (__TEXT,__text) non-external _Done_iODBC
00007ffd425e05b0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd425dfd60 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffd425dfbf0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd425dfd80 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd425df880 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd425df950 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd425e05d0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd425df970 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd425df980 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd425dfda0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd425e05f0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd425e0610 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd425dfe10 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd425dfde0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd425e0630 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd425df9a0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd425df9d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd425e0690 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd425e06b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd425e06e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd425e0710 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd425e0780 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd425e07c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd425e0840 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd425e08a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd425e0920 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd425e0950 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd425e09a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd425e0660 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd425e09d0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd425dfe30 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd425dfa00 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd425dfe50 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd425dfad0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd425dfaf0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd425dfba0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd425dfed0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd425dfe80 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd425df7d0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd1b3f643d (__TEXT,__text) non-external __trace_bufferlen
00007ffd1b3f5c42 (__TEXT,__text) non-external __trace_c_type
00007ffd1b3f30ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffd1b3f33a8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd1b3f30e6 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd1b3ef8b0 (__TEXT,__text) non-external __trace_connattr_type
00007ffd1b3f6720 (__TEXT,__text) non-external __trace_connopt_type
00007ffd1b3f841c (__TEXT,__text) non-external __trace_connstr
00007ffd1b3f86b2 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd1b3f8611 (__TEXT,__text) non-external __trace_connstr_w
00007ffd1b3f777c (__TEXT,__text) non-external __trace_data
00007ffd1b3efb2c (__TEXT,__text) non-external __trace_desc_null
00007ffd1b3f2a70 (__TEXT,__text) non-external __trace_descfield_type
00007ffd1b3f74bc (__TEXT,__text) non-external __trace_diag_type
00007ffd1b3f4879 (__TEXT,__text) non-external __trace_direction
00007ffd1b3f84f3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd1b3f040d (__TEXT,__text) non-external __trace_envattr_type
00007ffd1b3f0a7a (__TEXT,__text) non-external __trace_fetchtype
00007ffd1b3f8b58 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd1b3f404d (__TEXT,__text) non-external __trace_func_name
00007ffd1b3f3fac (__TEXT,__text) non-external __trace_func_result
00007ffd1b3f0c65 (__TEXT,__text) non-external __trace_getinfo
00007ffd1b3f5766 (__TEXT,__text) non-external __trace_handle
00007ffd1b3f5701 (__TEXT,__text) non-external __trace_handle_p
00007ffd1b3f56c0 (__TEXT,__text) non-external __trace_handletype
00007ffd1b3f5f4c (__TEXT,__text) non-external __trace_inouttype
00007ffd1b3f57d8 (__TEXT,__text) non-external __trace_integer
00007ffd1b3f58f4 (__TEXT,__text) non-external __trace_integer_p
00007ffd1b3f59d1 (__TEXT,__text) non-external __trace_len
00007ffd1b3f5a0b (__TEXT,__text) non-external __trace_len_p
00007ffd1b3f5811 (__TEXT,__text) non-external __trace_pointer
00007ffd1b3f5531 (__TEXT,__text) non-external __trace_print_function
00007ffd1b3f0b46 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd1b3f0950 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd1b3f09a6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffd1b3f096c (__TEXT,__text) non-external __trace_setpos_oper
00007ffd1b3f579f (__TEXT,__text) non-external __trace_smallint
00007ffd1b3f5849 (__TEXT,__text) non-external __trace_smallint_p
00007ffd1b3f062e (__TEXT,__text) non-external __trace_spcols_null
00007ffd1b3f05f4 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd1b3f05b5 (__TEXT,__text) non-external __trace_spcols_type
00007ffd1b3f6380 (__TEXT,__text) non-external __trace_sql_subtype
00007ffd1b3f5f8d (__TEXT,__text) non-external __trace_sql_type
00007ffd1b3f615c (__TEXT,__text) non-external __trace_sql_type_p
00007ffd1b3f88a0 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd1b3f8862 (__TEXT,__text) non-external __trace_stats_unique
00007ffd1b3f6a00 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd1b3f71b4 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd1b3f5ab5 (__TEXT,__text) non-external __trace_string
00007ffd1b3f5b67 (__TEXT,__text) non-external __trace_string_w
00007ffd1b3f599d (__TEXT,__text) non-external __trace_stringlen
00007ffd425e09f0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd1b3f7e64 (__TEXT,__text) non-external __trace_tran_completion
00007ffd1b3f8104 (__TEXT,__text) non-external __trace_typeinfo
00007ffd1b3f57f5 (__TEXT,__text) non-external __trace_uinteger
00007ffd1b3f5949 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd1b3f59ee (__TEXT,__text) non-external __trace_ulen
00007ffd1b3f5a60 (__TEXT,__text) non-external __trace_ulen_p
00007ffd1b3f57bc (__TEXT,__text) non-external __trace_usmallint
00007ffd1b3f589f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd446a49b2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd1b3f99d2 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd1b3f9f0f (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd1b3f9962 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd1b3f9c30 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd1b3f9a46 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd1b3fa129 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd1b3f9aee (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd1b3f9b8b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd1b3f9bdf (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd1b3fb5e1 (__TEXT,__text) non-external _do_create_dsns
00007ffd446a4970 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd446a4950 (__DATA,__common) non-external _ierror
00007ffd1b3fb70a (__TEXT,__text) non-external _install_from_ini
00007ffd1b3fbc0f (__TEXT,__text) non-external _install_from_string
00007ffd446a43b0 (__DATA,__data) external _iodbc_version
00007ffd446a4890 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd446a48d8 (__DATA,__data) non-external _numerrors
00007ffd446a43c0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd446a48e0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd1b3fbdf4 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd425ded10 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd446a4920 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd1b3f2449 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd1b3f6688 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd1b3f2f2f (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd1b3f47c9 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd1b3f2e94 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd1b3f391d (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd1b3f6510 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd1b3f65cc (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd1b3f0559 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd1b3f7709 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd1b3f484f (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd1b3f3314 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd1b3f36f4 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd1b3f378b (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd1b3f383a (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd1b3f72db (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd1b3f73ca (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd1b3f2510 (__TEXT,__text) non-external _trace_SQLColumns
00007ffd1b3f25ff (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd1b3f6d2b (__TEXT,__text) non-external _trace_SQLConnect
00007ffd1b3f6deb (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd1b3f0a41 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd1b3f48d8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd1b3f49bd (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd1b3efb9e (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd1b3efc8a (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd1b3f7236 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd1b3f4825 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd1b3f8338 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd1b3f852d (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd1b3f3b7c (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd1b3f3c61 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd1b3f2404 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd1b3effa2 (__TEXT,__text) non-external _trace_SQLError
00007ffd1b3f0091 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd1b3f461a (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd1b3f4678 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd1b3f058b (__TEXT,__text) non-external _trace_SQLExecute
00007ffd1b3f0abb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd1b3f4b55 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd1b3f66d5 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd1b3f6eab (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd1b3f6fef (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd1b3f718a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd1b3f0926 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd1b3f23d2 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd1b3f8b92 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd1b3efa1c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd1b3efaa4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd1b3f68e0 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd1b3f6928 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd1b3f2f99 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd1b3f3021 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd1b3f7d94 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd1b3f2d64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd1b3f2dfc (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd1b3efd76 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd1b3efe8c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd1b3f75d4 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd1b3f767c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd1b3f024e (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd1b3f032d (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd1b3f047a (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd1b3f45c4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd1b3f0bd8 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd1b3f2120 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd1b3f6c34 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd1b3f6cbc (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd1b3f71ee (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd1b3f82d4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd1b3f8306 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd1b3f7e3a (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd1b3f28cd (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd1b3f299e (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd1b3f26ee (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd1b3f7133 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd1b3f38e9 (__TEXT,__text) non-external _trace_SQLParamData
00007ffd1b3f24a5 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd1b3f8bc4 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd1b3f8c22 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd1b3f3d46 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd1b3f3e0a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd1b3f21ad (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd1b3f229c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd1b3f39f4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd1b3f3ab8 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd1b3f7733 (__TEXT,__text) non-external _trace_SQLPutData
00007ffd1b3f0502 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd1b3f87c0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd1b3f8811 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd1b3f6970 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd1b3f69b8 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd1b3f4a9b (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd1b3f4af8 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd1b3f0180 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd1b3f01e7 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd1b3f3ece (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd1b3f46d6 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd1b3f09e0 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd1b3f0b87 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd1b3f4727 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd1b3f4778 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd1b3f238b (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd1b3f066c (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd1b3f07c9 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd1b3f88de (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd1b3f8a1b (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd1b3f2745 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd1b3f2809 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd1b3f7f24 (__TEXT,__text) non-external _trace_SQLTables
00007ffd1b3f8013 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd1b3f7ea4 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd446a4910 (__DATA,__bss) non-external _trace_appname
00007ffd1b3f508e (__TEXT,__text) non-external _trace_emit
00007ffd1b3f5397 (__TEXT,__text) non-external _trace_emit_binary
00007ffd1b3f517f (__TEXT,__text) non-external _trace_emit_string
00007ffd1b3f5159 (__TEXT,__text) non-external _trace_emitc
00007ffd446a4918 (__DATA,__bss) non-external _trace_fname
00007ffd446a4930 (__DATA,__bss) non-external _trace_fp
00007ffd446a4938 (__DATA,__bss) non-external _trace_fp_close
00007ffd1b3f4bb0 (__TEXT,__text) non-external _trace_get_filename
00007ffd1b3f4b80 (__TEXT,__text) non-external _trace_set_appname
00007ffd1b3f4bc1 (__TEXT,__text) non-external _trace_set_filename
00007ffd1b3f4e58 (__TEXT,__text) non-external _trace_start
00007ffd1b3f4fee (__TEXT,__text) non-external _trace_stop
00007ffd1b3f4e05 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd1b3fa0cb (__TEXT,__text) non-external _utf8_len
00007ffd1b3fa1a7 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd446a49b0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
