00007ff80b3bd7fc (__TEXT,__text) non-external _Annihilate
00007ff80b453e80 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80b3a710d (__TEXT,__text) non-external _longest_match
00007ff84231c040 (__DATA,__common) non-external (was a private external) _lut_ok
00007ff84231c050 (__DATA,__common) non-external (was a private external) _lut_quantize
00007ff80b45d860 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80b3ad3d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80b3acf80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80b3acda8 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80b3ae5b5 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80b3ae408 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80b3dd014 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80b3dd074 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80b3dd069 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80b3dd05e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80b3dd037 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80b3dc8cc (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80b3dc989 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80b3cca81 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80b3cc99a (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80b3d5cf5 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
00007ff80b3d5d44 (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
00007ff80b3d73ab (__TEXT,__text) non-external (was a private external) _lzbitmap_create_dictionary_and_token_map
00007ff80b3c8d00 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80b3d8f38 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80b3d7beb (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80b3d8f84 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80b3d784e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80b3d75ac (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_block
00007ff80b3d8f59 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80b3d7b0e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80b3d8f8f (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80b3d5e45 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80b3d1e98 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80b3d8edf (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80b3cbf90 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80b3d8f00 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80b3d8f2b (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80b3cb0d7 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80b3cb0f1 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser0
00007ff80b3cb58a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser1
00007ff80b3cba81 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser2
00007ff80b45e8a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80b3d5cd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_flags
00007ff80b3d72b0 (__TEXT,__text) non-external (was a private external) _lzbitmap_get_top_k
00007ff80b3d5d56 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_encode_state
00007ff80b3d727e (__TEXT,__text) non-external (was a private external) _lzbitmap_init_token_info
00007ff80b3d747d (__TEXT,__text) non-external (was a private external) _lzbitmap_output_masks_and_buffer_commands
00007ff80b3d74c0 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_nibbles
00007ff80b45e0a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80b3d5e8a (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l0
00007ff80b3d646e (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l1
00007ff80b3d6ad2 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l2
00007ff80b3d779f (__TEXT,__text) non-external (was a private external) _lzbitmap_process_block
00007ff80b3d5d0f (__TEXT,__text) non-external (was a private external) _lzbitmap_store
00007ff80b3d8f9c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80b45f8a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80b45d8a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80b4019f0 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80b3a9592 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80b3ad5a9 (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80b401652 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80b401a2f (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80b4014a5 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80b401512 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80b401de0 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80b4014ce (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80b4015d6 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80b401ad6 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80b3a92f6 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80b3a9223 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80b3d1e8b (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80b3f0298 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80b3f0201 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80b3f01f0 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80b3aab0b (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80b3cd888 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80b3cd6f6 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80b3cd87d (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80b3ae0d0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00007ff80b3ce5ab (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff84231ae20 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80b3aa82b (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80b3e0689 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80b3e063f (__TEXT,__text) non-external (was a private external) _lzfse_encode_lzvn_algo
00007ff80b3e0655 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80b424590 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80b4245b0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80b3aa744 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80b3cc36e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80b3cc364 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80b3cc33b (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80b3cc2fa (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80b3a91fb (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80b3a92d0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80b3d7a6c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80b3d7a64 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80b3d7acc (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80b3d7ac4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80b3a91d3 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80b4038e1 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80b462920 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80b3a9092 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80b3a9143 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80b3aa308 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff84231a430 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80b3d80fd (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80b3d8081 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80b3be0eb (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80b3be057 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80b3be04c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80b3c2984 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80b3c28af (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80b3c289e (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff84231b840 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80b3aabc0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80b3aabad (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80b3d8c4d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80b3d8c8b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80b3d8c33 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80b3d79e2 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80b3d7a5a (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80b3d7a50 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80b3d7a27 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80b3d7a05 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80b3d7994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80b3d79bc (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80b3dfd89 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80b3dfd28 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80b3fb57e (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80b3dfd33 (__TEXT,__text) non-external (was a private external) _lzx_e8_translation
00007ff80b3b6e02 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80b3b6883 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80b3b6a2f (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80b3b6b1d (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80b3d25e1 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80b458c70 (__TEXT,__const) non-external _position_slot_base_position
00007ff80b458bf0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80b3a8365 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80b3fcda7 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80b3ac508 (__TEXT,__text) non-external _readHuffmanTable
00007ff80b3d2530 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80b3a4c0f (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80b3a843b (__TEXT,__text) non-external _scan_tree
00007ff80b3a8525 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff84231b820 (__DATA,__data) non-external _static_bl_desc
00007ff84231b800 (__DATA,__data) non-external _static_d_desc
00007ff80b461120 (__TEXT,__const) non-external _static_dtree
00007ff84231b7e0 (__DATA,__data) non-external _static_l_desc
00007ff80b460ca0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff84231b740 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80b3bdd69 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80b3bdf94 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80b3bde97 (__TEXT,__text) non-external _thread_pool_entry
00007ff80b3bdbb9 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80b3bdcda (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
00007ff80b3d258d (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80b3f06df (__TEXT,__text) external _yzip_codec_create
00007ff80b3f0711 (__TEXT,__text) external _yzip_codec_destroy
00007ff80b3f0736 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80b3ce984 (__TEXT,__text) external _yzip_image_create
00007ff80b3ceacc (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80b3cee02 (__TEXT,__text) external _yzip_image_decode
00007ff80b3cebf6 (__TEXT,__text) external _yzip_image_destroy
00007ff80b3cec00 (__TEXT,__text) external _yzip_image_encode
00007ff80b3cef11 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80b3cefcf (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80b3cef7b (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80b3cf047 (__TEXT,__text) external _yzip_image_set_data
00007ff80b3cf493 (__TEXT,__text) external _yzip_image_set_identifier
00007ff80b3cf420 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80b3ca544 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80b3ca435 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80b3ca227 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80b3cb057 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80b3caa29 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80b3cafbb (__TEXT,__text) non-external _yzip_jobs_process
00007ff80b3ca1cb (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80b3fc7fe (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80b3fb82f (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80b3fc001 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80b3ae3ee (__TEXT,__text) non-external (was a private external) _zError
00007ff84231a3e0 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80b3a4f23 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80b3a8fe1 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80b3ae3e3 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80b3ab191 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80b3abac4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80b458a90 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80b458a50 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80b3dfb5b (__TEXT,__text) non-external (was a private external) _zlibDecodeStateInit
00007ff80b3ae3d6 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80b3dfb70 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80b3dfb50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80b3aaefc (__TEXT,__text) non-external (was a private external) _zlib_decode_stream_process
00007ff80b3be33c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80b3be331 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80b3a59e4 (__TEXT,__text) non-external (was a private external) _zlib_encode_stream_process
00007ff80b3d8ed9 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80b3d8eb1 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80b3a906f (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80b3dfd05 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80b3dfcfd (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80b3dfd10 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80b3dfcf5 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80b3a4b45 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80b3a59be (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80b3aedab (__TEXT,__text) non-external n_loop
00007ff80b3af09a (__TEXT,__text) non-external scalar_loop
00007ff80b3aed90 (__TEXT,__text) non-external skip_loading_tables
00007ff84231b790 (__DATA,__data) non-external sum2_coefficients
00007ff84231b760 (__DATA,__data) non-external sum2_coefficients_nossse3
