000000018b144510 (__TEXT,__text) non-external _Annihilate
000000018b15aa78 (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
000000018b15bea0 (__TEXT,__text) non-external (was a private external) _lzbitmap_create_dictionary_and_token_map
000000018b14eef8 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018b15d9f0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018b15c7a0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018b15da68 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018b15c388 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018b15c0b4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_block
000000018b15da2c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018b15c690 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018b15da70 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018b15ab74 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018b157610 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018b15d95c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018b151e28 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018b15d998 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018b15d9d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018b150f28 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018b150f48 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser0
000000018b1513c0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser1
000000018b1518f0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser2
000000018b1de300 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018b15a9dc (__TEXT,__text) non-external (was a private external) _lzbitmap_flags
000000018b15bd7c (__TEXT,__text) non-external (was a private external) _lzbitmap_get_top_k
000000018b15aa88 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_encode_state
000000018b15bd40 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_token_info
000000018b15bfa0 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_masks_and_buffer_commands
000000018b15bfd8 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_nibbles
000000018b1ddb00 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018b15abe0 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l0
000000018b15b120 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l1
000000018b15b68c (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l2
000000018b15c2bc (__TEXT,__text) non-external (was a private external) _lzbitmap_process_block
000000018b15aa24 (__TEXT,__text) non-external (was a private external) _lzbitmap_store
000000018b15da8c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018b1df300 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018b1dd300 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018b181b78 (__TEXT,__text) non-external _lzfseBackendMatch
000000018b133be8 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018b1379cc (__TEXT,__text) non-external _lzfseDecodeV1
000000018b18187c (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018b181bd8 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018b1816dc (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018b181734 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018b181f90 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018b181704 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018b1817fc (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018b181c88 (__TEXT,__text) non-external _lzfsePushMatch
000000018b133914 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018b13383c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018b157604 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018b17242c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018b172390 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018b17236c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018b134f3c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018b153a4c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018b15382c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018b153a44 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018b151fd0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018b14ec50 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018b154630 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001dab8aac8 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018b134c4c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018b164744 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018b1646f4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_lzvn_algo
000000018b164704 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018b1a4388 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018b1a43a8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018b134b68 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018b152578 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018b152574 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018b152548 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018b1524e4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018b133810 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018b1338f0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018b15c5dc (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018b15c5d4 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018b15c640 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018b15c638 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018b1337d8 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018b183ae8 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018b1e23b8 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018b133680 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018b133724 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018b134738 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001dab8a2c8 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018b15cd1c (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018b15ccbc (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018b14518c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018b1450e8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018b1450dc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018b148ee0 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018b148e08 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018b148de4 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018b135000 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018b134fe0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018b15d6fc (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018b15d744 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018b15d6e8 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018b15c534 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018b15c5d0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018b15c5cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018b15c5a0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018b15c564 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018b15c4e4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018b15c510 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018b163e3c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018b163dc8 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018b17c588 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018b163dd4 (__TEXT,__text) non-external (was a private external) _lzx_e8_translation
000000018b13ed0c (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018b13e72c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018b13e904 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018b13ea18 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018b157ce8 (__TEXT,__text) non-external (was a private external) _parse_size
000000018b1d8764 (__TEXT,__const) non-external _position_slot_base_position
000000018b1d86ec (__TEXT,__const) non-external _position_slot_extra_bits
000000018b13295c (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018b17dcd4 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018b136a80 (__TEXT,__text) non-external _readHuffmanTable
000000018b157c18 (__TEXT,__text) non-external (was a private external) _read_expected
000000018b12fef0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018b132a6c (__TEXT,__text) non-external _scan_tree
000000018b132b68 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat (from libSystem)
00000001d6795460 (__DATA,__data) non-external _static_bl_desc
00000001d6795440 (__DATA,__data) non-external _static_d_desc
000000018b1e0a88 (__TEXT,__const) non-external _static_dtree
00000001d6795420 (__DATA,__data) non-external _static_l_desc
000000018b1e0608 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d6795400 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018b144dec (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018b145018 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018b144f1c (__TEXT,__text) non-external _thread_pool_entry
000000018b144c3c (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018b144d44 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
000000018b157c80 (__TEXT,__text) non-external (was a private external) _write_expected
000000018b172890 (__TEXT,__text) external _yzip_codec_create
000000018b1728cc (__TEXT,__text) external _yzip_codec_destroy
000000018b172910 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018b154a04 (__TEXT,__text) external _yzip_image_create
000000018b154b88 (__TEXT,__text) external _yzip_image_create_with_payload
000000018b154ef0 (__TEXT,__text) external _yzip_image_decode
000000018b154cd4 (__TEXT,__text) external _yzip_image_destroy
000000018b154cd8 (__TEXT,__text) external _yzip_image_encode
000000018b15500c (__TEXT,__text) external _yzip_image_get_descriptor
000000018b1550c4 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018b155078 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018b155144 (__TEXT,__text) external _yzip_image_set_data
000000018b155288 (__TEXT,__text) external _yzip_image_set_identifier
000000018b155200 (__TEXT,__text) external _yzip_image_set_plane_data
000000018b1503a0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018b15028c (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018b150074 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018b150ea4 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018b150888 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018b150dc8 (__TEXT,__text) non-external _yzip_jobs_process
000000018b150004 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018b17d7cc (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018b17c8b0 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018b17cfbc (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018b1382f4 (__TEXT,__text) non-external (was a private external) _zError
00000001d20255a8 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018b13020c (__TEXT,__text) non-external (was a private external) _zcalloc
000000018b1335cc (__TEXT,__text) non-external (was a private external) _zcfree
000000018b1382ec (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018b13581c (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018b1360e0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018b1d859c (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018b1d8560 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018b163ba8 (__TEXT,__text) non-external (was a private external) _zlibDecodeStateInit
000000018b1382e0 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018b163bb8 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018b163b9c (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018b135560 (__TEXT,__text) non-external (was a private external) _zlib_decode_stream_process
000000018b1453e0 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018b1453d4 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018b130658 (__TEXT,__text) non-external (was a private external) _zlib_encode_stream_process
000000018b15d958 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018b15d92c (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018b133650 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018b163da0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018b163d98 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018b163dac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018b163d90 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018b12fe40 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018b130634 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018b183ac0 (__TEXT,__text) non-external vec_table
