00000001d9a48af8 (__DATA,__common) external _BC
00000001a58efe78 (__TEXT,__text) external _resizeterm
00000001a58e86fc (__TEXT,__text) external _restartterm
00000001a58e9a58 (__TEXT,__text) external _ripoffline
00000001a58ec244 (__TEXT,__text) external _savetty
00000001a58e8820 (__TEXT,__text) external _scanw
00000001a58e8c44 (__TEXT,__text) external _scr_dump
00000001a58e8cb0 (__TEXT,__text) external _scr_init
00000001a58e8bc0 (__TEXT,__text) external _scr_restore
00000001a58e8d5c (__TEXT,__text) external _scr_set
00000001a58f737c (__TEXT,__text) external _scrl
00000001a58f7390 (__TEXT,__text) external _scroll
00000001a58e909c (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
00000001a58d5804 (__TEXT,__text) external _set_curterm
00000001a58e2334 (__TEXT,__text) external _set_escdelay
00000001a58e9ab4 (__TEXT,__text) external _set_tabsize
00000001a58e90fc (__TEXT,__text) external _set_term
00000001a58e0564 (__TEXT,__text) external _setcchar
                 (undefined) external _setlocale (from libSystem)
00000001a58f7398 (__TEXT,__text) external _setscrreg
00000001a58e9ce8 (__TEXT,__text) external _setupterm
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _sigaction (from libSystem)
                 (undefined) external _sigprocmask (from libSystem)
                 (undefined) external _sleep (from libSystem)
00000001a58ea35c (__TEXT,__text) external _slk_attr
00000001a58f73b0 (__TEXT,__text) external _slk_attr_off
00000001a58f73c0 (__TEXT,__text) external _slk_attr_on
00000001a58ea1f0 (__TEXT,__text) external _slk_attr_set
00000001a58ea270 (__TEXT,__text) external _slk_attroff
00000001a58ea2c4 (__TEXT,__text) external _slk_attron
00000001a58ea320 (__TEXT,__text) external _slk_attrset
00000001a58ea384 (__TEXT,__text) external _slk_clear
00000001a58ea430 (__TEXT,__text) external _slk_color
00000001a58ea48c (__TEXT,__text) external _slk_init
00000001a58ea4d8 (__TEXT,__text) external _slk_label
00000001a58ea524 (__TEXT,__text) external _slk_noutrefresh
00000001a58ea828 (__TEXT,__text) external _slk_refresh
00000001a58ea0c0 (__TEXT,__text) external _slk_restore
00000001a58ea89c (__TEXT,__text) external _slk_set
00000001a58eabe0 (__TEXT,__text) external _slk_touch
00000001a58ea0e8 (__TEXT,__text) external _slk_wset
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
00000001a58f73ec (__TEXT,__text) external _standend
00000001a58f73d0 (__TEXT,__text) external _standout
00000001a58e0a40 (__TEXT,__text) external _start_color
                 (undefined) external _stat (from libSystem)
00000001d9a489b0 (__DATA,__common) external _stdscr
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
00000001d5a943a0 (__DATA_CONST,__const) external _strcodes
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
00000001d5a962e0 (__DATA_CONST,__const) external _strfnames
                 (undefined) external _strlen (from libSystem)
00000001d5a955e8 (__DATA_CONST,__const) external _strnames
                 (undefined) external _strncat (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtol (from libSystem)
00000001a58e7308 (__TEXT,__text) external _subpad
00000001a58e69dc (__TEXT,__text) external _subwin
00000001a58ed728 (__TEXT,__text) external _syncok
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcgetpgrp (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
00000001a58ec838 (__TEXT,__text) external _term_attrs
00000001a58ed088 (__TEXT,__text) external _termattrs
00000001a58eaea8 (__TEXT,__text) external _termname
00000001a58d4160 (__TEXT,__text) external _tgetent
00000001a58eac10 (__TEXT,__text) external _tgetflag
00000001a58eacbc (__TEXT,__text) external _tgetnum
00000001a58ead78 (__TEXT,__text) external _tgetstr
00000001a58eaec8 (__TEXT,__text) external _tgoto
00000001a58eb2ec (__TEXT,__text) external _tigetflag
00000001a58eb394 (__TEXT,__text) external _tigetnum
00000001a58eb44c (__TEXT,__text) external _tigetstr
00000001a58f7404 (__TEXT,__text) external _timeout
00000001a58f7418 (__TEXT,__text) external _touchline
00000001a58f7420 (__TEXT,__text) external _touchwin
00000001a58d5fb4 (__TEXT,__text) external _tparm
00000001a58eb940 (__TEXT,__text) external _tputs
00000001d9a489e0 (__DATA,__common) external _ttytype
00000001a58e6d34 (__TEXT,__text) external _typeahead
00000001a58f4408 (__TEXT,__text) external _unctrl
00000001a58ec670 (__TEXT,__text) external _unget_wch
00000001a58ec7f8 (__TEXT,__text) external _ungetch
00000001a58e3fa0 (__TEXT,__text) external _ungetmouse
00000001a58f7440 (__TEXT,__text) external _untouchwin
00000001a58e18e0 (__TEXT,__text) external _use_default_colors
00000001a58e9b04 (__TEXT,__text) external _use_env
00000001a58dd160 (__TEXT,__text) external _use_extended_names
00000001a58de2e0 (__TEXT,__text) external _use_legacy_coding
00000001a58f441c (__TEXT,__text) external _use_screen
00000001a58f4478 (__TEXT,__text) external _use_window
                 (undefined) external _vfprintf (from libSystem)
00000001a58ec81c (__TEXT,__text) external _vid_attr
00000001a58ec80c (__TEXT,__text) external _vid_puts
00000001a58ed05c (__TEXT,__text) external _vidattr
00000001a58ec8c0 (__TEXT,__text) external _vidputs
00000001a58f7460 (__TEXT,__text) external _vline
00000001a58f8734 (__TEXT,__text) external _vline_set
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external _vsscanf (from libSystem)
00000001a58f7478 (__TEXT,__text) external _vw_printw
00000001a58f747c (__TEXT,__text) external _vw_scanw
00000001a58e7940 (__TEXT,__text) external _vwprintw
00000001a58e879c (__TEXT,__text) external _vwscanw
00000001a58de55c (__TEXT,__text) external _wadd_wch
00000001a58df5c4 (__TEXT,__text) external _wadd_wchnstr
00000001a58f874c (__TEXT,__text) external _wadd_wchstr
00000001a58decbc (__TEXT,__text) external _waddch
00000001a58df4a8 (__TEXT,__text) external _waddchnstr
00000001a58f7480 (__TEXT,__text) external _waddchstr
00000001a58df404 (__TEXT,__text) external _waddnstr
00000001a58df96c (__TEXT,__text) external _waddnwstr
00000001a58f7488 (__TEXT,__text) external _waddstr
00000001a58f8754 (__TEXT,__text) external _waddwstr
00000001a58f74ac (__TEXT,__text) external _wattr_get
00000001a58ed4b4 (__TEXT,__text) external _wattr_off
00000001a58ed4e4 (__TEXT,__text) external _wattr_on
00000001a58f74cc (__TEXT,__text) external _wattr_set
00000001a58f7498 (__TEXT,__text) external _wattroff
00000001a58f7490 (__TEXT,__text) external _wattron
00000001a58f74a0 (__TEXT,__text) external _wattrset
00000001a58dfd5c (__TEXT,__text) external _wbkgd
00000001a58dfb20 (__TEXT,__text) external _wbkgdset
00000001a58dfb58 (__TEXT,__text) external _wbkgrnd
00000001a58dfa68 (__TEXT,__text) external _wbkgrndset
00000001a58dfd94 (__TEXT,__text) external _wborder
00000001a58e0170 (__TEXT,__text) external _wborder_set
00000001a58e0700 (__TEXT,__text) external _wchgat
00000001a58e07b8 (__TEXT,__text) external _wclear
00000001a58e0808 (__TEXT,__text) external _wclrtobot
00000001a58e08e8 (__TEXT,__text) external _wclrtoeol
00000001a58e1694 (__TEXT,__text) external _wcolor_set
                 (undefined) external _wcrtomb (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsrtombs (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external _wctob (from libSystem)
00000001a58ed808 (__TEXT,__text) external _wcursyncup
                 (undefined) external _wcwidth (from libSystem)
00000001a58e1740 (__TEXT,__text) external _wdelch
00000001a58f74e0 (__TEXT,__text) external _wdeleteln
00000001a58de66c (__TEXT,__text) external _wecho_wchar
00000001a58ded20 (__TEXT,__text) external _wechochar
00000001a58e42b8 (__TEXT,__text) external _wenclose
00000001a58e1a74 (__TEXT,__text) external _werase
00000001a58e1ca0 (__TEXT,__text) external _wget_wch
00000001a58f875c (__TEXT,__text) external _wget_wstr
00000001a58f8764 (__TEXT,__text) external _wgetbkgrnd
00000001a58e29f4 (__TEXT,__text) external _wgetch
00000001a58e1e18 (__TEXT,__text) external _wgetn_wstr
00000001a58e2a4c (__TEXT,__text) external _wgetnstr
00000001a58f75e0 (__TEXT,__text) external _wgetparent
00000001a58f7644 (__TEXT,__text) external _wgetscrreg
00000001a58f74e8 (__TEXT,__text) external _wgetstr
00000001a58e2eec (__TEXT,__text) external _whline
00000001a58e303c (__TEXT,__text) external _whline_set
00000001a58e317c (__TEXT,__text) external _win_wch
00000001a58e31c0 (__TEXT,__text) external _win_wchnstr
00000001a58f877c (__TEXT,__text) external _win_wchstr
00000001a58ed514 (__TEXT,__text) external _winch
00000001a58e326c (__TEXT,__text) external _winchnstr
00000001a58f74f0 (__TEXT,__text) external _winchstr
00000001a58e3ab0 (__TEXT,__text) external _winnstr
00000001a58e3c70 (__TEXT,__text) external _winnwstr
00000001a58e3534 (__TEXT,__text) external _wins_nwstr
00000001a58e33a4 (__TEXT,__text) external _wins_wch
00000001a58f8784 (__TEXT,__text) external _wins_wstr
00000001a58e394c (__TEXT,__text) external _winsch
00000001a58e399c (__TEXT,__text) external _winsdelln
00000001a58f74f8 (__TEXT,__text) external _winsertln
00000001a58e3a10 (__TEXT,__text) external _winsnstr
00000001a58f7500 (__TEXT,__text) external _winsstr
00000001a58f7508 (__TEXT,__text) external _winstr
00000001a58e3d40 (__TEXT,__text) external _winwstr
                 (undefined) external _wmemchr (from libSystem)
                 (undefined) external _wmemcpy (from libSystem)
00000001a58e4350 (__TEXT,__text) external _wmouse_trafo
00000001a58e4a44 (__TEXT,__text) external _wmove
00000001a58e8274 (__TEXT,__text) external _wnoutrefresh
00000001a58e799c (__TEXT,__text) external _wprintw
00000001a58e80bc (__TEXT,__text) external _wredrawln
00000001a58e81e0 (__TEXT,__text) external _wrefresh
00000001a58f46c4 (__TEXT,__text) external _wresize
                 (undefined) external _write (from libSystem)
00000001a58e885c (__TEXT,__text) external _wscanw
00000001a58e902c (__TEXT,__text) external _wscrl
00000001a58e90b8 (__TEXT,__text) external _wsetscrreg
00000001a58f7520 (__TEXT,__text) external _wstandend
00000001a58f7510 (__TEXT,__text) external _wstandout
00000001a58ed744 (__TEXT,__text) external _wsyncdown
00000001a58ed598 (__TEXT,__text) external _wsyncup
00000001a58e6b90 (__TEXT,__text) external _wtimeout
00000001a58eb580 (__TEXT,__text) external _wtouchln
00000001a58ed9b0 (__TEXT,__text) external _wunctrl
00000001a58ed140 (__TEXT,__text) external _wvline
00000001a58ed290 (__TEXT,__text) external _wvline_set
