
/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd (for architecture x86_64):
00000001002ed0f4 (__TEXT,__text) external _ADAMOSIdentifierCreate
                 (undefined) external _OBJC_CLASS_$_ORCHSchemaORCHServerFallbackContext (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_ORCHSchemaORCHServerFallbackInitiated (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_PBCodable (from ProtocolBuffer)
                 (undefined) external _OBJC_CLASS_$_PBRequest (from ProtocolBuffer)
                 (undefined) external _OBJC_CLASS_$_RPCompanionLinkClient (from Rapport)
                 (undefined) external _OBJC_CLASS_$_RPCompanionLinkDevice (from Rapport)
                 (undefined) external _OBJC_CLASS_$_SAABTestExperiment (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAICancelSession (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAIRequestSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAIRetrySearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAISearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAISearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAIStartSession (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAceDomainSignal (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAcknowledgeAlert (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAddResultObjects (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmAlarmShow (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmCreate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmCreateCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmDelete (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmDeleteCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmDismiss (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmSearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmSleepAlarm (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmSnooze (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmUpdate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAlarmUpdateCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsAppSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsAppSearchResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsCheckRestriction (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsGetRestrictedApps (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsGetRestrictedAppsResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAppsLaunchApp (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAssistantCreated (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAssistantDestroyed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAssistantLoaded (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAssistantNotFound (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAAssistantNotReady (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SABaseClientBoundCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SABaseCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFAbstractClientCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFFetchScriptCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFFlowCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFFlowCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFProvideContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFProviderCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACFSignal (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACalendarShowNextEvent (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACancelCrossDeviceRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACancelRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACancelSucceeded (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAClearContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAClientSetupInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACommandFailed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACommandIgnored (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACommandSucceeded (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAConfidenceScores (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAConnectionPolicy (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAContextPromise (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACreateSessionInfoRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SACreateSessionInfoResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADIAGLatencyDiagnosticReport (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADIAGLatencyDiagnosticReportDiagnosticReport (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADIAGSetLatencyDiagnosticConfiguration (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADSchemaSADAvailableAssetDailyStatus (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_SADSchemaSADClientEvent (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_SADSchemaSADTrialNamespaceStatus (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_SADSchemaSADTrialRollout (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_SADSchemaSADUODAssetsPrepared (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_SADataSourceInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADeleteAssistantHistory (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADestroyAssistant (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADeviceConfiguration (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADeviceMyriadConfiguration (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADialog (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCancel (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCancelCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCommit (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCommitCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCreate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectCreateCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectDelete (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectDeleteCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectRetrieve (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectRetrieveCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectUpdate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADomainObjectUpdateCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SADynamiteClientState (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAEmail (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAEmailSend (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAErrorIndicatorStatus (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAExecuteCallbacks (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAExecuteOnRemoteRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAExecuteOnRemoteResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAFetchLanguageSettings (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGenericCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetAssistantData (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetRequestOrigin (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetResultObjects (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetSessionCertificate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetSessionCertificateResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGetSupportedLocales (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAGuidanceCheckForGuideUpdates (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHACommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHACommandCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHACurrentHome (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHAEntity (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHLSetWorkoutState (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHLShowActivity (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHLStartWorkout (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHomeCommunicationAnnouncement (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHomeMemberInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAHomeMemberSettings (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAInitiateHandoffOnCompanion (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupHandleIntentCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupIntentSignal (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupRunSiriKitExecutor (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupRunSiriKitExecutorCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupSiriKitClearContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupSiriKitPluginSignal (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAIntentGroupSupportedIntentResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALCMShowChannel (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALoadAssistant (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchGetNavigationStatus (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchGetNavigationStatusCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchNavigationEnd (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchNavigationEndCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchNavigationPromptManeuver (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchNavigationPromptManeuverCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchShowLocalSearchResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchShowMapPoints (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALocalSearchShowMapPointsCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALogNumericEvent (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALogSignatureWithABC (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SALogStringEvent (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMPGetState (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMPGetStateResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMPMusicPlaybackImminent (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMPSetPlaybackPosition (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMediaContentRatingRestrictions (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMetrics (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAMultiUserInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPAddOutputDevicesToGroupResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPGetVolumeLevel (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPIncreasePlaybackSpeed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPMoveOutputGroupToDevicesResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPPausePlayback (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPRemoveOutputDevicesFromGroupResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSeekToPlaybackPosition (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSetPlaybackSpeed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSetRepeatMode (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSetShuffleMode (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSetVolumeLevel (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSkipTimeInterval (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSkipToNextItem (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPSkipToPreviousItem (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPStartPlayback (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANPStopPlayback (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANavStatus (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANodeIntent (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANotificationObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANotificationOnDeviceObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANotificationsSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SANotificationsSearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAOnDeviceNotificationsSearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPerformDataDetection (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPerformDataDetectionMatch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPerformDataDetectionResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPerformDataDetectionResults (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPerson (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPersonAttribute (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhone (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneCall (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneCallStarted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneCallState (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneHangUpResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneIncomingCallSearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneIncomingCallSearchResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneSearchCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPhoneVoiceMail (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPing (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPong (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPostCalendarActivityNotification (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPostPersonalDomainActivityNotification (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPostUpdatePersonalRequestSettingsNotification (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAPreSynthesizeTTS (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAQuickStop (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAQuickStopCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARDExecuteNLOnServer (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARDStartCorrectedServerRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARDStartServerRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARecordLocationActivity (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAReminderListObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAReminderObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARemoteDevice (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAReplayRequestFromDMHypothesis (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARequestCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARestartRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAResultCallback (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAResultSelected (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARollbackRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SARollbackSucceeded (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASAbortSpeechRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASCancelSpeech (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASClientBoundConfusionNetwork (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASConfirmEndpoint (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASEnableServerEndpointer (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASEndpointStatus (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASExtractSpeechData (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASExtractSpeechDataCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASFinishSpeech (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASMultilingualDictationLanguageSelected (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASMultilingualSpeechRecognized (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASPronunciationContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASPronunciationRecognized (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASRecordingInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASResultCandidate (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASServerBoundConfusionNetwork (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASServerEndpointFeatures (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSetAudioDuckingDelay (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechCorrectionStatistics (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechEndpointIdentified (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechFailure (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechPacket (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechPartialResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechRecognized (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSpeechServerEndpointIdentified (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartAsrOnServerRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartCorrectedSpeechRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartPronunciationRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartSpeech (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartSpeechDictation (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartSpeechRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartStructuredDictationSpeechRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASStartVoiceSearchRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASSuspendClientEndpointer (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASUpdateAudioInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASVoiceIdentificationSignal (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASVoiceSearchFinalResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASVoiceSearchPartialResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASWillStopRecording (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASendCommands (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASendInstrumentation (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASessionHandoffPayload (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASessionValidationFailed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetAlertContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetApplicationContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetAssistantData (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetBackgroundContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetClientData (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetConnectionHeader (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetDeviceTTSMuteState (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetHandoffPayload (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetHomeContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetNLAlertContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetRemoteDevices (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetRequestOrigin (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetRestrictedAppContext (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetRestrictions (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASetSupportedLocales (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingBooleanEntity (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetAirplaneMode (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetBool (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetBoolResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetNoiseManagementResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetValueResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingGetVoiceOver (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingNoiseManagementEntity (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingOpenAirplaneMode (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingOpenSettings (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingOpenVoiceOver (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingSetAirplaneMode (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingSetBool (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingSetBoolResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingSetValueResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingSetVoiceOver (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASettingShowAndPerformSettingsAction (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASmsDraftShow (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASmsSearch (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASmsSms (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartBackgroundActionRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartDirectActionRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartHandoffRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartLocalRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartMultiUserTestRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStartUIRequest (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStructuredDictationAddressResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStructuredDictationFailed (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStructuredDictationItem (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStructuredDictationPlaceResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAStructuredDictationResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncAnchor (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncAppIdentifyingInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncAppMetaData (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncChunk (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncChunkAccepted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncChunkDenied (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncClientVerify (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncClientVerifyResult (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncFinished (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncGetAnchors (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncGetAnchorsResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncGetCachedSyncAnchors (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncGetCachedSyncAnchorsResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncGroupChecksum (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncNamedAppIdentifyingInfo (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncServerVerify (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncServerVerifyResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncSetDeepSyncVerificationNeeded (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SASyncSyncPromise (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATTSGetSpeechSynthesisVolume (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATTSGetSpeechSynthesisVolumeResponse (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATTSSetSpeechSynthesisVolume (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATTSSpeechSynthesisStreamingChunk (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerCancel (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerCancelCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerDismiss (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerGet (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerGetCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerObject (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerPause (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerPauseCompleted (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerResume (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SATimerResumeCompleted (from SAObjects)
