0000000209d39a0c (__TEXT,__text) non-external _Done_iODBC
00000002146d1f28 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000002146d1440 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000002146d1048 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000002146d1460 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000002146d1110 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000002146d1130 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002146d11e0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002146d14e0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002146d1490 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000002146d0e48 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
0000000209d51534 (__TEXT,__text) non-external __trace_bufferlen
0000000209d50bf4 (__TEXT,__text) non-external __trace_c_type
0000000209d4d800 (__TEXT,__text) non-external __trace_colattr2_type
0000000209d4dbc0 (__TEXT,__text) non-external __trace_colattr3_data
0000000209d4d860 (__TEXT,__text) non-external __trace_colattr3_type
0000000209d497b8 (__TEXT,__text) non-external __trace_connattr_type
0000000209d518a8 (__TEXT,__text) non-external __trace_connopt_type
0000000209d53b50 (__TEXT,__text) non-external __trace_connstr
0000000209d53e80 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000209d53db8 (__TEXT,__text) non-external __trace_connstr_w
0000000209d52d40 (__TEXT,__text) non-external __trace_data
0000000209d49ac4 (__TEXT,__text) non-external __trace_desc_null
0000000209d4d094 (__TEXT,__text) non-external __trace_descfield_type
0000000209d529b0 (__TEXT,__text) non-external __trace_diag_type
0000000209d4f4e0 (__TEXT,__text) non-external __trace_direction
0000000209d53c50 (__TEXT,__text) non-external __trace_drvcn_completion
0000000209d4a520 (__TEXT,__text) non-external __trace_envattr_type
0000000209d4ade4 (__TEXT,__text) non-external __trace_fetchtype
0000000209d54454 (__TEXT,__text) non-external __trace_freestmt_option
0000000209d4eb0c (__TEXT,__text) non-external __trace_func_name
0000000209d4ea40 (__TEXT,__text) non-external __trace_func_result
0000000209d4b088 (__TEXT,__text) non-external __trace_getinfo
0000000209d5050c (__TEXT,__text) non-external __trace_handle
0000000209d50498 (__TEXT,__text) non-external __trace_handle_p
0000000209d50438 (__TEXT,__text) non-external __trace_handletype
0000000209d50f6c (__TEXT,__text) non-external __trace_inouttype
0000000209d505d0 (__TEXT,__text) non-external __trace_integer
0000000209d50770 (__TEXT,__text) non-external __trace_integer_p
0000000209d508a4 (__TEXT,__text) non-external __trace_len
0000000209d5090c (__TEXT,__text) non-external __trace_len_p
0000000209d50640 (__TEXT,__text) non-external __trace_pointer
0000000209d50240 (__TEXT,__text) non-external __trace_print_function
0000000209d4aef8 (__TEXT,__text) non-external __trace_scrollopt_type
0000000209d4ac04 (__TEXT,__text) non-external __trace_setpos_irow
0000000209d4ac9c (__TEXT,__text) non-external __trace_setpos_lock
0000000209d4ac3c (__TEXT,__text) non-external __trace_setpos_oper
0000000209d50560 (__TEXT,__text) non-external __trace_smallint
0000000209d50688 (__TEXT,__text) non-external __trace_smallint_p
0000000209d4a830 (__TEXT,__text) non-external __trace_spcols_null
0000000209d4a7d0 (__TEXT,__text) non-external __trace_spcols_scope
0000000209d4a76c (__TEXT,__text) non-external __trace_spcols_type
0000000209d51450 (__TEXT,__text) non-external __trace_sql_subtype
0000000209d50fcc (__TEXT,__text) non-external __trace_sql_type
0000000209d511f0 (__TEXT,__text) non-external __trace_sql_type_p
0000000209d54110 (__TEXT,__text) non-external __trace_stats_accuracy
0000000209d540ac (__TEXT,__text) non-external __trace_stats_unique
0000000209d51c74 (__TEXT,__text) non-external __trace_stmtattr_type
0000000209d525e8 (__TEXT,__text) non-external __trace_stmtopt_type
0000000209d509f4 (__TEXT,__text) non-external __trace_string
0000000209d50ad8 (__TEXT,__text) non-external __trace_string_w
0000000209d50858 (__TEXT,__text) non-external __trace_stringlen
00000002146d2028 (__DATA_CONST,__const) non-external __trace_sym_handletype
0000000209d53438 (__TEXT,__text) non-external __trace_tran_completion
0000000209d5377c (__TEXT,__text) non-external __trace_typeinfo
0000000209d50608 (__TEXT,__text) non-external __trace_uinteger
0000000209d507e4 (__TEXT,__text) non-external __trace_uinteger_p
0000000209d508d8 (__TEXT,__text) non-external __trace_ulen
0000000209d50980 (__TEXT,__text) non-external __trace_ulen_p
0000000209d50598 (__TEXT,__text) non-external __trace_usmallint
0000000209d506fc (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
0000000217af910a (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000209d553cc (__TEXT,__text) non-external _dm_SQL_A2W
0000000209d55908 (__TEXT,__text) non-external _dm_SQL_U8toW
0000000209d55350 (__TEXT,__text) non-external _dm_SQL_W2A
0000000209d55660 (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000209d55448 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000209d55b20 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
0000000209d554f8 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
0000000209d555a8 (__TEXT,__text) non-external _dm_strcpy_A2W
0000000209d55604 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000209d57090 (__TEXT,__text) non-external _do_create_dsns
0000000217af90c8 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
0000000217af90a8 (__DATA,__common) non-external _ierror
0000000209d571e4 (__TEXT,__text) non-external _install_from_ini
0000000209d576b0 (__TEXT,__text) non-external _install_from_string
0000000217af8b10 (__DATA,__data) external _iodbc_version
0000000217af8fe8 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000217af9030 (__DATA,__data) non-external _numerrors
0000000217af8b18 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000217af9038 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
0000000209d5785c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002146d02b8 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
0000000217af9078 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
0000000209d4c91c (__TEXT,__text) non-external _trace_SQLAllocConnect
0000000209d517d4 (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000209d4d618 (__TEXT,__text) non-external _trace_SQLAllocHandle
0000000209d4f3d4 (__TEXT,__text) non-external _trace_SQLAllocStmt
0000000209d4d560 (__TEXT,__text) non-external _trace_SQLBindCol
0000000209d4e278 (__TEXT,__text) non-external _trace_SQLBindParameter
0000000209d51614 (__TEXT,__text) non-external _trace_SQLBrowseConnect
0000000209d516f4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
0000000209d4a6d0 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000209d52c90 (__TEXT,__text) non-external _trace_SQLCancel
0000000209d4f498 (__TEXT,__text) non-external _trace_SQLCloseCursor
0000000209d4daf8 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000209d4dfb4 (__TEXT,__text) non-external _trace_SQLColAttributeW
0000000209d4e07c (__TEXT,__text) non-external _trace_SQLColAttributes
0000000209d4e150 (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000209d52778 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
0000000209d52894 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
0000000209d4ca24 (__TEXT,__text) non-external _trace_SQLColumns
0000000209d4cb40 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000209d52050 (__TEXT,__text) non-external _trace_SQLConnect
0000000209d5213c (__TEXT,__text) non-external _trace_SQLConnectW
0000000209d4ad8c (__TEXT,__text) non-external _trace_SQLCopyDesc
0000000209d4f56c (__TEXT,__text) non-external _trace_SQLDataSources
0000000209d4f674 (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000209d49b58 (__TEXT,__text) non-external _trace_SQLDescribeCol
0000000209d49c6c (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000209d526b0 (__TEXT,__text) non-external _trace_SQLDescribeParam
0000000209d4f450 (__TEXT,__text) non-external _trace_SQLDisconnect
0000000209d53a48 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000209d53cb0 (__TEXT,__text) non-external _trace_SQLDriverConnectW
0000000209d4e550 (__TEXT,__text) non-external _trace_SQLDrivers
0000000209d4e658 (__TEXT,__text) non-external _trace_SQLDriversW
0000000209d4c8b4 (__TEXT,__text) non-external _trace_SQLEndTran
0000000209d4a000 (__TEXT,__text) non-external _trace_SQLError
0000000209d4a108 (__TEXT,__text) non-external _trace_SQLErrorW
0000000209d4f170 (__TEXT,__text) non-external _trace_SQLExecDirect
0000000209d4f1f4 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000209d4a724 (__TEXT,__text) non-external _trace_SQLExecute
0000000209d4ae48 (__TEXT,__text) non-external _trace_SQLExtendedFetch
0000000209d4f884 (__TEXT,__text) non-external _trace_SQLFetch
0000000209d51840 (__TEXT,__text) non-external _trace_SQLFetchScroll
0000000209d52228 (__TEXT,__text) non-external _trace_SQLForeignKeys
0000000209d523a8 (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000209d525a0 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000209d4abbc (__TEXT,__text) non-external _trace_SQLFreeEnv
0000000209d4c860 (__TEXT,__text) non-external _trace_SQLFreeHandle
0000000209d544ac (__TEXT,__text) non-external _trace_SQLFreeStmt
0000000209d4996c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000209d49a18 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
0000000209d51ad4 (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000209d51b3c (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
0000000209d4d6a8 (__TEXT,__text) non-external _trace_SQLGetCursorName
0000000209d4d754 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
0000000209d53324 (__TEXT,__text) non-external _trace_SQLGetData
0000000209d4d3f0 (__TEXT,__text) non-external _trace_SQLGetDescField
0000000209d4d4a8 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000209d49d80 (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000209d49ec0 (__TEXT,__text) non-external _trace_SQLGetDescRecW
0000000209d52b14 (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000209d52be0 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000209d4a320 (__TEXT,__text) non-external _trace_SQLGetDiagRec
0000000209d4a420 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
0000000209d4a5ac (__TEXT,__text) non-external _trace_SQLGetEnvAttr
0000000209d4f0f8 (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000209d4afd0 (__TEXT,__text) non-external _trace_SQLGetInfo
0000000209d4c508 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000209d51f14 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000209d51fc0 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000209d52648 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000209d539a0 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
0000000209d539f4 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000209d533f0 (__TEXT,__text) non-external _trace_SQLMoreResults
0000000209d4ceac (__TEXT,__text) non-external _trace_SQLNativeSql
0000000209d4cfa0 (__TEXT,__text) non-external _trace_SQLNativeSqlW
0000000209d4cc5c (__TEXT,__text) non-external _trace_SQLNumParams
0000000209d52528 (__TEXT,__text) non-external _trace_SQLNumResultCols
0000000209d4e224 (__TEXT,__text) non-external _trace_SQLParamData
0000000209d4c998 (__TEXT,__text) non-external _trace_SQLParamOptions
0000000209d54500 (__TEXT,__text) non-external _trace_SQLPrepare
0000000209d54584 (__TEXT,__text) non-external _trace_SQLPrepareW
0000000209d4e760 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
0000000209d4e84c (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
0000000209d4c5c0 (__TEXT,__text) non-external _trace_SQLProcedureColumns
0000000209d4c6dc (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
0000000209d4e378 (__TEXT,__text) non-external _trace_SQLProcedures
0000000209d4e464 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000209d52cd8 (__TEXT,__text) non-external _trace_SQLPutData
0000000209d4a658 (__TEXT,__text) non-external _trace_SQLRowCount
0000000209d53fc4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000209d54038 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000209d51ba4 (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000209d51c0c (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
0000000209d4f77c (__TEXT,__text) non-external _trace_SQLSetCursorName
0000000209d4f800 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000209d4a210 (__TEXT,__text) non-external _trace_SQLSetDescField
0000000209d4a298 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
0000000209d4e938 (__TEXT,__text) non-external _trace_SQLSetDescRec
0000000209d4f278 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
0000000209d4acfc (__TEXT,__text) non-external _trace_SQLSetPos
0000000209d4af5c (__TEXT,__text) non-external _trace_SQLSetScrollOptions
0000000209d4f2ec (__TEXT,__text) non-external _trace_SQLSetStmtAttr
0000000209d4f360 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
0000000209d4c7f8 (__TEXT,__text) non-external _trace_SQLSetStmtOption
0000000209d4a894 (__TEXT,__text) non-external _trace_SQLSpecialColumns
0000000209d4aa28 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000209d54174 (__TEXT,__text) non-external _trace_SQLStatistics
0000000209d542e4 (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000209d4ccd4 (__TEXT,__text) non-external _trace_SQLTablePrivileges
0000000209d4cdc0 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
0000000209d53544 (__TEXT,__text) non-external _trace_SQLTables
0000000209d53660 (__TEXT,__text) non-external _trace_SQLTablesW
0000000209d5349c (__TEXT,__text) non-external _trace_SQLTransact
0000000217af9068 (__DATA,__bss) non-external _trace_appname
0000000209d4fe2c (__TEXT,__text) non-external _trace_emit
0000000209d500ac (__TEXT,__text) non-external _trace_emit_binary
0000000209d4fe94 (__TEXT,__text) non-external _trace_emit_string
0000000209d4fe78 (__TEXT,__text) non-external _trace_emitc
0000000217af9070 (__DATA,__bss) non-external _trace_fname
0000000217af9088 (__DATA,__bss) non-external _trace_fp
0000000217af9090 (__DATA,__bss) non-external _trace_fp_close
0000000209d4f908 (__TEXT,__text) non-external _trace_get_filename
0000000209d4f8cc (__TEXT,__text) non-external _trace_set_appname
0000000209d4f914 (__TEXT,__text) non-external _trace_set_filename
0000000209d4fbd4 (__TEXT,__text) non-external _trace_start
0000000209d4fd78 (__TEXT,__text) non-external _trace_stop
0000000209d4fb5c (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000209d55aa8 (__TEXT,__text) non-external _utf8_len
0000000209d55bc4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000217af9108 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
