00000001adc1be50 (__TEXT,__text) non-external +[Caller current]
00000001adc15794 (__TEXT,__text) non-external -[WatchMonitor unregisterObserver:]
00000001adc4ca04 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001adc4d144 (__TEXT,__gcc_except_tab) non-external GCC_except_table103
00000001adc4d154 (__TEXT,__gcc_except_tab) non-external GCC_except_table104
00000001adc4d164 (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001adc4d178 (__TEXT,__gcc_except_tab) non-external GCC_except_table108
00000001adc4d188 (__TEXT,__gcc_except_tab) non-external GCC_except_table109
00000001adc4c830 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001adc4d198 (__TEXT,__gcc_except_tab) non-external GCC_except_table111
00000001adc4d1a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table117
00000001adc4c6c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001adc4c798 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001adc4ca5c (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001adc4d1b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table143
00000001adc4d1c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table144
00000001adc4d1d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table145
00000001adc4d1e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table146
00000001adc4d1f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table147
00000001adc4d208 (__TEXT,__gcc_except_tab) non-external GCC_except_table148
00000001adc4ca90 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001adc4d218 (__TEXT,__gcc_except_tab) non-external GCC_except_table150
00000001adc4c850 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001adc4caf4 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001adc4c758 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001adc4cb28 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001adc4d228 (__TEXT,__gcc_except_tab) non-external GCC_except_table177
00000001adc4c6d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001adc4c7c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001adc4c870 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001adc4cb6c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001adc4cf14 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001adc4d238 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001adc4cfb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001adc4d25c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001adc4d288 (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001adc4cfe4 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001adc4d064 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001adc4d2c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001adc4c634 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001adc4c88c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001adc4d3c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001adc4d2fc (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001adc4d078 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001adc4d34c (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001adc4d0c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001adc4d0e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00000001adc4d378 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001adc4c784 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001adc4c8f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001adc4d400 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001adc4d388 (__TEXT,__gcc_except_tab) non-external GCC_except_table40
00000001adc4d39c (__TEXT,__gcc_except_tab) non-external GCC_except_table41
00000001adc4d448 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001adc4c7d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001adc4d470 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001adc4d3ac (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00000001adc4c968 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001adc4d108 (__TEXT,__gcc_except_tab) non-external GCC_except_table89
00000001adc4c700 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001adc4c9c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001adc4d11c (__TEXT,__gcc_except_tab) non-external GCC_except_table90
00000001adc4d130 (__TEXT,__gcc_except_tab) non-external GCC_except_table91
00000001adc221b8 (__TEXT,__text) external _ACMContextAddCredential
00000001adc3e120 (__TEXT,__text) external _ACMContextAddCredentialWithScope
00000001adc22458 (__TEXT,__text) external _ACMContextContainsCredentialType
00000001adc22538 (__TEXT,__text) external _ACMContextContainsCredentialTypeEx
00000001adc3eba8 (__TEXT,__text) external _ACMContextContainsPassphraseCredentialWithPurpose
00000001adc245a0 (__TEXT,__text) external _ACMContextCopyData
00000001adc2195c (__TEXT,__text) external _ACMContextCreate
00000001adc21ba8 (__TEXT,__text) external _ACMContextCreateWithExternalForm
00000001adc21964 (__TEXT,__text) external _ACMContextCreateWithFlags
00000001adc23d0c (__TEXT,__text) external _ACMContextCredentialGetProperty
00000001adc23d1c (__TEXT,__text) external _ACMContextCredentialGetPropertyEx
00000001adc21dd0 (__TEXT,__text) external _ACMContextDelete
00000001adc24278 (__TEXT,__text) external _ACMContextGetData
00000001adc3f368 (__TEXT,__text) external _ACMContextGetDataEx
00000001adc24408 (__TEXT,__text) external _ACMContextGetDataProperty
00000001adc22010 (__TEXT,__text) external _ACMContextGetExternalForm
00000001adc254f0 (__TEXT,__text) non-external _ACMContextGetExternalForm.cold.1
00000001adc24768 (__TEXT,__text) external _ACMContextGetInfo
00000001adc22e60 (__TEXT,__text) external _ACMContextGetTrackingNumber
00000001adc22298 (__TEXT,__text) external _ACMContextRemoveCredentialsByType
00000001adc3e2c0 (__TEXT,__text) external _ACMContextRemoveCredentialsByTypeAndScope
00000001adc22378 (__TEXT,__text) external _ACMContextRemoveCredentialsByValue
00000001adc3e46c (__TEXT,__text) external _ACMContextRemoveCredentialsByValueAndScope
00000001adc3e850 (__TEXT,__text) external _ACMContextRemovePassphraseCredentialsByPurposeAndScope
00000001adc3e9fc (__TEXT,__text) external _ACMContextReplacePassphraseCredentialsWithScope
00000001adc23f10 (__TEXT,__text) external _ACMContextSetData
00000001adc240b0 (__TEXT,__text) external _ACMContextSetDataEx
00000001adc22d94 (__TEXT,__text) external _ACMContextVerifyAclConstraint
00000001adc22df4 (__TEXT,__text) external _ACMContextVerifyAclConstraintForOperation
00000001adc226d8 (__TEXT,__text) external _ACMContextVerifyPolicy
00000001adc22a28 (__TEXT,__text) external _ACMContextVerifyPolicyEx
00000001adc22878 (__TEXT,__text) external _ACMContextVerifyPolicyWithPreflight
00000001adc23b78 (__TEXT,__text) external _ACMCredentialCreate
00000001adc23b7c (__TEXT,__text) external _ACMCredentialDelete
00000001adc3ed6c (__TEXT,__text) external _ACMCredentialGetProperty
00000001adc23270 (__TEXT,__text) external _ACMCredentialGetPropertyData
00000001adc23b80 (__TEXT,__text) external _ACMCredentialGetType
00000001adc23b84 (__TEXT,__text) external _ACMCredentialSetProperty
00000001adc24990 (__TEXT,__text) external _ACMDecryptData
00000001adc24a0c (__TEXT,__text) external _ACMDecryptDataEx
00000001adc24944 (__TEXT,__text) external _ACMEncryptData
00000001adc249dc (__TEXT,__text) external _ACMEncryptDataEx
00000001adc23278 (__TEXT,__text) external _ACMGetAclAuthMethod
00000001adc23774 (__TEXT,__text) external _ACMGetEnvironmentVariable
00000001adc3e60c (__TEXT,__text) external _ACMGlobalContextAddCredential
00000001adc23b94 (__TEXT,__text) external _ACMGlobalContextCredentialGetProperty
00000001adc3e734 (__TEXT,__text) external _ACMGlobalContextRemoveCredentialsByType
00000001adc22bcc (__TEXT,__text) external _ACMGlobalContextVerifyPolicy
00000001adc23918 (__TEXT,__text) external _ACMKernelControl
00000001adc22e6c (__TEXT,__text) external _ACMParseAclAndCopyConstraintCharacteristics
00000001adc24908 (__TEXT,__text) external _ACMPing
00000001adc23b90 (__TEXT,__text) external _ACMRequirementGetPriority
00000001adc3f130 (__TEXT,__text) external _ACMRequirementGetProperties
00000001adc3f020 (__TEXT,__text) external _ACMRequirementGetProperty
00000001adc23274 (__TEXT,__text) external _ACMRequirementGetPropertyData
00000001adc23b8c (__TEXT,__text) external _ACMRequirementGetState
00000001adc3ee7c (__TEXT,__text) external _ACMRequirementGetSubrequirements
00000001adc23b88 (__TEXT,__text) external _ACMRequirementGetType
00000001adc23ad4 (__TEXT,__text) external _ACMSEPControl
00000001adc23b24 (__TEXT,__text) external _ACMSEPControlEx
00000001adc233e8 (__TEXT,__text) external _ACMSetEnvironmentVariable
00000001adc235a0 (__TEXT,__text) external _ACMSetEnvironmentVariableWithAccessPolicy
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
00000001adc3adb0 (__TEXT,__text) external _CompareCredentials
00000001adc3ad1c (__TEXT,__text) external _CopyCredential
                 (undefined) weak external _DFRGetScreenSize (from DFRFoundation)
                 (undefined) weak external _DFRGetStatus (from DFRFoundation)
                 (undefined) weak external _DFRRegisterStatusChangeCallback (from DFRFoundation)
00000001adc459c0 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionNumber
00000001adc45980 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionString
00000001adc3b3a0 (__TEXT,__text) external _DeallocCredentialList
00000001adc1fad4 (__TEXT,__text) external _DeserializeAddCredential
00000001adc3b0a8 (__TEXT,__text) external _DeserializeAddCredentialType
00000001adc3ab68 (__TEXT,__text) external _DeserializeCredential
00000001adc3b28c (__TEXT,__text) external _DeserializeCredentialList
00000001adc3b48c (__TEXT,__text) external _DeserializeGetContextProperty
00000001adc1f75c (__TEXT,__text) external _DeserializeProcessAcl
00000001adc1fb94 (__TEXT,__text) external _DeserializeRemoveCredential
00000001adc1fb98 (__TEXT,__text) external _DeserializeReplacePassphraseCredential
00000001adc3a840 (__TEXT,__text) external _DeserializeRequirement
00000001adc1f440 (__TEXT,__text) external _DeserializeVerifyAclConstraint
00000001adc39fd0 (__TEXT,__text) external _DeserializeVerifyPolicy
00000001adc3af70 (__TEXT,__text) external _GetSerializedAddCredentialSize
00000001adc3aa80 (__TEXT,__text) external _GetSerializedCredentialSize
00000001adc3b434 (__TEXT,__text) external _GetSerializedGetContextPropertySize
00000001adc3a3b4 (__TEXT,__text) external _GetSerializedProcessAclSize
00000001adc3b128 (__TEXT,__text) external _GetSerializedRemoveCredentialSize
00000001adc3b17c (__TEXT,__text) external _GetSerializedReplacePassphraseCredentialSize
00000001adc3a5a4 (__TEXT,__text) external _GetSerializedRequirementSize
00000001adc3a178 (__TEXT,__text) external _GetSerializedVerifyAclConstraintSize
00000001adc39e38 (__TEXT,__text) external _GetSerializedVerifyPolicySize
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectCallStructMethod (from IOKit)
                 (undefined) external _IOHIDEventGetIntegerValue (from IOKit)
                 (undefined) external _IOHIDEventGetPhase (from IOKit)
                 (undefined) external _IOHIDEventGetType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientActivate (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCancel (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCreateWithType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientRegisterEventCallback (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetDispatchQueue (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetProperty (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterDeviceMatchingBlock (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterEventCallback (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
00000001adc140d0 (__TEXT,__text) external _LAAnalyticsAuthenticationTypeFromEvent
                 (undefined) external _LACEvaluationRequestPayloadKeySecureIntentRequested (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyAccessoryAuthorization (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyDeviceOwnerAuthentication (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAHPMode (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAccessoryUID (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionMatchForUnlock (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionNotInteractive (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionSecureUIRecording (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionUserId (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOslo (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOsloWithPIN (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyStockholm (from LocalAuthenticationCore)
                 (undefined) external _LALogForCategory (from SharedUtils)
                 (undefined) external _LALogForPolicy (from SharedUtils)
00000001adc122c8 (__TEXT,__text) non-external _LA_LOG
00000001adc13550 (__TEXT,__text) non-external _LA_LOG
00000001adc15e64 (__TEXT,__text) non-external _LA_LOG
00000001adc17540 (__TEXT,__text) non-external _LA_LOG
00000001adc188c8 (__TEXT,__text) non-external _LA_LOG
00000001adc1c8ac (__TEXT,__text) non-external _LA_LOG
00000001adc1de74 (__TEXT,__text) non-external _LA_LOG
00000001adc391f4 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc392f4 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc39558 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc39654 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc397bc (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc399d0 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001adc39ae0 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ed29a668 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a670 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a678 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a680 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a688 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a690 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a698 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a6a0 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a6a8 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed29a620 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a628 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a630 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a638 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a640 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a648 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a650 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a658 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed29a660 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eb17cf48 (__DATA,__bss) non-external _LA_LOG_Caller.log
00000001eb17cf40 (__DATA,__bss) non-external _LA_LOG_Caller.once
00000001adc1db6c (__TEXT,__text) non-external _LA_LOG_INTERACTIVE
00000001adc39a48 (__TEXT,__text) non-external _LA_LOG_INTERACTIVE.cold.1
00000001ed29a618 (__DATA_DIRTY,__bss) non-external _LA_LOG_INTERACTIVE.log
00000001ed29a610 (__DATA_DIRTY,__bss) non-external _LA_LOG_INTERACTIVE.once
00000001adc14c4c (__TEXT,__text) non-external _LA_LOG_MechanismWatchMonitor
00000001adc393d0 (__TEXT,__text) non-external _LA_LOG_MechanismWatchMonitor.cold.1
00000001ed29a608 (__DATA_DIRTY,__bss) non-external _LA_LOG_MechanismWatchMonitor.log
00000001ed29a600 (__DATA_DIRTY,__bss) non-external _LA_LOG_MechanismWatchMonitor.once
00000001eb17cf38 (__DATA,__bss) non-external _LA_LOG_Request.log
00000001eb17cf30 (__DATA,__bss) non-external _LA_LOG_Request.once
00000001adc3faa8 (__TEXT,__text) external _LibCall_ACMContexAddCredentialWithScope
00000001adc3fd7c (__TEXT,__text) external _LibCall_ACMContexRemoveCredentialsByTypeAndScope
00000001adc3fbfc (__TEXT,__text) external _LibCall_ACMContextContainsCredentialTypeEx
00000001adc422e0 (__TEXT,__text) external _LibCall_ACMContextCopyData
00000001adc3f700 (__TEXT,__text) external _LibCall_ACMContextCreate
00000001adc3f8d8 (__TEXT,__text) external _LibCall_ACMContextCreateWithExternalForm
00000001adc412ac (__TEXT,__text) external _LibCall_ACMContextCredentialGetProperty
00000001adc2558c (__TEXT,__text) external _LibCall_ACMContextDelete
00000001adc42150 (__TEXT,__text) external _LibCall_ACMContextGetData
00000001adc42528 (__TEXT,__text) external _LibCall_ACMContextGetInfo
00000001adc41c30 (__TEXT,__text) external _LibCall_ACMContextLoadFromImage
00000001adc3fe90 (__TEXT,__text) external _LibCall_ACMContextRemoveCredentialsByValueAndScope
00000001adc41fa4 (__TEXT,__text) external _LibCall_ACMContextSetData
00000001adc41e04 (__TEXT,__text) external _LibCall_ACMContextUnloadToImage
00000001adc3cf4c (__TEXT,__text) external _LibCall_ACMContextUnloadToImage_Block
00000001adc2137c (__TEXT,__text) external _LibCall_ACMContextVerifyAclConstraint
00000001adc21538 (__TEXT,__text) external _LibCall_ACMContextVerifyAclConstraintForOperation
00000001adc3ffe4 (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyAndCopyRequirementEx
00000001adc415b4 (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyEx
00000001adc3cb5c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyEx_Block
00000001adc3ca2c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicyWithPreflight_Block
00000001adc2109c (__TEXT,__text) external _LibCall_ACMContextVerifyPolicy_Block
00000001adc25898 (__TEXT,__text) external _LibCall_ACMCredentialCreate
00000001adc40340 (__TEXT,__text) external _LibCall_ACMCredentialDelete
00000001adc40798 (__TEXT,__text) external _LibCall_ACMCredentialGetPropertyData
00000001adc4034c (__TEXT,__text) external _LibCall_ACMCredentialGetType
00000001adc40358 (__TEXT,__text) external _LibCall_ACMCredentialSetProperty
00000001adc211e0 (__TEXT,__text) external _LibCall_ACMGetAclAuthMethod_Block
00000001adc41828 (__TEXT,__text) external _LibCall_ACMGetEnvironmentVariable
00000001adc3cc78 (__TEXT,__text) external _LibCall_ACMGetEnvironmentVariable_Block
00000001adc4149c (__TEXT,__text) external _LibCall_ACMGlobalContextCredentialGetProperty
00000001adc3c8cc (__TEXT,__text) external _LibCall_ACMGlobalContextCredentialGetProperty_Block
00000001adc41738 (__TEXT,__text) external _LibCall_ACMGlobalContextVerifyPolicyEx
00000001adc210a8 (__TEXT,__text) external _LibCall_ACMGlobalContextVerifyPolicy_Block
00000001adc41200 (__TEXT,__text) external _LibCall_ACMKernDoubleClickNotify
00000001adc256ac (__TEXT,__text) external _LibCall_ACMKernelControl
00000001adc26498 (__TEXT,__text) non-external _LibCall_ACMKernelControl.cold.1
00000001adc20db4 (__TEXT,__text) external _LibCall_ACMKernelControl_Block
00000001adc41130 (__TEXT,__text) external _LibCall_ACMPing
00000001adc423d8 (__TEXT,__text) external _LibCall_ACMPublishTrustedAccessories
00000001adc40298 (__TEXT,__text) external _LibCall_ACMRequirementDelete
00000001adc40db0 (__TEXT,__text) external _LibCall_ACMRequirementGetPriority
00000001adc40dbc (__TEXT,__text) external _LibCall_ACMRequirementGetPropertyData
00000001adc40da4 (__TEXT,__text) external _LibCall_ACMRequirementGetState
00000001adc40d98 (__TEXT,__text) external _LibCall_ACMRequirementGetType
00000001adc42f64 (__TEXT,__text) external _LibCall_ACMSEPControl
00000001adc20f28 (__TEXT,__text) external _LibCall_ACMSEPControl_Block
00000001adc40bfc (__TEXT,__text) external _LibCall_ACMSecContextCopyCredentialsArrayEx
00000001adc42d8c (__TEXT,__text) external _LibCall_ACMSecContextGetUnlockSecret
00000001adc258ac (__TEXT,__text) external _LibCall_ACMSecContextProcessAcl
00000001adc42908 (__TEXT,__text) external _LibCall_ACMSecContextProcessAclAndCopyAuthMethod
00000001adc42960 (__TEXT,__text) external _LibCall_ACMSecContextVerifyAclConstraintAndCopyRequirement
00000001adc41674 (__TEXT,__text) external _LibCall_ACMSecContextVerifyPolicyAndCopyRequirementEx
00000001adc42a68 (__TEXT,__text) external _LibCall_ACMSecCredentialProviderEnrollmentStateChangedForUser
00000001adc2589c (__TEXT,__text) external _LibCall_ACMSecCredentialsArrayDelete
00000001adc42c98 (__TEXT,__text) external _LibCall_ACMSecSetBiometryAvailability
00000001adc42bf8 (__TEXT,__text) external _LibCall_ACMSecSetBuiltinBiometry
00000001adc418ec (__TEXT,__text) external _LibCall_ACMSetEnvironmentVariable
00000001adc41a90 (__TEXT,__text) external _LibCall_ACMTRMLoadState
00000001adc3ce24 (__TEXT,__text) external _LibCall_ACMTRMLoadState_Block
00000001adc41b48 (__TEXT,__text) external _LibCall_ACMTRMSaveState
00000001adc3f5d4 (__TEXT,__text) external _LibCall_BuildCommand
00000001adc3c0d4 (__TEXT,__text) external _LibSer_ACMDeserializeEnvironmentVariableType
00000001adc3c160 (__TEXT,__text) external _LibSer_ACMDeserializeSEPControlCode
00000001adc3b6ac (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_Deserialize
00000001adc3b5cc (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_GetSize
00000001adc3b618 (__TEXT,__text) external _LibSer_ContextCredentialGetPropertyEx_Serialize
00000001adc3b58c (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_Deserialize
00000001adc3b544 (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_GetSize
00000001adc3b554 (__TEXT,__text) external _LibSer_ContextCredentialGetProperty_Serialize
00000001adc3b8c8 (__TEXT,__text) external _LibSer_DeleteContext_Deserialize
00000001adc3b878 (__TEXT,__text) external _LibSer_DeleteContext_GetSize
00000001adc3b890 (__TEXT,__text) external _LibSer_DeleteContext_Serialize
00000001adc3b51c (__TEXT,__text) external _LibSer_GetAclAuthMethod_Deserialize
00000001adc3b4cc (__TEXT,__text) external _LibSer_GetAclAuthMethod_GetSize
00000001adc3b4e4 (__TEXT,__text) external _LibSer_GetAclAuthMethod_Serialize
00000001adc3b0d0 (__TEXT,__text) external _LibSer_GetSerializedContainsCredential_GetSize
00000001adc3b0f0 (__TEXT,__text) external _LibSer_GetSerializedContainsCredential_Serialize
00000001adc3be04 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_Deserialize
00000001adc3bd78 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_GetSize
00000001adc3bd94 (__TEXT,__text) external _LibSer_GetUnlockSecretResponse_Serialize
00000001adc3bd14 (__TEXT,__text) external _LibSer_GetUnlockSecret_Deserialize
00000001adc3bc28 (__TEXT,__text) external _LibSer_GetUnlockSecret_GetSize
00000001adc3bc78 (__TEXT,__text) external _LibSer_GetUnlockSecret_Serialize
00000001adc3b7bc (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_Deserialize
00000001adc3b76c (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_GetSize
00000001adc3b78c (__TEXT,__text) external _LibSer_GlobalContextCredentialGetProperty_Serialize
00000001adc3b838 (__TEXT,__text) external _LibSer_RemoveCredentialByType_Deserialize
00000001adc3b7f0 (__TEXT,__text) external _LibSer_RemoveCredentialByType_GetSize
00000001adc3b800 (__TEXT,__text) external _LibSer_RemoveCredentialByType_Serialize
00000001adc3c094 (__TEXT,__text) external _LibSer_SEPControlResponse_Deserialize
00000001adc3c004 (__TEXT,__text) external _LibSer_SEPControlResponse_GetSize
00000001adc3c020 (__TEXT,__text) external _LibSer_SEPControlResponse_Serialize
00000001adc3bf68 (__TEXT,__text) external _LibSer_SEPControl_Deserialize
00000001adc3be3c (__TEXT,__text) external _LibSer_SEPControl_GetSize
00000001adc3be88 (__TEXT,__text) external _LibSer_SEPControl_Serialize
00000001adc3b8f0 (__TEXT,__text) external _LibSer_StorageAnyCmd_DeserializeCommonFields
00000001adc3bbb8 (__TEXT,__text) external _LibSer_StorageGetData_Deserialize
00000001adc3bacc (__TEXT,__text) external _LibSer_StorageGetData_GetSize
00000001adc3bb1c (__TEXT,__text) external _LibSer_StorageGetData_Serialize
00000001adc3ba2c (__TEXT,__text) external _LibSer_StorageSetData_Deserialize
00000001adc3b924 (__TEXT,__text) external _LibSer_StorageSetData_GetSize
00000001adc3b970 (__TEXT,__text) external _LibSer_StorageSetData_Serialize
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
                 (undefined) external _MGIsQuestionValid (from libMobileGestalt)
                 (undefined) weak external _MKBGetDeviceLockState (from MobileKeyBag)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSStringFromClass (from Foundation)
00000001ed29a258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BiometryHelper
00000001ed29a4b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BiometryLockoutInvalidationSource
                 (undefined) weak external _OBJC_CLASS_$_BridgeXPCConnection (from BridgeXPC)
                 (undefined) weak external _OBJC_CLASS_$_BridgeXPCListener (from BridgeXPC)
                 (undefined) weak external _OBJC_CLASS_$_BrightnessSystemClient (from CoreBrightness)
00000001ed29a230 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_Caller
                 (undefined) weak external _OBJC_CLASS_$_CoreKDL (from CoreKDL)
00000001ed29a208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DaemonUtils
00000001ed29a410 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DarwinNotificationInvalidationSource
00000001ed29a500 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_DomainStateRequest
00000001ed29a1e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_EvaluationRequest
00000001ed29a370 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_InstalledAppsCache
00000001ed29a1b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_LAAnalytics
00000001ed29a190 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_LAAnalyticsEvaluation
00000001ed29a280 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_LAAnalyticsPasscodeFallbackPeriod
                 (undefined) external _OBJC_CLASS_$_LACAnalyticsData (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACAuditToken (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACBiometryHelper (from LocalAuthenticationCore)
