                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d7d1fd28 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018a506638 (__TEXT,__text) external __container_references_get_servicing_pid
000000018a504494 (__TEXT,__text) non-external __container_references_log_if_error
000000018a505a74 (__TEXT,__text) non-external __container_references_query_execute
000000018a504430 (__TEXT,__text) non-external __container_references_replace_error
000000018a501b0c (__TEXT,__text) non-external __container_serialize_copy_deserialized_reference_v1
00000001d66f2ba0 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.onceToken
00000001d66f2b98 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.queue
00000001d66f2bb8 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.key
00000001d66f2bc0 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.onceToken
00000001d66f2bb0 (__DATA,__bss) non-external __incomingPreprocessor
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_feature_enabled_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_disabled (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
                 (undefined) external __os_signpost_emit_with_name_impl (from libsystem_trace)
00000001d66f2ba8 (__DATA,__bss) non-external __outgoingPostprocessor
00000001d66f2b10 (__DATA,__data) non-external __outgoingSender
                 (undefined) external __xpc_error_connection_interrupted (from libxpc)
                 (undefined) external __xpc_error_connection_invalid (from libxpc)
                 (undefined) external __xpc_error_termination_imminent (from libxpc)
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_error (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
                 (undefined) external _acl_add_perm (from libsystem_c)
                 (undefined) external _acl_create_entry (from libsystem_c)
                 (undefined) external _acl_free (from libsystem_c)
                 (undefined) external _acl_get_flagset_np (from libsystem_c)
                 (undefined) external _acl_get_permset (from libsystem_c)
                 (undefined) external _acl_init (from libsystem_c)
                 (undefined) external _acl_set_flagset_np (from libsystem_c)
                 (undefined) external _acl_set_permset (from libsystem_c)
                 (undefined) external _acl_set_qualifier (from libsystem_c)
                 (undefined) external _acl_set_tag_type (from libsystem_c)
                 (undefined) external _acl_to_text (from libsystem_c)
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _bzero (from libsystem_c)
000000018a4fb41c (__TEXT,__text) non-external _c_array_append
000000018a4fb508 (__TEXT,__text) non-external _c_array_deinit
                 (undefined) external _calloc (from libsystem_malloc)
                 (undefined) external _close (from libsystem_kernel)
                 (undefined) external _closedir (from libsystem_c)
000000018a51ae58 (__TEXT,__text) external _container_acquire_sandbox_extension
000000018a502dc4 (__TEXT,__text) external _container_audit_token_copy_codesign_hash
000000018a502d54 (__TEXT,__text) external _container_audit_token_copy_codesign_identifier
000000018a502f54 (__TEXT,__text) external _container_audit_token_copy_entitlement
000000018a502dfc (__TEXT,__text) external _container_audit_token_copy_executable_name
000000018a503158 (__TEXT,__text) external _container_audit_token_for_pid
000000018a502d90 (__TEXT,__text) external _container_audit_token_get_codesign_status
000000018a503150 (__TEXT,__text) external _container_audit_token_get_egid
000000018a503148 (__TEXT,__text) external _container_audit_token_get_euid
000000018a502d88 (__TEXT,__text) external _container_audit_token_get_pid
000000018a503028 (__TEXT,__text) external _container_audit_token_get_platform
000000018a503364 (__TEXT,__text) external _container_audit_token_is_valid
000000018a50fb60 (__TEXT,__text) external _container_base64_decode
000000018a50fd5c (__TEXT,__text) external _container_base64_decode_string
000000018a50f970 (__TEXT,__text) external _container_base64_encode
000000018a50fb1c (__TEXT,__text) external _container_base64_encode_string
000000018a5145a4 (__TEXT,__text) external _container_bundle_copy_data_container
000000018a513bc8 (__TEXT,__text) external _container_bundle_copy_data_container_path
000000018a507c08 (__TEXT,__text) external _container_class_for_each_normalized_class
000000018a507b54 (__TEXT,__text) external _container_class_normalized
000000018a507bf0 (__TEXT,__text) external _container_class_supports_data_subdirectory
000000018a507b00 (__TEXT,__text) external _container_class_supports_randomized_path
000000018a507b78 (__TEXT,__text) external _container_class_supports_randomized_path_on_current_platform
000000018a4fcfd4 (__TEXT,__text) external _container_client_copy_decoded_from_xpc_object
000000018a4fcdbc (__TEXT,__text) external _container_client_copy_encoded_xpc_object
000000018a4fd484 (__TEXT,__text) external _container_client_copy_entitlement
000000018a4fda94 (__TEXT,__text) external _container_client_create_from_audit_token
000000018a4fd7ec (__TEXT,__text) external _container_client_get_audit_token
000000018a4fd3e0 (__TEXT,__text) external _container_client_get_codesign_identifier
000000018a4fd74c (__TEXT,__text) external _container_client_get_egid
000000018a4fd6ac (__TEXT,__text) external _container_client_get_euid
000000018a4fd60c (__TEXT,__text) external _container_client_get_persona_unique_string
000000018a4fd898 (__TEXT,__text) external _container_client_get_pid
000000018a4fd56c (__TEXT,__text) external _container_client_get_platform
000000018a4fcb70 (__TEXT,__text) external _container_client_initializer
000000018a4fda4c (__TEXT,__text) external _container_client_is_alive
000000018a4fda38 (__TEXT,__text) external _container_client_is_platform_binary
000000018a4fd938 (__TEXT,__text) external _container_client_is_sandboxed
000000018a4fda24 (__TEXT,__text) external _container_client_is_signature_valid
000000018a4fda10 (__TEXT,__text) external _container_client_is_signed
000000018a4fd9fc (__TEXT,__text) external _container_client_is_test_client
000000018a4fc9e0 (__TEXT,__text) external _container_codesign_copy_cdhash
000000018a4fc888 (__TEXT,__text) external _container_codesign_copy_cs_identity
000000018a4fca80 (__TEXT,__text) external _container_codesign_copy_current_identifier
000000018a4fc7c4 (__TEXT,__text) external _container_codesign_get_self_audit_token
000000018a4fcacc (__TEXT,__text) external _container_codesign_get_status
000000018a4fde64 (__TEXT,__text) external _container_copy_client
000000018a51887c (__TEXT,__text) external _container_copy_code_signing_info_for_identifier
000000018a51ab64 (__TEXT,__text) external _container_copy_from_path
000000018a50ce38 (__TEXT,__text) external _container_copy_info
000000018a517564 (__TEXT,__text) external _container_copy_info_value_for_key
000000018a50d5d8 (__TEXT,__text) external _container_copy_object
000000018a50cb24 (__TEXT,__text) external _container_copy_path
000000018a51a46c (__TEXT,__text) external _container_copy_persona_unique_strings
000000018a50d464 (__TEXT,__text) external _container_copy_sandbox_token
000000018a50d760 (__TEXT,__text) external _container_copy_unlocalized_description
000000018a50d8b4 (__TEXT,__text) external _container_create_merged_array
000000018a514790 (__TEXT,__text) external _container_create_or_lookup
000000018a51b178 (__TEXT,__text) external _container_create_or_lookup_app_group_path_by_app_group_identifier
000000018a5157e8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths
000000018a5157f4 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_current_user
000000018a515914 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_platform
000000018a515bc8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements
000000018a515bd8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements_4ls
000000018a5147ac (__TEXT,__text) external _container_create_or_lookup_for_current_user
000000018a514904 (__TEXT,__text) external _container_create_or_lookup_for_platform
000000018a515bc0 (__TEXT,__text) external _container_create_or_lookup_group_container_paths_for_current_user
000000018a51311c (__TEXT,__text) external _container_create_or_lookup_path
000000018a513270 (__TEXT,__text) external _container_create_or_lookup_path_for_current_user
000000018a5133c8 (__TEXT,__text) external _container_create_or_lookup_path_for_platform
000000018a514ef0 (__TEXT,__text) external _container_create_or_lookup_system_group_paths
000000018a519afc (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_path
000000018a519c94 (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_relative_path
000000018a516f2c (__TEXT,__text) external _container_delete
000000018a518600 (__TEXT,__text) external _container_delete_all_container_content
000000018a51840c (__TEXT,__text) external _container_delete_all_data_container_content
000000018a518414 (__TEXT,__text) external _container_delete_all_data_container_content_for_current_user
000000018a5170f4 (__TEXT,__text) external _container_delete_array_of_containers
000000018a519e2c (__TEXT,__text) external _container_delete_user_managed_assets
000000018a516c58 (__TEXT,__text) external _container_delete_with_class_and_identifier_for_current_user
000000018a516c44 (__TEXT,__text) external _container_delete_with_uid_class_and_identifier
000000018a5180a0 (__TEXT,__text) external _container_disk_usage
000000018a50c54c (__TEXT,__text) external _container_disposition
000000018a50c604 (__TEXT,__text) external _container_disposition_for_array
000000018a5073fc (__TEXT,__text) external _container_entitlements_copy_container_identifiers
000000018a4faa58 (__TEXT,__text) external _container_error_copy
000000018a4fac04 (__TEXT,__text) external _container_error_copy_unlocalized_description
000000018a4fa938 (__TEXT,__text) external _container_error_create
000000018a4faa6c (__TEXT,__text) external _container_error_free
000000018a4faa48 (__TEXT,__text) external _container_error_get_category
000000018a4faa2c (__TEXT,__text) external _container_error_get_path
000000018a4faa50 (__TEXT,__text) external _container_error_get_posix_errno
000000018a4faa34 (__TEXT,__text) external _container_error_get_type
000000018a4fa930 (__TEXT,__text) external _container_error_is_fatal
000000018a4facd0 (__TEXT,__text) external _container_error_is_file_system_error
000000018a4fa9a4 (__TEXT,__text) external _container_error_reinitialize
000000018a51a6d0 (__TEXT,__text) external _container_flush_container_cache
000000018a51a8f4 (__TEXT,__text) external _container_flush_persona_cache
000000018a50d6f0 (__TEXT,__text) external _container_free_array_of_containers
000000018a4fdff4 (__TEXT,__text) external _container_free_client
000000018a50d6ec (__TEXT,__text) external _container_free_object
000000018a4fb5ac (__TEXT,__text) external _container_frozenset_copyout_external_bytes
000000018a4faf50 (__TEXT,__text) external _container_frozenset_create
000000018a4fb600 (__TEXT,__text) external _container_frozenset_create_from_external_bytes
000000018a4fb568 (__TEXT,__text) external _container_frozenset_destroy
000000018a4fb8e0 (__TEXT,__text) external _container_frozenset_enumerate_matches
000000018a4fb6e8 (__TEXT,__text) external _container_frozenset_get_container_class_of_container_at_index
000000018a4fb658 (__TEXT,__text) external _container_frozenset_get_count
000000018a4fb664 (__TEXT,__text) external _container_frozenset_get_generation
000000018a4fb73c (__TEXT,__text) external _container_frozenset_get_identifier_of_container_at_index
000000018a4fb690 (__TEXT,__text) external _container_frozenset_get_is_new_of_container_at_index
000000018a4fb6bc (__TEXT,__text) external _container_frozenset_get_is_transient_of_container_at_index
000000018a4fb7b8 (__TEXT,__text) external _container_frozenset_get_path_of_container_at_index
000000018a4fb778 (__TEXT,__text) external _container_frozenset_get_persona_unique_string_of_container_at_index
000000018a4fb878 (__TEXT,__text) external _container_frozenset_get_stored_string
000000018a4fb714 (__TEXT,__text) external _container_frozenset_get_uid_of_container_at_index
000000018a4fb7f8 (__TEXT,__text) external _container_frozenset_get_uma_relative_path_of_container_at_index
000000018a4fb838 (__TEXT,__text) external _container_frozenset_get_unique_path_component_of_container_at_index
000000018a4fb670 (__TEXT,__text) external _container_frozenset_get_uuid_of_container_at_index
000000018a4fc1d0 (__TEXT,__text) external _container_fs_add_path_component
000000018a4fc3b0 (__TEXT,__text) external _container_fs_append_trailing_slash
000000018a4fbe30 (__TEXT,__text) external _container_fs_item_exists
000000018a4fbcdc (__TEXT,__text) external _container_fs_item_exists_at
000000018a4fbf80 (__TEXT,__text) external _container_fs_load_plist_at
000000018a4fc314 (__TEXT,__text) external _container_fs_path_at
000000018a4fc28c (__TEXT,__text) external _container_fs_resolve_dirent_type_at
000000018a51610c (__TEXT,__text) external _container_get_all_with_class
000000018a516120 (__TEXT,__text) external _container_get_all_with_class_for_current_user
000000018a50c5ec (__TEXT,__text) external _container_get_class
000000018a4facac (__TEXT,__text) external _container_get_error_description
000000018a50caf0 (__TEXT,__text) external _container_get_identifier
000000018a50d0f0 (__TEXT,__text) external _container_get_info
000000018a50d220 (__TEXT,__text) external _container_get_info_value_for_key
000000018a50cb0c (__TEXT,__text) external _container_get_path
000000018a50cb00 (__TEXT,__text) external _container_get_persona_unique_string
000000018a50c5f8 (__TEXT,__text) external _container_get_uid
000000018a50cafc (__TEXT,__text) external _container_get_unique_path_component
000000018a50cb18 (__TEXT,__text) external _container_get_user_managed_assets_relative_path
00000001d66f2e28 (__DATA,__bss) non-external _container_global_sandbox_extension_per_persona_lock
000000018a515eb0 (__TEXT,__text) external _container_group_container_identifiers_for_current_user
000000018a507954 (__TEXT,__text) external _container_internal_get_first_boot_uuid
00000001d66f2bd0 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.length
00000001d66f2bd8 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.once
00000001d66f2bc8 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.uuid
000000018a518aec (__TEXT,__text) external _container_invalidate_code_signing_cache
000000018a50da38 (__TEXT,__text) external _container_is_equal
000000018a50d3f0 (__TEXT,__text) external _container_is_new
000000018a50ce04 (__TEXT,__text) external _container_is_transient
000000018a507834 (__TEXT,__text) external _container_log_client_fault_logging_is_enabled
000000018a5081e4 (__TEXT,__text) external _container_log_error
000000018a508e0c (__TEXT,__text) external _container_log_error_with_faults
000000018a50888c (__TEXT,__text) external _container_log_ext_error
000000018a508e1c (__TEXT,__text) external _container_log_ext_error_with_faults
000000018a507f84 (__TEXT,__text) external _container_log_handle_for_category
00000001d66f2be0 (__DATA,__bss) non-external _container_log_handle_for_category.logHandles
00000001d66f2c98 (__DATA,__bss) non-external _container_log_handle_for_category.onceToken
000000018a509264 (__TEXT,__text) external _container_log_replication_disable
000000018a508e2c (__TEXT,__text) external _container_log_replication_enable_to_uid_relative_path
000000018a509274 (__TEXT,__text) external _container_log_replication_prune_for_uid
000000018a507840 (__TEXT,__text) external _container_log_set_client_fault_logging
000000018a50ed0c (__TEXT,__text) external _container_object_copy
000000018a50e98c (__TEXT,__text) external _container_object_create
000000018a50eb04 (__TEXT,__text) external _container_object_create_blank
000000018a50eb10 (__TEXT,__text) external _container_object_free
000000018a50ef18 (__TEXT,__text) external _container_object_get_class
000000018a50eec0 (__TEXT,__text) external _container_object_get_identifier
000000018a50f504 (__TEXT,__text) external _container_object_get_info
000000018a50efe4 (__TEXT,__text) external _container_object_get_path
000000018a50f094 (__TEXT,__text) external _container_object_get_persona_unique_string
000000018a50f54c (__TEXT,__text) external _container_object_get_query
000000018a50f528 (__TEXT,__text) external _container_object_get_sandbox_token
000000018a50ef80 (__TEXT,__text) external _container_object_get_uid
000000018a50f03c (__TEXT,__text) external _container_object_get_unique_path_component
000000018a50f1cc (__TEXT,__text) external _container_object_get_user_managed_assets_relative_path
000000018a50ee60 (__TEXT,__text) external _container_object_get_uuid
000000018a50f0ec (__TEXT,__text) external _container_object_is_new
000000018a50f15c (__TEXT,__text) external _container_object_is_transient
000000018a50f224 (__TEXT,__text) external _container_object_sandbox_extension_activate
000000018a50f95c (__TEXT,__text) external _container_object_set_backing_store_from_query
000000018a50f554 (__TEXT,__text) external _container_object_set_class
000000018a50f7e8 (__TEXT,__text) external _container_object_set_info
000000018a50f738 (__TEXT,__text) external _container_object_set_path
000000018a50f834 (__TEXT,__text) external _container_object_set_sandbox_token
000000018a50f898 (__TEXT,__text) external _container_object_set_transient
000000018a50f790 (__TEXT,__text) external _container_object_set_unique_path_component
000000018a50f904 (__TEXT,__text) external _container_object_set_user_managed_assets_relative_path
000000018a50f8c4 (__TEXT,__text) external _container_object_set_uuid
000000018a50c6d4 (__TEXT,__text) external _container_object_update_metadata
000000018a502ad8 (__TEXT,__text) external _container_operation_complete_background_tasks
000000018a501ed8 (__TEXT,__text) external _container_operation_delete
000000018a5020c4 (__TEXT,__text) external _container_operation_delete_array
000000018a5026f4 (__TEXT,__text) external _container_operation_delete_reclaim_disk_space
000000018a4fe094 (__TEXT,__text) external _container_paths_context_create
000000018a4fe7a0 (__TEXT,__text) external _container_paths_context_free
000000018a4fe110 (__TEXT,__text) external _container_paths_context_set_class
000000018a4fe390 (__TEXT,__text) external _container_paths_context_set_flags
000000018a4fe4cc (__TEXT,__text) external _container_paths_context_set_persona_unique_string
000000018a4fe24c (__TEXT,__text) external _container_paths_context_set_transient
000000018a4fe65c (__TEXT,__text) external _container_paths_context_set_uid
000000018a4feae0 (__TEXT,__text) external _container_paths_copy_container_at
000000018a4fe818 (__TEXT,__text) external _container_paths_copy_container_from_path
000000018a51ca28 (__TEXT,__const) non-external _container_paths_copy_container_from_path.data_dir
000000018a500684 (__TEXT,__text) external _container_paths_copy_container_root_path_for_context
000000018a501570 (__TEXT,__text) external _container_paths_copy_uid_home_relative
000000018a500e38 (__TEXT,__text) external _container_paths_create_uid_home_relative
000000018a4ff0e0 (__TEXT,__text) external _container_paths_enumerate_containers_at
000000018a512078 (__TEXT,__text) external _container_perfect_hash_copyout_external_bytes
000000018a512124 (__TEXT,__text) external _container_perfect_hash_count
000000018a5111d8 (__TEXT,__text) external _container_perfect_hash_create
000000018a5120cc (__TEXT,__text) external _container_perfect_hash_create_from_external_bytes
000000018a512034 (__TEXT,__text) external _container_perfect_hash_destroy
000000018a51216c (__TEXT,__text) external _container_perfect_hash_index_of
000000018a51212c (__TEXT,__text) external _container_perfect_hash_num_indexes
000000018a518fe8 (__TEXT,__text) external _container_perform_data_migration
000000018a519240 (__TEXT,__text) external _container_perform_data_migration_for_current_user
000000018a51aaa8 (__TEXT,__text) external _container_perform_with_client_context
000000018a507ca4 (__TEXT,__text) external _container_persona_collect_all_ids
000000018a507f2c (__TEXT,__text) external _container_persona_convert_unique_string_to_persona_uid
000000018a507de0 (__TEXT,__text) external _container_persona_foreach
000000018a517e50 (__TEXT,__text) external _container_process_restored_container
000000018a512d7c (__TEXT,__text) external _container_pwd_copy_user_home_path
000000018a51279c (__TEXT,__text) external _container_pwd_for_name
000000018a512b4c (__TEXT,__text) external _container_pwd_for_uid
000000018a50c120 (__TEXT,__text) external _container_query_copy
000000018a50ac0c (__TEXT,__text) external _container_query_count_results
000000018a50931c (__TEXT,__text) external _container_query_create
000000018a509378 (__TEXT,__text) external _container_query_create_from_container
000000018a50c448 (__TEXT,__text) external _container_query_free
000000018a50c110 (__TEXT,__text) external _container_query_get_last_error
000000018a50b7ec (__TEXT,__text) external _container_query_get_single_result
000000018a50b55c (__TEXT,__text) external _container_query_iterate_results_sync
000000018a50ba44 (__TEXT,__text) external _container_query_iterate_results_with_identifier_sync
000000018a50bd1c (__TEXT,__text) external _container_query_iterate_results_with_subquery_sync
000000018a50aa70 (__TEXT,__text) external _container_query_operation_set_client
000000018a50a8e8 (__TEXT,__text) external _container_query_operation_set_flags
000000018a50a760 (__TEXT,__text) external _container_query_operation_set_platform
000000018a5095ec (__TEXT,__text) external _container_query_set_class
000000018a50a29c (__TEXT,__text) external _container_query_set_group_identifiers
000000018a509818 (__TEXT,__text) external _container_query_set_identifiers
000000018a50a5cc (__TEXT,__text) external _container_query_set_include_other_owners
000000018a509cd8 (__TEXT,__text) external _container_query_set_persona_unique_string
000000018a509f34 (__TEXT,__text) external _container_query_set_transient
000000018a509b44 (__TEXT,__text) external _container_query_set_uid
000000018a4fc0cc (__TEXT,__text) external _container_realpath
000000018a517868 (__TEXT,__text) external _container_recreate_structure
000000018a504bdc (__TEXT,__text) external _container_references_add
000000018a504174 (__TEXT,__text) external _container_references_create
000000018a504b3c (__TEXT,__text) external _container_references_free
000000018a506630 (__TEXT,__text) external _container_references_get_last_error
000000018a50643c (__TEXT,__text) external _container_references_iterate_by_group_sync
000000018a50588c (__TEXT,__text) external _container_references_iterate_by_owner_sync
000000018a5049c8 (__TEXT,__text) external _container_references_operation_set_flags
000000018a5056b8 (__TEXT,__text) external _container_references_remove
000000018a5041d0 (__TEXT,__text) external _container_references_set_class
000000018a504730 (__TEXT,__text) external _container_references_set_persona_unique_string
000000018a5045b0 (__TEXT,__text) external _container_references_set_uid
000000018a517ab8 (__TEXT,__text) external _container_regenerate_uuid
000000018a51baec (__TEXT,__text) external _container_repair_user_data
000000018a51630c (__TEXT,__text) external _container_replace
000000018a4fc3fc (__TEXT,__text) external _container_retry_test
000000018a50e470 (__TEXT,__text) external _container_sandbox_extension_consume
000000018a50dbb0 (__TEXT,__text) external _container_sandbox_extension_revoke
000000018a50e840 (__TEXT,__text) external _container_sandbox_issue_custom_extension
000000018a50e828 (__TEXT,__text) external _container_sandbox_issue_extension
000000018a5092b4 (__TEXT,__text) external _container_seam_fs_ensure_lazy_loaded
00000001d66f2e20 (__DATA,__bss) non-external _container_seam_fs_ensure_lazy_loaded.once
000000018a509308 (__TEXT,__text) external _container_seam_fs_reset
000000018a509278 (__TEXT,__text) external _container_seam_fs_set_common
000000018a50194c (__TEXT,__text) external _container_serialize_copy_deserialized_reference
000000018a501770 (__TEXT,__text) external _container_serialize_copy_serialized_reference
000000018a516a14 (__TEXT,__text) external _container_set_code_signing_info_for_identifier
000000018a518cf0 (__TEXT,__text) external _container_set_data_protection_for_current_user
000000018a5172c8 (__TEXT,__text) external _container_set_info_value
000000018a4fc5dc (__TEXT,__text) external _container_set_test_lock
000000018a5193ac (__TEXT,__text) external _container_stage_shared_system_content
000000018a5109cc (__TEXT,__text) external _container_string_rom_copyout_external_bytes
000000018a510a78 (__TEXT,__text) external _container_string_rom_count
000000018a50fd68 (__TEXT,__text) external _container_string_rom_create
000000018a510a20 (__TEXT,__text) external _container_string_rom_create_from_external_bytes
000000018a510988 (__TEXT,__text) external _container_string_rom_destroy
000000018a510d34 (__TEXT,__text) external _container_string_rom_index_of
000000018a510a84 (__TEXT,__text) external _container_string_rom_string_at_index
000000018a51a084 (__TEXT,__text) external _container_subdirectories_for_class
000000018a514cf0 (__TEXT,__text) external _container_system_group_path_for_identifier
000000018a514b00 (__TEXT,__text) external _container_system_path_for_identifier
000000018a50c8e0 (__TEXT,__text) external _container_update_with_container
000000018a519660 (__TEXT,__text) external _container_user_managed_assets_path
000000018a519974 (__TEXT,__text) external _container_user_managed_assets_relative_path
000000018a50784c (__TEXT,__text) external _container_xpc_connection_is_shared
000000018a5035bc (__TEXT,__text) external _container_xpc_create_connection
000000018a4fa0f4 (__TEXT,__text) external _container_xpc_decode_container_object
000000018a4fa43c (__TEXT,__text) external _container_xpc_decode_create_container_object_array
000000018a4fa794 (__TEXT,__text) external _container_xpc_decode_error
000000018a4f9cd4 (__TEXT,__text) external _container_xpc_encode_client_onto_message
000000018a4fa078 (__TEXT,__text) external _container_xpc_encode_container_array
000000018a4f9e14 (__TEXT,__text) external _container_xpc_encode_container_as_object
000000018a4f9d3c (__TEXT,__text) external _container_xpc_encode_container_metadata_as_object
000000018a4f9f1c (__TEXT,__text) external _container_xpc_encode_container_object
000000018a4fa768 (__TEXT,__text) external _container_xpc_encode_error
000000018a4fa6e0 (__TEXT,__text) external _container_xpc_encode_error_as_object
000000018a507350 (__TEXT,__text) external _container_xpc_get_incoming_reply_preprocess_block
000000018a506ff4 (__TEXT,__text) external _container_xpc_get_outgoing_message_postprocess_block
000000018a507000 (__TEXT,__text) external _container_xpc_get_outgoing_message_send_block
000000018a50416c (__TEXT,__text) external _container_xpc_get_raw_connection
000000018a50410c (__TEXT,__text) external _container_xpc_invalidate_connection
000000018a503a40 (__TEXT,__text) external _container_xpc_release
000000018a506640 (__TEXT,__text) external _container_xpc_send_message
000000018a50700c (__TEXT,__text) external _container_xpc_send_sync_message
000000018a50713c (__TEXT,__text) external _container_xpc_send_sync_message_with_object
000000018a50719c (__TEXT,__text) external _container_xpc_set_client_context_during_block
000000018a50735c (__TEXT,__text) external _container_xpc_set_incoming_reply_preprocess_block
000000018a50730c (__TEXT,__text) external _container_xpc_set_outgoing_message_postprocess_block
000000018a5073a0 (__TEXT,__text) external _container_xpc_set_outgoing_message_send_block
000000018a507858 (__TEXT,__text) external _container_xpc_set_use_shared_connection
000000018a50339c (__TEXT,__text) external _container_xpc_shared_copy_connection
000000018a51ca08 (__TEXT,__const) non-external (was a private external) _containermanagerVersionNumber
000000018a51c9c0 (__TEXT,__const) non-external (was a private external) _containermanagerVersionString
                 (undefined) external _csops_audittoken (from libsystem_kernel)
                 (undefined) external _dirstat_np (from libsystem_darwin)
                 (undefined) external _dispatch_after (from libdispatch)
                 (undefined) external _dispatch_apply (from libdispatch)
                 (undefined) external _dispatch_async (from libdispatch)
                 (undefined) external _dispatch_barrier_async_and_wait (from libdispatch)
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_once (from libdispatch)
                 (undefined) external _dispatch_queue_create (from libdispatch)
                 (undefined) external _dispatch_time (from libdispatch)
                 (undefined) external _dlsym (from libdyld)
                 (undefined) external _dup (from libsystem_kernel)
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_program_sdk_at_least (from libdyld)
                 (undefined) external _fchflags (from libsystem_kernel)
                 (undefined) external _fchmod (from libsystem_kernel)
                 (undefined) external _fchmodx_np (from libsystem_c)
                 (undefined) external _fchown (from libsystem_kernel)
                 (undefined) external _fcntl (from libsystem_kernel)
                 (undefined) external _fdopendir (from libsystem_c)
                 (undefined) external _fgetxattr (from libsystem_kernel)
                 (undefined) external _filesec_free (from libsystem_c)
                 (undefined) external _filesec_get_property (from libsystem_c)
                 (undefined) external _filesec_init (from libsystem_c)
                 (undefined) external _filesec_set_property (from libsystem_c)
                 (undefined) external _fls (from libsystem_platform)
                 (undefined) external _flsl (from libsystem_platform)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _fremovexattr (from libsystem_kernel)
                 (undefined) external _fsctl (from libsystem_kernel)
                 (undefined) external _fsetxattr (from libsystem_kernel)
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
                 (undefined) external _fstatx_np (from libsystem_c)
                 (undefined) external _fsync (from libsystem_kernel)
                 (undefined) external _fts_close (from libsystem_c)
                 (undefined) external _fts_open (from libsystem_c)
                 (undefined) external _fts_read (from libsystem_c)
00000001d66f2cb8 (__DATA,__bss) non-external _gCMFSCustomSeamStore
00000001d66f2b20 (__DATA,__data) external _gCMFSSeam
00000001d66f2b18 (__DATA,__data) non-external _gClientFaultLoggingEnabled
00000001d66f2b19 (__DATA,__data) non-external _gContainerXPCUsesSharedConnection
00000001d66f2b38 (__DATA,__bss) non-external _gSharedClientConnection
00000001d66f2b30 (__DATA,__bss) non-external _gSharedClientConnectionLock
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getegid (from libsystem_kernel)
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpwnam_r (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getuid (from libsystem_kernel)
                 (undefined) external _kpersona_find (from libsystem_kernel)
                 (undefined) external _kpersona_find_by_type (from libsystem_kernel)
                 (undefined) external _kpersona_getpath (from libsystem_kernel)
                 (undefined) external _kpersona_info (from libsystem_kernel)
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _memset_s (from libsystem_c)
                 (undefined) external _mkdir (from libsystem_kernel)
                 (undefined) external _mkdirat (from libsystem_kernel)
                 (undefined) external _mkstemp (from libsystem_c)
00000001d66f2b28 (__DATA,__data) non-external _next_temp_key
                 (undefined) external _notify_register_dispatch (from libsystem_notify)
                 (undefined) external _open (from libsystem_kernel)
