00000001acba5258 (__TEXT,__text) non-external +[Caller current]
00000001acbbb574 (__TEXT,__text) non-external -[LASecureIOServer handleGetLoadedSceneCountCommand:withResponse:].cold.3
00000001acbbb654 (__TEXT,__text) non-external -[LASecureIOServer handleGetLoadedSceneCountCommand:withResponse:].cold.4
00000001acbbb744 (__TEXT,__text) non-external -[LASecureIOServer handleGetLoadedSceneCountCommand:withResponse:].cold.5
00000001acbbb834 (__TEXT,__text) non-external -[LASecureIOServer handleGetLoadedSceneCountCommand:withResponse:].cold.6
00000001acbb5074 (__TEXT,__text) non-external -[LASecureIOServer handlePostNotificationCommand:]
00000001acbbbc28 (__TEXT,__text) non-external -[LASecureIOServer handlePostNotificationCommand:].cold.1
00000001acbbbcf4 (__TEXT,__text) non-external -[LASecureIOServer handlePostNotificationCommand:].cold.2
00000001acbbbd9c (__TEXT,__text) non-external -[LASecureIOServer handlePostNotificationCommand:].cold.3
00000001acbbbe68 (__TEXT,__text) non-external -[LASecureIOServer handlePostNotificationCommand:].cold.4
00000001acbb2b78 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:]
00000001acbb92e0 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.1
00000001acbb93b8 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.2
00000001acbb9490 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.3
00000001acbb9564 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.4
00000001acbb963c (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.5
00000001acbb9714 (__TEXT,__text) non-external -[LASecureIOServer handleRequestCommand:version:withData:andResponse:].cold.6
00000001acbb2efc (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:]
00000001acbb97ec (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.1
00000001acbb9ddc (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.10
00000001acbb9e88 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.11
00000001acbb9f34 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.12
00000001acbb9894 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.2
00000001acbb993c (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.3
00000001acbb99e4 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.4
00000001acbb9a8c (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.5
00000001acbb9b34 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.6
00000001acbb9be0 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.7
00000001acbb9c88 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.8
00000001acbb9d30 (__TEXT,__text) non-external -[LASecureIOServer handleSetInstructionsWithCredentialSetCommand:].cold.9
00000001acbb4664 (__TEXT,__text) non-external -[LASecureIOServer handleSetSceneDescriptionCommand:]
00000001acbbb088 (__TEXT,__text) non-external -[LASecureIOServer handleSetSceneDescriptionCommand:].cold.1
00000001acbbb15c (__TEXT,__text) non-external -[LASecureIOServer handleSetSceneDescriptionCommand:].cold.2
00000001acbbb230 (__TEXT,__text) non-external -[LASecureIOServer handleSetSceneDescriptionCommand:].cold.3
00000001acbbb308 (__TEXT,__text) non-external -[LASecureIOServer handleSetSceneDescriptionCommand:].cold.4
00000001acbb3bb8 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:]
00000001acbba644 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:].cold.1
00000001acbba714 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:].cold.2
00000001acbba7e4 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:].cold.3
00000001acbba8b4 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:].cold.4
00000001acbba980 (__TEXT,__text) non-external -[LASecureIOServer handleShowSceneCommand:].cold.5
00000001acbb4d5c (__TEXT,__text) non-external -[LASecureIOServer handleUpdateKextBlacklistCommand:]
00000001acbbb900 (__TEXT,__text) non-external -[LASecureIOServer handleUpdateKextBlacklistCommand:].cold.1
00000001acbbb9e0 (__TEXT,__text) non-external -[LASecureIOServer handleUpdateKextBlacklistCommand:].cold.2
00000001acbbbad0 (__TEXT,__text) non-external -[LASecureIOServer handleUpdateKextBlacklistCommand:].cold.3
00000001acbbbb7c (__TEXT,__text) non-external -[LASecureIOServer handleUpdateKextBlacklistCommand:].cold.4
00000001acbb88b0 (__TEXT,__text) non-external -[LASecureIOServer handleUserInput:]
00000001acbbfc20 (__TEXT,__text) non-external -[LASecureIOServer handleUserInput:].cold.1
00000001acbbfcec (__TEXT,__text) non-external -[LASecureIOServer handleUserInput:].cold.2
00000001acbbfdc0 (__TEXT,__text) non-external -[LASecureIOServer handleUserInput:].cold.3
00000001acbb3f78 (__TEXT,__text) non-external -[LASecureIOServer hideCurrentScene]
00000001acbbaa4c (__TEXT,__text) non-external -[LASecureIOServer hideCurrentScene].cold.1
00000001acbb84b0 (__TEXT,__text) non-external -[LASecureIOServer initServer]
00000001acbb29f8 (__TEXT,__text) non-external -[LASecureIOServer init]
00000001acbb906c (__TEXT,__text) non-external -[LASecureIOServer init].cold.1
00000001acbb9140 (__TEXT,__text) non-external -[LASecureIOServer init].cold.2
00000001acbb9214 (__TEXT,__text) non-external -[LASecureIOServer init].cold.3
00000001acbb37fc (__TEXT,__text) non-external -[LASecureIOServer invalidateCurrentCredentialSet]
00000001acbba314 (__TEXT,__text) non-external -[LASecureIOServer invalidateCurrentCredentialSet].cold.1
00000001acbba3e0 (__TEXT,__text) non-external -[LASecureIOServer invalidateCurrentCredentialSet].cold.2
00000001acbb34f0 (__TEXT,__text) non-external -[LASecureIOServer parseWarsawInstructions:forOperation:]
00000001acbb9fdc (__TEXT,__text) non-external -[LASecureIOServer parseWarsawInstructions:forOperation:].cold.1
00000001acbba0b0 (__TEXT,__text) non-external -[LASecureIOServer parseWarsawInstructions:forOperation:].cold.2
00000001acbba17c (__TEXT,__text) non-external -[LASecureIOServer parseWarsawInstructions:forOperation:].cold.3
00000001acbba248 (__TEXT,__text) non-external -[LASecureIOServer parseWarsawInstructions:forOperation:].cold.4
00000001acbb8ce0 (__TEXT,__text) non-external -[LASecureIOServer sendCredentialSetUpdated:]
00000001acbb8e4c (__TEXT,__text) non-external -[LASecureIOServer setCommunication:]
00000001acbb8598 (__TEXT,__text) non-external -[LASecureIOServer setCurrentOperationID:]
00000001acbb39d4 (__TEXT,__text) non-external -[LASecureIOServer setupCredentialsForCurrentCredentialSetWithOperation:andScene:]
00000001acbba4ac (__TEXT,__text) non-external -[LASecureIOServer setupCredentialsForCurrentCredentialSetWithOperation:andScene:].cold.1
00000001acbba578 (__TEXT,__text) non-external -[LASecureIOServer setupCredentialsForCurrentCredentialSetWithOperation:andScene:].cold.2
00000001acbb41bc (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:]
00000001acbbab18 (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.1
00000001acbbabe4 (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.2
00000001acbbac8c (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.3
00000001acbbad58 (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.4
00000001acbbae24 (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.5
00000001acbbaef0 (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.6
00000001acbbafbc (__TEXT,__text) non-external -[LASecureIOServer showScene:forOperation:].cold.7
00000001acbb7214 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:]
00000001acbbe008 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.1
00000001acbbe0d4 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.2
00000001acbbe1ac (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.3
00000001acbbe284 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.4
00000001acbbe35c (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.5
00000001acbbe434 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.6
00000001acbbe50c (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.7
00000001acbbe5e4 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.8
00000001acbb7b1c (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:]
00000001acbbe9d4 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.1
00000001acbbeaa4 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.2
00000001acbbeb70 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.3
00000001acbb7cf0 (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:]
00000001acbbec3c (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.1
00000001acbbed0c (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.2
00000001acbbedd8 (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.3
00000001acbc66dc (__TEXT,__text) non-external -[LASecureIOTouchBarView .cxx_destruct]
00000001acbc6338 (__TEXT,__text) non-external -[LASecureIOTouchBarView initCommon]
00000001acbc62fc (__TEXT,__text) non-external -[LASecureIOTouchBarView initWithCoder:]
00000001acbc62c0 (__TEXT,__text) non-external -[LASecureIOTouchBarView initWithFrame:]
00000001acbc66cc (__TEXT,__text) non-external -[LASecureIOTouchBarView scene]
00000001acbc63b4 (__TEXT,__text) non-external -[LASecureIOTouchBarView setScene:]
00000001acb9cc14 (__TEXT,__text) non-external -[NSDictionary(Merge) dictionaryByMergingWith:]
00000001acba3318 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource .cxx_destruct]
00000001acba3288 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource _notification:]
00000001acba31ec (__TEXT,__text) non-external -[NotificationCenterInvalidationSource dealloc]
00000001acba3128 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource initWithPreflightCache:notificationName:]
00000001acba3290 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource invalidationReason]
00000001acba3308 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource notificationName]
00000001acb9d6f8 (__TEXT,__text) non-external -[PreflightCache .cxx_destruct]
00000001acb9d570 (__TEXT,__text) non-external -[PreflightCache _isCacheable:callerUid:]
00000001acb9d51c (__TEXT,__text) non-external -[PreflightCache _isPolicyCacheable:]
00000001acb9d498 (__TEXT,__text) non-external -[PreflightCache acquireBypassAssertionWithReason:]
00000001acb9d324 (__TEXT,__text) non-external -[PreflightCache addPreflightResult:forKey:]
00000001acbc6998 (__TEXT,__text) non-external -[PreflightCache addPreflightResult:forKey:].cold.1
00000001acb9d240 (__TEXT,__text) non-external -[PreflightCache cachedPreflightResultForKey:]
00000001acbc68dc (__TEXT,__text) non-external -[PreflightCache cachedPreflightResultForKey:].cold.1
00000001acb9d514 (__TEXT,__text) non-external -[PreflightCache dropAssertion:]
00000001acb9cd00 (__TEXT,__text) non-external -[PreflightCache init]
00000001acb9d3c8 (__TEXT,__text) non-external -[PreflightCache invalidateWithReason:]
00000001acb9d0f4 (__TEXT,__text) non-external -[PreflightCache keyForPreflightOfACL:operation:options:auditToken:uid:]
00000001acb9cfb8 (__TEXT,__text) non-external -[PreflightCache keyForPreflightOfPolicy:options:auditToken:uid:]
00000001acba273c (__TEXT,__text) non-external -[PreflightCacheAssertion .cxx_destruct]
00000001acba2710 (__TEXT,__text) non-external -[PreflightCacheAssertion cache]
00000001acba2540 (__TEXT,__text) non-external -[PreflightCacheAssertion dealloc]
00000001acba2588 (__TEXT,__text) non-external -[PreflightCacheAssertion description]
00000001acba2630 (__TEXT,__text) non-external -[PreflightCacheAssertion drop]
00000001acba23d8 (__TEXT,__text) non-external -[PreflightCacheAssertion initWithReason:cache:]
00000001acba2700 (__TEXT,__text) non-external -[PreflightCacheAssertion reason]
00000001acba2708 (__TEXT,__text) non-external -[PreflightCacheAssertion setReason:]
00000001acba2dfc (__TEXT,__text) non-external -[PreflightCacheInvalidationSource .cxx_destruct]
00000001acba2dd0 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource cache]
00000001acba2d18 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource handleNotificationInServerQueue]
00000001acba2b70 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource handleNotificationWithCompletion:]
00000001acba2a38 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource initWithPreflightCache:]
00000001acba2db4 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource invalidationReason]
00000001acba2dc8 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource setStatus:]
00000001acba2dc0 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource status]
00000001acba2b34 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource updateStatus]
00000001acba2330 (__TEXT,__text) non-external -[PushButtonMonitor .cxx_destruct]
00000001acba1030 (__TEXT,__text) non-external -[PushButtonMonitor _consumeDoubleTapWithReason:includingAX:]
00000001acba1560 (__TEXT,__text) non-external -[PushButtonMonitor _defaultExpirationTimeout]
00000001acba156c (__TEXT,__text) non-external -[PushButtonMonitor _expireDoubleTap:]
00000001acba0fa0 (__TEXT,__text) non-external -[PushButtonMonitor _init]
00000001acba1f10 (__TEXT,__text) non-external -[PushButtonMonitor _restartWithReactivationDelay:]
00000001acba11c0 (__TEXT,__text) non-external -[PushButtonMonitor _scheduleDoubleTapExpiration]
00000001acba1738 (__TEXT,__text) non-external -[PushButtonMonitor adviseDoubleTap]
00000001acba17d4 (__TEXT,__text) non-external -[PushButtonMonitor axApplePayConfirmation]
00000001acba2320 (__TEXT,__text) non-external -[PushButtonMonitor axDoubleTapDetected]
00000001acba1028 (__TEXT,__text) non-external -[PushButtonMonitor consumeDoubleTapWithReason:]
00000001acba0fd8 (__TEXT,__text) non-external -[PushButtonMonitor dealloc]
00000001acba22d8 (__TEXT,__text) non-external -[PushButtonMonitor delegate]
00000001acba2310 (__TEXT,__text) non-external -[PushButtonMonitor doubleTapDetected]
00000001acba1618 (__TEXT,__text) non-external -[PushButtonMonitor doubleTappedAt:]
00000001acba0f68 (__TEXT,__text) non-external -[PushButtonMonitor init]
00000001acba1020 (__TEXT,__text) non-external -[PushButtonMonitor prearmAssertion]
00000001acba2328 (__TEXT,__text) non-external -[PushButtonMonitor setAxDoubleTapDetected:]
00000001acba2304 (__TEXT,__text) non-external -[PushButtonMonitor setDelegate:]
00000001acba2318 (__TEXT,__text) non-external -[PushButtonMonitor setDoubleTapDetected:]
00000001acba20b4 (__TEXT,__text) non-external -[PushButtonMonitor startWithError:]
00000001acba1a70 (__TEXT,__text) non-external -[PushButtonMonitor start]
00000001acba1b1c (__TEXT,__text) non-external -[PushButtonMonitor stop]
00000001acba3cb8 (__TEXT,__text) non-external -[Request .cxx_destruct]
00000001acba3c80 (__TEXT,__text) non-external -[Request caller]
00000001acba3aa4 (__TEXT,__text) non-external -[Request dealloc]
00000001acba3b7c (__TEXT,__text) non-external -[Request holdObject:]
00000001acba3c78 (__TEXT,__text) non-external -[Request identifier]
00000001acba3748 (__TEXT,__text) non-external -[Request initWithCaller:]
00000001acba382c (__TEXT,__text) non-external -[Request initWithID:caller:received:]
00000001acba3c90 (__TEXT,__text) non-external -[Request log]
00000001acba3c88 (__TEXT,__text) non-external -[Request received]
00000001acba3ca4 (__TEXT,__text) non-external -[Request serviceLocator]
00000001acba3c98 (__TEXT,__text) non-external -[Request setLog:]
00000001acba3cac (__TEXT,__text) non-external -[Request setServiceLocator:]
00000001acba4e40 (__TEXT,__text) non-external -[StorageRequest .cxx_destruct]
00000001acba4df0 (__TEXT,__text) non-external -[StorageRequest acl]
00000001acba4d98 (__TEXT,__text) non-external -[StorageRequest client]
00000001acba4e00 (__TEXT,__text) non-external -[StorageRequest contextID]
00000001acba4e10 (__TEXT,__text) non-external -[StorageRequest domain]
00000001acba4c30 (__TEXT,__text) non-external -[StorageRequest initWithStorageDomain:key:acl:options:contextID:connection:]
00000001acba4e20 (__TEXT,__text) non-external -[StorageRequest key]
00000001acba4e30 (__TEXT,__text) non-external -[StorageRequest options]
00000001acba6780 (__TEXT,__text) non-external -[TrustedAccessoryHelper _checkPairingState:device:error:]
00000001acba6838 (__TEXT,__text) non-external -[TrustedAccessoryHelper _checkPairingStateIn:device:error:]
00000001acba61f4 (__TEXT,__text) non-external -[TrustedAccessoryHelper _isConnectedDeviceInState:description:error:]
00000001acba62ac (__TEXT,__text) non-external -[TrustedAccessoryHelper _isConnectedDeviceInStates:description:error:]
00000001acba65e8 (__TEXT,__text) non-external -[TrustedAccessoryHelper authorizeDevice:externalizedContext:error:]
00000001acba5cdc (__TEXT,__text) non-external -[TrustedAccessoryHelper connectedDevicesWithError:]
00000001acba5a14 (__TEXT,__text) non-external -[TrustedAccessoryHelper deviceManagerWithError:]
00000001acba61e0 (__TEXT,__text) non-external -[TrustedAccessoryHelper isAuthorizedDeviceConnectedWithError:]
00000001acba6144 (__TEXT,__text) non-external -[TrustedAccessoryHelper isPairedDeviceConnectedWithError:]
00000001acba5ba4 (__TEXT,__text) non-external -[TrustedAccessoryHelper isTrustedAccessorySupported]
00000001acba61cc (__TEXT,__text) non-external -[TrustedAccessoryHelper isUnauthorizedDeviceConnectedWithError:]
00000001acba5dd0 (__TEXT,__text) non-external -[TrustedAccessoryHelper unauthorizedDeviceWithUid:error:]
00000001acba3484 (__TEXT,__text) non-external -[UserPasswordInvalidationSource initWithPreflightCache:]
00000001acba3508 (__TEXT,__text) non-external -[UserPasswordInvalidationSource invalidationReason]
00000001acba34c4 (__TEXT,__text) non-external -[UserPasswordInvalidationSource updateStatus]
00000001acba35d8 (__TEXT,__text) non-external -[WatchInvalidationSource dealloc]
00000001acba3564 (__TEXT,__text) non-external -[WatchInvalidationSource initWithPreflightCache:]
00000001acba36a8 (__TEXT,__text) non-external -[WatchInvalidationSource invalidationReason]
00000001acba3644 (__TEXT,__text) non-external -[WatchInvalidationSource updateStatus]
00000001acba36a0 (__TEXT,__text) non-external -[WatchInvalidationSource watchDevicesChanged:]
00000001acb9f564 (__TEXT,__text) non-external -[WatchMonitor .cxx_destruct]
00000001acb9ec4c (__TEXT,__text) non-external -[WatchMonitor _approveDiscovery]
00000001acb9f354 (__TEXT,__text) non-external -[WatchMonitor _dispatchRestartAttempt:restartDelay:]
00000001acb9ed60 (__TEXT,__text) non-external -[WatchMonitor _handleActivationError:]
00000001acbc6af0 (__TEXT,__text) non-external -[WatchMonitor _handleActivationError:].cold.1
00000001acb9ee28 (__TEXT,__text) non-external -[WatchMonitor _notifyObservers]
00000001acb9f094 (__TEXT,__text) non-external -[WatchMonitor _reactivationDelayAfterFailures:]
00000001acb9f00c (__TEXT,__text) non-external -[WatchMonitor _restartAfterFailedActivation]
00000001acbc6be0 (__TEXT,__text) non-external -[WatchMonitor _restartAfterFailedActivation].cold.1
00000001acb9ef88 (__TEXT,__text) non-external -[WatchMonitor _restartAfterInvalidation]
00000001acbc6b68 (__TEXT,__text) non-external -[WatchMonitor _restartAfterInvalidation].cold.1
00000001acb9f0cc (__TEXT,__text) non-external -[WatchMonitor _restartWithMinReactivationDelay:]
00000001acb9f534 (__TEXT,__text) non-external -[WatchMonitor approveDiscovery]
00000001acb9f4a8 (__TEXT,__text) non-external -[WatchMonitor deviceAvailable]
00000001acb9e43c (__TEXT,__text) non-external -[WatchMonitor init]
00000001acb9f550 (__TEXT,__text) non-external -[WatchMonitor lastActivation]
00000001acb9f548 (__TEXT,__text) non-external -[WatchMonitor queue]
00000001acb9f498 (__TEXT,__text) non-external -[WatchMonitor registerObserver:]
00000001acb9f540 (__TEXT,__text) non-external -[WatchMonitor setApproveDiscovery:]
00000001acb9f558 (__TEXT,__text) non-external -[WatchMonitor setLastActivation:]
00000001acb9e4d8 (__TEXT,__text) non-external -[WatchMonitor start]
00000001acbc6a54 (__TEXT,__text) non-external -[WatchMonitor start].cold.1
00000001acb9f4a0 (__TEXT,__text) non-external -[WatchMonitor unregisterObserver:]
00000001acbdacf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001acbdb420 (__TEXT,__gcc_except_tab) non-external GCC_except_table103
00000001acbdb430 (__TEXT,__gcc_except_tab) non-external GCC_except_table104
00000001acbdb444 (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001acbdb458 (__TEXT,__gcc_except_tab) non-external GCC_except_table108
00000001acbdb468 (__TEXT,__gcc_except_tab) non-external GCC_except_table109
00000001acbdab1c (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001acbdb478 (__TEXT,__gcc_except_tab) non-external GCC_except_table111
00000001acbdb488 (__TEXT,__gcc_except_tab) non-external GCC_except_table117
00000001acbda9a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001acbdaa84 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001acbdad48 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001acbdb498 (__TEXT,__gcc_except_tab) non-external GCC_except_table143
00000001acbdb4a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table144
00000001acbdb4b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table145
00000001acbdb4c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table146
00000001acbdb4d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table147
00000001acbdb4e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table148
00000001acbdad7c (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001acbdb4f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table150
00000001acbdab3c (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001acbdade0 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001acbdaa44 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001acbdae14 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001acbda9b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001acbdaab0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001acbdab64 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001acbdae58 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001acbdb1f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001acbdb508 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001acbdb298 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001acbdb52c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001acbdb55c (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001acbdb2c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001acbdb344 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001acbdb59c (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001acbda900 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001acbdab80 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001acbdb6b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001acbdb5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001acbdb354 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001acbdb620 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001acbdb39c (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001acbdb3bc (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00000001acbdb66c (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001acbdaa70 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001acbdabe8 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001acbdb6f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001acbdb67c (__TEXT,__gcc_except_tab) non-external GCC_except_table40
00000001acbdb690 (__TEXT,__gcc_except_tab) non-external GCC_except_table41
00000001acbdb73c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001acbdaac0 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001acbdb764 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001acbdb6a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00000001acbdac58 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001acbdb3e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table89
00000001acbda9ec (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001acbdacb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001acbdb3f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table90
00000001acbdb40c (__TEXT,__gcc_except_tab) non-external GCC_except_table91
00000001acbab85c (__TEXT,__text) external _ACMContextAddCredential
00000001acbcbe8c (__TEXT,__text) external _ACMContextAddCredentialWithScope
00000001acbabafc (__TEXT,__text) external _ACMContextContainsCredentialType
00000001acbabbdc (__TEXT,__text) external _ACMContextContainsCredentialTypeEx
00000001acbccb70 (__TEXT,__text) external _ACMContextContainsPassphraseCredentialWithPurpose
00000001acbadc24 (__TEXT,__text) external _ACMContextCopyData
00000001acbaac5c (__TEXT,__text) external _ACMContextCreate
00000001acbaaea8 (__TEXT,__text) external _ACMContextCreateWithExternalForm
00000001acbaac64 (__TEXT,__text) external _ACMContextCreateWithFlags
00000001acbad3bc (__TEXT,__text) external _ACMContextCredentialGetProperty
00000001acbab0d0 (__TEXT,__text) external _ACMContextDelete
00000001acbad8fc (__TEXT,__text) external _ACMContextGetData
00000001acbcd4c4 (__TEXT,__text) external _ACMContextGetDataEx
00000001acbada8c (__TEXT,__text) external _ACMContextGetDataProperty
00000001acbab310 (__TEXT,__text) external _ACMContextGetExternalForm
00000001acbae94c (__TEXT,__text) non-external _ACMContextGetExternalForm.cold.1
00000001acbaddec (__TEXT,__text) external _ACMContextGetInfo
00000001acbac504 (__TEXT,__text) external _ACMContextGetTrackingNumber
00000001acbab93c (__TEXT,__text) external _ACMContextRemoveCredentialsByType
00000001acbcc078 (__TEXT,__text) external _ACMContextRemoveCredentialsByTypeAndScope
00000001acbaba1c (__TEXT,__text) external _ACMContextRemoveCredentialsByValue
00000001acbcc284 (__TEXT,__text) external _ACMContextRemoveCredentialsByValueAndScope
00000001acbcc76c (__TEXT,__text) external _ACMContextRemovePassphraseCredentialsByPurposeAndScope
00000001acbcc978 (__TEXT,__text) external _ACMContextReplacePassphraseCredentialsWithScope
00000001acbad594 (__TEXT,__text) external _ACMContextSetData
00000001acbad734 (__TEXT,__text) external _ACMContextSetDataEx
00000001acbac438 (__TEXT,__text) external _ACMContextVerifyAclConstraint
00000001acbac498 (__TEXT,__text) external _ACMContextVerifyAclConstraintForOperation
00000001acbabd7c (__TEXT,__text) external _ACMContextVerifyPolicy
00000001acbac0cc (__TEXT,__text) external _ACMContextVerifyPolicyEx
