00007ffc13441473 (__TEXT,__text) non-external _Done_iODBC
00007ffc402946d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc40294700 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffc402953c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc402953e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc40295410 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc40295440 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc402954b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc402954f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc40295570 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc402955d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc40295650 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc40295680 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc402956d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc40295390 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc40295700 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc40294b60 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc40294730 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc40294b80 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc40294800 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc40294820 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc402948d0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc40294c00 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc40294bb0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc40294500 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc134586e9 (__TEXT,__text) non-external __trace_bufferlen
00007ffc13457f05 (__TEXT,__text) non-external __trace_c_type
00007ffc134553d8 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc134556d8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc13455416 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc13451bc0 (__TEXT,__text) non-external __trace_connattr_type
00007ffc134589cc (__TEXT,__text) non-external __trace_connopt_type
00007ffc1345a6cc (__TEXT,__text) non-external __trace_connstr
00007ffc1345a95c (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc1345a8bb (__TEXT,__text) non-external __trace_connstr_w
00007ffc13459a28 (__TEXT,__text) non-external __trace_data
00007ffc13451e4e (__TEXT,__text) non-external __trace_desc_null
00007ffc13454d9c (__TEXT,__text) non-external __trace_descfield_type
00007ffc1345976c (__TEXT,__text) non-external __trace_diag_type
00007ffc13456bad (__TEXT,__text) non-external __trace_direction
00007ffc1345a799 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc1345272e (__TEXT,__text) non-external __trace_envattr_type
00007ffc13452db1 (__TEXT,__text) non-external __trace_fetchtype
00007ffc1345ae02 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc13456381 (__TEXT,__text) non-external __trace_func_name
00007ffc134562e0 (__TEXT,__text) non-external __trace_func_result
00007ffc13452fa1 (__TEXT,__text) non-external __trace_getinfo
00007ffc13457a47 (__TEXT,__text) non-external __trace_handle
00007ffc134579e2 (__TEXT,__text) non-external __trace_handle_p
00007ffc134579a4 (__TEXT,__text) non-external __trace_handletype
00007ffc13458210 (__TEXT,__text) non-external __trace_inouttype
00007ffc13457ab9 (__TEXT,__text) non-external __trace_integer
00007ffc13457bd1 (__TEXT,__text) non-external __trace_integer_p
00007ffc13457caa (__TEXT,__text) non-external __trace_len
00007ffc13457ce4 (__TEXT,__text) non-external __trace_len_p
00007ffc13457af2 (__TEXT,__text) non-external __trace_pointer
00007ffc13457815 (__TEXT,__text) non-external __trace_print_function
00007ffc13452e7e (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc13452c7f (__TEXT,__text) non-external __trace_setpos_irow
00007ffc13452cd9 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc13452c9b (__TEXT,__text) non-external __trace_setpos_oper
00007ffc13457a80 (__TEXT,__text) non-external __trace_smallint
00007ffc13457b2a (__TEXT,__text) non-external __trace_smallint_p
00007ffc13452958 (__TEXT,__text) non-external __trace_spcols_null
00007ffc1345291a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc134528d9 (__TEXT,__text) non-external __trace_spcols_type
00007ffc13458630 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc1345824e (__TEXT,__text) non-external __trace_sql_type
00007ffc13458424 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc1345ab49 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc1345ab0a (__TEXT,__text) non-external __trace_stats_unique
00007ffc13458cac (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc13459463 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc13457d8a (__TEXT,__text) non-external __trace_string
00007ffc13457e33 (__TEXT,__text) non-external __trace_string_w
00007ffc13457c76 (__TEXT,__text) non-external __trace_stringlen
00007ffc40295720 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc1345a110 (__TEXT,__text) non-external __trace_tran_completion
00007ffc1345a3b0 (__TEXT,__text) non-external __trace_typeinfo
00007ffc13457ad6 (__TEXT,__text) non-external __trace_uinteger
00007ffc13457c24 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc13457cc7 (__TEXT,__text) non-external __trace_ulen
00007ffc13457d37 (__TEXT,__text) non-external __trace_ulen_p
00007ffc13457a9d (__TEXT,__text) non-external __trace_usmallint
00007ffc13457b7e (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc417f4b12 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc1345bc47 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc1345c172 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc1345bbe1 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc1345be93 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc1345bcb1 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc1345c37c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc1345bd57 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc1345bdfa (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc1345be48 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc1345d928 (__TEXT,__text) non-external _do_create_dsns
00007ffc417f4ad0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc417f4ab0 (__DATA,__common) non-external _ierror
00007ffc1345da51 (__TEXT,__text) non-external _install_from_ini
00007ffc1345df44 (__TEXT,__text) non-external _install_from_string
00007ffc417f4510 (__DATA,__data) external _iodbc_version
00007ffc417f49f0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc417f4a38 (__DATA,__data) non-external _numerrors
00007ffc417f4520 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc417f4a40 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc1345e0e9 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc40293a40 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc417f4a80 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc13454775 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc13458934 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc1345525b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc13456afd (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc134551c0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc13455c51 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc134587bc (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc13458878 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc1345287d (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc134599b5 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc13456b83 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc13455644 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc13455a28 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc13455abf (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc13455b6e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc1345958e (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc1345967d (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc1345483c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc1345492b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc13458fda (__TEXT,__text) non-external _trace_SQLConnect
00007ffc1345909a (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc13452d78 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc13456c0c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc13456cf1 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc13451ebf (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc13451fab (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc134594e9 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc13456b59 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc1345a5e8 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc1345a7d7 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc13455eb2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc13455f97 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc13454730 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc134522c3 (__TEXT,__text) non-external _trace_SQLError
00007ffc134523b2 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc1345694e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc134569ac (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc134528af (__TEXT,__text) non-external _trace_SQLExecute
00007ffc13452df3 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc13456e89 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc13458981 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc1345915a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc1345929e (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc13459439 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc13452c55 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc134546fe (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc1345ae3d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc13451d38 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc13451dc3 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc13458b8c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc13458bd4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc134552c5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc1345534d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc1345a040 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc13455090 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc13455128 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc13452097 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc134521ad (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc13459880 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc13459928 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc1345256f (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc1345264e (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc1345279b (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc134568f8 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc13452f14 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc1345444c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc13458ee0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc13458f6b (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc134594a1 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc1345a584 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc1345a5b6 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc1345a0e6 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc13454bf9 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc13454cca (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc13454a1a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc134593e2 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc13455c1d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc134547d1 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc1345ae6f (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc1345aecd (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc1345607c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc13456140 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc134544d9 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc134545c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc13455d2a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc13455dee (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc134599df (__TEXT,__text) non-external _trace_SQLPutData
00007ffc13452826 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc1345aa68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc1345aab9 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc13458c1c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc13458c64 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc13456dcf (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc13456e2c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc134524a1 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc13452508 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc13456204 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc13456a0a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc13452d17 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc13452ec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc13456a5b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc13456aac (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc134546b7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc13452997 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc13452af6 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc1345ab88 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc1345acc5 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc13454a71 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc13454b35 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc1345a1d0 (__TEXT,__text) non-external _trace_SQLTables
00007ffc1345a2bf (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc1345a150 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc417f4a70 (__DATA,__bss) non-external _trace_appname
00007ffc134573a7 (__TEXT,__text) non-external _trace_emit
00007ffc13457698 (__TEXT,__text) non-external _trace_emit_binary
00007ffc13457498 (__TEXT,__text) non-external _trace_emit_string
00007ffc13457472 (__TEXT,__text) non-external _trace_emitc
00007ffc417f4a78 (__DATA,__bss) non-external _trace_fname
00007ffc417f4a90 (__DATA,__bss) non-external _trace_fp
00007ffc417f4a98 (__DATA,__bss) non-external _trace_fp_close
00007ffc13456ee4 (__TEXT,__text) non-external _trace_get_filename
00007ffc13456eb4 (__TEXT,__text) non-external _trace_set_appname
00007ffc13456ef5 (__TEXT,__text) non-external _trace_set_filename
00007ffc13457171 (__TEXT,__text) non-external _trace_start
00007ffc13457307 (__TEXT,__text) non-external _trace_stop
00007ffc1345711e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc1345c31c (__TEXT,__text) non-external _utf8_len
00007ffc1345c3fb (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc417f4b10 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
