00000001988d20ec (__TEXT,__text) non-external +[CalAlarm alarm]
00000001ed11e650 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00000001988dbb58 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00000001988dbb70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00000001988dbb88 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
00000001988dbba0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00000001988dbc68 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00000001988dbc88 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00000001988dbca0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00000001988dbcc0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00000001988dbce0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00000001ef6c6648 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
00000001988dbcf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00000001988dbe68 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00000001988dbef8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00000001988dbfd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00000001988dc140 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00000001988dc260 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00000001988dc380 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00000001988dc400 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00000001988dc450 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00000001988dc4f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00000001988dc638 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00000001ef6c68d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00000001ef6c6590 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00000001ef6c6790 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00000001ef6c6f58 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00000001ef6c66a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00000001ef6c6a68 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00000001ef6c6d38 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00000001ef6c64b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00000001ef6c6e40 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00000001ef6c6bd0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00000001ef6c70c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00000001ef6c6940 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00000001ef6c65b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00000001ef6c67b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00000001ef6c6fa0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00000001ef6c66d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00000001ef6c6a90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00000001ef6c6d60 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00000001ef6c6e68 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00000001ef6c6bf8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00000001ef6c70f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00000001988dc700 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001ef6c6528 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001ef6c6878 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00000001ef6c6530 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00000001ef6c6730 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00000001ef6c6ef8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00000001ef6c6cd8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00000001ef6c6de0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00000001ef6c6b70 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00000001ef6c69d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00000001ef6c6600 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00000001ef6c6830 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00000001ef6c7038 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00000001ef6c66e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00000001ef6c6b28 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00000001ef6c6d98 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00000001ef6c64e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00000001ef6c6eb0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00000001ef6c6c90 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00000001ef6c7148 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00000001e63a1c80 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001ef6c6890 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00000001ef6c6548 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00000001ef6c6748 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00000001ef6c6f10 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00000001ef6c6660 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00000001ef6c6a20 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00000001ef6c6cf0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00000001ef6c6470 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00000001ef6c6df8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00000001ef6c6b88 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00000001ef6c7080 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00000001e9d0b7b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
00000001988d3d38 (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001ef6c56e0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0B8"NSError"12l
00000001988d3d4c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001988d3d94 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001e9d0b810 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001988df360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$URL
00000001988df380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001988df3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001988df3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportEventsErrorWithCalendarName:
00000001988df3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportTasksErrorWithCalendarName:
00000001988df400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotEditableErrorWithCalendarName:isEvent:
00000001988df420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotFoundWithCalendarName:isEvent:
00000001988df440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteDate
00000001988df460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteTrigger
00000001988df480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledged
00000001988df4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledgedDate
00000001988df4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$action
00000001988df4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addAlarm:
00000001988df500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001988df520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$address
00000001988df540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alarms
00000001988df560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allAlarms
00000001988df580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allocWithZone:
00000001988df5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowEvents
00000001988df5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowReminders
00000001988df5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowedEntityTypes
00000001988df600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowsContentModifications
00000001988df620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001988df640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001988df660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObject:
00000001988df680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000001988df6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attendees
00000001988df6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:
00000001988df6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:forCalendar:
00000001988df700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bundleForClass:
00000001988df720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendar
00000001988df740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarForEntityType:eventStore:
00000001988df760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarIdentifier
00000001988df780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithIdentifier:
00000001988df7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithUID:
00000001988df7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendars
00000001988df7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarsForEntityType:
00000001988df800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001988df820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$color
00000001988df840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$commonName
00000001988df860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001988df880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completedDate
00000001988df8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completionDate
00000001988df8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001988df8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001988df900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001988df920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$date
00000001988df940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
00000001988df960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateStamp
00000001988df980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateWithTimeInterval:sinceDate:
00000001988df9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfTheWeek
00000001988df9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:
00000001988df9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:weekNumber:
00000001988dfa00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheMonth
00000001988dfa20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheWeek
00000001988dfa40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCalendarStore
00000001988dfa60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001988dfa80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjectsAndKeys:
00000001988dfaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001988dfac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dueDate
00000001988dfae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$duplicate
00000001988dfb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekAlarm
00000001988dfb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendar
00000001988dfb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendarItem
00000001988dfb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekEvent
00000001988dfb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceEnd
00000001988dfba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceRule
00000001988dfbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekReminder
00000001988dfbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekSpanFromCalSpan:
00000001988dfc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$emailAddress
00000001988dfc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$endDate
00000001988dfc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001988dfc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventStore
00000001988dfc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithEventStore:
00000001988dfca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUID:occurrence:
00000001988dfcc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUniqueId:occurrenceDate:
00000001988dfce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventsMatchingPredicate:
00000001988dfd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$existsInStore
00000001988dfd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$externalID
00000001988dfd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstObject
00000001988dfd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$frequency
00000001988dfd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$generateUntitledTitle
00000001988dfda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleUnsavedRelateToDictionaryWithCalendarItem:
00000001988dfdc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hasAlarms
00000001988dfde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001988dfe00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDate:isDateOnly:isFloating:
00000001988dfe20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDayOfTheWeek:
00000001988dfe40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromRecurrenceType:
00000001988dfe60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:daysOfTheWeek:daysOfTheMonth:monthsOfTheYear:weeksOfTheYear:daysOfTheYear:setPositions:end:
00000001988dfe80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:end:
00000001988dfea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKAlarm:
00000001988dfec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendar:
00000001988dfee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendarItem:
00000001988dff00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKParticipant:
00000001988dff20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceDayOfWeek:
00000001988dff40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceEnd:
00000001988dff60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceRule:
00000001988dff80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEndDate:
00000001988dffa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEventStore:
00000001988dffc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOccurrenceCount:
00000001988dffe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:subpredicates:
00000001988e0000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000001988e0020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000001988e0040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$interval
00000001988e0060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isAllDay
00000001988e0080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isCompleted
00000001988e00a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDefaultAlarm
00000001988e00c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDetached
00000001988e00e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEditable
00000001988e0100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001988e0120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToArray:
00000001988e0140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToDate:
00000001988e0160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001988e0180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lastModifiedDate
00000001988e01a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localSourceEnableIfNeeded
00000001988e01c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringForKey:value:table:
00000001988e01e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringWithFormat:
00000001988e0200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$location
00000001988e0220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$monthsOfTheYear
00000001988e0240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001988e0260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$notes
00000001988e0280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nthWeekDaysOfTheMonth
00000001988e02a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001988e02c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
00000001988e02e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000001988e0300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrence
00000001988e0320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrenceCount
00000001988e0340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalAlarm
00000001988e0360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalStartDate
00000001988e0380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$participantStatus
00000001988e03a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCalendarStoreForRemindersInCalendars:
00000001988e03c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCompletedRemindersWithCompletionDateStarting:ending:calendars:
00000001988e03e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:calendars:
00000001988e0400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:uniqueID:calendars:
00000001988e0420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForIncompleteRemindersWithDueDateStarting:ending:calendars:
00000001988e0440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$priority
00000001988e0460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$raise:format:
00000001988e0480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEnd
00000001988e04a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithEndDate:
00000001988e04c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithOccurrenceCount:
00000001988e04e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceInterval
00000001988e0500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRule
00000001988e0520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRules
00000001988e0540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceType
00000001988e0560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relatedToString
00000001988e0580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeOffset
00000001988e05a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeTrigger
00000001988e05c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithEventStore:
00000001988e05e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithUniqueId:
00000001988e0600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$remindersMatchingPredicate:
00000001988e0620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAlarm:
00000001988e0640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001988e0660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeCalendar:commit:error:
00000001988e0680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeEvent:span:error:
00000001988e06a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeReminder:commit:error:
00000001988e06c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestAccessForEntityType:eventStore:
00000001988e06e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestFullAccessToEventsWithCompletion:
00000001988e0700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestFullAccessToRemindersWithCompletion:
00000001988e0720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveCalendar:commit:error:
00000001988e0740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveEvent:span:error:
00000001988e0760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveReminder:error:
00000001988e0780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAbsoluteDate:
00000001988e07a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAcknowledgedDate:
00000001988e07c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAlarms:
00000001988e07e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAllDay:
00000001988e0800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCalendar:
00000001988e0820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setColor:
00000001988e0840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCompleted:
00000001988e0860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCompletionDate:
