00000001ba3861b8 (__TEXT,__text) non-external +[DDLog addLogger:]
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse abort].cold.1
00000001ba377c18 (__TEXT,__text) non-external -[HTTPFileResponse contentLength]
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse contentLength].cold.1
00000001ba3780b0 (__TEXT,__text) non-external -[HTTPFileResponse dealloc]
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse dealloc].cold.1
00000001ba3780a8 (__TEXT,__text) non-external -[HTTPFileResponse filePath]
00000001ba37771c (__TEXT,__text) non-external -[HTTPFileResponse initWithFilePath:forConnection:]
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse initWithFilePath:forConnection:].cold.1
00000001ba378044 (__TEXT,__text) non-external -[HTTPFileResponse isDone]
00000001ba38e4e0 (__TEXT,__text) non-external -[HTTPFileResponse isDone].cold.1
00000001ba377c74 (__TEXT,__text) non-external -[HTTPFileResponse offset]
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse offset].cold.1
00000001ba377bf0 (__TEXT,__text) non-external -[HTTPFileResponse openFileIfNeeded]
00000001ba377a5c (__TEXT,__text) non-external -[HTTPFileResponse openFile]
00000001ba38df54 (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.1
00000001ba38de8c (__TEXT,__text) non-external -[HTTPFileResponse openFile].cold.2
00000001ba377d7c (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:]
00000001ba38e1c4 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.1
00000001ba38e284 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.2
00000001ba38e36c (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.3
00000001ba38e430 (__TEXT,__text) non-external -[HTTPFileResponse readDataOfLength:].cold.4
00000001ba377cd0 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:]
00000001ba38e020 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.1
00000001ba38e114 (__TEXT,__text) non-external -[HTTPFileResponse setOffset:].cold.2
00000001ba372254 (__TEXT,__text) non-external -[HTTPMessage allHeaderFields]
00000001ba372138 (__TEXT,__text) non-external -[HTTPMessage appendData:]
00000001ba3722ec (__TEXT,__text) non-external -[HTTPMessage body]
00000001ba3720e8 (__TEXT,__text) non-external -[HTTPMessage dealloc]
00000001ba372280 (__TEXT,__text) non-external -[HTTPMessage headerField:]
00000001ba371f38 (__TEXT,__text) non-external -[HTTPMessage initEmptyRequest]
00000001ba371f94 (__TEXT,__text) non-external -[HTTPMessage initRequestWithMethod:URL:version:]
00000001ba372048 (__TEXT,__text) non-external -[HTTPMessage initResponseWithStatusCode:description:version:]
00000001ba3721a4 (__TEXT,__text) non-external -[HTTPMessage isHeaderComplete]
00000001ba3722c0 (__TEXT,__text) non-external -[HTTPMessage messageData]
00000001ba372324 (__TEXT,__text) non-external -[HTTPMessage message]
00000001ba3721f4 (__TEXT,__text) non-external -[HTTPMessage method]
00000001ba372318 (__TEXT,__text) non-external -[HTTPMessage setBody:]
00000001ba3722b0 (__TEXT,__text) non-external -[HTTPMessage setHeaderField:value:]
00000001ba37224c (__TEXT,__text) non-external -[HTTPMessage statusCode]
00000001ba372220 (__TEXT,__text) non-external -[HTTPMessage url]
00000001ba3721c8 (__TEXT,__text) non-external -[HTTPMessage version]
00000001ba378578 (__TEXT,__text) non-external -[HTTPRedirectResponse .cxx_destruct]
00000001ba3783a0 (__TEXT,__text) non-external -[HTTPRedirectResponse contentLength]
00000001ba3784fc (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc]
00000001ba38e5b4 (__TEXT,__text) non-external -[HTTPRedirectResponse dealloc].cold.1
00000001ba378418 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders]
00000001ba38e5b4 (__TEXT,__text) non-external -[HTTPRedirectResponse httpHeaders].cold.1
00000001ba3782ec (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:]
00000001ba38e5b4 (__TEXT,__text) non-external -[HTTPRedirectResponse initWithPath:].cold.1
00000001ba378410 (__TEXT,__text) non-external -[HTTPRedirectResponse isDone]
00000001ba3783a8 (__TEXT,__text) non-external -[HTTPRedirectResponse offset]
00000001ba3783b4 (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:]
00000001ba38e5b4 (__TEXT,__text) non-external -[HTTPRedirectResponse readDataOfLength:].cold.1
00000001ba3783b0 (__TEXT,__text) non-external -[HTTPRedirectResponse setOffset:]
00000001ba3784a0 (__TEXT,__text) non-external -[HTTPRedirectResponse status]
00000001ba38e5b4 (__TEXT,__text) non-external -[HTTPRedirectResponse status].cold.1
00000001ba388cc0 (__TEXT,__text) non-external -[HTTPSendFileResponse .cxx_destruct]
00000001ba3886f4 (__TEXT,__text) non-external -[HTTPSendFileResponse abort]
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse abort].cold.1
00000001ba388930 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength]
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse contentLength].cold.1
00000001ba388c44 (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc]
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse dealloc].cold.1
00000001ba388c3c (__TEXT,__text) non-external -[HTTPSendFileResponse filePath]
00000001ba388428 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:]
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse initWithFilePath:forConnection:].cold.1
00000001ba388bd8 (__TEXT,__text) non-external -[HTTPSendFileResponse isDone]
00000001ba38e99c (__TEXT,__text) non-external -[HTTPSendFileResponse isDone].cold.1
00000001ba38898c (__TEXT,__text) non-external -[HTTPSendFileResponse offset]
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse offset].cold.1
00000001ba38890c (__TEXT,__text) non-external -[HTTPSendFileResponse openFileIfNeeded]
00000001ba388760 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile]
00000001ba38e770 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.1
00000001ba38e6a8 (__TEXT,__text) non-external -[HTTPSendFileResponse openFile].cold.2
00000001ba388a44 (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:]
00000001ba38e8ec (__TEXT,__text) non-external -[HTTPSendFileResponse readHTTPDataOfLength:orLimit:].cold.1
00000001ba3889e8 (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:]
00000001ba38e83c (__TEXT,__text) non-external -[HTTPSendFileResponse setOffset:].cold.1
00000001ba375740 (__TEXT,__text) non-external -[HTTPServer .cxx_destruct]
00000001ba373844 (__TEXT,__text) non-external -[HTTPServer TXTRecordDictionary]
00000001ba374864 (__TEXT,__text) non-external -[HTTPServer config]
00000001ba3729a8 (__TEXT,__text) non-external -[HTTPServer connectionClass]
00000001ba375120 (__TEXT,__text) non-external -[HTTPServer connectionDidDie:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer connectionDidDie:].cold.1
00000001ba3725b8 (__TEXT,__text) non-external -[HTTPServer dealloc]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer dealloc].cold.1
00000001ba372674 (__TEXT,__text) non-external -[HTTPServer documentRoot]
00000001ba3730bc (__TEXT,__text) non-external -[HTTPServer domain]
00000001ba3723fc (__TEXT,__text) non-external -[HTTPServer init]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer init].cold.1
00000001ba372b44 (__TEXT,__text) non-external -[HTTPServer interface]
00000001ba374764 (__TEXT,__text) non-external -[HTTPServer isRunning]
00000001ba372cf4 (__TEXT,__text) non-external -[HTTPServer listeningAddresses]
00000001ba373b58 (__TEXT,__text) non-external -[HTTPServer listeningIPv4Socket]
00000001ba373ce4 (__TEXT,__text) non-external -[HTTPServer listeningIPv6Socket]
00000001ba372efc (__TEXT,__text) non-external -[HTTPServer listeningPort]
00000001ba373e70 (__TEXT,__text) non-external -[HTTPServer listeningUnixSocket]
00000001ba3732b8 (__TEXT,__text) non-external -[HTTPServer name]
00000001ba374fc8 (__TEXT,__text) non-external -[HTTPServer netService:didNotPublish:]
00000001ba374e8c (__TEXT,__text) non-external -[HTTPServer netServiceDidPublish:]
00000001ba374824 (__TEXT,__text) non-external -[HTTPServer numberOfHTTPConnections]
00000001ba372e3c (__TEXT,__text) non-external -[HTTPServer port]
00000001ba374984 (__TEXT,__text) non-external -[HTTPServer publishBonjour]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer publishBonjour].cold.1
00000001ba3733bc (__TEXT,__text) non-external -[HTTPServer publishedName]
00000001ba374d9c (__TEXT,__text) non-external -[HTTPServer republishBonjour]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer republishBonjour].cold.1
00000001ba372a80 (__TEXT,__text) non-external -[HTTPServer setConnectionClass:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setConnectionClass:].cold.1
00000001ba372790 (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setDocumentRoot:].cold.1
00000001ba3731c0 (__TEXT,__text) non-external -[HTTPServer setDomain:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setDomain:].cold.1
00000001ba372c48 (__TEXT,__text) non-external -[HTTPServer setInterface:]
00000001ba373c18 (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setListeningIPv4Socket:].cold.1
00000001ba373da4 (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setListeningIPv6Socket:].cold.1
00000001ba373f30 (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setListeningUnixSocket:].cold.1
00000001ba3735e8 (__TEXT,__text) non-external -[HTTPServer setName:]
00000001ba372ff0 (__TEXT,__text) non-external -[HTTPServer setPort:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setPort:].cold.1
00000001ba373948 (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer setTXTRecordDictionary:].cold.1
00000001ba373798 (__TEXT,__text) non-external -[HTTPServer setType:]
00000001ba3748d0 (__TEXT,__text) non-external -[HTTPServer socket:didAcceptNewSocket:]
00000001ba373ffc (__TEXT,__text) non-external -[HTTPServer start:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer start:].cold.1
00000001ba374550 (__TEXT,__text) non-external -[HTTPServer stop:]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer stop:].cold.1
00000001ba374548 (__TEXT,__text) non-external -[HTTPServer stop]
00000001ba373694 (__TEXT,__text) non-external -[HTTPServer type]
00000001ba374c48 (__TEXT,__text) non-external -[HTTPServer unpublishBonjour]
00000001ba38c9bc (__TEXT,__text) non-external -[HTTPServer unpublishBonjour].cold.1
00000001ba369f9c (__TEXT,__text) non-external -[NSData(DDData) base64Decoded]
00000001ba369dcc (__TEXT,__text) non-external -[NSData(DDData) base64Encoded]
00000001ba369cf4 (__TEXT,__text) non-external -[NSData(DDData) hexStringValue]
00000001ba369bac (__TEXT,__text) non-external -[NSData(DDData) md5Digest]
00000001ba369c50 (__TEXT,__text) non-external -[NSData(DDData) sha1Digest]
00000001ba36a684 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeCompare:]
00000001ba36a658 (__TEXT,__text) non-external -[NSValue(NSValueDDRangeExtensions) ddrangeValue]
00000001ba39382c (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001ba393844 (__TEXT,__gcc_except_tab) non-external GCC_except_table112
00000001ba39385c (__TEXT,__gcc_except_tab) non-external GCC_except_table158
00000001ba393870 (__TEXT,__gcc_except_tab) non-external GCC_except_table160
00000001ba393884 (__TEXT,__gcc_except_tab) non-external GCC_except_table186
00000001ba393898 (__TEXT,__gcc_except_tab) non-external GCC_except_table188
00000001ba3938ac (__TEXT,__gcc_except_tab) non-external GCC_except_table224
00000001ba3938c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table227
00000001ba3938e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table249
00000001ba3938fc (__TEXT,__gcc_except_tab) non-external GCC_except_table268
00000001ba39398c (__TEXT,__gcc_except_tab) non-external GCC_except_table274
00000001ba3939a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table29
00000001ba3939d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001ba393a0c (__TEXT,__gcc_except_tab) non-external GCC_except_table55
00000001ba3937ec (__TEXT,__gcc_except_tab) non-external GCC_except_table76
00000001ba393800 (__TEXT,__gcc_except_tab) non-external GCC_except_table80
00000001ba393814 (__TEXT,__gcc_except_tab) non-external GCC_except_table87
                 (undefined) external _CC_MD5 (from libSystem)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFHTTPMessageAppendBytes (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyAllHeaderFields (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestMethod (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyRequestURL (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopySerializedMessage (from CFNetwork)
                 (undefined) external _CFHTTPMessageCopyVersion (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateEmpty (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateRequest (from CFNetwork)
                 (undefined) external _CFHTTPMessageCreateResponse (from CFNetwork)
                 (undefined) external _CFHTTPMessageGetResponseStatusCode (from CFNetwork)
                 (undefined) external _CFHTTPMessageIsHeaderComplete (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetBody (from CFNetwork)
                 (undefined) external _CFHTTPMessageSetHeaderFieldValue (from CFNetwork)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithSubstring (from CoreFoundation)
                 (undefined) external _CFStringTrimWhitespace (from CoreFoundation)
                 (undefined) external _CFURLCreateStringByReplacingPercentEscapes (from CoreFoundation)
                 (undefined) external _CFUUIDCreate (from CoreFoundation)
                 (undefined) external _CFUUIDCreateString (from CoreFoundation)
00000001ba3876ec (__TEXT,__text) external _DDExtractFileNameWithoutExtension
00000001ba36a404 (__TEXT,__text) external _DDIntersectionRange
00000001ba36a5c8 (__TEXT,__text) external _DDRangeCompare
00000001ba36a474 (__TEXT,__text) external _DDRangeFromString
00000001ba36a43c (__TEXT,__text) external _DDStringFromRange
00000001ba36a3e0 (__TEXT,__text) external _DDUnionRange
00000001e0b1c2c8 (__DATA_CONST,__const) external _GCDAsyncSocketErrorDomain
00000001e0b1c2c0 (__DATA_CONST,__const) external _GCDAsyncSocketException
00000001e0b1c2d0 (__DATA_CONST,__const) external _GCDAsyncSocketQueueName
00000001e0b1c2f0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsAnyRoot
00000001e0b1c2e0 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredCertificates
00000001e0b1c2e8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLAllowsExpiredRoots
00000001e0b1c2f8 (__DATA_CONST,__const) external _GCDAsyncSocketSSLCipherSuites
00000001e0b1c300 (__DATA_CONST,__const) external _GCDAsyncSocketSSLClientSideAuthentication
00000001e0b1c318 (__DATA_CONST,__const) external _GCDAsyncSocketSSLDiffieHellmanParameters
00000001e0b1c310 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMax
00000001e0b1c308 (__DATA_CONST,__const) external _GCDAsyncSocketSSLProtocolVersionMin
00000001e0b1c2d8 (__DATA_CONST,__const) external _GCDAsyncSocketThreadName
00000001e0b1c320 (__DATA_CONST,__const) non-external _GlobalLoggingQueueIdentityKey
00000001ba391140 (__TEXT,__const) external _HTTPServerVersionNumber
00000001ba391110 (__TEXT,__const) external _HTTPServerVersionString
                 (undefined) external _NSClassFromString (from Foundation)
                 (undefined) external _NSFileCreationDate (from Foundation)
                 (undefined) external _NSFileHandleOperationException (from Foundation)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSFileSize (from Foundation)
                 (undefined) external _NSFileType (from Foundation)
                 (undefined) external _NSFileTypeDirectory (from Foundation)
                 (undefined) external _NSFileTypeRegular (from Foundation)
                 (undefined) external _NSKeyValueChangeNewKey (from Foundation)
                 (undefined) external _NSKeyValueChangeOldKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSRunLoopCommonModes (from CoreFoundation)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromSelector (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
00000001e5e84408 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDAbstractLogger
00000001e5e845c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDFileLogger
00000001e5e84390 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLog
00000001e5e84570 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileFormatterDefault
00000001e5e84520 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileInfo
00000001e5e844f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogFileManagerDefault
00000001e5e84318 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLogMessage
00000001e5e84340 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDLoggerNode
00000001e5e84638 (__AUTH,__objc_data) external _OBJC_CLASS_$_DDTTYLogger
00000001e5e841d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncReadPacket
00000001e5e84278 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSendfilePacket
00000001e58b7420 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocket
00000001e58b7448 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_GCDAsyncSocketPreBuffer
00000001e5e842c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncSpecialPacket
00000001e5e84228 (__AUTH,__objc_data) external _OBJC_CLASS_$_GCDAsyncWritePacket
00000001e5e84048 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAsyncFileResponse
00000001e5e83f08 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPAuthenticationRequest
00000001e5e83f80 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPConfig
00000001e58b7470 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPConnection
00000001e5e83f58 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPData
00000001e5e84098 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDataResponse
00000001e5e840e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPDynamicFileResponse
00000001e5e844a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPErrorResponse
00000001e5e84138 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPFileResponse
00000001e5e83ff8 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPMessage
00000001e5e84188 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPRedirectResponse
00000001e5e84458 (__AUTH,__objc_data) external _OBJC_CLASS_$_HTTPSendFileResponse
00000001e58b7498 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_HTTPServer
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNetService (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRunLoop (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSTimer (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001e4397a88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.formatter
00000001e4397a8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDAbstractLogger.loggerQueue
00000001e4397ac8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileHandle
00000001e4397ad0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.currentLogFileInfo
00000001e4397ac0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.droppedMessageCount
00000001e4397ac4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.logFileManager
00000001e4397ab8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.maximumFileSize
00000001e4397abc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingFrequency
00000001e4397acc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDFileLogger.rollingTimer
00000001e4397ab4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileFormatterDefault.dateFormatter
00000001e4397ae0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.creationDate
00000001e4397adc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileAttributes
00000001e4397ad8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileName
00000001e4397ad4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.filePath
00000001e4397ae8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.fileSize
00000001e4397ae4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileInfo.modificationDate
00000001e4397ab0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault._logsDirectory
00000001e4397aac (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogFileManagerDefault.maximumNumberOfLogFiles
00000001e4397a68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.file
00000001e4397a6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.function
00000001e4397a70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.lineNumber
00000001e4397a5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logContext
00000001e4397a58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logFlag
00000001e4397a54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logLevel
00000001e4397a60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.logMsg
00000001e4397a74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.machThreadID
00000001e4397a84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.options
00000001e4397a78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.queueLabel
00000001e4397a80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.tag
00000001e4397a7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.threadName
00000001e4397a64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLogMessage.timestamp
00000001e4397a50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.logger
00000001e4397a4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDLoggerNode.loggerQueue
00000001e4397afc (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.app
00000001e4397af8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appLen
00000001e4397af4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.appName
00000001e4397aec (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendar
00000001e4397af0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.calendarUnitFlags
00000001e4397b08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pid
00000001e4397b04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.pidLen
00000001e4397b00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_DDTTYLogger.processID
00000001e4397968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.buffer
00000001e4397984 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bufferOwner
00000001e4397970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.bytesDone
00000001e4397974 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.maxLength
00000001e4397988 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.originalBufferLength
00000001e439797c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.readLength
00000001e439796c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.startOffset
00000001e439798c (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.tag
00000001e4397980 (__DATA,__objc_ivar) external _OBJC_IVAR_$_GCDAsyncReadPacket.term
