000000020d199b4c (__TEXT,__text) non-external _Done_iODBC
00000002185b4cd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00000002185b49d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00000002185b4cf8 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000002185b4210 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000002185b3e18 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000002185b4230 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000002185b3ee0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000002185b3f00 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002185b3fb0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002185b42b0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002185b4260 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000002185b3c18 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020d1b14b0 (__TEXT,__text) non-external __trace_bufferlen
000000020d1b0b70 (__TEXT,__text) non-external __trace_c_type
000000020d1ad7cc (__TEXT,__text) non-external __trace_colattr2_type
000000020d1adb84 (__TEXT,__text) non-external __trace_colattr3_data
000000020d1ad82c (__TEXT,__text) non-external __trace_colattr3_type
000000020d1a9854 (__TEXT,__text) non-external __trace_connattr_type
000000020d1b180c (__TEXT,__text) non-external __trace_connopt_type
000000020d1b3a84 (__TEXT,__text) non-external __trace_connstr
000000020d1b3dac (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020d1b3ce4 (__TEXT,__text) non-external __trace_connstr_w
000000020d1b2c84 (__TEXT,__text) non-external __trace_data
000000020d1a9b50 (__TEXT,__text) non-external __trace_desc_null
000000020d1ad090 (__TEXT,__text) non-external __trace_descfield_type
000000020d1b28fc (__TEXT,__text) non-external __trace_diag_type
000000020d1af470 (__TEXT,__text) non-external __trace_direction
000000020d1b3b84 (__TEXT,__text) non-external __trace_drvcn_completion
000000020d1aa56c (__TEXT,__text) non-external __trace_envattr_type
000000020d1aae20 (__TEXT,__text) non-external __trace_fetchtype
000000020d1b4380 (__TEXT,__text) non-external __trace_freestmt_option
000000020d1aeaa4 (__TEXT,__text) non-external __trace_func_name
000000020d1ae9d8 (__TEXT,__text) non-external __trace_func_result
000000020d1ab0b4 (__TEXT,__text) non-external __trace_getinfo
000000020d1b0488 (__TEXT,__text) non-external __trace_handle
000000020d1b0414 (__TEXT,__text) non-external __trace_handle_p
000000020d1b03b4 (__TEXT,__text) non-external __trace_handletype
000000020d1b0ee8 (__TEXT,__text) non-external __trace_inouttype
000000020d1b054c (__TEXT,__text) non-external __trace_integer
000000020d1b06ec (__TEXT,__text) non-external __trace_integer_p
000000020d1b0820 (__TEXT,__text) non-external __trace_len
000000020d1b0888 (__TEXT,__text) non-external __trace_len_p
000000020d1b05bc (__TEXT,__text) non-external __trace_pointer
000000020d1b01c0 (__TEXT,__text) non-external __trace_print_function
000000020d1aaf2c (__TEXT,__text) non-external __trace_scrollopt_type
000000020d1aac40 (__TEXT,__text) non-external __trace_setpos_irow
000000020d1aacd8 (__TEXT,__text) non-external __trace_setpos_lock
000000020d1aac78 (__TEXT,__text) non-external __trace_setpos_oper
000000020d1b04dc (__TEXT,__text) non-external __trace_smallint
000000020d1b0604 (__TEXT,__text) non-external __trace_smallint_p
000000020d1aa86c (__TEXT,__text) non-external __trace_spcols_null
000000020d1aa80c (__TEXT,__text) non-external __trace_spcols_scope
000000020d1aa7a8 (__TEXT,__text) non-external __trace_spcols_type
000000020d1b13cc (__TEXT,__text) non-external __trace_sql_subtype
000000020d1b0f48 (__TEXT,__text) non-external __trace_sql_type
000000020d1b116c (__TEXT,__text) non-external __trace_sql_type_p
000000020d1b403c (__TEXT,__text) non-external __trace_stats_accuracy
000000020d1b3fd8 (__TEXT,__text) non-external __trace_stats_unique
000000020d1b1bd8 (__TEXT,__text) non-external __trace_stmtattr_type
000000020d1b253c (__TEXT,__text) non-external __trace_stmtopt_type
000000020d1b0970 (__TEXT,__text) non-external __trace_string
000000020d1b0a54 (__TEXT,__text) non-external __trace_string_w
000000020d1b07d4 (__TEXT,__text) non-external __trace_stringlen
00000002185b4df8 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020d1b3374 (__TEXT,__text) non-external __trace_tran_completion
000000020d1b36b8 (__TEXT,__text) non-external __trace_typeinfo
000000020d1b0584 (__TEXT,__text) non-external __trace_uinteger
000000020d1b0760 (__TEXT,__text) non-external __trace_uinteger_p
000000020d1b0854 (__TEXT,__text) non-external __trace_ulen
000000020d1b08fc (__TEXT,__text) non-external __trace_ulen_p
000000020d1b0514 (__TEXT,__text) non-external __trace_usmallint
000000020d1b0678 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000021bac0212 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020d1b5334 (__TEXT,__text) non-external _dm_SQL_A2W
000000020d1b5870 (__TEXT,__text) non-external _dm_SQL_U8toW
000000020d1b52b8 (__TEXT,__text) non-external _dm_SQL_W2A
000000020d1b55c8 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000020d1b53b0 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000020d1b5a8c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000020d1b5460 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000020d1b5510 (__TEXT,__text) non-external _dm_strcpy_A2W
000000020d1b556c (__TEXT,__text) non-external _dm_strcpy_W2A
000000020d1b6ff0 (__TEXT,__text) non-external _do_create_dsns
000000021bac01d0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000021bac01b0 (__DATA,__common) non-external _ierror
000000020d1b7144 (__TEXT,__text) non-external _install_from_ini
000000020d1b7610 (__TEXT,__text) non-external _install_from_string
000000021babfc18 (__DATA,__data) external _iodbc_version
000000021bac00f0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021bac0138 (__DATA,__data) non-external _numerrors
000000021babfc20 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000021bac0140 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020d1b77bc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002185b3088 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000021bac0180 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020d1ac940 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020d1b1740 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000020d1ad5fc (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020d1af36c (__TEXT,__text) non-external _trace_SQLAllocStmt
000000020d1ad54c (__TEXT,__text) non-external _trace_SQLBindCol
000000020d1ae230 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020d1b1590 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020d1b1668 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000020d1aa70c (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020d1b2bd4 (__TEXT,__text) non-external _trace_SQLCancel
000000020d1af428 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000020d1adac4 (__TEXT,__text) non-external _trace_SQLColAttribute
000000020d1adf84 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020d1ae044 (__TEXT,__text) non-external _trace_SQLColAttributes
000000020d1ae110 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020d1b26c4 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020d1b27e0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000020d1aca38 (__TEXT,__text) non-external _trace_SQLColumns
000000020d1acb54 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020d1b1fac (__TEXT,__text) non-external _trace_SQLConnect
000000020d1b2098 (__TEXT,__text) non-external _trace_SQLConnectW
000000020d1aadc8 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020d1af4fc (__TEXT,__text) non-external _trace_SQLDataSources
000000020d1af5fc (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000020d1a9be4 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000020d1a9cf0 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020d1b2604 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020d1af3e0 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020d1b3984 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020d1b3be4 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020d1ae500 (__TEXT,__text) non-external _trace_SQLDrivers
000000020d1ae600 (__TEXT,__text) non-external _trace_SQLDriversW
000000020d1ac8d8 (__TEXT,__text) non-external _trace_SQLEndTran
000000020d1aa06c (__TEXT,__text) non-external _trace_SQLError
000000020d1aa16c (__TEXT,__text) non-external _trace_SQLErrorW
000000020d1af108 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020d1af18c (__TEXT,__text) non-external _trace_SQLExecDirectW
000000020d1aa760 (__TEXT,__text) non-external _trace_SQLExecute
000000020d1aae84 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020d1af804 (__TEXT,__text) non-external _trace_SQLFetch
000000020d1b17a4 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020d1b2184 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020d1b2304 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020d1b24f4 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000020d1aabf8 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000020d1ac884 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000020d1b43d8 (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020d1a9a08 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000020d1a9aac (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020d1b1a38 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020d1b1aa0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000020d1ad684 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000020d1ad728 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020d1b3268 (__TEXT,__text) non-external _trace_SQLGetData
000000020d1ad3ec (__TEXT,__text) non-external _trace_SQLGetDescField
000000020d1ad49c (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000020d1a9dfc (__TEXT,__text) non-external _trace_SQLGetDescRec
000000020d1a9f34 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020d1b2a60 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020d1b2b24 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000020d1aa37c (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000020d1aa474 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000020d1aa5f8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020d1af090 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000020d1ab004 (__TEXT,__text) non-external _trace_SQLGetInfo
000000020d1ac534 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020d1b1e78 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020d1b1f1c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020d1b259c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020d1b38dc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020d1b3930 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020d1b332c (__TEXT,__text) non-external _trace_SQLMoreResults
000000020d1aceb8 (__TEXT,__text) non-external _trace_SQLNativeSql
000000020d1acfa4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000020d1acc70 (__TEXT,__text) non-external _trace_SQLNumParams
000000020d1b2484 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020d1ae1dc (__TEXT,__text) non-external _trace_SQLParamData
000000020d1ac9b4 (__TEXT,__text) non-external _trace_SQLParamOptions
000000020d1b442c (__TEXT,__text) non-external _trace_SQLPrepare
000000020d1b44b0 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020d1ae700 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020d1ae7ec (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000020d1ac5e4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000020d1ac700 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020d1ae328 (__TEXT,__text) non-external _trace_SQLProcedures
000000020d1ae414 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020d1b2c1c (__TEXT,__text) non-external _trace_SQLPutData
000000020d1aa69c (__TEXT,__text) non-external _trace_SQLRowCount
000000020d1b3ef0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000020d1b3f64 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020d1b1b08 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020d1b1b70 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020d1af6fc (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020d1af780 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000020d1aa26c (__TEXT,__text) non-external _trace_SQLSetDescField
000000020d1aa2f4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020d1ae8d8 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020d1af210 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000020d1aad38 (__TEXT,__text) non-external _trace_SQLSetPos
000000020d1aaf90 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020d1af284 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020d1af2f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000020d1ac81c (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000020d1aa8d0 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000020d1aaa64 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000020d1b40a0 (__TEXT,__text) non-external _trace_SQLStatistics
000000020d1b4210 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000020d1acce0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000020d1acdcc (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020d1b3480 (__TEXT,__text) non-external _trace_SQLTables
000000020d1b359c (__TEXT,__text) non-external _trace_SQLTablesW
000000020d1b33d8 (__TEXT,__text) non-external _trace_SQLTransact
000000021bac0170 (__DATA,__bss) non-external _trace_appname
000000020d1afdac (__TEXT,__text) non-external _trace_emit
000000020d1b002c (__TEXT,__text) non-external _trace_emit_binary
000000020d1afe14 (__TEXT,__text) non-external _trace_emit_string
000000020d1afdf8 (__TEXT,__text) non-external _trace_emitc
000000021bac0178 (__DATA,__bss) non-external _trace_fname
000000021bac0190 (__DATA,__bss) non-external _trace_fp
000000021bac0198 (__DATA,__bss) non-external _trace_fp_close
000000020d1af888 (__TEXT,__text) non-external _trace_get_filename
000000020d1af84c (__TEXT,__text) non-external _trace_set_appname
000000020d1af894 (__TEXT,__text) non-external _trace_set_filename
000000020d1afb54 (__TEXT,__text) non-external _trace_start
000000020d1afcf8 (__TEXT,__text) non-external _trace_stop
000000020d1afadc (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000020d1b5a10 (__TEXT,__text) non-external _utf8_len
000000020d1b5b30 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000021bac0210 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
