000000020e2f5728 (__DATA,__bss) non-external _A
0000000200252d0c (__TEXT,__text) external _houdini_escape_html
0000000200252bdc (__TEXT,__text) external _houdini_escape_html0
000000020026b5f0 (__TEXT,__text) external _houdini_unescape_ent
000000020026b8b0 (__TEXT,__text) external _houdini_unescape_html
000000020026b9dc (__TEXT,__text) external _houdini_unescape_html_f
000000020025418c (__TEXT,__text) non-external _html_render
0000000200256db0 (__TEXT,__text) non-external _html_render
000000020026d2f8 (__TEXT,__text) non-external _html_render
000000020026f0d4 (__TEXT,__text) non-external _html_render.cold.1
000000020026dee0 (__TEXT,__text) non-external _html_table_add_align
000000020026e2b8 (__TEXT,__text) non-external _init_arena
000000020026e2a8 (__TEXT,__text) non-external _initialize_arena
0000000200255a64 (__TEXT,__text) non-external _initialize_extensions
0000000200256f18 (__TEXT,__text) non-external _insert
000000020025538c (__TEXT,__text) non-external _is_valid_hostchar
0000000200256cd4 (__TEXT,__text) non-external _latex_render
000000020026cda4 (__TEXT,__text) non-external _latex_render
000000020026f07c (__TEXT,__text) non-external _latex_render.cold.1
000000020026a0ec (__TEXT,__text) non-external _link_label
000000020026ed4c (__TEXT,__text) non-external _link_label.cold.1
000000020026ed74 (__TEXT,__text) non-external _link_label.cold.2
000000020026ed9c (__TEXT,__text) non-external _link_label.cold.3
000000020026edc4 (__TEXT,__text) non-external _link_label.cold.4
000000020026edec (__TEXT,__text) non-external _link_label.cold.5
000000020026ac7c (__TEXT,__text) non-external _make_autolink
000000020026eff8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
0000000200256d08 (__TEXT,__text) non-external _man_render
000000020026d0cc (__TEXT,__text) non-external _man_render
000000020026f0a8 (__TEXT,__text) non-external _man_render.cold.1
000000020026a3f0 (__TEXT,__text) non-external _manual_scan_link_url
0000000200254c7c (__TEXT,__text) non-external _match
0000000200256df4 (__TEXT,__text) non-external _match
0000000200253f50 (__TEXT,__text) non-external _matches
000000020026c2b8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000200262a8c (__TEXT,__text) external _normalize_map_label
000000020026e61c (__TEXT,__text) non-external _normalize_map_label.cold.1
000000020026d898 (__TEXT,__text) non-external _opaque_alloc
000000020026d914 (__TEXT,__text) non-external _opaque_free
0000000200253fe8 (__TEXT,__text) non-external _open_tasklist_item
00000002002519fc (__TEXT,__text) non-external _outc
00000002002575d4 (__TEXT,__text) non-external _outc
000000020026babc (__TEXT,__text) non-external _outc
0000000200256dd0 (__TEXT,__text) non-external _plaintext_render
0000000200255070 (__TEXT,__text) non-external _postprocess
00000002002553dc (__TEXT,__text) non-external _postprocess_text
0000000200269770 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
0000000200262d30 (__TEXT,__text) non-external _refcmp
0000000200263694 (__TEXT,__text) non-external _reference_free
0000000200262c74 (__TEXT,__text) non-external _refsearch
0000000200262a04 (__TEXT,__text) non-external _register_plugins
000000020e2f5480 (__DATA,__data) non-external _registered_once
0000000200269d4c (__TEXT,__text) non-external _remove_delimiter
000000020026ec08 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000200265ba4 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000020026db44 (__TEXT,__text) non-external _row_from_string
000000020a780c28 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000200265d70 (__TEXT,__text) non-external _sort_footnote_by_ix
000000020026a2dc (__TEXT,__text) non-external _spnl
000000020026ee18 (__TEXT,__text) non-external _spnl.cold.1
000000020026ee40 (__TEXT,__text) non-external _spnl.cold.2
000000020026ee68 (__TEXT,__text) non-external _spnl.cold.3
000000020026ee90 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000020e2f55e0 (__DATA,__bss) non-external _syntax_extensions
000000020026c380 (__TEXT,__text) non-external _try_opening_table_block
000000020026ddbc (__TEXT,__text) non-external _unescape_pipes
000000020026f330 (__TEXT,__const) non-external _utf8proc_utf8class
0000000200252d40 (__TEXT,__text) non-external _xcalloc
000000020026e4b4 (__TEXT,__text) non-external _xcalloc.cold.1
0000000200252d80 (__TEXT,__text) non-external _xfree
0000000200254310 (__TEXT,__text) non-external _xml_attr
000000020026cff8 (__TEXT,__text) non-external _xml_attr
0000000200252d60 (__TEXT,__text) non-external _xrealloc
000000020026e4e4 (__TEXT,__text) non-external _xrealloc.cold.1
