00007ffb0054a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0055883e (__TEXT,__text) external __ZN11IOWorkGroup9_DispatchEPS_5IORPC
00007ffb00531d64 (__TEXT,__text) non-external (was a private external) __ZN12CompactArrayIP15IODispatchQueueE5resetEv
00007ffb0055a966 (__TEXT,__text) non-external __ZN12CompactArrayIP15IODispatchQueueE5resetEv.cold.1
00007ffb00532018 (__TEXT,__text) non-external (was a private external) __ZN12CompactArrayIP15IODispatchQueueEixEm
00007ffb0055aa98 (__TEXT,__text) non-external __ZN12CompactArrayIP15IODispatchQueueEixEm.cold.1
00007ffb0055aab9 (__TEXT,__text) non-external __ZN12CompactArrayIP15IODispatchQueueEixEm.cold.2
00007ffb0054b8f2 (__TEXT,__text) external __ZN12IODMACommand11CompleteDMAEyPFiP15OSMetaClassBase5IORPCE
00007ffb0054bd0c (__TEXT,__text) external __ZN12IODMACommand13Create_InvokeE5IORPCPFiP9IOServiceyPK25IODMACommandSpecificationPPS_E
00007ffb0054b740 (__TEXT,__text) external __ZN12IODMACommand13PrepareForDMAEyP18IOMemoryDescriptoryyPyPjP16IOAddressSegmentPFiP15OSMetaClassBase5IORPCE
00007ffb0054ba2e (__TEXT,__text) external __ZN12IODMACommand14GetPreparationEPyS0_PP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb0054bbd8 (__TEXT,__text) external __ZN12IODMACommand16PerformOperationEyyyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb0054bede (__TEXT,__text) external __ZN12IODMACommand18CompleteDMA_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb0054bddc (__TEXT,__text) external __ZN12IODMACommand20PrepareForDMA_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP18IOMemoryDescriptoryyPyPjP16IOAddressSegmentE
00007ffb0054bf52 (__TEXT,__text) external __ZN12IODMACommand21GetPreparation_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyS3_PP18IOMemoryDescriptorE
00007ffb0054bfd8 (__TEXT,__text) external __ZN12IODMACommand23PerformOperation_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyP18IOMemoryDescriptorE
00007ffb00537316 (__TEXT,__text) external __ZN12IODMACommand4freeEv
00007ffb005372d6 (__TEXT,__text) external __ZN12IODMACommand4initEv
00007ffb0054b616 (__TEXT,__text) external __ZN12IODMACommand6CreateEP9IOServiceyPK25IODMACommandSpecificationPPS_
00007ffb0054b59c (__TEXT,__text) external __ZN12IODMACommand8DispatchE5IORPC
00007ffb0054b5d2 (__TEXT,__text) external __ZN12IODMACommand9_DispatchEPS_5IORPC
00007ffb00537ab8 (__TEXT,__text) external __ZN12IOUserClient14ExternalMethodEyP27IOUserClientMethodArgumentsPK26IOUserClientMethodDispatchP8OSObjectPv
00007ffb0055746e (__TEXT,__text) external __ZN12IOUserClient15AsyncCompletionEP8OSActioniPKyjPFiP15OSMetaClassBase5IORPCE
00007ffb00557a30 (__TEXT,__text) external __ZN12IOUserClient15_ExternalMethodEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSActionPFiP15OSMetaClassBase5IORPCE
00007ffb00537bf4 (__TEXT,__text) external __ZN12IOUserClient20_ExternalMethod_ImplEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSAction
00007ffb00557cd4 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjE
00007ffb00557ce0 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjEPK11OSMetaClass
00007ffb005578c2 (__TEXT,__text) external __ZN12IOUserClient22CopyClientEntitlementsEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb0055723c (__TEXT,__text) external __ZN12IOUserClient22_ExternalMethod_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS6_S8_P8OSActionE
00007ffb005575b0 (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00537a7e (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00007ffb00557c6a (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00007ffb005571a4 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb00557d86 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffb0055773e (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00557e0c (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffb0053740e (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffb00537356 (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffb0055709a (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffb005570a4 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffb00558598 (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb005580de (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0055870a (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb00534676 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb00558192 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb00558426 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00534612 (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb00534602 (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb00558268 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb00557f8c (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb0053465c (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb00557f96 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb0053d69a (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb0053d7fa (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb0053d808 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb0053d690 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb0053d574 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb0053d722 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb0053d584 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0053d642 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0053d75c (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0053d712 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb0053d7e8 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb00538042 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb00538354 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb00538314 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0053e56c (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb0053e338 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb0053e4c4 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb0053e4fc (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb0053e3c0 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0053e3a8 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb0053e424 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb005385a2 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb00538484 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb00538684 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb00538756 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb0055baf6 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb005387f8 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb0055bb19 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb005384e6 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb00538474 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb00538548 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb00549ed8 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb00549e80 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb00549d86 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb00549d34 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb00549bb2 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb00549d78 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb00559c08 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb0054d0ae (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb00532d2a (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb0054d2a0 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb00534a6a (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb00534bfe (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb0054d22e (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00532c48 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb00534fc0 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb00534d32 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb0055b69a (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb00535034 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb0055b726 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb0055b749 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb00534b66 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb00534b90 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb0055b677 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb00534a2c (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb005347d6 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb005346b0 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb0053502a (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb005346f0 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb0053429c (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb0055b48d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb0055b4b0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb0055b4d3 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb0055b4f6 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb0055b519 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb0055b53c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb0055b55f (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb0055b582 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb005350d2 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb00532b7e (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb00532b90 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb0054cf9c (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb0054cf22 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb005350de (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb0054cf58 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0054967e (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb005492fc (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb00549368 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0054976c (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb005497b4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb00549372 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb0055ca43 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb00549968 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb00549a5c (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb005494a2 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb0055ca55 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb00549a70 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb00549a84 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb00548c04 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb00548c76 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb005495e6 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb00549674 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb00559530 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb00531558 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb00531d1e (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb00531f30 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb0055aa52 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb0055aa75 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb00531e88 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb0055aa13 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb00532628 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb0055ac4a (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb0055ac6d (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb0055ac90 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb0055acb3 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb0055acd6 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb0055acf9 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb005320a8 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb0055ab32 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb0055ab55 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb0055ab78 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb0055ab9b (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb0053154e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb00531588 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0053ae28 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb0053ec88 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb0055c406 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb0053ec44 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb0055c3e3 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb0053ec30 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb0053ec3a (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb0053ecae (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb0054d778 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb0054da96 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb00535210 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb0054d462 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb0054db82 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb0054d634 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0054db0a (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb005351f8 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb005351e8 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb0054d4f8 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0054d3b0 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb0054d956 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb0054d3ba (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb00547d96 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb005475a6 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb00547cc4 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb005475c4 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb005480ec (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0054802e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb0055c7ac (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb00547fbc (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb0055c793 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb00548066 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb0055c7c5 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0054812a (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb00547988 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb0055c6d3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb0055c6ec (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0055c70c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb0055c733 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb0055c753 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0054763a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb0055c5cf (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb0055c5e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb0055c601 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb00547c60 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb00547b0a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb00547588 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0054805e (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb00547bc4 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb0055c77a (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb005480ae (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb005477f6 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb0055c613 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb0055c62c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb0055c645 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb0055c665 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb0055c68c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb0055c6ac (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb005475d6 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb00547a4c (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb005472f8 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb005471f2 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb00547414 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0054740a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb00547362 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb0055c541 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb0055c561 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb0055c588 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb0055c5a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb00548332 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb005481ba (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb005483c0 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0054822a (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb005482a4 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb00559444 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb0055a582 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb00558e6c (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb00558f38 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb005594b2 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb005595ce (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb005595fe (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb00559674 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb00559c46 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb0054b510 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb0054fbfe (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb0054fd60 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb00550160 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb005501d4 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb0054fee2 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
