                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8121bc942 (__TEXT,__text) non-external _alone_decode
00007ff8121ba602 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
00007ff8121ba5c2 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff8121c8be8 (__TEXT,__text) non-external _worker_decoder
00007ff8121c8bad (__TEXT,__text) non-external _worker_enable_partial_update
00007ff8121cb4d6 (__TEXT,__text) non-external _worker_error
00007ff8121cb0d4 (__TEXT,__text) non-external _worker_start
00007ff8121c98c6 (__TEXT,__text) non-external _x86_code
00007ff8121d1b00 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
00007ff8121d1b10 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff8121c9871 (__TEXT,__text) non-external _x86_coder_init
