00000001d8a90fc0 (__DATA,__data) external _NDR_record
00000001803c0014 (__TEXT,__text) external _debug_control_port_for_pid
00000001803d986c (__TEXT,__text) external _debug_syscall_reject
00000001803d975c (__TEXT,__text) external _debug_syscall_reject_config
00000001d8a90fb8 (__DATA,__data) external _denap_boost_assertion_token
00000001803ce1a4 (__TEXT,__text) external _disconnectx
00000001803c6854 (__TEXT,__text) non-external _do_compat
00000001803c4578 (__TEXT,__text) external _dup
00000001803c88f0 (__TEXT,__text) external _dup2
00000001d3aed7f8 (__DATA_CONST,__const) non-external _err_codes_auth
00000001d3aed688 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d3aed9f0 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d3aed6c8 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d3aed7c8 (__DATA_CONST,__const) non-external _err_codes_io
00000001d3aee330 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d3aedf68 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001803f28f8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d3aee1f8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001803f2938 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d3aee118 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001803f2908 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d3aed270 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d3aeddf8 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d3aede68 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d3aede08 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d3aed9c0 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d3aedda8 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d3aedd20 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d3aedc68 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d3aed990 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d3aedc28 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d3aed6e8 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d3aed668 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d3aed738 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d3aedbe0 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d3aedb80 (__DATA_CONST,__const) non-external _err_codes_send
00000001d3aed900 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d3aed708 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d3aed700 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d3aed438 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d3aed840 (__DATA_CONST,__const) non-external _err_codes_us
00000001d3aeda28 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d3aedb18 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d3aed090 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001803f28e8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d3aecf28 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d3aed018 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d3aecfa0 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d3aecc08 (__DATA_CONST,__const) non-external _err_os_sub
00000001d3aecca8 (__DATA_CONST,__const) non-external _err_server_sub
00000001803f28c0 (__TEXT,__const) non-external _err_us_sub
00000001db3e03d0 (__DATA_DIRTY,__common) external _errno
00000001803eeff4 (__TEXT,__text) external _etap_trace_thread
00000001803ddd08 (__TEXT,__text) external _exc_server
00000001803ddcd4 (__TEXT,__text) external _exc_server_routine
00000001803dd318 (__TEXT,__text) external _exception_raise
00000001803dd494 (__TEXT,__text) external _exception_raise_state
00000001803dd708 (__TEXT,__text) external _exception_raise_state_identity
00000001803cc544 (__TEXT,__text) external _exchangedata
00000001803c88b0 (__TEXT,__text) external _execve
00000001d8a91060 (__DATA,__bss) non-external _execve_with_filter
00000001803ce1d0 (__TEXT,__text) external _faccessat
00000001803ce1fc (__TEXT,__text) external _fchdir
00000001803c5574 (__TEXT,__text) external _fchflags
00000001803c4604 (__TEXT,__text) external _fchmod
00000001803ce228 (__TEXT,__text) external _fchmodat
00000001803c59b8 (__TEXT,__text) external _fchown
00000001803ce254 (__TEXT,__text) external _fchownat
00000001803ce280 (__TEXT,__text) external _fclonefileat
00000001803c09e8 (__TEXT,__text) external _fcntl
00000001803c41d0 (__TEXT,__text) external _fcntl$NOCANCEL
00000001803ce2ac (__TEXT,__text) external _fdatasync
00000001803c7ac8 (__TEXT,__text) external _ffsctl
00000001803c3890 (__TEXT,__text) external _fgetattrlist
00000001803c454c (__TEXT,__text) external _fgetxattr
00000001803ce2d8 (__TEXT,__text) external _fhopen
00000001803c623c (__TEXT,__text) external _fileport_makefd
00000001803c64bc (__TEXT,__text) external _fileport_makeport
00000001803cc458 (__TEXT,__text) external _flistxattr
00000001803c3ed4 (__TEXT,__text) external _flock
00000001803ce304 (__TEXT,__text) external _fmount
00000001803ce330 (__TEXT,__text) external _fpathconf
00000001803d1f94 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001803ce35c (__TEXT,__text) external _freadlink
00000001803ce388 (__TEXT,__text) external _fremovexattr
00000001803d96b8 (__TEXT,__text) external _fs_snapshot_create
00000001803d96d4 (__TEXT,__text) external _fs_snapshot_delete
00000001803c87a0 (__TEXT,__text) external _fs_snapshot_list
00000001803d9744 (__TEXT,__text) external _fs_snapshot_mount
00000001803d96f0 (__TEXT,__text) external _fs_snapshot_rename
00000001803d970c (__TEXT,__text) external _fs_snapshot_revert
00000001803d9728 (__TEXT,__text) external _fs_snapshot_root
00000001803c3864 (__TEXT,__text) external _fsctl
00000001803c598c (__TEXT,__text) external _fsetattrlist
00000001803c53b0 (__TEXT,__text) external _fsetxattr
00000001803c3950 (__TEXT,__text) external _fsgetpath
00000001803ce3b4 (__TEXT,__text) external _fsgetpath_ext
00000001803ce40c (__TEXT,__text) external _fstat
00000001803ce40c (__TEXT,__text) external _fstat64
00000001803ce464 (__TEXT,__text) external _fstatat
00000001803ce464 (__TEXT,__text) external _fstatat64
00000001803cbb0c (__TEXT,__text) external _fstatfs
00000001803cbb0c (__TEXT,__text) external _fstatfs64
00000001803c3a00 (__TEXT,__text) external _fsync
00000001803cd088 (__TEXT,__text) external _fsync$NOCANCEL
00000001803c3658 (__TEXT,__text) external _ftruncate
00000001803d4108 (__TEXT,__text) external _futimens
00000001803c55a0 (__TEXT,__text) external _futimes
00000001d8a90fc8 (__DATA,__crash_info) non-external _gCRAnnotations
00000001803c0908 (__TEXT,__text) external _getattrlist
00000001803ce4bc (__TEXT,__text) external _getattrlistat
00000001803c36b0 (__TEXT,__text) external _getattrlistbulk
00000001803dc968 (__TEXT,__text) external _getaudit
00000001803c22cc (__TEXT,__text) external _getaudit_addr
00000001803ce4e8 (__TEXT,__text) external _getauid
00000001803ce514 (__TEXT,__text) external _getdirentries
00000001803ce540 (__TEXT,__text) external _getdirentriesattr
00000001803c8c50 (__TEXT,__text) external _getdtablesize
00000001803c1a80 (__TEXT,__text) external _getegid
00000001803c0408 (__TEXT,__text) external _getentropy
00000001803c1208 (__TEXT,__text) external _geteuid
00000001803ce56c (__TEXT,__text) external _getfh
00000001803ce5c4 (__TEXT,__text) external _getfsstat
00000001803ce5c4 (__TEXT,__text) external _getfsstat64
00000001803c414c (__TEXT,__text) external _getgid
00000001803c59e4 (__TEXT,__text) external _getgroups
00000001803c5778 (__TEXT,__text) external _gethostuuid
00000001803c472c (__TEXT,__text) external _getiopolicy_np
00000001803ce5f0 (__TEXT,__text) external _getitimer
00000001803c45d8 (__TEXT,__text) external _getpeername
00000001803ca430 (__TEXT,__text) external _getpgid
00000001803c8884 (__TEXT,__text) external _getpgrp
00000001803c0444 (__TEXT,__text) external _getpid
00000001803c6540 (__TEXT,__text) external _getppid
00000001803c86c4 (__TEXT,__text) external _getpriority
00000001803c2298 (__TEXT,__text) external _getrlimit
00000001803c7888 (__TEXT,__text) external _getrusage
00000001803cd0b4 (__TEXT,__text) external _getsgroups_np
00000001803ce61c (__TEXT,__text) external _getsid
00000001803c7af4 (__TEXT,__text) external _getsockname
00000001803c44f4 (__TEXT,__text) external _getsockopt
00000001803c1a28 (__TEXT,__text) external _getuid
00000001803cd0e0 (__TEXT,__text) external _getwgroups_np
00000001803c30c8 (__TEXT,__text) external _getxattr
00000001803ce648 (__TEXT,__text) external _grab_pgo_data
00000001803ce674 (__TEXT,__text) external _graftdmg
00000001803c39d4 (__TEXT,__text) external _guarded_close_np
00000001803cab84 (__TEXT,__text) external _guarded_kqueue_np
00000001803d200c (__TEXT,__text) external _guarded_open_dprotected_np
00000001803c3760 (__TEXT,__text) external _guarded_open_np
00000001803c37bc (__TEXT,__text) external _guarded_pwrite_np
00000001803c7c58 (__TEXT,__text) external _guarded_write_np
00000001803ce6a0 (__TEXT,__text) external _guarded_writev_np
00000001803f7eb1 (__TEXT,__cstring) non-external _hex
00000001803d205c (__TEXT,__text) external _host_check_multiuser_mode
00000001803c0fcc (__TEXT,__text) external _host_create_mach_voucher
00000001803bff90 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001803de2e8 (__TEXT,__text) external _host_default_memory_manager
00000001803dfd40 (__TEXT,__text) external _host_get_UNDServer
00000001803d203c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001803ddd90 (__TEXT,__text) external _host_get_boot_info
00000001803de9dc (__TEXT,__text) external _host_get_clock_control
00000001803c5de4 (__TEXT,__text) external _host_get_clock_service
00000001803df1d0 (__TEXT,__text) external _host_get_exception_ports
00000001803e09fc (__TEXT,__text) external _host_get_io_main
00000001803c3a2c (__TEXT,__text) external _host_get_io_master
00000001803d2054 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001803c0c0c (__TEXT,__text) external _host_get_special_port
00000001803c4e48 (__TEXT,__text) external _host_info
00000001803e037c (__TEXT,__text) external _host_kernel_version
00000001803e12e4 (__TEXT,__text) external _host_lockgroup_info
00000001803d21c0 (__TEXT,__text) external _host_page_size
00000001803de0c4 (__TEXT,__text) external _host_priv_statistics
00000001803e085c (__TEXT,__text) external _host_processor_info
00000001803dfaa4 (__TEXT,__text) external _host_processor_set_priv
00000001803df920 (__TEXT,__text) external _host_processor_sets
00000001803de858 (__TEXT,__text) external _host_processors
00000001803ddfa4 (__TEXT,__text) external _host_reboot
00000001803e1964 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001803e1af8 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001803c1f90 (__TEXT,__text) external _host_request_notification
00000001803e0090 (__TEXT,__text) external _host_security_create_task_token
00000001803e0234 (__TEXT,__text) external _host_security_set_task_token
00000001803d255c (__TEXT,__text) external _host_self
00000001803bfe40 (__TEXT,__text) external _host_self_trap
00000001803dfc1c (__TEXT,__text) external _host_set_UNDServer
00000001803e1c80 (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001803df098 (__TEXT,__text) external _host_set_exception_ports
00000001803e1fb8 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001803def64 (__TEXT,__text) external _host_set_special_port
00000001803ca530 (__TEXT,__text) external _host_statistics
00000001803c9db4 (__TEXT,__text) external _host_statistics64
00000001803df4b0 (__TEXT,__text) external _host_swap_exception_ports
00000001803e0ce0 (__TEXT,__text) external _host_virtual_physical_table_info
00000001d8a90fa0 (__DATA,__data) external _important_boost_assertion_token
00000001dd15d400 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001803d1ee4 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001d8a90f90 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001803d1e14 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001d8a90f88 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001803d1d30 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001d8a90f80 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001803c43e8 (__TEXT,__text) external _ioctl
00000001803bfc04 (__TEXT,__text) external _issetugid
00000001d8a91048 (__DATA,__bss) non-external _kAccountingThreshold
00000001803ce6cc (__TEXT,__text) external _kas_info
00000001803bfaa0 (__TEXT,__text) external _kdebug_is_enabled
00000001803d98d8 (__TEXT,__text) external _kdebug_signpost
00000001803ca520 (__TEXT,__text) external _kdebug_signpost_end
00000001803ca46c (__TEXT,__text) non-external _kdebug_signpost_internal
00000001803ca45c (__TEXT,__text) external _kdebug_signpost_start
00000001803d9888 (__TEXT,__text) external _kdebug_timestamp
00000001803d98a0 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001803d98bc (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001803bfb84 (__TEXT,__text) external _kdebug_trace
00000001803c2a50 (__TEXT,__text) external _kdebug_trace_string
00000001803bfb00 (__TEXT,__text) external _kdebug_typefilter
00000001db3e0a50 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001803d9874 (__TEXT,__text) external _kdebug_using_continuous_time
00000001803c6058 (__TEXT,__text) external _kevent
00000001803cbde0 (__TEXT,__text) external _kevent64
00000001803c1c44 (__TEXT,__text) external _kevent_id
00000001803c1c18 (__TEXT,__text) external _kevent_qos
00000001803dfea0 (__TEXT,__text) external _kext_request
00000001803c8130 (__TEXT,__text) external _kill
00000001803dedbc (__TEXT,__text) external _kmod_control
00000001803deb4c (__TEXT,__text) external _kmod_create
00000001803dec9c (__TEXT,__text) external _kmod_destroy
00000001803e0b5c (__TEXT,__text) external _kmod_get_info
00000001803dca54 (__TEXT,__text) external _kpersona_alloc
00000001803dcad4 (__TEXT,__text) external _kpersona_dealloc
00000001803dcba0 (__TEXT,__text) external _kpersona_find
00000001803dcc84 (__TEXT,__text) external _kpersona_find_by_type
00000001803c410c (__TEXT,__text) external _kpersona_get
00000001803dcb18 (__TEXT,__text) external _kpersona_getpath
00000001803c3e0c (__TEXT,__text) external _kpersona_info
00000001803dca94 (__TEXT,__text) external _kpersona_palloc
00000001803dcb5c (__TEXT,__text) external _kpersona_pidinfo
00000001803c602c (__TEXT,__text) external _kqueue
00000001803c5a10 (__TEXT,__text) external _lchown
00000001803ce6f8 (__TEXT,__text) external _ledger
00000001803c47f0 (__TEXT,__text) external _link
00000001803ce724 (__TEXT,__text) external _linkat
00000001803ce750 (__TEXT,__text) external _lio_listio
00000001803c87d4 (__TEXT,__text) external _listen
00000001803c36dc (__TEXT,__text) external _listxattr
00000001803e9d44 (__TEXT,__text) external _lock_set_create
00000001803e9eb0 (__TEXT,__text) external _lock_set_destroy
00000001803d46b8 (__TEXT,__text) external _log_data_as_kernel
00000001803c17f4 (__TEXT,__text) external _lseek
00000001803cb9ec (__TEXT,__text) external _lstat
00000001803cb9ec (__TEXT,__text) external _lstat64
00000001803c036c (__TEXT,__text) external _mach_absolute_time
00000001803c03f0 (__TEXT,__text) external _mach_absolute_time_kernel
00000001803c1654 (__TEXT,__text) external _mach_approximate_time
00000001803d3de4 (__TEXT,__text) external _mach_boottime_usec
00000001803c7528 (__TEXT,__text) external _mach_continuous_approximate_time
00000001803c02f4 (__TEXT,__text) external _mach_continuous_time
00000001803c03fc (__TEXT,__text) external _mach_continuous_time_kernel
00000001803d2138 (__TEXT,__text) external _mach_error
00000001d8a91018 (__DATA,__common) external _mach_error_full_diag
00000001803c66a4 (__TEXT,__text) external _mach_error_string
00000001803c66c8 (__TEXT,__text) non-external _mach_error_string_int
00000001803d2064 (__TEXT,__text) external _mach_error_type
00000001803f13d4 (__TEXT,__text) external _mach_eventlink_associate
00000001803f1114 (__TEXT,__text) external _mach_eventlink_create
00000001803f12b4 (__TEXT,__text) external _mach_eventlink_destroy
00000001803f151c (__TEXT,__text) external _mach_eventlink_disassociate
00000001803d406c (__TEXT,__text) external _mach_eventlink_signal
00000001803d40c8 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001803d4088 (__TEXT,__text) external _mach_eventlink_wait_until
00000001803bfedc (__TEXT,__text) external _mach_generate_activity_id
00000001803c1ea8 (__TEXT,__text) external _mach_get_times
00000001803c0c08 (__TEXT,__text) external _mach_host_self
00000001803d0598 (__TEXT,__text) external _mach_host_special_port_description
00000001d3aeca78 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001803d05f8 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d8a90e08 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001803c5c88 (__TEXT,__text) external _mach_init
00000001db3e0a38 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001803c5cc0 (__TEXT,__text) non-external _mach_init_doit
00000001803e64e4 (__TEXT,__text) external _mach_make_memory_entry
00000001803c1488 (__TEXT,__text) external _mach_make_memory_entry_64
00000001803f0e5c (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001803f0fdc (__TEXT,__text) external _mach_memory_entry_ownership
00000001803f0d00 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001803e1da0 (__TEXT,__text) external _mach_memory_info
00000001803e06cc (__TEXT,__text) external _mach_memory_object_memory_entry
00000001803e1154 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001803c0278 (__TEXT,__text) external _mach_msg
00000001803d21f0 (__TEXT,__text) external _mach_msg2_internal
00000001803bff0c (__TEXT,__text) external _mach_msg2_trap
00000001803c0d78 (__TEXT,__text) external _mach_msg_destroy
00000001803c0ec0 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001803c891c (__TEXT,__text) external _mach_msg_overwrite
00000001803bfe58 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001803d233c (__TEXT,__text) external _mach_msg_priority_encode
00000001803d232c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001803d2370 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001803d2380 (__TEXT,__text) external _mach_msg_priority_qos
00000001803d2390 (__TEXT,__text) external _mach_msg_priority_relpri
00000001803cc484 (__TEXT,__text) external _mach_msg_receive
00000001803c47b4 (__TEXT,__text) external _mach_msg_send
00000001803c7da4 (__TEXT,__text) external _mach_msg_server
00000001803c8be8 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001803d2328 (__TEXT,__text) external _mach_msg_server_importance
00000001803cb168 (__TEXT,__text) external _mach_msg_server_once
00000001803bfe4c (__TEXT,__text) external _mach_msg_trap
00000001803e71d0 (__TEXT,__text) external _mach_notify_dead_name
00000001803e710c (__TEXT,__text) external _mach_notify_no_senders
00000001803e7030 (__TEXT,__text) external _mach_notify_port_deleted
00000001803e7098 (__TEXT,__text) external _mach_notify_port_destroyed
00000001803e7174 (__TEXT,__text) external _mach_notify_send_once
00000001803c20c4 (__TEXT,__text) external _mach_port_allocate
00000001803dc4c8 (__TEXT,__text) external _mach_port_allocate_full
00000001803dc4b4 (__TEXT,__text) external _mach_port_allocate_name
00000001803dc4c4 (__TEXT,__text) external _mach_port_allocate_qos
00000001803dc738 (__TEXT,__text) external _mach_port_assert_attributes
00000001803c105c (__TEXT,__text) external _mach_port_construct
00000001803c1234 (__TEXT,__text) external _mach_port_deallocate
00000001803c5774 (__TEXT,__text) external _mach_port_destroy
00000001803c1888 (__TEXT,__text) external _mach_port_destruct
00000001803dc668 (__TEXT,__text) external _mach_port_dnrequest_info
00000001803c3564 (__TEXT,__text) external _mach_port_extract_member
00000001803ca178 (__TEXT,__text) external _mach_port_extract_right
00000001803c2854 (__TEXT,__text) external _mach_port_get_attributes
00000001803c53dc (__TEXT,__text) external _mach_port_get_context
00000001803c33ac (__TEXT,__text) external _mach_port_get_refs
00000001803dc734 (__TEXT,__text) external _mach_port_get_service_port_info
00000001803cc058 (__TEXT,__text) external _mach_port_get_set_status
00000001803dc4d0 (__TEXT,__text) external _mach_port_get_srights
00000001803c2dbc (__TEXT,__text) external _mach_port_guard
00000001803dc728 (__TEXT,__text) external _mach_port_guard_with_flags
00000001803c2134 (__TEXT,__text) external _mach_port_insert_member
00000001803c2360 (__TEXT,__text) external _mach_port_insert_right
00000001803dc730 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001803dc66c (__TEXT,__text) external _mach_port_kernel_object
00000001803dc6b0 (__TEXT,__text) external _mach_port_kobject
00000001803dc6b4 (__TEXT,__text) external _mach_port_kobject_description
00000001803c0604 (__TEXT,__text) external _mach_port_mod_refs
00000001803c506c (__TEXT,__text) external _mach_port_move_member
00000001803dc4ac (__TEXT,__text) external _mach_port_names
00000001803dc4b8 (__TEXT,__text) external _mach_port_peek
00000001803dc4b0 (__TEXT,__text) external _mach_port_rename
00000001803c1cf4 (__TEXT,__text) external _mach_port_request_notification
00000001803c28e0 (__TEXT,__text) external _mach_port_set_attributes
00000001803cbf34 (__TEXT,__text) external _mach_port_set_context
00000001803dc4bc (__TEXT,__text) external _mach_port_set_mscount
00000001803dc4c0 (__TEXT,__text) external _mach_port_set_seqno
00000001803dc4d8 (__TEXT,__text) external _mach_port_space_basic_info
00000001803dc4d4 (__TEXT,__text) external _mach_port_space_info
00000001803dc72c (__TEXT,__text) external _mach_port_swap_guard
00000001803c2b24 (__TEXT,__text) external _mach_port_type
00000001803dc6b8 (__TEXT,__text) external _mach_port_unguard
00000001803cbb38 (__TEXT,__text) external _mach_ports_lookup
00000001803c78b4 (__TEXT,__text) external _mach_ports_register
00000001803bfe1c (__TEXT,__text) external _mach_reply_port
00000001803d286c (__TEXT,__text) external _mach_right_recv_construct
00000001803d2934 (__TEXT,__text) external _mach_right_recv_destruct
00000001803d29cc (__TEXT,__text) external _mach_right_send_create
00000001803d2b14 (__TEXT,__text) external _mach_right_send_once_consume
00000001803d2aa8 (__TEXT,__text) external _mach_right_send_once_create
00000001803c481c (__TEXT,__text) external _mach_right_send_release
00000001803d2a34 (__TEXT,__text) external _mach_right_send_retain
00000001803dc548 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001803dc5f4 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001803d3df4 (__TEXT,__text) external _mach_task_is_self
00000001803d2868 (__TEXT,__text) external _mach_task_self
00000001db3e0a20 (__DATA_DIRTY,__common) external _mach_task_self_
00000001803d05b8 (__TEXT,__text) external _mach_task_special_port_description
00000001d3aecb88 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001803d06bc (__TEXT,__text) external _mach_task_special_port_for_id
00000001d8a90f00 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001803c5db4 (__TEXT,__text) external _mach_thread_self
00000001803d05d8 (__TEXT,__text) external _mach_thread_special_port_description
00000001d3aecbe8 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001803d06cc (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d8a90f60 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001803c029c (__TEXT,__text) external _mach_timebase_info
00000001db3e0a44 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001803bffc0 (__TEXT,__text) external _mach_timebase_info_trap
00000001803c21e4 (__TEXT,__text) external _mach_vm_allocate
00000001803e5f64 (__TEXT,__text) external _mach_vm_behavior_set
00000001803c7c84 (__TEXT,__text) external _mach_vm_copy
00000001803c1984 (__TEXT,__text) external _mach_vm_deallocate
00000001803e6cd0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
00000001803e6df0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
00000001803e6f10 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
00000001803e58cc (__TEXT,__text) external _mach_vm_inherit
00000001803e6088 (__TEXT,__text) external _mach_vm_machine_attribute
00000001803bfc30 (__TEXT,__text) external _mach_vm_map
00000001803e5e40 (__TEXT,__text) external _mach_vm_msync
00000001803e67dc (__TEXT,__text) external _mach_vm_page_info
00000001803e637c (__TEXT,__text) external _mach_vm_page_query
00000001803e69c8 (__TEXT,__text) external _mach_vm_page_range_query
00000001803c3c48 (__TEXT,__text) external _mach_vm_protect
00000001803c37ec (__TEXT,__text) external _mach_vm_purgable_control
00000001803dc86c (__TEXT,__text) external _mach_vm_read
00000001803e5b7c (__TEXT,__text) external _mach_vm_read_list
00000001803cb014 (__TEXT,__text) external _mach_vm_read_overwrite
00000001803d2ef8 (__TEXT,__text) external _mach_vm_reclaim_is_available
00000001803d2c90 (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001803d2dd4 (__TEXT,__text) external _mach_vm_reclaim_mark_used
00000001803d2bc4 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001803d2f18 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001803d2ee4 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001803c492c (__TEXT,__text) external _mach_vm_region
00000001803cada0 (__TEXT,__text) external _mach_vm_region_recurse
00000001803dc73c (__TEXT,__text) external _mach_vm_remap
00000001803dc7d4 (__TEXT,__text) external _mach_vm_remap_new
00000001803df7e8 (__TEXT,__text) external _mach_vm_wire
00000001803e5d04 (__TEXT,__text) external _mach_vm_write
00000001803c4b90 (__TEXT,__text) external _mach_voucher_attr_command
00000001803c184c (__TEXT,__text) external _mach_voucher_deallocate
00000001803f1ae8 (__TEXT,__text) external _mach_voucher_debug_info
00000001803f1894 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001803ca938 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001803c27dc (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001803bff9c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001803bffcc (__TEXT,__text) external _mach_wait_until
00000001803e1648 (__TEXT,__text) external _mach_zone_force_gc
00000001803e2590 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001803e23fc (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001803e1478 (__TEXT,__text) external _mach_zone_info
00000001803e224c (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001803e20d8 (__TEXT,__text) external _mach_zone_info_for_zone
00000001803bff54 (__TEXT,__text) external _macx_backing_store_recovery
00000001803bff48 (__TEXT,__text) external _macx_backing_store_suspend
00000001803bff24 (__TEXT,__text) external _macx_swapoff
00000001803bff18 (__TEXT,__text) external _macx_swapon
00000001803bff3c (__TEXT,__text) external _macx_triggers
00000001803c2b94 (__TEXT,__text) external _madvise
00000001803c6990 (__TEXT,__text) non-external (was a private external) _malloc
00000001d8a91040 (__DATA,__bss) non-external _master_host_port
00000001803c01d0 (__TEXT,__text) non-external _memcpy
00000001803cf5b0 (__TEXT,__text) non-external _memmove
00000001803c8e20 (__TEXT,__text) external _memorystatus_control
00000001803ce7a8 (__TEXT,__text) external _memorystatus_get_level
00000001803d23a8 (__TEXT,__text) external _mig_allocate
00000001803c3150 (__TEXT,__text) external _mig_dealloc_reply_port
00000001803dc4dc (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001803c5ac0 (__TEXT,__text) external _mig_deallocate
00000001803c01e0 (__TEXT,__text) external _mig_get_reply_port
00000001803c1670 (__TEXT,__text) external _mig_get_special_reply_port
00000001803c52e0 (__TEXT,__text) external _mig_put_reply_port
00000001803c48f8 (__TEXT,__text) external _mig_reply_setup
00000001803c52e4 (__TEXT,__text) external _mig_strncpy
00000001803c16ac (__TEXT,__text) external _mig_strncpy_zerofill
00000001803ce7d4 (__TEXT,__text) external _mincore
00000001803ce800 (__TEXT,__text) external _minherit
00000001803bfff0 (__TEXT,__text) external _mk_timer_arm
