00007ffb1ff61257 (__TEXT,__text) non-external _Done_iODBC
00007ffb40a156e0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb40a151e0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb40a152b0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb40a15f30 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb40a152d0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb40a152e0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb40a15700 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb40a15f50 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffb40a15f70 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb40a15770 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb40a15740 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb40a15f90 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb40a15300 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffb40a15330 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb40a15ff0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb40a16010 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb40a16040 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb40a16070 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb40a160e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb40a16120 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb40a161a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb40a16200 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb40a16280 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb40a162b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb40a16300 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb40a15fc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb40a16330 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb40a15790 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb40a15360 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb40a157b0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb40a15430 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb40a15450 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb40a15500 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb40a15830 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb40a157e0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb40a15130 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb1ff785eb (__TEXT,__text) non-external __trace_bufferlen
00007ffb1ff77e05 (__TEXT,__text) non-external __trace_c_type
00007ffb1ff752cc (__TEXT,__text) non-external __trace_colattr2_type
00007ffb1ff755d5 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb1ff7530a (__TEXT,__text) non-external __trace_colattr3_type
00007ffb1ff71af0 (__TEXT,__text) non-external __trace_connattr_type
00007ffb1ff788cc (__TEXT,__text) non-external __trace_connopt_type
00007ffb1ff7a607 (__TEXT,__text) non-external __trace_connstr
00007ffb1ff7a895 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb1ff7a7f4 (__TEXT,__text) non-external __trace_connstr_w
00007ffb1ff79920 (__TEXT,__text) non-external __trace_data
00007ffb1ff71d78 (__TEXT,__text) non-external __trace_desc_null
00007ffb1ff74ca0 (__TEXT,__text) non-external __trace_descfield_type
00007ffb1ff79664 (__TEXT,__text) non-external __trace_diag_type
00007ffb1ff76aac (__TEXT,__text) non-external __trace_direction
00007ffb1ff7a6d3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb1ff72652 (__TEXT,__text) non-external __trace_envattr_type
00007ffb1ff72cc8 (__TEXT,__text) non-external __trace_fetchtype
00007ffb1ff7ad40 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb1ff76281 (__TEXT,__text) non-external __trace_func_name
00007ffb1ff761d4 (__TEXT,__text) non-external __trace_func_result
00007ffb1ff72ebc (__TEXT,__text) non-external __trace_getinfo
00007ffb1ff77947 (__TEXT,__text) non-external __trace_handle
00007ffb1ff778e2 (__TEXT,__text) non-external __trace_handle_p
00007ffb1ff778a4 (__TEXT,__text) non-external __trace_handletype
00007ffb1ff78110 (__TEXT,__text) non-external __trace_inouttype
00007ffb1ff779b9 (__TEXT,__text) non-external __trace_integer
00007ffb1ff77ad1 (__TEXT,__text) non-external __trace_integer_p
00007ffb1ff77baa (__TEXT,__text) non-external __trace_len
00007ffb1ff77be4 (__TEXT,__text) non-external __trace_len_p
00007ffb1ff779f2 (__TEXT,__text) non-external __trace_pointer
00007ffb1ff77716 (__TEXT,__text) non-external __trace_print_function
00007ffb1ff72d98 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb1ff72b95 (__TEXT,__text) non-external __trace_setpos_irow
00007ffb1ff72bef (__TEXT,__text) non-external __trace_setpos_lock
00007ffb1ff72bb1 (__TEXT,__text) non-external __trace_setpos_oper
00007ffb1ff77980 (__TEXT,__text) non-external __trace_smallint
00007ffb1ff77a2a (__TEXT,__text) non-external __trace_smallint_p
00007ffb1ff72878 (__TEXT,__text) non-external __trace_spcols_null
00007ffb1ff7283a (__TEXT,__text) non-external __trace_spcols_scope
00007ffb1ff727f9 (__TEXT,__text) non-external __trace_spcols_type
00007ffb1ff78530 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb1ff7814e (__TEXT,__text) non-external __trace_sql_type
00007ffb1ff78324 (__TEXT,__text) non-external __trace_sql_type_p
00007ffb1ff7aa83 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb1ff7aa44 (__TEXT,__text) non-external __trace_stats_unique
00007ffb1ff78bb0 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb1ff79360 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb1ff77c8a (__TEXT,__text) non-external __trace_string
00007ffb1ff77d33 (__TEXT,__text) non-external __trace_string_w
00007ffb1ff77b76 (__TEXT,__text) non-external __trace_stringlen
00007ffb40a16350 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb1ff7a04d (__TEXT,__text) non-external __trace_tran_completion
00007ffb1ff7a2e8 (__TEXT,__text) non-external __trace_typeinfo
00007ffb1ff779d6 (__TEXT,__text) non-external __trace_uinteger
00007ffb1ff77b24 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb1ff77bc7 (__TEXT,__text) non-external __trace_ulen
00007ffb1ff77c37 (__TEXT,__text) non-external __trace_ulen_p
00007ffb1ff7799d (__TEXT,__text) non-external __trace_usmallint
00007ffb1ff77a7e (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb42db49b2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1ff7bbc7 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb1ff7c0d6 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb1ff7bb62 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb1ff7be10 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb1ff7bc30 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb1ff7c2d0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb1ff7bcd5 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb1ff7bd77 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb1ff7bdc5 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb1ff7d832 (__TEXT,__text) non-external _do_create_dsns
00007ffb42db4970 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb42db4950 (__DATA,__common) non-external _ierror
00007ffb1ff7d957 (__TEXT,__text) non-external _install_from_ini
00007ffb1ff7de26 (__TEXT,__text) non-external _install_from_string
00007ffb42db43b0 (__DATA,__data) external _iodbc_version
00007ffb42db4890 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42db48d8 (__DATA,__data) non-external _numerrors
00007ffb42db43c0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb42db48e0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1ff7dfcd (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb40a14670 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb42db4920 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb1ff7468e (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb1ff78838 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb1ff7515c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb1ff769ff (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb1ff750c2 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb1ff75b46 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb1ff786be (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb1ff7877b (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb1ff7279b (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb1ff798ab (__TEXT,__text) non-external _trace_SQLCancel
00007ffb1ff76a82 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb1ff75540 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb1ff75920 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb1ff759b8 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb1ff75a65 (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb1ff79489 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb1ff79575 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb1ff7474f (__TEXT,__text) non-external _trace_SQLColumns
00007ffb1ff7483b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb1ff78ed8 (__TEXT,__text) non-external _trace_SQLConnect
00007ffb1ff78f93 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb1ff72c8f (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb1ff76b10 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb1ff76bf2 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb1ff71de9 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb1ff71ed3 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb1ff793e6 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb1ff76a58 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb1ff7a524 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb1ff7a711 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb1ff75da8 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb1ff75e8a (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb1ff7464b (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb1ff721ef (__TEXT,__text) non-external _trace_SQLError
00007ffb1ff722d9 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb1ff7684f (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb1ff768ac (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb1ff727cf (__TEXT,__text) non-external _trace_SQLExecute
00007ffb1ff72d0a (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb1ff76d88 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb1ff78882 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb1ff7904e (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb1ff79198 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb1ff79336 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb1ff72b6b (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb1ff7461c (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb1ff7ad7b (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb1ff71c68 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb1ff71cf0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb1ff78a90 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb1ff78ad8 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb1ff751c3 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb1ff75247 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb1ff79f78 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb1ff74f94 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb1ff7502b (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb1ff71fbd (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb1ff720d6 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb1ff79778 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb1ff7981e (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb1ff72493 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb1ff72572 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb1ff726bf (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb1ff767fc (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb1ff72e2c (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb1ff7436c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb1ff78de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb1ff78e6c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb1ff7939e (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb1ff7a4bc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb1ff7a4f0 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb1ff7a023 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb1ff74b07 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb1ff74bd3 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb1ff74927 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb1ff792e2 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb1ff75b12 (__TEXT,__text) non-external _trace_SQLParamData
00007ffb1ff746e7 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb1ff7adaf (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb1ff7ae0c (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb1ff75f6c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb1ff76032 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb1ff743fc (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb1ff744e8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb1ff75c1c (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb1ff75ce2 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb1ff798d5 (__TEXT,__text) non-external _trace_SQLPutData
00007ffb1ff72747 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb1ff7a9a0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb1ff7a9f2 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb1ff78b20 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb1ff78b68 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb1ff76cd0 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb1ff76d2c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb1ff723c5 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb1ff7242c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb1ff760f8 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb1ff76909 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb1ff72c2d (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb1ff72dda (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb1ff7695b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb1ff769ad (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb1ff745d4 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb1ff728b7 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb1ff72a11 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb1ff7aac2 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb1ff7ac01 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb1ff7497b (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb1ff74a41 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb1ff7a10d (__TEXT,__text) non-external _trace_SQLTables
00007ffb1ff7a1f9 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb1ff7a08d (__TEXT,__text) non-external _trace_SQLTransact
00007ffb42db4910 (__DATA,__bss) non-external _trace_appname
00007ffb1ff772a9 (__TEXT,__text) non-external _trace_emit
00007ffb1ff7759e (__TEXT,__text) non-external _trace_emit_binary
00007ffb1ff7739a (__TEXT,__text) non-external _trace_emit_string
00007ffb1ff77374 (__TEXT,__text) non-external _trace_emitc
00007ffb42db4918 (__DATA,__bss) non-external _trace_fname
00007ffb42db4930 (__DATA,__bss) non-external _trace_fp
00007ffb42db4938 (__DATA,__bss) non-external _trace_fp_close
00007ffb1ff76de4 (__TEXT,__text) non-external _trace_get_filename
00007ffb1ff76db4 (__TEXT,__text) non-external _trace_set_appname
00007ffb1ff76df5 (__TEXT,__text) non-external _trace_set_filename
00007ffb1ff77073 (__TEXT,__text) non-external _trace_start
00007ffb1ff77209 (__TEXT,__text) non-external _trace_stop
00007ffb1ff77020 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb1ff7c270 (__TEXT,__text) non-external _utf8_len
00007ffb1ff7c34e (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb42db49b0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
