00007ffb025a9cb2 (__TEXT,__text) non-external _DiToMD5
00007ffb025b6fa2 (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb02597300 (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00007ffb025b7658 (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00007ffb025b6b96 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb025b7774 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffb025b7130 (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb025b77fa (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffb02596c60 (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffb02596b94 (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffb025b6a8c (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffb025b6a96 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffb025b7f6c (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb025b7ab8 (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb025b80d8 (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb02593de0 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb025b7b6c (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb025b7e00 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb02593d7c (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb02593d6c (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb025b7c42 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb025b7966 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb02593dc6 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb025b7970 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb0259d032 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb0259d192 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb0259d1a0 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb0259d028 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb0259cf0c (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb0259d0ba (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb0259cf1c (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0259cfda (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0259d0f4 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0259d0aa (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb0259d180 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb025978d8 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb02597c06 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb02597bb2 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0259df0e (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb0259dcc6 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb0259de66 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb0259de9e (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb0259dd62 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0259dd4a (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb0259ddc6 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb02597e72 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb02597d4a (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb02597f54 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb02598026 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb025bb479 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb025980d6 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb025bb49c (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb02597db6 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb02597d3a (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb02597e18 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb025a989e (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb025a9846 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb025a9756 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb025a96f4 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb025a9568 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb025a9748 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb025b95b0 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb025aca0e (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb02592300 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb025acc00 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb025941ec (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb02594380 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb025acb8e (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0259221e (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb02594742 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb025944b4 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb025bb01d (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb025947b6 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb025bb0a9 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb025bb0cc (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb025942e8 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb02594312 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb025baffa (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb025941ae (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb02593f54 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb02593e1a (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb025947ac (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb02593e6e (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb025939fc (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb025bae10 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb025bae33 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb025bae56 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb025bae79 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb025bae9c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb025baebf (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb025baee2 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb025baf05 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb02594854 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb02592158 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb0259216a (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb025ac902 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb025ac89c (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb02594860 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb025ac8be (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb025a9034 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb025a8caa (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb025a8d16 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb025a9122 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb025a916a (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb025a8d20 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb025bc3c1 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb025a931e (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb025a9412 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb025a8e54 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb025bc3d3 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb025a9426 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb025a943a (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb025a8594 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb025a8606 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb025a8f9c (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb025a902a (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb025b8ef2 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb02590b18 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb025912fe (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb02591510 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb025ba3d5 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb025ba3f8 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb02591468 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb025ba396 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb02591c00 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb025ba5cd (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb025ba5f0 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb025ba613 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb025ba636 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb025ba659 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb025ba67c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb02591688 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb025ba4b5 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb025ba4d8 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb025ba4fb (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb025ba51e (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb02590b0e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb02590b48 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0259a764 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb0259e62e (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb025bbd84 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb0259e5ea (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb025bbd61 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb0259e5d6 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb0259e5e0 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb0259e654 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb025ad0cc (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb025ad3e4 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb02594992 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb025acdc2 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb025ad4d0 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb025acf8e (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb025ad458 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb0259497a (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb0259496a (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb025ace58 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb025acd10 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb025ad2aa (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb025acd1a (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb025a7708 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb025a6f10 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb025a7638 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb025a6f2e (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb025a7a5e (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb025a79a0 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb025bc12a (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb025a792e (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb025bc111 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb025a79d8 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb025bc143 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb025a7a9c (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb025a72fc (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb025bc051 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb025bc06a (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb025bc08a (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb025bc0b1 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb025bc0d1 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb025a6fa4 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb025bbf4d (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb025bbf66 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb025bbf7f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb025a75d4 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb025a747e (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb025a6ef2 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb025a79d0 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb025a7538 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb025bc0f8 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb025a7a20 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb025a716a (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb025bbf91 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb025bbfaa (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb025bbfc3 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb025bbfe3 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb025bc00a (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb025bc02a (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb025a6f40 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb025a73c0 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb025a6c58 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb025a6b52 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb025a6d74 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb025a6d6a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb025a6cc2 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb025bbebf (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb025bbedf (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb025bbf06 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb025bbf26 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb025a7cae (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb025a7b2c (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb025a7d3c (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb025a7b9c (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb025a7c20 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb025b8e06 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb025b9efe (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb025b882e (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb025b88fa (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb025b8e74 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb025b8f90 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb025b8fc0 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb025b9022 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb025b95ee (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb025aaeb6 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb025af4f4 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb025af650 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb025afa50 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb025afac4 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb025af7d2 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb025af8e4 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb025afb5c (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb025afc22 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb02595502 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb025bb203 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb02596862 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb0259680e (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb025af48e (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb025968c4 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb025bb33e (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb025af4b0 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb025b00a8 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb025b0c7a (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb025b8e44 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb025a8588 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb025a84ae (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb025a8428 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb025a7de2 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb025a7e92 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb025affb8 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb025ad57c (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb025ad6bc (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb025ae15a (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb025ae016 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb025ae40c (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb02599090 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb025adee4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb02599160 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffb025ae546 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffb025ae636 (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb025ae7c4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb025ae70e (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb025ae8f8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
