00000001d83daf20 (__DATA,__data) external _NDR_record
00000001b7210ca4 (__TEXT,__text) external _coalition_info_set_efficiency
00000001b7210c6c (__TEXT,__text) external _coalition_info_set_name
00000001b7210ce0 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001b7203488 (__TEXT,__text) external _coalition_reap
00000001b7200cfc (__TEXT,__text) external _coalition_terminate
00000001b7201ec8 (__TEXT,__text) external _connect
00000001b7206560 (__TEXT,__text) external _connect$NOCANCEL
00000001b7229810 (__TEXT,__text) external _connectx
00000001b7200724 (__TEXT,__text) external _csops
00000001b71fd73c (__TEXT,__text) external _csops_audittoken
00000001b7209af8 (__TEXT,__text) external _csr_check
00000001b7210d1c (__TEXT,__text) external _csr_get_active_config
00000001b71fc654 (__TEXT,__text) external _debug_control_port_for_pid
00000001b7210dd0 (__TEXT,__text) external _debug_syscall_reject
00000001d83daf48 (__DATA,__data) external _denap_boost_assertion_token
00000001b722983c (__TEXT,__text) external _disconnectx
00000001b720bb78 (__TEXT,__text) non-external _do_compat
00000001b71fdd50 (__TEXT,__text) external _dup
00000001b7207568 (__TEXT,__text) external _dup2
00000001d43fca58 (__DATA_CONST,__const) non-external _err_codes_auth
00000001d43fc8e8 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001d43fcc50 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d43fc928 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d43fca28 (__DATA_CONST,__const) non-external _err_codes_io
00000001d43fd1c8 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001b722b6e8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d43fc4f0 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d43fd058 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d43fd0c8 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d43fd068 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d43fcc20 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d43fd008 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d43fcf80 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d43fcec8 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d43fcbf0 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d43fce88 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d43fc948 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d43fc8c8 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d43fc998 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d43fce40 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d43fcde0 (__DATA_CONST,__const) non-external _err_codes_send
00000001d43fcb60 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d43fc968 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d43fc960 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d43fc698 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d43fcaa0 (__DATA_CONST,__const) non-external _err_codes_us
00000001d43fcc88 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d43fcd78 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d43fb988 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001b722b6d8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d43fb820 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d43fb910 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d43fb898 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d43fb500 (__DATA_CONST,__const) non-external _err_os_sub
00000001d43fb5a0 (__DATA_CONST,__const) non-external _err_server_sub
00000001b722b6b0 (__TEXT,__const) non-external _err_us_sub
00000001d95b8060 (__DATA_DIRTY,__common) external _errno
00000001b7224d70 (__TEXT,__text) external _etap_trace_thread
00000001b7214420 (__TEXT,__text) external _exc_server
00000001b7214090 (__TEXT,__text) external _exc_server_routine
00000001b7213924 (__TEXT,__text) external _exception_raise
00000001b7213ab4 (__TEXT,__text) external _exception_raise_state
00000001b7213da0 (__TEXT,__text) external _exception_raise_state_identity
00000001b7229868 (__TEXT,__text) external _exchangedata
00000001b7206290 (__TEXT,__text) external _execve
00000001d83daf70 (__DATA,__common) non-external (was a private external) _execve_with_filter
00000001b71ffb44 (__TEXT,__text) external _faccessat
00000001b7229894 (__TEXT,__text) external _fchdir
00000001b72298c0 (__TEXT,__text) external _fchflags
00000001b7201240 (__TEXT,__text) external _fchmod
00000001b72298ec (__TEXT,__text) external _fchmodat
00000001b72024e0 (__TEXT,__text) external _fchown
00000001b7229918 (__TEXT,__text) external _fchownat
00000001b7229944 (__TEXT,__text) external _fclonefileat
00000001b71fe064 (__TEXT,__text) external _fcntl
00000001b7201074 (__TEXT,__text) external _fcntl$NOCANCEL
00000001b7229970 (__TEXT,__text) external _fdatasync
00000001b7201958 (__TEXT,__text) external _ffsctl
00000001b72029a8 (__TEXT,__text) external _fgetattrlist
00000001b7200434 (__TEXT,__text) external _fgetxattr
00000001b722999c (__TEXT,__text) external _fhopen
00000001b71fe8c0 (__TEXT,__text) external _fileport_makefd
00000001b72031b4 (__TEXT,__text) external _fileport_makeport
00000001b72029d4 (__TEXT,__text) external _flistxattr
00000001b71ffb18 (__TEXT,__text) external _flock
00000001b72299c8 (__TEXT,__text) external _fmount
00000001b72299f4 (__TEXT,__text) external _fpathconf
00000001b720ba08 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001b7229a20 (__TEXT,__text) external _freadlink
00000001b72065d0 (__TEXT,__text) non-external (was a private external) _free
00000001b72010f8 (__TEXT,__text) external _fremovexattr
00000001b7210d2c (__TEXT,__text) external _fs_snapshot_create
00000001b7210d48 (__TEXT,__text) external _fs_snapshot_delete
00000001b72069dc (__TEXT,__text) external _fs_snapshot_list
00000001b7210db8 (__TEXT,__text) external _fs_snapshot_mount
00000001b7210d64 (__TEXT,__text) external _fs_snapshot_rename
00000001b7210d80 (__TEXT,__text) external _fs_snapshot_revert
00000001b7210d9c (__TEXT,__text) external _fs_snapshot_root
00000001b72052cc (__TEXT,__text) external _fsctl
00000001b72024a4 (__TEXT,__text) external _fsetattrlist
00000001b71fe56c (__TEXT,__text) external _fsetxattr
00000001b7201d04 (__TEXT,__text) external _fsgetpath
00000001b7229a4c (__TEXT,__text) external _fsgetpath_ext
00000001b71feea4 (__TEXT,__text) external _fstat
00000001b71feea4 (__TEXT,__text) external _fstat64
00000001b71fe2f8 (__TEXT,__text) external _fstatat
00000001b71fe2f8 (__TEXT,__text) external _fstatat64
00000001b71ffcf4 (__TEXT,__text) external _fstatfs
00000001b71ffcf4 (__TEXT,__text) external _fstatfs64
00000001b71fe4e4 (__TEXT,__text) external _fsync
00000001b722854c (__TEXT,__text) external _fsync$NOCANCEL
00000001b71ff6d4 (__TEXT,__text) external _ftruncate
00000001b720d580 (__TEXT,__text) external _futimens
00000001b7229a78 (__TEXT,__text) external _futimes
00000001d83dad50 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001b71fccec (__TEXT,__text) external _getattrlist
00000001b7229aa4 (__TEXT,__text) external _getattrlistat
00000001b71ff198 (__TEXT,__text) external _getattrlistbulk
00000001b7213034 (__TEXT,__text) external _getaudit
00000001b7229ad0 (__TEXT,__text) external _getaudit_addr
00000001b7229afc (__TEXT,__text) external _getauid
00000001b7229b28 (__TEXT,__text) external _getdirentries
00000001b7229b54 (__TEXT,__text) external _getdirentriesattr
00000001b7209a8c (__TEXT,__text) external _getdtablesize
00000001b71fd188 (__TEXT,__text) external _getegid
00000001b71ff7e4 (__TEXT,__text) external _getentropy
00000001b71fe904 (__TEXT,__text) external _geteuid
00000001b7229b80 (__TEXT,__text) external _getfh
00000001b7200ba8 (__TEXT,__text) external _getfsstat
00000001b7200ba8 (__TEXT,__text) external _getfsstat64
00000001b71fdde4 (__TEXT,__text) external _getgid
00000001b7209a44 (__TEXT,__text) external _getgroups
00000001b720d450 (__TEXT,__text) external _gethostuuid
00000001b7205594 (__TEXT,__text) external _getiopolicy_np
00000001b7229bac (__TEXT,__text) external _getitimer
00000001b7209970 (__TEXT,__text) external _getpeername
00000001b7229bd8 (__TEXT,__text) external _getpgid
00000001b72030d0 (__TEXT,__text) external _getpgrp
00000001b71fcbc8 (__TEXT,__text) external _getpid
00000001b7203a6c (__TEXT,__text) external _getppid
00000001b7229c04 (__TEXT,__text) external _getpriority
00000001b7201cfc (__TEXT,__text) external _getrlimit
00000001b71ffb70 (__TEXT,__text) external _getrusage
00000001b72285d0 (__TEXT,__text) external _getsgroups_np
00000001b7229c30 (__TEXT,__text) external _getsid
00000001b72285fc (__TEXT,__text) external _getsockname
00000001b720030c (__TEXT,__text) external _getsockopt
00000001b7200c58 (__TEXT,__text) external _getuid
00000001b7228628 (__TEXT,__text) external _getwgroups_np
00000001b7200c00 (__TEXT,__text) external _getxattr
00000001b7229c5c (__TEXT,__text) external _grab_pgo_data
00000001b7202478 (__TEXT,__text) external _guarded_close_np
00000001b7229c88 (__TEXT,__text) external _guarded_kqueue_np
00000001b7203930 (__TEXT,__text) external _guarded_open_dprotected_np
00000001b7201b58 (__TEXT,__text) external _guarded_open_np
00000001b71fe1b4 (__TEXT,__text) external _guarded_pwrite_np
00000001b7205f38 (__TEXT,__text) external _guarded_write_np
00000001b7229cb4 (__TEXT,__text) external _guarded_writev_np
00000001b722feb9 (__TEXT,__cstring) non-external _hex
00000001b71fefe8 (__TEXT,__text) external _host_check_multiuser_mode
00000001b71fd628 (__TEXT,__text) external _host_create_mach_voucher
00000001b71fc5d0 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001b7214a2c (__TEXT,__text) external _host_default_memory_manager
00000001b7216090 (__TEXT,__text) external _host_get_UNDServer
00000001b720ba80 (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001b72144a8 (__TEXT,__text) external _host_get_boot_info
00000001b7215104 (__TEXT,__text) external _host_get_clock_control
00000001b720446c (__TEXT,__text) external _host_get_clock_service
00000001b72157c0 (__TEXT,__text) external _host_get_exception_ports
00000001b7205ddc (__TEXT,__text) external _host_get_io_master
00000001b71fde3c (__TEXT,__text) external _host_get_multiuser_config_flags
00000001b7206dc8 (__TEXT,__text) external _host_get_special_port
00000001b7204b54 (__TEXT,__text) external _host_info
00000001b7216e20 (__TEXT,__text) external _host_kernel_version
00000001b7217c14 (__TEXT,__text) external _host_lockgroup_info
00000001b720bca8 (__TEXT,__text) external _host_page_size
00000001b7214808 (__TEXT,__text) external _host_priv_statistics
00000001b7217308 (__TEXT,__text) external _host_processor_info
00000001b71feb5c (__TEXT,__text) external _host_processor_set_priv
00000001b720663c (__TEXT,__text) external _host_processor_sets
00000001b7214f88 (__TEXT,__text) external _host_processors
00000001b72146dc (__TEXT,__text) external _host_reboot
00000001b72182f4 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001b7218488 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001b72085b8 (__TEXT,__text) external _host_request_notification
00000001b72163dc (__TEXT,__text) external _host_security_create_task_token
00000001b7216580 (__TEXT,__text) external _host_security_set_task_token
00000001b720c38c (__TEXT,__text) external _host_self
00000001b71fc48c (__TEXT,__text) external _host_self_trap
00000001b7215f68 (__TEXT,__text) external _host_set_UNDServer
00000001b721860c (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001b7215684 (__TEXT,__text) external _host_set_exception_ports
00000001b7218954 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001b7209b80 (__TEXT,__text) external _host_set_special_port
00000001b7202ba8 (__TEXT,__text) external _host_statistics
00000001b7207910 (__TEXT,__text) external _host_statistics64
00000001b7215af0 (__TEXT,__text) external _host_swap_exception_ports
00000001b7217628 (__TEXT,__text) external _host_virtual_physical_table_info
00000001d83daf30 (__DATA,__data) external _important_boost_assertion_token
00000001dd8a30a8 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001b720b954 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise
00000001d83daf18 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001b720b880 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state
00000001d83daf10 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001b720b798 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state_identity
00000001d83daf08 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001b7200b78 (__TEXT,__text) external _ioctl
00000001b71ffcc8 (__TEXT,__text) external _issetugid
00000001b7229ce0 (__TEXT,__text) external _kas_info
00000001b71fd258 (__TEXT,__text) external _kdebug_is_enabled
00000001b71ff380 (__TEXT,__text) external _kdebug_signpost
00000001b7210ef4 (__TEXT,__text) external _kdebug_signpost_end
00000001b71fc660 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001b7210ee4 (__TEXT,__text) external _kdebug_signpost_start
00000001b7210e94 (__TEXT,__text) external _kdebug_timestamp
00000001b7210eac (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001b7210ec8 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001b71fc334 (__TEXT,__text) external _kdebug_trace
00000001b72048a8 (__TEXT,__text) external _kdebug_trace_string
00000001b71fc2b0 (__TEXT,__text) external _kdebug_typefilter
00000001d95b86c0 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001b7210e80 (__TEXT,__text) external _kdebug_using_continuous_time
00000001b71fde10 (__TEXT,__text) external _kevent
00000001b7229d0c (__TEXT,__text) external _kevent64
00000001b71fcb94 (__TEXT,__text) external _kevent_id
00000001b71fcd18 (__TEXT,__text) external _kevent_qos
00000001b72161ec (__TEXT,__text) external _kext_request
00000001b720723c (__TEXT,__text) external _kill
00000001b72154e4 (__TEXT,__text) external _kmod_control
00000001b7215278 (__TEXT,__text) external _kmod_create
00000001b72153b8 (__TEXT,__text) external _kmod_destroy
00000001b72174ac (__TEXT,__text) external _kmod_get_info
00000001b7213120 (__TEXT,__text) external _kpersona_alloc
00000001b72131a0 (__TEXT,__text) external _kpersona_dealloc
00000001b7213228 (__TEXT,__text) external _kpersona_find
00000001b7206f3c (__TEXT,__text) external _kpersona_find_by_type
00000001b7203a2c (__TEXT,__text) external _kpersona_get
00000001b72131e4 (__TEXT,__text) external _kpersona_getpath
00000001b7207b94 (__TEXT,__text) external _kpersona_info
00000001b7213160 (__TEXT,__text) external _kpersona_palloc
00000001b7202714 (__TEXT,__text) external _kpersona_pidinfo
00000001b720683c (__TEXT,__text) external _kqueue
00000001b720553c (__TEXT,__text) external _lchown
00000001b71ff1c4 (__TEXT,__text) external _ledger
00000001b7229d38 (__TEXT,__text) external _link
00000001b7229d64 (__TEXT,__text) external _linkat
00000001b7229d90 (__TEXT,__text) external _lio_listio
00000001b7209338 (__TEXT,__text) external _listen
00000001b7200c2c (__TEXT,__text) external _listxattr
00000001b72166d0 (__TEXT,__text) external _lock_acquire
00000001b7216bb0 (__TEXT,__text) external _lock_handoff
00000001b7216ce8 (__TEXT,__text) external _lock_handoff_accept
00000001b7216a78 (__TEXT,__text) external _lock_make_stable
00000001b7216808 (__TEXT,__text) external _lock_release
00000001b7220478 (__TEXT,__text) external _lock_set_create
00000001b72205ec (__TEXT,__text) external _lock_set_destroy
00000001b7216940 (__TEXT,__text) external _lock_try
00000001b720da6c (__TEXT,__text) external _log_data_as_kernel
00000001b71fd768 (__TEXT,__text) external _lseek
00000001b71fe6ec (__TEXT,__text) external _lstat
00000001b71fe6ec (__TEXT,__text) external _lstat64
00000001b71fc804 (__TEXT,__text) external _mach_absolute_time
00000001b71fc888 (__TEXT,__text) external _mach_absolute_time_kernel
00000001b72062dc (__TEXT,__text) external _mach_approximate_time
00000001b7201fe4 (__TEXT,__text) external _mach_boottime_usec
00000001b7201f20 (__TEXT,__text) external _mach_continuous_approximate_time
00000001b71fce00 (__TEXT,__text) external _mach_continuous_time
00000001b71fc894 (__TEXT,__text) external _mach_continuous_time_kernel
00000001b720bc20 (__TEXT,__text) external _mach_error
00000001d83daf58 (__DATA,__common) external _mach_error_full_diag
00000001b71fd794 (__TEXT,__text) external _mach_error_string
00000001b7207f60 (__TEXT,__text) non-external (was a private external) _mach_error_string_int
00000001b720ba98 (__TEXT,__text) external _mach_error_type
00000001b72275fc (__TEXT,__text) external _mach_eventlink_associate
00000001b7227334 (__TEXT,__text) external _mach_eventlink_create
00000001b72274d8 (__TEXT,__text) external _mach_eventlink_destroy
00000001b7227748 (__TEXT,__text) external _mach_eventlink_disassociate
00000001b720d4e4 (__TEXT,__text) external _mach_eventlink_signal
00000001b720d540 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001b720d500 (__TEXT,__text) external _mach_eventlink_wait_until
00000001b71fc528 (__TEXT,__text) external _mach_generate_activity_id
00000001b71fc710 (__TEXT,__text) external _mach_get_times
00000001b71fedb8 (__TEXT,__text) external _mach_host_self
00000001b720a170 (__TEXT,__text) external _mach_host_special_port_description
00000001d43fb378 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001b720a1d0 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d83dad90 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001b71ff2f0 (__TEXT,__text) external _mach_init
00000001d95b86a8 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001b7207450 (__TEXT,__text) non-external _mach_init_doit
00000001b721cec4 (__TEXT,__text) external _mach_make_memory_entry
00000001b71ff840 (__TEXT,__text) external _mach_make_memory_entry_64
00000001b722708c (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001b72271f8 (__TEXT,__text) external _mach_memory_entry_ownership
00000001b7226f40 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001b7218738 (__TEXT,__text) external _mach_memory_info
00000001b721717c (__TEXT,__text) external _mach_memory_object_memory_entry
00000001b7217a88 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001b71fca98 (__TEXT,__text) external _mach_msg
00000001b71fcf7c (__TEXT,__text) external _mach_msg_destroy
00000001b71fc8a0 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001b720bcbc (__TEXT,__text) external _mach_msg_overwrite
00000001b71fc4a4 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001b720c1e4 (__TEXT,__text) external _mach_msg_priority_encode
00000001b720c1d4 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001b720c218 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001b720c228 (__TEXT,__text) external _mach_msg_priority_qos
00000001b720c238 (__TEXT,__text) external _mach_msg_priority_relpri
00000001b720be00 (__TEXT,__text) external _mach_msg_receive
00000001b720bde4 (__TEXT,__text) external _mach_msg_send
00000001b720beb4 (__TEXT,__text) external _mach_msg_server
00000001b720be48 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001b720c1d0 (__TEXT,__text) external _mach_msg_server_importance
00000001b71ffdc8 (__TEXT,__text) external _mach_msg_server_once
00000001b71fc498 (__TEXT,__text) external _mach_msg_trap
00000001b721d674 (__TEXT,__text) external _mach_notify_dead_name
00000001b721d5b8 (__TEXT,__text) external _mach_notify_no_senders
00000001b721d4e0 (__TEXT,__text) external _mach_notify_port_deleted
00000001b721d548 (__TEXT,__text) external _mach_notify_port_destroyed
00000001b721d620 (__TEXT,__text) external _mach_notify_send_once
00000001b71fed48 (__TEXT,__text) external _mach_port_allocate
00000001b7212db0 (__TEXT,__text) external _mach_port_allocate_full
00000001b7212d98 (__TEXT,__text) external _mach_port_allocate_name
00000001b7212dac (__TEXT,__text) external _mach_port_allocate_qos
00000001b7204804 (__TEXT,__text) external _mach_port_assert_attributes
00000001b71fecd0 (__TEXT,__text) external _mach_port_construct
00000001b71fd450 (__TEXT,__text) external _mach_port_deallocate
00000001b7212d9c (__TEXT,__text) external _mach_port_destroy
00000001b71ffa74 (__TEXT,__text) external _mach_port_destruct
00000001b7212ef0 (__TEXT,__text) external _mach_port_dnrequest_info
00000001b7200ab0 (__TEXT,__text) external _mach_port_extract_member
00000001b71ff810 (__TEXT,__text) external _mach_port_extract_right
00000001b71fdb54 (__TEXT,__text) external _mach_port_get_attributes
00000001b71feb1c (__TEXT,__text) external _mach_port_get_context
00000001b71fd2b8 (__TEXT,__text) external _mach_port_get_refs
00000001b7212f08 (__TEXT,__text) external _mach_port_get_service_port_info
00000001b7212da4 (__TEXT,__text) external _mach_port_get_set_status
00000001b7212db8 (__TEXT,__text) external _mach_port_get_srights
00000001b71fe13c (__TEXT,__text) external _mach_port_guard
00000001b7212f00 (__TEXT,__text) external _mach_port_guard_with_flags
00000001b7201e58 (__TEXT,__text) external _mach_port_insert_member
00000001b71fe254 (__TEXT,__text) external _mach_port_insert_right
00000001b71fefb8 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001b7205c50 (__TEXT,__text) external _mach_port_kernel_object
00000001b7212ef8 (__TEXT,__text) external _mach_port_kobject
00000001b7212efc (__TEXT,__text) external _mach_port_kobject_description
00000001b71ff3e0 (__TEXT,__text) external _mach_port_mod_refs
00000001b71fedbc (__TEXT,__text) external _mach_port_move_member
00000001b7212d90 (__TEXT,__text) external _mach_port_names
00000001b720790c (__TEXT,__text) external _mach_port_peek
00000001b7212d94 (__TEXT,__text) external _mach_port_rename
00000001b71ff248 (__TEXT,__text) external _mach_port_request_notification
00000001b7201ad0 (__TEXT,__text) external _mach_port_set_attributes
00000001b7212ef4 (__TEXT,__text) external _mach_port_set_context
00000001b7212da0 (__TEXT,__text) external _mach_port_set_mscount
00000001b7212da8 (__TEXT,__text) external _mach_port_set_seqno
00000001b7212dc0 (__TEXT,__text) external _mach_port_space_basic_info
00000001b7212dbc (__TEXT,__text) external _mach_port_space_info
00000001b7212f04 (__TEXT,__text) external _mach_port_swap_guard
00000001b71fea1c (__TEXT,__text) external _mach_port_type
00000001b7200674 (__TEXT,__text) external _mach_port_unguard
00000001b72055e8 (__TEXT,__text) external _mach_ports_lookup
00000001b720642c (__TEXT,__text) external _mach_ports_register
00000001b71fc468 (__TEXT,__text) external _mach_reply_port
00000001b720c684 (__TEXT,__text) external _mach_right_recv_construct
00000001b722aa0c (__TEXT,__text) non-external _mach_right_recv_construct.cold.1
00000001b720c730 (__TEXT,__text) external _mach_right_recv_destruct
00000001b722aa34 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.1
00000001b722aa5c (__TEXT,__text) non-external _mach_right_recv_destruct.cold.2
00000001b720c788 (__TEXT,__text) external _mach_right_send_create
00000001b722aa84 (__TEXT,__text) non-external _mach_right_send_create.cold.1
00000001b720c8dc (__TEXT,__text) external _mach_right_send_once_consume
00000001b722ab4c (__TEXT,__text) non-external _mach_right_send_once_consume.cold.1
00000001b722ab74 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.2
00000001b720c88c (__TEXT,__text) external _mach_right_send_once_create
00000001b722ab24 (__TEXT,__text) non-external _mach_right_send_once_create.cold.1
00000001b720c824 (__TEXT,__text) external _mach_right_send_release
00000001b722aad4 (__TEXT,__text) non-external _mach_right_send_release.cold.1
00000001b722aafc (__TEXT,__text) non-external _mach_right_send_release.cold.2
00000001b720c7d0 (__TEXT,__text) external _mach_right_send_retain
00000001b722aaac (__TEXT,__text) non-external _mach_right_send_retain.cold.1
00000001b7212dc4 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001b7212e78 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001b72037a0 (__TEXT,__text) external _mach_task_is_self
00000001b720c680 (__TEXT,__text) external _mach_task_self
00000001d95b802c (__DATA_DIRTY,__common) external _mach_task_self_
00000001b720a190 (__TEXT,__text) external _mach_task_special_port_description
00000001d43fb480 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001b720a260 (__TEXT,__text) external _mach_task_special_port_for_id
00000001d83dae88 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001b72003d8 (__TEXT,__text) external _mach_thread_self
00000001b720a1b0 (__TEXT,__text) external _mach_thread_special_port_description
00000001d43fb4e0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001b720a270 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d83daee8 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001b71fd0d8 (__TEXT,__text) external _mach_timebase_info
00000001d95b86b8 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001b71fc600 (__TEXT,__text) external _mach_timebase_info_trap
00000001b720050c (__TEXT,__text) external _mach_vm_allocate
00000001b721c978 (__TEXT,__text) external _mach_vm_behavior_set
00000001b721c5e0 (__TEXT,__text) external _mach_vm_copy
00000001b71fd554 (__TEXT,__text) external _mach_vm_deallocate
00000001b721c200 (__TEXT,__text) external _mach_vm_inherit
00000001b721caa4 (__TEXT,__text) external _mach_vm_machine_attribute
00000001b71fd2c4 (__TEXT,__text) external _mach_vm_map
00000001b721c84c (__TEXT,__text) external _mach_vm_msync
00000001b721d1a4 (__TEXT,__text) external _mach_vm_page_info
00000001b721cd70 (__TEXT,__text) external _mach_vm_page_query
00000001b721d394 (__TEXT,__text) external _mach_vm_page_range_query
00000001b71ffd20 (__TEXT,__text) external _mach_vm_protect
00000001b71fce78 (__TEXT,__text) external _mach_vm_purgable_control
00000001b7201984 (__TEXT,__text) external _mach_vm_read
00000001b721c32c (__TEXT,__text) external _mach_vm_read_list
00000001b721c708 (__TEXT,__text) external _mach_vm_read_overwrite
00000001b7204d78 (__TEXT,__text) external _mach_vm_region
00000001b720083c (__TEXT,__text) external _mach_vm_region_recurse
00000001b7212f0c (__TEXT,__text) external _mach_vm_remap
00000001b7203ac4 (__TEXT,__text) external _mach_vm_remap_new
00000001b7215e2c (__TEXT,__text) external _mach_vm_wire
00000001b721c4a4 (__TEXT,__text) external _mach_vm_write
00000001b7201348 (__TEXT,__text) external _mach_voucher_attr_command
00000001b71fcd70 (__TEXT,__text) external _mach_voucher_deallocate
00000001b7228024 (__TEXT,__text) external _mach_voucher_debug_info
00000001b7227d90 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001b7227880 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001b71fd1e0 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001b71fc5dc (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001b71fc60c (__TEXT,__text) external _mach_wait_until
00000001b7217f6c (__TEXT,__text) external _mach_zone_force_gc
00000001b7218efc (__TEXT,__text) external _mach_zone_get_btlog_records
00000001b7218d70 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001b7217da0 (__TEXT,__text) external _mach_zone_info
00000001b7218bdc (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001b7218a80 (__TEXT,__text) external _mach_zone_info_for_zone
00000001b71fc594 (__TEXT,__text) external _macx_backing_store_recovery
00000001b71fc588 (__TEXT,__text) external _macx_backing_store_suspend
00000001b71fc564 (__TEXT,__text) external _macx_swapoff
00000001b71fc558 (__TEXT,__text) external _macx_swapon
00000001b71fc57c (__TEXT,__text) external _macx_triggers
00000001b71fcef0 (__TEXT,__text) external _madvise
00000001b7205124 (__TEXT,__text) non-external (was a private external) _malloc
00000001d83daf88 (__DATA,__bss) non-external _master_host_port
00000001b7201fd4 (__TEXT,__text) non-external (was a private external) _memcpy
00000001b72030a4 (__TEXT,__text) external _memorystatus_control
00000001b7229dbc (__TEXT,__text) external _memorystatus_get_level
00000001b720c250 (__TEXT,__text) external _mig_allocate
00000001b71ffbc8 (__TEXT,__text) external _mig_dealloc_reply_port
