00007ffa19628b5b (__TEXT,__text) non-external _DiToMD5
00007ffa1961b626 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffa1961b7d8 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffa1961b636 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffa1961b6f8 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffa1961b812 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffa1961b7c8 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffa1961b89e (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffa1961655c (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffa196168b4 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffa19616874 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffa1961c5f8 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffa1961c3bc (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffa1961c550 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffa1961c588 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffa1961c450 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffa1961c438 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffa1961c4b4 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffa19616b0e (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffa196169e4 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffa19616bf0 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffa19616cc0 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffa196391f8 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffa19616d68 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffa1963921b (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffa19616a46 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffa196169d4 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffa19616aa8 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffa19628714 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffa196286ba (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffa196285ba (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffa19628568 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffa196283cc (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffa196285ac (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffa196371de (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffa1962ba56 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffa19610f46 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffa1962bc42 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffa19612f76 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffa19613108 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffa1962bbd6 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa19610e64 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffa19613484 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffa1961323c (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffa19638d9c (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffa196134f2 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffa19638e28 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffa19638e4b (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffa19613072 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffa1961309c (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffa19638d79 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffa19612f38 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffa19612cec (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffa19612bc6 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffa196134e8 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffa19612c06 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffa19612802 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffa19638b8f (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffa19638bb2 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffa19638bd5 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffa19638bf8 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffa19638c1b (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffa19638c3e (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffa19638c61 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffa19638c84 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffa1961358a (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffa19610d98 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffa19610daa (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffa1962b932 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffa1962b8b8 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffa19613596 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffa1962b8ee (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffa19627e4a (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffa19627a70 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffa19627af8 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffa19627f42 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffa19627f8e (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffa19627b02 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffa1963a0f4 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffa19628162 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffa1962825a (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffa19627c50 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffa1963a106 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffa1962826e (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffa19628282 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffa1962738e (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffa1962740e (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffa19627db4 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffa19627e40 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffa19636a88 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffa1960f798 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffa1960ff98 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffa19610182 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffa196380cc (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffa196380ef (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffa196100ec (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffa1963808d (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffa1961084c (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffa19638306 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffa19638329 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffa1963834c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffa1963836f (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffa19638392 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffa196383b5 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffa196102e0 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffa196381ac (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffa196381cf (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffa196381f2 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffa19638215 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffa1960f78e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffa1960f7c8 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffa19618e94 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffa1961ccec (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffa19639ab5 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffa1961ccac (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffa19639a92 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffa1961cc98 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffa1961cca2 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffa1961cd10 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffa1962c0c8 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffa1962c420 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffa196136d0 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffa1962bdaa (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffa1962c500 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffa1962bf84 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1962c48e (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffa196136b8 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffa196136a8 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffa1962be3a (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1962bd5a (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffa1962c2d2 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffa1962bd64 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffa1962648a (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffa19625ce6 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffa196263be (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffa19625d04 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffa196267e2 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffa19626726 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffa19639e5c (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffa196266b6 (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffa19639e43 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffa1962675e (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffa19639e75 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffa19626820 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffa1962609a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffa19639d83 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffa19639d9c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffa19639dbc (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffa19639de3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffa19639e03 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffa19625d7a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffa19639c7f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffa19639c98 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffa19639cb1 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffa1962635a (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffa19626206 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffa19625cc8 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffa19626756 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffa196262c0 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffa19639e2a (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffa196267a4 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffa19625f2e (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffa19639cc3 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffa19639cdc (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffa19639cf5 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffa19639d15 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffa19639d3c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffa19639d5c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffa19625d16 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffa19626152 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffa19625a42 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffa1962593c (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffa19625b58 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffa19625b4e (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffa19625aac (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffa19639bf1 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffa19639c11 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffa19639c38 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffa19639c58 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffa19626a36 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffa196268a4 (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffa19626ad4 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffa19626920 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffa19626998 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffa19636932 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffa19637bba (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffa19636352 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffa19636428 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffa196369ce (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffa19636b6c (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffa19636bb4 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffa19636c34 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffa19637232 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffa19629e34 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffa1962d680 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffa1962d7f4 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffa1962dc16 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffa1962dc84 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffa1962d982 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffa1962daaa (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffa1962dd1e (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffa1962dde0 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffa19614212 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffa19638f82 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffa196154d8 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffa19615498 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffa1962d606 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffa1961553a (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffa196390bd (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffa1962d63c (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffa1962e322 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffa1962eae2 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffa19636986 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffa19627382 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffa1962729c (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffa19627208 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffa19626b70 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffa19626c2c (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffa1962e1c2 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffa1962c5be (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffa1962c6a2 (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffa1962df0c (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00007ffa1962df8c (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00007ffa19635d2e (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00007ffa19635e12 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00007ffa19636a40 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00007ffa19629ed0 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00007ffa19629f50 (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00007ffa19628172 (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00007ffa196279da (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00007ffa1963a0db (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00007ffa19627e98 (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
00007ffa1963a118 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy.cold.1
00007ffa1962793a (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapCleanupEi
00007ffa1963a034 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.1
00007ffa1963a04d (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.2
00007ffa1963a06d (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.3
00007ffa1963a094 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.4
00007ffa1963a0b4 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.5
00007ffa196275a0 (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapPrepareEi
00007ffa19639fc5 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.1
00007ffa19639fde (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.2
00007ffa196282f0 (__TEXT,__text) external __ZN21IOStateReporter_IVars19updateChannelValuesEi
00007ffa1963a14a (__TEXT,__text) non-external __ZN21IOStateReporter_IVars19updateChannelValuesEi.cold.1
00007ffa19627756 (__TEXT,__text) external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffa19639ff0 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffa1963a009 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffa1963a022 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffa19627f98 (__TEXT,__text) external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy
00007ffa1963a131 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy.cold.1
00007ffa19627bb2 (__TEXT,__text) external __ZN21IOStateReporter_IVars35handleOverrideChannelStateByIndicesEiiyyy
00007ffa19627d00 (__TEXT,__text) external __ZN21IOStateReporter_IVars36handleIncrementChannelStateByIndicesEiiyyy
00007ffa196274a4 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC1EP9IOService19IOReportChannelTypeytx
00007ffa196274d2 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC2EP9IOService19IOReportChannelTypeytx
00007ffa19627584 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD0Ev
00007ffa1962757a (__TEXT,__text) external __ZN21IOStateReporter_IVarsD1Ev
00007ffa19627500 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD2Ev
00007ffa19639f37 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.1
00007ffa19639f57 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.2
00007ffa19639f7e (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.3
00007ffa19639f9e (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.4
00007ffa19634382 (__TEXT,__text) external __ZN21IOTimerDispatchSource10SetHandlerEP8OSActionPFiP15OSMetaClassBase5IORPCE
00007ffa1963449e (__TEXT,__text) external __ZN21IOTimerDispatchSource10WakeAtTimeEyyyPFiP15OSMetaClassBase5IORPCE
00007ffa19614d28 (__TEXT,__text) external __ZN21IOTimerDispatchSource11Cancel_ImplEU13block_pointerFvvE
00007ffa1961499a (__TEXT,__text) external __ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS_
