000000025a81d86c (__TEXT,__text) non-external _Done_iODBC
000000026ba53f80 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000026ba53498 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
000000026ba530a0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000026ba534b8 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000026ba53168 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000026ba53188 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000026ba53238 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000026ba53538 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000026ba534e8 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000026ba52ea0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000025a83541c (__TEXT,__text) non-external __trace_bufferlen
000000025a834adc (__TEXT,__text) non-external __trace_c_type
000000025a831700 (__TEXT,__text) non-external __trace_colattr2_type
000000025a831ab8 (__TEXT,__text) non-external __trace_colattr3_data
000000025a831760 (__TEXT,__text) non-external __trace_colattr3_type
000000025a82d77c (__TEXT,__text) non-external __trace_connattr_type
000000025a835778 (__TEXT,__text) non-external __trace_connopt_type
000000025a8379f0 (__TEXT,__text) non-external __trace_connstr
000000025a837d20 (__TEXT,__text) non-external __trace_connstr_hidepwd
000000025a837c58 (__TEXT,__text) non-external __trace_connstr_w
000000025a836bf0 (__TEXT,__text) non-external __trace_data
000000025a82da78 (__TEXT,__text) non-external __trace_desc_null
000000025a830fc4 (__TEXT,__text) non-external __trace_descfield_type
000000025a836868 (__TEXT,__text) non-external __trace_diag_type
000000025a8333a4 (__TEXT,__text) non-external __trace_direction
000000025a837af8 (__TEXT,__text) non-external __trace_drvcn_completion
000000025a82e494 (__TEXT,__text) non-external __trace_envattr_type
000000025a82ed48 (__TEXT,__text) non-external __trace_fetchtype
000000025a8382f4 (__TEXT,__text) non-external __trace_freestmt_option
000000025a8329d8 (__TEXT,__text) non-external __trace_func_name
000000025a83290c (__TEXT,__text) non-external __trace_func_result
000000025a82efe4 (__TEXT,__text) non-external __trace_getinfo
000000025a8343f4 (__TEXT,__text) non-external __trace_handle
000000025a834380 (__TEXT,__text) non-external __trace_handle_p
000000025a834320 (__TEXT,__text) non-external __trace_handletype
000000025a834e54 (__TEXT,__text) non-external __trace_inouttype
000000025a8344b8 (__TEXT,__text) non-external __trace_integer
000000025a834658 (__TEXT,__text) non-external __trace_integer_p
000000025a83478c (__TEXT,__text) non-external __trace_len
000000025a8347f4 (__TEXT,__text) non-external __trace_len_p
000000025a834528 (__TEXT,__text) non-external __trace_pointer
000000025a834130 (__TEXT,__text) non-external __trace_print_function
000000025a82ee58 (__TEXT,__text) non-external __trace_scrollopt_type
000000025a82eb68 (__TEXT,__text) non-external __trace_setpos_irow
000000025a82ec00 (__TEXT,__text) non-external __trace_setpos_lock
000000025a82eba0 (__TEXT,__text) non-external __trace_setpos_oper
000000025a834448 (__TEXT,__text) non-external __trace_smallint
000000025a834570 (__TEXT,__text) non-external __trace_smallint_p
000000025a82e794 (__TEXT,__text) non-external __trace_spcols_null
000000025a82e734 (__TEXT,__text) non-external __trace_spcols_scope
000000025a82e6d0 (__TEXT,__text) non-external __trace_spcols_type
000000025a835338 (__TEXT,__text) non-external __trace_sql_subtype
000000025a834eb4 (__TEXT,__text) non-external __trace_sql_type
000000025a8350d8 (__TEXT,__text) non-external __trace_sql_type_p
000000025a837fb0 (__TEXT,__text) non-external __trace_stats_accuracy
000000025a837f4c (__TEXT,__text) non-external __trace_stats_unique
000000025a835b44 (__TEXT,__text) non-external __trace_stmtattr_type
000000025a8364a8 (__TEXT,__text) non-external __trace_stmtopt_type
000000025a8348dc (__TEXT,__text) non-external __trace_string
000000025a8349c0 (__TEXT,__text) non-external __trace_string_w
000000025a834740 (__TEXT,__text) non-external __trace_stringlen
000000026ba54080 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000025a8372e0 (__TEXT,__text) non-external __trace_tran_completion
000000025a837624 (__TEXT,__text) non-external __trace_typeinfo
000000025a8344f0 (__TEXT,__text) non-external __trace_uinteger
000000025a8346cc (__TEXT,__text) non-external __trace_uinteger_p
000000025a8347c0 (__TEXT,__text) non-external __trace_ulen
000000025a834868 (__TEXT,__text) non-external __trace_ulen_p
000000025a834480 (__TEXT,__text) non-external __trace_usmallint
000000025a8345e4 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
000000027066cd92 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000025a839308 (__TEXT,__text) non-external _dm_SQL_A2W
000000025a839880 (__TEXT,__text) non-external _dm_SQL_U8toW
000000025a839284 (__TEXT,__text) non-external _dm_SQL_W2A
000000025a8395c4 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000025a839394 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000025a839abc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000025a839450 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000025a83950c (__TEXT,__text) non-external _dm_strcpy_A2W
000000025a839568 (__TEXT,__text) non-external _dm_strcpy_W2A
000000025a83afb0 (__TEXT,__text) non-external _do_create_dsns
000000027066cd50 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000027066cd30 (__DATA,__common) non-external _ierror
000000025a83b104 (__TEXT,__text) non-external _install_from_ini
000000025a83b5e0 (__TEXT,__text) non-external _install_from_string
000000027066c798 (__DATA,__data) external _iodbc_version
000000027066cc70 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000027066ccb8 (__DATA,__data) non-external _numerrors
000000027066c7a0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000027066ccc0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
000000025a83b7dc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000026ba52310 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000027066cd00 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000025a830874 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000025a8356ac (__TEXT,__text) non-external _trace_SQLAllocEnv
000000025a831530 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000025a8332a0 (__TEXT,__text) non-external _trace_SQLAllocStmt
000000025a831480 (__TEXT,__text) non-external _trace_SQLBindCol
000000025a832164 (__TEXT,__text) non-external _trace_SQLBindParameter
000000025a8354fc (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000025a8355d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000025a82e634 (__TEXT,__text) non-external _trace_SQLBulkOperations
000000025a836b40 (__TEXT,__text) non-external _trace_SQLCancel
000000025a83335c (__TEXT,__text) non-external _trace_SQLCloseCursor
000000025a8319f8 (__TEXT,__text) non-external _trace_SQLColAttribute
000000025a831eb8 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000025a831f78 (__TEXT,__text) non-external _trace_SQLColAttributes
000000025a832044 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000025a836630 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000025a83674c (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000025a83096c (__TEXT,__text) non-external _trace_SQLColumns
000000025a830a88 (__TEXT,__text) non-external _trace_SQLColumnsW
000000025a835f18 (__TEXT,__text) non-external _trace_SQLConnect
000000025a836004 (__TEXT,__text) non-external _trace_SQLConnectW
000000025a82ecf0 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000025a833430 (__TEXT,__text) non-external _trace_SQLDataSources
000000025a833530 (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000025a82db0c (__TEXT,__text) non-external _trace_SQLDescribeCol
000000025a82dc18 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000025a836570 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000025a833314 (__TEXT,__text) non-external _trace_SQLDisconnect
000000025a8378f0 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000025a837b58 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000025a832434 (__TEXT,__text) non-external _trace_SQLDrivers
000000025a832534 (__TEXT,__text) non-external _trace_SQLDriversW
000000025a83080c (__TEXT,__text) non-external _trace_SQLEndTran
000000025a82df94 (__TEXT,__text) non-external _trace_SQLError
000000025a82e094 (__TEXT,__text) non-external _trace_SQLErrorW
000000025a83303c (__TEXT,__text) non-external _trace_SQLExecDirect
000000025a8330c0 (__TEXT,__text) non-external _trace_SQLExecDirectW
000000025a82e688 (__TEXT,__text) non-external _trace_SQLExecute
000000025a82edb0 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000025a833738 (__TEXT,__text) non-external _trace_SQLFetch
000000025a835710 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000025a8360f0 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000025a836270 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000025a836460 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000025a82eb20 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000025a8307b8 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000025a83834c (__TEXT,__text) non-external _trace_SQLFreeStmt
000000025a82d930 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000025a82d9d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000025a8359a4 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000025a835a0c (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000025a8315b8 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000025a83165c (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000025a8371d4 (__TEXT,__text) non-external _trace_SQLGetData
000000025a831320 (__TEXT,__text) non-external _trace_SQLGetDescField
000000025a8313d0 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000025a82dd24 (__TEXT,__text) non-external _trace_SQLGetDescRec
000000025a82de5c (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000025a8369cc (__TEXT,__text) non-external _trace_SQLGetDiagField
000000025a836a90 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000025a82e2a4 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000025a82e39c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000025a82e520 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000025a832fc4 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000025a82ef34 (__TEXT,__text) non-external _trace_SQLGetInfo
000000025a830468 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000025a835de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000025a835e88 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000025a836508 (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000025a837848 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000025a83789c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000025a837298 (__TEXT,__text) non-external _trace_SQLMoreResults
000000025a830dec (__TEXT,__text) non-external _trace_SQLNativeSql
000000025a830ed8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000025a830ba4 (__TEXT,__text) non-external _trace_SQLNumParams
000000025a8363f0 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000025a832110 (__TEXT,__text) non-external _trace_SQLParamData
000000025a8308e8 (__TEXT,__text) non-external _trace_SQLParamOptions
000000025a8383a0 (__TEXT,__text) non-external _trace_SQLPrepare
000000025a838424 (__TEXT,__text) non-external _trace_SQLPrepareW
000000025a832634 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000025a832720 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000025a830518 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000025a830634 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000025a83225c (__TEXT,__text) non-external _trace_SQLProcedures
000000025a832348 (__TEXT,__text) non-external _trace_SQLProceduresW
000000025a836b88 (__TEXT,__text) non-external _trace_SQLPutData
000000025a82e5c4 (__TEXT,__text) non-external _trace_SQLRowCount
000000025a837e64 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000025a837ed8 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000025a835a74 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000025a835adc (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000025a833630 (__TEXT,__text) non-external _trace_SQLSetCursorName
000000025a8336b4 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000025a82e194 (__TEXT,__text) non-external _trace_SQLSetDescField
000000025a82e21c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000025a83280c (__TEXT,__text) non-external _trace_SQLSetDescRec
000000025a833144 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000025a82ec60 (__TEXT,__text) non-external _trace_SQLSetPos
000000025a82eec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000025a8331b8 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000025a83322c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000025a830750 (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000025a82e7f8 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000025a82e98c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000025a838014 (__TEXT,__text) non-external _trace_SQLStatistics
000000025a838184 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000025a830c14 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000025a830d00 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000025a8373ec (__TEXT,__text) non-external _trace_SQLTables
000000025a837508 (__TEXT,__text) non-external _trace_SQLTablesW
000000025a837344 (__TEXT,__text) non-external _trace_SQLTransact
000000027066ccf0 (__DATA,__bss) non-external _trace_appname
000000025a833cf0 (__TEXT,__text) non-external _trace_emit
000000025a833f80 (__TEXT,__text) non-external _trace_emit_binary
000000025a833d54 (__TEXT,__text) non-external _trace_emit_string
000000025a833d38 (__TEXT,__text) non-external _trace_emitc
000000027066ccf8 (__DATA,__bss) non-external _trace_fname
000000027066cd10 (__DATA,__bss) non-external _trace_fp
000000027066cd18 (__DATA,__bss) non-external _trace_fp_close
000000025a8337bc (__TEXT,__text) non-external _trace_get_filename
000000025a833780 (__TEXT,__text) non-external _trace_set_appname
000000025a8337c8 (__TEXT,__text) non-external _trace_set_filename
000000025a833a98 (__TEXT,__text) non-external _trace_start
000000025a833c3c (__TEXT,__text) non-external _trace_stop
000000025a833a20 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000025a839a40 (__TEXT,__text) non-external _utf8_len
000000025a839b60 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000027066cd90 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
