0000000283b38888 (__TEXT,__text) non-external _Done_iODBC
000000029191a3e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000029191a428 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000029191a128 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000029191a450 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000291919968 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000291919570 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000291919988 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000291919638 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000291919658 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000291919708 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000291919a08 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002919199b8 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000291919370 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
0000000283b50378 (__TEXT,__text) non-external __trace_bufferlen
0000000283b4fa00 (__TEXT,__text) non-external __trace_c_type
0000000283b4c680 (__TEXT,__text) non-external __trace_colattr2_type
0000000283b4ca10 (__TEXT,__text) non-external __trace_colattr3_data
0000000283b4c6d8 (__TEXT,__text) non-external __trace_colattr3_type
0000000283b48714 (__TEXT,__text) non-external __trace_connattr_type
0000000283b506d4 (__TEXT,__text) non-external __trace_connopt_type
0000000283b52938 (__TEXT,__text) non-external __trace_connstr
0000000283b52c68 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000283b52ba0 (__TEXT,__text) non-external __trace_connstr_w
0000000283b51b3c (__TEXT,__text) non-external __trace_data
0000000283b48a10 (__TEXT,__text) non-external __trace_desc_null
0000000283b4bf40 (__TEXT,__text) non-external __trace_descfield_type
0000000283b517b0 (__TEXT,__text) non-external __trace_diag_type
0000000283b4e2f4 (__TEXT,__text) non-external __trace_direction
0000000283b52a48 (__TEXT,__text) non-external __trace_drvcn_completion
0000000283b4942c (__TEXT,__text) non-external __trace_envattr_type
0000000283b49cb8 (__TEXT,__text) non-external __trace_fetchtype
0000000283b5322c (__TEXT,__text) non-external __trace_freestmt_option
0000000283b4d928 (__TEXT,__text) non-external __trace_func_name
0000000283b4d85c (__TEXT,__text) non-external __trace_func_result
0000000283b49f4c (__TEXT,__text) non-external __trace_getinfo
0000000283b4f318 (__TEXT,__text) non-external __trace_handle
0000000283b4f2a4 (__TEXT,__text) non-external __trace_handle_p
0000000283b4f240 (__TEXT,__text) non-external __trace_handletype
0000000283b4fd7c (__TEXT,__text) non-external __trace_inouttype
0000000283b4f3dc (__TEXT,__text) non-external __trace_integer
0000000283b4f57c (__TEXT,__text) non-external __trace_integer_p
0000000283b4f6b0 (__TEXT,__text) non-external __trace_len
0000000283b4f718 (__TEXT,__text) non-external __trace_len_p
0000000283b4f44c (__TEXT,__text) non-external __trace_pointer
0000000283b4f060 (__TEXT,__text) non-external __trace_print_function
0000000283b49dc4 (__TEXT,__text) non-external __trace_scrollopt_type
0000000283b49ae8 (__TEXT,__text) non-external __trace_setpos_irow
0000000283b49b78 (__TEXT,__text) non-external __trace_setpos_lock
0000000283b49b20 (__TEXT,__text) non-external __trace_setpos_oper
0000000283b4f36c (__TEXT,__text) non-external __trace_smallint
0000000283b4f494 (__TEXT,__text) non-external __trace_smallint_p
0000000283b49720 (__TEXT,__text) non-external __trace_spcols_null
0000000283b496c8 (__TEXT,__text) non-external __trace_spcols_scope
0000000283b49668 (__TEXT,__text) non-external __trace_spcols_type
0000000283b5029c (__TEXT,__text) non-external __trace_sql_subtype
0000000283b4fde4 (__TEXT,__text) non-external __trace_sql_type
0000000283b5000c (__TEXT,__text) non-external __trace_sql_type_p
0000000283b52eec (__TEXT,__text) non-external __trace_stats_accuracy
0000000283b52e8c (__TEXT,__text) non-external __trace_stats_unique
0000000283b50a9c (__TEXT,__text) non-external __trace_stmtattr_type
0000000283b513f8 (__TEXT,__text) non-external __trace_stmtopt_type
0000000283b4f800 (__TEXT,__text) non-external __trace_string
0000000283b4f8e4 (__TEXT,__text) non-external __trace_string_w
0000000283b4f664 (__TEXT,__text) non-external __trace_stringlen
000000029191a550 (__DATA_CONST,__const) non-external __trace_sym_handletype
0000000283b52224 (__TEXT,__text) non-external __trace_tran_completion
0000000283b52568 (__TEXT,__text) non-external __trace_typeinfo
0000000283b4f414 (__TEXT,__text) non-external __trace_uinteger
0000000283b4f5f0 (__TEXT,__text) non-external __trace_uinteger_p
0000000283b4f6e4 (__TEXT,__text) non-external __trace_ulen
0000000283b4f78c (__TEXT,__text) non-external __trace_ulen_p
0000000283b4f3a4 (__TEXT,__text) non-external __trace_usmallint
0000000283b4f508 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
0000000297c11302 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000283b5421c (__TEXT,__text) non-external _dm_SQL_A2W
0000000283b54788 (__TEXT,__text) non-external _dm_SQL_U8toW
0000000283b54190 (__TEXT,__text) non-external _dm_SQL_W2A
0000000283b544d0 (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000283b542a8 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000283b549ac (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
0000000283b54360 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
0000000283b54418 (__TEXT,__text) non-external _dm_strcpy_A2W
0000000283b54474 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000283b55e50 (__TEXT,__text) non-external _do_create_dsns
0000000297c112c0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
0000000297c112a0 (__DATA,__common) non-external _ierror
0000000283b55fa4 (__TEXT,__text) non-external _install_from_ini
0000000283b56430 (__TEXT,__text) non-external _install_from_string
0000000297c10d08 (__DATA,__data) external _iodbc_version
0000000297c111e0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000297c11228 (__DATA,__data) non-external _numerrors
0000000297c10d10 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000297c11230 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
0000000283b56634 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002919187e0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
0000000297c11280 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
0000000283b4b7f0 (__TEXT,__text) non-external _trace_SQLAllocConnect
0000000283b50608 (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000283b4c4b0 (__TEXT,__text) non-external _trace_SQLAllocHandle
0000000283b4e1f0 (__TEXT,__text) non-external _trace_SQLAllocStmt
0000000283b4c400 (__TEXT,__text) non-external _trace_SQLBindCol
0000000283b4d0b4 (__TEXT,__text) non-external _trace_SQLBindParameter
0000000283b50458 (__TEXT,__text) non-external _trace_SQLBrowseConnect
0000000283b50530 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
0000000283b495cc (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000283b51a8c (__TEXT,__text) non-external _trace_SQLCancel
0000000283b4e2ac (__TEXT,__text) non-external _trace_SQLCloseCursor
0000000283b4c950 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000283b4ce08 (__TEXT,__text) non-external _trace_SQLColAttributeW
0000000283b4cec8 (__TEXT,__text) non-external _trace_SQLColAttributes
0000000283b4cf94 (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000283b51578 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
0000000283b51694 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
0000000283b4b8e8 (__TEXT,__text) non-external _trace_SQLColumns
0000000283b4ba04 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000283b50e68 (__TEXT,__text) non-external _trace_SQLConnect
0000000283b50f54 (__TEXT,__text) non-external _trace_SQLConnectW
0000000283b49c60 (__TEXT,__text) non-external _trace_SQLCopyDesc
0000000283b4e37c (__TEXT,__text) non-external _trace_SQLDataSources
0000000283b4e47c (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000283b48aa4 (__TEXT,__text) non-external _trace_SQLDescribeCol
0000000283b48bb0 (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000283b514b8 (__TEXT,__text) non-external _trace_SQLDescribeParam
0000000283b4e264 (__TEXT,__text) non-external _trace_SQLDisconnect
0000000283b52838 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000283b52aa0 (__TEXT,__text) non-external _trace_SQLDriverConnectW
0000000283b4d384 (__TEXT,__text) non-external _trace_SQLDrivers
0000000283b4d484 (__TEXT,__text) non-external _trace_SQLDriversW
0000000283b4b788 (__TEXT,__text) non-external _trace_SQLEndTran
0000000283b48f2c (__TEXT,__text) non-external _trace_SQLError
0000000283b4902c (__TEXT,__text) non-external _trace_SQLErrorW
0000000283b4df8c (__TEXT,__text) non-external _trace_SQLExecDirect
0000000283b4e010 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000283b49620 (__TEXT,__text) non-external _trace_SQLExecute
0000000283b49d1c (__TEXT,__text) non-external _trace_SQLExtendedFetch
0000000283b4e684 (__TEXT,__text) non-external _trace_SQLFetch
0000000283b5066c (__TEXT,__text) non-external _trace_SQLFetchScroll
0000000283b51040 (__TEXT,__text) non-external _trace_SQLForeignKeys
0000000283b511c0 (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000283b513b0 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000283b49aa0 (__TEXT,__text) non-external _trace_SQLFreeEnv
0000000283b4b734 (__TEXT,__text) non-external _trace_SQLFreeHandle
0000000283b53284 (__TEXT,__text) non-external _trace_SQLFreeStmt
0000000283b488c8 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000283b4896c (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
0000000283b508fc (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000283b50964 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
0000000283b4c538 (__TEXT,__text) non-external _trace_SQLGetCursorName
0000000283b4c5dc (__TEXT,__text) non-external _trace_SQLGetCursorNameW
0000000283b52118 (__TEXT,__text) non-external _trace_SQLGetData
0000000283b4c2a0 (__TEXT,__text) non-external _trace_SQLGetDescField
0000000283b4c350 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000283b48cbc (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000283b48df4 (__TEXT,__text) non-external _trace_SQLGetDescRecW
0000000283b51918 (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000283b519dc (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000283b4923c (__TEXT,__text) non-external _trace_SQLGetDiagRec
0000000283b49334 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
0000000283b494b8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
0000000283b4df14 (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000283b49e9c (__TEXT,__text) non-external _trace_SQLGetInfo
0000000283b4b3e4 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000283b50d34 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000283b50dd8 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000283b51450 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000283b52790 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
0000000283b527e4 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000283b521dc (__TEXT,__text) non-external _trace_SQLMoreResults
0000000283b4bd68 (__TEXT,__text) non-external _trace_SQLNativeSql
0000000283b4be54 (__TEXT,__text) non-external _trace_SQLNativeSqlW
0000000283b4bb20 (__TEXT,__text) non-external _trace_SQLNumParams
0000000283b51340 (__TEXT,__text) non-external _trace_SQLNumResultCols
0000000283b4d060 (__TEXT,__text) non-external _trace_SQLParamData
0000000283b4b864 (__TEXT,__text) non-external _trace_SQLParamOptions
0000000283b532d8 (__TEXT,__text) non-external _trace_SQLPrepare
0000000283b5335c (__TEXT,__text) non-external _trace_SQLPrepareW
0000000283b4d584 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
0000000283b4d670 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
0000000283b4b494 (__TEXT,__text) non-external _trace_SQLProcedureColumns
0000000283b4b5b0 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
0000000283b4d1ac (__TEXT,__text) non-external _trace_SQLProcedures
0000000283b4d298 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000283b51ad4 (__TEXT,__text) non-external _trace_SQLPutData
0000000283b4955c (__TEXT,__text) non-external _trace_SQLRowCount
0000000283b52da4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000283b52e18 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000283b509cc (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000283b50a34 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
0000000283b4e57c (__TEXT,__text) non-external _trace_SQLSetCursorName
0000000283b4e600 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000283b4912c (__TEXT,__text) non-external _trace_SQLSetDescField
0000000283b491b4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
0000000283b4d75c (__TEXT,__text) non-external _trace_SQLSetDescRec
0000000283b4e094 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
0000000283b49bd0 (__TEXT,__text) non-external _trace_SQLSetPos
0000000283b49e28 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
0000000283b4e108 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
0000000283b4e17c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
0000000283b4b6cc (__TEXT,__text) non-external _trace_SQLSetStmtOption
0000000283b49780 (__TEXT,__text) non-external _trace_SQLSpecialColumns
0000000283b49910 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000283b52f4c (__TEXT,__text) non-external _trace_SQLStatistics
0000000283b530bc (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000283b4bb90 (__TEXT,__text) non-external _trace_SQLTablePrivileges
0000000283b4bc7c (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
0000000283b52330 (__TEXT,__text) non-external _trace_SQLTables
0000000283b5244c (__TEXT,__text) non-external _trace_SQLTablesW
0000000283b52288 (__TEXT,__text) non-external _trace_SQLTransact
0000000297c11260 (__DATA,__bss) non-external _trace_appname
0000000283b4ec40 (__TEXT,__text) non-external _trace_emit
0000000283b4eeb8 (__TEXT,__text) non-external _trace_emit_binary
0000000283b4eca8 (__TEXT,__text) non-external _trace_emit_string
0000000283b4ec8c (__TEXT,__text) non-external _trace_emitc
0000000297c11268 (__DATA,__bss) non-external _trace_fname
0000000297c11270 (__DATA,__bss) non-external _trace_fp
0000000297c11278 (__DATA,__bss) non-external _trace_fp_close
0000000283b4e708 (__TEXT,__text) non-external _trace_get_filename
0000000283b4e6cc (__TEXT,__text) non-external _trace_set_appname
0000000283b4e714 (__TEXT,__text) non-external _trace_set_filename
0000000283b4e9e8 (__TEXT,__text) non-external _trace_start
0000000283b4eb8c (__TEXT,__text) non-external _trace_stop
0000000283b4e970 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000283b54940 (__TEXT,__text) non-external _utf8_len
0000000283b54a4c (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000297c11300 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
