00000001db862fe4 (__TEXT,__text) non-external _DiToMD5
00000001db84da48 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00000001db876250 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00000001db84d61c (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00000001db84d580 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00000001db84d6a8 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00000001db862a30 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00000001db86299c (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00000001db862868 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00000001db8627e4 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00000001db862544 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00000001db86285c (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00000001db873b8c (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00000001db8666d0 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00000001db8466b4 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00000001db8668e8 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00000001db848860 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00000001db848ab4 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00000001db866850 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001db846554 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00000001db848fa4 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00000001db848c54 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00000001db875c78 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00000001db849038 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00000001db875d54 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00000001db875d80 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00000001db8489dc (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00000001db848a2c (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00000001db875c4c (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00000001db84880c (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00000001db848570 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00000001db8483a0 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00000001db849034 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00000001db848400 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00000001db847ea4 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00000001db8759e4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00000001db875a10 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00000001db875a3c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00000001db875a68 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00000001db875a94 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00000001db875ac0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00000001db875aec (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00000001db875b18 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00000001db8490f0 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00000001db846448 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00000001db846454 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00000001db8665e8 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00000001db8664e8 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00000001db8490f8 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00000001db866540 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00000001db861dd0 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00000001db861870 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00000001db861920 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00000001db861f74 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00000001db861ff4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00000001db861924 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00000001db8776b8 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00000001db862214 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00000001db862370 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00000001db861af0 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00000001db8776d0 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00000001db86237c (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00000001db862388 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00000001db8610a8 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00000001db861160 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00000001db861cc8 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00000001db861dcc (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00000001db87328c (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00000001db844c3c (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00000001db84547c (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00000001db845760 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00000001db874d0c (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00000001db874d38 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00000001db8456ac (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00000001db874cbc (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00000001db845e6c (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00000001db874f88 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00000001db874fb4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00000001db874fe0 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00000001db87500c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00000001db875038 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00000001db875064 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00000001db845930 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00000001db874e28 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00000001db874e54 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00000001db874e80 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00000001db874eac (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00000001db844c34 (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00000001db844c6c (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00000001db85072c (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00000001db85542c (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00000001db876d7c (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00000001db8553dc (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00000001db876d50 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00000001db8553d4 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00000001db8553d8 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00000001db855460 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00000001db866e14 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00000001db86708c (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00000001db8492a4 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00000001db866b10 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00000001db8671c4 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00000001db866d04 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001db867124 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00000001db849298 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00000001db849288 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00000001db866bfc (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001db866a3c (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00000001db866f80 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00000001db866a70 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00000001db85fd18 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00000001db85f310 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00000001db85fbcc (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00000001db85f340 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00000001db860210 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00000001db8600f0 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00000001db8772c0 (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00000001db86006c (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00000001db877298 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00000001db860140 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00000001db8772e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00000001db860284 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00000001db85f70c (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00000001db877170 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00000001db877198 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00000001db8771c8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00000001db877204 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00000001db877234 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00000001db85f3d8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00000001db876fe0 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00000001db877008 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00000001db877030 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00000001db85fb1c (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00000001db85f8f4 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00000001db85f2e0 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00000001db860138 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00000001db85fa2c (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00000001db877270 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00000001db86019c (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00000001db85f59c (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00000001db877048 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00000001db877070 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00000001db877098 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00000001db8770c8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00000001db877104 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00000001db877134 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00000001db85f34c (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00000001db85f7d4 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00000001db85ef38 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00000001db85ee2c (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00000001db85f088 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00000001db85f084 (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00000001db85efa8 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00000001db876f08 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00000001db876f38 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00000001db876f74 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00000001db876fa4 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00000001db860560 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00000001db860330 (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00000001db860664 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00000001db8603e4 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00000001db860464 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00000001db87309c (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00000001db874758 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00000001db8729b0 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00000001db872b54 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00000001db87318c (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00000001db8733e4 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00000001db87344c (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00000001db87353c (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00000001db873c14 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00000001db8647b4 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00000001db86953c (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00000001db869660 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00000001db869a40 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00000001db869ad8 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00000001db8697b0 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00000001db8698cc (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00000001db869b90 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00000001db869c74 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00000001db84a2a4 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00000001db875f0c (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00000001db84baf8 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00000001db84ba98 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00000001db86943c (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00000001db84bb84 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00000001db876098 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00000001db869494 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00000001db86a2e8 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00000001db86add8 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00000001db873124 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00000001db86109c (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00000001db860f48 (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00000001db860e90 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00000001db860744 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001db860840 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001db86a0e0 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00000001db8672ac (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00000001db86745c (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00000001db867f8c (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00000001db867e74 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00000001db8681e8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00000001db84ef6c (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00000001db867d68 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00000001db84f098 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00000001db8682f4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00000001db8683f8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00000001db8685f4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00000001db868518 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00000001db868778 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001db868488 (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00000001db8680a4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00000001db8686d0 (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
00000001db84eee4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
00000001db84ee7c (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
00000001db867b08 (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
00000001db867a08 (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
00000001db867c5c (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
00000001db867a60 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
00000001db869db8 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00000001db869ea8 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00000001db8722b8 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00000001db872468 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00000001db873224 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00000001db8648a4 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00000001db864994 (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00000001db862220 (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00000001db861768 (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00000001db877690 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00000001db861e50 (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
00000001db8776e8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy.cold.1
00000001db8616dc (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapCleanupEi
00000001db877590 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.1
00000001db8775b8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.2
00000001db8775e8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.3
00000001db877624 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.4
00000001db877654 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.5
00000001db861364 (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapPrepareEi
00000001db8774e8 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.1
00000001db877510 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapPrepareEi.cold.2
00000001db862418 (__TEXT,__text) external __ZN21IOStateReporter_IVars19updateChannelValuesEi
00000001db877738 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars19updateChannelValuesEi.cold.1
00000001db86151c (__TEXT,__text) external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString
00000001db877528 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00000001db877550 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00000001db877578 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00000001db861ff8 (__TEXT,__text) external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy
00000001db877710 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars23handleSetStateByIndicesEiiyy.cold.1
00000001db861a00 (__TEXT,__text) external __ZN21IOStateReporter_IVars35handleOverrideChannelStateByIndicesEiiyyy
00000001db861bcc (__TEXT,__text) external __ZN21IOStateReporter_IVars36handleIncrementChannelStateByIndicesEiiyyy
00000001db861210 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC1EP9IOService19IOReportChannelTypeytx
00000001db861250 (__TEXT,__text) external __ZN21IOStateReporter_IVarsC2EP9IOService19IOReportChannelTypeytx
00000001db86133c (__TEXT,__text) external __ZN21IOStateReporter_IVarsD0Ev
00000001db861338 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD1Ev
00000001db861290 (__TEXT,__text) external __ZN21IOStateReporter_IVarsD2Ev
00000001db877410 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.1
00000001db877440 (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.2
00000001db87747c (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.3
00000001db8774ac (__TEXT,__text) non-external __ZN21IOStateReporter_IVarsD2Ev.cold.4
00000001db8706c4 (__TEXT,__text) external __ZN21IOTimerDispatchSource10SetHandlerEP8OSActionPFiP15OSMetaClassBase5IORPCE
00000001db8707a8 (__TEXT,__text) external __ZN21IOTimerDispatchSource10WakeAtTimeEyyyPFiP15OSMetaClassBase5IORPCE
00000001db84b020 (__TEXT,__text) external __ZN21IOTimerDispatchSource11Cancel_ImplEU13block_pointerFvvE
00000001db84ab90 (__TEXT,__text) external __ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS_
00000001db875f38 (__TEXT,__text) non-external __ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS_.cold.1
00000001db875f64 (__TEXT,__text) non-external __ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS_.cold.2
00000001db8704dc (__TEXT,__text) external __ZN21IOTimerDispatchSource13Create_InvokeE5IORPCPFiP15IODispatchQueuePPS_E
