000000018030b3e4 (__TEXT,__text) external _NSAddImage
0000000180329ce8 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder16computeInitOrderERNS0_11ImageWriterEj.cold.1
0000000180329d10 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder16computeInitOrderERNS0_11ImageWriterEj.cold.2
0000000180329d38 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder16computeInitOrderERNS0_11ImageWriterEj.cold.3
00000001802fa50c (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj
0000000180329d88 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.1
0000000180329ef4 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.10
0000000180329f1c (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.11
0000000180329f44 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.12
0000000180329f6c (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.13
0000000180329db4 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.2
0000000180329ddc (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.3
0000000180329e04 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.4
0000000180329e2c (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.5
0000000180329e54 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.6
0000000180329e7c (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.7
0000000180329ea4 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.8
0000000180329ecc (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder17makeDlopenClosureEPKcPKNS0_13LaunchClosureERKNS_5ArrayINS_11LoadedImageEEEjbbbPj.cold.9
0000000180308b44 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder18expandAtLoaderPathEPKcbRKNS1_18BuilderLoadedImageEPc
0000000180325cb4 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder19addChainedFixupInfoERNS0_11ImageWriterERNS1_18BuilderLoadedImageE
00000001df33c100 (__DATA,__data) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder19sRetryDlopenClosureE
0000000180325798 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder20addMustBeMissingPathEPKc
00000001803270b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder20addWeakDefCachePatchEjjRKNS_16MachOAnalyzerSet11FixupTargetE
0000000180325844 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder22expandAtExecutablePathEPKcbbPc
00000001802fbcb8 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder22forEachResolvedPathVarEPKcRKNS1_16LoadedImageChainEbNS1_11LinkageTypeEU13block_pointerFvS3_RbE
00000001802fc2a0 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder23loadDanglingUpwardLinksEb
00000001802fc110 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder23recursiveLoadDependentsERNS1_16LoadedImageChainEb
0000000180329818 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder23recursiveLoadDependentsERNS1_16LoadedImageChainEb.cold.1
0000000180302d68 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder26invalidateInitializerRootsEv
0000000180329d60 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder26invalidateInitializerRootsEv.cold.1
0000000180304ef8 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder28depthFirstRecurseSetInitInfoEjPNS1_8InitInfoERjRb
0000000180329cc0 (__TEXT,__text) non-external __ZN5dyld37closure14ClosureBuilder28depthFirstRecurseSetInitInfoEjPNS1_8InitInfoERjRb.cold.1
00000001802fb3d0 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilder9findImageEPKcRKNS1_16LoadedImageChainERPNS1_18BuilderLoadedImageENS1_11LinkageTypeEjb
0000000180324aec (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilderC1EjRKNS0_10FileSystemERKNS_12RootsCheckerEPK15DyldSharedCachebRKNS_11GradedArchsERKNS0_13PathOverridesENS1_6AtPathEbPNS_15LaunchErrorInfoENS_8PlatformEU13block_pointerFvPKNS_11MachOLoadedEyNS_16MachOAnalyzerSet15PointerMetaDataERKNSO_11FixupTargetEE
00000001803249e8 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilderC2EjRKNS0_10FileSystemERKNS_12RootsCheckerEPK15DyldSharedCachebRKNS_11GradedArchsERKNS0_13PathOverridesENS1_6AtPathEbPNS_15LaunchErrorInfoENS_8PlatformEU13block_pointerFvPKNS_11MachOLoadedEyNS_16MachOAnalyzerSet15PointerMetaDataERKNSO_11FixupTargetEE
00000001802fc350 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilderD1Ev
00000001802fc354 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure14ClosureBuilderD2Ev
00000001eb741510 (__DATA_DIRTY,__common) non-external (was a private external) __ZN5dyld37closure14gPathOverridesE
0000000180305178 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure16ImageArrayWriter11appendImageEPKNS0_5ImageE
0000000180305208 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure16ImageArrayWriter8finalizeEv
000000018030505c (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure16ImageArrayWriterC1Ejjb
0000000180305060 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure16ImageArrayWriterC2Ejjb
00000001803267ac (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb
0000000180329984 (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.1
00000001803299b0 (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.2
00000001803299d8 (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.3
0000000180329a00 (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.4
0000000180329a2c (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.5
0000000180329a54 (__TEXT,__text) non-external __ZN5dyld37closure18BindPatternBuilder3addEyNS0_5Image20ResolvedSymbolTargetEb.cold.6
000000018030531c (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure19DlopenClosureWriter8finalizeEv
000000018030520c (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure19DlopenClosureWriterC1EPKNS0_10ImageArrayE
0000000180305210 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure19DlopenClosureWriterC2EPKNS0_10ImageArrayE
000000018032ada0 (__TEXT,__const) non-external (was a private external) __ZN5dyld37closure20RebasePatternBuilder17_s_maxLeapPatternE
0000000180326598 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure20RebasePatternBuilder3addEy
000000018032986c (__TEXT,__text) non-external __ZN5dyld37closure20RebasePatternBuilder3addEy.cold.1
0000000180329894 (__TEXT,__text) non-external __ZN5dyld37closure20RebasePatternBuilder3addEy.cold.2
00000001803298bc (__TEXT,__text) non-external __ZN5dyld37closure20RebasePatternBuilder3addEy.cold.3
00000001803298e4 (__TEXT,__text) non-external __ZN5dyld37closure20RebasePatternBuilder3addEy.cold.4
000000018032990c (__TEXT,__text) non-external __ZN5dyld37closure20RebasePatternBuilder3addEy.cold.5
00000001803051f0 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure25ContainerTypedBytesWriter10deallocateEv
0000000180303768 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure25ContainerTypedBytesWriter16setContainerTypeENS0_10TypedBytes4TypeE
000000018032a08c (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter16setContainerTypeENS0_10TypedBytes4TypeE.cold.1
000000018032a0b8 (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter16setContainerTypeENS0_10TypedBytes4TypeE.cold.2
00000001803050e8 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure25ContainerTypedBytesWriter17finalizeContainerEv
00000001803037f4 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure25ContainerTypedBytesWriter6appendENS0_10TypedBytes4TypeEPKvj
000000018032a0e4 (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter6appendENS0_10TypedBytes4TypeEPKvj.cold.1
000000018032a110 (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter6appendENS0_10TypedBytes4TypeEPKvj.cold.2
000000018032a13c (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter6appendENS0_10TypedBytes4TypeEPKvj.cold.3
000000018032a168 (__TEXT,__text) non-external __ZN5dyld37closure25ContainerTypedBytesWriter6appendENS0_10TypedBytes4TypeEPKvj.cold.4
00000001803040dc (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure5Image12hashFunctionEPKc
00000001802fd314 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure8PathPool10deallocateEPS1_
00000001802fd170 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure8PathPool3addEPKc
00000001802fd124 (__TEXT,__text) non-external (was a private external) __ZN5dyld37closure8PathPool8allocateEv
0000000180305c6c (__TEXT,__text) non-external (was a private external) __ZN5dyld37dlcloseEPv
00000001803075b8 (__TEXT,__text) non-external (was a private external) __ZN5dyld37dlerrorEv
00000001802f2668 (__TEXT,__text) non-external (was a private external) __ZN5dyld38log_apisEPKcz
0000000180308af4 (__TEXT,__text) non-external (was a private external) __ZN5dyld38log_dofsEPKcz
0000000180312330 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages11decRefCountEPK11mach_header
0000000180328c3c (__TEXT,__text) non-external __ZN5dyld39AllImages11decRefCountEPK11mach_header.cold.1
0000000180328c64 (__TEXT,__text) non-external __ZN5dyld39AllImages11decRefCountEPK11mach_header.cold.2
0000000180302310 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages11incRefCountEPK11mach_header
00000001802f7338 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages12findImageNumEjRj
00000001803118b4 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages12removeImagesERKNS_5ArrayINS_11LoadedImageEEE
0000000180328a48 (__TEXT,__text) non-external __ZN5dyld39AllImages12removeImagesERKNS_5ArrayINS_11LoadedImageEEE.cold.1
0000000180328a70 (__TEXT,__text) non-external __ZN5dyld39AllImages12removeImagesERKNS_5ArrayINS_11LoadedImageEEE.cold.2
00000001802fcde8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages13findDependentEPKNS_11MachOLoadedEj
00000001803113d0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages13setLaunchModeEj
000000018031139c (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages14setProgramVarsEPNS0_11ProgramVarsEbb
00000001802f7454 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages14swapImageStateEjRjNS_11LoadedImage5StateES3_
0000000180307ff0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages15addLoadNotifierEPFvPK11mach_headerPKcbE
00000001802f26b8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages15addLoadNotifierEPFvPK11mach_headerlE
0000000180302424 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages15recomputeBoundsEv
00000001803113e8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages15setRestrictionsEbb
00000001803113d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages16getDriverkitMainEv
00000001803113e0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages16setDriverkitMainEPFvvE
00000001802f32c4 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_
0000000180328e28 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.1
0000000180328e50 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.2
0000000180328e78 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.3
0000000180328ea0 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.4
0000000180328ec8 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.5
0000000180328ef4 (__TEXT,__text) non-external __ZN5dyld39AllImages16setObjCNotifiersEPFvjPKPKcPKPK11mach_headerEPFvS2_S7_ESD_.cold.6
0000000180306e3c (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages17addImmutableRangeEmm
00000001802f698c (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages17addUnloadNotifierEPFvPK11mach_headerlE
00000001802f9cf4 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages17notifyMonitorMainEv
00000001803288a0 (__TEXT,__text) non-external __ZN5dyld39AllImages17notifyMonitorMainEv.cold.1
00000001802fe2ec (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages17runImageCallbacksERKNS_5ArrayINS_11LoadedImageEEE
00000001803289f0 (__TEXT,__text) non-external __ZN5dyld39AllImages17runImageCallbacksERKNS_5ArrayINS_11LoadedImageEEE.cold.1
00000001802fdba0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages17runImageNotifiersERKNS_5ArrayINS_11LoadedImageEEE
0000000180328998 (__TEXT,__text) non-external __ZN5dyld39AllImages17runImageNotifiersERKNS_5ArrayINS_11LoadedImageEEE.cold.1
00000001803289c4 (__TEXT,__text) non-external __ZN5dyld39AllImages17runImageNotifiersERKNS_5ArrayINS_11LoadedImageEEE.cold.2
00000001803113fc (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages18applyInitialImagesEv
00000001802fe52c (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages18notifyMonitorLoadsERKNS_5ArrayINS_11LoadedImageEEE
00000001803288cc (__TEXT,__text) non-external __ZN5dyld39AllImages18notifyMonitorLoadsERKNS_5ArrayINS_11LoadedImageEEE.cold.1
0000000180306ab0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages18takeLockBeforeForkEv
00000001802f4fac (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages19addBulkLoadNotifierEPFvjPPK11mach_headerPPKcE
0000000180328e00 (__TEXT,__text) non-external __ZN5dyld39AllImages19addBulkLoadNotifierEPFvjPPK11mach_headerPPKcE.cold.1
0000000180312674 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20addNSObjectFileImageERK7OFIInfo
0000000180312874 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20forNSObjectFileImageEP19__NSObjectFileImageU13block_pointerFvR7OFIInfoE
0000000180312404 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20garbageCollectImagesEv
0000000180328c8c (__TEXT,__text) non-external __ZN5dyld39AllImages20garbageCollectImagesEv.cold.1
000000018031055c (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20notifyMonitorUnloadsERKNS_5ArrayINS_11LoadedImageEEE
00000001803288f8 (__TEXT,__text) non-external __ZN5dyld39AllImages20notifyMonitorUnloadsERKNS_5ArrayINS_11LoadedImageEEE.cold.1
00000001803145fc (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20resetLockInForkChildEv
00000001803113f4 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages20setHasCacheOverridesEb
00000001802f6ef0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages21runStartupInitialzersEv
0000000180306afc (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages23releaseLockInForkParentEv
00000001803129b0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages23removeNSObjectFileImageEP19__NSObjectFileImage
00000001803070b8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages23runAllStaticTerminatorsEv
0000000180328d88 (__TEXT,__text) non-external __ZN5dyld39AllImages23runAllStaticTerminatorsEv.cold.1
0000000180328db0 (__TEXT,__text) non-external __ZN5dyld39AllImages23runAllStaticTerminatorsEv.cold.2
0000000180313c20 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages23runLibSystemInitializerERNS_11LoadedImageE
00000001802fded0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages24mirrorToOldAllImageInfosEv
0000000180313618 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages27applyInterposingToDyldCacheEPKNS_7closure7ClosureEj
00000001803070ac (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages29runAllStaticTerminatorsHelperEPv
00000001803110f8 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages4initEPKNS_7closure13LaunchClosureEPK15DyldSharedCachePKcRKNS_5ArrayINS_11LoadedImageEEE
0000000180328948 (__TEXT,__text) non-external __ZN5dyld39AllImages4initEPKNS_7closure13LaunchClosureEPK15DyldSharedCachePKcRKNS_5ArrayINS_11LoadedImageEEE.cold.1
0000000180328970 (__TEXT,__text) non-external __ZN5dyld39AllImages4initEPKNS_7closure13LaunchClosureEPK15DyldSharedCachePKcRKNS_5ArrayINS_11LoadedImageEEE.cold.2
0000000180313d24 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages6dlopenER11DiagnosticsPKcbbbbbPKvb
00000001802fdb10 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages9addImagesERKNS_5ArrayINS_11LoadedImageEEE
0000000180314250 (__TEXT,__text) non-external (was a private external) __ZN5dyld39AllImages9loadImageER11DiagnosticsPKcjPKNS_7closure13DlopenClosureEbbbbPKv
00000001e591a428 (__DATA_CONST,__const) non-external (was a private external) __ZN5dyld39MachOFile12_s_archInfosE
000000018031a53c (__TEXT,__text) non-external (was a private external) __ZN5dyld39MachOFile12platformNameENS_8PlatformE
0000000180302cc0 (__TEXT,__text) non-external (was a private external) __ZN5dyld39MachOFile12read_sleb128ER11DiagnosticsRPKhS4_
00000001802f853c (__TEXT,__text) non-external (was a private external) __ZN5dyld39MachOFile12read_uleb128ER11DiagnosticsRPKhS4_
00000001e591a4b8 (__DATA_CONST,__const) non-external (was a private external) __ZN5dyld39MachOFile16_s_platformInfosE
000000018031a04c (__TEXT,__text) non-external (was a private external) __ZN5dyld39MachOFile21packedVersionToStringEjPc
00000001802fe1dc (__TEXT,__text) non-external (was a private external) __ZN5dyld39log_loadsEPKcz
00000001eed73cd0 (__AUTH_CONST,__const) non-external __ZN5dyld3L10dyld_funcsE
000000018031ec2c (__TEXT,__text) non-external __ZN5dyld3L11relocSorterEPKvS1_
000000018032a980 (__TEXT,__const) non-external __ZN5dyld3L11sVersionMapE
000000018031a0c8 (__TEXT,__text) non-external __ZN5dyld3L12appendNumberERPcj
00000001802fc49c (__TEXT,__text) non-external __ZN5dyld3L12dlsym_searchEPKcRKNS_11LoadedImageEbU13block_pointerFPKNS_11MachOLoadedES7_jEPb
00000001eb7414c8 (__DATA_DIRTY,__data) non-external __ZN5dyld3L12sLogFunctionE
00000001e591a758 (__DATA_CONST,__const) non-external __ZN5dyld3L12sTreatAsWeakE
00000001df33c314 (__DATA,__bss) non-external __ZN5dyld3L12sVerboseAPIsE
00000001df33c316 (__DATA,__bss) non-external __ZN5dyld3L12sVerboseDOFsE
00000001803171fc (__TEXT,__text) non-external __ZN5dyld3L12vlog_defaultEPKcPc
0000000180327cd0 (__TEXT,__text) non-external __ZN5dyld3L13entry_setVarsEPK11mach_headeriPPKcS5_S5_bbb
00000001eb7416a8 (__DATA_DIRTY,__bss) non-external __ZN5dyld3L13sHaltFunctionE
00000001df33c038 (__DATA,__data) non-external __ZN5dyld3L13trace_pair_idE
0000000180316754 (__TEXT,__text) non-external __ZN5dyld3L14flatFindSymbolEPKcPPvPPK11mach_header
000000018032acb8 (__TEXT,__const) non-external __ZN5dyld3L14hashPrioritiesE
00000001df33c312 (__DATA,__bss) non-external __ZN5dyld3L14sVerboseFixupsE
0000000180305728 (__TEXT,__text) non-external __ZN5dyld3L14setErrorStringEPKcz
00000001df33c310 (__DATA,__bss) non-external __ZN5dyld3L15sVerboseLoadingE
00000001802f8148 (__TEXT,__text) non-external __ZN5dyld3L16clearErrorStringEv
00000001df33c311 (__DATA,__bss) non-external __ZN5dyld3L16sVerboseSegmentsE
000000018031474c (__TEXT,__text) non-external __ZN5dyld3L17mapFromVersionSetE20dyld_build_version_t
000000018032904c (__TEXT,__text) non-external __ZN5dyld3L17mapFromVersionSetE20dyld_build_version_t.cold.1
00000001eb7416b0 (__DATA_DIRTY,__bss) non-external __ZN5dyld3L18sChildForkFunctionE
0000000180327f24 (__TEXT,__text) non-external __ZN5dyld3L19entry_setLaunchModeEj
0000000180327ea0 (__TEXT,__text) non-external __ZN5dyld3L20entry_setLogFunctionEPFvPKcPcE
0000000180327f0c (__TEXT,__text) non-external __ZN5dyld3L20entry_setProgramVarsEP11ProgramVars
00000001803150b8 (__TEXT,__text) non-external __ZN5dyld3L20findCacheInDirAndMapEPKhPKcRm
00000001df33c313 (__DATA,__bss) non-external __ZN5dyld3L20sVerboseInitializersE
0000000180327dd0 (__TEXT,__text) non-external __ZN5dyld3L21entry_setHaltFunctionEPFvPKcE
0000000180327ea4 (__TEXT,__text) non-external __ZN5dyld3L21entry_setRestrictionsEbbb
00000001df33c315 (__DATA,__bss) non-external __ZN5dyld3L21sVerboseNotificationsE
0000000180327f34 (__TEXT,__text) non-external __ZN5dyld3L22entry_getDriverkitMainEv
0000000180315604 (__TEXT,__text) non-external __ZN5dyld3L23deriveVersionFromDylibsEPK11mach_header
0000000180327dd4 (__TEXT,__text) non-external __ZN5dyld3L24entry_setOldAllImageInfoEP20dyld_all_image_infos
000000018031b3c4 (__TEXT,__text) non-external __ZN5dyld3L24hash_rank_watchOS_dylibsEPK16CS_CodeDirectory
00000001802f81a8 (__TEXT,__text) non-external __ZN5dyld3L25dlerror_perThreadKey_onceEPv
0000000180327de0 (__TEXT,__text) non-external __ZN5dyld3L25entry_setInitialImageListEPKNS_7closure13LaunchClosureEPK15DyldSharedCachePKcRKNS_5ArrayINS_11LoadedImageEEERSA_j
0000000180327e94 (__TEXT,__text) non-external __ZN5dyld3L26entry_setChildForkFunctionEPFvvE
0000000180327efc (__TEXT,__text) non-external __ZN5dyld3L26entry_setHasCacheOverridesEb
00000001802f6eb0 (__TEXT,__text) non-external __ZN5dyld3L28entry_runInitialzersBottomUpEPK11mach_header
0000000180327ef8 (__TEXT,__text) non-external __ZN5dyld3L29entry_setNotifyMonitoringDyldEPFvbjPPK11mach_headerPPKcE
000000018032aca8 (__TEXT,__const) non-external __ZN5dyld3L29hashPriorities_watchOS_dylibsE
00000001802f4398 (__TEXT,__text) non-external __ZN5dyld3L32dyld_get_image_versions_internalEPK11mach_headerU13block_pointerFvjjjE
0000000180327ef4 (__TEXT,__text) non-external __ZN5dyld3L33entry_setNotifyMonitoringDyldMainEPFvvE
000000018031b3fc (__TEXT,__text) non-external __ZN5dyld3L9hash_rankEPK16CS_CodeDirectory
00000001802f7b2c (__TEXT,__text) non-external __ZN5dyld3L9nameMatchEPKcS1_
0000000180305720 (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics12errorMessageEv
00000001802f2d2c (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics13assertNoErrorEv
0000000180328924 (__TEXT,__text) non-external __ZNK11Diagnostics13assertNoErrorEv.cold.1
00000001802f98cc (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics7noErrorEv
00000001802f85c4 (__TEXT,__text) non-external (was a private external) __ZNK11Diagnostics8hasErrorEv
00000001802f3cc0 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache10mappedSizeEv
00000001803108c0 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache11findClosureEPKc
00000001802f81b4 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache12hasImagePathEPKcRj
00000001803106f4 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache13forEachRegionEU13block_pointerFvPKvyyjjyE
000000018031103c (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache16getCanonicalPathEPKc
000000018031087c (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache17isOverridablePathEPKc
0000000180310a04 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache17otherOSImageArrayEv
00000001802fcb40 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache17unslidLoadAddressEv
00000001802fcf08 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache20findDlopenOtherImageEPKc
00000001802f85d4 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache20getIndexedImageEntryEjRyS0_
0000000180310f8c (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache20getObjCConstantRangeEv
0000000180310a30 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache20patchableExportCountEj
00000001802fb568 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache21hasNonOverridablePathEPKc
00000001802fa4e0 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache22cachedDylibsImageArrayEv
0000000180310a78 (__TEXT,__text) non-external (was a private external) __ZNK15DyldSharedCache22forEachPatchableExportEjU13block_pointerFvjPKcE
