00007ffd430e4198 (__DATA,__bss) non-external _A
00007ffd0a197626 (__TEXT,__text) external _cmark_strbuf_drop
00007ffd0a1972d5 (__TEXT,__text) external _cmark_strbuf_free
00007ffd0a19726d (__TEXT,__text) external _cmark_strbuf_grow
00007ffd0a1a2a6c (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd0a1a2a92 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd0a197242 (__TEXT,__text) external _cmark_strbuf_init
00007ffd0a1972cc (__TEXT,__text) external _cmark_strbuf_len
00007ffd0a19770c (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd0a19740e (__TEXT,__text) external _cmark_strbuf_put
00007ffd0a1973d5 (__TEXT,__text) external _cmark_strbuf_putc
00007ffd0a197462 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd0a19766e (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd0a197325 (__TEXT,__text) external _cmark_strbuf_set
00007ffd0a1973a5 (__TEXT,__text) external _cmark_strbuf_sets
00007ffd0a197588 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd0a1975c8 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd0a1974df (__TEXT,__text) external _cmark_strbuf_swap
00007ffd0a1976b7 (__TEXT,__text) external _cmark_strbuf_trim
00007ffd0a197607 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd0a1977a3 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd0a189a56 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd0a1a297b (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd0a1899bc (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd0a189b4c (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd0a189a01 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd0a189ace (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd0a189b70 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd0a189ae2 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd0a189ad8 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd0a189a86 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd0a189ac4 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd0a189b24 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd0a189b17 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd0a189ab0 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd0a189af6 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd0a189b0a (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd0a189a9d (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd0a189aa6 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd0a189b56 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd0a189b63 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd0a189a93 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd0a189aec (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd0a189b31 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd0a189b3e (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd0a189aba (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd0a189b00 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd0a196f01 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd0a17eab4 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd0a17e660 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd0a17e99c (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd0a1a27ab (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd0a1865a6 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd0a18654c (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd0a17e851 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd0a187ce8 (__TEXT,__text) external _cmark_version
00007ffd0a187cf3 (__TEXT,__text) external _cmark_version_string
00007ffd0a189219 (__TEXT,__text) non-external _commonmark_render
00007ffd0a18bc38 (__TEXT,__text) non-external _commonmark_render
00007ffd0a1a0f90 (__TEXT,__text) non-external _commonmark_render
00007ffd0a1a3411 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd0a1a0f7b (__TEXT,__text) non-external _contains_inlines
00007ffd0a196f53 (__TEXT,__text) non-external _core_extensions_registration
00007ffd0a189b7d (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd0a18bb15 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd0a1a04b2 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd0a1a266a (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd0a18905f (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd430e4008 (__DATA,__bss) non-external _enable_safety_checks
00007ffd0a1a3700 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd0a1a1c0a (__TEXT,__text) non-external _escape
00007ffd430e3f80 (__DATA,__bss) non-external _extensions_lock
00007ffd430e3e00 (__DATA,__data) non-external _extensions_once
00007ffd0a1a2698 (__TEXT,__text) non-external _filter
00007ffd0a1998c5 (__TEXT,__text) non-external _finalize
00007ffd0a1a2ba5 (__TEXT,__text) non-external _finalize.cold.1
00007ffd0a1a2bc8 (__TEXT,__text) non-external _finalize.cold.2
00007ffd0a196ec5 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd0a19a2e3 (__TEXT,__text) non-external _free_node_as
00007ffd0a1a2211 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd0a18ce58 (__TEXT,__text) non-external _get_link_type
00007ffd0a189158 (__TEXT,__text) non-external _get_type_string
00007ffd0a18bbf7 (__TEXT,__text) non-external _get_type_string
00007ffd0a1a0eb1 (__TEXT,__text) non-external _get_type_string
00007ffd0a19fb18 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd0a1a3300 (__TEXT,__text) non-external _houdini_escape_href.cold.1
00007ffd0a1a62f0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd0a1a28cf (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd0a1a27f3 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd0a19fb49 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd0a19fdbc (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd0a19feac (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd0a189289 (__TEXT,__text) non-external _html_render
00007ffd0a18bcdd (__TEXT,__text) non-external _html_render
00007ffd0a1a158d (__TEXT,__text) non-external _html_render
00007ffd0a1a347a (__TEXT,__text) non-external _html_render.cold.1
00007ffd0a1a230e (__TEXT,__text) non-external _html_table_add_align
00007ffd0a1a2621 (__TEXT,__text) non-external _init_arena
00007ffd0a1a260e (__TEXT,__text) non-external _initialize_arena
00007ffd0a18ac6a (__TEXT,__text) non-external _initialize_extensions
00007ffd0a19b6d1 (__TEXT,__text) non-external _initialize_nextflag
00007ffd0a19b6be (__TEXT,__text) non-external _initialize_safety
00007ffd0a18be63 (__TEXT,__text) non-external _insert
00007ffd0a18a9e1 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd0a18bc59 (__TEXT,__text) non-external _latex_render
00007ffd0a1a11aa (__TEXT,__text) non-external _latex_render
00007ffd0a1a3434 (__TEXT,__text) non-external _latex_render.cold.1
00007ffd0a19e80c (__TEXT,__text) non-external _link_label
00007ffd0a1a308e (__TEXT,__text) non-external _link_label.cold.1
00007ffd0a1a30af (__TEXT,__text) non-external _link_label.cold.2
00007ffd0a1a30d2 (__TEXT,__text) non-external _link_label.cold.3
00007ffd0a1a30f5 (__TEXT,__text) non-external _link_label.cold.4
00007ffd0a1a3118 (__TEXT,__text) non-external _link_label.cold.5
00007ffd0a19f344 (__TEXT,__text) non-external _make_autolink
00007ffd0a1a32df (__TEXT,__text) non-external _make_autolink.cold.1
00007ffd0a19f1c3 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd0a18bc88 (__TEXT,__text) non-external _man_render
00007ffd0a1a1423 (__TEXT,__text) non-external _man_render
00007ffd0a1a3457 (__TEXT,__text) non-external _man_render.cold.1
00007ffd0a19ea99 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd0a189beb (__TEXT,__text) non-external _match
00007ffd0a18bd20 (__TEXT,__text) non-external _match
00007ffd0a1890f4 (__TEXT,__text) non-external _matches
00007ffd0a1a05d4 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd430e4010 (__DATA,__bss) non-external _nextflag_lock
00007ffd430e3e30 (__DATA,__data) non-external _nextflag_once
00007ffd0a196fb8 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd0a1a2a4b (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd0a1a1b6b (__TEXT,__text) non-external _opaque_alloc
00007ffd0a1a1bb7 (__TEXT,__text) non-external _opaque_free
00007ffd0a189165 (__TEXT,__text) non-external _open_tasklist_item
00007ffd0a186d8b (__TEXT,__text) non-external _outc
00007ffd0a18c46a (__TEXT,__text) non-external _outc
00007ffd0a19ff43 (__TEXT,__text) non-external _outc
00007ffd0a18bcff (__TEXT,__text) non-external _plaintext_render
00007ffd0a18a08d (__TEXT,__text) non-external _postprocess
00007ffd0a1a299c (__TEXT,__text) non-external _postprocess.cold.1
00007ffd0a1a29bf (__TEXT,__text) non-external _postprocess.cold.2
00007ffd0a19df38 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffd0a19f260 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
00007ffd0a197218 (__TEXT,__text) non-external _refcmp
00007ffd0a197990 (__TEXT,__text) non-external _reference_free
00007ffd0a197193 (__TEXT,__text) non-external _refsearch
00007ffd0a196f42 (__TEXT,__text) non-external _register_plugins
00007ffd430e3e10 (__DATA,__data) non-external _registered_once
00007ffd0a19e4e2 (__TEXT,__text) non-external _remove_delimiter
00007ffd0a1a2f76 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd0a199c6c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd0a1a1e0c (__TEXT,__text) non-external _row_from_string
00007ffd430e3fc8 (__DATA,__bss) non-external _safety_lock
00007ffd430e3e20 (__DATA,__data) non-external _safety_once
00007ffd416689c0 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd0a199e77 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd0a19e9c4 (__TEXT,__text) non-external _spnl
00007ffd0a1a313b (__TEXT,__text) non-external _spnl.cold.1
00007ffd0a1a315e (__TEXT,__text) non-external _spnl.cold.2
00007ffd0a1a3181 (__TEXT,__text) non-external _spnl.cold.3
00007ffd0a1a31a4 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd430e3fc0 (__DATA,__bss) non-external _syntax_extensions
00007ffd0a1a2278 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
00007ffd0a1a0663 (__TEXT,__text) non-external _try_opening_table_block
00007ffd0a1a216d (__TEXT,__text) non-external _unescape_pipes
00007ffd0a1a3600 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd0a18aa1a (__TEXT,__text) non-external _validate_protocol
00007ffd0a187d00 (__TEXT,__text) non-external _xcalloc
00007ffd0a1a28e8 (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd0a187d34 (__TEXT,__text) non-external _xfree
00007ffd0a1893d5 (__TEXT,__text) non-external _xml_attr
00007ffd0a1a133f (__TEXT,__text) non-external _xml_attr
00007ffd0a187d1a (__TEXT,__text) non-external _xrealloc
00007ffd0a1a290d (__TEXT,__text) non-external _xrealloc.cold.1
