00007ffb1c73b4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb408e8f00 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb408e8700 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb408e86d0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb408e8f20 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb408e8290 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffb408e82c0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb408e8f80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb408e8fa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb408e8fd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb408e9000 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb408e9070 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb408e90b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb408e9130 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb408e9190 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb408e9210 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb408e9240 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb408e9290 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb408e8f50 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb408e92c0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb408e8720 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb408e82f0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb408e8740 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb408e83c0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb408e83e0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb408e8490 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb408e87c0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb408e8770 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb408e80c0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb1c7528c3 (__TEXT,__text) non-external __trace_bufferlen
00007ffb1c7520e2 (__TEXT,__text) non-external __trace_c_type
00007ffb1c74f5ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffb1c74f8b5 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb1c74f5e7 (__TEXT,__text) non-external __trace_colattr3_type
00007ffb1c74bde0 (__TEXT,__text) non-external __trace_connattr_type
00007ffb1c752ba0 (__TEXT,__text) non-external __trace_connopt_type
00007ffb1c7548d7 (__TEXT,__text) non-external __trace_connstr
00007ffb1c754b62 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb1c754ac1 (__TEXT,__text) non-external __trace_connstr_w
00007ffb1c753bf0 (__TEXT,__text) non-external __trace_data
00007ffb1c74c068 (__TEXT,__text) non-external __trace_desc_null
00007ffb1c74ef80 (__TEXT,__text) non-external __trace_descfield_type
00007ffb1c753934 (__TEXT,__text) non-external __trace_diag_type
00007ffb1c750d84 (__TEXT,__text) non-external __trace_direction
00007ffb1c7549a3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb1c74c93f (__TEXT,__text) non-external __trace_envattr_type
00007ffb1c74cfac (__TEXT,__text) non-external __trace_fetchtype
00007ffb1c755008 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb1c750559 (__TEXT,__text) non-external __trace_func_name
00007ffb1c7504ac (__TEXT,__text) non-external __trace_func_result
00007ffb1c74d19c (__TEXT,__text) non-external __trace_getinfo
00007ffb1c751c24 (__TEXT,__text) non-external __trace_handle
00007ffb1c751bbf (__TEXT,__text) non-external __trace_handle_p
00007ffb1c751b84 (__TEXT,__text) non-external __trace_handletype
00007ffb1c7523ec (__TEXT,__text) non-external __trace_inouttype
00007ffb1c751c96 (__TEXT,__text) non-external __trace_integer
00007ffb1c751dae (__TEXT,__text) non-external __trace_integer_p
00007ffb1c751e87 (__TEXT,__text) non-external __trace_len
00007ffb1c751ec1 (__TEXT,__text) non-external __trace_len_p
00007ffb1c751ccf (__TEXT,__text) non-external __trace_pointer
00007ffb1c7519f5 (__TEXT,__text) non-external __trace_print_function
00007ffb1c74d079 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb1c74ce7f (__TEXT,__text) non-external __trace_setpos_irow
00007ffb1c74ced6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffb1c74ce9b (__TEXT,__text) non-external __trace_setpos_oper
00007ffb1c751c5d (__TEXT,__text) non-external __trace_smallint
00007ffb1c751d07 (__TEXT,__text) non-external __trace_smallint_p
00007ffb1c74cb62 (__TEXT,__text) non-external __trace_spcols_null
00007ffb1c74cb27 (__TEXT,__text) non-external __trace_spcols_scope
00007ffb1c74cae6 (__TEXT,__text) non-external __trace_spcols_type
00007ffb1c752808 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb1c752427 (__TEXT,__text) non-external __trace_sql_type
00007ffb1c7525fc (__TEXT,__text) non-external __trace_sql_type_p
00007ffb1c754d4b (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb1c754d0c (__TEXT,__text) non-external __trace_stats_unique
00007ffb1c752e84 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb1c753634 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb1c751f67 (__TEXT,__text) non-external __trace_string
00007ffb1c752010 (__TEXT,__text) non-external __trace_string_w
00007ffb1c751e53 (__TEXT,__text) non-external __trace_stringlen
00007ffb408e93c0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb1c75431d (__TEXT,__text) non-external __trace_tran_completion
00007ffb1c7545b8 (__TEXT,__text) non-external __trace_typeinfo
00007ffb1c751cb3 (__TEXT,__text) non-external __trace_uinteger
00007ffb1c751e01 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb1c751ea4 (__TEXT,__text) non-external __trace_ulen
00007ffb1c751f14 (__TEXT,__text) non-external __trace_ulen_p
00007ffb1c751c7a (__TEXT,__text) non-external __trace_usmallint
00007ffb1c751d5b (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb42aa2882 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1c755e58 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb1c756367 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb1c755df3 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb1c7560a1 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb1c755ec1 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb1c756555 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb1c755f66 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb1c756008 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb1c756056 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb1c757a67 (__TEXT,__text) non-external _do_create_dsns
00007ffb42aa2840 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb42aa2820 (__DATA,__common) non-external _ierror
00007ffb1c757b8c (__TEXT,__text) non-external _install_from_ini
00007ffb1c758057 (__TEXT,__text) non-external _install_from_string
00007ffb42aa2280 (__DATA,__data) external _iodbc_version
00007ffb42aa2760 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42aa27a8 (__DATA,__data) non-external _numerrors
00007ffb42aa2290 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb42aa27b0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1c7581fe (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb408e7520 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb42aa27f0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb1c74e96e (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb1c752b0d (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb1c74f43c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb1c750cd7 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb1c74f3a2 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb1c74fe1e (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb1c752993 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb1c752a50 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb1c74ca88 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb1c753b7b (__TEXT,__text) non-external _trace_SQLCancel
00007ffb1c750d5a (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb1c74f820 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb1c74fbf8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb1c74fc90 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb1c74fd3d (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb1c75375a (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb1c753846 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb1c74ea2f (__TEXT,__text) non-external _trace_SQLColumns
00007ffb1c74eb1b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb1c7531ac (__TEXT,__text) non-external _trace_SQLConnect
00007ffb1c753267 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb1c74cf73 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb1c750de8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb1c750eca (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb1c74c0d6 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb1c74c1c0 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb1c7536b7 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb1c750d30 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb1c7547f4 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb1c7549de (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb1c750080 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb1c750162 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb1c74e92b (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb1c74c4dc (__TEXT,__text) non-external _trace_SQLError
00007ffb1c74c5c6 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb1c750b27 (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb1c750b84 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb1c74cabc (__TEXT,__text) non-external _trace_SQLExecute
00007ffb1c74cfeb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb1c751060 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb1c752b57 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb1c753322 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb1c75346c (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb1c75360a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb1c74ce55 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb1c74e8fc (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb1c755040 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb1c74bf58 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb1c74bfe0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb1c752d64 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb1c752dac (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb1c74f4a3 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb1c74f527 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb1c754248 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb1c74f274 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb1c74f30b (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb1c74c2aa (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb1c74c3c3 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb1c753a48 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb1c753aee (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb1c74c780 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb1c74c85f (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb1c74c9ac (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb1c750ad4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb1c74d10c (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb1c74e64c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb1c7530b8 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb1c753140 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb1c75366f (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb1c75478c (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb1c7547c0 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb1c7542f3 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb1c74ede7 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb1c74eeb3 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb1c74ec07 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb1c7535b6 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb1c74fdea (__TEXT,__text) non-external _trace_SQLParamData
00007ffb1c74e9c7 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb1c755074 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb1c7550d1 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb1c750244 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb1c75030a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb1c74e6dc (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb1c74e7c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb1c74fef4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb1c74ffba (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb1c753ba5 (__TEXT,__text) non-external _trace_SQLPutData
00007ffb1c74ca34 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb1c754c68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb1c754cba (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb1c752df4 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb1c752e3c (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb1c750fa8 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb1c751004 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb1c74c6b2 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb1c74c719 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb1c7503d0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb1c750be1 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb1c74cf11 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb1c74d0b8 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb1c750c33 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb1c750c85 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb1c74e8b4 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb1c74cba1 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb1c74ccfb (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb1c754d8a (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb1c754ec9 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb1c74ec5b (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb1c74ed21 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb1c7543dd (__TEXT,__text) non-external _trace_SQLTables
00007ffb1c7544c9 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb1c75435d (__TEXT,__text) non-external _trace_SQLTransact
00007ffb42aa27e0 (__DATA,__bss) non-external _trace_appname
00007ffb1c751581 (__TEXT,__text) non-external _trace_emit
00007ffb1c75187a (__TEXT,__text) non-external _trace_emit_binary
00007ffb1c751672 (__TEXT,__text) non-external _trace_emit_string
00007ffb1c75164c (__TEXT,__text) non-external _trace_emitc
00007ffb42aa27e8 (__DATA,__bss) non-external _trace_fname
00007ffb42aa2800 (__DATA,__bss) non-external _trace_fp
00007ffb42aa2808 (__DATA,__bss) non-external _trace_fp_close
00007ffb1c7510bc (__TEXT,__text) non-external _trace_get_filename
00007ffb1c75108c (__TEXT,__text) non-external _trace_set_appname
00007ffb1c7510cd (__TEXT,__text) non-external _trace_set_filename
00007ffb1c75134b (__TEXT,__text) non-external _trace_start
00007ffb1c7514e1 (__TEXT,__text) non-external _trace_stop
00007ffb1c7512f8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb1c756501 (__TEXT,__text) non-external _utf8_len
00007ffb1c7565d3 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb42aa2880 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
