000000018e8f6070 (__TEXT,__text) non-external _Annihilate
000000018e902380 (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018e90d57c (__TEXT,__text) non-external (was a private external) _get_real_time
000000018e902364 (__TEXT,__text) non-external (was a private external) _get_slice_height
000000018e902348 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
000000018e90776c (__TEXT,__text) non-external _header_fetch_from_payload
000000018e930a6c (__TEXT,__text) non-external _init_block
000000018e90744c (__TEXT,__text) non-external (was a private external) _is_format_invalid
000000018e907360 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000018e907de0 (__TEXT,__text) non-external _is_image_valid
000000018e8fb904 (__TEXT,__text) non-external (was a private external) _join_thread
000000018e959a50 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018e93b1f0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018e93b250 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e873d5d0 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018e93ba68 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018e93b130 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018e93b190 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018e999218 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018e95b778 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e873d7b8 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018e93b848 (__TEXT,__const) non-external _kCmdHistoSeed
000000018e959b92 (__TEXT,__const) non-external _kCmdLut
000000018e98d0d4 (__TEXT,__const) non-external _kCodeLengthBits
000000018e959b60 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018e98d0c0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018e959b72 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018e959b82 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018e95b638 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018e95b5f8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018e95bc7c (__TEXT,__const) non-external _kDistanceCacheIndex
000000018e95bcbc (__TEXT,__const) non-external _kDistanceCacheOffset
000000018e95b544 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018e95b530 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018e95b5a8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018e95b594 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018e98dc20 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018e98d11c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018e98acc0 (__TEXT,__const) non-external _kPrefixSuffix
000000018e98ad9a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018e98f4e0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018e98f220 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018e95bd5c (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018e9a9a26 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018e999a26 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018e96bd5c (__TEXT,__const) non-external _kStaticDictionaryWords
000000018e98faa0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018e98fa60 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018e98adfe (__TEXT,__const) non-external _kTransformsData
000000018e98bac0 (__TEXT,__const) non-external _kZeroRepsBits
000000018e98afc0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018e8e455c (__TEXT,__text) non-external _longest_match
000000018e9948d4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018e8fb5c8 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018e904d40 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018e904d34 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018e8e9710 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018e8e9300 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018e8e911c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018e8f6140 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018e8ea4c8 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018e8e5e08 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018e916a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018e916a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018e916a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018e916a08 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018e916340 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018e9163f8 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018e9054c8 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018e9053c4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018e900f88 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018e912f08 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018e911bec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018e912f78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018e9102dc (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018e912f3c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018e911ad8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018e912f80 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018e9101a8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018e90cea0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018e912e7c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018e903400 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018e912eb0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018e912eec (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018e9033e0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018e995920 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018e9101fc (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018e995120 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018e910424 (__TEXT,__text) non-external _lzbitmap_process_block
000000018e912f9c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018e996920 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018e994920 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018e9347d4 (__TEXT,__text) non-external _lzfseBackendMatch
000000018e8e6390 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018e8e98cc (__TEXT,__text) non-external _lzfseDecodeV1
000000018e9344dc (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018e934834 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018e93433c (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018e934394 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018e934bd0 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018e934364 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018e93445c (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018e9348e0 (__TEXT,__text) non-external _lzfsePushMatch
000000018e8e60cc (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018e8e5ff4 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018e90ce94 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018e927b6c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018e927ad4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018e927ab4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018e8e7700 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018e9063bc (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018e906188 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018e9063b4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018e904240 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018e900ce0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018e906f90 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001f07037c0 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018e8e7388 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018e91a938 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018e91a8f8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018e95b738 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018e95b758 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018e8e5e08 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018e9047f0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018e9047ec (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018e9047c0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018e90475c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018e8e5fc8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018e8e60a8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
000000018e93903c (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
000000018e90d614 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000018e937540 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018e911a2c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018e8e77a4 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018e911a88 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018e8e77a4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
000000018e95bb20 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018e8e5f90 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018e936f10 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018e999a20 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018e8e5e38 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018e8e5edc (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018e936b18 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000018e936e48 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
000000018e8e6e74 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001f0702fc0 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018e912140 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018e9120e4 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018e8f6cac (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018e8f6c10 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018e8f6c04 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018e8faf38 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018e8fae64 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018e8fae44 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018e8e77c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018e8e77a4 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018e912b70 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018e912bb8 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018e912b5c (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018e8e5e08 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018e911a28 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018e911a24 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018e9119f8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018e9119bc (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018e91196c (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018e911998 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018e919fd4 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018e919fc8 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018e92f054 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018e8f0b24 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018e8f0440 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018e8f0728 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018e8f0838 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018e90d4e0 (__TEXT,__text) non-external (was a private external) _parse_size
000000018e98fd64 (__TEXT,__const) non-external _position_slot_base_position
000000018e98fcec (__TEXT,__const) non-external _position_slot_extra_bits
000000018e8e5154 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018e930a04 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018e8e8a88 (__TEXT,__text) non-external _readHuffmanTable
000000018e90d410 (__TEXT,__text) non-external (was a private external) _read_expected
000000018e8e28f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018e8e5238 (__TEXT,__text) non-external _scan_tree
000000018e8e533c (__TEXT,__text) non-external _send_tree
000000018e912e4c (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000018e912dd4 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000018e912de4 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000018e912da8 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000018e916a48 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000018e916c24 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
000000018e90848c (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
000000018e908bb8 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
000000018e901d70 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
000000018e901f74 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
000000018e9195e8 (__TEXT,__text) non-external _staticHuffmanTable
00000001ec265760 (__DATA,__data) non-external _static_bl_desc
00000001ec265740 (__DATA,__data) non-external _static_d_desc
000000018e9980a8 (__TEXT,__const) non-external _static_dtree
00000001ec265720 (__DATA,__data) non-external _static_l_desc
000000018e997c28 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001ec265700 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018e8f6938 (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018e8f6b40 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018e8f6a68 (__TEXT,__text) non-external _thread_pool_entry
000000018e8f67a4 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018e8f689c (__TEXT,__text) non-external (was a private external) _thread_pool_sync
000000018e92eeb0 (__TEXT,__text) external _touchpadCodecCreate
000000018e8f6ef0 (__TEXT,__text) external _touchpadCodecDecodeImage
000000018e92efe0 (__TEXT,__text) external _touchpadCodecDestroy
000000018e936f28 (__TEXT,__text) external _touchpadCodecEncodeImage
000000018e92e650 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
000000018e90d478 (__TEXT,__text) non-external (was a private external) _write_expected
000000018e9991d2 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000018e9991cc (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000018e936ea0 (__TEXT,__text) non-external _xz_read_multi_byte
000000018e936e50 (__TEXT,__text) non-external _xz_simple_crc32
000000018e927fd4 (__TEXT,__text) external _yzip_codec_create
000000018e928010 (__TEXT,__text) external _yzip_codec_destroy
000000018e928054 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018e9075bc (__TEXT,__text) external _yzip_image_create
000000018e907724 (__TEXT,__text) external _yzip_image_create_with_payload
000000018e907fa8 (__TEXT,__text) external _yzip_image_decode
000000018e9078c0 (__TEXT,__text) external _yzip_image_destroy
000000018e9078c4 (__TEXT,__text) external _yzip_image_encode
000000018e9081bc (__TEXT,__text) external _yzip_image_get_descriptor
000000018e908274 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018e908228 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018e9082fc (__TEXT,__text) external _yzip_image_set_data
000000018e908480 (__TEXT,__text) external _yzip_image_set_identifier
000000018e9083b8 (__TEXT,__text) external _yzip_image_set_plane_data
000000018e90291c (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018e90280c (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018e9025e8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018e90335c (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018e902dc8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018e903284 (__TEXT,__text) non-external _yzip_jobs_process
000000018e902578 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018e930334 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018e92f424 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
000000018e92f338 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
000000018e92f490 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018e92fc80 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018e8ea4b0 (__TEXT,__text) non-external (was a private external) _zError
00000001e873d580 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018e8e2c04 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018e8e5d84 (__TEXT,__text) non-external (was a private external) _zcfree
000000018e8e9a7c (__TEXT,__text) external _zero_coder_decode
000000018e8e9b80 (__TEXT,__text) external _zero_coder_encode
000000018e8e9cc4 (__TEXT,__text) non-external _zero_coder_init_luts
00000001ec265900 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001ec265a00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001ec266200 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001ec265800 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018e8ea4a8 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018e8e7d60 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018e8e837c (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018e98fb9c (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018e98fb60 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018e8ea49c (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018e919480 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018e919474 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018e8f7458 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018e8f744c (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018e912da4 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018e912d78 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018e8e5e08 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018e919fa0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018e8e77a4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018e919fac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018e919f98 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018e8e2840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018e8e303c (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018e936af0 (__TEXT,__text) non-external vec_table
