0000000246118a98 (__TEXT,__text) non-external _Done_iODBC
0000000253c6c6a8 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000253c6c358 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000253c6c378 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000253c6c428 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000253c6c728 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000253c6c6d8 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000253c6c090 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
0000000246130484 (__TEXT,__text) non-external __trace_bufferlen
000000024612fb44 (__TEXT,__text) non-external __trace_c_type
000000024612c798 (__TEXT,__text) non-external __trace_colattr2_type
000000024612cb50 (__TEXT,__text) non-external __trace_colattr3_data
000000024612c7f8 (__TEXT,__text) non-external __trace_colattr3_type
000000024612881c (__TEXT,__text) non-external __trace_connattr_type
00000002461307e0 (__TEXT,__text) non-external __trace_connopt_type
0000000246132a58 (__TEXT,__text) non-external __trace_connstr
0000000246132d80 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000246132cb8 (__TEXT,__text) non-external __trace_connstr_w
0000000246131c58 (__TEXT,__text) non-external __trace_data
0000000246128b18 (__TEXT,__text) non-external __trace_desc_null
000000024612c05c (__TEXT,__text) non-external __trace_descfield_type
00000002461318d0 (__TEXT,__text) non-external __trace_diag_type
000000024612e43c (__TEXT,__text) non-external __trace_direction
0000000246132b58 (__TEXT,__text) non-external __trace_drvcn_completion
0000000246129534 (__TEXT,__text) non-external __trace_envattr_type
0000000246129de8 (__TEXT,__text) non-external __trace_fetchtype
0000000246133354 (__TEXT,__text) non-external __trace_freestmt_option
000000024612da70 (__TEXT,__text) non-external __trace_func_name
000000024612d9a4 (__TEXT,__text) non-external __trace_func_result
000000024612a07c (__TEXT,__text) non-external __trace_getinfo
000000024612f45c (__TEXT,__text) non-external __trace_handle
000000024612f3e8 (__TEXT,__text) non-external __trace_handle_p
000000024612f388 (__TEXT,__text) non-external __trace_handletype
000000024612febc (__TEXT,__text) non-external __trace_inouttype
000000024612f520 (__TEXT,__text) non-external __trace_integer
000000024612f6c0 (__TEXT,__text) non-external __trace_integer_p
000000024612f7f4 (__TEXT,__text) non-external __trace_len
000000024612f85c (__TEXT,__text) non-external __trace_len_p
000000024612f590 (__TEXT,__text) non-external __trace_pointer
000000024612f194 (__TEXT,__text) non-external __trace_print_function
0000000246129ef4 (__TEXT,__text) non-external __trace_scrollopt_type
0000000246129c08 (__TEXT,__text) non-external __trace_setpos_irow
0000000246129ca0 (__TEXT,__text) non-external __trace_setpos_lock
0000000246129c40 (__TEXT,__text) non-external __trace_setpos_oper
000000024612f4b0 (__TEXT,__text) non-external __trace_smallint
000000024612f5d8 (__TEXT,__text) non-external __trace_smallint_p
0000000246129834 (__TEXT,__text) non-external __trace_spcols_null
00000002461297d4 (__TEXT,__text) non-external __trace_spcols_scope
0000000246129770 (__TEXT,__text) non-external __trace_spcols_type
00000002461303a0 (__TEXT,__text) non-external __trace_sql_subtype
000000024612ff1c (__TEXT,__text) non-external __trace_sql_type
0000000246130140 (__TEXT,__text) non-external __trace_sql_type_p
0000000246133010 (__TEXT,__text) non-external __trace_stats_accuracy
0000000246132fac (__TEXT,__text) non-external __trace_stats_unique
0000000246130bac (__TEXT,__text) non-external __trace_stmtattr_type
0000000246131510 (__TEXT,__text) non-external __trace_stmtopt_type
000000024612f944 (__TEXT,__text) non-external __trace_string
000000024612fa28 (__TEXT,__text) non-external __trace_string_w
000000024612f7a8 (__TEXT,__text) non-external __trace_stringlen
0000000253c6d270 (__DATA_CONST,__const) non-external __trace_sym_handletype
0000000246132348 (__TEXT,__text) non-external __trace_tran_completion
000000024613268c (__TEXT,__text) non-external __trace_typeinfo
000000024612f558 (__TEXT,__text) non-external __trace_uinteger
000000024612f734 (__TEXT,__text) non-external __trace_uinteger_p
000000024612f828 (__TEXT,__text) non-external __trace_ulen
000000024612f8d0 (__TEXT,__text) non-external __trace_ulen_p
000000024612f4e8 (__TEXT,__text) non-external __trace_usmallint
000000024612f64c (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
0000000256cfd4e2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000246134388 (__TEXT,__text) non-external _dm_SQL_A2W
00000002461348c4 (__TEXT,__text) non-external _dm_SQL_U8toW
000000024613430c (__TEXT,__text) non-external _dm_SQL_W2A
000000024613461c (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000246134404 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000246134ae0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00000002461344b4 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
0000000246134564 (__TEXT,__text) non-external _dm_strcpy_A2W
00000002461345c0 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000246136044 (__TEXT,__text) non-external _do_create_dsns
0000000256cfd4a0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
0000000256cfd480 (__DATA,__common) non-external _ierror
0000000246136198 (__TEXT,__text) non-external _install_from_ini
0000000246136664 (__TEXT,__text) non-external _install_from_string
0000000256cfcee8 (__DATA,__data) external _iodbc_version
0000000256cfd3c0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000256cfd408 (__DATA,__data) non-external _numerrors
0000000256cfcef0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000256cfd410 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
0000000246136810 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
0000000253c6b500 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
0000000256cfd450 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000024612b90c (__TEXT,__text) non-external _trace_SQLAllocConnect
0000000246130714 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000024612c5c8 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000024612e338 (__TEXT,__text) non-external _trace_SQLAllocStmt
000000024612c518 (__TEXT,__text) non-external _trace_SQLBindCol
000000024612d1fc (__TEXT,__text) non-external _trace_SQLBindParameter
0000000246130564 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000024613063c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000002461296d4 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000246131ba8 (__TEXT,__text) non-external _trace_SQLCancel
000000024612e3f4 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000024612ca90 (__TEXT,__text) non-external _trace_SQLColAttribute
000000024612cf50 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000024612d010 (__TEXT,__text) non-external _trace_SQLColAttributes
000000024612d0dc (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000246131698 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00000002461317b4 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000024612ba04 (__TEXT,__text) non-external _trace_SQLColumns
000000024612bb20 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000246130f80 (__TEXT,__text) non-external _trace_SQLConnect
000000024613106c (__TEXT,__text) non-external _trace_SQLConnectW
0000000246129d90 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000024612e4c8 (__TEXT,__text) non-external _trace_SQLDataSources
000000024612e5c8 (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000246128bac (__TEXT,__text) non-external _trace_SQLDescribeCol
0000000246128cb8 (__TEXT,__text) non-external _trace_SQLDescribeColW
00000002461315d8 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000024612e3ac (__TEXT,__text) non-external _trace_SQLDisconnect
0000000246132958 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000246132bb8 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000024612d4cc (__TEXT,__text) non-external _trace_SQLDrivers
000000024612d5cc (__TEXT,__text) non-external _trace_SQLDriversW
000000024612b8a4 (__TEXT,__text) non-external _trace_SQLEndTran
0000000246129034 (__TEXT,__text) non-external _trace_SQLError
0000000246129134 (__TEXT,__text) non-external _trace_SQLErrorW
000000024612e0d4 (__TEXT,__text) non-external _trace_SQLExecDirect
000000024612e158 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000246129728 (__TEXT,__text) non-external _trace_SQLExecute
0000000246129e4c (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000024612e7d0 (__TEXT,__text) non-external _trace_SQLFetch
0000000246130778 (__TEXT,__text) non-external _trace_SQLFetchScroll
0000000246131158 (__TEXT,__text) non-external _trace_SQLForeignKeys
00000002461312d8 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00000002461314c8 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000246129bc0 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000024612b850 (__TEXT,__text) non-external _trace_SQLFreeHandle
00000002461333ac (__TEXT,__text) non-external _trace_SQLFreeStmt
00000002461289d0 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000246128a74 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
0000000246130a0c (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000246130a74 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000024612c650 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000024612c6f4 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000024613223c (__TEXT,__text) non-external _trace_SQLGetData
000000024612c3b8 (__TEXT,__text) non-external _trace_SQLGetDescField
000000024612c468 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000246128dc4 (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000246128efc (__TEXT,__text) non-external _trace_SQLGetDescRecW
0000000246131a34 (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000246131af8 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000246129344 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000024612943c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000002461295c0 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000024612e05c (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000246129fcc (__TEXT,__text) non-external _trace_SQLGetInfo
000000024612b500 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000246130e4c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000246130ef0 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000246131570 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00000002461328b0 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
0000000246132904 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000246132300 (__TEXT,__text) non-external _trace_SQLMoreResults
000000024612be84 (__TEXT,__text) non-external _trace_SQLNativeSql
000000024612bf70 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000024612bc3c (__TEXT,__text) non-external _trace_SQLNumParams
0000000246131458 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000024612d1a8 (__TEXT,__text) non-external _trace_SQLParamData
000000024612b980 (__TEXT,__text) non-external _trace_SQLParamOptions
0000000246133400 (__TEXT,__text) non-external _trace_SQLPrepare
0000000246133484 (__TEXT,__text) non-external _trace_SQLPrepareW
000000024612d6cc (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000024612d7b8 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000024612b5b0 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000024612b6cc (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000024612d2f4 (__TEXT,__text) non-external _trace_SQLProcedures
000000024612d3e0 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000246131bf0 (__TEXT,__text) non-external _trace_SQLPutData
0000000246129664 (__TEXT,__text) non-external _trace_SQLRowCount
0000000246132ec4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000246132f38 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000246130adc (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000246130b44 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000024612e6c8 (__TEXT,__text) non-external _trace_SQLSetCursorName
000000024612e74c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000246129234 (__TEXT,__text) non-external _trace_SQLSetDescField
00000002461292bc (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000024612d8a4 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000024612e1dc (__TEXT,__text) non-external _trace_SQLSetEnvAttr
0000000246129d00 (__TEXT,__text) non-external _trace_SQLSetPos
0000000246129f58 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000024612e250 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000024612e2c4 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000024612b7e8 (__TEXT,__text) non-external _trace_SQLSetStmtOption
0000000246129898 (__TEXT,__text) non-external _trace_SQLSpecialColumns
0000000246129a2c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000246133074 (__TEXT,__text) non-external _trace_SQLStatistics
00000002461331e4 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000024612bcac (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000024612bd98 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
0000000246132454 (__TEXT,__text) non-external _trace_SQLTables
0000000246132570 (__TEXT,__text) non-external _trace_SQLTablesW
00000002461323ac (__TEXT,__text) non-external _trace_SQLTransact
0000000256cfd440 (__DATA,__bss) non-external _trace_appname
000000024612ed78 (__TEXT,__text) non-external _trace_emit
000000024612f000 (__TEXT,__text) non-external _trace_emit_binary
000000024612ede0 (__TEXT,__text) non-external _trace_emit_string
000000024612edc4 (__TEXT,__text) non-external _trace_emitc
0000000256cfd448 (__DATA,__bss) non-external _trace_fname
0000000256cfd460 (__DATA,__bss) non-external _trace_fp
0000000256cfd468 (__DATA,__bss) non-external _trace_fp_close
000000024612e854 (__TEXT,__text) non-external _trace_get_filename
000000024612e818 (__TEXT,__text) non-external _trace_set_appname
000000024612e860 (__TEXT,__text) non-external _trace_set_filename
000000024612eb20 (__TEXT,__text) non-external _trace_start
000000024612ecc4 (__TEXT,__text) non-external _trace_stop
000000024612eaa8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000246134a64 (__TEXT,__text) non-external _utf8_len
0000000246134b84 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000256cfd4e0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
