                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018ca5990c (__TEXT,__text) external __cg_jcopy_block_row
000000018ca64974 (__TEXT,__text) non-external _use_merged_upsample
000000018ca55e8c (__TEXT,__text) non-external _write_backing_store
000000018ca70b90 (__TEXT,__text) non-external _write_file_header
000000018ca71474 (__TEXT,__text) non-external _write_file_trailer
000000018ca70da8 (__TEXT,__text) non-external _write_frame_header
000000018ca7161c (__TEXT,__text) non-external _write_marker_byte
000000018ca71588 (__TEXT,__text) non-external _write_marker_header
000000018ca71104 (__TEXT,__text) non-external _write_scan_header
000000018ca714b4 (__TEXT,__text) non-external _write_tables_only
000000018ca589f8 (__TEXT,__text) non-external _ycc_rgb_convert
000000018ca58c9c (__TEXT,__text) non-external _ycck_cmyk_convert
