00007ffc4140f658 (__DATA,__bss) non-external _A
00007ffc0fc56b7d (__TEXT,__text) external _cmark_strbuf_drop
00007ffc0fc56828 (__TEXT,__text) external _cmark_strbuf_free
00007ffc0fc567be (__TEXT,__text) external _cmark_strbuf_grow
00007ffc0fc62040 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffc0fc62061 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffc0fc56793 (__TEXT,__text) external _cmark_strbuf_init
00007ffc0fc5681f (__TEXT,__text) external _cmark_strbuf_len
00007ffc0fc56c62 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffc0fc5695b (__TEXT,__text) external _cmark_strbuf_put
00007ffc0fc56922 (__TEXT,__text) external _cmark_strbuf_putc
00007ffc0fc569af (__TEXT,__text) external _cmark_strbuf_puts
00007ffc0fc56bc5 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffc0fc56878 (__TEXT,__text) external _cmark_strbuf_set
00007ffc0fc568f2 (__TEXT,__text) external _cmark_strbuf_sets
00007ffc0fc56add (__TEXT,__text) external _cmark_strbuf_strchr
00007ffc0fc56b1d (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffc0fc56a28 (__TEXT,__text) external _cmark_strbuf_swap
00007ffc0fc56c0d (__TEXT,__text) external _cmark_strbuf_trim
00007ffc0fc56b5e (__TEXT,__text) external _cmark_strbuf_truncate
00007ffc0fc56cf9 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffc0fc4974e (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffc0fc61f4f (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffc0fc496b4 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffc0fc49849 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffc0fc496f9 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffc0fc497cb (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffc0fc4986d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffc0fc497df (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffc0fc497d5 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffc0fc49783 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffc0fc497c1 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffc0fc49821 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffc0fc49814 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffc0fc497ad (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffc0fc497f3 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffc0fc49807 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffc0fc4979a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffc0fc497a3 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffc0fc49853 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffc0fc49860 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffc0fc49790 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffc0fc497e9 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffc0fc4982e (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffc0fc4983b (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffc0fc497b7 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffc0fc497fd (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffc0fc5645c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffc0fc3e5ed (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffc0fc3e1b0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffc0fc3e4e8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffc0fc61e74 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffc0fc460da (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffc0fc46080 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffc0fc3e3aa (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffc0fc47946 (__TEXT,__text) external _cmark_version
00007ffc0fc47951 (__TEXT,__text) external _cmark_version_string
00007ffc0fc48ee6 (__TEXT,__text) non-external _commonmark_render
00007ffc0fc4b8ec (__TEXT,__text) non-external _commonmark_render
00007ffc0fc606e2 (__TEXT,__text) non-external _commonmark_render
00007ffc0fc62907 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffc0fc606cd (__TEXT,__text) non-external _contains_inlines
00007ffc0fc564ae (__TEXT,__text) non-external _core_extensions_registration
00007ffc0fc4987a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffc0fc4b7c9 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffc0fc5fb94 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffc0fc61d64 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffc0fc48d28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffc4140f4c8 (__DATA,__bss) non-external _enable_safety_checks
00007ffc0fc62bb0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffc0fc61314 (__TEXT,__text) non-external _escape
00007ffc4140f440 (__DATA,__bss) non-external _extensions_lock
00007ffc4140f2c0 (__DATA,__data) non-external _extensions_once
00007ffc0fc61d92 (__TEXT,__text) non-external _filter
00007ffc0fc58f59 (__TEXT,__text) non-external _finalize
00007ffc0fc621bf (__TEXT,__text) non-external _finalize.cold.1
00007ffc0fc621e2 (__TEXT,__text) non-external _finalize.cold.2
00007ffc0fc56420 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffc0fc598eb (__TEXT,__text) non-external _free_node_as
00007ffc0fc61969 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffc0fc619d0 (__TEXT,__text) non-external _get_cell_alignment
00007ffc0fc4cb5b (__TEXT,__text) non-external _get_link_type
00007ffc0fc48e21 (__TEXT,__text) non-external _get_type_string
00007ffc0fc4b8ab (__TEXT,__text) non-external _get_type_string
00007ffc0fc60605 (__TEXT,__text) non-external _get_type_string
00007ffc0fc5f0c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffc0fc657a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffc0fc47931 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffc0fc47810 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffc0fc5f1de (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffc0fc5f450 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffc0fc5f57a (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffc0fc48f56 (__TEXT,__text) non-external _html_render
00007ffc0fc4b991 (__TEXT,__text) non-external _html_render
00007ffc0fc60cd2 (__TEXT,__text) non-external _html_render
00007ffc0fc62970 (__TEXT,__text) non-external _html_render.cold.1
00007ffc0fc61a14 (__TEXT,__text) non-external _html_table_add_align
00007ffc0fc61d1b (__TEXT,__text) non-external _init_arena
00007ffc0fc61d08 (__TEXT,__text) non-external _initialize_arena
00007ffc0fc4a93c (__TEXT,__text) non-external _initialize_extensions
00007ffc0fc5accc (__TEXT,__text) non-external _initialize_nextflag
00007ffc0fc5acb9 (__TEXT,__text) non-external _initialize_safety
00007ffc0fc4bb13 (__TEXT,__text) non-external _insert
00007ffc0fc4a6b3 (__TEXT,__text) non-external _is_valid_hostchar
00007ffc0fc4b90d (__TEXT,__text) non-external _latex_render
00007ffc0fc60908 (__TEXT,__text) non-external _latex_render
00007ffc0fc6292a (__TEXT,__text) non-external _latex_render.cold.1
00007ffc0fc5ddb9 (__TEXT,__text) non-external _link_label
00007ffc0fc62670 (__TEXT,__text) non-external _link_label.cold.1
00007ffc0fc62693 (__TEXT,__text) non-external _link_label.cold.2
00007ffc0fc626b6 (__TEXT,__text) non-external _link_label.cold.3
00007ffc0fc626d9 (__TEXT,__text) non-external _link_label.cold.4
00007ffc0fc626fc (__TEXT,__text) non-external _link_label.cold.5
00007ffc0fc5e888 (__TEXT,__text) non-external _make_autolink
00007ffc0fc628c1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffc0fc4b93c (__TEXT,__text) non-external _man_render
00007ffc0fc60b65 (__TEXT,__text) non-external _man_render
00007ffc0fc6294d (__TEXT,__text) non-external _man_render.cold.1
00007ffc0fc5e060 (__TEXT,__text) non-external _manual_scan_link_url
00007ffc0fc498e8 (__TEXT,__text) non-external _match
00007ffc0fc4b9d4 (__TEXT,__text) non-external _match
00007ffc0fc48dbd (__TEXT,__text) non-external _matches
00007ffc0fc5fcb6 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc4140f4d0 (__DATA,__bss) non-external _nextflag_lock
00007ffc4140f2f0 (__DATA,__data) non-external _nextflag_once
00007ffc0fc56513 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffc0fc6201f (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffc0fc61275 (__TEXT,__text) non-external _opaque_alloc
00007ffc0fc612c1 (__TEXT,__text) non-external _opaque_free
00007ffc0fc48e2e (__TEXT,__text) non-external _open_tasklist_item
00007ffc0fc4689f (__TEXT,__text) non-external _outc
00007ffc0fc4c126 (__TEXT,__text) non-external _outc
00007ffc0fc5f60f (__TEXT,__text) non-external _outc
00007ffc0fc4b9b3 (__TEXT,__text) non-external _plaintext_render
00007ffc0fc49d45 (__TEXT,__text) non-external _postprocess
00007ffc0fc61f70 (__TEXT,__text) non-external _postprocess.cold.1
00007ffc0fc61f93 (__TEXT,__text) non-external _postprocess.cold.2
00007ffc0fc5d4cc (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffc0fc5e7a4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc0fc56769 (__TEXT,__text) non-external _refcmp
00007ffc0fc56eea (__TEXT,__text) non-external _reference_free
00007ffc0fc566e4 (__TEXT,__text) non-external _refsearch
00007ffc0fc5649d (__TEXT,__text) non-external _register_plugins
00007ffc4140f2d0 (__DATA,__data) non-external _registered_once
00007ffc0fc62bc0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffc0fc5da73 (__TEXT,__text) non-external _remove_delimiter
00007ffc0fc62558 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffc0fc5930c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffc0fc61519 (__TEXT,__text) non-external _row_from_string
00007ffc4140f488 (__DATA,__bss) non-external _safety_lock
00007ffc4140f2e0 (__DATA,__data) non-external _safety_once
00007ffc41406d40 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffc0fc5946f (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffc0fc5df82 (__TEXT,__text) non-external _spnl
00007ffc0fc6271d (__TEXT,__text) non-external _spnl.cold.1
00007ffc0fc62740 (__TEXT,__text) non-external _spnl.cold.2
00007ffc0fc62763 (__TEXT,__text) non-external _spnl.cold.3
00007ffc0fc62786 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffc4140f480 (__DATA,__bss) non-external _syntax_extensions
00007ffc0fc5fd45 (__TEXT,__text) non-external _try_opening_table_block
00007ffc0fc618c5 (__TEXT,__text) non-external _unescape_pipes
00007ffc0fc62ab0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffc0fc4a6ec (__TEXT,__text) non-external _validate_protocol
00007ffc0fc4795e (__TEXT,__text) non-external _xcalloc
00007ffc0fc61ebb (__TEXT,__text) non-external _xcalloc.cold.1
00007ffc0fc47990 (__TEXT,__text) non-external _xfree
00007ffc0fc490ad (__TEXT,__text) non-external _xml_attr
00007ffc0fc60a9f (__TEXT,__text) non-external _xml_attr
00007ffc0fc47977 (__TEXT,__text) non-external _xrealloc
00007ffc0fc61ee0 (__TEXT,__text) non-external _xrealloc.cold.1
