000000020d171b4c (__TEXT,__text) non-external _Done_iODBC
000000021858be18 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000021858c230 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000021858bee0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000021858bf00 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000021858bfb0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000021858c2b0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000021858c260 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000021858bc18 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020d1894b0 (__TEXT,__text) non-external __trace_bufferlen
000000020d188b70 (__TEXT,__text) non-external __trace_c_type
000000020d1857cc (__TEXT,__text) non-external __trace_colattr2_type
000000020d185b84 (__TEXT,__text) non-external __trace_colattr3_data
000000020d18582c (__TEXT,__text) non-external __trace_colattr3_type
000000020d181854 (__TEXT,__text) non-external __trace_connattr_type
000000020d18980c (__TEXT,__text) non-external __trace_connopt_type
000000020d18ba84 (__TEXT,__text) non-external __trace_connstr
000000020d18bdac (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020d18bce4 (__TEXT,__text) non-external __trace_connstr_w
000000020d18ac84 (__TEXT,__text) non-external __trace_data
000000020d181b50 (__TEXT,__text) non-external __trace_desc_null
000000020d185090 (__TEXT,__text) non-external __trace_descfield_type
000000020d18a8fc (__TEXT,__text) non-external __trace_diag_type
000000020d187470 (__TEXT,__text) non-external __trace_direction
000000020d18bb84 (__TEXT,__text) non-external __trace_drvcn_completion
000000020d18256c (__TEXT,__text) non-external __trace_envattr_type
000000020d182e20 (__TEXT,__text) non-external __trace_fetchtype
000000020d18c380 (__TEXT,__text) non-external __trace_freestmt_option
000000020d186aa4 (__TEXT,__text) non-external __trace_func_name
000000020d1869d8 (__TEXT,__text) non-external __trace_func_result
000000020d1830b4 (__TEXT,__text) non-external __trace_getinfo
000000020d188488 (__TEXT,__text) non-external __trace_handle
000000020d188414 (__TEXT,__text) non-external __trace_handle_p
000000020d1883b4 (__TEXT,__text) non-external __trace_handletype
000000020d188ee8 (__TEXT,__text) non-external __trace_inouttype
000000020d18854c (__TEXT,__text) non-external __trace_integer
000000020d1886ec (__TEXT,__text) non-external __trace_integer_p
000000020d188820 (__TEXT,__text) non-external __trace_len
000000020d188888 (__TEXT,__text) non-external __trace_len_p
000000020d1885bc (__TEXT,__text) non-external __trace_pointer
000000020d1881c0 (__TEXT,__text) non-external __trace_print_function
000000020d182f2c (__TEXT,__text) non-external __trace_scrollopt_type
000000020d182c40 (__TEXT,__text) non-external __trace_setpos_irow
000000020d182cd8 (__TEXT,__text) non-external __trace_setpos_lock
000000020d182c78 (__TEXT,__text) non-external __trace_setpos_oper
000000020d1884dc (__TEXT,__text) non-external __trace_smallint
000000020d188604 (__TEXT,__text) non-external __trace_smallint_p
000000020d18286c (__TEXT,__text) non-external __trace_spcols_null
000000020d18280c (__TEXT,__text) non-external __trace_spcols_scope
000000020d1827a8 (__TEXT,__text) non-external __trace_spcols_type
000000020d1893cc (__TEXT,__text) non-external __trace_sql_subtype
000000020d188f48 (__TEXT,__text) non-external __trace_sql_type
000000020d18916c (__TEXT,__text) non-external __trace_sql_type_p
000000020d18c03c (__TEXT,__text) non-external __trace_stats_accuracy
000000020d18bfd8 (__TEXT,__text) non-external __trace_stats_unique
000000020d189bd8 (__TEXT,__text) non-external __trace_stmtattr_type
000000020d18a53c (__TEXT,__text) non-external __trace_stmtopt_type
000000020d188970 (__TEXT,__text) non-external __trace_string
000000020d188a54 (__TEXT,__text) non-external __trace_string_w
000000020d1887d4 (__TEXT,__text) non-external __trace_stringlen
000000021858cdf8 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020d18b374 (__TEXT,__text) non-external __trace_tran_completion
000000020d18b6b8 (__TEXT,__text) non-external __trace_typeinfo
000000020d188584 (__TEXT,__text) non-external __trace_uinteger
000000020d188760 (__TEXT,__text) non-external __trace_uinteger_p
000000020d188854 (__TEXT,__text) non-external __trace_ulen
000000020d1888fc (__TEXT,__text) non-external __trace_ulen_p
000000020d188514 (__TEXT,__text) non-external __trace_usmallint
000000020d188678 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000021ba98212 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020d18d334 (__TEXT,__text) non-external _dm_SQL_A2W
000000020d18d870 (__TEXT,__text) non-external _dm_SQL_U8toW
000000020d18d2b8 (__TEXT,__text) non-external _dm_SQL_W2A
000000020d18d5c8 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000020d18d3b0 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000020d18da8c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000020d18d460 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000020d18d510 (__TEXT,__text) non-external _dm_strcpy_A2W
000000020d18d56c (__TEXT,__text) non-external _dm_strcpy_W2A
000000020d18eff0 (__TEXT,__text) non-external _do_create_dsns
000000021ba981d0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000021ba981b0 (__DATA,__common) non-external _ierror
000000020d18f144 (__TEXT,__text) non-external _install_from_ini
000000020d18f610 (__TEXT,__text) non-external _install_from_string
000000021ba97c18 (__DATA,__data) external _iodbc_version
000000021ba980f0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021ba98138 (__DATA,__data) non-external _numerrors
000000021ba97c20 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000021ba98140 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020d18f7bc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000021858b088 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000021ba98180 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020d184940 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020d189740 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000020d1855fc (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020d18736c (__TEXT,__text) non-external _trace_SQLAllocStmt
000000020d18554c (__TEXT,__text) non-external _trace_SQLBindCol
000000020d186230 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020d189590 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020d189668 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000020d18270c (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020d18abd4 (__TEXT,__text) non-external _trace_SQLCancel
000000020d187428 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000020d185ac4 (__TEXT,__text) non-external _trace_SQLColAttribute
000000020d185f84 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020d186044 (__TEXT,__text) non-external _trace_SQLColAttributes
000000020d186110 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020d18a6c4 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020d18a7e0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000020d184a38 (__TEXT,__text) non-external _trace_SQLColumns
000000020d184b54 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020d189fac (__TEXT,__text) non-external _trace_SQLConnect
000000020d18a098 (__TEXT,__text) non-external _trace_SQLConnectW
000000020d182dc8 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020d1874fc (__TEXT,__text) non-external _trace_SQLDataSources
000000020d1875fc (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000020d181be4 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000020d181cf0 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020d18a604 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020d1873e0 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020d18b984 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020d18bbe4 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020d186500 (__TEXT,__text) non-external _trace_SQLDrivers
000000020d186600 (__TEXT,__text) non-external _trace_SQLDriversW
000000020d1848d8 (__TEXT,__text) non-external _trace_SQLEndTran
000000020d18206c (__TEXT,__text) non-external _trace_SQLError
000000020d18216c (__TEXT,__text) non-external _trace_SQLErrorW
000000020d187108 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020d18718c (__TEXT,__text) non-external _trace_SQLExecDirectW
000000020d182760 (__TEXT,__text) non-external _trace_SQLExecute
000000020d182e84 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020d187804 (__TEXT,__text) non-external _trace_SQLFetch
000000020d1897a4 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020d18a184 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020d18a304 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020d18a4f4 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000020d182bf8 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000020d184884 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000020d18c3d8 (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020d181a08 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000020d181aac (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020d189a38 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020d189aa0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000020d185684 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000020d185728 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020d18b268 (__TEXT,__text) non-external _trace_SQLGetData
000000020d1853ec (__TEXT,__text) non-external _trace_SQLGetDescField
000000020d18549c (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000020d181dfc (__TEXT,__text) non-external _trace_SQLGetDescRec
000000020d181f34 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020d18aa60 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020d18ab24 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000020d18237c (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000020d182474 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000020d1825f8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020d187090 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000020d183004 (__TEXT,__text) non-external _trace_SQLGetInfo
000000020d184534 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020d189e78 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020d189f1c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020d18a59c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020d18b8dc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020d18b930 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020d18b32c (__TEXT,__text) non-external _trace_SQLMoreResults
000000020d184eb8 (__TEXT,__text) non-external _trace_SQLNativeSql
000000020d184fa4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000020d184c70 (__TEXT,__text) non-external _trace_SQLNumParams
000000020d18a484 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020d1861dc (__TEXT,__text) non-external _trace_SQLParamData
000000020d1849b4 (__TEXT,__text) non-external _trace_SQLParamOptions
000000020d18c42c (__TEXT,__text) non-external _trace_SQLPrepare
000000020d18c4b0 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020d186700 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020d1867ec (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000020d1845e4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000020d184700 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020d186328 (__TEXT,__text) non-external _trace_SQLProcedures
000000020d186414 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020d18ac1c (__TEXT,__text) non-external _trace_SQLPutData
000000020d18269c (__TEXT,__text) non-external _trace_SQLRowCount
000000020d18bef0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000020d18bf64 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020d189b08 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020d189b70 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020d1876fc (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020d187780 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000020d18226c (__TEXT,__text) non-external _trace_SQLSetDescField
000000020d1822f4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020d1868d8 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020d187210 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000020d182d38 (__TEXT,__text) non-external _trace_SQLSetPos
000000020d182f90 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020d187284 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020d1872f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000020d18481c (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000020d1828d0 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000020d182a64 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000020d18c0a0 (__TEXT,__text) non-external _trace_SQLStatistics
000000020d18c210 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000020d184ce0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000020d184dcc (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020d18b480 (__TEXT,__text) non-external _trace_SQLTables
000000020d18b59c (__TEXT,__text) non-external _trace_SQLTablesW
000000020d18b3d8 (__TEXT,__text) non-external _trace_SQLTransact
000000021ba98170 (__DATA,__bss) non-external _trace_appname
000000020d187dac (__TEXT,__text) non-external _trace_emit
000000020d18802c (__TEXT,__text) non-external _trace_emit_binary
000000020d187e14 (__TEXT,__text) non-external _trace_emit_string
000000020d187df8 (__TEXT,__text) non-external _trace_emitc
000000021ba98178 (__DATA,__bss) non-external _trace_fname
000000021ba98190 (__DATA,__bss) non-external _trace_fp
000000021ba98198 (__DATA,__bss) non-external _trace_fp_close
000000020d187888 (__TEXT,__text) non-external _trace_get_filename
000000020d18784c (__TEXT,__text) non-external _trace_set_appname
000000020d187894 (__TEXT,__text) non-external _trace_set_filename
000000020d187b54 (__TEXT,__text) non-external _trace_start
000000020d187cf8 (__TEXT,__text) non-external _trace_stop
000000020d187adc (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000020d18da10 (__TEXT,__text) non-external _utf8_len
000000020d18db30 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000021ba98210 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
