00007ffb0dba0de9 (__TEXT,__text) non-external +[ODCAction action]
00007ffb41cdf708 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odConfigNode
00007ffb41cdf6d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffb41cdf6b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffb41cdf688 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffb41cdf690 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffb41cdf6a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb41cdf668 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb41cdf6e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb41cdf6f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb41cdf6e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb41cdf628 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb41cdf710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb41cdf670 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb41cdf6b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb41cdf6c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb41cdf6c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb41cdf620 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb41cdf610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb41cdf600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb41cdf5d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb41cdf608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb41cdf5a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb41cdf5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb41cdf5c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb41cdf5c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb41cdf5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb41cdf5b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb41cdf5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb41cdf5a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb41cdf5f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb41cdf5d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb41cdf5b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb41cdf760 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb41cdf748 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb41cdf768 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb41cdf740 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb41cdf770 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb41cdf780 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb41cdf758 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb41cdf778 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb41cdf750 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb41cdf7d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb41cdf730 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb41cdf728 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb41cdf738 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb41cdf718 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb41cdf720 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb41cdf7c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb41cdf7c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb41cdf7d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb41cdf7a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb41cdf7b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb41cdf7b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb41cdf798 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb41cdf790 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb41cdf7a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb41cdf788 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb41cdf858 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb41cdf808 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb41cdf8f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb41cdf9e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb41cdf8a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb41cdf998 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb41cdf948 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb405af780 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb405af778 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb405af790 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb405af788 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb405af670 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb405af678 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb405af680 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb405af688 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb405af690 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb405af698 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb405af760 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb405af728 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb405af730 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb405af6b8 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb405af6c0 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb405af6c8 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb405af6d0 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb405af6d8 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb405af6e0 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb405af6e8 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb405af6f0 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb405af750 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb405af668 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb405af710 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb405af718 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb405af720 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb405af748 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb405af6a0 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb405af6a8 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb405af6b0 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb405af740 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb405af738 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb405af770 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb405af768 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb405af758 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb405af6f8 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb405af700 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb405af708 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb0dbad5c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb0dbad400 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb0dbadfa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb0dbadf08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb0dbad640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb0dbad418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb0dbadd50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb0dbadfb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb0dbadc90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb0dbadf28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb0dbade70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb405b1cf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb405b1988 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb405b2588 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb405b2af8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb405b23f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb405b2938 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb405b27d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb405b2100 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb405b1b70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb405b26b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb405b2b20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb405b24a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb405b2a00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb405b2860 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb405b2368 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb405b1c68 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb405b2748 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb405b2b38 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb405b24f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb405b2a68 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb405b28a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb405b1cb0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb405b1940 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb405b2540 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb405b2ab0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb405b23b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb405b28f0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb405b2790 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0dba0e37 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb0dba8d0d (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb0db9e8b5 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb0db9eab0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb0dba1c93 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb0db9e88b (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0db9e8a2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0dbae070 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb0dbae030 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb0dbacf6c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb0dbacf2a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb405af798 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb405af7d8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb405af638 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb405af608 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb405af9c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb405afa00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb405af7b8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb405af9e0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb405afa20 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb0db9eabe (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb0db9ea0d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb0db9ead5 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb0db9ea69 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb0dbad04b (__TEXT,__text) non-external ___fixup_schema2
00007ffb0dbad061 (__TEXT,__text) non-external ___fixup_schema3
00007ffb0dbad08f (__TEXT,__text) non-external ___fixup_schema4
00007ffb0dbad148 (__TEXT,__text) non-external ___fixup_schema5
00007ffb0dbacdef (__TEXT,__text) non-external ___get_keyinfo
00007ffb41cdfa50 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb0dbac71e (__TEXT,__text) non-external __schema_construct
00007ffb0dbac927 (__TEXT,__text) non-external __schema_deconstruct
00007ffb0dbace4a (__TEXT,__text) non-external __schema_validate_type
00007ffb41cdfa30 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb0dbad209 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb41cdfa48 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb41cdfa38 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb41cdfa40 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb41cdfa20 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb41cdfa28 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb41cdfa10 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb405af950 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb405af958 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb405af960 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb405af968 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb405af970 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb405af808 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb405af810 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb405af818 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb405af820 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb405af848 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb405af828 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb405af830 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb405af840 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb405af838 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb405af850 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb405af858 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb405af860 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb405af868 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb405af870 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb405af880 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb405af878 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb405af888 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb405af890 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb405af898 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb405af8f8 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb405af8f0 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb405af910 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb405af918 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb405af908 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb405af900 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb405af8e8 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb405af8a0 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb405af8a8 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb405af8b8 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb405af8c0 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb405af8c8 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb405af8d0 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb405af8b0 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb405af8d8 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb405af8e0 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb405af978 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb405af988 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb405af990 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb405af998 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb405af9a0 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb405af9a8 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb405af9b0 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb405af980 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb405af9b8 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb0dbae0e0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb405af938 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb405af948 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb405af940 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb405af930 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb405af928 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb405af920 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffb0dbacd91 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffb41cdfa18 (__DATA,__bss) non-external _request_schema
00007ffb0dbac863 (__TEXT,__text) external _schema_construct_request
00007ffb0dbac704 (__TEXT,__text) external _schema_construct_requestv
00007ffb0dbacccd (__TEXT,__text) external _schema_construct_result
00007ffb0dbaccb3 (__TEXT,__text) external _schema_construct_resultv
00007ffb0dbac90d (__TEXT,__text) external _schema_deconstruct_request
