000000019306a708 (__TEXT,__text) non-external +[CalAlarm alarm]
0000000193074100 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
0000000193074008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
0000000193074698 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
0000000193073e20 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
0000000193074288 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
0000000193074538 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00000001930745d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00000001930743c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
0000000193074818 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00000001d465e6d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
0000000193074118 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
0000000193073d90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
0000000193074020 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00000001930746b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
0000000193073ee8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00000001930742a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
0000000193074550 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
0000000193073d40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00000001930745f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00000001930743f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
0000000193074830 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00000001d465e850 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00000001d465e668 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00000001d465e770 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00000001d465eca0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00000001d465e6f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00000001d465e950 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00000001d465eb50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00000001d465e5b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00000001d465ebf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00000001d465ea50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00000001d465ed80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00000001d465e8b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00000001d465e690 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00000001d465e798 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00000001d465ece8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00000001d465e718 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00000001d465e978 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00000001d465eb78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00000001d465ec18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00000001d465ea78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00000001d465eda8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00000001d465e5e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465e730 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465e810 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465ea10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465eb10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465ebb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465ec60 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d465e600 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465e750 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465e830 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465ea30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465eb30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465ebd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465ec80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d465e838 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00000001d465e608 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00000001d465e758 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00000001d465ec88 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00000001d465eb38 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00000001d465ebd8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00000001d465ea38 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00000001ddca2658 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00000001ddca24a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00000001ddca25c8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00000001ddca2928 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00000001ddca2538 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00000001ddca26e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00000001ddca2808 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00000001ddca2460 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00000001ddca2898 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00000001ddca2778 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00000001ddca29b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00000001d465e560 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001ddca2610 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00000001d465e620 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00000001ddca2580 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00000001ddca28e0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00000001ddca24f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00000001ddca26a0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00000001ddca27c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00000001d465e570 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00000001ddca2850 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00000001ddca2730 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00000001ddca2970 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00000001d8fa9720 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
000000019306c244 (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001ddca3820 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0B8"NSError"12l
000000019306c258 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
000000019306c2a0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d8fa9780 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
0000000193077400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$URL
0000000193077420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
0000000193077440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
0000000193077460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportEventsErrorWithCalendarName:
0000000193077480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarDoesNotSupportTasksErrorWithCalendarName:
00000001930774a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotEditableErrorWithCalendarName:isEvent:
00000001930774c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calendarNotFoundWithCalendarName:isEvent:
00000001930774e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteDate
0000000193077500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$absoluteTrigger
0000000193077520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledged
0000000193077540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$acknowledgedDate
0000000193077560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$action
0000000193077580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addAlarm:
00000001930775a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001930775c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$address
00000001930775e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alarms
0000000193077600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allAlarms
0000000193077620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allocWithZone:
0000000193077640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowEvents
0000000193077660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowReminders
0000000193077680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowedEntityTypes
00000001930776a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allowsContentModifications
00000001930776c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001930776e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
0000000193077700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObject:
0000000193077720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
0000000193077740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attendees
0000000193077760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:
0000000193077780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableCalendarTitle:forCalendar:
00000001930777a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bundleForClass:
00000001930777c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendar
00000001930777e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarForEntityType:eventStore:
0000000193077800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarIdentifier
0000000193077820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithIdentifier:
0000000193077840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithUID:
0000000193077860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendars
0000000193077880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarsForEntityType:
00000001930778a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001930778c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$color
00000001930778e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$commonName
0000000193077900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
0000000193077920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completedDate
0000000193077940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$completionDate
0000000193077960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
0000000193077980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001930779a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001930779c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$date
00000001930779e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
0000000193077a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateStamp
0000000193077a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateWithTimeInterval:sinceDate:
0000000193077a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfTheWeek
0000000193077a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:
0000000193077a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dayOfWeek:weekNumber:
0000000193077aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheMonth
0000000193077ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$daysOfTheWeek
0000000193077ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCalendarStore
0000000193077b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
0000000193077b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjectsAndKeys:
0000000193077b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
0000000193077b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dueDate
0000000193077b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$duplicate
0000000193077ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekAlarm
0000000193077bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendar
0000000193077be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekCalendarItem
0000000193077c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekEvent
0000000193077c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceEnd
0000000193077c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekRecurrenceRule
0000000193077c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekReminder
0000000193077c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$ekSpanFromCalSpan:
0000000193077ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$emailAddress
0000000193077cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$endDate
0000000193077ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
0000000193077d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventStore
0000000193077d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithEventStore:
0000000193077d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUID:occurrence:
0000000193077d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventWithUniqueId:occurrenceDate:
0000000193077d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$eventsMatchingPredicate:
0000000193077da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$existsInStore
0000000193077dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$externalID
0000000193077de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstObject
0000000193077e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$frequency
0000000193077e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$generateUntitledTitle
0000000193077e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleUnsavedRelateToDictionaryWithCalendarItem:
0000000193077e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hasAlarms
0000000193077e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
0000000193077ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDate:isDateOnly:isFloating:
0000000193077ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromDayOfTheWeek:
0000000193077ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$iCalendarValueFromRecurrenceType:
0000000193077f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:daysOfTheWeek:daysOfTheMonth:monthsOfTheYear:weeksOfTheYear:daysOfTheYear:setPositions:end:
0000000193077f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initRecurrenceWithFrequency:interval:end:
0000000193077f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKAlarm:
0000000193077f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendar:
0000000193077f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKCalendarItem:
0000000193077fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKParticipant:
0000000193077fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceDayOfWeek:
0000000193077fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceEnd:
0000000193078000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEKRecurrenceRule:
0000000193078020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEndDate:
0000000193078040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithEventStore:
0000000193078060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOccurrenceCount:
0000000193078080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:subpredicates:
00000001930780a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
00000001930780c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
00000001930780e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$interval
0000000193078100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isAllDay
0000000193078120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isCompleted
0000000193078140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDefaultAlarm
0000000193078160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isDetached
0000000193078180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEditable
00000001930781a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001930781c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToArray:
00000001930781e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToDate:
0000000193078200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
0000000193078220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lastModifiedDate
0000000193078240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localSourceEnableIfNeeded
0000000193078260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringForKey:value:table:
0000000193078280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localizedStringWithFormat:
00000001930782a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$location
00000001930782c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$monthsOfTheYear
00000001930782e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
0000000193078300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$notes
0000000193078320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nthWeekDaysOfTheMonth
0000000193078340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
0000000193078360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
0000000193078380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
00000001930783a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrence
00000001930783c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$occurrenceCount
00000001930783e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalAlarm
0000000193078400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$originalStartDate
0000000193078420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$participantStatus
0000000193078440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCalendarStoreForRemindersInCalendars:
0000000193078460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForCompletedRemindersWithCompletionDateStarting:ending:calendars:
0000000193078480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:calendars:
00000001930784a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForEventsWithStartDate:endDate:uniqueID:calendars:
00000001930784c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$predicateForIncompleteRemindersWithDueDateStarting:ending:calendars:
00000001930784e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$priority
0000000193078500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$raise:format:
0000000193078520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEnd
0000000193078540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithEndDate:
0000000193078560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceEndWithOccurrenceCount:
0000000193078580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceInterval
00000001930785a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRule
00000001930785c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceRules
00000001930785e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$recurrenceType
0000000193078600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relatedToString
0000000193078620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeOffset
0000000193078640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$relativeTrigger
0000000193078660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithEventStore:
0000000193078680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reminderWithUniqueId:
00000001930786a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$remindersMatchingPredicate:
00000001930786c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAlarm:
00000001930786e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
0000000193078700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeCalendar:commit:error:
0000000193078720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeEvent:span:error:
0000000193078740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeReminder:commit:error:
0000000193078760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestAccessForEntityType:eventStore:
0000000193078780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$requestAccessToEntityType:completion:
00000001930787a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveCalendar:commit:error:
00000001930787c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveEvent:span:error:
00000001930787e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$saveReminder:error:
0000000193078800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAbsoluteDate:
0000000193078820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAcknowledgedDate:
0000000193078840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAlarms:
0000000193078860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setAllDay:
0000000193078880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCalendar:
