00007ffa1bd92a9b (__TEXT,__text) non-external _DiToMD5
00007ffa1bd9e9d6 (__TEXT,__text) external __ZN12IOUserClient15AsyncCompletionEP8OSActioniPKyjPFiP15OSMetaClassBase5IORPCE
00007ffa1bd9efb8 (__TEXT,__text) external __ZN12IOUserClient15_ExternalMethodEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSActionPFiP15OSMetaClassBase5IORPCE
00007ffa1bd7fe64 (__TEXT,__text) external __ZN12IOUserClient20_ExternalMethod_ImplEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSAction
00007ffa1bd9f260 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjE
00007ffa1bd9f26c (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjEPK11OSMetaClass
00007ffa1bd9ee2e (__TEXT,__text) external __ZN12IOUserClient22CopyClientEntitlementsEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa1bd9e7aa (__TEXT,__text) external __ZN12IOUserClient22_ExternalMethod_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS6_S8_P8OSActionE
00007ffa1bd9eb0a (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffa1bd7fcea (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00007ffa1bd9f1f4 (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00007ffa1bd9e718 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffa1bd9f310 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffa1bd9ecae (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffa1bd9f390 (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffa1bd7f5fe (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffa1bd7f546 (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffa1bd9e6a0 (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffa1bd9e6aa (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffa1bd9fa3c (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffa1bd9f5ac (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffa1bd9fba8 (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffa1bd7c8c0 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffa1bd9f656 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffa1bd9f8d0 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffa1bd7c85c (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffa1bd7c84c (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffa1bd9f722 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffa1bd9f534 (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffa1bd7c8a6 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffa1bd9f53e (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffa1bd855e8 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffa1bd85748 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffa1bd85756 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffa1bd855de (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffa1bd854be (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffa1bd85670 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffa1bd854ce (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffa1bd85590 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffa1bd856aa (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffa1bd85660 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffa1bd85736 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffa1bd8030a (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffa1bd80662 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffa1bd80622 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffa1bd86490 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffa1bd86254 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffa1bd863e8 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffa1bd86420 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffa1bd862e8 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffa1bd862d0 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffa1bd8634c (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffa1bd808bc (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffa1bd80792 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffa1bd8099e (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffa1bd80a70 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffa1bda31a1 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffa1bd80b1a (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffa1bda31c4 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffa1bd807f4 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffa1bd80782 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffa1bd80856 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffa1bd92652 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffa1bd925f8 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffa1bd924f8 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffa1bd924a6 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffa1bd9230a (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffa1bd924ea (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffa1bda1164 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffa1bd959ba (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffa1bd7abc6 (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffa1bd95ba6 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffa1bd7ccb2 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffa1bd7ce46 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffa1bd95b3a (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa1bd7aae4 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffa1bd7d1c8 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffa1bd7cf7a (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffa1bda2d45 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffa1bd7d236 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffa1bda2dd1 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffa1bda2df4 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffa1bd7cdae (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffa1bd7cdd8 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffa1bda2d22 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffa1bd7cc74 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffa1bd7ca20 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffa1bd7c8fa (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffa1bd7d22c (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffa1bd7c93a (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffa1bd7c522 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffa1bda2b38 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffa1bda2b5b (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffa1bda2b7e (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffa1bda2ba1 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffa1bda2bc4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffa1bda2be7 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffa1bda2c0a (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffa1bda2c2d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffa1bd7d2d4 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffa1bd7aa18 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffa1bd7aa2a (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffa1bd95896 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffa1bd9581c (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffa1bd7d2e0 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffa1bd95852 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffa1bd91d7e (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffa1bd9199c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffa1bd91a24 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffa1bd91e7a (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffa1bd91ec6 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffa1bd91a2e (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffa1bda40a4 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffa1bd9209e (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffa1bd92196 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffa1bd91b80 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffa1bda40b6 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffa1bd921aa (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffa1bd921be (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffa1bd9128e (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffa1bd9130e (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffa1bd91ce8 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffa1bd91d74 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffa1bda0a0e (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffa1bd79398 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffa1bd79bb2 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffa1bd79dc4 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffa1bda2075 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffa1bda2098 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffa1bd79d1c (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffa1bda2036 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffa1bd7a4c0 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffa1bda22af (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffa1bda22d2 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffa1bda22f5 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffa1bda2318 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffa1bda233b (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffa1bda235e (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffa1bd79f30 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffa1bda2155 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffa1bda2178 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffa1bda219b (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffa1bda21be (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffa1bd7938e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffa1bd793c8 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffa1bd82ca8 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffa1bd86b90 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffa1bda3a65 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffa1bd86b4c (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffa1bda3a42 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffa1bd86b38 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffa1bd86b42 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffa1bd86bb6 (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffa1bd9602c (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffa1bd96384 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffa1bd7d41a (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffa1bd95d0e (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffa1bd96464 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffa1bd95ee8 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1bd963f2 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffa1bd7d402 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffa1bd7d3f2 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffa1bd95d9e (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1bd95cbe (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffa1bd96236 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffa1bd95cc8 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffa1bd9038a (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffa1bd8fbb8 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffa1bd902be (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffa1bd8fbd6 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffa1bd906e6 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffa1bd90628 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffa1bda3e0c (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffa1bd905b6 (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffa1bda3df3 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffa1bd90660 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffa1bda3e25 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffa1bd90724 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffa1bd8ff86 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffa1bda3d33 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffa1bda3d4c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffa1bda3d6c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffa1bda3d93 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffa1bda3db3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffa1bd8fc4c (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffa1bda3c2f (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffa1bda3c48 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffa1bda3c61 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffa1bd9025a (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffa1bd90104 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffa1bd8fb9a (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffa1bd90658 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffa1bd901be (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffa1bda3dda (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffa1bd906a8 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffa1bd8fe0e (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffa1bda3c73 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffa1bda3c8c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffa1bda3ca5 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffa1bda3cc5 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffa1bda3cec (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffa1bda3d0c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffa1bd8fbe8 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffa1bd90050 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffa1bd8f90e (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffa1bd8f808 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffa1bd8fa2a (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffa1bd8fa20 (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffa1bd8f978 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffa1bda3ba1 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffa1bda3bc1 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffa1bda3be8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffa1bda3c08 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffa1bd9093a (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffa1bd907a8 (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffa1bd909d8 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffa1bd90824 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffa1bd9089c (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffa1bda08b8 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffa1bda1b40 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffa1bda02d8 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffa1bda03ae (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffa1bda0954 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffa1bda0af2 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffa1bda0b3a (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffa1bda0bba (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffa1bda11b8 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffa1bd93d98 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffa1bd975e8 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffa1bd97760 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffa1bd97b82 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffa1bd97bf0 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffa1bd978ee (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffa1bd97a16 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffa1bd97c8a (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffa1bd97d4c (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffa1bd7df70 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffa1bda2f2b (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffa1bd7f25a (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffa1bd7f21a (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffa1bd9756e (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffa1bd7f2bc (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffa1bda3066 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffa1bd975a4 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffa1bd98294 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffa1bd98a54 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffa1bda090c (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffa1bd91282 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffa1bd9119e (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffa1bd9110a (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
