00007ff84004ab98 (__DATA,__data) non-external _C
00007ff8002fe440 (__TEXT,__const) external ___tinytens_D2A
00007ff8002b9bd0 (__TEXT,__text) external ___tolower
00007ff8002b9d15 (__TEXT,__text) external ___tolower_l
00007ff8002b9b90 (__TEXT,__text) external ___toupper
00007ff8002b9cf6 (__TEXT,__text) external ___toupper_l
00007ff8002a7711 (__TEXT,__text) external ___trailz_D2A
00007ff8002ac146 (__TEXT,__text) external ___ulp_D2A
00007ff8002cb4ba (__TEXT,__text) non-external ___ultoa
00007ff8002d1dde (__TEXT,__text) non-external ___ultoa
00007ff8002c6a53 (__TEXT,__text) external ___ungetc
00007ff8002c6bdc (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff8002e5813 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff8002ff2c0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff8002ec0cc (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff8002c71ba (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff8002fd744 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff8002fed20 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff8002fed30 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff8002cdfe0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff8002fed90 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff8002feda0 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff8002d23ba (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff8002fee90 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff8002fc683 (__TEXT,__text) external ___vsnprintf_chk
00007ff8002fc3db (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff8002bbc15 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff8002bb8d0 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff8002b9c10 (__TEXT,__text) external ___wcwidth
00007ff8002b9d34 (__TEXT,__text) external ___wcwidth_l
00007ff8002bad32 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8002982bf (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff8002982ec (__TEXT,__text) non-external ___xlocale_release
00007ff8002991c8 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff8002fc734 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff84004b168 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff8002ec5d1 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff8002ec3d5 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff8002e58de (__TEXT,__text) external __allocenvstate
00007ff8002ac2a8 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff8002b4db2 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff8002b4dff (__TEXT,__text) non-external __ascii_mbrtowc
00007ff8002b4e45 (__TEXT,__text) non-external __ascii_mbsinit
00007ff8002b4e50 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff8002b4ee9 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff8002b4f18 (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff84002ddc8 (__DATA_CONST,__const) external __c_locale
00007ff8002bfb84 (__TEXT,__text) external __cleanup
00007ff8002e58e8 (__TEXT,__text) external __copyenv
00007ff84004baf0 (__DATA,__data) external __cthread_init_routine
00007ff8002e5968 (__TEXT,__text) external __deallocenvstate
00007ff8002e52d9 (__TEXT,__text) non-external __do_nothing
00007ff8002976ba (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff8400584a0 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff840058498 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff8002ac6ce (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00007ff8002b0cca (__TEXT,__text) non-external (was a private external) __filldir
00007ff8002b2f46 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff8002be7ab (__TEXT,__text) external __flockfile_debug_stub
00007ff8002c0c25 (__TEXT,__text) external __fseeko
00007ff8002c1117 (__TEXT,__text) external __ftello
00007ff8002c1601 (__TEXT,__text) external __fwalk
00007ff8002dfb6a (__TEXT,__text) external __getenvp
00007ff800294d1c (__TEXT,__text) external __init_clock_port
00007ff8002dbb5e (__TEXT,__text) external __int_to_time
00007ff8002e2173 (__TEXT,__text) non-external __isort
00007ff8002e2c91 (__TEXT,__text) non-external __isort
00007ff84004d780 (__DATA,__bss) non-external __libSystem_atfork_child
00007ff84004d768 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff84004d778 (__DATA,__bss) non-external __libSystem_atfork_parent
00007ff84004d760 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff84004d770 (__DATA,__bss) non-external __libSystem_atfork_prepare
00007ff84004d758 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff80029a6f5 (__TEXT,__text) external __libc_fork_child
00007ff80029a798 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff80029a66a (__TEXT,__text) external __libc_initializer
00007ff8002dbb4c (__TEXT,__text) external __long_to_time
00007ff800290ce8 (__TEXT,__text) non-external __mach_boottime_usec
00007ff84004d750 (__DATA,__bss) non-external __mh_execute_header_pointer
00007ff8002c271b (__TEXT,__text) non-external __mkdtemp_action
00007ff8002c2501 (__TEXT,__text) non-external __mkostemps_action
00007ff800299ae9 (__TEXT,__text) non-external __mkpath
00007ff800299ad2 (__TEXT,__text) external __mkpath_np
00007ff8002c28bb (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff8002fd620 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff8002c2783 (__TEXT,__text) external __mktemp
00007ff8002c27c4 (__TEXT,__text) non-external __mktemp_action
00007ff8002b9d63 (__TEXT,__text) non-external (was a private external) __none_init
00007ff8002b9db0 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff8002b9ddc (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff8002b9de7 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff8002b9e5e (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff8002b9e8d (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff8002fc8b9 (__TEXT,__text) external __os_assert_log
00007ff8002fcb49 (__TEXT,__text) external __os_assert_log_ctx
00007ff8002fc764 (__TEXT,__text) external __os_assumes_log
00007ff8002fc9d0 (__TEXT,__text) external __os_assumes_log_ctx
00007ff80029aef5 (__TEXT,__text) external __os_avoid_tail_call
00007ff8002fc757 (__TEXT,__text) external __os_crash
00007ff840058488 (__DATA,__common) external __os_crash_callback
                 (undefined) external __os_once (from libsystem_platform)
00007ff8002e52e1 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff8002e53e3 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff8002e5379 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff84002ddd0 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff800300c10 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff80029a75c (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff8002e1799 (__TEXT,__text) external __putenvp
00007ff8002e18c1 (__TEXT,__text) non-external __qsort
00007ff8002e2358 (__TEXT,__text) non-external __qsort
00007ff84004b1e8 (__DATA,__data) external __rand48_add
00007ff84004b1e0 (__DATA,__data) external __rand48_mult
00007ff84004b1d8 (__DATA,__data) external __rand48_seed
00007ff8002b13e4 (__TEXT,__text) external __readdir_unlocked
00007ff8002b2f77 (__TEXT,__text) external __reclaim_telldir
00007ff800298329 (__TEXT,__text) non-external __releaselocale
00007ff8002ff224 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff8002b2ea2 (__TEXT,__text) external __seekdir
00007ff8002e59aa (__TEXT,__text) external __setenvp
00007ff80029ace3 (__TEXT,__text) external __sigaction_nobind
00007ff8400584b8 (__DATA,__common) external __sigintr
00007ff8002b2270 (__TEXT,__text) external __signal_nobind
00007ff80029091d (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff8002b2023 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff8002c61c6 (__TEXT,__text) external __sread
00007ff8002c62c8 (__TEXT,__text) external __sseek
00007ff8002d8ab6 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800298c10 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff8002d6e3b (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff800298c1d (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff8002d77ad (__TEXT,__text) non-external (was a private external) __st_time1
00007ff8002d5c12 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff8002ecd46 (__TEXT,__text) non-external __strfmon
00007ff8002d9e5f (__TEXT,__text) non-external __strptime0
00007ff8002fefa0 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800298500 (__TEXT,__text) external __subsystem_init
00007ff8002c6223 (__TEXT,__text) external __swrite
00007ff800295778 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff8002955a8 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff8002dbb1f (__TEXT,__text) external __time32_to_time
00007ff8002dbb31 (__TEXT,__text) external __time64_to_time
00007ff8002dbb55 (__TEXT,__text) external __time_to_int
00007ff8002dbb43 (__TEXT,__text) external __time_to_long
00007ff8002dbb28 (__TEXT,__text) external __time_to_time32
00007ff8002dbb3a (__TEXT,__text) external __time_to_time64
00007ff8002e5a28 (__TEXT,__text) external __unsetenvp
00007ff8002c6d36 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff8002c6f0c (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff8002d476e (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff8002d9bfc (__TEXT,__text) non-external __yconv
00007ff8002df3ea (__TEXT,__text) external _a64l
00007ff8002fd905 (__TEXT,__text) external _abort
00007ff8002fda3a (__TEXT,__text) external _abort_report_np
00007ff8002df47b (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff8002b1f64 (__TEXT,__text) non-external _addcmd
00007ff800293e0f (__TEXT,__text) non-external _advance_directory
00007ff8002fc71c (__TEXT,__text) non-external _advance_directory.cold.1
00007ff8002ac1a7 (__TEXT,__text) external _alarm
00007ff80029f34e (__TEXT,__text) non-external _alloc_segs
00007ff8002b1871 (__TEXT,__text) external _alphasort
00007ff8002ff0f0 (__TEXT,__const) non-external _ambig
00007ff8002ac245 (__TEXT,__text) non-external _arc4_init
00007ff8002fccdc (__TEXT,__text) non-external _arc4_init.cold.1
00007ff8002ac1f4 (__TEXT,__text) external _arc4random
00007ff8002ac1ee (__TEXT,__text) external _arc4random_addrandom
00007ff8002ac21d (__TEXT,__text) external _arc4random_buf
00007ff8002ac277 (__TEXT,__text) external _arc4random_stir
00007ff8002ac27d (__TEXT,__text) external _arc4random_uniform
00007ff8002ebbec (__TEXT,__text) non-external _arrayget
00007ff8002d5a29 (__TEXT,__text) external _asctime
00007ff8002d58f1 (__TEXT,__text) external _asctime_r
00007ff8002feee0 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff8002feec0 (__TEXT,__const) non-external _asctime_r.wday_name
00007ff8002be813 (__TEXT,__text) external _asprintf
00007ff8002be8d1 (__TEXT,__text) external _asprintf_l
00007ff800298c2a (__TEXT,__text) external _asxprintf
00007ff800299678 (__TEXT,__text) external _asxprintf_exec
00007ff8002df4b9 (__TEXT,__text) external _atexit
00007ff8002df5e3 (__TEXT,__text) external _atexit_b
00007ff84004b9c0 (__DATA,__data) non-external _atexit_mutex
00007ff8002df4e4 (__TEXT,__text) non-external _atexit_register
00007ff8002fdaee (__TEXT,__text) non-external _atexit_register.cold.1
00007ff8002df87c (__TEXT,__text) external _atof
00007ff8002df8a6 (__TEXT,__text) external _atof_l
00007ff8002df8b5 (__TEXT,__text) external _atoi
00007ff8002df8e4 (__TEXT,__text) external _atoi_l
00007ff8002df8f8 (__TEXT,__text) external _atol
00007ff8002df927 (__TEXT,__text) external _atol_l
00007ff8002df93b (__TEXT,__text) external _atoll
00007ff8002df96a (__TEXT,__text) external _atoll_l
00007ff800291480 (__TEXT,__text) external _backtrace
00007ff8002914cc (__TEXT,__text) external _backtrace_async
00007ff800291531 (__TEXT,__text) external _backtrace_from_fp
00007ff80029157c (__TEXT,__text) external _backtrace_image_offsets
00007ff8002ac35a (__TEXT,__text) external _basename
00007ff84004d7b0 (__DATA,__bss) non-external _basename.bname
00007ff8002ac2ae (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff800296813 (__TEXT,__text) external _bcopy
00007ff8002fed40 (__TEXT,__const) non-external _blanks
00007ff8002fee10 (__TEXT,__const) non-external _blanks
00007ff84004bbe0 (__DATA,__data) non-external _blanks
00007ff800294f00 (__TEXT,__text) non-external _both_ftw
00007ff84004d648 (__DATA,__bss) non-external _brapreg
00007ff8002910cc (__TEXT,__text) external _brk
00007ff8002910e4 (__TEXT,__text) external _bsd_signal
00007ff8002df97e (__TEXT,__text) external _bsearch
00007ff8002df9ef (__TEXT,__text) external _bsearch_b
00007ff80029e517 (__TEXT,__text) non-external _bt_broot
00007ff80029e26c (__TEXT,__text) non-external _bt_page
00007ff80029e658 (__TEXT,__text) non-external _bt_preserve
00007ff80029e698 (__TEXT,__text) non-external _bt_psplit
00007ff80029e192 (__TEXT,__text) non-external _bt_root
00007ff80029e416 (__TEXT,__text) non-external _bt_rroot
00007ff8002b51d9 (__TEXT,__text) external _btowc
00007ff8002b5114 (__TEXT,__text) external _btowc_l
00007ff84004f330 (__DATA,__bss) non-external _buf_asctime
00007ff8002c3d68 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff8002fe1e8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff8002fe1c0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff8002be6de (__TEXT,__text) external _catclose
00007ff84002e1a0 (__DATA_CONST,__const) non-external _categories
00007ff8002be3e1 (__TEXT,__text) external _catgets
00007ff8002bdccb (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff8002b30fc (__TEXT,__text) external _cfgetispeed
00007ff8002b30f2 (__TEXT,__text) external _cfgetospeed
00007ff8002b312e (__TEXT,__text) external _cfmakeraw
00007ff8002b3112 (__TEXT,__text) external _cfsetispeed
00007ff8002b3106 (__TEXT,__text) external _cfsetospeed
00007ff8002b311e (__TEXT,__text) external _cfsetspeed
00007ff8002aec67 (__TEXT,__text) external _cgetcap
00007ff8002af54f (__TEXT,__text) external _cgetclose
00007ff8002aecde (__TEXT,__text) external _cgetent
00007ff8002af4fe (__TEXT,__text) external _cgetfirst
00007ff8002af4a6 (__TEXT,__text) external _cgetmatch
00007ff8002af58c (__TEXT,__text) external _cgetnext
00007ff8002afc72 (__TEXT,__text) external _cgetnum
00007ff8002aebe8 (__TEXT,__text) external _cgetset
00007ff8002af93f (__TEXT,__text) external _cgetstr
00007ff8002afb94 (__TEXT,__text) external _cgetustr
00007ff8002b5ce3 (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
00007ff800294038 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
00007ff8002be967 (__TEXT,__text) external _clearerr
00007ff8002be987 (__TEXT,__text) external _clearerr_unlocked
00007ff8002ac39f (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800290f74 (__TEXT,__text) external _clock_getres
00007ff800290dce (__TEXT,__text) external _clock_gettime
00007ff800290b68 (__TEXT,__text) external _clock_gettime_nsec_np
00007ff840058474 (__DATA,__common) external _clock_port
00007ff840058470 (__DATA,__common) external _clock_sem
00007ff800290fee (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800293bc9 (__TEXT,__text) non-external _close_directory
00007ff8002ac3f1 (__TEXT,__text) external _closedir
00007ff84002e740 (__DATA_CONST,__const) non-external _cnames
00007ff8002a06a6 (__TEXT,__text) non-external _collect_data
00007ff8002a086c (__TEXT,__text) non-external _collect_key
00007ff8002ff030 (__TEXT,__const) non-external _command_substitution_str
00007ff800293e92 (__TEXT,__text) external _compat_mode
00007ff80029161c (__TEXT,__text) external _confstr
00007ff8002992c0 (__TEXT,__text) external _copy_printf_domain
00007ff8002facfc (__TEXT,__text) external _creat
00007ff80029aefb (__TEXT,__text) external _creat$NOCANCEL
00007ff8002ac456 (__TEXT,__text) external _ctermid
00007ff84004b1f0 (__DATA,__data) non-external _ctermid.def
00007ff8002ac47f (__TEXT,__text) external _ctermid_r
00007ff8002d7761 (__TEXT,__text) external _ctime
00007ff8002d777c (__TEXT,__text) external _ctime_r
00007ff84004b290 (__DATA,__data) non-external _current_categories
00007ff8002ba3e6 (__TEXT,__text) non-external _currentlocale
00007ff84004da80 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff84004d6a8 (__DATA,__bss) non-external _curshell
00007ff84004ba20 (__DATA,__data) non-external _dash_prefix
00007ff8400584d8 (__DATA,__common) external _daylight
00007ff8002a2710 (__TEXT,__text) external _dbm_clearerr
00007ff8002a25d2 (__TEXT,__text) external _dbm_close
00007ff8002a26a6 (__TEXT,__text) external _dbm_delete
00007ff8002a2726 (__TEXT,__text) external _dbm_dirfno
00007ff8002a2700 (__TEXT,__text) external _dbm_error
00007ff8002a25da (__TEXT,__text) external _dbm_fetch
00007ff8002a2616 (__TEXT,__text) external _dbm_firstkey
00007ff8002a2662 (__TEXT,__text) external _dbm_nextkey
00007ff8002a2505 (__TEXT,__text) external _dbm_open
00007ff8002a26cb (__TEXT,__text) external _dbm_store
00007ff80029ed41 (__TEXT,__text) external _dbopen
00007ff84004d828 (__DATA,__bss) non-external _dbp
00007ff84004d668 (__DATA,__bss) non-external _decpreg
00007ff8002ff1f0 (__TEXT,__const) non-external _degrees
00007ff800291a96 (__TEXT,__text) external _devname
00007ff84004d5c8 (__DATA,__bss) non-external _devname.buf
00007ff800291958 (__TEXT,__text) external _devname_r
00007ff8002d5a3a (__TEXT,__text) external _difftime
00007ff800295e7c (__TEXT,__text) external _digittoint
00007ff8002960f4 (__TEXT,__text) external _digittoint_l
00007ff80029aed4 (__TEXT,__text) external _dirfd
00007ff8002ac566 (__TEXT,__text) external _dirname
00007ff84004d7b8 (__DATA,__bss) non-external _dirname.dname
00007ff8002ac4a0 (__TEXT,__text) external _dirname_r
00007ff8002dfa65 (__TEXT,__text) external _div
00007ff84004a4d0 (__DATA,__data) non-external _dktypenames
00007ff8002b4715 (__TEXT,__text) non-external _do_hvis
00007ff8002b4809 (__TEXT,__text) non-external _do_mvis
00007ff8002b4970 (__TEXT,__text) non-external _do_svis
00007ff8002a4668 (__TEXT,__text) non-external _dorounding
00007ff8002be991 (__TEXT,__text) external _dprintf
00007ff8002bea4f (__TEXT,__text) external _dprintf_l
00007ff8002ac5ab (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff800297684 (__TEXT,__text) external _duplocale
00007ff800298cca (__TEXT,__text) external _dxprintf
00007ff800299722 (__TEXT,__text) external _dxprintf_exec
00007ff8002e74c3 (__TEXT,__text) external _ecvt
00007ff84004d890 (__DATA,__bss) non-external _empty
00007ff84004d8a0 (__DATA,__bss) non-external _empty
00007ff84004ba68 (__DATA,__data) non-external _end_ptr
00007ff8002948bb (__TEXT,__text) external _endttyent
00007ff800294bc3 (__TEXT,__text) external _endusershell
00007ff8002dfb33 (__TEXT,__text) external _environ_lock_np
00007ff84004d740 (__DATA,__bss) non-external _environ_pointer
00007ff8002dfb49 (__TEXT,__text) external _environ_unlock_np
00007ff8002d4b23 (__TEXT,__text) non-external _eofread
00007ff8002d4f80 (__TEXT,__text) non-external _eofread
00007ff8002ac630 (__TEXT,__text) external _erand48
00007ff8002fce28 (__TEXT,__text) external _err
00007ff8002ac822 (__TEXT,__text) external _err_set_exit
00007ff8002ac85e (__TEXT,__text) external _err_set_exit_b
00007ff8002ac806 (__TEXT,__text) external _err_set_file
00007ff8002fcfac (__TEXT,__text) external _errc
00007ff8002fd016 (__TEXT,__text) external _errx
00007ff8002fe6a0 (__TEXT,__const) non-external _escape
00007ff8002ac8a0 (__TEXT,__text) external _execl
00007ff8002ac9e4 (__TEXT,__text) external _execle
00007ff8002acb3a (__TEXT,__text) external _execlp
00007ff8002accbf (__TEXT,__text) external _execv
00007ff8002acce9 (__TEXT,__text) external _execvP
00007ff8002acd22 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007ff8002acc6f (__TEXT,__text) external _execvp
00007ff8002dfa93 (__TEXT,__text) external _exit
00007ff8002bfb24 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff8002beae5 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff8002e7685 (__TEXT,__text) external _fcvt
00007ff8002bebef (__TEXT,__text) external _fdopen
00007ff8002fb642 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff8002b0a50 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
00007ff8002bece6 (__TEXT,__text) external _feof
00007ff8002bed0e (__TEXT,__text) external _feof_unlocked
00007ff8002bed1d (__TEXT,__text) external _ferror
00007ff8002bed45 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007ff8002a2494 (__TEXT,__text) non-external _fetch_bitmap
00007ff8002953e3 (__TEXT,__text) external _fflagstostr
00007ff8002bed54 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00007ff8002bef4d (__TEXT,__text) external _fgetc
00007ff8002beffb (__TEXT,__text) external _fgetln
00007ff8002bf18b (__TEXT,__text) external _fgetpos
00007ff8002bf1b0 (__TEXT,__text) external _fgets
00007ff8002bf2d7 (__TEXT,__text) external _fgetwc
00007ff8002bf3f9 (__TEXT,__text) external _fgetwc_l
00007ff8002bf516 (__TEXT,__text) external _fgetwln
00007ff8002bf45f (__TEXT,__text) external _fgetwln_l
00007ff8002bf6f0 (__TEXT,__text) external _fgetws
00007ff8002bf53e (__TEXT,__text) external _fgetws_l
00007ff84004b808 (__DATA,__data) non-external _filelist_lock
00007ff8002bf718 (__TEXT,__text) external _fileno
00007ff8002bf73c (__TEXT,__text) external _fileno_unlocked
00007ff8002c22ad (__TEXT,__text) non-external _find_temp_path
00007ff8002dba74 (__TEXT,__text) non-external _first_wday_of
00007ff8002be77f (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00007ff80029fac0 (__TEXT,__text) non-external _flush_meta
00007ff8002de601 (__TEXT,__text) external _fmemopen
00007ff8002de88b (__TEXT,__text) non-external _fmemopen_close
00007ff8002de776 (__TEXT,__text) non-external _fmemopen_read
00007ff8002de831 (__TEXT,__text) non-external _fmemopen_seek
00007ff8002de7c0 (__TEXT,__text) non-external _fmemopen_write
00007ff84002e320 (__DATA_CONST,__const) non-external _fmt_padding
00007ff8002ad02c (__TEXT,__text) external _fmtcheck
00007ff8002ad5ac (__TEXT,__text) external _fmtmsg
00007ff8002adac0 (__TEXT,__text) external _fnmatch
00007ff8002adb6c (__TEXT,__text) non-external _fnmatch1
00007ff8002bfc30 (__TEXT,__text) external _fopen
00007ff8002fb736 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00007ff80029a7e8 (__TEXT,__text) external _fork
00007ff8002bfd04 (__TEXT,__text) external _fprintf
00007ff8002bfdc2 (__TEXT,__text) external _fprintf_l
00007ff84004ba58 (__DATA,__data) non-external _fptr
00007ff8002bfe58 (__TEXT,__text) external _fpurge
00007ff8002bfed6 (__TEXT,__text) external _fputc
00007ff8002bff43 (__TEXT,__text) external _fputs
00007ff8002c0087 (__TEXT,__text) external _fputwc
00007ff8002c00ed (__TEXT,__text) external _fputwc_l
00007ff8002c02b4 (__TEXT,__text) external _fputws
00007ff8002c0162 (__TEXT,__text) external _fputws_l
00007ff8002c0485 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00007ff800298ffa (__TEXT,__text) external _free_printf_comp
00007ff800299361 (__TEXT,__text) external _free_printf_domain
00007ff80029784a (__TEXT,__text) external _freelocale
00007ff8002c06c3 (__TEXT,__text) external _freopen
00007ff8002c09d0 (__TEXT,__text) external _fscanf
00007ff8002c0aba (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00007ff8002c0bb7 (__TEXT,__text) external _fseek
00007ff8002c1039 (__TEXT,__text) external _fseeko
00007ff8002c10a4 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00007ff800291302 (__TEXT,__text) external _fstatvfs
00007ff84004a530 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00007ff80029ae79 (__TEXT,__text) external _fsync_volume_np
00007ff8002c10b3 (__TEXT,__text) external _ftell
00007ff8002c10bd (__TEXT,__text) external _ftello
00007ff8002d5aa3 (__TEXT,__text) external _ftime
00007ff8002ae9be (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
