00007ffb005712f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0057f0de (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0057f70a (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb0055b676 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb0057f192 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0057f426 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb0055b612 (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb0055b602 (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb0057f268 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb0057ef8c (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb0055b65c (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb0057ef96 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb0056469a (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb005647fa (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb00564808 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb00564690 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb00564574 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb00564722 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb00564584 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb00564642 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0056475c (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb00564712 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb005647e8 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb0055f042 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb0055f354 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb0055f314 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0056556c (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb00565338 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb005654c4 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb005654fc (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb005653c0 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb005653a8 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb00565424 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb0055f5a2 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb0055f484 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb0055f684 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb0055f756 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb00582af6 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb0055f7f8 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb00582b19 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb0055f4e6 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb0055f474 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb0055f548 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb00570ed8 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb00570e80 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb00570d86 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb00570d34 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb00570bb2 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb00570d78 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb00580c08 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb005740ae (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb00559d2a (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb005742a0 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb0055ba6a (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb0055bbfe (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb0057422e (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00559c48 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb0055bfc0 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb0055bd32 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb0058269a (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb0055c034 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb00582726 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb00582749 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb0055bb66 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb0055bb90 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb00582677 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb0055ba2c (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb0055b7d6 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb0055b6b0 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb0055c02a (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb0055b6f0 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb0055b29c (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb0058248d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb005824b0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb005824d3 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb005824f6 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb00582519 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb0058253c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb0058255f (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb00582582 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb0055c0d2 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb00559b7e (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb00559b90 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb00573f9c (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb00573f22 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb0055c0de (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb00573f58 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0057067e (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb005702fc (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb00570368 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0057076c (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb005707b4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb00570372 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb00583a43 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb00570968 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb00570a5c (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb005704a2 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb00583a55 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb00570a70 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb00570a84 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb0056fc04 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb0056fc76 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb005705e6 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb00570674 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb00580530 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb00558558 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb00558d1e (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb00558f30 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb00581a52 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb00581a75 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb00558e88 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb00581a13 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb00559628 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb00581c4a (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb00581c6d (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb00581c90 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb00581cb3 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb00581cd6 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb00581cf9 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb005590a8 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb00581b32 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb00581b55 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb00581b78 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb00581b9b (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb0055854e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb00558588 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb00561e28 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb00565c88 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb00583406 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb00565c44 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb005833e3 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb00565c30 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb00565c3a (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb00565cae (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb00574778 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb00574a96 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb0055c210 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb00574462 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb00574b82 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb00574634 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb00574b0a (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb0055c1f8 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb0055c1e8 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb005744f8 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb005743b0 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb00574956 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb005743ba (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb0056ed96 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb0056e5a6 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb0056ecc4 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb0056e5c4 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb0056f0ec (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0056f02e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb005837ac (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb0056efbc (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb00583793 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb0056f066 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb005837c5 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0056f12a (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb0056e988 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb005836d3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb005836ec (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0058370c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb00583733 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb00583753 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0056e63a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb005835cf (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb005835e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb00583601 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb0056ec60 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb0056eb0a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb0056e588 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0056f05e (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb0056ebc4 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb0058377a (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb0056f0ae (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb0056e7f6 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb00583613 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb0058362c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb00583645 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb00583665 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb0058368c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb005836ac (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb0056e5d6 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb0056ea4c (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb0056e2f8 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb0056e1f2 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb0056e414 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0056e40a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb0056e362 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb00583541 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb00583561 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb00583588 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb005835a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb0056f332 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb0056f1ba (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb0056f3c0 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0056f22a (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb0056f2a4 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb00580444 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb00581582 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb0057fe6c (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb0057ff38 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb005804b2 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb005805ce (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb005805fe (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb00580674 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb00580c46 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb00572510 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb00576bfe (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb00576d60 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb00577160 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb005771d4 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb00576ee2 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb00576ff4 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb0057726c (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb00577332 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb0055cd50 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb00582880 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb0055e06a (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb0055e02a (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb00576b84 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb0055e0cc (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb005829bb (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb00576bba (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb005777d0 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb005783a2 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb00580482 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb0056fbf8 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb0056fb1e (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb0056fa98 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb0056f45c (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0056f50c (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb005776e0 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb00574c2e (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb00574d6e (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb0057583c (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb005756f4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb00575af2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffb0056074e (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffb005755bc (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffb0056081e (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffb00575c30 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffb00575d20 (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00575eae (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb00575df8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffb00575fe2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00575d8c (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00575984 (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00575f64 (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
00007ffb005606f6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
00007ffb005606ae (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
00007ffb00575326 (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
00007ffb005752ac (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
00007ffb00575484 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
00007ffb005752e2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
00007ffb00577450 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00007ffb005774c6 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00007ffb0057f816 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00007ffb0057f956 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00007ffb00580500 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00007ffb0057257e (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
