00000001aca13258 (__TEXT,__text) non-external +[Caller current]
00000001aca2c0d4 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.2
00000001aca2c1ac (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.3
00000001aca2c284 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.4
00000001aca2c35c (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.5
00000001aca2c434 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.6
00000001aca2c50c (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.7
00000001aca2c5e4 (__TEXT,__text) non-external -[LASecureIOServer updateAsset:fromInstructions:withKey:].cold.8
00000001aca25b1c (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:]
00000001aca2c9d4 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.1
00000001aca2caa4 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.2
00000001aca2cb70 (__TEXT,__text) non-external -[LASecureIOServer verifyInstructions:withSignature:].cold.3
00000001aca25cf0 (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:]
00000001aca2cc3c (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.1
00000001aca2cd0c (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.2
00000001aca2cdd8 (__TEXT,__text) non-external -[LASecureIOServer verifySceneDesciptions:withSignature:].cold.3
00000001aca346dc (__TEXT,__text) non-external -[LASecureIOTouchBarView .cxx_destruct]
00000001aca34338 (__TEXT,__text) non-external -[LASecureIOTouchBarView initCommon]
00000001aca342fc (__TEXT,__text) non-external -[LASecureIOTouchBarView initWithCoder:]
00000001aca342c0 (__TEXT,__text) non-external -[LASecureIOTouchBarView initWithFrame:]
00000001aca346cc (__TEXT,__text) non-external -[LASecureIOTouchBarView scene]
00000001aca343b4 (__TEXT,__text) non-external -[LASecureIOTouchBarView setScene:]
00000001aca0ac14 (__TEXT,__text) non-external -[NSDictionary(Merge) dictionaryByMergingWith:]
00000001aca11318 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource .cxx_destruct]
00000001aca11288 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource _notification:]
00000001aca111ec (__TEXT,__text) non-external -[NotificationCenterInvalidationSource dealloc]
00000001aca11128 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource initWithPreflightCache:notificationName:]
00000001aca11290 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource invalidationReason]
00000001aca11308 (__TEXT,__text) non-external -[NotificationCenterInvalidationSource notificationName]
00000001aca0b6f8 (__TEXT,__text) non-external -[PreflightCache .cxx_destruct]
00000001aca0b570 (__TEXT,__text) non-external -[PreflightCache _isCacheable:callerUid:]
00000001aca0b51c (__TEXT,__text) non-external -[PreflightCache _isPolicyCacheable:]
00000001aca0b498 (__TEXT,__text) non-external -[PreflightCache acquireBypassAssertionWithReason:]
00000001aca0b324 (__TEXT,__text) non-external -[PreflightCache addPreflightResult:forKey:]
00000001aca34998 (__TEXT,__text) non-external -[PreflightCache addPreflightResult:forKey:].cold.1
00000001aca0b240 (__TEXT,__text) non-external -[PreflightCache cachedPreflightResultForKey:]
00000001aca348dc (__TEXT,__text) non-external -[PreflightCache cachedPreflightResultForKey:].cold.1
00000001aca0b514 (__TEXT,__text) non-external -[PreflightCache dropAssertion:]
00000001aca0ad00 (__TEXT,__text) non-external -[PreflightCache init]
00000001aca0b3c8 (__TEXT,__text) non-external -[PreflightCache invalidateWithReason:]
00000001aca0b0f4 (__TEXT,__text) non-external -[PreflightCache keyForPreflightOfACL:operation:options:auditToken:uid:]
00000001aca0afb8 (__TEXT,__text) non-external -[PreflightCache keyForPreflightOfPolicy:options:auditToken:uid:]
00000001aca1073c (__TEXT,__text) non-external -[PreflightCacheAssertion .cxx_destruct]
00000001aca10710 (__TEXT,__text) non-external -[PreflightCacheAssertion cache]
00000001aca10540 (__TEXT,__text) non-external -[PreflightCacheAssertion dealloc]
00000001aca10588 (__TEXT,__text) non-external -[PreflightCacheAssertion description]
00000001aca10630 (__TEXT,__text) non-external -[PreflightCacheAssertion drop]
00000001aca103d8 (__TEXT,__text) non-external -[PreflightCacheAssertion initWithReason:cache:]
00000001aca10700 (__TEXT,__text) non-external -[PreflightCacheAssertion reason]
00000001aca10708 (__TEXT,__text) non-external -[PreflightCacheAssertion setReason:]
00000001aca10dfc (__TEXT,__text) non-external -[PreflightCacheInvalidationSource .cxx_destruct]
00000001aca10dd0 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource cache]
00000001aca10d18 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource handleNotificationInServerQueue]
00000001aca10b70 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource handleNotificationWithCompletion:]
00000001aca10a38 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource initWithPreflightCache:]
00000001aca10db4 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource invalidationReason]
00000001aca10dc8 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource setStatus:]
00000001aca10dc0 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource status]
00000001aca10b34 (__TEXT,__text) non-external -[PreflightCacheInvalidationSource updateStatus]
00000001aca10330 (__TEXT,__text) non-external -[PushButtonMonitor .cxx_destruct]
00000001aca0f030 (__TEXT,__text) non-external -[PushButtonMonitor _consumeDoubleTapWithReason:includingAX:]
00000001aca0f560 (__TEXT,__text) non-external -[PushButtonMonitor _defaultExpirationTimeout]
00000001aca0f56c (__TEXT,__text) non-external -[PushButtonMonitor _expireDoubleTap:]
00000001aca0efa0 (__TEXT,__text) non-external -[PushButtonMonitor _init]
00000001aca0ff10 (__TEXT,__text) non-external -[PushButtonMonitor _restartWithReactivationDelay:]
00000001aca0f1c0 (__TEXT,__text) non-external -[PushButtonMonitor _scheduleDoubleTapExpiration]
00000001aca0f738 (__TEXT,__text) non-external -[PushButtonMonitor adviseDoubleTap]
00000001aca0f7d4 (__TEXT,__text) non-external -[PushButtonMonitor axApplePayConfirmation]
00000001aca10320 (__TEXT,__text) non-external -[PushButtonMonitor axDoubleTapDetected]
00000001aca0f028 (__TEXT,__text) non-external -[PushButtonMonitor consumeDoubleTapWithReason:]
00000001aca0efd8 (__TEXT,__text) non-external -[PushButtonMonitor dealloc]
00000001aca102d8 (__TEXT,__text) non-external -[PushButtonMonitor delegate]
00000001aca10310 (__TEXT,__text) non-external -[PushButtonMonitor doubleTapDetected]
00000001aca0f618 (__TEXT,__text) non-external -[PushButtonMonitor doubleTappedAt:]
00000001aca0ef68 (__TEXT,__text) non-external -[PushButtonMonitor init]
00000001aca0f020 (__TEXT,__text) non-external -[PushButtonMonitor prearmAssertion]
00000001aca10328 (__TEXT,__text) non-external -[PushButtonMonitor setAxDoubleTapDetected:]
00000001aca10304 (__TEXT,__text) non-external -[PushButtonMonitor setDelegate:]
00000001aca10318 (__TEXT,__text) non-external -[PushButtonMonitor setDoubleTapDetected:]
00000001aca100b4 (__TEXT,__text) non-external -[PushButtonMonitor startWithError:]
00000001aca0fa70 (__TEXT,__text) non-external -[PushButtonMonitor start]
00000001aca0fb1c (__TEXT,__text) non-external -[PushButtonMonitor stop]
00000001aca11cb8 (__TEXT,__text) non-external -[Request .cxx_destruct]
00000001aca11c80 (__TEXT,__text) non-external -[Request caller]
00000001aca11aa4 (__TEXT,__text) non-external -[Request dealloc]
00000001aca11b7c (__TEXT,__text) non-external -[Request holdObject:]
00000001aca11c78 (__TEXT,__text) non-external -[Request identifier]
00000001aca11748 (__TEXT,__text) non-external -[Request initWithCaller:]
00000001aca1182c (__TEXT,__text) non-external -[Request initWithID:caller:received:]
00000001aca11c90 (__TEXT,__text) non-external -[Request log]
00000001aca11c88 (__TEXT,__text) non-external -[Request received]
00000001aca11ca4 (__TEXT,__text) non-external -[Request serviceLocator]
00000001aca11c98 (__TEXT,__text) non-external -[Request setLog:]
00000001aca11cac (__TEXT,__text) non-external -[Request setServiceLocator:]
00000001aca12e40 (__TEXT,__text) non-external -[StorageRequest .cxx_destruct]
00000001aca12df0 (__TEXT,__text) non-external -[StorageRequest acl]
00000001aca12d98 (__TEXT,__text) non-external -[StorageRequest client]
00000001aca12e00 (__TEXT,__text) non-external -[StorageRequest contextID]
00000001aca12e10 (__TEXT,__text) non-external -[StorageRequest domain]
00000001aca12c30 (__TEXT,__text) non-external -[StorageRequest initWithStorageDomain:key:acl:options:contextID:connection:]
00000001aca12e20 (__TEXT,__text) non-external -[StorageRequest key]
00000001aca12e30 (__TEXT,__text) non-external -[StorageRequest options]
00000001aca14780 (__TEXT,__text) non-external -[TrustedAccessoryHelper _checkPairingState:device:error:]
00000001aca14838 (__TEXT,__text) non-external -[TrustedAccessoryHelper _checkPairingStateIn:device:error:]
00000001aca141f4 (__TEXT,__text) non-external -[TrustedAccessoryHelper _isConnectedDeviceInState:description:error:]
00000001aca142ac (__TEXT,__text) non-external -[TrustedAccessoryHelper _isConnectedDeviceInStates:description:error:]
00000001aca145e8 (__TEXT,__text) non-external -[TrustedAccessoryHelper authorizeDevice:externalizedContext:error:]
00000001aca13cdc (__TEXT,__text) non-external -[TrustedAccessoryHelper connectedDevicesWithError:]
00000001aca13a14 (__TEXT,__text) non-external -[TrustedAccessoryHelper deviceManagerWithError:]
00000001aca141e0 (__TEXT,__text) non-external -[TrustedAccessoryHelper isAuthorizedDeviceConnectedWithError:]
00000001aca14144 (__TEXT,__text) non-external -[TrustedAccessoryHelper isPairedDeviceConnectedWithError:]
00000001aca13ba4 (__TEXT,__text) non-external -[TrustedAccessoryHelper isTrustedAccessorySupported]
00000001aca141cc (__TEXT,__text) non-external -[TrustedAccessoryHelper isUnauthorizedDeviceConnectedWithError:]
00000001aca13dd0 (__TEXT,__text) non-external -[TrustedAccessoryHelper unauthorizedDeviceWithUid:error:]
00000001aca11484 (__TEXT,__text) non-external -[UserPasswordInvalidationSource initWithPreflightCache:]
00000001aca11508 (__TEXT,__text) non-external -[UserPasswordInvalidationSource invalidationReason]
00000001aca114c4 (__TEXT,__text) non-external -[UserPasswordInvalidationSource updateStatus]
00000001aca115d8 (__TEXT,__text) non-external -[WatchInvalidationSource dealloc]
00000001aca11564 (__TEXT,__text) non-external -[WatchInvalidationSource initWithPreflightCache:]
00000001aca116a8 (__TEXT,__text) non-external -[WatchInvalidationSource invalidationReason]
00000001aca11644 (__TEXT,__text) non-external -[WatchInvalidationSource updateStatus]
00000001aca116a0 (__TEXT,__text) non-external -[WatchInvalidationSource watchDevicesChanged:]
00000001aca0d564 (__TEXT,__text) non-external -[WatchMonitor .cxx_destruct]
00000001aca0cc4c (__TEXT,__text) non-external -[WatchMonitor _approveDiscovery]
00000001aca0d354 (__TEXT,__text) non-external -[WatchMonitor _dispatchRestartAttempt:restartDelay:]
00000001aca0cd60 (__TEXT,__text) non-external -[WatchMonitor _handleActivationError:]
00000001aca34af0 (__TEXT,__text) non-external -[WatchMonitor _handleActivationError:].cold.1
00000001aca0ce28 (__TEXT,__text) non-external -[WatchMonitor _notifyObservers]
00000001aca0d094 (__TEXT,__text) non-external -[WatchMonitor _reactivationDelayAfterFailures:]
00000001aca0d00c (__TEXT,__text) non-external -[WatchMonitor _restartAfterFailedActivation]
00000001aca34be0 (__TEXT,__text) non-external -[WatchMonitor _restartAfterFailedActivation].cold.1
00000001aca0cf88 (__TEXT,__text) non-external -[WatchMonitor _restartAfterInvalidation]
00000001aca34b68 (__TEXT,__text) non-external -[WatchMonitor _restartAfterInvalidation].cold.1
00000001aca0d0cc (__TEXT,__text) non-external -[WatchMonitor _restartWithMinReactivationDelay:]
00000001aca0d534 (__TEXT,__text) non-external -[WatchMonitor approveDiscovery]
00000001aca0d4a8 (__TEXT,__text) non-external -[WatchMonitor deviceAvailable]
00000001aca0c43c (__TEXT,__text) non-external -[WatchMonitor init]
00000001aca0d550 (__TEXT,__text) non-external -[WatchMonitor lastActivation]
00000001aca0d548 (__TEXT,__text) non-external -[WatchMonitor queue]
00000001aca0d498 (__TEXT,__text) non-external -[WatchMonitor registerObserver:]
00000001aca0d540 (__TEXT,__text) non-external -[WatchMonitor setApproveDiscovery:]
00000001aca0d558 (__TEXT,__text) non-external -[WatchMonitor setLastActivation:]
00000001aca0c4d8 (__TEXT,__text) non-external -[WatchMonitor start]
00000001aca34a54 (__TEXT,__text) non-external -[WatchMonitor start].cold.1
00000001aca0d4a0 (__TEXT,__text) non-external -[WatchMonitor unregisterObserver:]
00000001aca48cf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001aca49420 (__TEXT,__gcc_except_tab) non-external GCC_except_table103
00000001aca49430 (__TEXT,__gcc_except_tab) non-external GCC_except_table104
00000001aca49444 (__TEXT,__gcc_except_tab) non-external GCC_except_table105
00000001aca49458 (__TEXT,__gcc_except_tab) non-external GCC_except_table108
00000001aca49468 (__TEXT,__gcc_except_tab) non-external GCC_except_table109
00000001aca48b1c (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001aca49478 (__TEXT,__gcc_except_tab) non-external GCC_except_table111
00000001aca49488 (__TEXT,__gcc_except_tab) non-external GCC_except_table117
00000001aca489a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001aca48a84 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001aca48d48 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001aca49498 (__TEXT,__gcc_except_tab) non-external GCC_except_table143
00000001aca494a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table144
00000001aca494b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table145
00000001aca494c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table146
00000001aca494d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table147
00000001aca494e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table148
00000001aca48d7c (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001aca494f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table150
00000001aca48b3c (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001aca48de0 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001aca48a44 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001aca48e14 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001aca489b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001aca48ab0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001aca48b64 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001aca48e58 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001aca491f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001aca49508 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001aca49298 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001aca4952c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001aca4955c (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001aca492c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001aca49344 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001aca4959c (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00000001aca48900 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001aca48b80 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001aca496b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001aca495d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001aca49354 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001aca49620 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001aca4939c (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001aca493bc (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00000001aca4966c (__TEXT,__gcc_except_tab) non-external GCC_except_table39
00000001aca48a70 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001aca48be8 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001aca496f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001aca4967c (__TEXT,__gcc_except_tab) non-external GCC_except_table40
00000001aca49690 (__TEXT,__gcc_except_tab) non-external GCC_except_table41
00000001aca4973c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001aca48ac0 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001aca49764 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001aca496a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00000001aca48c58 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001aca493e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table89
00000001aca489ec (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001aca48cb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001aca493f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table90
00000001aca4940c (__TEXT,__gcc_except_tab) non-external GCC_except_table91
00000001aca1985c (__TEXT,__text) external _ACMContextAddCredential
00000001aca39e8c (__TEXT,__text) external _ACMContextAddCredentialWithScope
00000001aca19afc (__TEXT,__text) external _ACMContextContainsCredentialType
00000001aca19bdc (__TEXT,__text) external _ACMContextContainsCredentialTypeEx
00000001aca3ab70 (__TEXT,__text) external _ACMContextContainsPassphraseCredentialWithPurpose
00000001aca1bc24 (__TEXT,__text) external _ACMContextCopyData
00000001aca18c5c (__TEXT,__text) external _ACMContextCreate
00000001aca18ea8 (__TEXT,__text) external _ACMContextCreateWithExternalForm
00000001aca18c64 (__TEXT,__text) external _ACMContextCreateWithFlags
00000001aca1b3bc (__TEXT,__text) external _ACMContextCredentialGetProperty
00000001aca190d0 (__TEXT,__text) external _ACMContextDelete
00000001aca1b8fc (__TEXT,__text) external _ACMContextGetData
00000001aca3b4c4 (__TEXT,__text) external _ACMContextGetDataEx
00000001aca1ba8c (__TEXT,__text) external _ACMContextGetDataProperty
00000001aca19310 (__TEXT,__text) external _ACMContextGetExternalForm
00000001aca1c94c (__TEXT,__text) non-external _ACMContextGetExternalForm.cold.1
00000001aca1bdec (__TEXT,__text) external _ACMContextGetInfo
00000001aca1a504 (__TEXT,__text) external _ACMContextGetTrackingNumber
00000001aca1993c (__TEXT,__text) external _ACMContextRemoveCredentialsByType
00000001aca3a078 (__TEXT,__text) external _ACMContextRemoveCredentialsByTypeAndScope
00000001aca19a1c (__TEXT,__text) external _ACMContextRemoveCredentialsByValue
00000001aca3a284 (__TEXT,__text) external _ACMContextRemoveCredentialsByValueAndScope
00000001aca3a76c (__TEXT,__text) external _ACMContextRemovePassphraseCredentialsByPurposeAndScope
00000001aca3a978 (__TEXT,__text) external _ACMContextReplacePassphraseCredentialsWithScope
00000001aca1b594 (__TEXT,__text) external _ACMContextSetData
00000001aca1b734 (__TEXT,__text) external _ACMContextSetDataEx
00000001aca1a438 (__TEXT,__text) external _ACMContextVerifyAclConstraint
00000001aca1a498 (__TEXT,__text) external _ACMContextVerifyAclConstraintForOperation
00000001aca19d7c (__TEXT,__text) external _ACMContextVerifyPolicy
00000001aca1a0cc (__TEXT,__text) external _ACMContextVerifyPolicyEx
00000001aca19f1c (__TEXT,__text) external _ACMContextVerifyPolicyWithPreflight
00000001aca1b228 (__TEXT,__text) external _ACMCredentialCreate
00000001aca1b22c (__TEXT,__text) external _ACMCredentialDelete
00000001aca3ad88 (__TEXT,__text) external _ACMCredentialGetProperty
00000001aca1a920 (__TEXT,__text) external _ACMCredentialGetPropertyData
00000001aca1b230 (__TEXT,__text) external _ACMCredentialGetType
00000001aca1b234 (__TEXT,__text) external _ACMCredentialSetProperty
00000001aca1c014 (__TEXT,__text) external _ACMDecryptData
00000001aca1c090 (__TEXT,__text) external _ACMDecryptDataEx
00000001aca1bfc8 (__TEXT,__text) external _ACMEncryptData
00000001aca1c060 (__TEXT,__text) external _ACMEncryptDataEx
00000001aca1a928 (__TEXT,__text) external _ACMGetAclAuthMethod
00000001aca1ae24 (__TEXT,__text) external _ACMGetEnvironmentVariable
00000001aca3a470 (__TEXT,__text) external _ACMGlobalContextAddCredential
00000001aca1b244 (__TEXT,__text) external _ACMGlobalContextCredentialGetProperty
00000001aca3a5f4 (__TEXT,__text) external _ACMGlobalContextRemoveCredentialsByType
00000001aca1a270 (__TEXT,__text) external _ACMGlobalContextVerifyPolicy
00000001aca1afc8 (__TEXT,__text) external _ACMKernelControl
00000001aca1a510 (__TEXT,__text) external _ACMParseAclAndCopyConstraintCharacteristics
00000001aca1bf8c (__TEXT,__text) external _ACMPing
00000001aca1b240 (__TEXT,__text) external _ACMRequirementGetPriority
00000001aca3b250 (__TEXT,__text) external _ACMRequirementGetProperties
00000001aca3b0e4 (__TEXT,__text) external _ACMRequirementGetProperty
00000001aca1a924 (__TEXT,__text) external _ACMRequirementGetPropertyData
00000001aca1b23c (__TEXT,__text) external _ACMRequirementGetState
00000001aca3aef4 (__TEXT,__text) external _ACMRequirementGetSubrequirements
00000001aca1b238 (__TEXT,__text) external _ACMRequirementGetType
00000001aca1b184 (__TEXT,__text) external _ACMSEPControl
00000001aca1b1d4 (__TEXT,__text) external _ACMSEPControlEx
00000001aca1aa98 (__TEXT,__text) external _ACMSetEnvironmentVariable
00000001aca1ac50 (__TEXT,__text) external _ACMSetEnvironmentVariableWithAccessPolicy
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
00000001aca36658 (__TEXT,__text) external _CompareCredentials
00000001aca365c4 (__TEXT,__text) external _CopyCredential
                 (undefined) weak external _DFRGetScreenSize (from DFRFoundation)
                 (undefined) weak external _DFRGetStatus (from DFRFoundation)
                 (undefined) weak external _DFRRegisterStatusChangeCallback (from DFRFoundation)
00000001aca41df0 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionNumber
00000001aca41db0 (__TEXT,__const) non-external (was a private external) _DaemonUtilsVersionString
00000001aca36c44 (__TEXT,__text) external _DeallocCredentialList
00000001aca16e4c (__TEXT,__text) external _DeserializeAddCredential
00000001aca36948 (__TEXT,__text) external _DeserializeAddCredentialType
00000001aca36410 (__TEXT,__text) external _DeserializeCredential
00000001aca36b24 (__TEXT,__text) external _DeserializeCredentialList
00000001aca36d44 (__TEXT,__text) external _DeserializeGetContextProperty
00000001aca16ac4 (__TEXT,__text) external _DeserializeProcessAcl
00000001aca16f0c (__TEXT,__text) external _DeserializeRemoveCredential
00000001aca16f10 (__TEXT,__text) external _DeserializeReplacePassphraseCredential
00000001aca360e8 (__TEXT,__text) external _DeserializeRequirement
00000001aca167a0 (__TEXT,__text) external _DeserializeVerifyAclConstraint
00000001aca35848 (__TEXT,__text) external _DeserializeVerifyPolicy
00000001aca36818 (__TEXT,__text) external _GetSerializedAddCredentialSize
00000001aca36328 (__TEXT,__text) external _GetSerializedCredentialSize
00000001aca36cf0 (__TEXT,__text) external _GetSerializedGetContextPropertySize
00000001aca35c60 (__TEXT,__text) external _GetSerializedProcessAclSize
00000001aca369c8 (__TEXT,__text) external _GetSerializedRemoveCredentialSize
00000001aca36a1c (__TEXT,__text) external _GetSerializedReplacePassphraseCredentialSize
00000001aca35e48 (__TEXT,__text) external _GetSerializedRequirementSize
00000001aca35a28 (__TEXT,__text) external _GetSerializedVerifyAclConstraintSize
00000001aca356b0 (__TEXT,__text) external _GetSerializedVerifyPolicySize
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectCallStructMethod (from IOKit)
                 (undefined) external _IOHIDEventGetIntegerValue (from IOKit)
                 (undefined) external _IOHIDEventGetPhase (from IOKit)
                 (undefined) external _IOHIDEventGetType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientActivate (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCancel (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCreateWithType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientRegisterEventCallback (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetDispatchQueue (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetProperty (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterDeviceMatchingBlock (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterEventCallback (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
00000001aca0be08 (__TEXT,__text) external _LAAnalyticsAuthenticationTypeFromEvent
                 (undefined) external _LACPolicyOptionSecureUIRecording (from LocalAuthenticationCore)
                 (undefined) external _LALogForCategory (from SharedUtils)
                 (undefined) external _LALogForPolicy (from SharedUtils)
00000001aca0a21c (__TEXT,__text) non-external _LA_LOG
00000001aca0b2e0 (__TEXT,__text) non-external _LA_LOG
00000001aca0dafc (__TEXT,__text) non-external _LA_LOG
00000001aca0f17c (__TEXT,__text) non-external _LA_LOG
00000001aca104fc (__TEXT,__text) non-external _LA_LOG
00000001aca13c98 (__TEXT,__text) non-external _LA_LOG
00000001aca1521c (__TEXT,__text) non-external _LA_LOG
00000001aca34828 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca34984 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca34c6c (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca34d68 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca34f84 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca35198 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001aca352c0 (__TEXT,__text) non-external _LA_LOG.cold.1
00000001ed748978 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed748980 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed748988 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed748990 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed748998 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed7489a0 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed7489a8 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed7489b0 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed7489b8 (__DATA_DIRTY,__bss) non-external _LA_LOG.log
00000001ed748930 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748938 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748940 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748948 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748950 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748958 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748960 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748968 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001ed748970 (__DATA_DIRTY,__bss) non-external _LA_LOG.once
00000001eb7495a0 (__DATA,__bss) non-external _LA_LOG_Caller.log
00000001eb749598 (__DATA,__bss) non-external _LA_LOG_Caller.once
00000001aca14f28 (__TEXT,__text) non-external _LA_LOG_INTERACTIVE
