00000001a41b7d90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a41a5a00 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a41a6020 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a41a5c8c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a41a6038 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a41a6030 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a41a5fa4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a41a6028 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a41a6010 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a41b6fa8 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a41b6fa0 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a41b6f98 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a41b6c68 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a41b6cfc (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a41b6f90 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a41b6be8 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a41b6b98 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a41b6bd4 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a41b6b0c (__TEXT,__text) non-external -[SPProvenanceMetadata description]
00000001a41b69f0 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a41b680c (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a41b6ac4 (__TEXT,__text) non-external -[SPProvenanceMetadata redactedDescription]
00000001a41b6b70 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a41b6ba0 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a41b6bdc (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a41b6b78 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a41b6bc8 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a41b6bb4 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a41b6b64 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a41b6b8c (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a41b6bc0 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a41b6bac (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a41b6b5c (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a41b6b84 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a41a7f08 (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a41a7bdc (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a41a7e00 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a41a7d14 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a41a7c28 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a41a7eec (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a41a7a5c (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a41a6834 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a41a6818 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a41a682c (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a41a632c (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a41a60a8 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a41a6824 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a41bdb90 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a41bdc18 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a41bdbc8 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a41bdbf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a41bdbb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a41bdc28 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a41b7b70 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a41b7998 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001d6a97530 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a41b2db0 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001de1291e8 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001d7f0d168 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001d7f0d780 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001d7f0d320 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001d7f0d820 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001d7f0d7a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001d7f0d2a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001d7f0d398 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001d7f0d578 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001d7f0d230 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001d7f0d668 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001d7f0d848 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001d7f0d438 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001d7f0d4d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001d7f0d348 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001d7f0d1b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001d7f0d618 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001d7f0d488 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001d7f0d528 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001d7f0d078 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001d7f0d0a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001d7f0d3e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001d7f0d5c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001d7f0d708 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001d7f0d6b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001d7f0d258 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001d7f0d118 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001d6a970ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001d6a970b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001d6a970b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001d6a97248 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001d6a97244 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001d6a9724c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001d6a970dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001d6a970e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001d6a970e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001d6a970f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001d6a970d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001d6a970e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001d6a970ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001d6a97114 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001d6a97118 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001d6a970c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001d6a970c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001d6a970b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001d6a970bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001d6a970c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001d6a970cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001d6a971a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001d6a971d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001d6a971c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001d6a971cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001d6a971e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001d6a971e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001d6a971ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001d6a971b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001d6a971b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001d6a971f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001d6a971a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001d6a971d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001d6a97210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001d6a971d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001d6a97204 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001d6a97200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001d6a9720c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001d6a97208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001d6a971c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001d6a971b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001d6a971ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001d6a9719c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001d6a971c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001d6a97198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001d6a97218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001d6a971fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001d6a971f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001d6a971e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001d6a971dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001d6a971f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001d6a97214 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001d6a971bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001d6a971a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001d6a97194 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001d6a97254 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001d6a97250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001d6a9712c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001d6a97134 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001d6a9711c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001d6a97138 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001d6a97120 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001d6a97130 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001d6a97124 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001d6a97128 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001d6a97158 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001d6a97154 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001d6a9715c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001d6a97160 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001d6a97110 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001d6a97100 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001d6a970f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001d6a9710c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001d6a97104 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001d6a97108 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001d6a970f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001d6a970fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001d6a9718c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001d6a97188 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001d6a97190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001d6a97140 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001d6a9713c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001d6a97178 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001d6a97180 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001d6a97170 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001d6a97168 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001d6a97164 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001d6a9716c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001d6a97184 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001d6a97174 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001d6a9717c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001d6a9714c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001d6a97144 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001d6a97148 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001d6a97150 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001d6a97068 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001d6a9706c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001d6a97078 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001d6a9707c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001d6a97088 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001d6a97080 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001d6a97074 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001d6a97070 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001d6a97084 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001d6a97240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001d6a9723c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001d6a97238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001d6a97228 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.bundleID
00000001d6a97234 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.cdhash
00000001d6a97220 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.rootID
00000001d6a97230 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.signingID
00000001d6a9722c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.teamID
00000001d6a9721c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.uniqueID
00000001d6a97224 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.url
00000001d6a970d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._connection
00000001d6a970d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._interface
00000001d6a97094 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001d6a9709c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001d6a97090 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001d6a970a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001d6a970a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001d6a970a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001d6a97098 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001d6a9708c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001d7f0d190 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001d7f0d758 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001d7f0d2f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001d7f0d7f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001d7f0d7d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001d7f0d2d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001d7f0d3c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001d7f0d5a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d7f0d208 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001d7f0d690 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001d7f0d870 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001d7f0d460 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001d7f0d500 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
00000001d7f0d370 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicyItem
00000001d7f0d1e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPFilePolicy
00000001d7f0d640 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPInstallationPolicy
00000001d7f0d4b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistory
