00007ff80df1bd02 (__TEXT,__text) non-external _Annihilate
00007ff80df29995 (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80df2997f (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80df2f3f8 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80df2f12e (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff80df2f044 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff80df2fa53 (__TEXT,__text) non-external _is_image_valid
00007ff80df2259e (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80df862f0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80df679e0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80df67a40 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8423fc830 (__DATA,__const) non-external _kBrotliDictionary
00007ff80df682c0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80df67920 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80df67980 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80dfc5bc0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80df87e70 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8423fd100 (__DATA,__const) non-external _kBrotliTransforms
00007ff80df680a0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80df86430 (__TEXT,__const) non-external _kCmdLut
00007ff80dfb9990 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80df863f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80dfb9970 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80df86410 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80df86420 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80df87d30 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80df87cf0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80df88520 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80df88560 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80df87c30 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80df87c10 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80df87ca0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80df87c80 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80dfba4e0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80dfb99e0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80dfb7540 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80dfb7620 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80df67820 (__TEXT,__const) non-external _kReverseBits
00007ff80dfbbda0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80dfbbae0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80df885d0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80dfd63d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80dfc63d0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80df985d0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80dfbc360 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80dfbc320 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80dfb7690 (__TEXT,__const) non-external _kTransformsData
00007ff80dfb8370 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80dfb7870 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80df06688 (__TEXT,__text) non-external _longest_match
00007ff80dfc1230 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80df221dc (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80df2c84d (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80df2c842 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80df0c410 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80df0bf80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80df0bdc7 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80df0d36f (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80df0d1b6 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80df42d34 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80df42d94 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80df42d89 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80df42d7e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80df42d57 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80df42630 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80df426e5 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80df2d111 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80df2d01f (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80df27e78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80df3eed7 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80df3da4f (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80df3ef1a (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80df3b868 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80df3eef3 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80df3d96d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80df3ef25 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80df3b72d (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80df353d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80df3ee87 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80df2aad2 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80df3eea3 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80df3eeca (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80df2aab8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80dfc2270 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80df3b772 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80dfc1a70 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80df3b9a2 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80df3ef32 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80dfc3270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80dfc1270 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80df644ad (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80df0891c (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80df0c5ee (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80df640f2 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80df644ec (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80df63f23 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80df63f8e (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80df64872 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80df63f4c (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80df6405a (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80df64591 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80df08694 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80df085c2 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80df353c7 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80df566bf (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80df56629 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80df56618 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80df0a3f4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80df2df61 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80df2ddb4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80df2df56 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80df2ec65 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff8423fc900 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80df0a02f (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80df46d3f (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80df46d0b (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80df87e30 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80df87e50 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80df09f22 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80df2c1b0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80df2c1a6 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80df2c17d (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80df2c13c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80df0859a (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80df0866e (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff80df35dfa (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff80df35dc0 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff80df672fa (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80df3d8cb (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80df3d8c3 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80df3d92b (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80df3d923 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff80df883b0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80df08572 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80df66cae (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80dfc63c0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80df08424 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80df084e2 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80df6685b (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff80df66be6 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff80df09ae3 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8423fc030 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80df3df7c (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80df3df00 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80df1c61e (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80df1c58d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80df1c582 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80df21aae (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80df219d8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80df219c7 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff8423fd300 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80df0a4c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80df0a494 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80df3eb2d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80df3eb6b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80df3eb13 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80df3d841 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80df3d8b9 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80df3d8af (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80df3d886 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80df3d864 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80df3d7f3 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80df3d81b (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80df463de (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80df463d3 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80df5dfce (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80df15554 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80df14f9c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80df1515b (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80df15240 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80df35cd0 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80dfbc660 (__TEXT,__const) non-external _position_slot_base_position
00007ff80dfbc5e0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80df076c6 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80df5fd97 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80df0b534 (__TEXT,__text) non-external _readHuffmanTable
00007ff80df35c24 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80df0468b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80df077ac (__TEXT,__text) non-external _scan_tree
00007ff80df0789f (__TEXT,__text) non-external _send_tree
00007ff80df3ee4e (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff80df3edd8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff80df3edef (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff80df3eda3 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff80df42d9f (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff80df42fb1 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff80df3015b (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff80df306ea (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff80df29374 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff80df29593 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80df45fec (__TEXT,__text) non-external _staticHuffmanTable
00007ff8423fd2e0 (__DATA,__data) non-external _static_bl_desc
00007ff8423fd2c0 (__DATA,__data) non-external _static_d_desc
00007ff80dfc4a30 (__TEXT,__const) non-external _static_dtree
00007ff8423fd2a0 (__DATA,__data) non-external _static_l_desc
00007ff80dfc45b0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff8423fd200 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80df1c2a3 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80df1c4c5 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80df1c3c8 (__TEXT,__text) non-external _thread_pool_entry
00007ff80df1c0f5 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80df1c212 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff80df5de3d (__TEXT,__text) external _touchpadCodecCreate
00007ff80df1c863 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff80df5df81 (__TEXT,__text) external _touchpadCodecDestroy
00007ff80df66cbf (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff80df5d57d (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff80df35c7c (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80dfc5b76 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff80dfc5b70 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff80df66c42 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff80df66bf1 (__TEXT,__text) non-external _xz_simple_crc32
00007ff80df56ae9 (__TEXT,__text) external _yzip_codec_create
00007ff80df56b17 (__TEXT,__text) external _yzip_codec_destroy
00007ff80df56b3c (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80df2f280 (__TEXT,__text) external _yzip_image_create
00007ff80df2f3d0 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80df2fbe5 (__TEXT,__text) external _yzip_image_decode
00007ff80df2f51d (__TEXT,__text) external _yzip_image_destroy
00007ff80df2f527 (__TEXT,__text) external _yzip_image_encode
00007ff80df2fe30 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80df2fee6 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80df2fe95 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80df2ff69 (__TEXT,__text) external _yzip_image_set_data
00007ff80df3014e (__TEXT,__text) external _yzip_image_set_identifier
00007ff80df30076 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80df29fad (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80df29ea1 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80df29c14 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80df2aa36 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80df2a49f (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80df2a99a (__TEXT,__text) non-external _yzip_jobs_process
00007ff80df29bb8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80df5f639 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80df5e33c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff80df5e24d (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff80df5e3a3 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80df5edf7 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80df0d19c (__TEXT,__text) non-external (was a private external) _zError
00007ff8423fbfe0 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80df04999 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80df08373 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80df0c7ec (__TEXT,__text) external _zero_coder_decode
00007ff80df0c8f4 (__TEXT,__text) external _zero_coder_encode
00007ff80df0ca1a (__TEXT,__text) non-external _zero_coder_init_luts
00007ff8423fdb10 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff8423fdc10 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff8423fe410 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff8423fdb00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80df0d191 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80df0a7ff (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80df0ade4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80dfbc480 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80dfbc440 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80df0d184 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80df45e5b (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80df45e50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80df1ce7e (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80df1ce73 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80df3ed9d (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80df3ed75 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80df08401 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80df463b0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80df463a8 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80df463bb (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80df463a0 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80df045c5 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80df0526e (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80df0db4b (__TEXT,__text) non-external n_loop
00007ff80df0de3a (__TEXT,__text) non-external scalar_loop
00007ff80df0db30 (__TEXT,__text) non-external skip_loading_tables
00007ff8423fd250 (__DATA,__data) non-external sum2_coefficients
00007ff8423fd220 (__DATA,__data) non-external sum2_coefficients_nossse3
