00000002683c2888 (__TEXT,__text) non-external _Done_iODBC
000000027bbf4cc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000027bbf4d08 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000027bbf4a08 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000027bbf4d30 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000027bbf4248 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
000000027bbf3e50 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000027bbf4268 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000027bbf3f18 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000027bbf3f38 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000027bbf3fe8 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000027bbf42e8 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000027bbf4298 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000027bbf3c50 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00000002683da398 (__TEXT,__text) non-external __trace_bufferlen
00000002683d99ec (__TEXT,__text) non-external __trace_c_type
00000002683d6698 (__TEXT,__text) non-external __trace_colattr2_type
00000002683d6a28 (__TEXT,__text) non-external __trace_colattr3_data
00000002683d66f0 (__TEXT,__text) non-external __trace_colattr3_type
00000002683d2728 (__TEXT,__text) non-external __trace_connattr_type
00000002683da6f4 (__TEXT,__text) non-external __trace_connopt_type
00000002683dc940 (__TEXT,__text) non-external __trace_connstr
00000002683dcc70 (__TEXT,__text) non-external __trace_connstr_hidepwd
00000002683dcba8 (__TEXT,__text) non-external __trace_connstr_w
00000002683dbb44 (__TEXT,__text) non-external __trace_data
00000002683d2a24 (__TEXT,__text) non-external __trace_desc_null
00000002683d5f58 (__TEXT,__text) non-external __trace_descfield_type
00000002683db7c4 (__TEXT,__text) non-external __trace_diag_type
00000002683d82d4 (__TEXT,__text) non-external __trace_direction
00000002683dca50 (__TEXT,__text) non-external __trace_drvcn_completion
00000002683d3440 (__TEXT,__text) non-external __trace_envattr_type
00000002683d3ccc (__TEXT,__text) non-external __trace_fetchtype
00000002683dd22c (__TEXT,__text) non-external __trace_freestmt_option
00000002683d7908 (__TEXT,__text) non-external __trace_func_name
00000002683d783c (__TEXT,__text) non-external __trace_func_result
00000002683d3f60 (__TEXT,__text) non-external __trace_getinfo
00000002683d9304 (__TEXT,__text) non-external __trace_handle
00000002683d9290 (__TEXT,__text) non-external __trace_handle_p
00000002683d922c (__TEXT,__text) non-external __trace_handletype
00000002683d9d68 (__TEXT,__text) non-external __trace_inouttype
00000002683d93c8 (__TEXT,__text) non-external __trace_integer
00000002683d9568 (__TEXT,__text) non-external __trace_integer_p
00000002683d969c (__TEXT,__text) non-external __trace_len
00000002683d9704 (__TEXT,__text) non-external __trace_len_p
00000002683d9438 (__TEXT,__text) non-external __trace_pointer
00000002683d904c (__TEXT,__text) non-external __trace_print_function
00000002683d3dd8 (__TEXT,__text) non-external __trace_scrollopt_type
00000002683d3afc (__TEXT,__text) non-external __trace_setpos_irow
00000002683d3b8c (__TEXT,__text) non-external __trace_setpos_lock
00000002683d3b34 (__TEXT,__text) non-external __trace_setpos_oper
00000002683d9358 (__TEXT,__text) non-external __trace_smallint
00000002683d9480 (__TEXT,__text) non-external __trace_smallint_p
00000002683d3734 (__TEXT,__text) non-external __trace_spcols_null
00000002683d36dc (__TEXT,__text) non-external __trace_spcols_scope
00000002683d367c (__TEXT,__text) non-external __trace_spcols_type
00000002683da2bc (__TEXT,__text) non-external __trace_sql_subtype
00000002683d9dd0 (__TEXT,__text) non-external __trace_sql_type
00000002683d9ff8 (__TEXT,__text) non-external __trace_sql_type_p
00000002683dceec (__TEXT,__text) non-external __trace_stats_accuracy
00000002683dce8c (__TEXT,__text) non-external __trace_stats_unique
00000002683daab0 (__TEXT,__text) non-external __trace_stmtattr_type
00000002683db40c (__TEXT,__text) non-external __trace_stmtopt_type
00000002683d97ec (__TEXT,__text) non-external __trace_string
00000002683d98d0 (__TEXT,__text) non-external __trace_string_w
00000002683d9650 (__TEXT,__text) non-external __trace_stringlen
000000027bbf4e30 (__DATA_CONST,__const) non-external __trace_sym_handletype
00000002683dc22c (__TEXT,__text) non-external __trace_tran_completion
00000002683dc570 (__TEXT,__text) non-external __trace_typeinfo
00000002683d9400 (__TEXT,__text) non-external __trace_uinteger
00000002683d95dc (__TEXT,__text) non-external __trace_uinteger_p
00000002683d96d0 (__TEXT,__text) non-external __trace_ulen
00000002683d9778 (__TEXT,__text) non-external __trace_ulen_p
00000002683d9390 (__TEXT,__text) non-external __trace_usmallint
00000002683d94f4 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
0000000280cc0ce2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002683de270 (__TEXT,__text) non-external _dm_SQL_A2W
00000002683de7f8 (__TEXT,__text) non-external _dm_SQL_U8toW
00000002683de1e4 (__TEXT,__text) non-external _dm_SQL_W2A
00000002683de53c (__TEXT,__text) non-external _dm_SQL_WtoU8
00000002683de2fc (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00000002683dea30 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00000002683de3c0 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00000002683de484 (__TEXT,__text) non-external _dm_strcpy_A2W
00000002683de4e0 (__TEXT,__text) non-external _dm_strcpy_W2A
00000002683dfef8 (__TEXT,__text) non-external _do_create_dsns
0000000280cc0ca0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
0000000280cc0c80 (__DATA,__common) non-external _ierror
00000002683e004c (__TEXT,__text) non-external _install_from_ini
00000002683e0524 (__TEXT,__text) non-external _install_from_string
0000000280cc06e8 (__DATA,__data) external _iodbc_version
0000000280cc0bc0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000280cc0c08 (__DATA,__data) non-external _numerrors
0000000280cc06f0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000280cc0c10 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00000002683e0720 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000027bbf30c0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
0000000280cc0c50 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00000002683d5808 (__TEXT,__text) non-external _trace_SQLAllocConnect
00000002683da628 (__TEXT,__text) non-external _trace_SQLAllocEnv
00000002683d64c8 (__TEXT,__text) non-external _trace_SQLAllocHandle
00000002683d81d0 (__TEXT,__text) non-external _trace_SQLAllocStmt
00000002683d6418 (__TEXT,__text) non-external _trace_SQLBindCol
00000002683d7094 (__TEXT,__text) non-external _trace_SQLBindParameter
00000002683da478 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00000002683da550 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000002683d35e0 (__TEXT,__text) non-external _trace_SQLBulkOperations
00000002683dba94 (__TEXT,__text) non-external _trace_SQLCancel
00000002683d828c (__TEXT,__text) non-external _trace_SQLCloseCursor
00000002683d6968 (__TEXT,__text) non-external _trace_SQLColAttribute
00000002683d6de8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00000002683d6ea8 (__TEXT,__text) non-external _trace_SQLColAttributes
00000002683d6f74 (__TEXT,__text) non-external _trace_SQLColAttributesW
00000002683db58c (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00000002683db6a8 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00000002683d5900 (__TEXT,__text) non-external _trace_SQLColumns
00000002683d5a1c (__TEXT,__text) non-external _trace_SQLColumnsW
00000002683dae7c (__TEXT,__text) non-external _trace_SQLConnect
00000002683daf68 (__TEXT,__text) non-external _trace_SQLConnectW
00000002683d3c74 (__TEXT,__text) non-external _trace_SQLCopyDesc
00000002683d835c (__TEXT,__text) non-external _trace_SQLDataSources
00000002683d845c (__TEXT,__text) non-external _trace_SQLDataSourcesW
00000002683d2ab8 (__TEXT,__text) non-external _trace_SQLDescribeCol
00000002683d2bc4 (__TEXT,__text) non-external _trace_SQLDescribeColW
00000002683db4cc (__TEXT,__text) non-external _trace_SQLDescribeParam
00000002683d8244 (__TEXT,__text) non-external _trace_SQLDisconnect
00000002683dc840 (__TEXT,__text) non-external _trace_SQLDriverConnect
00000002683dcaa8 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00000002683d7364 (__TEXT,__text) non-external _trace_SQLDrivers
00000002683d7464 (__TEXT,__text) non-external _trace_SQLDriversW
00000002683d57a0 (__TEXT,__text) non-external _trace_SQLEndTran
00000002683d2f40 (__TEXT,__text) non-external _trace_SQLError
00000002683d3040 (__TEXT,__text) non-external _trace_SQLErrorW
00000002683d7f6c (__TEXT,__text) non-external _trace_SQLExecDirect
00000002683d7ff0 (__TEXT,__text) non-external _trace_SQLExecDirectW
00000002683d3634 (__TEXT,__text) non-external _trace_SQLExecute
00000002683d3d30 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00000002683d8664 (__TEXT,__text) non-external _trace_SQLFetch
00000002683da68c (__TEXT,__text) non-external _trace_SQLFetchScroll
00000002683db054 (__TEXT,__text) non-external _trace_SQLForeignKeys
00000002683db1d4 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00000002683db3c4 (__TEXT,__text) non-external _trace_SQLFreeConnect
00000002683d3ab4 (__TEXT,__text) non-external _trace_SQLFreeEnv
00000002683d574c (__TEXT,__text) non-external _trace_SQLFreeHandle
00000002683dd284 (__TEXT,__text) non-external _trace_SQLFreeStmt
00000002683d28dc (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00000002683d2980 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00000002683da910 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00000002683da978 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000002683d6550 (__TEXT,__text) non-external _trace_SQLGetCursorName
00000002683d65f4 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00000002683dc120 (__TEXT,__text) non-external _trace_SQLGetData
00000002683d62b8 (__TEXT,__text) non-external _trace_SQLGetDescField
00000002683d6368 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00000002683d2cd0 (__TEXT,__text) non-external _trace_SQLGetDescRec
00000002683d2e08 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00000002683db920 (__TEXT,__text) non-external _trace_SQLGetDiagField
00000002683db9e4 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00000002683d3250 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00000002683d3348 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000002683d34cc (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00000002683d7ef4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00000002683d3eb0 (__TEXT,__text) non-external _trace_SQLGetInfo
00000002683d53fc (__TEXT,__text) non-external _trace_SQLGetInfoW
00000002683dad48 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00000002683dadec (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00000002683db464 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00000002683dc798 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00000002683dc7ec (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00000002683dc1e4 (__TEXT,__text) non-external _trace_SQLMoreResults
00000002683d5d80 (__TEXT,__text) non-external _trace_SQLNativeSql
00000002683d5e6c (__TEXT,__text) non-external _trace_SQLNativeSqlW
00000002683d5b38 (__TEXT,__text) non-external _trace_SQLNumParams
00000002683db354 (__TEXT,__text) non-external _trace_SQLNumResultCols
00000002683d7040 (__TEXT,__text) non-external _trace_SQLParamData
00000002683d587c (__TEXT,__text) non-external _trace_SQLParamOptions
00000002683dd2d8 (__TEXT,__text) non-external _trace_SQLPrepare
00000002683dd35c (__TEXT,__text) non-external _trace_SQLPrepareW
00000002683d7564 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00000002683d7650 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00000002683d54ac (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000002683d55c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00000002683d718c (__TEXT,__text) non-external _trace_SQLProcedures
00000002683d7278 (__TEXT,__text) non-external _trace_SQLProceduresW
00000002683dbadc (__TEXT,__text) non-external _trace_SQLPutData
00000002683d3570 (__TEXT,__text) non-external _trace_SQLRowCount
00000002683dcda4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00000002683dce18 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00000002683da9e0 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00000002683daa48 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00000002683d855c (__TEXT,__text) non-external _trace_SQLSetCursorName
00000002683d85e0 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00000002683d3140 (__TEXT,__text) non-external _trace_SQLSetDescField
00000002683d31c8 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00000002683d773c (__TEXT,__text) non-external _trace_SQLSetDescRec
00000002683d8074 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00000002683d3be4 (__TEXT,__text) non-external _trace_SQLSetPos
00000002683d3e3c (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000002683d80e8 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00000002683d815c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00000002683d56e4 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00000002683d3794 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00000002683d3924 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00000002683dcf4c (__TEXT,__text) non-external _trace_SQLStatistics
00000002683dd0bc (__TEXT,__text) non-external _trace_SQLStatisticsW
00000002683d5ba8 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00000002683d5c94 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00000002683dc338 (__TEXT,__text) non-external _trace_SQLTables
00000002683dc454 (__TEXT,__text) non-external _trace_SQLTablesW
00000002683dc290 (__TEXT,__text) non-external _trace_SQLTransact
0000000280cc0c40 (__DATA,__bss) non-external _trace_appname
00000002683d8c20 (__TEXT,__text) non-external _trace_emit
00000002683d8e9c (__TEXT,__text) non-external _trace_emit_binary
00000002683d8c88 (__TEXT,__text) non-external _trace_emit_string
00000002683d8c6c (__TEXT,__text) non-external _trace_emitc
0000000280cc0c48 (__DATA,__bss) non-external _trace_fname
0000000280cc0c60 (__DATA,__bss) non-external _trace_fp
0000000280cc0c68 (__DATA,__bss) non-external _trace_fp_close
00000002683d86e8 (__TEXT,__text) non-external _trace_get_filename
00000002683d86ac (__TEXT,__text) non-external _trace_set_appname
00000002683d86f4 (__TEXT,__text) non-external _trace_set_filename
00000002683d89c8 (__TEXT,__text) non-external _trace_start
00000002683d8b6c (__TEXT,__text) non-external _trace_stop
00000002683d8950 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00000002683de9b4 (__TEXT,__text) non-external _utf8_len
00000002683dead4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000280cc0ce0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
