0000000209205a0c (__TEXT,__text) non-external _Done_iODBC
0000000213b6a460 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000213b6a510 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000213b6a810 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000213b6a7c0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000213b6a178 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020921d534 (__TEXT,__text) non-external __trace_bufferlen
000000020921cbf4 (__TEXT,__text) non-external __trace_c_type
0000000209219800 (__TEXT,__text) non-external __trace_colattr2_type
0000000209219bc0 (__TEXT,__text) non-external __trace_colattr3_data
0000000209219860 (__TEXT,__text) non-external __trace_colattr3_type
00000002092157b8 (__TEXT,__text) non-external __trace_connattr_type
000000020921d8a8 (__TEXT,__text) non-external __trace_connopt_type
000000020921fb50 (__TEXT,__text) non-external __trace_connstr
000000020921fe80 (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020921fdb8 (__TEXT,__text) non-external __trace_connstr_w
000000020921ed40 (__TEXT,__text) non-external __trace_data
0000000209215ac4 (__TEXT,__text) non-external __trace_desc_null
0000000209219094 (__TEXT,__text) non-external __trace_descfield_type
000000020921e9b0 (__TEXT,__text) non-external __trace_diag_type
000000020921b4e0 (__TEXT,__text) non-external __trace_direction
000000020921fc50 (__TEXT,__text) non-external __trace_drvcn_completion
0000000209216520 (__TEXT,__text) non-external __trace_envattr_type
0000000209216de4 (__TEXT,__text) non-external __trace_fetchtype
0000000209220454 (__TEXT,__text) non-external __trace_freestmt_option
000000020921ab0c (__TEXT,__text) non-external __trace_func_name
000000020921aa40 (__TEXT,__text) non-external __trace_func_result
0000000209217088 (__TEXT,__text) non-external __trace_getinfo
000000020921c50c (__TEXT,__text) non-external __trace_handle
000000020921c498 (__TEXT,__text) non-external __trace_handle_p
000000020921c438 (__TEXT,__text) non-external __trace_handletype
000000020921cf6c (__TEXT,__text) non-external __trace_inouttype
000000020921c5d0 (__TEXT,__text) non-external __trace_integer
000000020921c770 (__TEXT,__text) non-external __trace_integer_p
000000020921c8a4 (__TEXT,__text) non-external __trace_len
000000020921c90c (__TEXT,__text) non-external __trace_len_p
000000020921c640 (__TEXT,__text) non-external __trace_pointer
000000020921c240 (__TEXT,__text) non-external __trace_print_function
0000000209216ef8 (__TEXT,__text) non-external __trace_scrollopt_type
0000000209216c04 (__TEXT,__text) non-external __trace_setpos_irow
0000000209216c9c (__TEXT,__text) non-external __trace_setpos_lock
0000000209216c3c (__TEXT,__text) non-external __trace_setpos_oper
000000020921c560 (__TEXT,__text) non-external __trace_smallint
000000020921c688 (__TEXT,__text) non-external __trace_smallint_p
0000000209216830 (__TEXT,__text) non-external __trace_spcols_null
00000002092167d0 (__TEXT,__text) non-external __trace_spcols_scope
000000020921676c (__TEXT,__text) non-external __trace_spcols_type
000000020921d450 (__TEXT,__text) non-external __trace_sql_subtype
000000020921cfcc (__TEXT,__text) non-external __trace_sql_type
000000020921d1f0 (__TEXT,__text) non-external __trace_sql_type_p
0000000209220110 (__TEXT,__text) non-external __trace_stats_accuracy
00000002092200ac (__TEXT,__text) non-external __trace_stats_unique
000000020921dc74 (__TEXT,__text) non-external __trace_stmtattr_type
000000020921e5e8 (__TEXT,__text) non-external __trace_stmtopt_type
000000020921c9f4 (__TEXT,__text) non-external __trace_string
000000020921cad8 (__TEXT,__text) non-external __trace_string_w
000000020921c858 (__TEXT,__text) non-external __trace_stringlen
0000000213b6b358 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020921f438 (__TEXT,__text) non-external __trace_tran_completion
000000020921f77c (__TEXT,__text) non-external __trace_typeinfo
000000020921c608 (__TEXT,__text) non-external __trace_uinteger
000000020921c7e4 (__TEXT,__text) non-external __trace_uinteger_p
000000020921c8d8 (__TEXT,__text) non-external __trace_ulen
000000020921c980 (__TEXT,__text) non-external __trace_ulen_p
000000020921c598 (__TEXT,__text) non-external __trace_usmallint
000000020921c6fc (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
0000000216f89afa (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002092213cc (__TEXT,__text) non-external _dm_SQL_A2W
0000000209221908 (__TEXT,__text) non-external _dm_SQL_U8toW
0000000209221350 (__TEXT,__text) non-external _dm_SQL_W2A
0000000209221660 (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000209221448 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000209221b20 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00000002092214f8 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00000002092215a8 (__TEXT,__text) non-external _dm_strcpy_A2W
0000000209221604 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000209223090 (__TEXT,__text) non-external _do_create_dsns
0000000216f89ab8 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
0000000216f89a98 (__DATA,__common) non-external _ierror
00000002092231e4 (__TEXT,__text) non-external _install_from_ini
00000002092236b0 (__TEXT,__text) non-external _install_from_string
0000000216f89500 (__DATA,__data) external _iodbc_version
0000000216f899d8 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000216f89a20 (__DATA,__data) non-external _numerrors
0000000216f89508 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000216f89a28 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020922385c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
0000000213b695e8 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
0000000216f89a68 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020921891c (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020921d7d4 (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000209219618 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020921b3d4 (__TEXT,__text) non-external _trace_SQLAllocStmt
0000000209219560 (__TEXT,__text) non-external _trace_SQLBindCol
000000020921a278 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020921d614 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020921d6f4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000002092166d0 (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020921ec90 (__TEXT,__text) non-external _trace_SQLCancel
000000020921b498 (__TEXT,__text) non-external _trace_SQLCloseCursor
0000000209219af8 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000209219fb4 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020921a07c (__TEXT,__text) non-external _trace_SQLColAttributes
000000020921a150 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020921e778 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020921e894 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
0000000209218a24 (__TEXT,__text) non-external _trace_SQLColumns
0000000209218b40 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020921e050 (__TEXT,__text) non-external _trace_SQLConnect
000000020921e13c (__TEXT,__text) non-external _trace_SQLConnectW
0000000209216d8c (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020921b56c (__TEXT,__text) non-external _trace_SQLDataSources
000000020921b674 (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000209215b58 (__TEXT,__text) non-external _trace_SQLDescribeCol
0000000209215c6c (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020921e6b0 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020921b450 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020921fa48 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020921fcb0 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020921a550 (__TEXT,__text) non-external _trace_SQLDrivers
000000020921a658 (__TEXT,__text) non-external _trace_SQLDriversW
00000002092188b4 (__TEXT,__text) non-external _trace_SQLEndTran
0000000209216000 (__TEXT,__text) non-external _trace_SQLError
0000000209216108 (__TEXT,__text) non-external _trace_SQLErrorW
000000020921b170 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020921b1f4 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000209216724 (__TEXT,__text) non-external _trace_SQLExecute
0000000209216e48 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020921b884 (__TEXT,__text) non-external _trace_SQLFetch
000000020921d840 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020921e228 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020921e3a8 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020921e5a0 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000209216bbc (__TEXT,__text) non-external _trace_SQLFreeEnv
0000000209218860 (__TEXT,__text) non-external _trace_SQLFreeHandle
00000002092204ac (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020921596c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000209215a18 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020921dad4 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020921db3c (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000002092196a8 (__TEXT,__text) non-external _trace_SQLGetCursorName
0000000209219754 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020921f324 (__TEXT,__text) non-external _trace_SQLGetData
00000002092193f0 (__TEXT,__text) non-external _trace_SQLGetDescField
00000002092194a8 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000209215d80 (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000209215ec0 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020921eb14 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020921ebe0 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000209216320 (__TEXT,__text) non-external _trace_SQLGetDiagRec
0000000209216420 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000002092165ac (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020921b0f8 (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000209216fd0 (__TEXT,__text) non-external _trace_SQLGetInfo
0000000209218508 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020921df14 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020921dfc0 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020921e648 (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020921f9a0 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020921f9f4 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020921f3f0 (__TEXT,__text) non-external _trace_SQLMoreResults
0000000209218eac (__TEXT,__text) non-external _trace_SQLNativeSql
0000000209218fa0 (__TEXT,__text) non-external _trace_SQLNativeSqlW
0000000209218c5c (__TEXT,__text) non-external _trace_SQLNumParams
000000020921e528 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020921a224 (__TEXT,__text) non-external _trace_SQLParamData
0000000209218998 (__TEXT,__text) non-external _trace_SQLParamOptions
0000000209220500 (__TEXT,__text) non-external _trace_SQLPrepare
0000000209220584 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020921a760 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020921a84c (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00000002092185c0 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000002092186dc (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020921a378 (__TEXT,__text) non-external _trace_SQLProcedures
000000020921a464 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020921ecd8 (__TEXT,__text) non-external _trace_SQLPutData
0000000209216658 (__TEXT,__text) non-external _trace_SQLRowCount
000000020921ffc4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000209220038 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020921dba4 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020921dc0c (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020921b77c (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020921b800 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000209216210 (__TEXT,__text) non-external _trace_SQLSetDescField
0000000209216298 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020921a938 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020921b278 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
0000000209216cfc (__TEXT,__text) non-external _trace_SQLSetPos
0000000209216f5c (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020921b2ec (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020921b360 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00000002092187f8 (__TEXT,__text) non-external _trace_SQLSetStmtOption
0000000209216894 (__TEXT,__text) non-external _trace_SQLSpecialColumns
0000000209216a28 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000209220174 (__TEXT,__text) non-external _trace_SQLStatistics
00000002092202e4 (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000209218cd4 (__TEXT,__text) non-external _trace_SQLTablePrivileges
0000000209218dc0 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020921f544 (__TEXT,__text) non-external _trace_SQLTables
000000020921f660 (__TEXT,__text) non-external _trace_SQLTablesW
000000020921f49c (__TEXT,__text) non-external _trace_SQLTransact
0000000216f89a58 (__DATA,__bss) non-external _trace_appname
000000020921be2c (__TEXT,__text) non-external _trace_emit
000000020921c0ac (__TEXT,__text) non-external _trace_emit_binary
000000020921be94 (__TEXT,__text) non-external _trace_emit_string
000000020921be78 (__TEXT,__text) non-external _trace_emitc
0000000216f89a60 (__DATA,__bss) non-external _trace_fname
0000000216f89a78 (__DATA,__bss) non-external _trace_fp
0000000216f89a80 (__DATA,__bss) non-external _trace_fp_close
000000020921b908 (__TEXT,__text) non-external _trace_get_filename
000000020921b8cc (__TEXT,__text) non-external _trace_set_appname
000000020921b914 (__TEXT,__text) non-external _trace_set_filename
000000020921bbd4 (__TEXT,__text) non-external _trace_start
000000020921bd78 (__TEXT,__text) non-external _trace_stop
000000020921bb5c (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000209221aa8 (__TEXT,__text) non-external _utf8_len
0000000209221bc4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000216f89af8 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
