000000021ba85aa8 (__DATA,__bss) non-external _A
000000020cec4bcc (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000020cec4c50 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000020cec4c58 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000020cec4bbc (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000020cec4c04 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000020cec4c34 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000020cec4c3c (__TEXT,__text) external _cmark_syntax_extension_set_private
000000020cec4bdc (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000020cec4c14 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000020ced2970 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000020cebae8c (__TEXT,__text) external _cmark_utf8proc_case_fold
000000020cebaa00 (__TEXT,__text) external _cmark_utf8proc_check
000000020cebad54 (__TEXT,__text) external _cmark_utf8proc_encode_char
000000020cedee64 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000020cec0fd8 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000020cec0f5c (__TEXT,__text) external _cmark_utf8proc_is_space
000000020cebac20 (__TEXT,__text) external _cmark_utf8proc_iterate
000000020cec2cc4 (__TEXT,__text) external _cmark_version
000000020cec2ccc (__TEXT,__text) external _cmark_version_string
000000020cec414c (__TEXT,__text) non-external _commonmark_render
000000020cec6e18 (__TEXT,__text) non-external _commonmark_render
000000020cedd138 (__TEXT,__text) non-external _commonmark_render
000000020cedfb10 (__TEXT,__text) non-external _commonmark_render.cold.1
000000020cedd120 (__TEXT,__text) non-external _contains_inlines
000000020ced29d8 (__TEXT,__text) non-external _core_extensions_registration
000000020cec4c68 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000020cec6c94 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000020cedc604 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000020ceded2c (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000020cec3ee8 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000020cedff10 (__TEXT,__const) non-external _encode_unknown.repl
000000020cede130 (__TEXT,__text) non-external _escape
000000021ba858d8 (__DATA,__bss) non-external _extensions_lock
000000021ba85790 (__DATA,__data) non-external _extensions_once
000000020ceded70 (__TEXT,__text) non-external _filter
000000020ced57d8 (__TEXT,__text) non-external _finalize
000000020cedf294 (__TEXT,__text) non-external _finalize.cold.1
000000020cedf2c0 (__TEXT,__text) non-external _finalize.cold.2
000000020ced2914 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000020ced616c (__TEXT,__text) non-external _free_node_as
000000020cede860 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000020cec8360 (__TEXT,__text) non-external _get_link_type
000000020cec4058 (__TEXT,__text) non-external _get_type_string
000000020cec6dd0 (__TEXT,__text) non-external _get_type_string
000000020cedd010 (__TEXT,__text) non-external _get_type_string
000000020cedb928 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000020cee2aae (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000020cec2ca4 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000020cec2b68 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000020cedba94 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000020cedbd5c (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000020cedbe98 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000020cec4208 (__TEXT,__text) non-external _html_render
000000020cec6f18 (__TEXT,__text) non-external _html_render
000000020cedd9bc (__TEXT,__text) non-external _html_render
000000020cedfb94 (__TEXT,__text) non-external _html_render.cold.1
000000020cede8e4 (__TEXT,__text) non-external _html_table_add_align
000000020cedecbc (__TEXT,__text) non-external _init_arena
000000020cedecac (__TEXT,__text) non-external _initialize_arena
000000020cec5ca0 (__TEXT,__text) non-external _initialize_extensions
000000020ced76f0 (__TEXT,__text) non-external _initialize_nextflag
000000020cec7080 (__TEXT,__text) non-external _insert
000000020cec5938 (__TEXT,__text) non-external _is_valid_hostchar
000000020cec6e3c (__TEXT,__text) non-external _latex_render
000000020cedd3f8 (__TEXT,__text) non-external _latex_render
000000020cedfb3c (__TEXT,__text) non-external _latex_render.cold.1
000000020ceda4bc (__TEXT,__text) non-external _link_label
000000020cedf80c (__TEXT,__text) non-external _link_label.cold.1
000000020cedf834 (__TEXT,__text) non-external _link_label.cold.2
000000020cedf85c (__TEXT,__text) non-external _link_label.cold.3
000000020cedf884 (__TEXT,__text) non-external _link_label.cold.4
000000020cedf8ac (__TEXT,__text) non-external _link_label.cold.5
000000020cedb13c (__TEXT,__text) non-external _make_autolink
000000020cedfab8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
000000020cec6e70 (__TEXT,__text) non-external _man_render
000000020cedd790 (__TEXT,__text) non-external _man_render
000000020cedfb68 (__TEXT,__text) non-external _man_render.cold.1
000000020ceda7c0 (__TEXT,__text) non-external _manual_scan_link_url
000000020cec4cf4 (__TEXT,__text) non-external _match
000000020cec6f5c (__TEXT,__text) non-external _match
000000020cec3fcc (__TEXT,__text) non-external _matches
000000020cedc7b8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021ba85920 (__DATA,__bss) non-external _nextflag_lock
000000021ba857b0 (__DATA,__data) non-external _nextflag_once
000000020ced2a4c (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000020cedf07c (__TEXT,__text) non-external _normalize_map_label.cold.1
000000020cede020 (__TEXT,__text) non-external _opaque_alloc
000000020cede09c (__TEXT,__text) non-external _opaque_free
000000020cec4064 (__TEXT,__text) non-external _open_tasklist_item
000000020cec198c (__TEXT,__text) non-external _outc
000000020cec7730 (__TEXT,__text) non-external _outc
000000020cedbf78 (__TEXT,__text) non-external _outc
000000020cec6f38 (__TEXT,__text) non-external _plaintext_render
000000020cec5108 (__TEXT,__text) non-external _postprocess
000000020cedefa0 (__TEXT,__text) non-external _postprocess.cold.1
000000020cedefcc (__TEXT,__text) non-external _postprocess.cold.2
000000020ced9b10 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000020cedb04c (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020ced2d08 (__TEXT,__text) non-external _refcmp
000000020ced366c (__TEXT,__text) non-external _reference_free
000000020ced2c48 (__TEXT,__text) non-external _refsearch
000000020ced29c4 (__TEXT,__text) non-external _register_plugins
000000021ba857a0 (__DATA,__data) non-external _registered_once
000000020ceda0ec (__TEXT,__text) non-external _remove_delimiter
000000020cedf6c8 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000020ced5b80 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000020cede3a0 (__TEXT,__text) non-external _row_from_string
000000021855ca48 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000020ced5d48 (__TEXT,__text) non-external _sort_footnote_by_ix
000000020ceda6ac (__TEXT,__text) non-external _spnl
000000020cedf8d8 (__TEXT,__text) non-external _spnl.cold.1
000000020cedf900 (__TEXT,__text) non-external _spnl.cold.2
000000020cedf928 (__TEXT,__text) non-external _spnl.cold.3
000000020cedf950 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000021ba85918 (__DATA,__bss) non-external _syntax_extensions
000000020cedc870 (__TEXT,__text) non-external _try_opening_table_block
000000020cede78c (__TEXT,__text) non-external _unescape_pipes
000000020cedfe10 (__TEXT,__const) non-external _utf8proc_utf8class
000000020cec5988 (__TEXT,__text) non-external _validate_protocol
000000020cec2cd8 (__TEXT,__text) non-external _xcalloc
000000020cedeebc (__TEXT,__text) non-external _xcalloc.cold.1
000000020cec2d18 (__TEXT,__text) non-external _xfree
000000020cec438c (__TEXT,__text) non-external _xml_attr
000000020cedd64c (__TEXT,__text) non-external _xml_attr
000000020cec2cf8 (__TEXT,__text) non-external _xrealloc
000000020cedeeec (__TEXT,__text) non-external _xrealloc.cold.1
